aajo	హాస్యాస్పదంగా	hospitality
apẹ̀rè	ఆప్రాన్	example
arabu	అరబ్	arab
aralíle	ఉష్ణమండల	healthy body
arinkankan	ఇది	nationalist
ariso	ఏరిస్	oral tradition
ariwaarin	మధ్య ప్రాచ్యం	mid-north
ariwaguusu	నైరుతి	north-south
arkansas	arkansas	arkansas
aroko	వృక్ష సంపద	composition
aruleyin	హలో	carried on the back
arun	వ్యాధి	disease
aryan	ఆర్యన్	aryan
aráa	సోదరుడు	people from
arábíà	అక్షర	arabia
aráròmí	హలో	araromi
arópò	లంచం	substitute
arúgbó	పెద్ద వయస్సు	elderly
arọ	మందకొడిగా	cripple
asagun	విజయం	intial, first (referring to the 13 colonies)
ascii	కనిపెట్టండి	ascii
aseeto	పరిష్కారం	unfair
aseyori	విజయం	success
asipa	విచలనం	first to kill
assessment	అంచనా	ayewo
asìko	అర్ధంలేని	time; ni asiko=when
asèdá	సహజమైనది	origination
atangbona	అణువు	emission
atanna	అణువు	emitter
atigba	అనుమతించదగిన	from time
atimo	ప్రణాళిక	inland
atinrin	నవ్వుతూ	thin
atun	రివైండ్	also
atunse	దిద్దుబాటు	revision
australia	ఆస్ట్రేలియా	australia
austriahumgary	austriahumgary	austria-hungary
austronesian	ఆస్ట్రోనేషియన్	austronesian
austríà	ఆస్ట్రేలియా	austria
avar	అవార్	avar
awari	ఆవిష్కరణ	discovery
awo	ప్లేట్	of
awonara	భావోద్వేగం	people of
awoòn	టెంప్లేట్	people
awon	వాటిని	they
awuruju	మాయా	shady
awùjo	మర్యాద	society
awújẹ	కుంభకోణం	root
aya	పద్యం	chest
ayeye	శాశ్వతత్వం	celebration
ayàfi	అది బాగుంది	only if
ayò	ay	game
azikiwe	ఇంగిత జ్ఞనం	azikwe
aṣòkan	వ్యక్తిగత	united
baa	ఉంది	be with
babaláwo	దైవిక	herbalist
bahrain	బహ్రెయిన్	bahrain
balẹ̀	అతడు ఉండనివ్వండి	settled
bang	బ్యాంగ్	bang
banle	banle	banle
bara	గత సంవత్సరం	themselves
bauxitealumina	bauxitealumina	bauxite/aluminum
bayelsa	bayelsa	beyelsa
bayi	ఇప్పుడు	like this
bayìí	ఇప్పుడు	this
bce	దూరంగా	bce
beauharnais	బెయుహర్నైస్	beauharnais
beijing	బీజింగ్	beijing
belarus	బెలారస్	belarus
belgium	బెల్జియం	belgium
bengal	బెంగాల్	bengal
bengali	బెంగాలీ	bengal
benin	బెంచ్	benin
berber	బెర్బెర్	berber
berlin	బెర్లిన్	berlin
bernstein	బెర్న్స్టెయిన్	bernstein
bharat	భారత్	bharat
bharata	తిరిగి రా	bharata
bibeli	బైబిల్	bible
biribiri	చూర్ణం చేయబడింది	intense
black	బ్లాక్	dudu
bodies	శరీరాలు	ara
bojú	ఒకసారి చూడు	take care
bole	బోలే	ground
bolt	బోల్ట్	bolt
bolívar	బొలీవర్	bolivar
brasil	brasil	brazil
brazzaville	బ్రాజవిల్	brazzaville
bridgeport	bridgeport	bridgeport
britain	బ్రిటన్	britain
brítánì	బ్రిటిష్	britain
bu	అంటే	give
buenaventura	బుఎనవెంటుర	buenaventura
bujumbura	విస్తరించింది	bujumbura
burúkú	చెడు	bad
by	ద్వారా	does not translate directly, does not exist
bàbá	తండ్రి	father
bákannáà	అలాగే	likewise
bálè	బెలూన్	lying on the ground
bárakú	వ్యసనం	habitual
báyìí	ఇప్పుడు	this
bèrẹ̀	ప్రారంభించడానికి	started
béè	ఊరికే	than
bòtswánà	బస్సు	botswana
búburú	చెడు	bad
búrú	ధైర్యంగా ఉండు	wicked
bẹ̀rẹ̀	ప్రారంభించడానికి	started
bẹ́	విరిగింది	also
bẹ́ljíọ̀m	గరుడపచ్చ	belgium
bẹ́ẹ̀ni	అవును	yes
bẹ́ẹ̀sìni	అవును	that is it
cairo	rage	cairo
calabar	నమిలే జిగురు	calabar
canaria	కానరియా	canaria
cape	కేప్	cape
casablanca	కాసాబ్లాంకా	casablanca
caslon	కాసినో	caslon
cathedral	కేథడ్రల్	cathedral (katidral)
catherine	కాథరిన్	catherine
cauchy	cauchy	cauchy
cbc	cbc	cbc
chamorro	చమర్రో	chamorro
charles	చార్లెస్	charles
chaskalson	chaskalson	chaskalson
chebbi	అనుకుంటున్నాను	chebbi
cherished	ప్రతిష్టాత్మకమైన	mu lokunkundun
china	చైనా	china
cipollone	cipollone	cipollone
clear	స్పష్టమైన	danmanran
code	కోడ్	code
coetsee	coetsee	coetese
coloured	రంగు	alawo dudu
coming	వచ్చే	yo jade
compared	పోలిస్తే	does not directly translate
computers	కంప్యూటర్లు	komputa, ero ayarabiasa
csto	csto	csto
ct	ct	ct
cunha	గొంతు	cunha
da	మరియు	back; but in this form it is unnecessary
dagbasoke	ఎదుగు	developing
dandan	తప్పనిసరి	a must
dani	పట్టుకొని	hand-held
darapo	చేరడానికి	joinedd
daru	నాశనం	scattered
dates	తేదీలు	pada si
delhi	వద్దు	delhi
denver	డెన్వర్	denver
des	డెస్	des
describes	వివరిస్తుంది	se apejuwe (apejuwe=description; se prefix makes it a verb)
desmond	డెస్మండ్	desmond
development	అభివృద్ధి	idagbasoke
didagba	సమానత్వం	growing
didasile	స్థాపన	established
different	వివిధ	iyato
din	వేసి	reduced
dinwoju	పైకి చూడు	suitable
divoire	divoire	d'ivoire
doju	ముఖా ముఖి	face
dojú	ముఖా ముఖి	turn face (full phrase is doju ko, to face)
dominic	డొమినిక్	dominic
doni	దోని	this day
dote	అతిగారాబం కనబరచు	rebel
doublehelix	doublehelix	hiliksi abara meji
doublestrand	doublestrand	double-strand
dover	డోవర్	dova
du	డు	hustle
due	వలన	nitori
dun	రుచికరమైన	sound
dàbíi	ఇలా	like
dàpò	వాటిని భర్తీ చేయండి	mix
dá	రూపొందించినవారు	intervene
dágbó	పెద్ద వయస్సు	forest
dájó	ఆల్రైట్	pass judgement
dálóríi	ధన్యవాదాలు	about
dáradára	బాగా	well
dásà	ఒక కాసా	peculiar way of saying
dáwó	దానం	undertake
dé	వచ్చారు	reach
délànà	సూత్రం లో	delana
dépò	ఆ మేర వరకు	to a position
dì	షీట్	be
dìde	ఉత్పన్నమయ్యే	stand
dìró	కుడి వైపు	hang on
dìtẹ̀	కుట్ర	rebel
díè	కాలం	few
dóko	మంచిది	upstanding
dólà	బాగా	dollar
dún	ధ్వని	sound
dúró	నిలబడటానికి	stand (been in existence)
dọ́gba	సమాన	equal
ea	అవును	ea
eba	eba	shore
ebi	కుటుంబం	family
ecomog	ecomog	ecomog
ede	భాష	language
efrem	effem	efrem
egba	ఖచ్చితంగా	cane
egbe	తుపాకీ	group
egberundun	వెయ్యి సంవత్సరాలు	a thousand year
egbo	ఒక గాయం	brother
egbé	దుఃఖకరమైన	party
egbò	ఒక గాయం	chemicals
egbògi	వైద్య	don't know this
eighteen	పద్దెనిమిది	ejidinlogun
eka	క్లిష్టమైన	branch, department, part
ekeji	ఇతర	second
eko	చదువు	lagos
elede	పందులు	speaker
eleyi	ఈ	this
eleyii	ఇలా	this
elláda	సృష్టి	ellada
eléde	నైరూప్య	pig
eléré	అథ్లెట్	performer
elòmírà	సముద్రపు పాచి	freedom
elòmíràn	మరో	another person
emerging	ఉద్భవిస్తున్న	ibere-pese
emmanuel	ఇమ్మాన్యూల్	emmanuel
enikéni	ప్రతి ఒక్కరూ	whoever
enter	నమోదు	wole
enì	ఏనుగు	person
eníbá	జ్వరం	such person
epa	వేరుశెనగ	groundnut
ernst	ఎర్నస్ట్	ernst
erofo	అవక్షేప	swamp
erékùsù	ద్వీపం	island
eréonítàn	ఎక్రోనిం	written play
eseese	రేఖాచిత్రం	step by step
esia	వస్తున్నారు	asia
esteri	esteri	ester
etisalat	ఎటిసలాట్	etisalat
etymologiae	etymologiae	etymologiae
etíòkun	తీరం	beach
euro	యూరో	euro
euroasia	euroasia	uro-esia
ewe	ఆకు	ewe
ewé	ఆకు	leaf
ewì	కవిత్వం	traditional poem
example	ఉదాహరణ	apere
eya	వర్గం	tribe
eyin	గుడ్లు	previous
eyonomba	eyonomba	digit
eléja	ఫిషింగ్	fisherman
elòmíràn	ఇంకెవరో	another person
eka	ప్రభావం	branches
eléyàmèyà	జాతి	tribalism
enu	నోటి	mouth
esin	మతం	horse
esè	ఆదాయం	leg
ewà	ప్రవర్తన	beauty
fagile	రద్దు	cancel
fail	fail	padanu
fan	అభిమాని	spread
faramó	కట్టుబడి	accept
faranse	ఫ్రెంచ్	french
farsi	ఆర్టి	farsi
felifeli	వెల్వెట్	fuming
ferde	ferde	verde
fesèmúlè	తాత్కాలిక మూలం	established
fe	కావలెను	want
fi	సేవ్	by
fifihan	చూపుతుంది	revealed
fihan	సూచించబడిన	shows, to show
fimú	తీవ్రంగా నిర్వచించబడింది	captivate with
finiki	భౌతిక	finiki
finlandi	ఫిన్లాండ్	finland
fitino	విచారణ	judgement
five	ఐదు	marun
fodio	fodio	fodio
fofinde	నిషేధిస్తూ	prohibited
fohùn	అరవడం	consent
foniimu	సినిమా	phoneme
force	ఫోర్స్	agbara
foriko	ఉదాహరణకి	agreed
fourbase	fourbase	onidi-merin
fowobowe	బుకింగ్	signed
fowó	డబ్బు కోసం	sign
fracmv	fracmv	does not translate
francis	ఫ్రాన్సిస్	francis
fransi	ఫ్రెంచ్	france
freetown	freetown	freetown
fuji	తొలగిస్తాయి	fuji
fulani	పిరికి	fulani
fulbe	ful	fulbe
fun	కోసం	for
funra	కూడా	suspect
further	మరింత	si
fé	ఫే	like
fé	fé	want
fégbé	మర్చిపో	for peers
fífò	ఎగురుతున్న	jumping
fífún	ఇవ్వడం	giving
fòye	అర్థం	rationalise
fẹ́rẹ̀ẹ́	దాదాపు	nearly
galatia	ఈసారి	galatia
gba	అంగీకరిస్తున్నారు	accept
gbajúgbujà	చాలా ప్రాచుర్యం పొందింది	popular
gbale	ప్రజాదరణ	flourished
gbaná	షూట్ అవుట్	engulf in flame/rage
gbe	క్యారీ	set up
gbera	కొనసాగండి	move
gberasoke	వేగవంతం	rising
gbese	రుణ	debt
gbigbamulo	దోపిడీ	adopted
gbigbewo	ఫైనాన్సింగ్	examined
gbilè	విరిగిపొవటం	gaining ground
gbin	నాటిన	farm
gbogbogbo	సాధారణ	general
gbongbo	రూట్	root
gbàgbọ́	నమ్మకం	believe
gbàgùrà	shook	gbagura
gbá	స్మాష్	received
gbáradì	లే	prepare
gbé	ప్రత్యక్ష	convey
gbédìí	ఏర్పాటు	respect
gbékalè	కార్పెంటర్	establish
gbéni	ప్రత్యక్ష	lift
gbéyèwò	సమీక్ష	examine
gbésè	ఆఫర్	die
gbìnyànjú	ప్రయత్నించండి	endeavour
gbìyànju	గట్టిగా ప్రయత్నించు	try
gbódò	తప్పక	must
gbónmisi	చట్టం	strife
gbúnùn	వాసన	hostile
gbọ́dọ̀	తప్పక	must
geesi	ఆంగ్ల	english
geneva	శృతికి	geneva
genevieve	genevieve	genevieve
georgia	జార్జియా	georgia
german	జర్మన్	german
gfaj	gfaj	gfaj
ghana	ఘనా	ghana
gidigidi	చాలా	significantly
gidí	హౌస్	real
goemai	goemai	goemai
gomina	గవర్నర్	governor
gorgina	డేగ	gorgina
gquadruplex	gquadruplex	g-gigalonomerin
grammy	గ్రామీ	grammy
griiki	గ్రీకు	greek
groove	గాడి	iho
guanínì	guanni	guanine
guinea	గినియా	guinea
guineabissau	guineabissau	guinea bissau
guinébissau	guinébissau	guinea bissau
gun	దీర్ఘ	stretch
gunle	తుపాకీ	arrive
guusu	దక్షిణ	south
gv	జివి	gv
gèésì	గ్లూ	english
gèésì	రత్నం	english
gégé	నిజంగా	like
gírámà	gramps	grammar
gòkè	పైకి వెళ్ళు	climb
gún	కుట్టిన	properly
gúúsù	దక్షిణ	south
gẹ̀ẹ́sì	ఆంగ్ల	english
habsburg	హబ్స్బర్గ్	habsburg
haggai	గైడ్	haggai
haiti	హైతీ	haiti
halomonadaceae	halomonadaceae	halomonadaceae
hard	హార్డ్	lile
haughton	haughton	haughton
hausafulani	hausafulani	hausa fulani
hawaii	హవాయి	hawaii
heinrich	హెన్రిచ్	heinrich
hendu	మిఠాయి	hendu
henny	henny	henny
heraklion	heraklion	heraklion
hesse	అంగీకరించింది	hesse
him	అతనికి	un, this term is sexless
hindu	hindu	hindu
histoni	histoni	histones
hominidae	హోమినిడే	hominidae
hosea	హోషేయా	hosea
hp	hp	hp
hugh	హ్యూ	hugh
hun	హన్	knit
hungari	ఆకలి	hungary
hv	hv	hv
ibalo	వ్యవహారంలో	relationship
ibarepo	అసోసియేషన్	friendship
ibeji	కవలలు	twins
ibewo	వచ్చింది	visit
ibiamusin	అభయారణ్యం	colony
ibile	సంప్రదాయకమైన	municipality
ibimo	పుట్టిన	birth
ibise	వ్యాయామం	official
ibiti	స్థలాలు	where
ibn	ఇబ్నె	ibn
ibojì	సమాధి	burial ground
ibori	వీల్	conquest
ibujoko	బెంచ్	place of abode
ibuseripadabosi	రీఎంబెర్స్మెంట్ను	eternity
ibuso	పోరాడటానికి	bus stop
ibùdó	శిబిరంలో	settlement, seat of, area,
ibùjókòó	సీటింగ్	settlement
iceland	ఐస్లాండ్	iceland
idagbasoke	అభివృద్ధి	development
idagbe	నిర్లక్ష్యం	isolation
idaji	సగం	half
idajo	న్యాయం	judgement
idamita	డ్రా	sector
idari	నియంత్రణలు	control
ideraa	వ్రాయటానికి	comfort
idimule	అరెస్టు	establishment
idoma	డ్రాయింగ్	idoma
idupe	ధన్యవాదాలు	thanksgiving
idánwò	విచారణ	examination
ifija	ఫిషింగ్	weapon
ifilole	ప్రయోగ	resolution
ifitonileti	సమాచారం	reporting
ifobaje	అవినీతి	coronating
ifofinde	సమావేశం	prohibition
ifriqiya	ప్రేరణ	ifriqiya
igbeduro	తయారీ	institute
igbegun	విజయం	declaration of war
igberiko	సబర్బన్	region
igbesoke	అప్గ్రేడ్	upliftment
igbeyawo	పెండ్లి	marriage
igbowolori	ఖరీదైన	inflation
igbá	చికెన్	shell
igbáẹ̀yìn	చివరిది	shell
igitòròmogbè	బ్రాడ్బ్యాండ్	willow tree
ihan	కనపడడం కోసం	ray
ihinrere	సువార్త	gospel
ijagun	పోరాటం	war
ijakadi	పోరాటం	wrestling
ijaya	భయాందోళనలు	fear
ije	ఉద్యమం	eating
ijinnasi	భౌతిక	the wind open
ijosin	ఆరాధన	worship
ijó	డ్యాన్స్	dance
ikan	ఒకటి	one of
ikandinlogun	పద్దెనిమిది	nineteen
ikaowo	గౌరవం	finger
ikejidinlogun	పద్దెనిమిది	eighteen
ikeko	సంగ్రహం	education
ikerin	నాల్గవ	fourth
iketa	వారసత్వంగా	third
ikoenu	కాపాడడానికి	union
ikojopo	చేరడం	collection
ikoreokere	సాగు	migration
iku	మరణం	death
ikúgbaèyí	ఇప్పుడు	death-has-this
ikún	పూరకం	squirrel or wild rodent
ilagbolojo	ప్రచారం	latitude
ilana	విధానం	procedure
ilanaoye	వ్యూహాలు	knowledge procedure
ilaodo	రక్షించడానికి	cana
ilaorun	సూర్యోదయం	west
ileasofin	శాసన	house of law,
ilegiga	హోమ్	higher ground or higher plain
ileife	నిర్లక్ష్యం	ile-ife
ileigbimo	సమ్మతి	house of assembly/congress
ileobaluaye	ప్రపంచం	high chief
ileru	ఫర్నేస్	volcanic
ilopo	డబుల్	times
iluoba	పౌరసత్వం	king's town
iluorilejoba	ప్రపంచీకరణ	capital city
ilé	హోమ్	house
iléayé	హోమ్	earth
iléisé	హోమ్	workplace
ilélódò	ఇల్లు	ile-lodo
iléàtèéré	హోమ్	ile-ateere
iléńlá	ప్రాంగణంలో	ile-nla (area)
ilẹ	గ్రౌండ్	land
ilẹ̀ayé	భూమి	the world
iminle	అరెస్టు చేయడానికి	earthquake
imoero	సౌందర్య	engineering
imojuto	సంరక్షణ	protection
imusin	డ్రా	colony
imú	ముక్కు	nose
imúnisìn	పరిశుభ్రత	slavery
inagberingberi	వేరుశెనగ వెన్న	electromagnetic force
indeed	నిజానికి	paapa julo
indus	ఇండస్	indus
inkosi	సమర్థించేందుకు	inkosi
integration	అనుసంధానం	ifowosowopo
inágbéringbérin	పదిహేడు	electromagnet
iní	వారసత్వ	possession
inúnibíni	హింసను	hatred
ioja	చేప	fight
ioniani	ఆదుకోవాల్సిన	ionian
iowa	భూమిపై	iowa
ipare	వాడిపోవు	abolition
ipawo	ఉపయోగాలు	income
ipele	స్థాయి	stage
ipin	అధ్యాయము	share
ipinpa	పాల్గొనడం	arm of, branch of
ipinu	నిర్ణయం	determination
ipo	స్థానం	position
ipá	ఫోర్స్	effort
iraja	దిగ్భ్రాంతిని	bargaining
iranlose	సాయం	mission
ire	అమ్మకానికి	you
irele	వినయం	irele
iringa	మూటగట్టు	iringa
irisi	ప్రదర్శన	appearance
irorun	చాలా సులభం	convenient
irò	పుకారు	iro
irúnmọlẹ̀	మెరుపు	apparition
isa	చాలు	jesus, isa or yisa is hausa language
isare	త్వరణం	track race
isedaniloro	స్వీయ సందేహం	terrorism
iseero	వాచ్	engineering
isejoba	పాలన	governance
iseoba	పదిహేను	civil service
iseoroayeijoun	పురావస్తు	archaeology
iseowo	వ్యాపార	business
isepinpin	పంపిణీ	division
iso	వచ్చిన	unit
isoponomba	isoponomba	addition of numbers
isun	ప్రవాహం	spring
isesi	లొంగిపోయేందుకు	conduct
isè	సేవ	occupation
itali	ఇటాలియన్	italy
itanakole	కథ	ancient
itelentele	రోబోట్లు స్పష్టంగా	coming after
itiraka	పోరాటం	effort
itobi	గొప్పగా చెప్పుకోవటానికి	size
itokowo	వ్యాపార	economy
itorawo	ఉదారవాద	astrology
itu	విసిరేందుకు	solution
itumo	అర్థం	meaning
iwadi	పరిశోధన	research
iwasi	ఇంప్రెస్	behaviour
iwifun	సమాచారం	report
iwoile	హోమ్	entering
iwosan	వైద్యం	healing
iwulo	ఉపయోగకరమైన	use
iwuwa	ఆచరణలో	behaviour
iyan	కరువు	argument
iyato	తేడా	difference
iyawo	వధువు	wife
iyen	అంటే	that
iyán	మద్యం	pounded yam
iḷẹ̀	పని	land
iṣẹ́ìwádìí	పరిశోధన	research
jabo	నివేదిక	give account
jackson	jackson	jackson
jadide	పట్టుకోండి	emerge
jagbe	పోగొట్టుకోండి	shout
jalè	దొంగతనం	steal
jamaica	youtube	jamaica
jamo	వెళ్ళిపో	link
jawaharlal	కల్లోలం	jawaharial
jeffrey	జెఫ్రీ	jeffrey
jeometri	జ్యామితి	geometry
jesu	jesus	jesus
jfk	jfk	jfk
jije	జీవి	existing as
jijinna	దురముగా	distance
jiròrò	పొగమంచు	dialogue
jo	లీక్	days
jogun	వారసత్వంగా	inherit
johann	నరకం	johann
johanu	క్షమించండి	john
jojo	పగుళ్లు	great extent
jopò	చేరండి	gathered
jo	john	resemble
juneau	జునేయు	juneau
jàgídíjàgan	హింసాత్మక	violent
jáde	బయటికి రా	out
jé	రండి	is
jéésù	యేసు	jesus
jìnnàa	దురముగా	further
jíje	జీవి	eating
jíjuwó	డబ్బు సంపాదించడం	waving hands
jíjéomoléyìnkírísítì	పరోపకారిగా	followers of christ
jùlo	మించి	most
jùlo	ముఖ్యంగా	most
jùló	అత్యంత	most
jẹ́mánì	జర్మన్	germany
jọ́	దయచేసి	together
kadara	ఆస్తి	destiny
kagera	గొప్పగా చెప్పుకోవడం	kagera
kakiri	జాడ కనుగొను	all over
kalinga	cinga	kalinga
kalẹ	పక్కన పెట్టండి	established
kampala	కలుపుట	kampala
kan	ఒక	one
kankan	ఎవరూ	any
kanlè	kanal	established
karbonumarun	thecentricane	5 carbon
karl	కార్ల్	karl
karun	ఐదవ	fifth
karùún	ఐదవది	fifth
kebbi	సర్దుబాటు	kebbi
kekere	చిన్న	lower
keko	అక్షరాస్యులు	learn
kept	ఉంచింది	fi pamo
khoisan	నాసిరకం	khoisan
ki	కాబట్టి చేయండి	not
kiakiajulo	వేగవంతమైన	rapidly
kiko	తీసుకురావడంలో	gathering
kikojo	సంగ్రహం	gathering
kikopomo	వెచ్చదనం	mixed
kikoso	ఫాస్ట్	colonised
kiko	లెర్నింగ్	making
kikuninu	ఊహించే	size
kilhar	బాహుమూలములో	kilhar
kinkinni	చిన్న విషయం	small quantity
ko	లేదా	don't
kodò	క్రింద	bow
koidu	koidu	koidu
kojá	క్రాస్	pass
kolo	kolo	going
komputa	కంప్యూటర్	computer
kong	కాంగ్	kong
kongo	కండోమ్	congo
kookan	ఈ	one
koto	ఎరగా	pit
koko	లెర్నింగ్	make heap
ko	ko	learn
kori	ఇక లేదు	not found
krio	krio	krio
ku	మీరు	remain
kwara	ప్రసంగించారు	kwara
kàríbẹ́ánì	ప్రాంతంలో	carribean
kàyéfì	వండర్	amazement
ká	ఆఫ్	we
kánfinkése	చాతుర్యం	prolonged
kánádà	కోర్సు యొక్క	canada
káyé	ప్రపంచ	world
kéesì	హాస్యాస్పదంగా	keesi
kékéèké	చిన్న	small
kétu	సిద్దంగా ఉండు	ketu
kémíkà	దీనికి విరుద్ధంగా	chemical
kéyìn	తరువాత	come after,
kìnní	ప్రధమ	first
kí	అభినందించడానికి	not
kíko	అభ్యసించడం	written
kíkọ́	నేర్చుకోవడం	learning
kínu	ముద్దు	greet
kírísìtì	క్రిస్మస్	christ
kòjòkú	వర్షం	kojoku
kòkó	ఎలుక	cocoa
kòmpútà	కంప్యూటర్	computer
kòtò	ఒక గొయ్యి	pit
kòòsí	అది కాదు	coaching
kòòkan	ప్రతి ఒక్కరు	each
kógo	గ్లోరీ	glorious
kóra	సేకరించడానికి	participate
kùkú	అన్ని తరువాత	eventually
kùrání	ఖురాన్	quran
kúkú	అన్ని తరువాత	now
kúkúrú	క్లుప్తంగా	short
kúrò	దూరంగా	away
kútò	ప్రతిదీ	kuto (place)
kúùkù	దీనికి విరుద్ధంగా	punches; expression meaning 'by force' (ti pa ti kuuku)
kẹrin	నాల్గవ	4
kẹsàán	వెంటనే	ninth
kẹta	మూడో	third
kẹ́nyà	వేరు	kenya
kọjá	పాస్	pass through
kọ̀mpútà	కంప్యూటర్	computer
kọ́kọ́	ప్రధమ	first
kọ́lọ́mú	నిలువు	breast owner
kọ́ni	లేకపోవడం	teach
laa	వెళ్ళిపో	will
laada	కిక్	good fortune
laaka	రివర్స్	important
laarin	లోపల	between
labalaba	సీతాకోకచిలుక	butterfly
labee	కింద	under
lade	లేడ్	crowned
laid	వేశాడు	tele
laifi	తప్పు	without
languages	భాషలు	ede
lanka	లంక	lanka
lasile	విడుదల	laid out
latibe	అక్కడి నుంచి	from there
latigbana	అప్పటి నుండి	from then on
latini	లాటిన్	latin
latvia	లాట్వియా	latvia
lay	లే	da
le	చెయ్యవచ్చు	can
leboa	lebo	leboa
lekun	తీవ్రమైంది	open door
leo	leo	leo
lese	పోస్ట్	firmly
less	తక్కువ	okeresi
lewaju	ముందుకు	front
lewon	ఖైదు	imprisonment
leyi	ఇదిగో	mispelled...should be 'leyin', after
leè	మే	can
lilelile	హార్డ్కోర్	tightly
lilemo	గంజాయి	sticky
lilongwe	లైల్గ్	lilongwe
lindi	లై	lindi
linear	సరళ	dogba
links	లింకులు	eka; this is a new word and does not really exist in yoruba
lodo	జరిగేటట్లు	from
lojowaju	భవిష్యత్తులో	the future
lojukokoro	అత్యాశకరమైన	covetousness
lojúgun	అతను ధ్వంసం చేశాడు	knee
lokunkun	శక్తివంతమైన	in the dark
