$ tỉ	milyard dollar	$ billion
amm	amm	amm
amoniac	ammonyak	ammonium (n.)
amphitrite	amfitrit	(proper noun) amphitrite, a greek sea goddess
an	bir	"(should be ""an toàn"") safe"
anand	anand	anand
anata	anata	anata
anatolia	anadolu	anatolia
andalusia	andalusiya	andalusia
andaman	andaman	andaman
anderson	anderson	anderson
andes	andlar	andes
andorra	andorra	andorra
andrew	andrew	andrew
andré	andré	andre, as in andre morval
andy	andy	(proper noun) andy, as in andy warhol
anfield	anfield	anfield
ang	ang	ang
angkor	angkor	(proper noun) angkor, as in angkor wat, the temple in cambodia
anglosaxon	anglosaxon	anglo-saxon
anh	onu	english
anhmỹ	i̇ngilis	"(term should be ""anh mỹ"") english or american"
anhpháp	cənab fransa	england-france
ankara	ankara	ankara
ankyl	ankil	ankly
anna	anna	anna
annam	annam	a name the way french called middle vietnam as a colony
annan	annan	annan
anne	anne	anne, a name
anorthosit	anortozit	anorthosit, a type of igneous rock (n.)
anthony	qarışqa	anthony
antigua	antigua	(proper noun) antigua
anton	anton	anton
antonov	antonov	antonov
any	hər hansı	any
anđêhít	aldehid	aldehydes
ao	gölməçə	pond
aotearoa	aotearoa	aotearoa
apollo	apollo	apollo
apple	alma	apple
aquinas	aquinalar	a name
arab	ərəb	(proper noun) arab
archetypal	arxetipal	archetypal
archive	arxiv	archive
arctan	arktan	a function
ares	ares	ares
argentina	argentina	(proper noun) the south american nation of argentina
argo	arqo	argo
arias	arialar	arias
aringarosa	aringarosa	aringarosa, as in manuel aringarosa
aristotle	aristotel	aristotle
arizona	arizona	arizona, as in the state
ark	sandıq	ark
arkansas	arkanzas	arkansas
arlington	arlington	(proper noun) arlington
armenia	erməni	(proper noun) armenia
armstrong	silahlı	(proper noun) armstrong, as in jazz artist louis armstrong
arnold	zireh	arnold
arsenal	arsenal	arsenal
artemis	artemis	(proper noun) artemis, the greek goddess of the hunt
aruba	aruba	aruba
arunachal	arunaçal	"(term should be ""arunachal pradesh"") a state in india (proper noun)"
asc	asc	asc
ash	kül	a name
ashikaga	aşıqağa	ashikaga
ashley	külək	(proper noun) ashley
asia	asiya	asia
asm	asm	asm
asoka	asoka	asoka
association	dərnək	association
assyria	assuriya	assyria
aston	aston	(proper noun) aston, as in aston villa
atkinson	atkinson	atkinson
atlanta	atlanta	atlanta
atlantic	atlantik	atlantic
aua	aua	aua
aubrac	aubrac	aubrac
audition	dinləmə	audition
auflage	auflage	auflage
auguste	avqust	auguste
australia	avstraliya	(proper noun) australia
austria	avstriya	(proper noun) the country of austria
austrian	avstriyalı	austrian
avar	avar	a name
aviation	aviasiya	aviation
awad	avad	awad
award	mükafat	award
axit	turşu	acid
ayeyarwady	ayeyarwady	ayeyarwady
ayumi	ayumi	(proper noun) ayumi
ayutthaya	ayutthaya	(proper noun) ayutthaya
azerbaijan	azərbaycan	(proper noun) azerbaijan
aztec	aztec	aztec, as in the aztec people (adj.)
ba	üç	three
babylon	babilon	babylon
bacon	donuz	bacon
baden	baden	baden
baghdad	bağdad	(proper noun) baghdad
bago	bago	bago
bahamas	bahamalar	bahamas
bahrain	bəhreyn	bahrain
baháí	bahaí	bahai
balearic	balearik	balearic
bali	bali	bali
balkan	balkan	(proper adjective) balkan
balkans	balkanlar	balkans
ballard	ballard	ballard
bamar	bamar	bamar
ban	qadağan	the
bang	bang	state
banh	top	ball
banner	pankart	banner
bantam	bantam	bantam
bantu	bantu	bantu
bao	çuval	bao giờ= ever
barack	barak	barack
barak	barak	barak
barbados	barbados	(proper noun) barbados
barbara	barbar	barbara
barbary	barbar	barbary
barca	barca	barca
barnes	barnlar	barnes
barone	baron	barone
baroque	barok	baroque
barquin	barquin	barquin, as in ramon barquin, the cuban military colonel
barrichello	barrikello	barrichello
bartholdi	bartholdi	bartholdi
baryon	baryon	baryon
barça	barça	(proper noun) barca
base	baza	base
basel	bazel	basel, a city in switzerland
basil	reyhan	basil
baskervilles	baskervilles	baskervilles
bass	bas	bass
bator	bator	bator
battambang	battambang	battambang
bauer	bauer	bauer
bay	uçmaq	"(should be ""tuyến bay"") an airline"
bayern	bayern	bayern
bazan	bazalt	basalt (n.)
bazơ	əsas	base
bb	bb	bb
bbc	bbc	bbc
bc	bc	bc
bchtư	bchtư	central executive
beat	döymək	beat
beatles	beatles	the beatles
beauty	gözəllik	beauty
beckenbauer	beckenbauer	beckenbauer, as in franz beckenbauer
becker	becker	(proper noun) becker
beckham	beckham	beckam
bedloe	yataq	bedloe
beethoven	beethoven	beethoven
beethovens	beethovens	beethoven's
beginbmatrix	startbmatrix	this is a code
behind	arxada	behind
beijing	beijing	beijing
bel	bel	bel
bell	zəng	bell
bella	bella	bella
bellatrix	bellatrix	bellatrix
benedict	xeyir verin	benedict
benetton	benetton	benetton
benfica	benfika	benfica
benito	benito	benito
benjamin	benjamin	(proper noun) benjamin
bennington	bennington	bennigton
berber	berber	berber
bergen	bergen	(proper noun) bergen
berger	berger	berger
bering	bax	(proper noun) bering, as in the bering strait
berkeley	berkeley	(proper noun) the city of berkeley, california
berman	berman	a name
bermuda	bermuda	(proper noun) bermuda
bernard	bernard	bernard
bertrand	bertrand	bertrand
better	daha yaxşı	better
betty	əla	betty
bhutan	butan	bhutan
bia	pivə	beer (n.)
biang	biang	biang
bic	bic	bic
bikini	bikini	bikini
bill	faktura	(proper noun) bill, as in former president bill clinton
billy	billy	billy
bismarck	bismark	bismarck, as in otto von bismarck
bitmap	bitmap	bitmap
biên	sərhəddi	bien
biếc	çörək	a bluish-green color (adj.)
biếm	diqqətsiz	"(term should be ""biếm họa"") cartoon (n.)"
biến	dəyişən	other
biếng	tənbəl	lose interest in
biếu	nəzakət	present
biều	bieu	bieu
biển	dəniz	ocean
biểuthứcđiềukiện	şərtləri bilmək	conditional expression
biện	üzr istəmək	"(term should be ""biện pháp"") a method (n.)"
biệt	fərqlidir	"(term should be ""khác biệt"") different or distinct"
bkavpro	bkavpro	bkavpro
blackwell	qaranquş	this is a name
blair	blair	blair
blaise	qarqara	blaise
blanc	blanc	blanc
blues	blues	blues
bo	bo	a curl, as in a biceps curl exercise
bob	bob	bob
bobby	bobbi	bobby, as in bobby day
boeing	boeing	boeing
bohemia	bohemiya	bohemia
bolivia	boliviya	(proper noun) bolivia
boltzmann	boltzmann	boltzmann
bom	bomba	bomb
bonaparte	bonapart	bonaparte
bong	bong	"(term should be ""bong bóng"") a balloon (n.)"
bonnal	bonnal	bonnal
bonobo	bonobo	bonono
bool	bool	bool
boolean	boolean	(proper adjective) boolean, as in boolean algebra
boom	bumu	boom
boong	göyərtə	a deck (n.)
boongke	bunkerlər	bunker
bop	bop	bop
boris	boris	boris
borland	borland	(proper noun) borland
borussia	borussiya	borussia
bose	bose	bose, as in subhas chandra bose
boseeinstein	boseeinstein	bose einstein
bosna	bosna	(proper noun) bosnia
bosnia	bosniya	(proper noun) bosnia
botswana	botsvana	botswana
bottom	alt	bottom
boulder	qənbər	boulder
bourbon	burbon	bourbon
boxing	boks	boxing
brain	beyin	brain
brandenburg	brandenburg	(proper noun) brandenburg
brandt	marka	brandt
braun	qaşqabaq	braun
brazil	braziliya	brazil
bremen	bremenlər	bremen, as in the bremen bank
brestlitovsk	brestlitovsk	brest-litovsk
breton	breton	(proper noun) breton
bretton	bretton	hoi nghi
brezhnev	brejnev	brezhnev
brian	brian	a name
bridge	körpü	bridge
britannic	britaniyalı	(proper noun) britannic
britney	britney	britney
brooklyn	brooklyn	brooklyn
brot	brot	this is german not vietnamese
brown	qəhvəyi	brown
browne	qəhvəyi	browne
browning	qaşınma	(proper noun) browning
bruce	bruce	bruce
brunei	brunei	brunei
bruno	bruno	bruno, as in the city of san bruno
brusilov	brusilov	brusilov
brussels	brüssel	brussels, the capital of belgium
btr	btr	btr
bubalis	bubalis	bubalis
budapest	budapeşt	budapest, the capital of hungary
bulgaria	bulqariya	bulgaria
bulletin	bülleten	thong bao
bungary	bungar	bungary
bungo	bungo	bungo
buonaparte	buonaparte	(proper noun) buonaparte, as in casa buonaparte
burke	burka	(proper noun) burke, as in edmund burke
burkina	burkina	burkina
burma	burma	burma
burundi	burundi	burundi
busan	busan	a korean city
busby	avtobusu	busby
bush	kol	bush
bushy	köklü	bushy
buôn	topdansatış	commerce
buông	burax	to release, to let loose
buýt	avtobus	bus
buốt	soyuq	sharp
buồm	yelkən	sail
buồn	kədərli	sad
buồng	kamera	chamber
buổi	iclas	session
byzantine	bizans	byzantine
bà	nənə	woman or lady (n.)
bài	post	articles
bàn	masa	table
bàng	qartal	eagle
bành	peng	armchair
bào	planlama	compatriot
bàu	bau	bau
bày	təqdimat	"(term should be ""trưng bày"") to display (v.)"
bác	əmi	doctor
bách	sərv	"(term should be ""bách khoa"") polytechnic (adj.)"
bái	dini	to bow (v.)
bám	yapışmaq	cling
bán	satilir	sell
báng	fond	"(term should be ""phỉ báng"") to defame or slander"
báo	qəzet	newspaper (n.)
bát	qab	eight (n.)
báu	xəzinə	valuable
bây	indi	now
bã	qalıq	"(term should be ""buồn bã"") sad (adj.)"
bãi	həyətlər	beach
bão	fırtına	storm
bèn	sonra	then
bé	bala	baby
bén	kəskin	sharp (adj.)
béo	yağ	fat
bên	tərəf	side
bênh	xəstə	advocate
bì	qablaşdırma	foreskin (n.)
bìa	örtmək	cover
bìu	skrotum	sac (n.)
bí	balqabaq	secret
bính	binh	"(term should be ""bính âm"") romanized chinese words (n.)"
bíró	balqabaq	biro
bò	inək	beef
bó	dəstə	bound (adj.)
bói	bəxtəvər	to foretell (v.)
bón	gübrələmək	"entire term should be ""phan bon""; means ""fertilizer"""
bóng	top	sphere or ball
bóp	sıxmaq	squeeze
bô	potty	"(term should be ""bôxit"") the mineral bauxite"
bôi	qaraldı	to apply (as in oil)
bông	pambıq	flower
bù	makiyaj etmək	compensate
bùa	amulet	talisman
bùn	palçıq	mud
bùng	alovlanmaq	"(term should be ""bùng nổ"") to break out (v.)"
bú	əmizdirmək	to suck
búa	çəkic	a hammer
búi	tüfənglər	tuft
bún	çörek	noodle
búng	çırpıldı	snap
bút	qələm	pseudonym
băm	hasil	hash
băn	qaşqabaq	concerned
băng	buz	"(term should be ""băng giá"") freezing (adj.)"
bơ	kərə yağı	"(term should be ""bơ vơ"") desolate (adj.)"
bơi	üzmək	swim
bơm	nasos	pump
bưu	poçt	post office
bước	addım	a step (n.)
bướm	kəpənək	butterfly
bạ	əlaqə	directory
bạc	gümüş	meager
bạch	şəffaf	"(should be ""bạch tuộc"") an octopus"
bại	uğursuz oldu	defeated
bảng	masalar	chart
bảo	bao	protect
bảy	yeddi	seventh
bấm	mətbuat	press
bất	real	"(term should be ""bất cứ"") any (adj.)"
bấy	bu	contemporary
bần	kasıb	poor
bầu	səs verin	vote
bầy	sürü	servant
bẩm	anadangəlmə	congenital
bẩn	çirkli	the
bẩy	tələ	"(term should be ""lẩy bẩy"") unsteadily (adv.)"
bẫy	tələ	a trap (n.)
bậc	dərəcəsi	level or class (n.)
bận	məşğuldur	busy
bật	açıldı	outstanding
bắc	şimal	beijing
bắcnam	şimalnamə	"(term should be ""bắc-nam"") north-south (adj.)"
bắn	vurmaq	shoot
bắp	qarğıdalı	venter
bắt	tutmaq	cross
bằng	bərabərdir	by
bẹp	əzmək	crush
bẻ	qırmaq	break
bẽ	alçaltmaq	humiliate
bến	dok	wharf
bếp	mətbəx	kitchen
bề	səthi	"(should be ""bề mặt"") a surface"
bền	davamlıdır	enduring (v.)
bể	qırıq	tank
bệ	piyada	base
bện	örgülü	braided (adj.)
bệnh	xəstə	benh
bỉ	belçika	disgust
bỉnh	yaramaz	binh
bịch	zərbə	ridiculous
bịt	örtülmüşdür	cover
bọ	səhvlər	insect
bọc	sarmaq	to cover or enclose (v.)
bọn	onları	a group (n.)
bọng	şişkinlik	bladder
bọt	köpük	foam
bỏ	imtina etmək	to leave (v.)
bỏng	yanıqlar	hot
bố	ata	"(term should be ""tuyên bố"") to declare"
bốc	yükləmə	bốc lửa= on fire
bối	qarışıq	messy
bốn	dörd	four
bồi	kompensasiya	"(term should be ""cao bồi"") cowboy (n.)"
bổn	vəzifə	duty
bổng	təqaüd	"with word luong, means ""salary"" or ""wages"""
bỗng	birdən	suddently
bộ	dəsti	part
bộc	bok	"(term should be ""bộc lộ"") to reveal (v.)"
bội	çoxalır	betray
bột	xəmir	powder or flour (n.)
bớ	yuvarlaqlaşdırmaq	arrest
bớt	az	less
bờ	sahil	coast
bời	qabar	profuse
bở	tərəfindən	profitable
bởi	tərəfindən	because
bục	kürsü	platform
bụng	qarın	abdomen
bứt	bilmədən	"(term should be ""bứt phá"") power (n.)"
bừa	dartmaq	messy, careless, or topsy-turvy (adj.)
bữa	yemək	meal (n.)
bực	incidir	bother
ca	ca	praise
ca-lo	ca-lo	a unit of measurement
cabo	cabo	cabo
cacbon	karbon	carbon
cacbonat	karbonat	carbonate
cacbua	karbid	carbides, carbon ions
caesar	qeysər	caesar
caffein	kofein	caffeine
café	qəhvə	coffee
cai	cai	govern
cairo	qahirə	cairo, the capital of egypt
cal	cal	cal, a first name
calculus	hesablama	calculus
calvin	calvin	calvin
cam	narıncı	commit
cambodia	kamboca	(proper noun) the country of cambodia
cambridge	cambridge	cambridge
cameo	kamo	cameo part
cameron	kamera	cameron
cameroon	kamera	cameroon
camille	kamil	camille
campbell	düşərgə	campbell
campuchia	kamboca	campuchia
canada	kanada	canada
canadian	kanadalı	canadian
canal	kanal	canal
canary	kanareyka	canary
cancer	xərçəng	cancer
canterbury	canterbury	canterbury
canxi	kalsium	calcium
capello	kapello	capello
capra	kapra	capra
carat	karat	carat
carbine	karbin	carbine
cardcaptor	kartcaptor	cardcaptor
cardcaptors	kart tutanlar	(proper noun) cardcaptors
carey	carey	(proper noun) carey, as in singer mariah carey
caribe	karibe	caribbean
caribê	karib	caribbean
carl	carl	carl
carlos	carlos	carlos
carnaval	karnaval	carnaval
carol	carol	carol
caroline	karolin	(proper noun) caroline
carpathia	karpatiya	carpathia
carter	karter	carter
carxtơ	karat	karst topography, a geological term (n.)
casa	casa	casa
casablanca	kasablanka	casablanca
caspia	caspia	caspia
cassini	kassini	cassini
cast	tökmə	cast
castries	kasetlər	castries
castro	kastro	castro, as in fidel castro
cathay	cathay	cathay
catherine	ketrin	catherine
cau	cau	cau
cbc	cbc	cbc
cbgd	cbgd	educational  officer
cbs	cbs	cbs
ccc	ccc	ccc
ccn	ccn	industrial cluster
cctv	cctv	cctv
cd	cd	cd
cdot	cdot	cdot
cdrom	cdrom	cd-rom
cell	hücrə	cell
celtic	selikli	centic
cena	cena	(proper noun) cena, as in john cena, the wrestler
centauri	centauri	centauri
ceres	ceres	ceres
cha	ata	father
chai	şüşə	bottle
chaillot	çəngəl	a name
chamberlain	kamera	chamberlain
champa	şampan	champa
champion	çempion	champion
chamẹ	hamam	parents
chanel	şanel	chanel
chanh	limon	lemon or lime (n.)
chao	salam	(proper noun) chao, a name
charles	çarlz	charles
charlotte	charlotte	charlotte
charlton	charlton	charlton
charon	charon	(proper noun) charon
chase	təqib etmək	chase
chay	vegetarian	fasting
chdcnd	chdcnd	democratic republic
che	örtmək	cover
chechnya	çeçenistan	chechnya
chen	chen	chen
cheo	çeynəmək	"(term should be ""cheo reo"") name of a town"
chi	chi	"(term should be ""chi tiết"") details (n.)"
chia	bölünmüşdür	"(term should be ""chia sẻ"") to share"
chiang	chiang	chiang
chicago	çikaqo	chicago, as in chicago, illinois
chile	çili	(proper noun) the country of chile
chim	quş	bird
china	çin	china
ching	çəngəl	ching
chirac	şirak	chirac, as in former french president jacques chirac
chiêm	astroloji	"(term should be ""chiêm thành"") the ancient kingdom of champa in vietnam"
chiên	qızardılmış	fry
chiêng	gong	gong
chiếc	ədəd	the
chiếm	işğal edib	appropriate
chiến	mübarizə	war, fight
chiết	çıxarış	literal
chiếu	proyeksiya	show
chiền	dəstə	temple
chiều	axşam	length
chlamydia	xlamidiya	chlamydia
chloride	xlorid	chloroauric acid
chnd	chnd	chnd
choi	çalmaq	choi
chomsky	xomsky	chomsky
chong	çəng	chong
chopin	chopin	chopin
chosŏn	chosŏn	(proper noun) choson
choàng	kape	coat
choáng	heyrətləndi	dizzy
chris	xris	chris, as in chris hughes
christ	xristian	christ
christian	xristian	christian
christopher	xristian	christopher
chrome	xrom	chrome, as in google chrome
chrysler	xrizler	(proper noun) chrysler, the car company
chu	çu	cycle
chua	turş	tomato
chuck	çaqmaq	(proper noun) chuck, as in chuck norris
chui	yeraltı	underground
chum	chum	pot
chun	çun	chun
chung	ümumi	general
churchill	kilsill	churchill
chuyên	ixtisaslaşmış	professional
chuyến	səyahət	trip
chuyền	keçmək	volleyball
chuyển	köçürmə	to move
chuyện	hekayə	nói chuyện= talk
chuôi	tutmaq	handle
chuông	zəng	a bell
chuẩn	standart	standard
chuốc	poke	incur
chuối	banan	banana
chuốt	broşura	refine
chuồng	anbar	cage
chuỗi	simli	series
chuộc	geri qaytarmaq	redeem
chuộng	üstünlük verdi	favorite
chuột	siçan	a mouse (n.)
chà	ovuşdurmaq	rub
chài	balıqçılıq	fish
chàm	indigo	indigo
chàng	oğlan	"(term should be ""chàng trai"") a young man (n.)"
chào	salam	welcome
chày	beysbol	a pestle (n.)
chánh	rəis	"(term should be ""chánh án"") the head of a tribunal (n.)"
cháo	sıyıq	porridge
cháu	nəvələri	a term one uses denoting oneself when addressing an aunt or uncle (n.)
cháy	yanan	fire
châm	prick	motto
chân	ayaqları	a leg
châu	avropa	continental
chè	çay	tea
chèn	daxil edin	insert
chém	çizik	to chop
chén	kubok	bowl
chéo	xaç	cross
chép	surəti	written
chê	lənətləmək	decry
chênh	fərqlilik	difference
chì	qurğuşun	graphite
chìa	açar	"(term should be ""chìa khoá"") a key (n.)"
chìm	batmaq	to become submerged or sink (v.)
chình	eel	eel
chí	bit	especially
chích	enjeksiyon	shoot
chín	doqquz	ripe
chính	ana	main
chít	çit	dense
chò	boğmaq	a type of plant, typically of the parashorea genus (n.)
chòi	daxma	hut
chòm	bürc	constellation
chó	itlər	dog
chóc	haha	killing (giet choc)
chói	parıltı	bright
chóng	tez	"entire term should be ""chong mat""; means ""dizzy"""
chóp	ucu	the top (n.)
chôm	rambutan	rambutan
chôn	dəfn edilmişdir	bury
chông	ər	thorn
chùa	paqoda	pagoda
chùy	mace	mace
chú	əmi	uncle (n.)
chúa	allah	god
chúc	arzulamaq	will
chúi	tuu	drop
chúng	onları	they
chút	biraz	little
chăm	qayğı göstərmək	champa
chămpa	şampa	champa
chăng	əlverişli	would it
chĩa	çəngəllər	point
chơi	çalmaq	play
chơn	ayaqları	"a more obscure form of the word ""chân""; means ""genuine"" or ""true"""
chư	çu	lower authorities
chưa	hələ yox	not yet
chưng	dist	steamed
chương	fəsil	medal
chướng	maneə kursu	grating
chạ	xəyanətkar	father
chạm	toxunmaq	touch
chạng	alacakaranlıq	twilight
chạp	titrək	slow
chạy	qaçmaq	to run (v.)
chả	rulonlarda	no
chảo	tava	pan
chảy	axan	bleeding
chấm	nöqtə	end
chấp	ipoteka	"(term should be ""chấp nhận"") to accept (v.)"
chất	maddə	quality
chấu	çimdik	"(term should be ""châu chấu"") a grasshopper (n.)"
chần	yatmaq	slice
chẩn	diaqnoz qoyun	"(term should be ""chẩn đoán"") to diagnose (v.)"
chậm	yavaş-yavaş	slow
chận	blok	block
chật	sıx	overcrowded
chậu	qab	pelvic
chắc	əmin	certainly
chằng	qaş	ligament
chẵn	hətta	even
chặn	blok	prevent
chặng	ayaq	journey
chặt	sıx	close
chẻ	parçalanmaq	strick
chẽ	sıx	"(term should be ""chặt chẽ"") tightly or closely (adv.)"
chế	hazırlıqlar	produce
chếch	yalqız	oblique
chết	ölmək	to die (v.)
chệch	səhv	deviant
chỉ	yalnız	just (adv.)
chỉnh	düzəliş	adjust
chịt	qarmaqarışıq	chằn chịt= complex/tangle
chịu	ayı	tolerate
chọc	soxmaq	to poke
chọi	döyüşür	oppose
chọn	seçmək	to choose
chỏ	dirsək	"(term should be ""cùi chỏ"") elbow (n.)"
chốc	an	single
chối	inkar etmək	refuse
chốn	yer	place
chống	əleyhinə	anti-
chốt	latch	important
chồi	zərbələr endirir	"(term should be ""đâm chồi"") budding"
chồn	çəngəl	anxious
chồng	ər	husband
chỗ	yer	where
chội	bağırlamaq	cramped
chớ	etmə	not
chớp	ildırım	flashing (adj.)
chờ	gözləyin	to wait
chở	daşımaq	for
chợ	bazar	market
chợt	birdən	suddenly
chục	çoxdur	dozen
chụp	atəş	capture
chủ	sahibi	"(term should be ""chủ yếu"") main or essential (adj.)"
chủng	suşları	strain
chứ	əksinə	just or only (adv.)
chứa	ehtiva edir	contain
chức	funksiyası	function
chừ	gözləyin	hesitate
chừa	tərk edir	leave
chừng	təqribən	about or roughly (adv.)
chử	söz	"(term should be ""chử bích"") the vietnamese name for a chinese island"
chửa	hamilə	pregnant
chửi	lənətləmək	curse
chữ	söz	a letter of the alphabet (n.)
chữa	müalicə	to cure or treat (v.)
chững	düzəldilmə	to totter (v.)
cia	cia	cia
cincinnati	cincinnati	cincinnati
cinderella	zoluşka	cinderrella
cip	cip	cip
circus	sirk	circus
cities	şəhərlər	cities
clara	clara	clara
clark	klark	clark
claude	claude	(proper noun) claude
claudius	klaudius	(proper noun) claudius
clinton	klinton	clinton, as in former president bill clinton
clip	klip	clip
clips	kliplər	clips
clo	xlor	chlorine
clow	clow	clow
clyde	clyde	(proper noun) clyde, as in bonnie and clyde
cmc	smc	cmc
cmt	smt	cmt
cn	cn	christian era
cnet	cnet	cnet
cntb	cntb	capitalism
cntt	cntt	it
cnxh	cnxh	social republic
co	co	spasm
coburn	coburn	coburn
cocoa	kakao	cocoa
coen	coen	coen
coffea	qəhvə	coffee
cohen	cohen	cohen
coi	hesab olunur	to regard
coleen	coleen	coleen
coleman	coleman	coleman
coli	coli	coli
colin	kolin	(proper noun) colin, as in colin powell
colleen	həmkarı	colleen
college	kollec	college
collins	kollinlər	(proper noun) collins
collège	kollaj	college (n.)
colombia	kolumbiya	colombia
colombo	kolombo	(proper noun) colombo
colorado	kolorado	(proper noun) colorado, as in the state
columbus	kolumbus	columbus
comic	komik	comic
common	ümumi	common
concacaf	concacaf	concacaf
concerto	konsert	concerto
concorde	razılıq	concorde
condom	prezervativ	condom
cong	əyri	curved or bent
congo	congo	congo
congress	qurultay	congress, as in library of congress
connecticut	bağlayıcı	connecticut
conrad	conrad	corrad
conservation	konservasiya	conservation
constantine	daimi	constantine
contemporary	çağdaş	contemporary
cooper	koop	(proper noun) cooper
copenhagen	kopenhagen	copenhagen
copernic	kopernik	corpernic
copperfield	misfild	(proper noun) copperfield, as in magician david copperfield
coppola	coppola	coppola
copy	surəti	copy
cordyceps	kordiseplər	cordyceps
core	əsas	core
cornell	qarğıdalı	cornell
cosin	kosin	cosine
costa	kosta	costa
cotang	kotanq	cotangent
cpt	cpt	cpt
craig	craig	(proper noun) craig
crazy	dəli	crazy
crespo	crespo	(proper noun) crespo
crest	kəklik	crest
crew	heyət	crew
crimson	qırmızı	crimson
crisis	böhran	crisis
cristiano	kristiano	cristiano, as in portuguese soccer player cristiano ronaldo
croatia	xorvatiya	croatia
cross	xaç	cross
crs	crs	crs
cruz	cruz	cruz
cruzeiro	kruzeyro	cruzeiro
crystal	büllur	crystal
ctc	ctc	ctc
cua	cır	crab (n.)
cullen	cullen	a name
cung	rüku	circle
cunningham	hiyləgərham	cunningham; proper name
cup	kubok	cup
cuả	of	of, from, belonging to
cuốc	hoes	hoe
cuối	son	last or final (adj.)
cuốn	kitab	book
cuống	sapı	throat
cuồng	dəli	crazy (adj.)
cuộc	mübarizə	the
cyanide	siyanid	cyanide
cyber	kiber	cyber
cyril	kiril	(proper noun) cyril
cyrus	sirr	cyrus
cyworld	cyworld	cyword
cà	qəhvə	ca
cài	quraşdırmaq	install
càn	ehtiyac	raid
càng	daha çox	cang
cành	filial	branch
cào	çizilmə	scratch
cày	şumlama	plow
các	the	all (adv.)
cách	yol	the
cái	the	"(term should be ""con cái"") children (n.)"
cán	yuvarlanıb	"(should be ""cán bộ"") an officer, especially in a communist regime"
cánh	qanadlar	wing
cáo	tülkü	report
cáopx|bình	cáopx | orta	not a word
cáp	kabel	cable (n.)
cáy	ifaçı	fiddler
câm	lal	mute (adj.)
cân	miqyaslı	weight
câu	cümlə	saying
cãi	mübahisə	argue
cò	tetikleyici	stork
còn	qalıb	to have left (v.)
có	bəli	have
cói	oturmaq	machine
cót	çarpayı	cot
cô	onun	girl
côi	yetim	orphaned
côn	taper	a stick (n.)
công	işləmək	worker
côngtenơ	konteyner	container
cõi	səltənətlər	entire area
cõng	donuzluq	piggyback
cù	qıdıq	cu
cùi	cüzamlılar	leprosy
cùng	birlikdə	together
cú	bayquş	old
cúi	rüku	to bow (v.)
cúm	qrip	cum
cúng	rahat	worship
cúp	kəsilmə	cup (n.)
cút	çıxmaq	to kick someone out (v.)
căm	qoşulub	detest (cam thu)
căn	radikal	"(term should be ""căn bệnh"") cause of a disease (n.)"
căng	uzanmaq	tense
cũ	köhnə	old
cũi	beşik	kennel
cũng	həmçinin	also
cơm	düyü	rice
cư	məskunlaşmaq	resident
cưa	gördüm	saw
cưng	sevgilim	also
cước	yük	megaman
cưới	evli	marry
cướp	soymaq	to rob (v.)
cười	gülmək	smile
cường	sıx	strengthen
cưỡi	minmək	ride
cưỡng	məcbur	force some body to do some thing. cưỡng dâm=rape
cạc	kartı	card (n.)
cạn	dayaz	shallow
cạnh	kənar	"(term should be ""khía cạnh"") an angle"
cạo	qırxmaq	shave
cạp	əqrəb	scorpion
cả	hər ikisi	both
cải	xardal	reform
