$  	dollar təşkil edib	dollar
alakulat	formalaşması	formation
alakulatok	qüvvələr	corps
alakulnak	inkişaf edir	are formed
alakult	quruldu	developed
alakultak	inkişaf etmişdir	formed
alakulása	təkamül	development
alakít	forma	shapes
alakítja	çevirir	forms
alakított	formalaşmışdır	formed
alakította	formalı	developed
alakítottak	yaradılmışdır	formed
alakították	dizayn edilmişdir	formed
alakító	formalaşdırmaq	forming
alakú	formalı	shaped
alan	alan	alan
alanyeset	alanyeset	nominative (case)
alap	əsas	foundation
alapfokú	ibtidai	primary
alapja	təməli	basis of
alapjai	vəqflər	basis of
alapjait	təməllər	foundations
alapján	əsasən	based on
alapját	əsas	foundation
alapjául	əsas	besed
alapon	əsas	on a base
alaposan	hərtərəfli	thoroughly
alapot	təməli	foundation
alapszik	əsasən	based
alapul	əsasən	based on
alapuló	yandır	based on
alapvető	əsas	fundamental
alapvetően	əsasən	basically
alapított	quruldu	founded
alapította	quruldu	found
alapítottak	quruldu	founded
alapították	quruldu	founded
alapítvány	təməli	foundation
alapítása	təməli	foundation of sg
alapító	qurucusu	founding
alapítója	qurucusu	founder
alapú	əsaslı	foundation
alaszka	alyaska	alaska
alatt	altında	during
alatta	altında	under
alatti	aşağıda	below
albert	albert	albert
alberto	alberto	alberto
album	albom	album
albuma	albom	sy's/sg's album
albumok	albomlar	albums
albumon	albom	album
albumot	albom	album
albumról	albom	(from the) album
albumuk	albom	albums
albumát	albom	album
albán	alban	albanian
albánia	albaniya	albania
albánok	albanlar	albanians
aldehid	aldehid	aldehid
alelnök	vitse prezident	vice president
alessandro	alessandro	alessandro
alex	alex	alex
alexander	alexander	alexander
alexandra	alexandra	alexandra
alexandrosz	i̇skəndər	alexander
alfa	alfa	alpha
alfonz	alfonso	alfonz
alfred	alfred	alfred
alfréd	alfred	alfred
alföld	ovalıq	plain
alföldi	böyük düzənliklər	plain
ali	ali	ali
alig	çətinliklə	barely
alján	alt	at the bottom of
alkalmanként	ara-sıra	occasionally
alkalmas	uyğun	suitable
alkalmasak	uyğun	proper
alkalmat	fürsət	occasion
alkalmazható	tətbiq olunur	applicable
alkalmaznak	istifadə olunur	apply
alkalmazni	müraciət edin	employ
alkalmazott	işçi	employee
alkalmazta	tətbiq olunur	employed
alkalmaztak	istifadə olunur	used
alkalmazták	istifadə olunur	applied
alkalmazza	müraciət edin	inconsistent examples (alkalmaz something=use - alkalmaz someone=employ)
alkalmazzák	müraciət edin	apply
alkalmazás	tətbiqi	application
alkalmazása	tətbiqi	use of
alkalmazások	tətbiqlər	applications
alkalmazásával	tətbiqi	application
alkalmi	gündəlik	occasional
alkalmából	münasibətilə	on the occasion of
alkalmával	münasibətilə	at the occasion of
alkalom	münasibətilə	occasion
alkalommal	vaxt	on occasion
alkatrészek	hissələri	parts
alkohol	alkoqol	alcohol
alkoholt	alkoqol	alcohol
alkot	yaratmaq	forms
alkotják	makiyaj etmək	constitute
alkotmány	konstitusiya	constitution
alkotmánya	konstitusiya	constitution of
alkotmánybíróság	konstitusiya məhkəməsi	constitutional court
alkotmányos	konstitusiya	constitutional
alkotmányt	konstitusiya	constitution
alkotnak	forma	(they) create
alkotott	yaradılmışdır	created
alkotta	yaradılmışdır	created
alkottak	yaradılmışdır	created
alkották	yaradılmışdır	constituted
alkotás	yaradılması	creation
alkotása	birja	creation
alkotásai	əsərləri	creations
alkotások	yaradılışlar	creations
alkotó	yaradıcı	constituting
alkotói	yaradıcı	creators
alkotója	yaradıcısı	creator of
alkotók	yaradıcıları	creators
alkotórésze	komponent	constituent
allan	allan	not a hungarian word, it is the name of a person
allen	allen	allen
allél	allele	allele
alma	alma	apple (provided examples are first names as alma is also a first name in hungary)
alonso	alonso	alonso
alpesi	alp	alpine
alpha	alfa	alpha
alpok	alp dağları	alps
alsó	aşağı	bottom
alsóbb	aşağı	lower
alternatív	alternativ	alternative
alul	alt	at the bottom
alumínium	alüminium	aluminium
alá	aşağıda	below
alább	bundan sonra	hereafter
alábbi	aşağıda	following
alábbiak	növbəti	following
aláírta	imzalanıb	signed
aláírása	imza	signature of
alól	dən	from
am	am	am
amatőr	həvəskar	amateur
ambrus	ambrus	ambrosia
amellett	başqa	besides
amellyel	ilə	with which
amely	hansı	which
amelybe	hansı	in which
amelyből	hansı	from which
amelyek	hansı	to which
amelyekben	hansı	in which
amelyeken	hansı	through which
amelyeket	hansı	of which
amelyekkel	hansı	with wich
amelyeknek	hansı	to which
amelyen	hansı	on which
amelyet	hansı	which
amelyhez	hansı	to which
amelyik	hansı	which
amelynek	hansı	of which
amelyre	hansı	to which
amelyről	hansı	about which
amennyi	olduğu kimi	as much as
amennyiben	inamsız olaraq	in so far as
america	amerika	america
american	amerikalı	american
amerika	amerika	america
amerikai	amerika	american
amerikaiak	amerikalılar	americans
amerikába	amerikaya	in america
amerikában	amerika	in america
ami	hansı	wich
amiben	hansıda	in which
amiből	hansı	from which
amihez	hansı	to what
amik	nə	that are
amiket	nə	which
amikor	nə vaxt	when
amilyen	kimi	like
amin	amin	what
aminek	hansı	for which
aminosavak	amin turşuları	amino acids
amint	kimi	as soon as
amire	sən	what
amiről	haqqında	what
amit	nə	that
amivel	hansı	with which
amiért	niyə	for which
amy	amy	amy
amíg	qədər	while
amúgy	yeri gəlmişkən	anyway
an	bir	of them
anapesztus	anapest	apaest
anatómiai	anatomik	anatomic
anderson	anderson	anderson
andok	andlar	andes
andor	və	andor (forename)
andrea	andrea	andrea
andrew	andrew	andrew
andrás	andrew	andrás
andrássy	andrássy	andrássy
andré	andré	andré
andy	andy	andy
angeles	mələklər	angeles
angelesben	angeles	in angeles
angelesi	angeles	angeles
angelina	angelina	angelina
anglia	i̇ngiltərə	england
angliai	i̇ngiltərə	england
anglikán	anglikan	anglican
angliába	i̇ngiltərə	to england
angliában	i̇ngiltərədə	in england
angol	i̇ngilis	english
angolok	i̇ngilislər	england
angolszász	anglo-sakson	anglo-saxon
angolszászok	anglo-saksonlar	anglosaxons
angolul	ingiliscə	in english
angyal	mələk	angyal
angyalok	mələklər	angels
anikó	aniko	anikó
anime	anime	anime
animációs	animasiya	animated
animében	anime	in anime
anita	anita	anita
ann	ann	ann
anna	anna	anna
annak	üçün	to
anne	anne	anne
annyi	bu qədər	so many
annyira	ki	so
annyit	o qədər	so much
annál	daha çox	more
antal	antal	antal
antant	entente	entente
anthony	qarışqa	anthony
anticiklon	antiklon	anti-cyclon
antigoné	antigon	antigone
antik	antik	antique
antológia	antologiya	anthology
anton	anton	anton
antonio	antonio	antonio
anya	ana	mother
anyag	material	material
anyaga	material	theme
anyagból	material	(from) matter
anyagi	material	financial
anyagok	materiallar	materials
anyagokat	maddələr	materials
anyagot	material	material
anyagát	material	material of
anyai	ana	maternal
anyanyelvű	danışan	native speaker
anyja	ana	sy's mother
anyjának	ana	his mother
anyját	ana	mother
anyák	analar	mothers
apa	ata	father
apai	ata	fatherly
apja	ata	his father
apjának	ata	to the father of sy
apját	ata	her/his father
apjával	ata	father
apollo	apollon	apollo
apolloprogram	apolloproqram	project apollo
apostol	həvari	apostle
apple	alma	apple
apró	kiçik	small
arab	ərəb	arabic
arabok	ərəblər	arabs
arad	arad	arad
aradi	arad	from arad
aragóniai	araqon	of aragon
arany	qızıl	arany
aranybulla	qızıl bull	golden bull
aranycsapat	qızıl komanda	gold team
aratott	qələbə	harvested
arattak	biçilib	scored
arca	onun üzü	face of
arcképe	portret	portrait of
arcát	onun üzü	face of sy/sg
arena	arena	arena
argentin	argentinalı	argentinian
argentína	argentina	argentina
arisztokrácia	aristokratiya	aristocracy
arisztotelész	aristotel	aristotle
arnold	zireh	arnold
arra	üçün	to
arról	haqqında	about
arsenal	arsenal	arsenal
art	zərər verir	art
arthur	artur	arthur
artúr	artúr	arthur
arány	qızıl	rate
aránya	nisbət	ration of
arányban	nisbət	rate
aránylag	nisbətən	relatively
arányos	gözəl	proportional
arányuk	onların payı	ratio of sgs
asimov	asimov	asimov
aspergerszindrómás	aspergerszindrómás	with asperger syndrome
assisi	assisi	assisi
asszony	qadın	lady
asszonyok	qadınlar	women
asztali	masa	table
at	at	not a hungarian word
athenaeum	athenaeum	athenaeum
athén	afina	athens
athéni	afinalı	from athens
atlantisz	atlantis	atlantis
atlantióceán	atlantik okeanı	atlantic ocean
atlético	atletiko	atlético
atom	atom	atom
atombomba	atom bombası	atomic bomb
atomok	atomları	atoms
atp	atp	atp
attila	attila	attila
atya	ata	father
atyja	ata	his/her father
augusztus	avqust	august
augusztusban	avqustda	in august
aus	aus	aus - german word
auschwitz	auschwitz	auschwitz
ausztria	avstriya	austria
ausztriában	avstriya	austria
ausztriát	avstriya	austria
ausztrál	avstraliya	australian
ausztrália	avstraliya	australia
ausztráliai	avstraliya	australian
ausztráliában	avstraliya	in australia
autizmus	autizm	autism
autoimmun	otoimmün	autoimmunity
automatikus	avtomatik	automatic
automatikusan	avtomatik olaraq	automatically
autonóm	muxtar	autonomic
autonómiát	muxtariyyət	autonomy
autó	maşın	car
autóbusz	avtobus	bus
autója	maşın	the car of sy
autók	avtomobillər	cars
autópálya	avtomobil yolu	motorway
autópályák	avtomobil yolları	highways
autót	maşın	car
avagy	və ya	or
avar	avar	avar
avarok	avarlar	avars (ancient faction)
avatták	açıldı	inaugurated
award	mükafat	award
awards	mükafatlar	awards
ayrton	ayrton	ayrton
az	the	the
azaz	deyin	namely
azelőtt	əvvəl	beforehand
aznap	o gün	the same day
azok	olanlar	those
azokat	olanlar	them
azokban	içində	those
azokkal	ilə	with those
azoknak	olanlar	of those
azokon	yandır	on
azokra	olanlar	those
azon	the	on that
azonban	lakin	is
azonnal	dərhal	immediately
azonnali	dərhal	immediate
azonos	eyni	identic
azonosították	müəyyənləşdirilib	identified
azt	o	it
aztán	sonra	then
azután	sonra	after
azzal	ilə	with that
azért	buna görə	because
azóta	indidən bəri	since then
babits	körpələr	babits (surname)
bach	baq	bach
baja	səhv	baja
bajnai	bajnai	bajnai
bajnok	çempion	champion
bajnoki	çempionat	champion
bajnokok	çempionlar	champions
bajnokság	çempionat	championship
bajnokságban	çempionat	championship
bajnokságot	çempionat	championship
bajor	bavariya	bavarian
baksis	baksheesh	baksheesh
bakteriális	bakterial	bacterial
baktérium	bakteriya	bacteria
baktériumok	bakteriya	bacteria
baktériumokat	bakteriya	bacteria
bal	top	left
balassa	balassa	balassa
balassi	balassi	balassi
balaton	göl balaton	lake balaton
baleset	qəza	accident
balesetet	qəza	accident
balett	balet	ballet
balkáni	balkan	balkan
balogh	balogh	balogh (surname)
baloldali	qalıb	leftist
balra	sola	to the left
balról	soldan	from the left
balti	baltik	baltic
balázs	balazlar	balazs
ban	içində	in
band	qrup	band
banda	qrup	band
bank	bank	bank
bankjegyek	veksellər	banknotes
bankok	banklar	banks
baptizmus	vəftiz	baptism
bar	bar	bar
barabás	barabas	barabás
barack	şaftalı	barack
baranya	baranya	baranya (location)
barbara	barbar	barbara
barcelona	barselona	barcelona
barcelonában	barselona	in barcelona
barhesz	çallah	challah
barna	qəhvəyi	barna (forename)
barney	barne	barney
barokk	barok	baroque
barométer	barometr	barometer
barrett	barret	barrett
barry	bərə	barry
bartók	bartoq	bartók
barát	dost	friend
barátai	dostlar	friends
baráti	mehriban	friendly
barátja	dost	friend
barátjának	dost	for his/her friend
barátját	dost	friend of
barátjával	dost	friend
barátnője	rəfiqə	(her) girlfriend
barátok	dostlar	friends
barátság	dostluq	friendship
barátságos	mehriban	friendly
barátságot	dostluq	friendship
bass	bas	bass
batman	batman	batman
batthyány	batthyány	batthyány
bay	bəy	"not a hungarian word. ""bay"" means ""öböl"" in hungarian."
bayern	bayern	bayern
bazilika	bazilika	basilica
bazsarózsa	peony	paeonia
bbc	bbc	bbc, british broadcasting corporation
be	yandır	into
beagle	beagle	a space probe
beatles	beatles	beatles
beavatkozás	müdaxilə	interference
beceneve	ləqəb	sy's nickname
beck	beck	beck
beckham	beckham	beckham
becslés	qiymətləndirmə	estimate
becslések	qiymətləndirir	estimations
becsületes	dürüst	honest
beethoven	beethoven	beethoven
befejezetlen	yarımçıq	unfinished
befejezett	bitirdi	finished
befejezte	bitirdi	finished
befejezése	başa	the end
befolyás	təsir	influence
befolyása	təsir	influence of
befolyásolja	təsir	influence
befolyásolják	təsir edir	affect
befolyásolta	təsirləndi	influenced
befolyásos	təsirli	influential
befolyással	təsir	with influence
beiratkozott	qeydiyyata alınıb	registered
bejelentette	elan etdi	announced
bejelenti	elan edir	announces
bejutott	təsnifat	qualified
bejárata	giriş	entrance of
bek	§	world cup
bekerült	daxil edilmişdir	got into
bekövetkezett	içində	occured
bekövetkező	içində	subsequent
bel	bel	bel
bele	daxil	into
beleegyezett	razılaşdı	agreed
beleértve	daxil olmaqla	included
belföldi	yerli	interior
belga	belçika	belgian
belgium	belçika	belgium
belgrád	belqrad	belgrade
bell	zəng	bell
bella	bella	first name
belseje	daxili	interior
belsejében	içəri	in its innards
belső	daxili	internal
belváros	şəhərin mərkəzində	downtown
belvárosban	şəhərin mərkəzində	downtown
belvárosi	şəhərin mərkəzində	downtown
belépett	addımladı	entered
belül	daxilində	inside
belüli	içində	inside
belőle	o	it
belőlük	onlardan	they
bem	bem	bem
bemutatja	təqdim edir	presents
bemutatni	indiki	to introduce
bemutatott	nümayiş etdirilib	presented
bemutatta	təqdim etdi	introduced
bemutatták	təqdim etdi	introduced
bemutatása	təqdimat	introduction
bemutató	sərgi	presentation
bemutatója	dərslik	premier od sg
ben	içində	ben
bencés	benedikt	benedictine
benedek	benedik	benedict
benefícium	xeyir	benefitium
benne	içində	therein
bennük	onlar	they
beosztás	post	division
berendezések	imkanlar	equipment
berlin	berlin	berlin
berlinben	berlində	berlin
berlini	berlin	berlin
bernard	bernard	bernard
bertalan	bertalan	bertalan
berzsenyi	berzsenyi	berzsenyi (surname)
best	ən yaxşısı	"not a hungarian word. ""best"" means ""legjobb"" in hungarian"
beszéd	nitq	speech
beszéde	nitq	speech
beszédei	çıxışlar	speeches
beszédek	çıxışlar	speeches
beszédet	nitq	speech
beszédében	nitq	speech
beszél	danışmaq	speaking
beszélgetés	danışmaq	conversation
beszélhetünk	danışa bilərik	we can
beszélik	danışmaq	(they) speak
beszélnek	danışmaq	speak
beszélni	danışmaq	to speak
beszélt	danışdı	spoken
beszéltek	danışan	spoke
beszélünk	danışırıq	we are talk
beszélő	danışan	speaker
beteg	xəstə	patient
betegek	xəstələr	patients
betegség	xəstəlikdir	disease
betegsége	xəstəlikdir	illness of sy
betegségek	xəstəliklər	diseases
betegséget	xəstəlikdir	disease
bethlen	bethlen	bethlen
betiltotta	qadağan olunmuşdur	banned
betiltották	qadağan olunmuşdur	banned
betöltött	yüklənmişdir	loaded
betört	işğal etdi	broke into
betű	məktub	letter
betűk	məktublar	letters
betűkkel	məktublar	in ... letters
bevallása	qəbul	sy's confession
bevett	quruldu	occupied / accepted
bevezetett	tanıtdı	introduced
bevezette	tanıtdı	introduced
bevezették	tanıtdı	introduced
bevezetés	giriş	introduction
bevezetése	giriş	inctroduction of
bevezetését	tətbiqi	introduction of
bevezető	giriş	introduction
bevált	yaxşı	established
bevándorlás	immiqrasiya	immigration
bevándorlók	immiqrantlar	immigrants
bevétele	gəlir	taking
bevételi	gəlir	of revenue
beépített	daxili	built-in
biblia	müqəddəs kitab	bible
bibliai	biblical	biblical
bibliográfia	biblioqrafiya	bibliography
bibliában	müqəddəs kitab	in holy bible
bibliát	müqəddəs kitab	bible
bihari	bihari	bihari
bill	faktura	bill
billentyűs	klaviatura	with keys
billentyűzet	klaviatura	keyboard
billy	billy	billy
bin	zibil qabı	bin
biogeográfia	biogeoqrafiya	biogeography
biológiai	bioloji	biological
bipoláris	bipolyar	bipolar
birodalma	imperiya	empire
birodalmat	imperiya	empire
birodalmi	imperial	imperial
birodalom	i̇mperiya	empire
birodalomban	imperiya	empire
birtok	sahiblik	domain
birtokos	sahibi	owner
birtokában	sahiblik	in posession of
bizarr	qəribə	bizarre
bizonnyal	əlbətdə	certainly
bizonyos	müəyyən	certain
bizonytalan	qeyri-müəyyən	insecure
bizonyult	bu idi	proved to be
bizonyultak	olduğu sübut edildi	proved
bizonyítja	sübut et	proves
bizonyítják	şou	prove
bizonyított	sübut etdi	proved
bizonyíték	dəlil	evidence
bizonyítékok	dəlil	proofs
bizonyítékot	dəlil	evidence
bizottság	komissiya	committee
bizottsága	komitə	committee
bizottságot	komitə	committee
bizottságának	komitə	committee
biztonság	təhlükəsizlik	security
biztonsági	təhlükəsizlik	security
biztonságos	təhlükəsiz	safe
biztos	əmin	certain
biztosan	şübhəsiz	certainly
biztosít	qrant	assures
biztosítanak	təklif	provide
biztosítani	təmin etmək	provide
biztosítja	təmin etmək	assures
biztosítják	təmin etmək	make sure to
biztosított	sığortalı	assured
biztosította	təmin olunur	provided
biztosították	təmin olunur	secured
biztosítva	təmin etmək	assuring
biztosítása	təmin etmək	assuring of
biztosító	sığortaçı	operfixi
bizánc	bizans	byzantine empire
bizánci	bizans	bizantian
bl	bl	short for a type of football championship
blackmore	blackmore	blackmore
blog	blog	blog
blogok	bloglar	blogs
blokk	bloklar	block
bmw	bmw	bmw
bob	bobsled	bob
bobby	bobbi	bobby
bocskai	bocskai	from bocska (location)
bokros	köklü	bushy
boldog	xoşbəxt	happy
bolgár	bolqar	bulgarian
bolgárok	bolqarlar	bulgarians
bolsevik	bolşevik	bolshevik
bolyai	bolyai	bolyai
bolygó	planet	planet
bolygók	planetlər	planets
bolygót	planet	planet
bolívia	boliviya	bolivia
bolíviai	boliviya	bolivian
bomba	bomba	bomb
bon	bon	bon
bonaparte	bonapart	person's name
bond	bağ	bond
bontakozott	açılmamış	developed
bonyolult	kompleks	complicated
bonyolultabb	daha mürəkkəbdir	complex
book	kitab	book
books	kitablar	books
bor	dəri	wine
borderline	sərhəd xətti	borderline
borok	şərablar	wines
borsodabaújzemplén	borsod abaúj zemplén	borsodaújzemplén
borvidék	şərab ölkəsi	wine region
borítja	örtülmüşdür	covers
borított	örtülmüşdür	covered
borító	örtmək	cover
bosnyák	bosniya	bosnian
bosszút	intiqam	revenge
bosznia	bosniya	bosnia
boszniahercegovina	boszniahercegovina	bosnia and herzegovina
boszniai	bosniya	bosnian
botrány	qalmaqal	scandal
botrányt	qalmaqal	scandal
botticelli	botticelli	botticelli
box	qutu	box
boy	oğlan	fiú
bozsik	bozsik	bozsik
bp	bp	budapest
bpest	bpest	"abbreviation of ""budapest"""
brassó	brasov	brasov
brassói	brasov	brassói
bratislava	bratislava	bratislava
brazil	braziliyalı	brasil
brazília	braziliya	brazil
brazíliában	braziliya	in brasil
bregma	bregma	bregma (region on human skull)
brian	brian	brian
bridge	körpü	bridge
brit	britaniyalı	british
britannia	britaniya	britain
britek	brits	british
british	britaniyalı	english word
britney	britney	britney
bronz	bürünc	bronze
bros	bros	bros
brothers	qardaşları	brothers
brown	qəhvəyi	brown
bruce	bruce	bruce
bruttó	kobud	gross
brüsszel	brüssel	brussels
brüsszelben	brüsseldə	in brussels
bt	bt	"abbreviation of ""deposit company)"
bud	qönçə	bud
buda	buda	buda
budai	buda	buda
budapest	budapeşt	budapest
budapesten	budapeştdə	budapest
budapesti	budapeştdən	of budapest
budapestre	budapeştə	budapest
budavári	buda	budavári
buddha	budda	buddha
buddhista	buddist	buddhist
buddhizmus	buddizm	buddhism
budán	buda	at buda
buenos	buenos	buenos
bukarest	buxarest	bucharest
bukott	düşdü	fallen
bukása	düşmək	fall of
bulgária	bolqarıstan	bulgary
burton	burton	burton
bush	kol	bush
busz	avtobus	bus
buszok	avtobuslar	buses
buzérfélék	rubiaceae	coffee family
bvitamin	bvitamin	vitamin b
by	tərəfindən	by
bácsi	əmi	uncle
bácskiskun	əmi kiskun	bács-kiskun
bálint	sevgililər	bálint
bán	içində	ban
bánk	bank	bánk
bánt	incitmək	bothers
bántalmak	şikayətlər	complaints
bányászat	mədən	mining
bár	bar	although
bárki	hər kəs	anyone
bármely	hər hansı	any
bármelyik	ya da	whichever
bármikor	istədiyi vaxt	anytime
bármilyen	hər hansı	any kind of
bárány	qoyun	lamb
báró	baron	baron
bástya	basit	tower
báthory	hamam	báthory
bátor	cəsur	brave
bátyja	qardaşı	older brother
bázis	baza	base
bécs	vyana	wien
bécsbe	vyana	to wienna
bécsben	wienna&#39;da	in vienna
bécsi	vyana	viennese
békaszőlőfélék	potamogetonaceae	frog wine
béke	barış	peace
békeszerződés	sülh müqaviləsi	peace treaty
békeszerződést	sülh müqaviləsi	peace treaty
békében	barış	in peace
békés	dinc	békés
békéscsaba	békéscsaba	békéscsaba
békéscsabán	békéscsaba	in békéscsaba
békét	barış	peace
béla	bəla	bob
bélhurut	enterit	gastro-enteritis
bélyegkép|a	kiçik | a	thumbnail
bélyegkép|balra|px|a	kiçik | sol | px | olan	a 120 ph thumbnail on the left
bélyegkép|jobbra|px|	kiçik | sağda | px |	thumbnail i right i pixels
bélyegkép|jobbra|px|az	kiçik | sağda | px | olan	thumbnail i right i pixels i the
bélyegkép|jobb|px|a	kiçik | sağda | px | olan	thumbnail i right i pixels i a
bélyegkép|px|a	kiçik | px | olan	stamp picture
bélyegkép|px|balra|a	kiçik | px | sol | a	stamppicture
bélyegkép|px|jobb|a	kiçik | px | sağ | olan	thumbnail i pixels i right i a
bérelt	kirayə verilir	rented
bíboros	kardinal	cardinal
bír	var	has
bírálta	tənqid	judged
bírói	məhkəmə	judge
bíróság	məhkəmə	court
bírósági	məhkəmə	judicial
bíróságok	məhkəmələr	courts
bízott	güvənmək	trust
bízta	əmanət	entrusted with
bízták	əmanət	entrusted
ból	dən	from
bölcs	adaçayı	wise
bölcsek	müdrik	wise
böngésző	brauzer	browser
börtönbe	həbsxana	to jail
börtönben	həbsxana	in prison
búcsú	vida etdi	farewell
búza	buğda	wheat
büntetés	cəza	punishment
büntetést	cəza	penalty
büszke	qürurlu	proud
ből	dən	from
bőr	dəri	skin
bővebben	daha çox	abundantly
bőven	bol	easily
bűn	günah	sin
bűncselekmény	cinayət	crime
bűncselekmények	cinayətlər	crimes
bűnök	cinayətlər	crimes
bűnös	günahkar	sinful
bűnözés	cinayət	crime
bűnöző	cinayətkar	criminal
bűnügyi	cinayətkar	criminal
c++	c ++	c++
caesar	sezar	caesar
cameron	kamera	cameron
camp	düşərgə	camp
campo	düşərgə	campo
can	bacarmaq	english word
canis	canis	dog
capone	capone	capone
carl	carl	carl
carlo	karlo	carlo
carlos	carlos	carlos
carter	karter	a person's name
cartman	kartman	cartman
cartographia	kartoqrafiya	this is an ltd's name
casa	casa	casa
castro	kastro	castro
catherine	ketrin	catherine
cc	cc	not a hungarian word
cd	cd	cd
center	mərkəz	központ
cenzúra	senzura	censorship
cf	cf	cf
chandler	çilçıraq	english word
channel	kanal	english word
chaplin	chaplin	chaplin
chapman	çapman	chapman
charles	çarlz	charles
charlie	charlie	charlie
chase	təqib etmək	chase
che	che	che
chelsea	chelsea	chelsea
chicago	çikaqo	chicago
chile	çili	chile
chopin	şopen	chopin
chris	xris	chris
christian	xristian	christian
christie	xristian	christie
christopher	xristian	christopher
chuck	çaqmaq	chuck
churchill	kilsill	churchill
cia	cia	cia
cigány	qaraçı	gypsy
cigányok	qaraçılar	gypsies
cigányság	qaraçılar	gipsy population
cikk	məqalə	article
cikke	məqalə	article
cikkei	məqalələr	articles of sy/sg
cikkek	məqalələr	inconsistent examples (items or articles)
cikkeket	məqalələr	articles
cikket	məqalə	article
ciklus	dövrü	term
ciklámen	siklamen	cy
cikászfélék	velosipedlər	cycad family
ciprus	kipr	cyprus
ciprusi	kipr	from cypus
cirill	kiril	cirill
cirkon	zirkon	cirkone
city	şəhər	city
civil	mülki	civil
civilizáció	sivilizasiya	civilization
clark	klark	clark
class	sinif	english word
claude	claude	claude
cleese	cleese	cleese
cleveland	ağıllı	cleveland
cliff	uçurum	cliff
clint	clint	clint
club	klub	klub
co	co	co
cobain	cobain	cobain
cobra	kobra	cobra
college	kollec	college
color	rəngi	color
columbia	kolumbiya	columbia
comedy	komediya	comedy
comics	prikol	comics
concerto	konsert	concerto
corona	corona	corona
corvin	corvin	corvin
corvina	korvina	corvina
costa	kosta	costa
cross	xaç	cross
cruz	cruz	cruz
csaba	csaba	csaba (forename)
csak	sadəcə	only
csakhamar	çoxdan əvvəl	shortly after
csakis	yalnız	alone
csaknem	təxminən	almost
csakúgy	sadəcə	in the same way
család	ailə	family
családban	ailə	family
családból	ailə	from a family
családfája	ailə ağacı	(his) family tree
családi	ailə	family
családja	onun ailəsi	his family
családjának	ailə	his family
családját	ailə	his family
családjával	onun ailəsi	with family
családnak	ailə	family
családok	ailələr	familys
családot	ailə	family
csapadék	yağış	precipitation
