$ tỉ	милијарду долара	$ billion
arunachal	арунахал	"(term should be ""arunachal pradesh"") a state in india (proper noun)"
asc	асц	asc
ash	пепео	a name
ashikaga	асхикага	ashikaga
ashley	ешли	(proper noun) ashley
asia	азија	asia
asm	асм	asm
asoka	асока	asoka
association	удруживање	association
assyria	асирија	assyria
aston	астон	(proper noun) aston, as in aston villa
atkinson	аткинсон	atkinson
atlanta	атланта	atlanta
atlantic	атлантик	atlantic
aua	ауа	aua
aubrac	аубрац	aubrac
audition	аудиција	audition
auflage	ауфлаге	auflage
auguste	аугусте	auguste
australia	аустралиа	(proper noun) australia
austria	аустриа	(proper noun) the country of austria
austrian	аустриан	austrian
avar	авар	a name
aviation	авијација	aviation
awad	авад	awad
award	награда	award
axit	киселина	acid
ayeyarwady	аиеиарвади	ayeyarwady
ayumi	аиуми	(proper noun) ayumi
ayutthaya	аиуттхаиа	(proper noun) ayutthaya
azerbaijan	азербејџан	(proper noun) azerbaijan
aztec	азтец	aztec, as in the aztec people (adj.)
ba	отац	three
babylon	бабилон	babylon
bacon	сланина	bacon
baden	баден	baden
baghdad	багдад	(proper noun) baghdad
bago	баго	bago
bahamas	бахами	bahamas
bahrain	бахреин	bahrain
baháí	бахаи	bahai
balearic	балеариц	balearic
bali	бали	bali
balkan	балкан	(proper adjective) balkan
balkans	балканс	balkans
ballard	баллард	ballard
bamar	бамар	bamar
ban	забрана	the
bang	прасак	state
banh	лопта	ball
banner	банер	banner
bantam	бантам	bantam
bantu	ту забрана	bantu
bao	пљачкање	bao giờ= ever
barack	барацк	barack
barak	барак	barak
barbados	барбадос	(proper noun) barbados
barbara	барбара	barbara
barbary	барбар	barbary
barca	барца	barca
barnes	барнес	barnes
barone	бароне	barone
baroque	барок	baroque
barquin	баркуин	barquin, as in ramon barquin, the cuban military colonel
barrichello	баррицхелло	barrichello
bartholdi	бартхолди	bartholdi
baryon	барион	baryon
barça	барца	(proper noun) barca
base	база	base
basel	базел	basel, a city in switzerland
basil	босиљак	basil
baskervilles	баскервиллес	baskervilles
bass	бас	bass
bator	батор	bator
battambang	баттамбанг	battambang
bauer	бауер	bauer
bay	летјети	"(should be ""tuyến bay"") an airline"
bayern	баиерн	bayern
bazan	базалт	basalt (n.)
bazơ	основни	base
bb	бб	bb
bbc	ббц	bbc
bc	пре нове ере	bc
bchtư	бцхту	central executive
beat	победити	beat
beatles	беатлес	the beatles
beauty	лепота	beauty
beckenbauer	бецкенбауер	beckenbauer, as in franz beckenbauer
becker	бецкер	(proper noun) becker
beckham	бецкхам	beckam
bedloe	постељица	bedloe
beethoven	беетховен	beethoven
beethovens	беетховенс	beethoven's
beginbmatrix	бегинбматрик	this is a code
behind	иза	behind
beijing	пекинг	beijing
bel	бел	bel
bell	звоно	bell
bella	белла	bella
bellatrix	беллатрик	bellatrix
benedict	бенедикт	benedict
benetton	бенеттон	benetton
benfica	бенфица	benfica
benito	бенито	benito
benjamin	бењамин	(proper noun) benjamin
bennington	беннингтон	bennigton
berber	бербер	berber
bergen	берген	(proper noun) bergen
berger	бергер	berger
bering	беринг	(proper noun) bering, as in the bering strait
berkeley	беркелеи	(proper noun) the city of berkeley, california
berman	берман	a name
bermuda	бермуда	(proper noun) bermuda
bernard	бернард	bernard
bertrand	бертранд	bertrand
better	боље	better
betty	бетти	betty
bhutan	бутан	bhutan
bia	пиво	beer (n.)
biang	бианг	biang
bic	биц	bic
bikini	бикини	bikini
bill	рачун	(proper noun) bill, as in former president bill clinton
billy	билли	billy
bismarck	бисмарцк	bismarck, as in otto von bismarck
bitmap	битмап	bitmap
biên	запис	bien
biếc	чајка	a bluish-green color (adj.)
biếm	безбрижан	"(term should be ""biếm họa"") cartoon (n.)"
biến	напоље	other
biếng	лијен	lose interest in
biếu	одати признање	present
biều	биеу	bieu
biển	море	ocean
biểuthứcđiềukiện	знам услове	conditional expression
biện	извинити се	"(term should be ""biện pháp"") a method (n.)"
biệt	изразито	"(term should be ""khác biệt"") different or distinct"
bkavpro	бкавпро	bkavpro
blackwell	блацквелл	this is a name
blair	блаир	blair
blaise	блаисе	blaise
blanc	бланц	blanc
blues	блуес	blues
bo	бо	a curl, as in a biceps curl exercise
bob	боб	bob
bobby	бобби	bobby, as in bobby day
boeing	боеинг	boeing
bohemia	бохемиа	bohemia
bolivia	боливија	(proper noun) bolivia
boltzmann	болтзманн	boltzmann
bom	бомба	bomb
bonaparte	бонапарте	bonaparte
bong	бонг	"(term should be ""bong bóng"") a balloon (n.)"
bonnal	боннал	bonnal
bonobo	бонобо	bonono
bool	боол	bool
boolean	боолеан	(proper adjective) boolean, as in boolean algebra
boom	бум	boom
boong	палуба	a deck (n.)
boongke	бункери	bunker
bop	боп	bop
boris	борис	boris
borland	борланд	(proper noun) borland
borussia	боруссиа	borussia
bose	босе	bose, as in subhas chandra bose
boseeinstein	босееинстеин	bose einstein
bosna	босна	(proper noun) bosnia
bosnia	босниа	(proper noun) bosnia
botswana	боцвана	botswana
bottom	дно	bottom
boulder	балван	boulder
bourbon	бурбон	bourbon
boxing	бокс	boxing
brain	мозак	brain
brandenburg	бранденбург	(proper noun) brandenburg
brandt	брандт	brandt
braun	браун	braun
brazil	бразил	brazil
bremen	бремен	bremen, as in the bremen bank
brestlitovsk	брестлитовск	brest-litovsk
breton	бретон	(proper noun) breton
bretton	бреттон	hoi nghi
brezhnev	брезхнев	brezhnev
brian	бриан	a name
bridge	мост	bridge
britannic	британниц	(proper noun) britannic
britney	бритнеи	britney
brooklyn	брооклин	brooklyn
brot	брот	this is german not vietnamese
brown	браон	brown
browne	бровне	browne
browning	смеђе	(proper noun) browning
bruce	бруце	bruce
brunei	брунеи	brunei
bruno	бруно	bruno, as in the city of san bruno
brusilov	брусилов	brusilov
brussels	брисел	brussels, the capital of belgium
btr	бтр	btr
bubalis	бубалис	bubalis
budapest	будапест	budapest, the capital of hungary
bulgaria	бугарска	bulgaria
bulletin	билтен	thong bao
bungary	бунгари	bungary
bungo	бунго	bungo
buonaparte	буонапарте	(proper noun) buonaparte, as in casa buonaparte
burke	бурке	(proper noun) burke, as in edmund burke
burkina	буркина	burkina
burma	бурма	burma
burundi	бурунди	burundi
busan	бусан	a korean city
busby	бусби	busby
bush	грм	bush
bushy	бујан	bushy
buôn	велепродаја	commerce
buông	пусти	to release, to let loose
buýt	аутобус	bus
buốt	оштар	sharp
buồm	једрити	sail
buồn	тузно	sad
buồng	соба	chamber
buổi	седница	session
byzantine	византијски	byzantine
bà	бака	woman or lady (n.)
bài	постови	articles
bàn	сто	table
bàng	орао	eagle
bành	пенг	armchair
bào	рендисање	compatriot
bàu	бау	bau
bày	презентација	"(term should be ""trưng bày"") to display (v.)"
bác	стриц	doctor
bách	чемпрес	"(term should be ""bách khoa"") polytechnic (adj.)"
bái	култ	to bow (v.)
bám	прилијепити	cling
bán	продати	sell
báng	прасак	"(term should be ""phỉ báng"") to defame or slander"
báo	новине	newspaper (n.)
bát	посуда	eight (n.)
báu	благо	valuable
bây	сада	now
bã	остатак	"(term should be ""buồn bã"") sad (adj.)"
bãi	дворишта	beach
bão	олуја	storm
bèn	онда	then
bé	мало	baby
bén	оштар	sharp (adj.)
béo	дебео	fat
bên	страна	side
bênh	болестан	advocate
bì	амбалажа	foreskin (n.)
bìa	цовер	cover
bìu	скротум	sac (n.)
bí	тиквице	secret
bính	бинх	"(term should be ""bính âm"") romanized chinese words (n.)"
bíró	бундева	biro
bò	крава	beef
bó	гомила	bound (adj.)
bói	прорицање судбине	to foretell (v.)
bón	оплодити	"entire term should be ""phan bon""; means ""fertilizer"""
bóng	лопта	sphere or ball
bóp	стисни	squeeze
bô	отац	"(term should be ""bôxit"") the mineral bauxite"
bôi	размазани	to apply (as in oil)
bông	памук	flower
bù	шминка	compensate
bùa	амулет	talisman
bùn	блато	mud
bùng	фларе	"(term should be ""bùng nổ"") to break out (v.)"
bú	сисати	to suck
búa	чекић	a hammer
búi	туфти	tuft
bún	пиринач кнедла	noodle
búng	лепршао	snap
bút	хемијска оловка	pseudonym
băm	хасхед	hash
băn	фрет	concerned
băng	лед	"(term should be ""băng giá"") freezing (adj.)"
bơ	путер	"(term should be ""bơ vơ"") desolate (adj.)"
bơi	пливати	swim
bơm	пумпа	pump
bưu	поштарина	post office
bước	корак	a step (n.)
bướm	лептир	butterfly
bạ	контакти	directory
bạc	сребро	meager
bạch	бео	"(should be ""bạch tuộc"") an octopus"
bại	изгубити	defeated
bảng	одбор, табла	chart
bảo	бао	protect
bảy	седам	seventh
bấm	притисните	press
bất	прави	"(term should be ""bất cứ"") any (adj.)"
bấy	то	contemporary
bần	сиромашан	poor
bầu	гласање	vote
bầy	стадо	servant
bẩm	конгенитални	congenital
bẩn	прљав	the
bẩy	замка	"(term should be ""lẩy bẩy"") unsteadily (adv.)"
bẫy	замка	a trap (n.)
bậc	степен	level or class (n.)
bận	заузет	busy
bật	укључен	outstanding
bắc	север	beijing
bắcnam	север југ	"(term should be ""bắc-nam"") north-south (adj.)"
bắn	пуцај	shoot
bắp	кукуруз	venter
bắt	улов	cross
bằng	једнак	by
bẹp	сломити	crush
bẻ	пауза	break
bẽ	понижење	humiliate
bến	вхарф	wharf
bếp	кухиња	kitchen
bề	површина	"(should be ""bề mặt"") a surface"
bền	издржљив	enduring (v.)
bể	мехови	tank
bệ	пиједестал	base
bện	плетеница	braided (adj.)
bệnh	болестан	benh
bỉ	белгија	disgust
bỉnh	несташан	binh
bịch	тхумп	ridiculous
bịt	покривен, затрпан	cover
bọ	буг	insect
bọc	замотати	to cover or enclose (v.)
bọn	њих	a group (n.)
bọng	натеченост	bladder
bọt	пена	foam
bỏ	опозвати	to leave (v.)
bỏng	горети	hot
bố	оче	"(term should be ""tuyên bố"") to declare"
bốc	учитавање	bốc lửa= on fire
bối	збуњен	messy
bốn	четири	four
bồi	компензација	"(term should be ""cao bồi"") cowboy (n.)"
bổn	дужност	duty
bổng	стипендија	"with word luong, means ""salary"" or ""wages"""
bỗng	одједном	suddently
bộ	комплет	part
bộc	боц	"(term should be ""bộc lộ"") to reveal (v.)"
bội	вишеструко	betray
bột	брашно	powder or flour (n.)
bớ	окупити	arrest
bớt	мање	less
bờ	ивица	coast
bời	скитница	profuse
bở	од стране	profitable
bởi	од стране	because
bục	подијум	platform
bụng	желудац	abdomen
bứt	несвесно	"(term should be ""bứt phá"") power (n.)"
bừa	дрљање	messy, careless, or topsy-turvy (adj.)
bữa	оброк	meal (n.)
bực	фрустриран	bother
ca	смена	praise
ca-lo	ца-ло	a unit of measurement
cabo	цабо	cabo
cacbon	угљеник	carbon
cacbonat	карбонат	carbonate
cacbua	карбид	carbides, carbon ions
caesar	цезар	caesar
caffein	кофеин	caffeine
café	кафа	coffee
cai	цаи	govern
cairo	каиро	cairo, the capital of egypt
cal	цал	cal, a first name
calculus	рачуница	calculus
calvin	цалвин	calvin
cam	наранџе	commit
cambodia	камбоџа	(proper noun) the country of cambodia
cambridge	цамбридге	cambridge
cameo	цамео	cameo part
cameron	цамерон	cameron
cameroon	цамероон	cameroon
camille	цамилле	camille
campbell	цампбелл	campbell
campuchia	камбоџа	campuchia
canada	канада	canada
canadian	канадски	canadian
canal	канал	canal
canary	канаринац	canary
cancer	рак	cancer
canterbury	цантербури	canterbury
canxi	калцијум	calcium
capello	цапелло	capello
capra	цапра	capra
carat	карат	carat
carbine	карабина	carbine
cardcaptor	цардцаптор	cardcaptor
cardcaptors	цардцапторс	(proper noun) cardcaptors
carey	брижно	(proper noun) carey, as in singer mariah carey
caribe	царибе	caribbean
caribê	кариби	caribbean
carl	царл	carl
carlos	царлос	carlos
carnaval	карневал	carnaval
carol	царол	carol
caroline	царолине	(proper noun) caroline
carpathia	карпатија	carpathia
carter	цартер	carter
carxtơ	карат	karst topography, a geological term (n.)
casa	ца са	casa
casablanca	цасабланца	casablanca
caspia	цаспиа	caspia
cassini	цассини	cassini
cast	цаст	cast
castries	кастрије	castries
castro	цастро	castro, as in fidel castro
cathay	цатхаи	cathay
catherine	катарина	catherine
cau	каву	cau
cbc	цбц	cbc
cbgd	цбгд	educational  officer
cbs	цбс	cbs
ccc	ццц	ccc
ccn	ццн	industrial cluster
cctv	ццтв	cctv
cd	цд	cd
cdot	цдот	cdot
cdrom	цд ром	cd-rom
cell	ћелија	cell
celtic	келтски	centic
cena	цена	(proper noun) cena, as in john cena, the wrestler
centauri	центаури	centauri
ceres	церес	ceres
cha	тата	father
chai	боца	bottle
chaillot	цхаиллот	a name
chamberlain	цхамберлаин	chamberlain
champa	шампањац	champa
champion	првак	champion
chamẹ	родитељи	parents
chanel	цханел	chanel
chanh	лимун	lemon or lime (n.)
chao	здраво	(proper noun) chao, a name
charles	цхарлес	charles
charlotte	шарлота	charlotte
charlton	цхарлтон	charlton
charon	харон	(proper noun) charon
chase	потера	chase
chay	вегетаријански	fasting
chdcnd	цхдцнд	democratic republic
che	цовер	cover
chechnya	цхецхниа	chechnya
chen	цхен	chen
cheo	цхео	"(term should be ""cheo reo"") name of a town"
chi	цхи	"(term should be ""chi tiết"") details (n.)"
chia	објави	"(term should be ""chia sẻ"") to share"
chiang	цхианг	chiang
chicago	цхицаго	chicago, as in chicago, illinois
chile	чиле	(proper noun) the country of chile
chim	птица	bird
china	кина	china
ching	цхинг	ching
chirac	цхирац	chirac, as in former french president jacques chirac
chiêm	астролошки	"(term should be ""chiêm thành"") the ancient kingdom of champa in vietnam"
chiên	печено	fry
chiêng	гонг	gong
chiếc	ком	the
chiếm	рачунајући за	appropriate
chiến	борити се	war, fight
chiết	екстракт	literal
chiếu	мат	show
chiền	гомила	temple
chiều	после подне	length
chlamydia	хламидија	chlamydia
chloride	хлорид	chloroauric acid
chnd	цхнд	chnd
choi	игра	choi
chomsky	цхомски	chomsky
chong	цхонг	chong
chopin	цхопин	chopin
chosŏn	цхосон	(proper noun) choson
choàng	рт	coat
choáng	изненађен	dizzy
chris	цхрис	chris, as in chris hughes
christ	цхрист	christ
christian	хришћанин	christian
christopher	цхристопхер	christopher
chrome	хром	chrome, as in google chrome
chrysler	цхрислер	(proper noun) chrysler, the car company
chu	цху	cycle
chua	кисело	tomato
chuck	чук	(proper noun) chuck, as in chuck norris
chui	обришите	underground
chum	цхум	pot
chun	цхун	chun
chung	генерал	general
churchill	цхурцхилл	churchill
chuyên	специјализовани	professional
chuyến	путовање	trip
chuyền	пролаз	volleyball
chuyển	преселио на	to move
chuyện	прича	nói chuyện= talk
chuôi	гризе	handle
chuông	звоно	a bell
chuẩn	стандардно	standard
chuốc	поке	incur
chuối	банана	banana
chuốt	развлачење	refine
chuồng	кавез	cage
chuỗi	ланац	series
chuộc	искупити	redeem
chuộng	фаворизовано	favorite
chuột	миш	a mouse (n.)
chà	трљати	rub
chài	риболов	fish
chàm	индиго	indigo
chàng	момак	"(term should be ""chàng trai"") a young man (n.)"
chào	здраво	welcome
chày	бејзбол	a pestle (n.)
chánh	шеф	"(term should be ""chánh án"") the head of a tribunal (n.)"
cháo	каша	porridge
cháu	унуци	a term one uses denoting oneself when addressing an aunt or uncle (n.)
cháy	ватра	fire
châm	прицк	motto
chân	стопало	a leg
châu	европа	continental
chè	чај	tea
chèn	уметните	insert
chém	исећи	to chop
chén	цуп	bowl
chéo	крст	cross
chép	копирај	written
chê	проклети	decry
chênh	разлика	difference
chì	олово	graphite
chìa	кључ	"(term should be ""chìa khoá"") a key (n.)"
chìm	потонуо	to become submerged or sink (v.)
chình	јегуља	eel
chí	вашке	especially
chích	убод	shoot
chín	девет	ripe
chính	главни	main
chít	говно	dense
chò	гушити	a type of plant, typically of the parashorea genus (n.)
chòi	кабина	hut
chòm	сазвежђе	constellation
chó	пас	dog
chóc	хаха	killing (giet choc)
chói	сјај	bright
chóng	брзо	"entire term should be ""chong mat""; means ""dizzy"""
chóp	врх	the top (n.)
chôm	рамбутан	rambutan
chôn	закопати	bury
chông	муж	thorn
chùa	храм	pagoda
chùy	маце	mace
chú	стриц	uncle (n.)
chúa	бог	god
chúc	пожелети	will
chúi	туу	drop
chúng	њих	they
chút	мало	little
chăm	тешко	champa
chămpa	цхампа	champa
chăng	приступачне	would it
chĩa	виљушке	point
chơi	игра	play
chơn	стопала	"a more obscure form of the word ""chân""; means ""genuine"" or ""true"""
chư	цху	lower authorities
chưa	не још	not yet
chưng	дист	steamed
chương	поглавље	medal
chướng	курс препрека	grating
chạ	промискуитетно	father
chạm	додир	touch
chạng	сумрак	twilight
chạp	дрхтав	slow
chạy	трцати	to run (v.)
chả	ролне	no
chảo	тава	pan
chảy	трцати	bleeding
chấm	тачка	end
chấp	изазов	"(term should be ""chấp nhận"") to accept (v.)"
chất	материја	quality
chấu	прстохват	"(term should be ""châu chấu"") a grasshopper (n.)"
chần	бланширање	slice
chẩn	поставити дијагнозу	"(term should be ""chẩn đoán"") to diagnose (v.)"
chậm	спор	slow
chận	блокирати	block
chật	уско	overcrowded
chậu	лонац	pelvic
chắc	сигурно	certainly
chằng	обрва	ligament
chẵn	чак	even
chặn	блокирај	prevent
chặng	нога	journey
chặt	сецкати	close
chẻ	разделити	strick
chẽ	уско	"(term should be ""chặt chẽ"") tightly or closely (adv.)"
chế	препарати	produce
chếch	лабав	oblique
chết	умро	to die (v.)
chệch	погрешно	deviant
chỉ	само	just (adv.)
chỉnh	исправка	adjust
chịt	срање	chằn chịt= complex/tangle
chịu	медвед	tolerate
chọc	покуцати	to poke
chọi	борбе	oppose
chọn	изабери	to choose
chỏ	лакат	"(term should be ""cùi chỏ"") elbow (n.)"
chốc	тренутак	single
chối	негирати	refuse
chốn	место	place
chống	анти	anti-
chốt	засун	important
chồi	пуца	"(term should be ""đâm chồi"") budding"
chồn	лисица	anxious
chồng	муж	husband
chỗ	место	where
chội	срање	cramped
chớ	немој	not
chớp	муња	flashing (adj.)
chờ	чекати	to wait
chở	ношење	for
chợ	тржиште	market
chợt	одједном	suddenly
chục	десетак	dozen
chụp	пробамо	capture
chủ	мајсторе	"(term should be ""chủ yếu"") main or essential (adj.)"
chủng	сојеви	strain
chứ	радије	just or only (adv.)
chứa	садржати	contain
chức	функција	function
chừ	писмо	hesitate
chừa	одлазећи	leave
chừng	неки	about or roughly (adv.)
chử	реч	"(term should be ""chử bích"") the vietnamese name for a chinese island"
chửa	трудна	pregnant
chửi	псовке	curse
chữ	реч	a letter of the alphabet (n.)
chữa	лек	to cure or treat (v.)
chững	изравнавање	to totter (v.)
cia	циа	cia
cincinnati	цинциннати	cincinnati
cinderella	пепељуга	cinderrella
cip	цип	cip
circus	циркус	circus
cities	градова	cities
clara	цлара	clara
clark	кларк	clark
claude	клод	(proper noun) claude
claudius	цлаудиус	(proper noun) claudius
clinton	цлинтон	clinton, as in former president bill clinton
clip	клип	clip
clips	исјечке	clips
clo	хлор	chlorine
clow	клау	clow
clyde	цлиде	(proper noun) clyde, as in bonnie and clyde
cmc	цмц	cmc
cmt	цмт	cmt
cn	цн	christian era
cnet	цнет	cnet
cntb	цнтб	capitalism
cntt	цнтт	it
cnxh	цнкх	social republic
co	цо	spasm
coburn	цобурн	coburn
cocoa	какао	cocoa
coen	цоен	coen
coffea	кафа	coffee
cohen	цохен	cohen
coi	гледати	to regard
coleen	цолеен	coleen
coleman	цолеман	coleman
coli	цоли	coli
colin	цолин	(proper noun) colin, as in colin powell
colleen	цоллеен	colleen
college	колеџ	college
collins	цоллинс	(proper noun) collins
collège	колеџ	college (n.)
colombia	колумбија	colombia
colombo	цоломбо	(proper noun) colombo
colorado	цолорадо	(proper noun) colorado, as in the state
columbus	цолумбус	columbus
comic	комично	comic
common	заједнички	common
concacaf	цонцацаф	concacaf
concerto	концерт	concerto
concorde	цонцорде	concorde
condom	кондом	condom
cong	закривљена	curved or bent
congo	конго	congo
congress	конгрес	congress, as in library of congress
connecticut	цоннецтицут	connecticut
conrad	цонрад	corrad
conservation	очување	conservation
constantine	константина	constantine
contemporary	савремени	contemporary
cooper	цоопер	(proper noun) cooper
copenhagen	копенхаген	copenhagen
copernic	коперник	corpernic
copperfield	бакрено поље	(proper noun) copperfield, as in magician david copperfield
coppola	цопола	coppola
copy	копирати	copy
cordyceps	цордицепс	cordyceps
core	језгро	core
cornell	цорнелл	cornell
cosin	косин	cosine
costa	цоста	costa
cotang	цотанг	cotangent
cpt	цпт	cpt
craig	цраиг	(proper noun) craig
crazy	луда	crazy
crespo	цреспо	(proper noun) crespo
crest	грб	crest
crew	посада	crew
crimson	гримизна	crimson
crisis	криза	crisis
cristiano	цристиано	cristiano, as in portuguese soccer player cristiano ronaldo
croatia	хрватска	croatia
cross	крст	cross
crs	црс	crs
cruz	цруз	cruz
cruzeiro	црузеиро	cruzeiro
crystal	кристал	crystal
ctc	цтц	ctc
cua	краба	crab (n.)
cullen	цулен	a name
cung	лук	circle
cunningham	цуннингхам	cunningham; proper name
cup	шоља	cup
cuả	од	of, from, belonging to
cuốc	мотике	hoe
cuối	последња	last or final (adj.)
cuốn	завојница	book
cuống	стабљика	throat
cuồng	луда	crazy (adj.)
cuộc	тхе тхе	the
cyanide	цијанид	cyanide
cyber	сајбер	cyber
cyril	ћирилица	(proper noun) cyril
cyrus	цирус	cyrus
cyworld	циворлд	cyword
cà	кафа	ca
cài	инсталирај	install
càn	требати	raid
càng	више	cang
cành	огранак	branch
cào	сцратцх	scratch
cày	орање	plow
các	тхе тхе	all (adv.)
cách	начин	the
cái	тхе тхе	"(term should be ""con cái"") children (n.)"
cán	ваљани	"(should be ""cán bộ"") an officer, especially in a communist regime"
cánh	крило	wing
cáo	лисица	report
cáopx|bình	цаопк | просек	not a word
cáp	кабл	cable (n.)
cáy	фиддлер	fiddler
câm	глупи	mute (adj.)
cân	ваге	weight
câu	казна	saying
cãi	расправљати	argue
cò	окидач	stork
còn	још увек	to have left (v.)
có	имати	have
cói	сеџда	machine
cót	кревет	cot
cô	госпођица	girl
côi	сироче	orphaned
côn	конус	a stick (n.)
công	посао	worker
côngtenơ	контејнер	container
cõi	царства	entire area
cõng	пиггибацк	piggyback
cù	голицати	cu
cùi	губавци	leprosy
cùng	и	together
cú	сова	old
cúi	лук	to bow (v.)
cúm	грип	cum
cúng	угодно	worship
cúp	шоља	cup (n.)
cút	изађи	to kick someone out (v.)
căm	прикључен	detest (cam thu)
căn	радикалан	"(term should be ""căn bệnh"") cause of a disease (n.)"
căng	растезање	tense
cũ	стари	old
cũi	креветац	kennel
cũng	такође	also
cơm	пиринач	rice
cư	населити	resident
cưa	тестера	saw
cưng	душо моја	also
cước	теретни	megaman
cưới	ожењен	marry
cướp	опљачкати	to rob (v.)
cười	смех	smile
cường	јак	strengthen
cưỡi	јахање	ride
cưỡng	присиљен	force some body to do some thing. cưỡng dâm=rape
cạc	картица	card (n.)
cạn	плитко	shallow
cạnh	ивица	"(term should be ""khía cạnh"") an angle"
cạo	бријати се	shave
cạp	сцорпион	scorpion
cả	обоје	both
cải	сенф	reform
cảm	хладно	pleasure
cản	мучи	prevent
cảng	лука	port
cảnh	сцена	situation
cảo	вуче	posthumous
cấm	забранити	ban
cấn	требати	dramatic
cấp	одобрити	level or rank (n.)
cất	дестилована	"(term should be ""cất giữ"") to keep safe or store"
cầm	држати	to hold (v.)
cần	требати	need
cầu	мост	request
cầy	цивет	farmed
cẩn	бити пажљив	carefully
cẩu	кран	"(term should be ""hải cẩu"") a seal (n.)"
cận	приступ	close
cập	бројач	mention
cậu	дечко	a young man (n.)
cậy	зависи	reliable
cắm	повезати	to plant (v.)
cắn	угриз	to bite
cắp	украсти	steal
cắt	исећи	cut
cằm	брада	chin
cằn	мрзовољан	exhausted (adj.)
cặp	кеса	couple
cọ	трљати	rub
cọc	гомила	pile
cọp	тигар	tiger
cỏ	трава	plant
