$	$ $	dollars
أرسطو	aristóteles	aristo
أرسل	enviar	he sent
أرسلان	arslan	arsalan
أرسلت	enviado	sent
أرسله	enviarlo	sent him
أرض	tierra	land
أرضية	piso	earth
أرقام	números	numbers
أركان	pilares	arkan
أرمينيا	armenia	armenia
أزمة	crisis	crisis
أس	as	s
أسابيع	semanas	weeks
أساس	base	basis
أساسا	básicamente	originally
أساساً	básicamente	base
أساسي	esencial	main
أساسيا	esencial	essentially
أساسية	básico	essential
أساسًا	básicamente	principally
أساليب	métodos	methods
أسامة	osama	osama
أسباب	razones	reasons
أسبانيا	españa	spain
أسبوع	una semana	week
أستاذ	profesor	professor
أستراليا	australia	australia
أسد	un león	asad
أسر	familias	families
أسرار	secretos	secrets
أسرة	familia	family
أسرته	su familia	his family
أسرع	mas rapido	the quickest
أسس	fundaciones	foundations
أسست	fundado	established
أسسها	lo fundé	founded
أسطورة	leyenda	legend
أسطول	flota	fleet
أسعار	precios	prices
أسعد	más feliz	as'ad
أسفر	rendimiento	lead to
أسفرت	cedido	resulted
أسفل	abajo	under
أسلحة	armas	weapons
أسلم	más seguro	converted to islam
أسلوب	estilo	method
أسماء	nombres	names
أسمهان	asmahan	asmahan
أسهم	acciones	contributed
أسوأ	peor	worst
أسوار	vallas	walls
أسواق	mercados	markets
أسود	negro	black
أشار	indicado	pointed out
أشارت	ella indicó	pointed
أشبه	más como	like
أشجار	arboles	trees
أشخاص	personas	persons
أشد	más duro	the most
أشرف	ashraf	most honorable
أشعة	rayos	rays
أشكال	formas	types
أشهر	meses	the most popular
أشهرها	el mas famoso	renown
أشياء	cosas	things
أصابع	dedos	fingers
أصبح	se ha convertido	became
أصبحوا	se convirtieron	became
أصحاب	propietarios	owners
أصحابه	compañeros	his friends
أصدر	emitido	issued
أصدرت	emitido	issued
أصغر	más pequeño	smallest
أصفر	amarillo	yellow
أصل	origen	origin
أصلا	originalmente	originally
أصلاً	originalmente	originally
أصله	su origen	its origin
أصلها	su origen	its origin
أصوات	voces	sounds
أصول	orígenes	assets
أصيب	fue herido	injured
أضاف	añadió	added
أضخم	el mas grande	biggest
أضرار	daños	damage
أضعاف	doblar	multiples
أضلاع	costillas	side
أطراف	fiestas	parts
أطفال	niños	children
أطلق	despedido	named
أطلقت	despedido	called
أطوال	longitudes	lengths
أطول	el mas largo	the longest
أظهر	aparecido	emphasized
أظهرت	mostrado	showed
أعاد	restaurado	repeated
أعداء	enemigos	enemies
أعدائه	sus enemigos	his enemies
أعداد	números	numbers
أعراض	síntomas	symptoms
أعضاء	miembros	members
أعطى	dio	give
أعظم	el mas grande	the greatest
أعقاب	secuelas	after
أعلام	banderas	flags
أعلاه	por encima	in the up
أعلم	yo se	i know
أعلن	anunciar	announced
أعلنت	ella anunció	declared
أعلى	superior	highest
أعمال	trabajos	works
أعماله	sus obras	works
أعمالها	su negocio	tasks
أعمدة	columnas	column
أعوام	años	years
أعيد	fue devuelto	was re-
أغاني	canciones	songs
أغراض	propósitos	stuff
أغسطس	agosto	august
أغلب	la mayoría	the most
أغلبها	mayormente	most of them
أغلبية	mayoría	most
أغنى	el mas rico	richest
أغنية	canción	the song
أفراد	individuos	members
أفرادها	sus miembros	its members
أفرودة	afroda	monograph
أفريقيا	áfrica	africa
أفريقية	africano	african
أفضل	lo mejor	best
أفعال	los verbos	verbs
أفغانستان	afganistán	afghanistan
أفكار	ideas	ideas
أفكاره	sus pensamientos	his ideas
أفلاطون	platón	aflaton
أفلام	peliculas	films
أفلامه	sus peliculas	his films
أفندي	effendi	effendi
أقاليم	territorios	regions
أقام	quedarse	established
أقبل	acepto	did
أقدم	el mas viejo	the oldest
أقر	pasado	approved
أقرب	más cerca	the nearest
أقسام	secciones	divisions
أقصر	mas corto	shortest
أقصى	máxima	far
أقطار	diámetros	countries
أقل	menos	less
أقليات	minorías	minority
أقلية	minoría	minority
أقمار	lunas	satellites
أقوال	refranes	sayings
أقواله	sus dichos	his sayings
أقوى	mas fuerte	stronger
أقيم	me quedo	held
أقيمت	erigido	held
أكاديمية	academia	academy of
أكان	akan	whether it is
أكتوبر	octubre	october
أكثر	más	the most
أكثرها	la mayor parte	most
أكد	confirmado	confirmed
أكدت	ella confirmó	insured
أكسيد	óxido	oxide
أكل	comer	eating
أكمل	completa	completed
ألا	no	only
ألاسكا	alaska	alaska
ألبانيا	albania	albania
ألبرت	albert	albert
ألبوم	álbum	album
ألدهيد	aldehído	aldehyde
ألعاب	juegos	games
ألف	a.	thousand
ألفا	alfa	alpha
ألفًا	a.	thousand
ألقاب	apodos	titles
ألقى	arrojó	thrown
ألكسندر	alexander	alexandr
ألكيل	alquil	alkyl
ألمانيا	alemania	germany
ألمانية	aleman	german
ألوان	colores	colors
أم	madre	m
أما	ya sea	but
أماكن	lugares	places
أمام	facebook	in front of
أمامه	delante de ella	in front of
أمانة	honestidad	secretariat
أمة	nación	nation
أمثال	me gusta	like
أمثلة	ejemplos	examples
أمر	una orden	affair
أمرا	una orden	thing
أمراء	príncipes	princes
أمراض	enfermedades	diseases
أمره	su comando	his issue
أمرهم	les ordenó	their fate
أمريكا	américa	america
أمريكي	americano	american
أمريكية	americano	american
أمريكيون	estadounidenses	american
أمرًا	una orden	thing
أمطار	lluvia	rains
أمفورة	ánfora	amphora
أمكن	posible	what made possible
أمل	esperanza	hope
أمم	naciones	nations
أمن	seguridad	insure
أمه	su madre	his mother
أموال	dinero	money
أمور	cosas	affairs
أمية	analfabetismo	omaia
أمير	príncipe	prince
أمين	honesto	ameen
أمّا	ya sea	while
أن	que	that
أنا	yo soy	i
أنابيب	tubos	tubes
أناكوندا	anaconda	onokanda
أنباء	noticias	news
أنبياء	profetas	prophets
أنت	usted es	you
أنتج	producido	produced
أنتجت	producido	produced
أنثى	hembra	female
أنجبت	dio a luz a	gave birth
أنجلوسكسونيون	angelesxionion	anglo-saxon
أنحاء	sobre	throughout
أندية	clubes	clubs
أنس	anas	ons
أنسجة	tejido	tissues
أنشأت	establecido	founded
أنشئ	crear	established
أنشئت	establecido	established
أنشطة	actividades	activities
أنصار	partidarios	supporters of
أنطاكية	antioquía	antakia
أنظر	ver	look
أنظمة	sistemas	systems
أنفسهم	ellos mismos	themselves
أنقرة	ankara	ankara
أنك	que eres	that you
أنماط	patrones	patterns
أننا	que somos	that we
أنه	es	it is
أنها	es	that it is
أنهار	se derrumbó	collapsed
أنهم	ellos son	that they are
أنهما	ellos son	"they ""both"" are"
أنهى	terminado	finshed
أنواع	tipos	kinds
أنواعها	sus tipos	types
أنوبيس	anubis	anubis
أنور	anwar	anwar
أني	que yo soy	that i
أنّ	que	so
أنّه	es	it is
أهالي	mi gente	the people of
أهداف	objetivos	goals/objectives
أهدافها	sus objetivos	its aims
أهل	personas	inhabitants
أهله	su familia	his family
أهلها	su familia	it's people
أهلية	elegibilidad	civil
أهم	lo mas importante	most important
أهمها	lo mas importante	the most important
أهمية	importante	importance
أهميتها	su importancia	importance
أو	o	or
أوائل	temprano	the early
أواخر	tarde	late
أواسط	medio	middle
أوامر	pedidos	orders
أوامره	sus ordenes	his orders
أوباما	obama	obama
أوبرا	oprah	opera
أوج	apogeo	the height of
أوجه	ation	aspects
أوراق	hojas	papers
أورانوس	urano	uranus
أورخان	orhan	orkhan
أورشليم	jerusalén	jerusalem
أوروبا	europa	europe
أوروبي	europeo	european
أوروبية	europeo	european
أوساط	medios de comunicación	among
أوسع	más ancho	wider
أوسلو	oslo	oslo
أوصى	recomendado	will
أوضاع	modos	situations
أوضح	explicado	explained
أوضحت	ella explicó	clarified
أوقات	tiempos	times
أوقطاي	mi tiempo	ogtay
أوكرانيا	ucrania	ukraine
أول	el primero	first
أولئك	esos	they
أولا	primero apagado	firstly
أولاد	niños	sons
أولاده	sus hijos	for the birth of
أولاً	primero	at first
أولها	el primero de ellos	first of them
أولى	primero	first
أولية	preliminar	primordial
أوّل	primero	first
أى	cualquier	any
أي	cualquier	which
أيام	días	days
أيامه	sus dias	his days
أيبك	aybak	aibak
أية	cualquier	any
أيدي	manos	hands
أيديهم	sus manos	their hands
أيرلندا	irlanda	ireland
أيضا	también	also
أيضاً	también	also
أيضًا	también	also
أيلول	septiembre	september
أيمن	ayman	ayman
أين	donde	where
أينشتاين	einstein	einstein
أيها	hey	o
أيوب	trabajo	jacob
أَنَّ	que	that
أَنْ	ann	can
إبادة	exterminio	annihilation
إبان	durante	during
إبراهيم	ibrahim	ibrahim
إثارة	revuelva	excitement
إثبات	prueba	proof
إثر	despues	because of
إثيوبيا	etiopia	ethiopia
إجراء	procedimiento	procedure
إجراءات	acciones	steps
إجماع	consenso	agreement
إجمالي	total	total
إحباط	frustración	abortion
إحداث	efecto	making
إحدى	uno de	a
إحصاء	estadísticas	counting
إحصاءات	estadísticas	counts
إحصائيات	estadísticas	statistics
إحياء	renacimiento	recreation
إخراج	sacar	directed by
إخوته	sus hermanos	his brothers
إدارة	gestión	managing
إداري	administrativo	administrative
إدارية	administrativo	administrative
إدخال	entrar	introduction of
إدراك	realización	recognition
إذ	por lo tanto	in fact
إذا	entonces	if
إذاعة	broadcast	broadcast
إذن	entonces	ann
إرادة	voluntad	will
إرتريا	eritrea	arteria
إرسال	enviar	sending
إرهابية	terrorista	terrorist
إزالة	eliminar	remove
إس	s.	s
إسبانيا	españa	spain
إستراتيجية	estrategia	strategy
إسحاق	isaac	isaac
إسرائيل	israel	israel
إسطنبول	estambul	istanbul
إسقاط	soltar	projection
إسلام	islam	islam
إسلامه	su islam	his conversion to islam
إسلامي	islámico	islamic
إسلامية	islámico	islamic
إسماعيل	ismael	ismail
إشارات	señales	signs
إشارة	indicación	signal
إشعاع	la radiación	radiation
إصابة	lesión	injury
إصدار	versión	issuance of
إصلاح	reparación	fixing
إصلاحات	arreglos	repairs
إضافة	agregar	addition
إضافةً	ademas	in addition
إضافية	adicional	additional
إطار	marco	framework
إطلاق	lanzamiento	naming
إعادة	re	repetition
إعداد	preparación	preparation
إعطاء	dar	giving
إعلامية	informativo	media
إعلان	publicidad	announcement
إف	f.	f
إفراز	secrecion	secretion
إفريقيا	áfrica	africa
إفريقية	africano	africa
إقامة	quedarse	the establishment of
إقليم	territorio	territory
إقليمية	regional	regional
إل	l.	l
إلا	excepto	except
إلاّ	excepto	except
إلغاء	cancelar	cancel
إلقاء	cobertizo	capturing
إله	dios	god
إلهام	inspiración	inspiration
إلى	a	to
إلي	para mi	to
إليك	para ti	to you
إلينا	para nosotros	elena
إليه	a el	to him
إليها	a ello	for it
إليهم	a ellos	for them
إم	madre	m
إما	ya sea	either
إمارة	emirato	emirate
إمام	imán	emam
إمبراطور	emperador	emperor
إمبراطورية	imperio	empire
إمكانية	posibilidad	ability
إنا	enna	we
إنتاج	producción	production
إنتاجه	producirlo	its production
إنتاجها	su producción	preduce
إنترنت	internet	internet
إنجازات	logros	achievements
إنجلترا	inglaterra	england
إنجليزية	ingles	englishwoman
إنجيل	evangelio	gospel
إندونيسيا	indonesia	indonesia
إنسان	un ser humano	human
إنسانية	humano	human
إنشاء	crear	founding
إنشائها	créalos	generation
إنفلونزا	gripe	flu
إنكار	negación	denying
إنما	más bien	rather
إنها	es	that it is
إنهاء	terminar	finished
إنهم	ellos son	they are
إني	yo soy	i
إنّ	el	the
إياه	el	itself
إياها	se	itself
إيجاد	encontrar	finding
إيران	iran	iran
إيرث	tierra	earth
إيطاليا	italia	italy
إيفان	ivan	ivan
إيفل	eiffel	eiffel
إيقاف	para	cut
إيه	eh	a
إِلا	excepto	except
إِلَى	a	to
ا	a.	quotation mark
ابتداء	comenzando	starting
ابتناء	anabolismo	building
ابن	hijo	son
ابنة	hija	cousin
ابنته	su hija	his daughter
ابنه	su hijo	his son
ابي	abi	abi
اتباع	seguir	followers
اتباعه	sus seguidores	his followers
اتبع	seguir	follow
اتجاه	dirección	direction
اتجاهات	direcciones	directions
اتجه	girar	went
اتحاد	unión	union
اتخاذ	tomar	taking
اتخذ	fue tomado	took
اتخذت	tomado	took (action)
اتساع	amplitud	expansion
اتسعت	ensanchado	widened
اتسمت	fue marcado	characterized by
اتصال	conexión	connection
اتصالات	conexiones	communication
اتفاق	acuerdo	accord
اتفاقيات	acuerdos	agreements
اتفاقية	acuerdo	agreement
اتفق	estoy de acuerdo	agreed
اتهام	acusación	accusation
اتهم	cargado	accused
اثنان	dos	two
اثنتين	dos	two
اثنين	dos	two
اجتماع	reunión	social
اجتماعات	reuniones	meetings
اجتماعي	social	social
اجتماعية	social	social
اجتمع	met	met
اجتياح	barrer	invasion
اجل	si	order / becomes clear
احتراق	combustión	combustion
احترام	respeto	respect
احتفظ	mantener	kept
احتل	ocupar	occupied
احتلال	ocupación	occupation
احتلت	ocupado	occupied
احتمال	posibilidad	the possibility
احتياجات	necesidades	needs
احتياطي	reserva	reserves
احمد	ahmed	ahmed
اختار	elegir	choose
اختبار	prueba	examination
اختبارات	pruebas	tests
اختراع	invención	invention
اختراق	avance	penetration
اخترع	inventado	invented
اختلاف	diferencia	different
اختلافات	las diferencias	differences
اختلفت	diferido	different
اختيار	elegir	choose
اختياره	su elección	has been chosen
اخر	otro	the last
اديسون	edison	edison
ارتباط	enlace	liaison
ارتبط	conectar	was linked
ارتبطت	han sido vinculados	associated with
ارتفاع	alta	increase
ارتفاعه	su altura	its attitude
ارتفاعها	su altura	it attitude
ارتفع	rosa	increased
ارتفعت	rosa	rise up
ازداد	aumentado	increased
ازدادت	aumentado	increased
ازدهار	auge	prosperity
ازدهر	florecido	flourished
ازدهرت	florecido	prosperity
ازدياد	aumentar	increase
اس	s.	s
استبدال	reemplazar	replacing
استخدام	uso	using
استخدامات	usos	used
استخدامه	úsalo	use
استخدامها	úsalo	usage
استخدم	uso	use
استخدمت	han utilizado	used
استخدمها	úsalo	used it
استخراج	extracto	extraction
استراتيجية	estrategia	strategical
استرجاع	recuperación	regain
استسلام	rendirse	surrender
استسلمت	me di por vencido	surrendered
استضافة	hospedaje	host
استطاع	podría	can
استطاعت	ella logró	was able
استطلاع	encuesta	scouting
استعادة	restaurar	return
استعداد	listo	ready
استعمال	uso	using
استعمالها	úsalo	usage
استعمل	yo uso	use
استغلال	explotación	exploitation
استفتاء	referéndum	poll
استقالته	su renuncia	his resigning
استقبال	recepción	receiving
استقر	resuelto	settled
استقرار	estabilidad	stability
استقرت	establecido	settled down
استقلال	independencia	independence
استقلالها	su independencia	independence
استكشاف	explore	discovering
استمر	sigue adelante	continued
استمرار	persistencia	continuation
استمرت	continuación	continued to
استنادا	basado en	based on
استنادًا	basado en	based on
استهلاك	el consumo	consumption
استولى	agarrado	seized
استيراد	importar	importing
اسم	nombre	the name
اسمه	su nombre	his name
اسمها	su nombre	her name
اشتد	intensificar	intensified
اشتراكية	socialismo	socialist
اشتهر	mejor conocido	famous
اشتهرت	ella se hizo famosa	it was known
اصدار	problema	publishing
اضطر	forzado	had to
اضطراب	desorden	fusses
اضطرابات	disturbios	disturbance
اضطهاد	persecución	persecution
اعادة	re	review
اعتبار	consideración	considering
اعتبارا	efecto	starting from
اعتباراً	considerar	starting
اعتبارها	mente	considering
اعتبر	tómalo	concidered
اعتبرت	considerado	considered
اعتراف	una confesión	confession
اعترف	reconocido	confessed
اعتقاد	creencia	belief
اعتقال	arresto	arresting
اعتقد	yo pienso	believed
اعتماد	adopcion	approval
اعتمادا	depende	depending
اعتمد	fue adoptado	considered
اعتمدت	adoptado	counted on
اعتناق	abrazar	embracement
اعتنق	abrazado	converted to
اغتيال	asesinato	assassination
اغتياله	su asesinato	to assassinate him
افتتاح	apertura	opening
افتتح	fue abierto	started
افتتحت	abrí	opened
اقتراب	acercarse	approaching
اقتراح	una sugerencia	decision
اقترح	sugerido	suggested
اقتصاد	economia	economy
اقتصادها	su economia	its economy
اقتصادي	economico	economical
اقتصاديا	económicamente	economically
اقتصادية	economico	economical
اقرأ	leer	read
اكتساب	adquisición	acquisition
اكتسبت	adquirido	gained
اكتشاف	descubrimiento	discovering
اكتشافه	descúbrelo	his discovery
اكتشافها	descúbrelos	discovered
اكتشف	descubrir	discovered
اكتشفت	descubrí	discovered
ال	el	the
الآب	padre	father
الآباء	padres	fathers
الآبار	pozos	wells
الآتي	lo siguiente	following
الآثار	efectos	the monuments
الآخر	el otro	other
الآخرة	de aquí en adelante	afterworld
الآخرين	otros	others
الآداب	etiqueta	arts
الآر	el aar	hectare
الآرامية	arameo	the aramaic
الآستانة	astaná	astana
الآسيوي	asiático	asian
الآسيوية	asiático	asiatic
الآشورية	asirio	assyrian
الآفات	plagas	evils
الآلات	maquinas	machines
الآلاف	miles	thousands of
الآلام	el dolor	pains
الآلة	la maquina	machine
الآلهة	los dioses	gods
الآلي	automatizado	automatic
الآلية	el mecanismo	mechanism
الآن	ahora	now
الآونة	recientemente	period
الآيات	versos	scenes
الآية	el verso	the verse
الأئمة	imanes	imams
الأب	padre	the father
الأباطرة	los emperadores	emperors
الأبجدية	alfabeto	alphabetic
الأبحاث	investigación	the researches
الأبطال	los heroes	champions
الأبعاد	dimensiones	dimensions
الأبناء	niños	sons
الأبواب	las puertas	gates
الأبيض	blanco	white
الأتراك	los turcos	the turkish
الأثار	efectos	ancient ruins
الأثر	impacto	impact
الأثرية	arqueologico	archeological
الأثناء	mientras tanto	while
الأثير	éter	el-asyr
الأجانب	extranjeros	foreigners
الأجرام	cuerpos	celestial
الأجزاء	las partes	parts
الأجسام	objetos	bodies
الأجناس	carreras	races
الأجنبي	el extranjero	foreign
الأجنبية	extranjero	foreign
الأجنحة	las alas	factions
الأجهزة	dispositivos	services
الأجيال	generaciones	generations
الأحاديث	hadices	ahaadeeth
الأحد	domingo	sunday
الأحداث	eventos	the events
الأحرار	gente libre	free
الأحرف	personajes	letters
الأحزاب	las fiestas	party
الأحكام	provisiones	judgments
الأحماض	ácidos	acids
الأحمد	al ahmad	al-ahmad
الأحمر	rojo	red
الأحوال	condiciones	everything
الأحياء	la vida	neighborhoods
الأحيان	a veces	sometimes
الأخ	hermano	brother
الأخبار	noticias	news
الأخذ	tomando	take
الأخر	el otro	other
الأخرى	el otro	other
الأخضر	verde	the green
الأخطاء	errores	mistakes
الأخلاق	ética	ethics
الأخلاقية	moraleja	the morality
الأخوان	hermanos	the brothers
الأخير	el ultimo	last
الأخيرة	el ultimo	last
الأداء	rendimiento	performance
الأدب	literatura	literature
الأدباء	escritores	writer
الأدبي	literario	literary
الأدبية	literario	the literature
الأدلة	la evidencia	evidences
الأدنى	el mas bajo	the near
الأدوات	herramientas	gadgets
الأدوار	roles	roles
الأدوية	medicinas	the drugs
الأديان	religiones	religions
الأذربيجانية	azerbaiyano	azerbaijan
الأراضي	tierras	the lands
الأرانب	conejos	rabbits
الأربع	los cuatro	the four
الأربعة	los cuatro	four
الأربعين	cuarenta	fourteen
الأرثوذكس	ortodoxo	orthodox
الأرثوذكسية	ortodoxo	the orthodox
الأرجح	probable	mostly
الأرجنتين	argentina	argentina
الأردن	jordania	jordan
الأردني	jordano	joranian
الأردنية	jordano	jordan
الأرز	arroz	cedrus
الأرضي	tierra	land
الأرضية	el piso	earth
الأرقام	los numeros	the numbers
الأرمن	armenios	armenians
الأرمني	armenio	armenian
الأرمنية	armenio	armenian
الأرنب	el conejo	the rabbit
الأرواح	espíritus	the spirits
الأزرق	azul	blue
الأزمات	crisis	crises
الأزمة	la crisis	crisis
الأزهر	al-azhar	azhar
الأزياء	moda	fashion
الأسئلة	preguntas	questions
الأساس	la fundación	the basis
الأساسي	el primario	mainly
الأساسية	lo basico	essential
الأساطير	mitos	legends
الأساليب	métodos	methods
الأسباب	las razones	reasons
الأسباني	espanol	the spanish
الأسبانية	espanol	spanish
الأسبرين	aspirina	aspirin
الأسبق	el primero	the previous
الأسبوع	semana	week
الأستاذ	el profesor	professor
الأسترالية	australiano	australian
الأسد	el león	lion
الأسر	familias	families
الأسرة	la familia	family
الأسرى	prisioneros	captives
الأسطورة	la leyenda	the legend
الأسطول	la flota	navy
الأسعار	precios	prices
الأسفل	abajo	down
الأسلحة	armas	weapons
الأسلوب	método	way / style / method
الأسماء	nombres	the names
الأسماك	pescado	fish
الأسمدة	fertilizante	fertilizer
الأسنان	dientes	teeth
الأسواق	mercados	markets
الأسود	negro	the black
الأشجار	arboles	the trees
الأشخاص	personas	persons
الأشراف	supervisando	supervision
الأشرف	ashraf	el ashraf
الأشعة	rayos	rays
الأشعري	al-ash&#39;ari	ashari (name)
الأشكال	formas	forms
الأشهر	meses	the most popular
الأشياء	cosas	things
الأصدقاء	amigos	the friends
الأصغر	más joven	the smallest
الأصفر	amarillo	yellow
الأصل	el origen	origin
الأصلي	el original	original
الأصلية	el original	rooted
الأصليون	el nativo	originals
الأصليين	los indigenas	original
الأصناف	variedades	items
الأصوات	suena	sound
الأصول	orígenes	assets
الأضحى	al-adha	adhha
الأضرار	daños	damages
الأضلاع	costillas	pentagon
الأطباء	doctores	medcins
الأطباق	los platos	dishes
الأطراف	las fiestas	the ends
الأطرش	atrash	alatrash
الأطعمة	alimentos	food
الأطفال	niños	children
الأطلس	el atlas	atlas
الأطلسي	atlántico	atlantic
الأعداء	enemigos	enemies
الأعداد	los numeros	numbers
الأعراض	síntomas	symptoms
الأعراق	etnias	etchnic groups
الأعشاب	hierbas	grass
الأعصاب	nervios	nerves
الأعضاء	miembros	members
الأعظم	el mas grande	the greatest
الأعلام	las banderas	flags
الأعلى	arriba	upper
الأعمال	negocios	acts
الأعمدة	columnas	columns
الأعوام	años	the years
الأغالبة	alablabidos	el-aghaleba
الأغاني	canciones	songs
الأغذية	comida	food
الأغراض	propósitos	purposes
الأغلب	mayormente	mainly
الأغلبية	la mayoria	majority
الأغنية	la cancion	song
الأفراد	individuos	of the individuals
الأفريقي	africano	african
الأفريقية	africano	african
الأفضل	lo mejor	the best
الأفعال	los verbos	acts
الأفغاني	afgano	afghani
الأفكار	ideas	ideas
الأفلام	peliculas	the films
الأفيون	opio	opium
الأقاليم	territorios	regions
الأقدس	el mas sagrado	the sacred
الأقدم	el mas viejo	the oldest
الأقرب	lo mas cercano	the closest
الأقسام	secciones	sections
الأقصى	lejos	maximum
الأقطار	diagonales	territories
الأقل	menos	least
الأقليات	minorías	minority
الأقمار	lunas	satellites
الأقوال	refranes	sayings
الأكاديمية	la academia	academy
الأكبر	el mas grande	the biggest
الأكراد	los kurdos	kurd
الأكسجين	el oxigeno	oxygen
الألب	los alpes	alps
الألبان	lácteos	dairy
الألبانية	albanés	albanian
الألف	alif	the millenium
الألفية	el milenio	millennium
الألم	el dolor	pain
الألمان	los alemanes	the germans
الألماني	aleman	german
الألمانية	aleman	german
الألواح	placas	plates
الألوان	colores	colours
الأم	la madre	origin
الأمازيغ	bereberes	the amazigh
الأمازيغية	tamazight	tamazight
الأماكن	lugares	places
الأمام	adelante	imam
الأمان	seguridad	security
الأمانة	honestidad	the responsibility
الأمة	la nación	suffered
الأمثال	proverbios	examples
الأمثلة	ejemplos	exampels
الأمد	duración	time
الأمر	el asunto	the issue
الأمراء	los príncipes	princes
الأمراض	enfermedades	disease
الأمريكتين	las américas	the two americas
الأمريكي	americano	american
الأمريكية	americano	america
الأمريكيون	los americanos	americans
الأمريكيين	los americanos	the americans
الأمصار	los ciclones	the states
الأمطار	lluvia	rains
الأمعاء	intestino	intestines
الأمل	esperanza	hope
الأملاح	sales	salts
الأمم	naciones	nations
الأمن	seguridad	the security
الأمنية	seguridad	security
الأمواج	las olas	waves
الأموال	dinero	the money
الأمور	las cosas pasan	the conditions
الأموي	omeya	umayyad
الأموية	omeya	umayyad
الأمويون	los omeyas	umayyads
الأمويين	los omeyas	alomoaon
الأمية	analfabetismo	illiteracy
الأمير	el príncipe	prince
الأميرة	la princesa	the queen
الأميركي	americano	american
الأميركية	americano	american
الأمين	el secretario	custodian
الأنا	el ego	ego
الأناجيل	biblias	bibles
الأناضول	anatolia	anatole
الأنباء	noticias	news
