aajo	हास्यास्पद	hospitality
gbésè	प्रस्ताव	die
gbìnyànjú	प्रयत्न	endeavour
gbìyànju	कठिन प्रयास	try
gbódò	जरूर	must
gbónmisi	कानून	strife
gbúnùn	इसे सूंघे	hostile
gbọ́dọ̀	जरूर	must
geesi	अंग्रेज़ी	english
geneva	जिनेवा	geneva
genevieve	genevieve	genevieve
georgia	जॉर्जिया	georgia
german	जर्मन	german
gfaj	gfaj	gfaj
ghana	घाना	ghana
gidigidi	बहुत	significantly
gidí	मकान	real
goemai	goemai	goemai
gomina	राज्यपाल	governor
gorgina	बाज	gorgina
gquadruplex	gquadruplex	g-gigalonomerin
grammy	ग्रैमी	grammy
griiki	यूनानी	greek
groove	नाली	iho
guanínì	guanni	guanine
guinea	गिन्नी	guinea
guineabissau	गिनी-बिसाऊ	guinea bissau
guinébissau	guinébissau	guinea bissau
gun	लंबा	stretch
gunle	बंदूक	arrive
guusu	दक्षिण	south
gv	जी.वी.	gv
gèésì	गोंद	english
gèésì	मणि	english
gégé	वास्तव में	like
gírámà	दादाजी	grammar
gòkè	ऊपर जाना	climb
gún	छिद्रित	properly
gúúsù	दक्षिण	south
gẹ̀ẹ́sì	अंग्रेज़ी	english
habsburg	हैब्सबर्ग	habsburg
haggai	मार्गदर्शक	haggai
haiti	हैती	haiti
halomonadaceae	halomonadaceae	halomonadaceae
hard	मुश्किल	lile
haughton	haughton	haughton
hausafulani	hausafulani	hausa fulani
hawaii	हवाई	hawaii
heinrich	हेनरिक	heinrich
hendu	कैंडी	hendu
henny	henny	henny
heraklion	heraklion	heraklion
hesse	माना	hesse
him	उसे	un, this term is sexless
hindu	hindu	hindu
histoni	histoni	histones
hominidae	hominidae	hominidae
hosea	होशे	hosea
hp	अश्वशक्ति	hp
hugh	ह्यूग	hugh
hun	हुन	knit
hungari	भुखमरी	hungary
hv	एचवी	hv
ibalo	मामला	relationship
ibarepo	संगति	friendship
ibeji	जुडवा	twins
ibewo	आ गया	visit
ibiamusin	अभ्यारण्य	colony
ibile	परंपरागत	municipality
ibimo	जन्म	birth
ibise	व्यायाम	official
ibiti	स्थानों	where
ibn	इब्न	ibn
ibojì	मकबरे	burial ground
ibori	आवरण	conquest
ibujoko	बेंच	place of abode
ibuseripadabosi	स्थान परिवर्तन	eternity
ibuso	लड़ना	bus stop
ibùdó	शिविर	settlement, seat of, area,
ibùjókòó	बैठने की	settlement
iceland	आइसलैंड	iceland
idagbasoke	विकास	development
idagbe	उपेक्षा	isolation
idaji	आधा	half
idajo	न्याय	judgement
idamita	खींचना	sector
idari	नियंत्रण	control
ideraa	लिखना	comfort
idimule	गिरफ़्तार करना	establishment
idoma	चित्रकारी	idoma
idupe	धन्यवाद	thanksgiving
idánwò	परीक्षण	examination
ifija	मछली पकड़ना	weapon
ifilole	प्रक्षेपण	resolution
ifitonileti	जानकारी	reporting
ifobaje	भ्रष्टाचार	coronating
ifofinde	कांग्रेस	prohibition
ifriqiya	उत्तेजना	ifriqiya
igbeduro	तैयारी	institute
igbegun	विजय	declaration of war
igberiko	उपनगरीय	region
igbesoke	उन्नयन	upliftment
igbeyawo	शादी	marriage
igbowolori	महंगा	inflation
igbá	मुर्गी	shell
igbáẹ̀yìn	आखरी वाला	shell
igitòròmogbè	ब्रॉडबैंड	willow tree
ihan	उपस्थित होना	ray
ihinrere	सुसमाचार	gospel
ijagun	लड़ाई	war
ijakadi	संघर्ष	wrestling
ijaya	घबड़ाहट	fear
ije	आंदोलन	eating
ijinnasi	भौतिक विज्ञान	the wind open
ijosin	पूजा	worship
ijó	नृत्य	dance
ikan	एक	one of
ikandinlogun	अठारह	nineteen
ikaowo	आदर करना	finger
ikejidinlogun	अठारह	eighteen
ikeko	संकलन	education
ikerin	चौथा	fourth
iketa	पैतृक सम्पत्ति पाना	third
ikoenu	बचाना	union
ikojopo	संचय	collection
ikoreokere	कटाई	migration
iku	मौत	death
ikúgbaèyí	अभी	death-has-this
ikún	भरने	squirrel or wild rodent
ilagbolojo	प्रचार	latitude
ilana	प्रक्रिया	procedure
ilanaoye	रणनीतियाँ	knowledge procedure
ilaodo	रक्षा करना	cana
ilaorun	सूर्योदय	west
ileasofin	विधायी	house of law,
ilegiga	घर	higher ground or higher plain
ileife	उपेक्षा	ile-ife
ileigbimo	सहमति	house of assembly/congress
ileobaluaye	दुनिया	high chief
ileru	भट्ठी	volcanic
ilopo	दोहरा	times
iluoba	नागरिकता	king's town
iluorilejoba	भूमंडलीकरण	capital city
ilé	घर	house
iléayé	घर	earth
iléisé	घर	workplace
ilélódò	घर	ile-lodo
iléàtèéré	घर	ile-ateere
iléńlá	आंगन	ile-nla (area)
ilẹ	भूमि	land
ilẹ̀ayé	पृथ्वी	the world
iminle	गिरफ्तार करने के लिए	earthquake
imoero	बिजली चमकना	engineering
imojuto	देखभाल	protection
imusin	खींचना	colony
imú	नाक	nose
imúnisìn	स्वच्छता	slavery
inagberingberi	मूंगफली का मक्खन	electromagnetic force
indeed	वास्तव में	paapa julo
indus	सिंधु	indus
inkosi	उचित ठहराने के लिए	inkosi
integration	एकीकरण	ifowosowopo
inágbéringbérin	सत्रह	electromagnet
iní	विरासत	possession
inúnibíni	उत्पीड़न	hatred
ioja	मछली	fight
ioniani	दरिद्र	ionian
iowa	धरती पर	iowa
ipare	मुरझाना	abolition
ipawo	का उपयोग करता है	income
ipele	स्तर	stage
ipin	अध्याय	share
ipinpa	भाग लेना	arm of, branch of
ipinu	फेसला	determination
ipo	स्थान	position
ipá	बल	effort
iraja	चौंका देने वाला	bargaining
iranlose	सहायता	mission
ire	बिक्री	you
irele	विनम्रता	irele
iringa	लपेटें	iringa
irisi	दिखावट	appearance
irorun	बहुत आसान	convenient
irò	अफवाह	iro
irúnmọlẹ̀	आकाशीय बिजली	apparition
isa	बस	jesus, isa or yisa is hausa language
isare	त्वरण	track race
isedaniloro	आत्म संदेह	terrorism
iseero	घड़ी	engineering
isejoba	शासन	governance
iseoba	पंद्रह	civil service
iseoroayeijoun	पुरातत्त्व	archaeology
iseowo	व्यापार	business
isepinpin	वितरण	division
iso	आना	unit
isoponomba	isoponomba	addition of numbers
isun	बहे	spring
isesi	आत्मसमर्पण	conduct
isè	सर्विस	occupation
itali	इतालवी	italy
itanakole	कहानी	ancient
itelentele	स्पष्ट रूप से	coming after
itiraka	संघर्ष	effort
itobi	अपनी प्रशंसा करना	size
itokowo	व्यापार	economy
itorawo	उदार	astrology
itu	फ़ेक्ना	solution
itumo	अर्थ	meaning
iwadi	अनुसंधान	research
iwasi	impress	behaviour
iwifun	जानकारी	report
iwoile	घर	entering
iwosan	उपचारात्मक	healing
iwulo	उपयोगी	use
iwuwa	अभ्यास	behaviour
iyan	सूखा	argument
iyato	अंतर	difference
iyawo	दुल्हन	wife
iyen	अर्थात्	that
iyán	शानदार	pounded yam
iḷẹ̀	काम	land
iṣẹ́ìwádìí	अनुसंधान	research
jabo	रिपोर्ट good	give account
jackson	जैक्सन	jackson
jadide	रुको	emerge
jagbe	दफा हो जाओ	shout
jalè	चोरी होना	steal
jamaica	यूट्यूब	jamaica
jamo	चले जाओ	link
jawaharlal	झूलों	jawaharial
jeffrey	जेफरी	jeffrey
jeometri	ज्यामिति	geometry
jesu	यीशु	jesus
jfk	जेकेएफ़	jfk
jije	किया जा रहा है	existing as
jijinna	दूर	distance
jiròrò	धूमिल	dialogue
jo	रिसाव	days
jogun	विरासत में मिला	inherit
johann	नरक	johann
johanu	माफ़ करना	john
jojo	फटा	great extent
jopò	में शामिल हों	gathered
jo	जॉन	resemble
juneau	juneau	juneau
jàgídíjàgan	हिंसा करनेवाला	violent
jáde	बाहर आओ	out
jé	आइए	is
jéésù	यीशु	jesus
jìnnàa	दूर	further
jíje	किया जा रहा है	eating
jíjuwó	पैसा बनाना	waving hands
jíjéomoléyìnkírísítì	एक परोपकारी व्यक्ति के रूप में	followers of christ
jùlo	से ज्यादा	most
jùlo	ख़ास तौर पर	most
jùló	सबसे	most
jẹ́mánì	जर्मन	germany
jọ́	कृप्या	together
kadara	संपत्ति	destiny
kagera	डींग मारने का	kagera
kakiri	निशान	all over
kalinga	cinga	kalinga
kalẹ	रद्द करना	established
kampala	पकड़	kampala
kan	ए	one
kankan	कोई नहीं	any
kanlè	kanal	established
karbonumarun	thecentricane	5 carbon
karl	कार्ल	karl
karun	पांचवां	fifth
karùún	पांचवां	fifth
kebbi	समायोज्य	kebbi
kekere	छोटा	lower
keko	साक्षर	learn
kept	रखा	fi pamo
khoisan	अवर	khoisan
ki	ऐसा	not
kiakiajulo	सबसे तेज़	rapidly
kiko	लाना	gathering
kikojo	संकलन	gathering
kikopomo	गर्मजोशी	mixed
kikoso	तेज	colonised
kiko	सीख रहा हूँ	making
kikuninu	कल्पना कीजिए	size
kilhar	कांख	kilhar
kinkinni	छोटी सी बात	small quantity
ko	या	don't
kodò	नीचे	bow
koidu	koidu	koidu
kojá	पार करना	pass
kolo	kolo	going
komputa	संगणक	computer
kong	कांग	kong
kongo	कंडोम	congo
kookan	यह	one
koto	प्रलोभन	pit
koko	सीख रहा हूँ	make heap
ko	ko	learn
kori	अब और नहीं	not found
krio	क्रियो	krio
ku	आप	remain
kwara	संबोधित	kwara
kàríbẹ́ánì	क्षेत्र में	carribean
kàyéfì	आश्चर्य	amazement
ká	का	we
kánfinkése	सरलता	prolonged
kánádà	बेशक	canada
káyé	विश्व	world
kéesì	हास्यास्पद	keesi
kékéèké	छोटा	small
kétu	तैयार रहो	ketu
kémíkà	इसके विपरीत	chemical
kéyìn	बाद में	come after,
kìnní	प्रथम	first
kí	नमस्कार	not
kíko	पढ़ते पढ़ते	written
kíkọ́	सीखना	learning
kínu	चुंबन	greet
kírísìtì	क्रिसमस	christ
kòjòkú	बारिश	kojoku
kòkó	चूहा	cocoa
kòmpútà	संगणक	computer
kòtò	गड्ढा	pit
kòòsí	यह नहीं	coaching
kòòkan	प्रत्येक	each
kógo	महिमा	glorious
kóra	इकट्ठा	participate
kùkú	आख़िरकार	eventually
kùrání	कुरान	quran
kúkú	आख़िरकार	now
kúkúrú	संक्षेप में	short
kúrò	दूर	away
kútò	सब कुछ	kuto (place)
kúùkù	इसके विपरीत	punches; expression meaning 'by force' (ti pa ti kuuku)
kẹrin	चौथा	4
kẹsàán	बिल्कुल अभी	ninth
kẹta	तीसरा	third
kẹ́nyà	पृथक्करण	kenya
kọjá	उत्तीर्ण करना	pass through
kọ̀mpútà	संगणक	computer
kọ́kọ́	प्रथम	first
kọ́lọ́mú	कॉलम	breast owner
kọ́ni	की कमी	teach
laa	चले जाओ	will
laada	लात	good fortune
laaka	उलटना	important
laarin	अंदर	between
labalaba	तितली	butterfly
labee	नीचे	under
lade	भार रखना	crowned
laid	रखी	tele
laifi	दोष	without
languages	भाषाओं	ede
lanka	लंका	lanka
lasile	रिहाई	laid out
latibe	वहां से	from there
latigbana	तब से	from then on
latini	लैटिन	latin
latvia	लातविया	latvia
lay	रखना	da
le	कर सकते हैं	can
leboa	lebo	leboa
lekun	तेज	open door
leo	लियो	leo
lese	पद	firmly
less	कम से	okeresi
lewaju	आगे	front
lewon	कैद होना	imprisonment
leyi	यह रहा	mispelled...should be 'leyin', after
leè	हो सकता है	can
lilelile	कट्टर	tightly
lilemo	कैनबिस	sticky
lilongwe	लिलोंग्वे	lilongwe
lindi	लाइ	lindi
linear	रैखिक	dogba
links	लिंक	eka; this is a new word and does not really exist in yoruba
lodo	जगह लें	from
lojowaju	भविष्य में	the future
lojukokoro	लालची	covetousness
lojúgun	तबाह	knee
lokunkun	शक्तिशाली	in the dark
loloselu	राजनीतिक रूप से	in politics
lopolopo	बहुत	so many
loruko	नाम	name
louvre	लौवर	louvre
lovers	प्रेमियों	awon olufe
low	कम	diye
lo	जारी रखें	than
luanda	लुआंडा	luanda
luther	लूथर	luther
lynton	lynton	lynton
làgba	बराबरी का	more important
lààmi	संकेत	sign
lààmì	संकेत	significant
lábé	वजन	under
láfún	दिया हुआ	cassava food
láimo	के बिना	unknown
láké	जोर	in ake
lámọ́di	भाग्य	lamodi
lápá	अंश	from
lára	चोट	part of
lárúbáwá	प्राकृतिक	arabic
láì	के बिना	without
láíláí	कभी नहीँ	old
lèe	कर सकते हैं	can
lèyìn	बाद में	after
lédè	भाषा में	language
léebá	संयोग से	catch up with it
lérìnín	बर्फ	erin=laughter; the prefix 'l' is possesive
lérò	कारण	thought
léyin	बाद में	after
léyìn	बाद में	after
lérú	गुलामी	enslave
lílo	शोषण	using
lísa	त्वरण	a chieftaincy title
lítésò	चुभता	literature
lóde	बाहर	modern
lópez	nipez	lopez
lópó	विधवा	widow
lórì	बंदरगाह	on the head
lóríba	ऊपर	subdue
lóti	लॉट	have
lóòótò	हाँ	truly
lóòótọ́	वास्तव में	truly
ló	ló	to
lónà	रास्ते में	in a way
lórò	आने वाला कल	become wealthy
lọndọnu	लंडन	london
lọ́dọọdún	प्रतिवर्ष	yearly
lọ́jà	बाजार में	in the market
maapu	नक्शा	map
madeira	beira	madeira
mahatma	महात्मा	mahatma
makedonia	मैसेडोनिया	macedonia
malabo	शहद	malabo
malay	ग्रहण	malay
malayopolynesian	malayopolynesian	malayo-polynesian
malaysia	मलेशिया	malaysia
mali	दिन	mali
mango	आम	mango
manˈdeːla	mandelala	mandela
marcellus	मार्सेलस	marcellus
march	जुलूस	march
marku	इस समय	mark
mars	मंगल ग्रह	mars
maryland	मैरीलैंड	maryland
maseru	ईर्ष्या द्वेष	don't be slave
matheu	matheu	matthew
mathiew	mathiew	mathiew
mathimatiki	गणितीय	mathematics
max	अधिकतम	max
maya	नहीं	maya
mbabane	नकारात्मक	mbabane
means	माध्यम	ona (way)
mediteraneani	आभ्यंतरिक	mediterranean
mefeefa	ओवरहाल	all six
mejidinlogbon	अट्ठाइस	twenty eight
mejila	बारह	twelve
meksiko	मेक्सिको	mexico
melo	कितने	some
member	सदस्य	ara
mercosur	mercosur	mercosur
merin	चार	four
methodologies	के तरीके	anaoniruuru
metropoli	मेट्रोपोली	metropolis
meucci	मेसी	meucci
mewar	मेवाड़	mewar
mexico	मेक्सिको	mexico
michelle	मिशेल	michelle
micronesia	माइक्रोनेशिया	micronesia
miiràn	राहत देना	another
mimoy	mimoy	mimoy
mimuwa	पकड़	import
minnesota	मिनेसोटा	minnesota
