aajo	смішні	hospitality
alákọ̀bẹ̀rẹ̀	ініціатор	primary education
alápapò	заміна	general
alátise	художник	alatise
aláyèwò	інспектор	expert
aláísàn	хворий	the sick
alúwo	бум	traditional cults
alọ́po	гаманець	tied
amazonas	амазонас	amazonas
americas	американські	americas
amerika	америка	america
amojeoyipada	кабріолет	reform
amosi	мечеть	amos
améríkà	американський	america
améríkà	американський	america
an	ан	him
anabi	пророк	prophet
anc	anc	anc
andaman	andman	andaman
angkor	ангкор	angkor
anita	аніта	anita
anschluss	аншлюс	anschluss
apagusu	південь	southern
apaguusuilaorun	на південний захід	south-western
apaguusuiwoorun	на південний захід	part of the south
apailaorun	схід сонця	east side
apaiwoorun	західний	eastern side
aparapo	поєднання	confederation
apeja	рибалка	fisherman
apeere	наприклад	example
apis	апіс	apis
apòmù	фартух	apomu
apẹ̀rè	фартух	example
arabu	арабська	arab
aralíle	тропічний	healthy body
arinkankan	ось цей	nationalist
ariso	виник	oral tradition
ariwaarin	близький схід	mid-north
ariwaguusu	південно-західний	north-south
arkansas	арканзас	arkansas
aroko	рослинність	composition
aruleyin	здравствуйте	carried on the back
arun	захворювання	disease
aryan	арійський	aryan
aráa	брат	people from
arábíà	алфавітним	arabia
aráròmí	здравствуйте	araromi
arópò	хабарництво	substitute
arúgbó	похилий вік	elderly
arọ	кульгавий	cripple
asagun	перемога	intial, first (referring to the 13 colonies)
ascii	з’ясувати	ascii
aseeto	поселення	unfair
aseyori	успіх	success
asipa	відхилення	first to kill
assessment	оцінка	ayewo
asìko	дурниці	time; ni asiko=when
asèdá	природний	origination
atangbona	атом	emission
atanna	атом	emitter
atigba	допустимий	from time
atimo	план	inland
atinrin	сміється	thin
atun	перемотування назад	also
atunse	виправлення	revision
australia	австралія	australia
austriahumgary	austriahumgary	austria-hungary
austronesian	австронезійська	austronesian
austríà	австралія	austria
avar	авар	avar
awari	відкриття	discovery
awo	тарілка	of
awonara	емоція	people of
awoòn	шаблон	people
awon	їх	they
awuruju	магічний	shady
awùjo	ввічливість	society
awújẹ	скандал	root
aya	вірш	chest
ayeye	вічність	celebration
ayàfi	це прекрасно	only if
ayò	ай	game
azikiwe	здоровий глузд	azikwe
aṣòkan	індивідуальний	united
baa	є	be with
babaláwo	віщун	herbalist
bahrain	бахрейн	bahrain
balẹ̀	нехай він буде	settled
bang	чуб	bang
banle	грим	banle
bara	торік	themselves
bauxitealumina	боксителюміна	bauxite/aluminum
bayelsa	баєльса	beyelsa
bayi	зараз	like this
bayìí	зараз	this
bce	геть	bce
beauharnais	бохарна	beauharnais
beijing	пекін	beijing
belarus	білорусь	belarus
belgium	бельгія	belgium
bengal	бенгальська	bengal
bengali	бенгальська	bengal
benin	лавка	benin
berber	бербер	berber
berlin	берлін	berlin
bernstein	бернштейн	bernstein
bharat	бхарат	bharat
bharata	повертатися	bharata
bibeli	біблія	bible
biribiri	було подрібнено	intense
black	чорний	dudu
bodies	органів	ara
bojú	поглянь	take care
bole	штамб	ground
bolt	болт	bolt
bolívar	болівар	bolivar
brasil	бразиль	brazil
brazzaville	браззавіль	brazzaville
bridgeport	мостовий порт	bridgeport
britain	британія	britain
brítánì	британці	britain
bu	це є	give
buenaventura	буенавентура	buenaventura
bujumbura	розширений	bujumbura
burúkú	зло	bad
by	від	does not translate directly, does not exist
bàbá	батько	father
bákannáà	також	likewise
bálè	повітряна куля	lying on the ground
bárakú	залежність	habitual
báyìí	зараз	this
bèrẹ̀	почати з	started
béè	ось так	than
bòtswánà	автобус	botswana
búburú	поганий	bad
búrú	бути хоробрим	wicked
bẹ̀rẹ̀	почати	started
bẹ́	зламався	also
bẹ́ljíọ̀m	берил	belgium
bẹ́ẹ̀ni	так	yes
bẹ́ẹ̀sìni	так	that is it
cairo	лють	cairo
calabar	жуйка	calabar
canaria	канарія	canaria
cape	накидка	cape
casablanca	касабланка	casablanca
caslon	казино	caslon
cathedral	собор	cathedral (katidral)
catherine	катерина	catherine
cauchy	капустяний	cauchy
cbc	куб	cbc
chamorro	хаморро	chamorro
charles	шарлів	charles
chaskalson	шаскальсон	chaskalson
chebbi	думати	chebbi
cherished	плекав	mu lokunkundun
china	китай	china
cipollone	циполон	cipollone
clear	ясний	danmanran
code	код	code
coetsee	coetsee	coetese
coloured	кольорові	alawo dudu
coming	наближається	yo jade
compared	порівняно	does not directly translate
computers	комп’ютери	komputa, ero ayarabiasa
csto	csto	csto
ct	ct	ct
cunha	горло	cunha
da	і	back; but in this form it is unnecessary
dagbasoke	вирости	developing
dandan	обов&#39;язкові	a must
dani	проведення	hand-held
darapo	приєднатися	joinedd
daru	знищити	scattered
dates	дати	pada si
delhi	не	delhi
denver	денвер	denver
des	дес	des
describes	описує	se apejuwe (apejuwe=description; se prefix makes it a verb)
desmond	дезмонд	desmond
development	розвиток	idagbasoke
didagba	рівність	growing
didasile	установа	established
different	інший	iyato
din	смажити	reduced
dinwoju	підняти погляд	suitable
divoire	дивоар	d'ivoire
doju	обличчям до обличчя	face
dojú	обличчям до обличчя	turn face (full phrase is doju ko, to face)
dominic	домініка	dominic
doni	доні	this day
dote	дот	rebel
doublehelix	подвійний спіраль	hiliksi abara meji
doublestrand	подвійний бренд	double-strand
dover	довер	dova
du	дю	hustle
due	через	nitori
dun	смачно	sound
dàbíi	подобається це	like
dàpò	замінити їх	mix
dá	створено	intervene
dágbó	похилий вік	forest
dájó	добре	pass judgement
dálóríi	спасибі	about
dáradára	ну	well
dásà	каза	peculiar way of saying
dáwó	дарувати	undertake
dé	прибув	reach
délànà	у принципі	delana
dépò	до такої міри	to a position
dì	аркуш	be
dìde	виникають	stand
dìró	праворуч	hang on
dìtẹ̀	змова	rebel
díè	напружений	few
dóko	добре	upstanding
dólà	ну	dollar
dún	звук	sound
dúró	стояти	stand (been in existence)
dọ́gba	рівний	equal
ea	так	ea
eba	еба	shore
ebi	сім&#39;я	family
ecomog	ecomog	ecomog
ede	мова	language
efrem	ефем	efrem
egba	абсолютно	cane
egbe	пістолет	group
egberundun	тисяча років	a thousand year
egbo	рана	brother
egbé	горе	party
egbò	рана	chemicals
egbògi	медичні	don't know this
eighteen	вісімнадцять	ejidinlogun
eka	складний	branch, department, part
ekeji	інші	second
eko	освіта	lagos
elede	свині	speaker
eleyi	це	this
eleyii	подобається це	this
elláda	створення	ellada
eléde	реферат	pig
eléré	спортсмен	performer
elòmírà	морські водорості	freedom
elòmíràn	інший	another person
emerging	виникаючі	ibere-pese
emmanuel	еммануїл	emmanuel
enikéni	всі	whoever
enter	увійти	wole
enì	слон	person
eníbá	лихоманка	such person
epa	арахісу	groundnut
ernst	ernst	ernst
erofo	осад	swamp
erékùsù	острів	island
eréonítàn	абревіатура	written play
eseese	діаграма	step by step
esia	наближається	asia
esteri	естері	ester
etisalat	etisalat	etisalat
etymologiae	етимології	etymologiae
etíòkun	узбережжя	beach
euro	євро	euro
euroasia	євразія	uro-esia
ewe	лист	ewe
ewé	лист	leaf
ewì	поезії	traditional poem
example	приклад	apere
eya	категорія	tribe
eyin	яйця	previous
eyonomba	ейонамба	digit
eléja	риболовля	fisherman
elòmíràn	хтось інший	another person
eka	ефект	branches
eléyàmèyà	етнічність	tribalism
enu	рот	mouth
esin	релігія	horse
esè	надходження	leg
ewà	поведінки	beauty
fagile	скасовано	cancel
fail	невдача	padanu
fan	вентилятор	spread
faramó	дотримуватися	accept
faranse	французький	french
farsi	арти	farsi
felifeli	оксамит	fuming
ferde	гаряче	verde
fesèmúlè	попереднє джерело	established
fe	хотів	want
fi	зберегти	by
fifihan	показ	revealed
fihan	вказано	shows, to show
fimú	різко визначені	captivate with
finiki	фізика	finiki
finlandi	фінляндія	finland
fitino	випробування	judgement
five	п’ять	marun
fodio	фодіо	fodio
fofinde	заборона	prohibited
fohùn	кричати	consent
foniimu	фільм	phoneme
force	сила	agbara
foriko	наприклад	agreed
fourbase	чотирибазова	onidi-merin
fowobowe	бронювання	signed
fowó	за гроші	sign
fracmv	fracmv	does not translate
francis	францис	francis
fransi	французький	france
freetown	фрітоун	freetown
fuji	видалити	fuji
fulani	боягузливий	fulani
fulbe	повний	fulbe
fun	для	for
funra	себе	suspect
further	далі	si
fé	фе	like
fé	fé	want
fégbé	забудь це	for peers
fífò	політ	jumping
fífún	давання	giving
fòye	зрозуміти	rationalise
fẹ́rẹ̀ẹ́	майже	nearly
galatia	цього разу	galatia
gba	згоден	accept
gbajúgbujà	користується великою популярністю	popular
gbale	популярність	flourished
gbaná	вистрілити	engulf in flame/rage
gbe	нести	set up
gbera	рухайся	move
gberasoke	прискорювати	rising
gbese	борг	debt
gbigbamulo	експлуатація	adopted
gbigbewo	фінансування	examined
gbilè	вирватися	gaining ground
gbin	посадили	farm
gbogbogbo	загальний	general
gbongbo	корінь	root
gbàgbọ́	вірити	believe
gbàgùrà	здригнувся	gbagura
gbá	розбити	received
gbáradì	вставай	prepare
gbé	жити	convey
gbédìí	встановити	respect
gbékalè	столяр	establish
gbéni	жити	lift
gbéyèwò	огляд	examine
gbésè	пропозиція	die
gbìnyànjú	спробуйте	endeavour
gbìyànju	старайся	try
gbódò	повинен	must
gbónmisi	закон	strife
gbúnùn	запах	hostile
gbọ́dọ̀	повинен	must
geesi	англійська	english
geneva	генева	geneva
genevieve	genevieve	genevieve
georgia	грузія	georgia
german	німецька	german
gfaj	gfaj	gfaj
ghana	гана	ghana
gidigidi	дуже	significantly
gidí	будинок	real
goemai	goemai	goemai
gomina	губернатор	governor
gorgina	орел	gorgina
gquadruplex	гквадруплекс	g-gigalonomerin
grammy	грам	grammy
griiki	грецька	greek
groove	паз	iho
guanínì	гуанні	guanine
guinea	гвінеї	guinea
guineabissau	гвінеабісау	guinea bissau
guinébissau	guinébissau	guinea bissau
gun	довго	stretch
gunle	пістолет	arrive
guusu	південь	south
gv	гв	gv
gèésì	клей	english
gèésì	дорогоцінний камінь	english
gégé	дійсно	like
gírámà	грейфери	grammar
gòkè	підніматися	climb
gún	пронизаний	properly
gúúsù	південь	south
gẹ̀ẹ́sì	англійська	english
habsburg	габсбург	habsburg
haggai	путівник	haggai
haiti	гаїті	haiti
halomonadaceae	halomonadaceae	halomonadaceae
hard	важко	lile
haughton	хатон	haughton
hausafulani	хаусафулані	hausa fulani
hawaii	гаваї	hawaii
heinrich	генріх	heinrich
hendu	цукерки	hendu
henny	хенні	henny
heraklion	іракліон	heraklion
hesse	домовились	hesse
him	його	un, this term is sexless
hindu	індуїзм	hindu
histoni	гістоні	histones
hominidae	hominidae	hominidae
hosea	шланг	hosea
hp	к.с.	hp
hugh	hugh	hugh
hun	хун	knit
hungari	голодування	hungary
hv	hv	hv
ibalo	справа	relationship
ibarepo	об&#39;єднання	friendship
ibeji	близнюки	twins
ibewo	прийшло	visit
ibiamusin	святилище	colony
ibile	традиційні	municipality
ibimo	народження	birth
ibise	тренування	official
ibiti	місця	where
ibn	ібн	ibn
ibojì	гробниця	burial ground
ibori	вуаль	conquest
ibujoko	лавка	place of abode
ibuseripadabosi	відшкодування	eternity
ibuso	боротися	bus stop
ibùdó	табір	settlement, seat of, area,
ibùjókòó	сидіння	settlement
iceland	ісландія	iceland
idagbasoke	розвиток	development
idagbe	зневага	isolation
idaji	половина	half
idajo	справедливості	judgement
idamita	малювати	sector
idari	контролю	control
ideraa	писати	comfort
idimule	арешт	establishment
idoma	малюнок	idoma
idupe	спасибі	thanksgiving
idánwò	випробування	examination
ifija	риболовля	weapon
ifilole	запуск	resolution
ifitonileti	інформація	reporting
ifobaje	корупція	coronating
ifofinde	конгрес	prohibition
ifriqiya	стимуляція	ifriqiya
igbeduro	підготовка	institute
igbegun	перемога	declaration of war
igberiko	приміські	region
igbesoke	оновлення	upliftment
igbeyawo	весілля	marriage
igbowolori	дорого	inflation
igbá	курка	shell
igbáẹ̀yìn	останній	shell
igitòròmogbè	широкосмуговий	willow tree
ihan	з&#39;явитися	ray
ihinrere	євангеліє	gospel
ijagun	боротися	war
ijakadi	боротьба	wrestling
ijaya	паніка	fear
ije	руху	eating
ijinnasi	фізика	the wind open
ijosin	поклонітися	worship
ijó	танці	dance
ikan	один	one of
ikandinlogun	вісімнадцять	nineteen
ikaowo	повага	finger
ikejidinlogun	вісімнадцять	eighteen
ikeko	складання	education
ikerin	четвертий	fourth
iketa	успадковувати	third
ikoenu	зберегти	union
ikojopo	накопичення	collection
ikoreokere	збирання врожаю	migration
iku	смерть	death
ikúgbaèyí	зараз	death-has-this
ikún	наповнення	squirrel or wild rodent
ilagbolojo	гласність	latitude
ilana	процедура	procedure
ilanaoye	стратегії	knowledge procedure
ilaodo	захищати	cana
ilaorun	схід сонця	west
ileasofin	законодавчі	house of law,
ilegiga	додому	higher ground or higher plain
ileife	зневага	ile-ife
ileigbimo	згода	house of assembly/congress
ileobaluaye	світ	high chief
ileru	піч	volcanic
ilopo	подвійний	times
iluoba	громадянство	king's town
iluorilejoba	глобалізація	capital city
ilé	додому	house
iléayé	додому	earth
iléisé	додому	workplace
ilélódò	будинок	ile-lodo
iléàtèéré	додому	ile-ateere
iléńlá	двір	ile-nla (area)
ilẹ	земля	land
ilẹ̀ayé	земля	the world
iminle	заарештувати	earthquake
imoero	освітлення	engineering
imojuto	турбота	protection
imusin	малювати	colony
imú	ніс	nose
imúnisìn	гігієна	slavery
inagberingberi	арахісове масло	electromagnetic force
indeed	дійсно	paapa julo
indus	індус	indus
inkosi	виправдовувати	inkosi
integration	інтеграція	ifowosowopo
inágbéringbérin	сімнадцять	electromagnet
iní	спадкування	possession
inúnibíni	переслідування	hatred
ioja	риба	fight
ioniani	нужденним	ionian
iowa	на землі	iowa
ipare	в’януть	abolition
ipawo	використовує	income
ipele	рівень	stage
ipin	главу	share
ipinpa	участь	arm of, branch of
ipinu	рішення	determination
ipo	розташування	position
ipá	сила	effort
iraja	шокуючі	bargaining
iranlose	допомогу	mission
ire	продаж	you
irele	смиренність	irele
iringa	загортати	iringa
irisi	зовнішній вигляд	appearance
irorun	дуже просто	convenient
irò	чутка	iro
irúnmọlẹ̀	блискавка	apparition
isa	достатньо	jesus, isa or yisa is hausa language
isare	прискорення	track race
isedaniloro	невпевненість у собі	terrorism
iseero	дивитися	engineering
isejoba	управління	governance
iseoba	п’ятнадцять	civil service
iseoroayeijoun	археологія	archaeology
iseowo	бізнес	business
isepinpin	розповсюдження	division
iso	приходити	unit
isoponomba	ізопономба	addition of numbers
isun	потік	spring
isesi	здатися	conduct
isè	сервіс	occupation
itali	італійська	italy
itanakole	історія	ancient
itelentele	однозначно	coming after
itiraka	боротьба	effort
itobi	вихвалятися	size
itokowo	бізнес	economy
itorawo	ліберальний	astrology
itu	кидати	solution
itumo	значення	meaning
iwadi	дослідження	research
iwasi	вражати	behaviour
iwifun	інформація	report
iwoile	додому	entering
iwosan	загоєння	healing
iwulo	корисний	use
iwuwa	практика	behaviour
iyan	голод	argument
iyato	різниця	difference
iyawo	наречена	wife
iyen	це є	that
iyán	іскристий	pounded yam
iḷẹ̀	робота	land
iṣẹ́ìwádìí	дослідження	research
jabo	звіт	give account
jackson	джексон	jackson
jadide	зачекай	emerge
jagbe	загубитись	shout
jalè	крадіжка	steal
jamaica	youtube	jamaica
jamo	йди геть	link
jawaharlal	гойдалки	jawaharial
jeffrey	джефрі	jeffrey
jeometri	геометрія	geometry
jesu	ісус	jesus
jfk	jfk	jfk
jije	буття	existing as
jijinna	далеко	distance
jiròrò	туманний	dialogue
jo	витік	days
jogun	передається у спадок	inherit
johann	пекло	johann
johanu	вибачте	john
jojo	тріснув	great extent
jopò	приєднуватись	gathered
jo	джон	resemble
juneau	джуно	juneau
jàgídíjàgan	насильницький	violent
jáde	вийти	out
jé	прийти	is
jéésù	ісус	jesus
jìnnàa	далеко	further
jíje	буття	eating
jíjuwó	робити гроші	waving hands
jíjéomoléyìnkírísítì	як меценат	followers of christ
jùlo	більше, ніж	most
jùlo	особливо	most
jùló	найбільший	most
jẹ́mánì	німецька	germany
jọ́	будь ласка	together
kadara	актив	destiny
kagera	хвастовитий	kagera
kakiri	слід	all over
kalinga	cinga	kalinga
kalẹ	переносити, відкладати	established
kampala	застібка	kampala
kan	а	one
kankan	жоден	any
kanlè	канал	established
karbonumarun	вогник	5 carbon
karl	карл	karl
karun	п&#39;ятий	fifth
karùún	п&#39;ятий	fifth
kebbi	регульований	kebbi
kekere	малий	lower
keko	грамотний	learn
kept	збережений	fi pamo
khoisan	неповноцінний	khoisan
ki	то роби	not
kiakiajulo	найшвидший	rapidly
kiko	приведення	gathering
kikojo	складання	gathering
kikopomo	тепла	mixed
kikoso	швидко	colonised
kiko	навчання	making
kikuninu	уявіть	size
kilhar	пахви	kilhar
kinkinni	дрібниця	small quantity
ko	або	don't
kodò	нижче	bow
koidu	коїду	koidu
kojá	хрест	pass
kolo	коло	going
komputa	комп’ютер	computer
kong	конг	kong
kongo	презерватив	congo
kookan	це	one
koto	наживка	pit
koko	навчання	make heap
ko	ko	learn
kori	не більше	not found
krio	кріо	krio
ku	ти	remain
kwara	адресований	kwara
kàríbẹ́ánì	в регіоні	carribean
kàyéfì	диво	amazement
ká	з	we
kánfinkése	винахідливість	prolonged
kánádà	звичайно	canada
káyé	світ	world
kéesì	смішні	keesi
kékéèké	малий	small
kétu	будь готовий	ketu
kémíkà	навпаки	chemical
kéyìn	пізніше	come after,
kìnní	перший	first
kí	вітати	not
kíko	навчання	written
kíkọ́	вчити	learning
kínu	цілуватися	greet
kírísìtì	різдвяні	christ
kòjòkú	дощ	kojoku
kòkó	миша	cocoa
kòmpútà	комп’ютер	computer
kòtò	яма	pit
kòòsí	це не	coaching
kòòkan	кожен	each
kógo	слава	glorious
kóra	збиратися	participate
kùkú	після всього	eventually
kùrání	коран	quran
kúkú	після всього	now
kúkúrú	коротко	short
kúrò	геть	away
kútò	все	kuto (place)
kúùkù	навпаки	punches; expression meaning 'by force' (ti pa ti kuuku)
kẹrin	четвертий	4
kẹsàán	зразу	ninth
kẹta	третій	third
kẹ́nyà	відділення	kenya
kọjá	пропуск	pass through
kọ̀mpútà	комп’ютер	computer
kọ́kọ́	перший	first
kọ́lọ́mú	стовпчики	breast owner
kọ́ni	відсутність	teach
laa	йди геть	will
laada	удар	good fortune
laaka	зворотний	important
laarin	всередині	between
labalaba	метелик	butterfly
labee	під ним	under
lade	лад	crowned
laid	закладений	tele
laifi	вина	without
languages	мови	ede
lanka	ланка	lanka
lasile	звільнення	laid out
latibe	звідти	from there
latigbana	відтоді	from then on
latini	латинь	latin
latvia	латвія	latvia
lay	лежати	da
le	може	can
leboa	лебо	leboa
lekun	посилюється	open door
leo	лео	leo
lese	пост	firmly
less	менше	okeresi
lewaju	вперед	front
lewon	позбавлення волі	imprisonment
leyi	ось	mispelled...should be 'leyin', after
leè	може	can
lilelile	хардкор	tightly
lilemo	канабіс	sticky
lilongwe	лілонгве	lilongwe
lindi	луга	lindi
linear	лінійний	dogba
links	посилання	eka; this is a new word and does not really exist in yoruba
lodo	відбуватися	from
lojowaju	у майбутньому	the future
lojukokoro	жадібний	covetousness
lojúgun	він розрушив	knee
lokunkun	енергійний	in the dark
loloselu	політично	in politics
lopolopo	багато	so many
loruko	назва	name
louvre	жалюзі	louvre
lovers	коханці	awon olufe
low	низький	diye
lo	продовжуй	than
luanda	луанда	luanda
luther	лютер	luther
lynton	лінтон	lynton
làgba	рівний	more important
lààmi	знак	sign
lààmì	знаки	significant
lábé	вага	under
láfún	дано	cassava food
láimo	без	unknown
láké	голосний	in ake
lámọ́di	фортуна	lamodi
lápá	частина	from
lára	боляче	part of
lárúbáwá	природний	arabic
láì	без	without
láíláí	ніколи	old
lèe	може	can
lèyìn	згодом	after
lédè	мовою	language
léebá	до речі	catch up with it
lérìnín	сніг	erin=laughter; the prefix 'l' is possesive
lérò	причина	thought
léyin	згодом	after
léyìn	пізніше	after
lérú	рабство	enslave
lílo	експлуатація	using
lísa	прискорення	a chieftaincy title
lítésò	жало	literature
lóde	зовні	modern
lópez	ніпез	lopez
lópó	вдова	widow
lórì	гавань	on the head
lóríba	над	subdue
lóti	лот	have
lóòótò	так	truly
lóòótọ́	дійсно	truly
ló	ló	to
lónà	на шляху	in a way
lórò	завтра	become wealthy
lọndọnu	лондон	london
lọ́dọọdún	щорічно	yearly
lọ́jà	на ринку	in the market
maapu	карта	map
madeira	бейра	madeira
mahatma	махатма	mahatma
makedonia	македонія	macedonia
malabo	мед	malabo
malay	припускається	malay
malayopolynesian	малайополінезійська	malayo-polynesian
malaysia	малайзія	malaysia
mali	день	mali
mango	манго	mango
manˈdeːla	manˈdelala	mandela
marcellus	marcellus	marcellus
march	марш	march
marku	цього разу	mark
mars	марс	mars
maryland	меріленд	maryland
maseru	ревнощі	don't be slave
matheu	математика	matthew
mathiew	mathiew	mathiew
mathimatiki	математичний	mathematics
max	макс	max
maya	немає	maya
mbabane	негативний	mbabane
means	засоби	ona (way)
mediteraneani	середземноморський	mediterranean
mefeefa	капітальний ремонт	all six
mejidinlogbon	двадцять вісім	twenty eight
mejila	дванадцять	twelve
meksiko	мексика	mexico
melo	як багато	some
member	член	ara
mercosur	меркосур	mercosur
merin	чотири	four
methodologies	методології	anaoniruuru
metropoli	метрополії	metropolis
meucci	meucci	meucci
mewar	мевар	mewar
mexico	мексика	mexico
michelle	мішель	michelle
micronesia	мікронезія	micronesia
miiràn	полегшувати	another
mimoy	мімої	mimoy
mimuwa	чіпляючись	import
minnesota	міннесота	minnesota
minority	меншість	awon ara kekere
mohandas	моханди	mohandas
mokaleladota	компактний	51, (mokanleladota)
mokanlelogbon	тридцять два	thirty-one
mombasa	мамбаса	mombasa
monrovia	монровія	monrovia
morgan	морган	morgan
morogoro	моторика	morogoro
mozambique	мозамбік	mozambique
mozilla	мозіла	mozilla
mtn	мтн	mtn
mtwara	виберіть знову	mtwara
mughal	обсяг	mughal
mulẹ̀	встановити	establish
munispal	муніспаль	municipal
muungano	muungano	muungano
májèmú	не проти	testament
mère	малюнок	significant
méjèèjì	і те й інше	the two
mérindíláàdóta	п&#39;ятдесят п&#39;ять	forty-six
méte	п’ять	lip
mérìndínlógún	шістнадцять	sixteen
mérìnlélógójì	сорок чотири	44
méta	три	three
métèètà	столяр	the three
méwàá	десять	ten
ménu	ти думаєш	verbally contribute; complete phrase= me nu ba
mímọ́	святий	holy
míràn	інший	other
míìrán	інший	other
mííràn	інший	other
mò	знання	know
mókólà	клей	mokola
móra	вилікувати	with themselves
mó	m	with
múlẹ̀	тримайся швидко	select land (farmland)
mẹ́fà	шість	6
mẹ́rkúríù	миша	mercury
mẹ́ta	три	3
mẹ́talọ́kan	трійця	trinity
namibia	приходити	namibia
nathaniel	натаніел	nathaniel
nato	нато	nato
nawojulo	спантеличуючи	highest-spending
nawó	отримати свої гроші	point finger
ncnc	ncnc	ncnc
nebraska	небраска	nebraska
nefimu	нефім	nefimu
neptune	нептун	neptune
nevis	невіс	nevis
ngbero	запланований	planning
ngubengcuka	ngubengcuka	ngubengcuka
nibe	там	there
nibere	рано	earlier
nigbakan	іноді	at one time
nigbà	тоді	when
nijẹr	ніке	niger
nilè	тут	remaining
nisinyi	зараз	at present
nitoriidieyi	тому що	because of this
nitoripe	тому що	because
nitosi	неподалік	nearby
niwaju	попереду	in front of
niyato	розрізняти	unlike
niye	достатньо	in number
niyi	ось	these
nkan	річ	things
nkàn	рак	something
nnaji	дядько	nnaji
nobel	нобелівський	nobel
nombamewa	множення	decimal
nombáméjì	перші два	two-number
novo	ново	novo
nri	їжа	nri
nse	дизайн	acting
nso	біля	saying
nsolaboraro	безпека	nso laboraro
nsowikipedia	обовікіпедія	saying
ntoka	бал	indicates
nu	чистий	in
nukleotidi	нуклеотид	nucleotides
nukleotidipupo	нуклеотид	cell
numeri	оніміння	numbers
nwa	немовля	drill
nàìjíríà	в нігерії	nigeria
náwo	витрата	spend money
náà	теж	that
nì	гора	is
nìnú	вибачте	in
nìyí	це воно	this is
ní	мати	on
níbè	там	there
níbè	там	there
nífẹ̀ẹ́	кохати	love
nígbàtí	коли	when
nílè	нижче	on the ground
nílùú	в місті	in the town
nílẹ̀	на землі	in the land
nínlá	чудовий	large
nínu	шанс	in
níní	мати	having
nípà	принаймні	by
nítorípé	тому що	because
nítumò	значення	meaningful
nítòsí	неподалік	nearby
nítòótó	точно	truly
nítòótọ́	дійсно	in truth, truthfully
níwájú	попереду	in front
níyanjú	позитивно	solved
nǹkan	річ	things
nso	незабаром	say
oba	обама	king
obairanderan	кузен	hereditary
obere	малий	started
obínibí	ввічливість	inborn
ododo	праведність	righteousness
ofin	закон	law
ogbè	область	a divinity
ogun	війни	war
ogunlogo	натовп	hundreds
ojo	виглядає як	day
ojojumo	щодня	daily
ojoru	тепла	wednesday
ojukokoro	жадібність	covetousness
ojuoorun	захід сонця	atmosphere
ojuse	відповідальність	responsibility
ojùkòsì	опадів	ojukosi
ojùkòtúu	опадів	ojukotuu
ojúlùmọ̀	знайомі	acquaintance
ojútáyé	в&#39;язкість	public
ojúìwé	сторінки	page
okeere	за кордоном	distant
okhotsk	охоцьк	okhotsk
oko	поле	farm
okunkun	темрява	darkness
okunrin	чоловік	male person
olodiajodojuko	один одного	facing wall
olohun	власників	god
olojukanna	негайно	same surface
