aajo	سخيف	hospitality
arábíà	مرتب حسب الحروف الأبجدية	arabia
aráròmí	مرحبا	araromi
arópò	الرشوة	substitute
arúgbó	كبار السن	elderly
arọ	عرجاء	cripple
asagun	فوز	intial, first (referring to the 13 colonies)
ascii	يكتشف	ascii
aseeto	مستوطنة	unfair
aseyori	نجاح	success
asipa	الانحراف	first to kill
assessment	تقدير	ayewo
asìko	كلام فارغ	time; ni asiko=when
asèdá	الطبيعي	origination
atangbona	ذرة	emission
atanna	ذرة	emitter
atigba	مقبول	from time
atimo	خطة	inland
atinrin	يضحك	thin
atun	الترجيع	also
atunse	تصحيح	revision
australia	أستراليا	australia
austriahumgary	النمساوي	austria-hungary
austronesian	الأسترالي	austronesian
austríà	أستراليا	austria
avar	أفار	avar
awari	اكتشاف	discovery
awo	طبق	of
awonara	المشاعر	people of
awoòn	قالب	people
awon	معهم	they
awuruju	سحري	shady
awùjo	مجاملة	society
awújẹ	فضيحة	root
aya	بيت شعر	chest
ayeye	خلود	celebration
ayàfi	انها على ما يرام	only if
ayò	ع	game
azikiwe	الفطرة السليمة	azikwe
aṣòkan	فرد	united
baa	يكون	be with
babaláwo	العراف	herbalist
bahrain	البحرين	bahrain
balẹ̀	دعه يكون	settled
bang	انفجار	bang
banle	نبل	banle
bara	العام الماضي	themselves
bauxitealumina	البوكسيتيلومينا	bauxite/aluminum
bayelsa	بايلسا	beyelsa
bayi	الآن	like this
bayìí	الآن	this
bce	بعيدا	bce
beauharnais	بوحرنص	beauharnais
beijing	بكين	beijing
belarus	بيلاروس	belarus
belgium	بلجيكا	belgium
bengal	البنغال	bengal
bengali	البنغالية	bengal
benin	مقعد	benin
berber	بربري	berber
berlin	برلين	berlin
bernstein	برنشتاين	bernstein
bharat	بهارات	bharat
bharata	عد	bharata
bibeli	الكتاب المقدس	bible
biribiri	تم سحقه	intense
black	أسود	dudu
bodies	جثث	ara
bojú	إلق نظرة	take care
bole	بولي	ground
bolt	الترباس	bolt
bolívar	بوليفار	bolivar
brasil	البرازيل	brazil
brazzaville	برازافيل	brazzaville
bridgeport	بريدجبورت	bridgeport
britain	بريطانيا	britain
brítánì	بريطاني	britain
bu	هذا هو	give
buenaventura	بوينافينتورا	buenaventura
bujumbura	موسع	bujumbura
burúkú	شرير	bad
by	بواسطة	does not translate directly, does not exist
bàbá	الأب	father
bákannáà	كذلك	likewise
bálè	بالون	lying on the ground
bárakú	إدمان	habitual
báyìí	الآن	this
bèrẹ̀	لنبدء ب	started
béè	مثل هذا تماما	than
bòtswánà	الحافلة	botswana
búburú	سيئة	bad
búrú	كن شجاعا	wicked
bẹ̀rẹ̀	للبدء	started
bẹ́	حطم	also
bẹ́ljíọ̀m	البريل	belgium
bẹ́ẹ̀ni	نعم	yes
bẹ́ẹ̀sìni	نعم	that is it
cairo	الغضب	cairo
calabar	علكة	calabar
canaria	كناريا	canaria
cape	رداء	cape
casablanca	الدار البيضاء	casablanca
caslon	كازينو	caslon
cathedral	كاتدرائية	cathedral (katidral)
catherine	كاترين	catherine
cauchy	كوشي	cauchy
cbc	سي بي سي	cbc
chamorro	تشامورو	chamorro
charles	تشارلز	charles
chaskalson	شاسكالسون	chaskalson
chebbi	يفكر	chebbi
cherished	عزيز	mu lokunkundun
china	الصين	china
cipollone	سيبولون	cipollone
clear	واضح	danmanran
code	الشفرة	code
coetsee	coetsee	coetese
coloured	ملونة	alawo dudu
coming	آت	yo jade
compared	مقارنة	does not directly translate
computers	أجهزة الكمبيوتر	komputa, ero ayarabiasa
csto	csto	csto
ct	قيراط	ct
cunha	حلق	cunha
da	و	back; but in this form it is unnecessary
dagbasoke	تصرف بنضج	developing
dandan	إلزامي	a must
dani	تحتجز	hand-held
darapo	انضم	joinedd
daru	هدم	scattered
dates	تواريخ	pada si
delhi	لا	delhi
denver	دنفر	denver
des	ديس	des
describes	يصف	se apejuwe (apejuwe=description; se prefix makes it a verb)
desmond	ديزموند	desmond
development	تطوير	idagbasoke
didagba	المساواة	growing
didasile	مؤسسة	established
different	مختلف	iyato
din	يقلى	reduced
dinwoju	ابحث عن	suitable
divoire	المطلقة	d'ivoire
doju	وجها لوجه	face
dojú	وجها لوجه	turn face (full phrase is doju ko, to face)
dominic	دومينيك	dominic
doni	دوني	this day
dote	dote	rebel
doublehelix	الحلزون المزدوج	hiliksi abara meji
doublestrand	حبلا مزدوج	double-strand
dover	دوفر	dova
du	du	hustle
due	بسبب	nitori
dun	طيب المذاق	sound
dàbíi	مثله	like
dàpò	استبدلهم	mix
dá	خلقت	intervene
dágbó	كبار السن	forest
dájó	حسنا	pass judgement
dálóríi	شكرا	about
dáradára	حسنا	well
dásà	كازا	peculiar way of saying
dáwó	تبرع	undertake
dé	وصل	reach
délànà	من حيث المبداء	delana
dépò	الى حد	to a position
dì	ورقة	be
dìde	تنشأ	stand
dìró	على اليمين	hang on
dìtẹ̀	التآمر	rebel
díè	توتر	few
dóko	جيد	upstanding
dólà	حسنا	dollar
dún	صوت	sound
dúró	للوقوف	stand (been in existence)
dọ́gba	مساو	equal
ea	نعم	ea
eba	eba	shore
ebi	أسرة	family
ecomog	ecomog	ecomog
ede	لغة	language
efrem	انفيم	efrem
egba	إطلاقا	cane
egbe	بندقية	group
egberundun	ألف سنة	a thousand year
egbo	جرح	brother
egbé	ويل	party
egbò	جرح	chemicals
egbògi	طبي	don't know this
eighteen	الثامنة عشر	ejidinlogun
eka	مركب	branch, department, part
ekeji	الأخرى	second
eko	التعليم	lagos
elede	الخنازير	speaker
eleyi	هذه	this
eleyii	مثله	this
elláda	خلق	ellada
eléde	نبذة مختصرة	pig
eléré	رياضي	performer
elòmírà	الفلفل	freedom
elòmíràn	آخر	another person
emerging	المستجدة	ibere-pese
emmanuel	إيمانويل	emmanuel
enikéni	كل واحد	whoever
enter	أدخل	wole
enì	الفيل	person
eníbá	حمى	such person
epa	الفول السوداني	groundnut
ernst	إرنست	ernst
erofo	الرواسب	swamp
erékùsù	جزيرة	island
eréonítàn	اختصار	written play
eseese	رسم بياني	step by step
esia	قادم	asia
esteri	الأستري	ester
etisalat	اتصالات	etisalat
etymologiae	علم أصل الكلمة	etymologiae
etíòkun	الساحل	beach
euro	اليورو	euro
euroasia	يوروسيا	uro-esia
ewe	ورقة الشجر	ewe
ewé	ورقة الشجر	leaf
ewì	الشعر	traditional poem
example	مثال	apere
eya	الفئة	tribe
eyin	بيض	previous
eyonomba	eyonomba	digit
eléja	صيد السمك	fisherman
elòmíràn	شخص اخر	another person
eka	تأثير	branches
eléyàmèyà	الأصل العرقي	tribalism
enu	فم	mouth
esin	دين	horse
esè	العائدات	leg
ewà	السلوك	beauty
fagile	ألغيت	cancel
fail	فشل	padanu
fan	معجب	spread
faramó	الالتزام	accept
faranse	فرنسي	french
farsi	أرتي	farsi
felifeli	المخمل	fuming
ferde	ferde	verde
fesèmúlè	مصدر مؤقت	established
fe	مطلوب	want
fi	حفظ	by
fifihan	تظهر	revealed
fihan	يشار	shows, to show
fimú	محدد بحدة	captivate with
finiki	الفيزياء	finiki
finlandi	فنلندا	finland
fitino	التجربة	judgement
five	خمسة	marun
fodio	فوديو	fodio
fofinde	حظر	prohibited
fohùn	يصيح، يصرخ، صيحة	consent
foniimu	فيلم	phoneme
force	فرض	agbara
foriko	فمثلا	agreed
fourbase	أربعة قاعدة	onidi-merin
fowobowe	الحجز	signed
fowó	من اجل المال	sign
fracmv	فراكمف	does not translate
francis	فرانسيس	francis
fransi	فرنسي	france
freetown	فريتاون	freetown
fuji	إزالة	fuji
fulani	جبان	fulani
fulbe	فول	fulbe
fun	إلى عن على	for
funra	بحد ذاتها	suspect
further	بالإضافة إلى ذلك	si
fé	fé	like
fé	fé	want
fégbé	انسى ذلك	for peers
fífò	تحلق	jumping
fífún	إعطاء	giving
fòye	تفهم	rationalise
fẹ́rẹ̀ẹ́	تقريبيا	nearly
galatia	هذا الوقت	galatia
gba	يوافق على	accept
gbajúgbujà	تحظى بشعبية كبيرة	popular
gbale	شعبية	flourished
gbaná	الترجيح	engulf in flame/rage
gbe	احمل	set up
gbera	استمر	move
gberasoke	اسرع	rising
gbese	دين	debt
gbigbamulo	استغلال	adopted
gbigbewo	التمويل	examined
gbilè	انطلق	gaining ground
gbin	زرعت	farm
gbogbogbo	جنرال لواء	general
gbongbo	جذر	root
gbàgbọ́	يصدق	believe
gbàgùrà	اهتز	gbagura
gbá	تحطيم	received
gbáradì	استيقظ	prepare
gbé	حي	convey
gbédìí	إنشاء	respect
gbékalè	النجار	establish
gbéni	حي	lift
gbéyèwò	مراجعة	examine
gbésè	عرض	die
gbìnyànjú	محاولة	endeavour
gbìyànju	ابذل جهدك	try
gbódò	يجب	must
gbónmisi	القانون	strife
gbúnùn	شمها	hostile
gbọ́dọ̀	يجب	must
geesi	الإنجليزية	english
geneva	جنيف	geneva
genevieve	جينيفيف	genevieve
georgia	جورجيا	georgia
german	ألمانية	german
gfaj	غفاج	gfaj
ghana	غانا	ghana
gidigidi	للغاية	significantly
gidí	منزل	real
goemai	goemai	goemai
gomina	محافظ حاكم	governor
gorgina	النسر	gorgina
gquadruplex	gquadruplex	g-gigalonomerin
grammy	جرامي	grammy
griiki	اليونانية	greek
groove	أخدود	iho
guanínì	غواني	guanine
guinea	غينيا	guinea
guineabissau	غينيا	guinea bissau
guinébissau	guinébissau	guinea bissau
gun	طويل	stretch
gunle	بندقية	arrive
guusu	جنوب	south
gv	ز	gv
gèésì	صمغ	english
gèésì	جوهرة	english
gégé	هل حقا	like
gírámà	جرام	grammar
gòkè	اذهب للأعلى	climb
gún	مثقوب	properly
gúúsù	جنوب	south
gẹ̀ẹ́sì	الإنجليزية	english
habsburg	هابسبورغ	habsburg
haggai	يرشد	haggai
haiti	هايتي	haiti
halomonadaceae	halomonadaceae	halomonadaceae
hard	الصعب	lile
haughton	هاوتون	haughton
hausafulani	حسفولاني	hausa fulani
hawaii	هاواي	hawaii
heinrich	هاينريش	heinrich
hendu	حلويات	hendu
henny	هيني	henny
heraklion	هيراكليون	heraklion
hesse	متفق عليه	hesse
him	له	un, this term is sexless
hindu	هيندو	hindu
histoni	الهيستوني	histones
hominidae	hominidae	hominidae
hosea	hosea	hosea
hp	حصان	hp
hugh	هيو	hugh
hun	هون	knit
hungari	مجاعة	hungary
hv	hv	hv
ibalo	قضية	relationship
ibarepo	جمعية	friendship
ibeji	توأمان	twins
ibewo	جاء	visit
ibiamusin	الملاذ الآمن	colony
ibile	تقليدي	municipality
ibimo	ولادة	birth
ibise	اكتشف - حل	official
ibiti	أماكن	where
ibn	ابن	ibn
ibojì	قبر	burial ground
ibori	حجاب	conquest
ibujoko	مقعد	place of abode
ibuseripadabosi	الانتقال	eternity
ibuso	ليقاتل	bus stop
ibùdó	معسكر	settlement, seat of, area,
ibùjókòó	جلوس	settlement
iceland	أيسلندا	iceland
idagbasoke	تطوير	development
idagbe	إهمال	isolation
idaji	نصف	half
idajo	عدالة	judgement
idamita	رسم	sector
idari	ضوابط	control
ideraa	لأكتب	comfort
idimule	يقبض على	establishment
idoma	رسم	idoma
idupe	شكرا	thanksgiving
idánwò	التجربة	examination
ifija	صيد السمك	weapon
ifilole	إطلاق	resolution
ifitonileti	معلومات	reporting
ifobaje	الفساد	coronating
ifofinde	المؤتمر	prohibition
ifriqiya	تنشيط	ifriqiya
igbeduro	تجهيز	institute
igbegun	فوز	declaration of war
igberiko	من الضواحى	region
igbesoke	تطوير	upliftment
igbeyawo	حفل زواج	marriage
igbowolori	مكلفة	inflation
igbá	دجاج	shell
igbáẹ̀yìn	الأخير	shell
igitòròmogbè	موجة عريضة	willow tree
ihan	لتظهر	ray
ihinrere	الإنجيل	gospel
ijagun	يقاتل	war
ijakadi	صراع	wrestling
ijaya	ذعر	fear
ije	حركة	eating
ijinnasi	الفيزياء	the wind open
ijosin	عبادة	worship
ijó	الرقص	dance
ikan	واحد	one of
ikandinlogun	الثامنة عشر	nineteen
ikaowo	احترام	finger
ikejidinlogun	الثامنة عشر	eighteen
ikeko	التحويل البرمجي	education
ikerin	الرابع	fourth
iketa	ليرث	third
ikoenu	للحفظ	union
ikojopo	تراكم	collection
ikoreokere	حصاد	migration
iku	الموت	death
ikúgbaèyí	الآن	death-has-this
ikún	حشوة	squirrel or wild rodent
ilagbolojo	شهره اعلاميه	latitude
ilana	إجراء	procedure
ilanaoye	الاستراتيجيات	knowledge procedure
ilaodo	يحمي	cana
ilaorun	شروق الشمس	west
ileasofin	تشريعي	house of law,
ilegiga	الصفحة الرئيسية	higher ground or higher plain
ileife	إهمال	ile-ife
ileigbimo	موافقة	house of assembly/congress
ileobaluaye	العالم	high chief
ileru	فرن	volcanic
ilopo	مزدوج	times
iluoba	المواطنة	king's town
iluorilejoba	العولمة	capital city
ilé	الصفحة الرئيسية	house
iléayé	الصفحة الرئيسية	earth
iléisé	الصفحة الرئيسية	workplace
ilélódò	المنزل	ile-lodo
iléàtèéré	الصفحة الرئيسية	ile-ateere
iléńlá	فناء	ile-nla (area)
ilẹ	أرض	land
ilẹ̀ayé	الأرض	the world
iminle	إلقاء القبض على	earthquake
imoero	البرق	engineering
imojuto	رعاية	protection
imusin	رسم	colony
imú	أنف	nose
imúnisìn	النظافة	slavery
inagberingberi	زبدة الفول السوداني	electromagnetic force
indeed	في الواقع	paapa julo
indus	إندوس	indus
inkosi	لتبرير	inkosi
integration	دمج	ifowosowopo
inágbéringbérin	سبعة عشر	electromagnet
iní	ميراث	possession
inúnibíni	الاضطهاد	hatred
ioja	سمك	fight
ioniani	محتاج	ionian
iowa	على الارض	iowa
ipare	تتلاشى	abolition
ipawo	الاستخدامات	income
ipele	مستوى	stage
ipin	الفصل	share
ipinpa	مشاركة	arm of, branch of
ipinu	قرار	determination
ipo	موقعك	position
ipá	فرض	effort
iraja	مروع	bargaining
iranlose	مساعدة	mission
ire	تخفيض السعر	you
irele	التواضع	irele
iringa	يتم إحتوائه	iringa
irisi	مظهر خارجي	appearance
irorun	بسيط جدا	convenient
irò	شائعة	iro
irúnmọlẹ̀	برق	apparition
isa	كافية	jesus, isa or yisa is hausa language
isare	التسريع	track race
isedaniloro	عدم الثقة بالنفس	terrorism
iseero	راقب	engineering
isejoba	الحكم	governance
iseoba	خمسة عشر	civil service
iseoroayeijoun	علم الآثار	archaeology
iseowo	اعمال	business
isepinpin	توزيع	division
iso	ليأتي	unit
isoponomba	isoponomba	addition of numbers
isun	تدفق	spring
isesi	استسلام	conduct
isè	الخدمات	occupation
itali	إيطالي	italy
itanakole	قصة	ancient
itelentele	بوضوح	coming after
itiraka	صراع	effort
itobi	التباهي	size
itokowo	اعمال	economy
itorawo	ليبرالية	astrology
itu	لرمي	solution
itumo	المعنى	meaning
iwadi	ابحاث	research
iwasi	اعجاب	behaviour
iwifun	معلومات	report
iwoile	الصفحة الرئيسية	entering
iwosan	شفاء	healing
iwulo	مفيد	use
iwuwa	ممارسة	behaviour
iyan	مجاعة	argument
iyato	الاختلاف	difference
iyawo	عروس	wife
iyen	هذا هو	that
iyán	متألق	pounded yam
iḷẹ̀	عمل	land
iṣẹ́ìwádìí	ابحاث	research
jabo	نقل	give account
jackson	جاكسون	jackson
jadide	انتظر	emerge
jagbe	تضيع	shout
jalè	سرقة	steal
jamaica	موقع youtube	jamaica
jamo	ابتعد أو ارحل	link
jawaharlal	يتأرجح	jawaharial
jeffrey	جيفري	jeffrey
jeometri	علم الهندسة	geometry
jesu	يسوع	jesus
jfk	جون كنيدي	jfk
jije	يجرى	existing as
jijinna	بعيدا	distance
jiròrò	ضبابي	dialogue
jo	تسرب	days
jogun	وارث	inherit
johann	الجحيم	johann
johanu	آسف	john
jojo	متصدع	great extent
jopò	إنضم إلى	gathered
jo	يوحنا	resemble
juneau	جونو	juneau
jàgídíjàgan	عنيف	violent
jáde	يظهر	out
jé	تأتي	is
jéésù	يسوع	jesus
jìnnàa	بعيدا	further
jíje	يجرى	eating
jíjuwó	كسب المال	waving hands
jíjéomoléyìnkírísítì	كمحسن	followers of christ
jùlo	أكثر من	most
jùlo	خصوصا	most
jùló	أكثر	most
jẹ́mánì	ألمانية	germany
jọ́	رجاء	together
kadara	الأصل	destiny
kagera	متبجح	kagera
kakiri	أثر	all over
kalinga	سينجا	kalinga
kalẹ	اجلس جانبا	established
kampala	مشبك	kampala
kan	أ	one
kankan	لا شيء	any
kanlè	كانالي	established
karbonumarun	المركز	5 carbon
karl	كارل	karl
karun	خامسا	fifth
karùún	الخامس	fifth
kebbi	قابل للتعديل	kebbi
kekere	صغير	lower
keko	مثقف. متعلم	learn
kept	أبقى	fi pamo
khoisan	السفلي	khoisan
ki	القيام بذلك	not
kiakiajulo	الأسرع	rapidly
kiko	جلب	gathering
kikojo	التحويل البرمجي	gathering
kikopomo	الدفء	mixed
kikoso	بسرعة	colonised
kiko	تعلم	making
kikuninu	تخيل	size
kilhar	إبط	kilhar
kinkinni	الشيء الصغير	small quantity
ko	أو	don't
kodò	أدناه	bow
koidu	كويدو	koidu
kojá	تعبر	pass
kolo	كولو	going
komputa	الحاسوب	computer
kong	كونغ	kong
kongo	واق ذكري	congo
kookan	هذه	one
koto	طعم	pit
koko	تعلم	make heap
ko	كو	learn
kori	لا أكثر	not found
krio	كريو	krio
ku	أنت	remain
kwara	موجهة	kwara
kàríbẹ́ánì	في المنطقة	carribean
kàyéfì	يتساءل	amazement
ká	من	we
kánfinkése	بطيء	prolonged
kánádà	بالتاكيد	canada
káyé	العالمية	world
kéesì	سخيف	keesi
kékéèké	صغير	small
kétu	كن مستعدا	ketu
kémíkà	على العكس من ذلك	chemical
kéyìn	في وقت لاحق	come after,
kìnní	أول	first
kí	تحية	not
kíko	دراسة عربي	written
kíkọ́	ليتعلم	learning
kínu	تقبيل	greet
kírísìtì	عيد الميلاد	christ
kòjòkú	تمطر	kojoku
kòkó	الفأر	cocoa
kòmpútà	الحاسوب	computer
kòtò	قليلا	pit
kòòsí	ليس	coaching
kòòkan	كل واحد	each
kógo	مجد	glorious
kóra	جمع	participate
kùkú	بعد كل شيء	eventually
kùrání	القرآن	quran
kúkú	بعد كل شيء	now
kúkúrú	شيء صغير	short
kúrò	بعيدا	away
kútò	كل شىء	kuto (place)
kúùkù	على العكس تماما	punches; expression meaning 'by force' (ti pa ti kuuku)
kẹrin	الرابع	4
kẹsàán	على الفور	ninth
kẹta	الثالث	third
kẹ́nyà	انفصال	kenya
kọjá	البشري	pass through
kọ̀mpútà	الحاسوب	computer
kọ́kọ́	أول	first
kọ́lọ́mú	الأعمدة	breast owner
kọ́ni	نقص	teach
laa	ابتعد أو ارحل	will
laada	ركلة	good fortune
laaka	يعكس	important
laarin	في غضون	between
labalaba	فراشة	butterfly
labee	تحته	under
lade	ليد	crowned
laid	وضعت	tele
laifi	خطأ	without
languages	اللغات	ede
lanka	لانكا	lanka
lasile	إطلاق سراح	laid out
latibe	من هناك	from there
latigbana	منذ ذلك الحين	from then on
latini	اللاتينية	latin
latvia	لاتفيا	latvia
lay	بسط	da
le	يستطيع	can
leboa	ليبو	leboa
lekun	مكثف	open door
leo	ليو	leo
lese	بريد	firmly
less	أقل	okeresi
lewaju	فصاعدا	front
lewon	السجن	imprisonment
leyi	ها هو	mispelled...should be 'leyin', after
leè	مايو	can
lilelile	المتشددين	tightly
lilemo	القنب	sticky
lilongwe	ليلونغوي	lilongwe
lindi	الغسول	lindi
linear	خطي	dogba
links	الروابط	eka; this is a new word and does not really exist in yoruba
lodo	تجري	from
lojowaju	فى المستقبل	the future
lojukokoro	جشع	covetousness
lojúgun	خرب	knee
lokunkun	نشيط	in the dark
loloselu	سياسيا	in politics
lopolopo	كثير	so many
loruko	اسم	name
louvre	متحف اللوفر	louvre
lovers	عشاق	awon olufe
low	منخفض	diye
lo	تابع	than
luanda	لواندا	luanda
luther	لوثر	luther
lynton	لينتون	lynton
làgba	مساو	more important
lààmi	إشارة	sign
lààmì	علامات	significant
lábé	وزن	under
láfún	معطى	cassava food
láimo	بدون	unknown
láké	بصوت عال	in ake
lámọ́di	ثروة	lamodi
lápá	جزء	from
lára	جرح	part of
lárúbáwá	الطبيعي	arabic
láì	بدون	without
láíláí	أبدا	old
lèe	يستطيع	can
lèyìn	عقب ذلك مباشرة	after
lédè	في اللغة	language
léebá	صدفة	catch up with it
lérìnín	الثلج	erin=laughter; the prefix 'l' is possesive
lérò	السبب	thought
léyin	عقب ذلك مباشرة	after
léyìn	في وقت لاحق	after
lérú	عبودية	enslave
lílo	استغلال	using
lísa	التسريع	a chieftaincy title
lítésò	لاذع	literature
lóde	في الخارج	modern
lópez	نيبيز	lopez
lópó	أرملة	widow
lórì	مرفأ	on the head
lóríba	على	subdue
lóti	كثيرا	have
lóòótò	نعم	truly
lóòótọ́	في الواقع	truly
ló	لوط	to
lónà	علي الطريق	in a way
lórò	غدا	become wealthy
lọndọnu	لندن	london
lọ́dọọdún	سنويا	yearly
lọ́jà	فى السوق	in the market
maapu	خريطة	map
madeira	بيرا	madeira
mahatma	المهاتما	mahatma
makedonia	مقدونيا	macedonia
malabo	عسل	malabo
malay	يفترض	malay
malayopolynesian	الماليزية	malayo-polynesian
malaysia	ماليزيا	malaysia
mali	يوم	mali
mango	مانجو	mango
manˈdeːla	manˈdelala	mandela
marcellus	مارسيلس	marcellus
march	مارس	march
marku	هذا الوقت	mark
mars	كوكب المريخ	mars
maryland	ماريلاند	maryland
maseru	الغيرة	don't be slave
matheu	ماثيو	matthew
mathiew	ماثيو	mathiew
mathimatiki	رياضي	mathematics
max	ماكس	max
maya	لا	maya
mbabane	سلبي	mbabane
means	يعني	ona (way)
mediteraneani	البحر المتوسط	mediterranean
mefeefa	عمرة	all six
mejidinlogbon	ثمانية وعشرون	twenty eight
mejila	اثني عشر	twelve
meksiko	المكسيك	mexico
melo	كم العدد	some
member	عضو	ara
mercosur	ميركوسور	mercosur
merin	أربعة	four
methodologies	منهجيات	anaoniruuru
metropoli	متروبولي	metropolis
meucci	meucci	meucci
mewar	الموار	mewar
mexico	المكسيك	mexico
michelle	ميشيل	michelle
micronesia	ميكرونيزيا	micronesia
miiràn	يخفف	another
mimoy	ميموي	mimoy
mimuwa	التشبث	import
minnesota	مينيسوتا	minnesota
minority	أقلية	awon ara kekere
mohandas	المهندسين	mohandas
mokaleladota	المدمج	51, (mokanleladota)
mokanlelogbon	اثنان و ثلاثون	thirty-one
mombasa	مومباسا	mombasa
monrovia	مونروفيا	monrovia
morgan	مورغان	morgan
morogoro	قيادة السيارات	morogoro
mozambique	موزمبيق	mozambique
mozilla	موزيلا	mozilla
mtn	mtn	mtn
mtwara	اختر مرة أخرى	mtwara
mughal	الصوت	mughal
mulẹ̀	إنشاء	establish
munispal	مينيسبال	municipal
muungano	muungano	muungano
májèmú	لا تمانع	testament
mère	رسم	significant
méjèèjì	على حد سواء	the two
mérindíláàdóta	خمسة و خمسون	forty-six
méte	خمسة	lip
mérìndínlógún	السادس عشر	sixteen
mérìnlélógójì	أربعة وأربعون	44
méta	ثلاثة	three
métèètà	النجار	the three
méwàá	عشرة	ten
ménu	هل تعتقد	verbally contribute; complete phrase= me nu ba
mímọ́	مقدس	holy
míràn	آخر	other
míìrán	آخر	other
mííràn	آخر	other
mò	المعرفه	know
mókólà	صمغ	mokola
móra	علاج	with themselves
mó	م	with
múlẹ̀	اعتصموا	select land (farmland)
mẹ́fà	ستة	6
mẹ́rkúríù	الفأر	mercury
mẹ́ta	ثلاثة	3
mẹ́talọ́kan	ثالوث	trinity
namibia	ليأتي	namibia
nathaniel	ناثانيال	nathaniel
nato	حلف شمال الاطلسي	nato
nawojulo	محير	highest-spending
nawó	احصل على أموالك	point finger
