$	dollarni tashkil etadi	(dollar sign)
allemands	nemis	german
allen	allen	allen
aller	boring	go
alliages	qotishmalar	alloy
alliance	ittifoq	alliance
alliances	alyanslar	alliance
allié	ittifoqdosh	allied
alliées	ittifoqchilari	allied
alliés	ittifoqchilari	allies
allusion	ishora	allusion
alors	shunday qilib	and so
alpes	alp tog&#39;lari	alps
alpha	alfa	alpha
alphabet	alifbo	alphabet
alphonse	alfonsoz	alponse
alsace	elzas	alsace
alsacien	alsatian	alsacian
alsacienne	alsatian	alsacian
alsaciens	alsatiyaliklar	alsacian
alternatif	muqobil	alternative
alternative	muqobil	alternative
alternatives	alternativalar	alternatives
altitude	balandlik	altitude
aléatoire	tasodifiy	random
amants	sevishganlar	lovers
amateur	havaskor	amateur
amateurs	sevishganlar	amateurs
ambiance	havas	environment
ambitieux	shuhratparast	ambitious
ambition	shuhratparastlik	ambition
amené	olib keling	brought
america	amerika	america
american	amerikalik	american
ami	do&#39;stim	friend
amie	do&#39;stim	friend
aminés	aminlar	amino
amis	do&#39;stlar	friends
amitié	do&#39;stlik	friendship
amour	sevgi	amour
amoureuse	sevib qolgan	lovely
amoureux	oshiq	in love
amours	sevadi	love affairs
ampleur	kattalik	magnitude
amsterdam	amsterdam	amsterdam
amène	olib keling	brings
amélioration	takomillashtirish	improvement
améliorer	yaxshilang	to improve
aménagements	qulayliklar	set-up
américain	amerikalik	american
américaine	amerikalik	american
américaines	amerikalik	u.s.
américains	amerikalik	american
amérindiens	tug&#39;ma amerikalik	american indians
amérique	amerika	america
amériques	amerikaliklar	america
an	yil	year
analogue	o&#39;xshash	analogous
analyse	tahlil	analysis
analyses	tahlil qiladi	analyzes
ancien	avvalgi	ancient
ancienne	qadimgi	ancient
anciennement	avval	formerly
anciennes	qari	ancient
anciens	qari	ancient
ancêtre	ajdod	ancestor
ancêtres	ajdodlari	ancestors
and	va	and
anderson	anderson	anderson
andes	andalar	andes
andrea	andrea	andrea (man's name)
andrew	andrew	andrew
andromède	andromeda	andromede
andré	andre	andre
andy	andy	andy
anecdotes	latifalar	anecdotes
angel	farishta	angel
angeles	farishtalar	angeles
angelina	farishta	angelina
anges	farishtalar	angels
anglais	inglizcha	english
anglaise	inglizcha	english
anglaises	inglizcha	english
angle	burchak	angle
angles	burchaklar	angle
angleterre	angliya	england
anglophone	ingliz tilida so&#39;zlashuvchi	englis-speaking
anglophones	ingliz tilida so&#39;zlashuvchilar	english-speaking
anglosaxons	anglosaksonlar	anglosaxons
animal	hayvon	animal
animale	hayvon	animal
animales	hayvon	animals
animation	animatsiya	animation
animaux	hayvonlar	animals
anime	anime	animate
animé	jonli	animated
animée	jonli	animated
animés	jonlantirilgan	motion
ann	ann	ann
anna	anna	anna
anne	anne	anne
anneaux	uzuklar	rings
annexe	ilova	annexe
annexes	ilovalar	annexes
annie	anni	annie
anniversaire	yilligi	birthday
annonce	reklama	announces
annoncé	reklama	announced
annoncée	e&#39;lon qildi	announced
annuel	yillik	yearly
annuelle	yillik	yearly
annuelles	yillik	annual
annulé	bekor qilindi	cancelled
année	yil	years
annéelà	yil	that year
années	yillar	years
anomalies	anomaliyalar	anormalities
anonyme	anonim	anonymous
anorchidie	anorxidizm	anorchide
ans	yillar	years old
antarctique	antarktida	antarctica
antenne	antenna	antenna
antennes	antennalar	antennas
anthony	kuydirgi	anthony
anthropologie	antropologiya	anthropology
anticorps	antikor	antibody
antigènes	antijenler	antigens
antilles	antil orollari	west indies
antique	qadimiy	ancient
antiques	qadimiy	antique
antiquité	antik davr	antiquity
antisémite	semitiyaga qarshi	anti-semite
antoine	antuan	anthony
antonio	antonio	antonio (man's name)
antérieure	oldingi	previous
antérieurs	oldingi	former
août	avgust	august
aphrodite	afrodita	aphrodite
apogée	apogee	highest point
apollo	apollon	apollo
apothécie	apoteya	apothecie
apparaissent	paydo bo&#39;ladi	appear
apparait	paydo bo&#39;ladi	appears
apparaît	paydo bo&#39;ladi	appeared
apparaître	paydo bo&#39;ladi	appear
appareil	apparati	device
appareils	texnika	devices
apparemment	aftidan	apparently
apparence	tashqi ko&#39;rinishi	appearance
apparition	tashqi ko&#39;rinishi	appearance
apparitions	qiyofalar	appearances
appartement	kvartira	flat
appartements	xonadonlar	apartments
appartenance	a&#39;zolik	membership
appartenant	tegishli	belonging
appartiennent	tegishli	belongs
appartient	tegishli	belongs
apparu	paydo bo&#39;ldi	appeared
apparue	paydo bo&#39;ldi	appeared
apparues	paydo bo&#39;ldi	appeared
apparus	paydo bo&#39;ldi	appeared
appel	qo&#39;ng&#39;iroq	call
appeler	qo&#39;ng&#39;iroq	call
appellation	apellatsiya	name
appelle	qo&#39;ng&#39;iroq	call
appellent	qo&#39;ng&#39;iroq	call
appelé	chaqirdi	called
appelée	chaqirdi	called
appelées	chaqirdi	called
appelés	chaqirdi	called
apple	olma	apple
application	dastur	application
applications	ilovalar	applications
applique	qo&#39;llaniladi	apply
appliquer	murojaat qiling	apply
appliqué	qo&#39;llaniladi	applied
appliquée	qo&#39;llaniladi	applied
appliquées	qo&#39;llaniladi	applied
apport	olib keling	contribution
apporte	olib keling	brings
apportent	olib keling	bring
apporter	olib kelmoq	bring
apports	hissa	contribution
apporté	olib keldi	brought
apportées	olib keldi	brought
apprenant	o&#39;quvchi	learner
apprend	o&#39;rganish	learns
apprendre	o&#39;rganish	learn
apprentissage	o&#39;rganish	learning
appris	o&#39;rgangan	learned
approche	yondashuv	approach
approches	yondashuvlar	approaches
approximativement	taxminan	approximately
apprécie	zavqlaning	appreciate
apprécié	taqdirlandi	liked
appui	qo&#39;llab-quvvatlash	support
après	keyin	after
apôtres	havoriylar	apostles
ar	ar	ar
arabe	arab	arab
arabes	arab	arab
arabie	arabiya	arabia
aragon	aragon	aragon
arbitraire	o&#39;zboshimchalik bilan	arbitrary
arbre	daraxt	tree
arbres	daraxtlar	trees
arc	ta&#39;zim	arc
archaïque	arxaik	archaic
architecte	me&#39;mor	architect
architectes	me&#39;morlar	architects
architectural	me&#39;moriy	architectural
architecture	arxitektura	architecture
archives	arxivlari	archives
archéologique	arxeologik	archaeological
archéologiques	arxeologik	archeological
arcs	kamarlar	arches
arcsboutants	tepaliklar	arch
arctique	arktika	arctic
are	bor	are
argent	pul	money
argentin	argentina	argentinian
argentine	argentina	argentina
argument	dalil	plea
arguments	dalillar	case
aristote	aristotel	aristotle
armageddon	armageddon	armageddon
armand	armand	armand
arme	qurollangan	weapon
armes	qurollar	weapons
armoiries	gerbi	arms
armstrong	armstrong	armstrong
armé	qurollangan	armed
armée	armiya	army
armées	qo&#39;shinlar	armies
arménien	arman	armenian
arnaud	arnaud	arnaud
arnold	arnold	arnold
arrangements	tartibga solish	arrangements
arrivant	kelayotgan	arriving
arrive	keling	arrive
arrivent	kelmoq	arrive
arriver	kelmoq	arrive to (achieve)
arrivé	keling	arrived
arrivée	kelishi	arrival
arrivés	keldi	arrives
arrière	orqaga	back
arrondissement	borov	ward
arrondissements	uylar	wards
arrêt	to&#39;xta	stoppage
arrêter	to&#39;xta	arrest
arrêté	to&#39;xtadi	decree
arrêtés	hibsga olingan	arrested
arsenal	arsenal	arsenal
art	san&#39;at	art
arthur	artur	arthur
article	maqola	article
articles	maqolalar	articles
artificielle	sun&#39;iy	artificial
artisans	hunarmandlar	artisans
artiste	rassom	artist
artistes	rassomlar	artists
artistique	badiiy	artistic
artistiques	badiiy	artistic
arts	san&#39;at	arts
as	ace	as
asiatique	osiyo	asian
asiatiques	osiyoliklar	asiatics
asie	osiyo	asia
aspect	tomoni	aspect
aspects	jihatlari	aspects
assassinat	suiqasd	murder
assassiné	o&#39;ldirilgan	murdered
assassinés	o&#39;ldirilgan	assasinated
assemblée	majlis	assembly
assemblées	yig&#39;ilishlar	assemblies
assez	yetarli	enough
assis	o&#39;tirgan	to sit down
assiste	qatnashmoq	aids
assister	yordam bermoq	witness(1st one) help (2nd) attending (for the german emperor)
assisté	yordam beradi	asisted
association	uyushma	partnership
associations	uyushmalar	associations
associe	sherik	associates
associé	sherik	associated
associée	bog&#39;liq	associated
associées	bog&#39;liq	associated
associés	sheriklar	associates
assurant	ta&#39;minlash	assuring
assure	ishontiradi	ensures
assurent	ishontirmoq	assure
assurer	ta&#39;minlash	ensure
assuré	sug&#39;urta qilingan	ensured
assurée	ishontirdi	ensured
astier	aster	astier
astronomique	astronomik	astronomical
asynchrone	asenkron	asynchronous
at	da	at
ateliers	ustaxonalar	workshop
athènes	afina	athens
athéna	atena	athena
atlantique	atlantika	atlantic
atlas	atlas	atlas
atmosphère	atmosfera	atmosphere
atmosphérique	atmosferaga oid	atmospheric
atome	atom	atom
atomes	atomlari	atoms
atomique	atom	atomic
atomiques	atom	atomic
atp	atp	atp
attaché	biriktirilgan	attached
attachée	biriktirilgan	attached
attaquant	tajovuzkor	attacker
attaque	hujum	attack
attaquer	hujum	attack
attaques	hujumlar	attacks
attaqué	hujum	attack
atteignant	erishish	tu atte'ignant
atteignent	erishish	reach
atteindre	erishish	reach
atteint	erishildi	reached
atteinte	ga yetdi	danger
atteintes	hujumlar	reached
atteints	ga yetdi	hit
attend	kutadi	expected
attendant	kutmoqda	waiting
attendre	kutmoq	expect
attendu	kutilmoqda	expected
attentat	hujum	attack
attentats	hujumlar	attacks
attention	ogohlantirish	attention
attire	jalb qilingan	attracts
attirent	jalb qilish	attract
attirer	jalb qilish	to attract
attiré	jalb qilingan	drawn
attitude	munosabat	attitude
attribue	tayinlaydi	attribute
attribuer	xususiyat	granted
attribué	tayinlangan	attributes
attribuée	tayinlangan	attributed
attribuées	tayinlangan	granted
attribués	tayinlangan	assigned
au	da	at
aucun	yo&#39;q	none
aucune	har qanday	none
audelà	orqasida	beyond
audessus	yuqorida	on top
audience	tomoshabinlar	audience
audiences	tomoshabinlar	audience
audio	audio	audio
augmentant	ortib bormoqda	increasing
augmentation	o&#39;sish	increase
augmente	ortadi	increases
augmentent	o&#39;sish	increase
augmenter	o&#39;sish	increase
augmenté	ortadi	raised
augmentée	oshdi	raised
auguste	avgust	(man's name)
augustin	avgustin	augustine
aujourdhui	bugun	today
auparavant	oldin	previously
auprès	yaqinida	bp
auquel	qaysi	to which
aura	ega bo&#39;ladi	aura
auraient	bo&#39;lar edi	would have
aurait	bo&#39;lar edi	would have
auront	ega bo&#39;ladi	will
aurès	bor	aures
aus	aus	aus
auschwitz	osventsim	auschwitz
aussi	shuningdek	also
aussitôt	darhol	as soon as
austin	ostin	austin
australie	avstraliya	australia
australien	avstraliya	australian
australienne	avstraliyalik	australian
australiens	avstraliyaliklar	australians
autant	kabi ko&#39;p	as much
auteur	muallif	author
auteurs	mualliflar	authors
authentique	haqiqiy	authentic
authority	hokimiyat	authority
autisme	autizm	autism
autobiographie	avtobiografiya	autobiography
autochtones	mahalliy	aboriginal
automatique	avtomatik	automatic
automatiquement	avtomatik ravishda	automatically
automne	kuz	autumn
automobile	avtomobil	motorcar
autonome	avtonom	independent
autonomes	avtonom	autonomous
autonomie	avtonomiya	autonomy
autorisation	ruxsat	autorisation
autorise	vakolatli	authorizes
autorisé	vakolatli	authorised
autorisée	vakolatli	authorized
autorisés	ruxsat berilgan	authorized
autoritaire	avtoritar	autoritary
autorité	hokimiyat	authority
autorités	hokimiyat	authorities
autoroutes	avtomagistrallar	highways
autour	atrofida	around
autre	boshqa	other - else - another
autrefois	eski kunlarda	in the past
autrement	boshqa	differently
autres	boshqa	other
autriche	avstriya	austria
autrichien	avstriya	austrian
autrichienne	avstriya	austrian
autrichiens	avstriyaliklar	austrian
aux	uchun	at the - at the - in the
auxquelles	qaysi	to which
auxquels	qaysi	to which (here: on which)
avaient	edi	had
avait	edi	had
avance	rivojlangan	advance
avancé	rivojlangan	advances
avancée	rivojlangan	progress
avancées	rivojlangan	advanced
avant	oldin	before
avantage	ustunlik	advantage
avantages	foydalari	benefits
avatar	avatar	avatar
avec	bilan	with
avenir	kelib chiqmoq	future
aventure	sarguzasht	adventure
aventures	sarguzashtlari	adventures
avenue	xiyobon	avenue
aveugle	ko&#39;r	blind
avion	tekislik	plane
avions	samolyotlar	aircraft
avis	ogohlantirish	opinion
avocat	yurist	lawyer
avoir	bor	to have
avons	bizda ... bor	have
avoue	tan olmoq	admits
avril	aprel	april
awards	mukofotlar	awards
axe	o&#39;qi	axis
axes	bolta	axis
ayant	ega	with
azoture	azid	azoturia
aérien	havo	aerien
aérienne	havo	aerial
aériennes	antenna	aerial
aéronefs	samolyotlar	aircraft
aéroport	aeroporti	airport
aéroports	aeroportlar	airports
aîné	oqsoqol	elder
b	b	b
babylone	bobil	babylon
bach	bach	bach
back	orqaga	back
backlash	orqaga qaytish	backlash
bacon	bekon	bacon
bactérie	bakteriya	bacteria
bactéries	bakteriyalar	bacteria
bad	yomon	bad
bafta	bafta	bafta
baie	ko&#39;rfaz	bay
bain	vanna	bath
bains	vannalar	baths
baiser	o&#39;pish	kiss
baisse	tomchi	decrease
bal	to&#39;p	ball
balance	muvozanat	balance
bali	bali	bali
balkans	bolqon	balkans
ball	to&#39;p	ball
ballade	ballada	ballad
balle	to&#39;p	ball
balles	o&#39;qlar	balls
ballet	balet	ballet
ballon	to&#39;p	balloon
baltique	boltiqbo&#39;yi	baltic
balzac	balsak	balzac
bancaire	bank	banking
band	tarmoqli	band from tv
bande	bandajlangan	band
bandes	bantlar	strips
bank	bank	bank
banlieue	shahar atrofi	suburb
banque	bank	bank
banques	banklar	banks
baptisme	suvga cho&#39;mish	baptist
baptiste	baptist	baptist
baptisé	suvga cho&#39;mgan	baptizes
baptisée	suvga cho&#39;mgan	baptised
baptême	suvga cho&#39;mish	baptism
bar	bar	bar
barack	barak	barack
barbara	barbar	barbara
barbares	vahshiyliklar	barbarians
barcelone	barselona	barcelona
bardot	bardot	bardot
baromètre	barometr	barometre
baron	baron	baron
baroque	barok	barogue
barrage	to&#39;siq	dam
barrages	to&#39;g&#39;onlar	dam
barre	yopiq	bar
barres	barlar	bars
barrett	barret	barnett
barrière	to&#39;siq	barrier
barry	barry	barry
barça	barcha	barça
bas	past	down
base	asoslangan	base
bases	asoslari	bases
bash	bosh	bash
basilique	bazilika	basilica
basketball	basketbol	basketball
basque	baskcha	basque
basse	past	bass guitar
basses	bas	low
bassin	basseyn	basin
bassins	havzalar	basin
bassiste	bas pleyeri	bassist
bastille	bastiliya	bastille
basé	asoslangan	base
basée	asoslangan	based
basées	asoslangan	based
basés	asoslangan	based
bat	yarasa	beats
bataille	jang	battle
batailles	janglar	combats
bateau	qayiq	ship
bateaux	qayiqlar	boats
batista	batista	batista
batman	batman	batman
battant	uchish	beating
battent	urmoq	beat
batterie	barabanlar	battery
batteur	barabanchi	drummer
battle	jang	battle
battre	urmoq	beat
battu	kaltaklangan	beaten
battue	urishgan	beaten
baudelaire	bodelaire	baudelaire
bauer	bauer	bauer
bavière	bavariya	bavaria
bayern	bavariya	bayern
bbc	bbc	bbc
bd	bd	boulevard
beach	plyaj	beach
beatles	beatles	beatles
beau	kelishgan	beauty
beaucoup	ko&#39;p	a lot
beauté	go&#39;zallik	beauty
beaux	chiroyli	beautiful
beauxarts	tasviriy san&#39;at	fine-arts
beethoven	betovod	beethoven
bel	chiroyli	beautiful
belge	belgiyalik	belgian
belges	belgiyaliklar	belgians
belgique	belgiya	belgium
belgrade	belgrad	belgrad
bell	qo&#39;ng&#39;iroq	bell
bella	bella	bella
belle	chiroyli	beautiful
belles	chiroyli	beautiful
belmondo	belmondo	belmondo
ben	yaxshi	ben
bender	bükme	bender
benjamin	eng yosh	youngest
benoit	yaxshi	benedict
benoît	oqlangan	benoit
benzema	benzema	benzema
berbère	berber	berber
berbères	berber	berber
berceau	beshik	cradle
berger	cho&#39;pon	shepherd
berlin	berlin	berlin
berlusconi	berluskoni	berlusconi
bernard	bernard	bernard
berne	yarim mast	bern
bertrand	bertrand	bertrand
besoin	kerak	need
besoins	ehtiyojlar	needs
beurre	sariyog &#39;	butter
beyoncé	beyonce	beyonce
biais	tarafkashlik	through
bible	injil	bible
bibliographie	bibliografiya	bibliography
bibliothèque	kutubxonasi	library
bibliothèques	kutubxonalar	libraries
biblique	injilga oid	biblical
bien	yaxshi	all right
biens	tovarlar	goods
bientôt	yaqinda	coming soon
bienêtre	farovonlik	wellbeing
bijoux	zargarlik buyumlari	jewelry
bilan	balanslar varaqasi	balance sheet
bilingue	ikki tilli	fluent
bill	hisob-kitob	bill
billboard	billboard	billboard
billet	chipta	ticket
billets	chiptalar	tickets
billie	billi	billie
biodiversité	bioxilma-xillik	biodiversity
biographes	biograflar	biographers
biographie	tarjimai hol	biography
biographies	tarjimai hollari	biographies
biologie	biologiya	biology
biologique	organik	biological
biologiques	organik	biological
bipolaire	bipolyar	bipolar
bière	pivo	beer
black	qora	black
blaise	gulduros	blaise  ( name )
blake	silkitmoq	blake
blanc	oq rang	white
blanche	oq	white
blanches	oq	white
blancs	oq	whites
blason	gerbi	emblem
bleach	oqartirish	bleach
blessure	shikastlanish	injury
blessures	jarohatlar	injuries
blessé	jarohatlangan	hurt
blessés	yarador	wounded
bleu	ko&#39;k	blue
bleue	ko&#39;k	blue
bleus	ko&#39;k	blue
bloc	blok	bloc
blocs	bloklar	blocks
blocus	blokada	blockade
blog	blog	blog
blogs	bloglar	blogs
blood	qon	blood
blue	ko&#39;k	blue
blues	blyuz	blues
bluray	blu ray	blu-ray
blé	makkajo&#39;xori	wheat
bob	bob	bob
boeing	qayiq	boeing
bohême	bogemiya	bohemia
boire	ichmoq	drink
bois	o&#39;tin	wood
boisson	ichimlik	drink
boissons	ichimliklar	drink
boleyn	boleyn	boleyn
bolivie	boliviya	bolivia
bolt	murvat	bolt ( name )
bombardement	bomba hujumi	bombardement
bombardements	bombalash	bombardment
bombe	bomba	bomb
bon	yaxshi	good
bonaparte	bonapart	bonaparte
bond	sakramoq	bond
bonheur	baxt	happiness
bonne	yaxshi	good
bonnes	yaxshi	good
bono	bono	bono
bons	yaxshi	good
bonus	bonus	extra
booba	booba	booba
bord	chekka	seashore (first) alongside (for the 2nd) edge (for the last)
bordeaux	bordo	bordeaux
bords	qirralari	banks
bordure	chegara	edge
boris	boris	boris
boston	boston	boston
botanique	botanikaga oid	botanical
bouche	og&#39;iz	mouth
bouclier	qalqon	shield
bouddha	budda	budhha
bouddhisme	buddizm	buddhism
bouddhiste	buddist	buddhist
boulevard	xiyobon	boulevard
bourbon	burbon	bourbon
bourdieu	burdieu	bourdieau
bourgeois	burjua	middle-class
bourgeoisie	burjua	bourgeoisie
bourgogne	burgundiya	burgundy
bourguignons	burgundiyaliklar	burgundy
bourse	fond birjasi	stock exchange
bout	oxiri	part
boutiques	do&#39;konlar	shops
bovary	bovari	bovarie
bowie	bowie	bowie
box	qutisi	boite
boxe	boks	boxing
boy	bola	boy
boyz	boyz	boyz
boîte	qutisi	club
brad	brad	brad
bram	bram	bram
branche	ulangan	sector
branches	filiallari	branches
bras	qo&#39;llar	arms
break	tanaffus	break
bree	shabada	bree
bref	qisqasi	bref
bregma	bregma	(medical term)
brel	brel	brel
bretagne	britaniya	brittany
breton	breton	breton
bretonne	breton	breton
bretons	bretonlar	bretons
brevet	patent	patent
brian	brian	brian
bridge	ko&#39;prik	bridge
brigitte	brigitte	brigitte
brillant	yorqin	brilliant
brillante	yorqin	brilliant
britannique	britaniya	britannic
britanniques	britaniya	british
britney	britney	britney
brièvement	qisqacha	briefly
bronze	bronza	bronze
brooklyn	bruklin	brooklyn
brothers	aka-uka	brothers
brown	jigarrang	brown
bruce	bruce	bruce
bruit	shovqin	noise
brun	jigarrang	brown
bruno	bruno	bruno
brut	yalpi	crude
bruxelles	bryussel	bruxelles
bryan	bryan	bryan
brève	qisqacha	brief
brésil	braziliya	brazil
brésilien	braziliyalik	brazilian
brûler	kuyish	"burn, burn down (to indicate ""eradicate"")"
budapest	budapesht	budapest
budget	byudjet	budget
budgétaire	byudjet	budgetary
buffy	buff	buffy
building	bino	constructing
bulgare	bolgar	bulgarian
bulgarie	bolgariya	bulgaria
bull	buqa	bull
bulle	pufak	ball
bulls	buqalar	bulls
bureau	idora	office
bureaux	idoralar	offices
burkina	burkina	burkina
burton	burton	burton
bus	avtobus	bus
bush	buta	bush
business	biznes	business
buste	ko&#39;krak qafasi	bust (statue)
but	maqsad	objective
buteur	to&#39;purar	shooter
buts	maqsadlar	goals
bwv	bwv	bwv
byzance	vizantiya	byzantium
byzantin	vizantiya	byzantine
byzantins	vizantiya	byzantine
bâle	bazel	bale
bâti	qurilgan	built
bâtiment	bino	building
bâtiments	binolar	building
bébé	chaqaloq	baby
bémol	tekis	flat
bénin	yaxshi	mild
bénéfice	foyda	profit
bénéfices	foyda	benefits
bénéficie	zavqlanmoqda	benefit
bénéficient	foyda	benefit
bénéficier	foyda	benefit
bénéficié	foyda keltirdi	benefited
bétail	chorva mollari	livestock
béton	beton	concrete
bœuf	mol go&#39;shti	beef
c	va boshqalar	c
ca	u	ca
cabine	idishni	boot
cabinet	kabinet	firm
cacao	kakao	cocoa
cache	yashirin	hide
cacher	yashirish	hide
