$  	ps	dollar
alakították	diseñado	formed
alakító	formando	forming
alakú	conformado	shaped
alan	alan	alan
alanyeset	alanyeset	nominative (case)
alap	base	foundation
alapfokú	elemental	primary
alapja	fundación	basis of
alapjai	cimientos	basis of
alapjait	cimientos	foundations
alapján	residencia en	based on
alapját	base	foundation
alapjául	base	besed
alapon	base	on a base
alaposan	a fondo	thoroughly
alapot	fundación	foundation
alapszik	residencia en	based
alapul	residencia en	based on
alapuló	en	based on
alapvető	básico	fundamental
alapvetően	básicamente	basically
alapított	fundado	founded
alapította	fundado	found
alapítottak	fundado	founded
alapították	fundado	founded
alapítvány	fundación	foundation
alapítása	fundación	foundation of sg
alapító	fundador	founding
alapítója	fundador	founder
alapú	establecido	foundation
alaszka	alaska	alaska
alatt	debajo	during
alatta	debajo	under
alatti	abajo	below
albert	albert	albert
alberto	alberto	alberto
album	álbum	album
albuma	álbum	sy's/sg's album
albumok	álbumes	albums
albumon	álbum	album
albumot	álbum	album
albumról	álbum	(from the) album
albumuk	álbum	albums
albumát	álbum	album
albán	albanés	albanian
albánia	albania	albania
albánok	albaneses	albanians
aldehid	aldehído	aldehid
alelnök	vicepresidente	vice president
alessandro	alessandro	alessandro
alex	alex	alex
alexander	alejandro	alexander
alexandra	alexandra	alexandra
alexandrosz	alejandro	alexander
alfa	alfa	alpha
alfonz	alfonso	alfonz
alfred	alfredo	alfred
alfréd	alfredo	alfred
alföld	tierras bajas	plain
alföldi	grandes planicies	plain
ali	ali	ali
alig	apenas	barely
alján	el fondo	at the bottom of
alkalmanként	de vez en cuando	occasionally
alkalmas	adecuado	suitable
alkalmasak	adecuado	proper
alkalmat	oportunidad	occasion
alkalmazható	aplicable	applicable
alkalmaznak	usado	apply
alkalmazni	aplicar	employ
alkalmazott	empleado	employee
alkalmazta	aplicado	employed
alkalmaztak	usado	used
alkalmazták	usado	applied
alkalmazza	aplicar	inconsistent examples (alkalmaz something=use - alkalmaz someone=employ)
alkalmazzák	aplicar	apply
alkalmazás	solicitud	application
alkalmazása	solicitud	use of
alkalmazások	aplicaciones	applications
alkalmazásával	solicitud	application
alkalmi	casual	occasional
alkalmából	en ocasión de	on the occasion of
alkalmával	la ocasión	at the occasion of
alkalom	ocasión	occasion
alkalommal	hora	on occasion
alkatrészek	partes	parts
alkohol	alcohol	alcohol
alkoholt	alcohol	alcohol
alkot	crear	forms
alkotják	maquillaje	constitute
alkotmány	constitución	constitution
alkotmánya	constitución	constitution of
alkotmánybíróság	corte constitucional	constitutional court
alkotmányos	constitucional	constitutional
alkotmányt	constitución	constitution
alkotnak	formar	(they) create
alkotott	creado	created
alkotta	creado	created
alkottak	creado	created
alkották	creado	constituted
alkotás	creación	creation
alkotása	el intercambio	creation
alkotásai	creaciones	creations
alkotások	creaciones	creations
alkotó	creativo	constituting
alkotói	creativo	creators
alkotója	creador	creator of
alkotók	creadores	creators
alkotórésze	componente	constituent
allan	alano	not a hungarian word, it is the name of a person
allen	allen	allen
allél	alelo	allele
alma	manzana	apple (provided examples are first names as alma is also a first name in hungary)
alonso	alonso	alonso
alpesi	alpino	alpine
alpha	alfa	alpha
alpok	alpes	alps
alsó	inferior	bottom
alsóbb	inferior	lower
alternatív	alternativa	alternative
alul	fondo	at the bottom
alumínium	aluminio	aluminium
alá	abajo	below
alább	en adelante	hereafter
alábbi	abajo	following
alábbiak	el seguimiento	following
aláírta	firmado	signed
aláírása	firma	signature of
alól	de	from
am	a.m	am
amatőr	aficionado	amateur
ambrus	emboscada	ambrosia
amellett	además	besides
amellyel	con la cual	with which
amely	cual	which
amelybe	cual	in which
amelyből	cual	from which
amelyek	cual	to which
amelyekben	cual	in which
amelyeken	cual	through which
amelyeket	cual	of which
amelyekkel	cual	with wich
amelyeknek	cual	to which
amelyen	cual	on which
amelyet	cual	which
amelyhez	cual	to which
amelyik	cual	which
amelynek	cual	of which
amelyre	cual	to which
amelyről	cual	about which
amennyi	como es	as much as
amennyiben	por cuanto	in so far as
america	america	america
american	americano	american
amerika	america	america
amerikai	americano	american
amerikaiak	estadounidenses	americans
amerikába	a américa	in america
amerikában	america	in america
ami	cual	wich
amiben	en el cual	in which
amiből	cual	from which
amihez	cual	to what
amik	qué	that are
amiket	qué	which
amikor	cuando	when
amilyen	como	like
amin	amina	what
aminek	cual	for which
aminosavak	aminoácidos	amino acids
amint	como	as soon as
amire	tú	what
amiről	acerca de	what
amit	qué	that
amivel	cual	with which
amiért	por qué	for which
amy	amy	amy
amíg	hasta	while
amúgy	por cierto	anyway
an	un	of them
anapesztus	anapesto	apaest
anatómiai	anatómico	anatomic
anderson	anderson	anderson
andok	andes	andes
andor	andor	andor (forename)
andrea	andrea	andrea
andrew	andrés	andrew
andrás	andrés	andrás
andrássy	andrássy	andrássy
andré	andré	andré
andy	andy	andy
angeles	angeles	angeles
angelesben	angeles	in angeles
angelesi	angeles	angeles
angelina	angelina	angelina
anglia	inglaterra	england
angliai	inglaterra	england
anglikán	anglicano	anglican
angliába	inglaterra	to england
angliában	en inglaterra	in england
angol	inglés	english
angolok	ingleses	england
angolszász	anglosajón	anglo-saxon
angolszászok	anglosajones	anglosaxons
angolul	en inglés	in english
angyal	ángel	angyal
angyalok	ángeles	angels
anikó	anikó	anikó
anime	anime	anime
animációs	animación	animated
animében	anime	in anime
anita	anita	anita
ann	ana	ann
anna	anna	anna
annak	a	to
anne	ana	anne
annyi	tanto	so many
annyira	ese	so
annyit	tanto	so much
annál	más	more
antal	antal	antal
antant	entente	entente
anthony	antonio	anthony
anticiklon	anticiclón	anti-cyclon
antigoné	antígona	antigone
antik	antiguo	antique
antológia	antología	anthology
anton	anton	anton
antonio	antonio	antonio
anya	materno	mother
anyag	material	material
anyaga	material	theme
anyagból	material	(from) matter
anyagi	material	financial
anyagok	materiales	materials
anyagokat	sustancias	materials
anyagot	material	material
anyagát	material	material of
anyai	materno	maternal
anyanyelvű	hablando	native speaker
anyja	madre	sy's mother
anyjának	madre	his mother
anyját	madre	mother
anyák	madres	mothers
apa	padre	father
apai	paternal	fatherly
apja	padre	his father
apjának	padre	to the father of sy
apját	padre	her/his father
apjával	padre	father
apollo	apolo	apollo
apolloprogram	programa de apolo	project apollo
apostol	apóstol	apostle
apple	manzana	apple
apró	pequeña	small
arab	arábica	arabic
arabok	árabes	arabs
arad	arad	arad
aradi	arad	from arad
aragóniai	aragón	of aragon
arany	oro	arany
aranybulla	toro de oro	golden bull
aranycsapat	equipo de oro	gold team
aratott	victoria	harvested
arattak	cosechado	scored
arca	su cara	face of
arcképe	retrato	portrait of
arcát	su cara	face of sy/sg
arena	arena	arena
argentin	argentino	argentinian
argentína	argentina	argentina
arisztokrácia	aristocracia	aristocracy
arisztotelész	aristóteles	aristotle
arnold	arnold	arnold
arra	a	to
arról	acerca de	about
arsenal	arsenal	arsenal
art	daños	art
arthur	arturo	arthur
artúr	artúr	arthur
arány	oro	rate
aránya	la proporcion	ration of
arányban	proporción	rate
aránylag	relativamente	relatively
arányos	bonito	proportional
arányuk	su parte	ratio of sgs
asimov	asimov	asimov
aspergerszindrómás	aspergerszindrómás	with asperger syndrome
assisi	asís	assisi
asszony	mujer	lady
asszonyok	mujer	women
asztali	mesa	table
at	a	not a hungarian word
athenaeum	ateneo	athenaeum
athén	atenas	athens
athéni	ateniense	from athens
atlantisz	atlantis	atlantis
atlantióceán	océano atlántico	atlantic ocean
atlético	atlético	atlético
atom	átomo	atom
atombomba	bomba atómica	atomic bomb
atomok	átomos	atoms
atp	atp	atp
attila	atila	attila
atya	padre	father
atyja	padre	his/her father
augusztus	agosto	august
augusztusban	en agosto	in august
aus	aus	aus - german word
auschwitz	auschwitz	auschwitz
ausztria	austria	austria
ausztriában	austria	austria
ausztriát	austria	austria
ausztrál	australiano	australian
ausztrália	australia	australia
ausztráliai	australia	australian
ausztráliában	australia	in australia
autizmus	autismo	autism
autoimmun	autoinmune	autoimmunity
automatikus	automático	automatic
automatikusan	automáticamente	automatically
autonóm	autónomo	autonomic
autonómiát	autonomía	autonomy
autó	coche	car
autóbusz	autobús	bus
autója	coche	the car of sy
autók	coches	cars
autópálya	autopista	motorway
autópályák	carreteras	highways
autót	coche	car
avagy	o	or
avar	avar	avar
avarok	avars	avars (ancient faction)
avatták	inaugurado	inaugurated
award	premio	award
awards	premios	awards
ayrton	ayrton	ayrton
az	el	the
azaz	decir	namely
azelőtt	antes de	beforehand
aznap	ese día	the same day
azok	aquellos	those
azokat	aquellos	them
azokban	en	those
azokkal	con	with those
azoknak	aquellos	of those
azokon	en	on
azokra	aquellos	those
azon	el	on that
azonban	sin embargo	is
azonnal	inmediatamente	immediately
azonnali	inmediato	immediate
azonos	mismo	identic
azonosították	identificado	identified
azt	eso	it
aztán	luego	then
azután	luego	after
azzal	con	with that
azért	por lo tanto	because
azóta	desde entonces	since then
babits	bebes	babits (surname)
bach	llevar una vida de soltero	bach
baja	incorrecto	baja
bajnai	bajnai	bajnai
bajnok	campeón	champion
bajnoki	campeonato	champion
bajnokok	campeones	champions
bajnokság	campeonato	championship
bajnokságban	campeonato	championship
bajnokságot	campeonato	championship
bajor	bávaro	bavarian
baksis	propina	baksheesh
bakteriális	bacteriano	bacterial
baktérium	bacteria	bacteria
baktériumok	bacterias	bacteria
baktériumokat	bacterias	bacteria
bal	pelota	left
balassa	balassa	balassa
balassi	balassi	balassi
balaton	lago balaton	lake balaton
baleset	accidente	accident
balesetet	accidente	accident
balett	ballet	ballet
balkáni	balcánico	balkan
balogh	balogh	balogh (surname)
baloldali	izquierda	leftist
balra	a la izquierda	to the left
balról	desde la izquierda	from the left
balti	báltico	baltic
balázs	balázs	balazs
ban	en	in
band	banda	band
banda	banda	band
bank	banco	bank
bankjegyek	cuentas	banknotes
bankok	bancos	banks
baptizmus	bautismo	baptism
bar	bar	bar
barabás	barabas	barabás
barack	melocotón	barack
baranya	baranya	baranya (location)
barbara	bárbara	barbara
barcelona	barcelona	barcelona
barcelonában	barcelona	in barcelona
barhesz	jalá	challah
barna	marrón	barna (forename)
barney	barney	barney
barokk	barroco	baroque
barométer	barómetro	barometer
barrett	barrett	barrett
barry	barry	barry
bartók	bartók	bartók
barát	amigo	friend
barátai	amigos	friends
baráti	amistoso	friendly
barátja	amigo	friend
barátjának	amigo	for his/her friend
barátját	amigo	friend of
barátjával	amigo	friend
barátnője	novia	(her) girlfriend
barátok	amigos	friends
barátság	amistad	friendship
barátságos	amistoso	friendly
barátságot	amistad	friendship
bass	bajo	bass
batman	hombre murciélago	batman
batthyány	batthyány	batthyány
bay	bahía	"not a hungarian word. ""bay"" means ""öböl"" in hungarian."
bayern	bayern	bayern
bazilika	basílica	basilica
bazsarózsa	peonía	paeonia
bbc	bbc	bbc, british broadcasting corporation
be	en	into
beagle	beagle	a space probe
beatles	los beatles	beatles
beavatkozás	intervención	interference
beceneve	apodo	sy's nickname
beck	arroyo	beck
beckham	beckham	beckham
becslés	estimacion	estimate
becslések	estimados	estimations
becsületes	honesto	honest
beethoven	beethoven	beethoven
befejezetlen	inconcluso	unfinished
befejezett	terminado	finished
befejezte	terminado	finished
befejezése	terminación	the end
befolyás	influencia	influence
befolyása	la influencia	influence of
befolyásolja	influencia	influence
befolyásolják	afectar	affect
befolyásolta	afectado	influenced
befolyásos	influyente	influential
befolyással	influencia	with influence
beiratkozott	inscrito	registered
bejelentette	anunciado	announced
bejelenti	anuncia	announces
bejutott	calificatorio	qualified
bejárata	entrada	entrance of
bek	§	world cup
bekerült	incluido	got into
bekövetkezett	en	occured
bekövetkező	en	subsequent
bel	bel	bel
bele	dentro	into
beleegyezett	convenido	agreed
beleértve	incluso	included
belföldi	doméstico	interior
belga	belga	belgian
belgium	bélgica	belgium
belgrád	belgrado	belgrade
bell	campana	bell
bella	bella	first name
belseje	el interior	interior
belsejében	dentro	in its innards
belső	interno	internal
belváros	centro de la ciudad	downtown
belvárosban	centro de la ciudad	downtown
belvárosi	centro de la ciudad	downtown
belépett	intervino	entered
belül	dentro	inside
belüli	en	inside
belőle	eso	it
belőlük	de ellos	they
bem	bem	bem
bemutatja	regalos	presents
bemutatni	presente	to introduce
bemutatott	destacados	presented
bemutatta	presentado	introduced
bemutatták	presentado	introduced
bemutatása	presentación	introduction
bemutató	exposición	presentation
bemutatója	tutorial	premier od sg
ben	en	ben
bencés	benedictino	benedictine
benedek	benedick	benedict
benefícium	beneficio	benefitium
benne	en eso	therein
bennük	ellos	they
beosztás	enviar	division
berendezések	instalaciones	equipment
berlin	berlina	berlin
berlinben	en berlín	berlin
berlini	berlina	berlin
bernard	bernardo	bernard
bertalan	bertalan	bertalan
berzsenyi	berzsenyi	berzsenyi (surname)
best	mejor	"not a hungarian word. ""best"" means ""legjobb"" in hungarian"
beszéd	habla	speech
beszéde	habla	speech
beszédei	discursos	speeches
beszédek	discursos	speeches
beszédet	habla	speech
beszédében	habla	speech
beszél	hablar	speaking
beszélgetés	hablar	conversation
beszélhetünk	podemos hablar	we can
beszélik	hablar	(they) speak
beszélnek	hablar	speak
beszélni	hablar	to speak
beszélt	hablado	spoken
beszéltek	hablando	spoke
beszélünk	estamos hablando	we are talk
beszélő	hablando	speaker
beteg	paciente	patient
betegek	pacientes	patients
betegség	enfermedad	disease
betegsége	enfermedad	illness of sy
betegségek	enfermedades	diseases
betegséget	enfermedad	disease
bethlen	bethlen	bethlen
betiltotta	prohibido	banned
betiltották	prohibido	banned
betöltött	cargado	loaded
betört	invadido	broke into
betű	letra	letter
betűk	letras	letters
betűkkel	letras	in ... letters
bevallása	admisión	sy's confession
bevett	establecido	occupied / accepted
bevezetett	introducido	introduced
bevezette	introducido	introduced
bevezették	introducido	introduced
bevezetés	introducción	introduction
bevezetése	introducción	inctroduction of
bevezetését	introducción de	introduction of
bevezető	introducción	introduction
bevált	bueno	established
bevándorlás	inmigración	immigration
bevándorlók	inmigrantes	immigrants
bevétele	ingresos	taking
bevételi	ingresos	of revenue
beépített	incorporado	built-in
biblia	biblia	bible
bibliai	bíblico	biblical
bibliográfia	bibliografía	bibliography
bibliában	biblia	in holy bible
bibliát	biblia	bible
bihari	bihari	bihari
bill	cuenta	bill
billentyűs	operador	with keys
billentyűzet	teclado	keyboard
billy	porra	billy
bin	compartimiento	bin
biogeográfia	biogeografía	biogeography
biológiai	biológico	biological
bipoláris	bipolar	bipolar
birodalma	imperio	empire
birodalmat	imperio	empire
birodalmi	imperial	imperial
birodalom	imperio	empire
birodalomban	imperio	empire
birtok	posesión	domain
birtokos	poseedor	owner
birtokában	posesión	in posession of
bizarr	extraño	bizarre
bizonnyal	ciertamente	certainly
bizonyos	cierto	certain
bizonytalan	incierto	insecure
bizonyult	era	proved to be
bizonyultak	demostrado ser	proved
bizonyítja	probar	proves
bizonyítják	espectáculo	prove
bizonyított	demostrado	proved
bizonyíték	evidencia	evidence
bizonyítékok	evidencia	proofs
bizonyítékot	evidencia	evidence
bizottság	comisión	committee
bizottsága	comité	committee
bizottságot	comité	committee
bizottságának	comité	committee
biztonság	la seguridad	security
biztonsági	la seguridad	security
biztonságos	seguro	safe
biztos	por supuesto	certain
biztosan	seguramente	certainly
biztosít	conceder	assures
biztosítanak	oferta	provide
biztosítani	para asegurar	provide
biztosítja	asegurar	assures
biztosítják	asegurar	make sure to
biztosított	asegurado	assured
biztosította	previsto	provided
biztosították	previsto	secured
biztosítva	asegurando	assuring
biztosítása	asegurando	assuring of
biztosító	asegurador	operfixi
bizánc	bizantino	byzantine empire
bizánci	bizantino	bizantian
bl	licenciado en derecho	short for a type of football championship
blackmore	blackmore	blackmore
blog	blog	blog
blogok	blogs	blogs
blokk	bloques	block
bmw	bmw	bmw
bob	bobsleigh	bob
bobby	poli	bobby
bocskai	bocskai	from bocska (location)
bokros	tupido	bushy
boldog	contento	happy
bolgár	búlgaro	bulgarian
bolgárok	búlgaros	bulgarians
bolsevik	bolchevique	bolshevik
bolyai	bolyai	bolyai
bolygó	planeta	planet
bolygók	planetas	planets
bolygót	planeta	planet
bolívia	bolivia	bolivia
bolíviai	boliviano	bolivian
bomba	bomba	bomb
bon	bon	bon
bonaparte	bonaparte	person's name
bond	enlace	bond
bontakozott	desplegado	developed
bonyolult	complejo	complicated
bonyolultabb	más complicado	complex
book	libro	book
books	libros	books
bor	piel	wine
borderline	límite	borderline
borok	vinos	wines
borsodabaújzemplén	borsod abaúj zemplén	borsodaújzemplén
borvidék	país del vino	wine region
borítja	cubierto	covers
borított	cubierto	covered
borító	cubrir	cover
bosnyák	bosnio	bosnian
bosszút	venganza	revenge
bosznia	bosnia	bosnia
boszniahercegovina	bosnia y hercegovina	bosnia and herzegovina
boszniai	bosnia	bosnian
botrány	escándalo	scandal
botrányt	escándalo	scandal
botticelli	botticelli	botticelli
box	caja	box
boy	chico	fiú
bozsik	bozsik	bozsik
bp	bp	budapest
bpest	bpest	"abbreviation of ""budapest"""
brassó	brasov	brasov
brassói	brasov	brassói
bratislava	bratislava	bratislava
brazil	brasileño	brasil
brazília	brasil	brazil
brazíliában	brasil	in brasil
bregma	bregma	bregma (region on human skull)
brian	brian	brian
bridge	puente	bridge
brit	británico	british
britannia	bretaña	britain
britek	británicos	british
british	británico	english word
britney	britney	britney
bronz	bronce	bronze
bros	bros	bros
brothers	hermanos	brothers
brown	marrón	brown
bruce	bruce	bruce
bruttó	bruto	gross
brüsszel	bruselas	brussels
brüsszelben	en bruselas	in brussels
bt	bt	"abbreviation of ""deposit company)"
bud	brote	bud
buda	buda	buda
budai	buda	buda
budapest	budapest	budapest
budapesten	en budapest	budapest
budapesti	de budapest	of budapest
budapestre	a budapest	budapest
budavári	buda	budavári
buddha	buda	buddha
buddhista	budista	buddhist
buddhizmus	budismo	buddhism
budán	en buda	at buda
buenos	buenos	buenos
bukarest	bucarest	bucharest
bukott	caído	fallen
bukása	otoño	fall of
bulgária	bulgaria	bulgary
burton	aparejo	burton
bush	arbusto	bush
busz	autobús	bus
buszok	autobuses	buses
buzérfélék	rubiaceae	coffee family
bvitamin	bvitamina	vitamin b
by	por	by
bácsi	tío	uncle
bácskiskun	tio kiskun	bács-kiskun
bálint	enamorado	bálint
bán	en	ban
bánk	banco	bánk
bánt	ofender	bothers
bántalmak	quejas	complaints
bányászat	minería	mining
bár	bar	although
bárki	nadie	anyone
bármely	alguna	any
bármelyik	ya sea	whichever
bármikor	en cualquier momento	anytime
bármilyen	alguna	any kind of
bárány	oveja	lamb
báró	barón	baron
bástya	bastión	tower
báthory	báthory	báthory
bátor	valiente	brave
bátyja	hermano	older brother
bázis	base	base
bécs	viena	wien
bécsbe	viena	to wienna
bécsben	en viena	in vienna
bécsi	vienés	viennese
békaszőlőfélék	potamogetonaceae	frog wine
béke	paz	peace
békeszerződés	tratado de paz	peace treaty
békeszerződést	tratado de paz	peace treaty
békében	paz	in peace
békés	pacífico	békés
békéscsaba	békéscsaba	békéscsaba
békéscsabán	békéscsaba	in békéscsaba
békét	paz	peace
béla	béla	bob
bélhurut	enteritis	gastro-enteritis
bélyegkép|a	miniatura | a	thumbnail
bélyegkép|balra|px|a	miniatura | izquierda | px | la	a 120 ph thumbnail on the left
bélyegkép|jobbra|px|	miniatura | derecha | px |	thumbnail i right i pixels
bélyegkép|jobbra|px|az	miniatura | derecha | px | la	thumbnail i right i pixels i the
bélyegkép|jobb|px|a	miniatura | derecha | px | la	thumbnail i right i pixels i a
bélyegkép|px|a	miniatura | px | el	stamp picture
bélyegkép|px|balra|a	miniatura | px | izquierda | a	stamppicture
bélyegkép|px|jobb|a	miniatura | px | derecha | la	thumbnail i pixels i right i a
bérelt	alquilado	rented
bíboros	cardenal	cardinal
bír	tener	has
bírálta	criticado	judged
bírói	judicial	judge
bíróság	corte	court
bírósági	judicial	judicial
bíróságok	tribunales	courts
bízott	confiar	trust
bízta	encomendado	entrusted with
bízták	encomendado	entrusted
ból	de	from
bölcs	sabio	wise
bölcsek	sabio	wise
böngésző	navegador	browser
börtönbe	prisión	to jail
börtönben	prisión	in prison
búcsú	despedida	farewell
búza	trigo	wheat
büntetés	multa	punishment
büntetést	multa	penalty
büszke	orgulloso	proud
ből	de	from
bőr	piel	skin
bővebben	más	abundantly
bőven	mucho	easily
bűn	pecado	sin
bűncselekmény	crimen	crime
bűncselekmények	ofensas	crimes
bűnök	crímenes	crimes
bűnös	pecador	sinful
bűnözés	crimen	crime
bűnöző	delincuente	criminal
bűnügyi	delincuente	criminal
c++	c ++	c++
caesar	césar	caesar
cameron	cameron	cameron
camp	acampar	camp
campo	campo	campo
can	lata	english word
canis	del perro	dog
capone	capone	capone
carl	carl	carl
carlo	carlo	carlo
carlos	carlos	carlos
carter	carretero	a person's name
cartman	cartman	cartman
cartographia	cartografía	this is an ltd's name
casa	casa	casa
castro	castro	castro
catherine	catherine	catherine
cc	cc	not a hungarian word
cd	discos compactos	cd
center	centrar	központ
cenzúra	censura	censorship
cf	cf	cf
chandler	velero	english word
channel	canal	english word
chaplin	chaplin	chaplin
chapman	chapman	chapman
charles	charles	charles
charlie	charlie	charlie
chase	persecución	chase
che	che	che
chelsea	chelsea	chelsea
chicago	chicago	chicago
chile	chile	chile
chopin	chopin	chopin
chris	chris	chris
christian	cristiano	christian
christie	christie	christie
christopher	christopher	christopher
chuck	arrojar	chuck
churchill	churchill	churchill
cia	cia	cia
cigány	gitano	gypsy
cigányok	gitanos	gypsies
cigányság	gitanos	gipsy population
cikk	artículo	article
cikke	artículo	article
cikkei	artículos	articles of sy/sg
cikkek	artículos	inconsistent examples (items or articles)
cikkeket	artículos	articles
cikket	artículo	article
ciklus	ciclo	term
ciklámen	ciclamen	cy
cikászfélék	cícadas	cycad family
ciprus	chipre	cyprus
ciprusi	chipre	from cypus
cirill	cirílico	cirill
cirkon	circón	cirkone
city	ciudad	city
civil	civil	civil
civilizáció	civilización	civilization
clark	clark	clark
class	clase	english word
claude	claude	claude
cleese	cleese	cleese
cleveland	cleveland	cleveland
cliff	acantilado	cliff
clint	clint	clint
club	club	klub
co	co	co
cobain	cobain	cobain
cobra	cobra	cobra
college	universidad	college
color	color	color
columbia	columbia	columbia
comedy	comedia	comedy
comics	historietas	comics
concerto	concierto	concerto
corona	corona	corona
corvin	corvin	corvin
corvina	corvina	corvina
costa	costa	costa
cross	cruzar	cross
cruz	cruz	cruz
csaba	csaba	csaba (forename)
csak	sólo	only
csakhamar	pronto	shortly after
csakis	solamente	alone
csaknem	casi	almost
csakúgy	simplemente porque	in the same way
család	familia	family
családban	familia	family
családból	familia	from a family
családfája	árbol de familia	(his) family tree
családi	familia	family
családja	su familia	his family
családjának	familia	his family
családját	familia	his family
családjával	su familia	with family
családnak	familia	family
családok	familias	familys
családot	familia	family
csapadék	lluvia	precipitation
csapadékmennyiség	lluvia	rainfall
csapat	equipo	group
csapata	el equipo	team of sy/sg
csapatai	equipos	troops of
csapatait	tropas	troops
csapatban	equipo	in team
csapatnak	equipo	of the team
csapatok	tropas	troops
csapatokat	tropas	troops
csapatot	equipo	troop
csapattal	equipo	with team
csapattársa	compañero de equipo	teammate
csapatának	el entrenador	to the team of
csapatát	equipo	troop of
csapás	desastre	strike
csapást	soplo	blow
csarnok	salón	hall
csata	batalla	battle
csatlakozik	unirse	joins
csatlakozott	unido	joined
csatlakoztak	unido	joined
csatlakozó	jack	joiner
csatolt	adjunto	attached
csatolták	adjunto	annexed
csatorna	canal	channel
csatornák	canales	channels
csatornán	canal	(on/through) channel
csatában	batalla	in battle
csatát	batalla	battle
cseh	checo	czech
csehek	checos	czech
csehország	republica checa	czech republic
csehszlovák	checoslovaco	czecho-slovakian
csehszlovákia	checoslovaquia	czechoslovakia
csekély	leve	little
cselekmény	actuar	plot
cselekménye	actuar	the act
cselekvés	actividad	action
csendes	tranquilo	silent
csendesóceán	océano pacífico	pacific ocean
csendesóceáni	pacífico	pacific
csere	intercambiar	csere
cserébe	a cambio	in return
csillag	estrella	star
csillaga	estrella	star
csillagok	estrellas	stars
csillagunk	nuestra estrella	our star
csillagász	astrónomo	astronomer
csillagászat	astronomía	astonomy
csillagászati	astronómico	astronomical
csillagászok	astrónomos	astronomers
csinált	hecho	did
csoda	milagro	miracle
csodálatos	maravilloso	wonderful
csokonai	csokonai	csokonai
csoma	extraer	csoma
csomópont	unión	node
csontváry	csontvary	csontváry
csontváz	esqueleto	skeleton
csoport	grupo	group
csoportba	grupo	group
csoportban	grupo	group
csoportja	grupo	group
csoportkör	ronda preliminar	(incorrect compound word)
csoportok	grupos	groups
csoportot	grupo	group
csoportra	grupos	into groups
csupán	solamente	only
csák	sólo	a person's name
császár	emperador	császár
császári	imperial	emperor
császárnak	césar	emperor
császárral	emperador	with emperor
császárság	imperio	empire
császárt	emperador	emperor
