aajo	смешен	hospitality
alukuraani	коран	quran
alumoni	лечебен	minerals
alumíníọ̀mù	алуминий	aluminium
alákọ̀bẹ̀rẹ̀	инициатор	primary education
alápapò	замяна	general
alátise	художник	alatise
aláyèwò	инспектор	expert
aláísàn	болен	the sick
alúwo	стрела	traditional cults
alọ́po	портфейл	tied
amazonas	амазонас	amazonas
americas	северна и южна америка	americas
amerika	америка	america
amojeoyipada	сгъваем	reform
amosi	джамия	amos
améríkà	американски	america
améríkà	американски	america
an	един	him
anabi	пророкът	prophet
anc	anc	anc
andaman	andman	andaman
angkor	ангкор	angkor
anita	анита	anita
anschluss	аншлус	anschluss
apagusu	на юг	southern
apaguusuilaorun	югозапад	south-western
apaguusuiwoorun	югозапад	part of the south
apailaorun	изгрев	east side
apaiwoorun	уестърн	eastern side
aparapo	съчетание	confederation
apeja	рибар	fisherman
apeere	например	example
apis	свещен бик	apis
apòmù	престилка	apomu
apẹ̀rè	престилка	example
arabu	арабски	arab
aralíle	тропически	healthy body
arinkankan	този	nationalist
ariso	арис	oral tradition
ariwaarin	средния изток	mid-north
ariwaguusu	югозападен	north-south
arkansas	арканзас	arkansas
aroko	растителност	composition
aruleyin	здравейте	carried on the back
arun	болест	disease
aryan	ариецът	aryan
aráa	брат	people from
arábíà	азбучен	arabia
aráròmí	здравейте	araromi
arópò	подкупничество	substitute
arúgbó	старост	elderly
arọ	куц	cripple
asagun	победа	intial, first (referring to the 13 colonies)
ascii	разбирам	ascii
aseeto	селище	unfair
aseyori	успех	success
asipa	отклонение	first to kill
assessment	оценяване	ayewo
asìko	глупости	time; ni asiko=when
asèdá	естественото	origination
atangbona	атом	emission
atanna	атом	emitter
atigba	допустим	from time
atimo	план	inland
atinrin	смее се	thin
atun	назад	also
atunse	корекция	revision
australia	австралия	australia
austriahumgary	austriahumgary	austria-hungary
austronesian	австронезийското	austronesian
austríà	австралия	austria
avar	аварския	avar
awari	откритие	discovery
awo	плоча	of
awonara	емоция	people of
awoòn	шаблон	people
awon	тях	they
awuruju	магически	shady
awùjo	учтивост	society
awújẹ	скандал	root
aya	стих	chest
ayeye	вечност	celebration
ayàfi	това е добре	only if
ayò	ай	game
azikiwe	здрав разум	azikwe
aṣòkan	индивидуален	united
baa	е	be with
babaláwo	гадателят	herbalist
bahrain	бахрейн	bahrain
balẹ̀	нека бъде	settled
bang	трясък	bang
banle	banle	banle
bara	миналата година	themselves
bauxitealumina	bauxitealumina	bauxite/aluminum
bayelsa	bayelsa	beyelsa
bayi	сега	like this
bayìí	сега	this
bce	далеч	bce
beauharnais	beauharnais	beauharnais
beijing	пекин	beijing
belarus	беларус	belarus
belgium	белгия	belgium
bengal	бенгалия	bengal
bengali	бенгалски	bengal
benin	пейка	benin
berber	берберски	berber
berlin	берлин	berlin
bernstein	бърнстейн	bernstein
bharat	бхарат	bharat
bharata	върни се	bharata
bibeli	библията	bible
biribiri	беше смазан	intense
black	черно	dudu
bodies	тела	ara
bojú	погледни	take care
bole	ствол	ground
bolt	болт	bolt
bolívar	боливар	bolivar
brasil	бразилия	brazil
brazzaville	бразавил	brazzaville
bridgeport	бриджпорт	bridgeport
britain	великобритания	britain
brítánì	британски	britain
bu	това е	give
buenaventura	буенавентура	buenaventura
bujumbura	разширен	bujumbura
burúkú	зло	bad
by	от	does not translate directly, does not exist
bàbá	бащата	father
bákannáà	също	likewise
bálè	балон	lying on the ground
bárakú	пристрастяване	habitual
báyìí	сега	this
bèrẹ̀	да започнем с	started
béè	просто така	than
bòtswánà	автобусът	botswana
búburú	лошо	bad
búrú	бъди смел	wicked
bẹ̀rẹ̀	за да започнете	started
bẹ́	разорен	also
bẹ́ljíọ̀m	берил	belgium
bẹ́ẹ̀ni	да	yes
bẹ́ẹ̀sìni	да	that is it
cairo	гняв	cairo
calabar	дъвка	calabar
canaria	канария	canaria
cape	нос	cape
casablanca	казабланка	casablanca
caslon	казино	caslon
cathedral	катедрала	cathedral (katidral)
catherine	катрин	catherine
cauchy	коши	cauchy
cbc	тгс	cbc
chamorro	чаморо	chamorro
charles	чарлз	charles
chaskalson	chaskalson	chaskalson
chebbi	мисля	chebbi
cherished	заветната	mu lokunkundun
china	китай	china
cipollone	cipollone	cipollone
clear	ясно	danmanran
code	код	code
coetsee	coetsee	coetese
coloured	оцветен	alawo dudu
coming	идващ	yo jade
compared	сравнение	does not directly translate
computers	компютри	komputa, ero ayarabiasa
csto	одкс	csto
ct	ct	ct
cunha	гърло	cunha
da	и	back; but in this form it is unnecessary
dagbasoke	порасна	developing
dandan	задължителен	a must
dani	холдинг	hand-held
darapo	присъединяване	joinedd
daru	унищожи	scattered
dates	дати	pada si
delhi	недей	delhi
denver	денвър	denver
des	дес	des
describes	описва	se apejuwe (apejuwe=description; se prefix makes it a verb)
desmond	дезмънд	desmond
development	развитие	idagbasoke
didagba	равенство	growing
didasile	заведение	established
different	различно	iyato
din	дребна риба	reduced
dinwoju	погледни нагоре	suitable
divoire	divoire	d'ivoire
doju	лице в лице	face
dojú	лице в лице	turn face (full phrase is doju ko, to face)
dominic	доминик	dominic
doni	дони	this day
dote	обичам безумно	rebel
doublehelix	doublehelix	hiliksi abara meji
doublestrand	doublestrand	double-strand
dover	dover	dova
du	дю	hustle
due	поради	nitori
dun	вкусно	sound
dàbíi	като този	like
dàpò	заменете ги	mix
dá	създаден	intervene
dágbó	старост	forest
dájó	добре	pass judgement
dálóríi	благодаря ти	about
dáradára	добре	well
dásà	каза	peculiar way of saying
dáwó	дарят	undertake
dé	пристигнал	reach
délànà	по принцип	delana
dépò	до степента	to a position
dì	лист	be
dìde	възникне	stand
dìró	отдясно	hang on
dìtẹ̀	конспирирам	rebel
díè	напрегнат	few
dóko	добре	upstanding
dólà	добре	dollar
dún	звук	sound
dúró	стоя	stand (been in existence)
dọ́gba	равен	equal
ea	да	ea
eba	еба	shore
ebi	семейство	family
ecomog	ecomog	ecomog
ede	език	language
efrem	effem	efrem
egba	абсолютно	cane
egbe	пистолет	group
egberundun	хиляда години	a thousand year
egbo	рана	brother
egbé	беда	party
egbò	рана	chemicals
egbògi	медицински	don't know this
eighteen	осемнадесет	ejidinlogun
eka	комплекс	branch, department, part
ekeji	другият	second
eko	образование	lagos
elede	прасета	speaker
eleyi	това	this
eleyii	като този	this
elláda	създаване	ellada
eléde	абстрактен	pig
eléré	спортист	performer
elòmírà	морските водорасли	freedom
elòmíràn	друг	another person
emerging	нововъзникващите	ibere-pese
emmanuel	emmanuel	emmanuel
enikéni	всеки	whoever
enter	въведете	wole
enì	слон	person
eníbá	треска	such person
epa	фъстък	groundnut
ernst	ernst	ernst
erofo	утайка	swamp
erékùsù	остров	island
eréonítàn	акроним	written play
eseese	диаграма	step by step
esia	идва	asia
esteri	естери	ester
etisalat	etisalat	etisalat
etymologiae	etymologiae	etymologiae
etíòkun	брегът	beach
euro	евро	euro
euroasia	евроазия	uro-esia
ewe	листо	ewe
ewé	листо	leaf
ewì	поезия	traditional poem
example	пример	apere
eya	категория	tribe
eyin	яйца	previous
eyonomba	eyonomba	digit
eléja	риболов	fisherman
elòmíràn	някой друг	another person
eka	ефект	branches
eléyàmèyà	етническа принадлежност	tribalism
enu	уста	mouth
esin	религия	horse
esè	постъпления	leg
ewà	на поведение	beauty
fagile	отменен	cancel
fail	fail	padanu
fan	фен	spread
faramó	спазвайте	accept
faranse	френски	french
farsi	arti	farsi
felifeli	кадифе	fuming
ferde	ferde	verde
fesèmúlè	временен източник	established
fe	търси се	want
fi	спасяване	by
fifihan	показване	revealed
fihan	указаната	shows, to show
fimú	рязко дефиниран	captivate with
finiki	физика	finiki
finlandi	финландия	finland
fitino	пробен период	judgement
five	пет	marun
fodio	fodio	fodio
fofinde	забрана	prohibited
fohùn	вик	consent
foniimu	филм	phoneme
force	сила	agbara
foriko	например	agreed
fourbase	fourbase	onidi-merin
fowobowe	резервация	signed
fowó	за пари	sign
fracmv	fracmv	does not translate
francis	франсис	francis
fransi	френски	france
freetown	фрийтаун	freetown
fuji	премахване	fuji
fulani	страхлив	fulani
fulbe	телно	fulbe
fun	за	for
funra	себе си	suspect
further	още	si
fé	fé	like
fé	fé	want
fégbé	забрави	for peers
fífò	летене	jumping
fífún	давайки	giving
fòye	разбирам	rationalise
fẹ́rẹ̀ẹ́	почти	nearly
galatia	този път	galatia
gba	съгласен	accept
gbajúgbujà	е много популярен	popular
gbale	популярност	flourished
gbaná	стреля	engulf in flame/rage
gbe	носене	set up
gbera	продължа напред	move
gberasoke	ускори	rising
gbese	дълг	debt
gbigbamulo	експлоатация	adopted
gbigbewo	финансиране	examined
gbilè	избухвам	gaining ground
gbin	засадени	farm
gbogbogbo	общ	general
gbongbo	корен	root
gbàgbọ́	вярвам	believe
gbàgùrà	поклати	gbagura
gbá	фалирам	received
gbáradì	ставай	prepare
gbé	на живо	convey
gbédìí	установят	respect
gbékalè	дърводелец	establish
gbéni	на живо	lift
gbéyèwò	преглед	examine
gbésè	оферта	die
gbìnyànjú	опитвам	endeavour
gbìyànju	помъчи се	try
gbódò	трябва да	must
gbónmisi	закон	strife
gbúnùn	помириши го	hostile
gbọ́dọ̀	трябва да	must
geesi	английски	english
geneva	женева	geneva
genevieve	женевиев	genevieve
georgia	грузия	georgia
german	немски	german
gfaj	gfaj	gfaj
ghana	гана	ghana
gidigidi	много	significantly
gidí	къща	real
goemai	goemai	goemai
gomina	губернатор	governor
gorgina	орелът	gorgina
gquadruplex	gquadruplex	g-gigalonomerin
grammy	грами	grammy
griiki	гръцки	greek
groove	жлеб	iho
guanínì	guanni	guanine
guinea	гвинея	guinea
guineabissau	гвинея-бисау	guinea bissau
guinébissau	guinébissau	guinea bissau
gun	дълго	stretch
gunle	пистолет	arrive
guusu	южно	south
gv	gv	gv
gèésì	лепило	english
gèésì	скъпоценен камък	english
gégé	наистина ли	like
gírámà	дядо	grammar
gòkè	върви нагоре	climb
gún	пробита	properly
gúúsù	южно	south
gẹ̀ẹ́sì	английски	english
habsburg	хабсбургската	habsburg
haggai	ръководство	haggai
haiti	хаити	haiti
halomonadaceae	halomonadaceae	halomonadaceae
hard	трудно	lile
haughton	haughton	haughton
hausafulani	hausafulani	hausa fulani
hawaii	хавай	hawaii
heinrich	хайнрих	heinrich
hendu	бонбони	hendu
henny	хени	henny
heraklion	ираклион	heraklion
hesse	съгласуван	hesse
him	него	un, this term is sexless
hindu	hindu	hindu
histoni	histoni	histones
hominidae	човекоподобни	hominidae
hosea	осия	hosea
hp	к.с.	hp
hugh	хю	hugh
hun	хун	knit
hungari	глад	hungary
hv	hv	hv
ibalo	афера	relationship
ibarepo	сдружаване	friendship
ibeji	близнаци	twins
ibewo	дойде	visit
ibiamusin	светилище	colony
ibile	традиционен	municipality
ibimo	раждане	birth
ibise	тренировка	official
ibiti	места	where
ibn	ибн	ibn
ibojì	гробница	burial ground
ibori	воал	conquest
ibujoko	пейка	place of abode
ibuseripadabosi	възстановяване	eternity
ibuso	да се биеш	bus stop
ibùdó	лагер	settlement, seat of, area,
ibùjókòó	сядане	settlement
iceland	исландия	iceland
idagbasoke	развитие	development
idagbe	пренебрегване	isolation
idaji	наполовина	half
idajo	правосъдие	judgement
idamita	рисувам	sector
idari	контроли	control
ideraa	да пишеш	comfort
idimule	арестувам	establishment
idoma	чертеж	idoma
idupe	благодаря ти	thanksgiving
idánwò	пробен период	examination
ifija	риболов	weapon
ifilole	хвърлям	resolution
ifitonileti	информация	reporting
ifobaje	корупция	coronating
ifofinde	конгрес	prohibition
ifriqiya	стимулиране	ifriqiya
igbeduro	подготовка	institute
igbegun	победа	declaration of war
igberiko	от предградията	region
igbesoke	подобряване на	upliftment
igbeyawo	сватба	marriage
igbowolori	скъп	inflation
igbá	пиле	shell
igbáẹ̀yìn	последният	shell
igitòròmogbè	широколентов	willow tree
ihan	да се появи	ray
ihinrere	евангелие	gospel
ijagun	битка	war
ijakadi	борба	wrestling
ijaya	паника	fear
ije	движение	eating
ijinnasi	физика	the wind open
ijosin	преклонение	worship
ijó	танцуване	dance
ikan	един	one of
ikandinlogun	осемнадесет	nineteen
ikaowo	уважават	finger
ikejidinlogun	осемнадесет	eighteen
ikeko	компилация	education
ikerin	четвъртият	fourth
iketa	да наследи	third
ikoenu	да запазя	union
ikojopo	натрупване	collection
ikoreokere	жътва	migration
iku	смърт	death
ikúgbaèyí	сега	death-has-this
ikún	пълнеж	squirrel or wild rodent
ilagbolojo	публичност	latitude
ilana	процедура	procedure
ilanaoye	стратегии	knowledge procedure
ilaodo	защитавам	cana
ilaorun	изгрев	west
ileasofin	законодателен	house of law,
ilegiga	у дома	higher ground or higher plain
ileife	пренебрегване	ile-ife
ileigbimo	съгласие	house of assembly/congress
ileobaluaye	светът	high chief
ileru	пещ	volcanic
ilopo	двойно	times
iluoba	гражданство	king's town
iluorilejoba	глобализация	capital city
ilé	у дома	house
iléayé	у дома	earth
iléisé	у дома	workplace
ilélódò	къщата	ile-lodo
iléàtèéré	у дома	ile-ateere
iléńlá	двор	ile-nla (area)
ilẹ	приземен	land
ilẹ̀ayé	земята	the world
iminle	да арестуват	earthquake
imoero	осветление	engineering
imojuto	грижа	protection
imusin	рисувам	colony
imú	нос	nose
imúnisìn	хигиена	slavery
inagberingberi	фъстъчено масло	electromagnetic force
indeed	наистина	paapa julo
indus	индус	indus
inkosi	за да се оправдае	inkosi
integration	интеграция	ifowosowopo
inágbéringbérin	седемнадесет	electromagnet
iní	наследяване	possession
inúnibíni	преследване	hatred
ioja	риба	fight
ioniani	беден	ionian
iowa	на земята	iowa
ipare	замирам	abolition
ipawo	употреби	income
ipele	ниво	stage
ipin	глава	share
ipinpa	участие	arm of, branch of
ipinu	решение	determination
ipo	местоположение	position
ipá	сила	effort
iraja	скандален	bargaining
iranlose	помощ	mission
ire	продажба	you
irele	смирение	irele
iringa	увивам	iringa
irisi	външен вид	appearance
irorun	много просто	convenient
irò	слух	iro
irúnmọlẹ̀	мълния	apparition
isa	достатъчно	jesus, isa or yisa is hausa language
isare	ускорение	track race
isedaniloro	съмнение в себе си	terrorism
iseero	гледам	engineering
isejoba	управление	governance
iseoba	петнадесет	civil service
iseoroayeijoun	археология	archaeology
iseowo	бизнес	business
isepinpin	разпределение	division
iso	да дойде	unit
isoponomba	isoponomba	addition of numbers
isun	поток	spring
isesi	предаване	conduct
isè	обслужване	occupation
itali	италиански	italy
itanakole	история	ancient
itelentele	ясно	coming after
itiraka	борба	effort
itobi	да се хваля	size
itokowo	бизнес	economy
itorawo	либерален	astrology
itu	хвърлям	solution
itumo	значение	meaning
iwadi	изследване	research
iwasi	впечатлявам	behaviour
iwifun	информация	report
iwoile	у дома	entering
iwosan	лечебен	healing
iwulo	полезен	use
iwuwa	практика	behaviour
iyan	глад	argument
iyato	разликата	difference
iyawo	булка	wife
iyen	това е	that
iyán	искрящ	pounded yam
iḷẹ̀	работа	land
iṣẹ́ìwádìí	изследване	research
jabo	доклад	give account
jackson	джексън	jackson
jadide	задръжте	emerge
jagbe	изгуби се	shout
jalè	кражба	steal
jamaica	youtube	jamaica
jamo	махай се	link
jawaharlal	люлки	jawaharial
jeffrey	джефри	jeffrey
jeometri	геометрия	geometry
jesu	исус	jesus
jfk	jfk	jfk
jije	същество	existing as
jijinna	далече	distance
jiròrò	мъгливо	dialogue
jo	изтичане	days
jogun	наследен	inherit
johann	ад	johann
johanu	съжалявам	john
jojo	cracked	great extent
jopò	присъедини се	gathered
jo	джон	resemble
juneau	джуно	juneau
jàgídíjàgan	насилствен	violent
jáde	излез	out
jé	идвам	is
jéésù	исус	jesus
jìnnàa	далече	further
jíje	същество	eating
jíjuwó	правя пари	waving hands
jíjéomoléyìnkírísítì	като филантроп	followers of christ
jùlo	повече от	most
jùlo	особено	most
jùló	повечето	most
jẹ́mánì	немски	germany
jọ́	моля те	together
kadara	актив	destiny
kagera	който обича да се хвали	kagera
kakiri	следа	all over
kalinga	cinga	kalinga
kalẹ	заделени	established
kampala	клипс	kampala
kan	а	one
kankan	нито един	any
kanlè	kanal	established
karbonumarun	thecentricane	5 carbon
karl	карл	karl
karun	пети	fifth
karùún	петият	fifth
kebbi	регулируем	kebbi
kekere	малък	lower
keko	грамотен	learn
kept	съхраняват	fi pamo
khoisan	долен	khoisan
ki	така правя	not
kiakiajulo	най-бързият	rapidly
kiko	привеждане	gathering
kikojo	компилация	gathering
kikopomo	топлина	mixed
kikoso	бърз	colonised
kiko	изучаване на	making
kikuninu	представете си	size
kilhar	подмишница	kilhar
kinkinni	малкото нещо	small quantity
ko	или	don't
kodò	по-долу	bow
koidu	koidu	koidu
kojá	кръст	pass
kolo	коло	going
komputa	компютър	computer
kong	конг	kong
kongo	презерватив	congo
kookan	това	one
koto	стръв	pit
koko	изучаване на	make heap
ko	ko	learn
kori	няма повече	not found
krio	крио	krio
ku	вие	remain
kwara	адресирано	kwara
kàríbẹ́ánì	в региона	carribean
kàyéfì	чудя се	amazement
ká	на	we
kánfinkése	изобретателност	prolonged
kánádà	разбира се	canada
káyé	свят	world
kéesì	смешен	keesi
kékéèké	малък	small
kétu	бъди подготвен	ketu
kémíkà	напротив	chemical
kéyìn	по късно	come after,
kìnní	първи	first
kí	поздравете	not
kíko	изучаване	written
kíkọ́	да науча	learning
kínu	целуване	greet
kírísìtì	коледа	christ
kòjòkú	дъжд	kojoku
kòkó	мишката	cocoa
kòmpútà	компютър	computer
kòtò	яма	pit
kòòsí	не е	coaching
kòòkan	всеки един	each
kógo	слава	glorious
kóra	събирам	participate
kùkú	след всичко	eventually
kùrání	коранът	quran
kúkú	след всичко	now
kúkúrú	накратко	short
kúrò	далеч	away
kútò	всичко	kuto (place)
kúùkù	напротив	punches; expression meaning 'by force' (ti pa ti kuuku)
kẹrin	четвъртият	4
kẹsàán	веднага	ninth
kẹta	трета	third
kẹ́nyà	отделяне	kenya
kọjá	минавам	pass through
kọ̀mpútà	компютър	computer
kọ́kọ́	първи	first
kọ́lọ́mú	колони	breast owner
kọ́ni	липса на	teach
laa	махай се	will
laada	удар	good fortune
laaka	обратен	important
laarin	в рамките на	between
labalaba	пеперуда	butterfly
labee	отдолу	under
lade	натоварвам	crowned
laid	положи	tele
laifi	вина	without
languages	езици	ede
lanka	ланка	lanka
lasile	пускане	laid out
latibe	оттам	from there
latigbana	от тогава	from then on
latini	латински	latin
latvia	латвия	latvia
lay	лежаха	da
le	мога	can
leboa	lebo	leboa
lekun	засилена	open door
leo	лъв	leo
lese	пост	firmly
less	по-малко	okeresi
lewaju	напред	front
lewon	затваряне	imprisonment
leyi	ето го	mispelled...should be 'leyin', after
leè	може	can
lilelile	хардкор	tightly
lilemo	марихуана	sticky
lilongwe	лилонгве	lilongwe
lindi	луга	lindi
linear	линеен	dogba
links	звена	eka; this is a new word and does not really exist in yoruba
lodo	заеми място	from
lojowaju	в бъдеще	the future
lojukokoro	алчен	covetousness
lojúgun	той опустоши	knee
lokunkun	енергичен	in the dark
loloselu	политически	in politics
lopolopo	много	so many
loruko	име	name
louvre	куличка с отвор в покрив	louvre
lovers	любителите	awon olufe
low	ниско	diye
lo	продължи	than
luanda	луанда	luanda
luther	лутер	luther
lynton	линтън	lynton
làgba	равен	more important
lààmi	знак	sign
lààmì	знаци	significant
lábé	тегло	under
láfún	даден	cassava food
láimo	без	unknown
láké	шумен	in ake
lámọ́di	щастие	lamodi
lápá	част	from
lára	боли	part of
lárúbáwá	естественото	arabic
láì	без	without
láíláí	никога	old
lèe	мога	can
lèyìn	по-късно	after
lédè	на език	language
léebá	между другото	catch up with it
lérìnín	снега	erin=laughter; the prefix 'l' is possesive
lérò	причина	thought
léyin	по-късно	after
léyìn	по късно	after
lérú	робство	enslave
lílo	експлоатация	using
lísa	ускорение	a chieftaincy title
lítésò	язвителен	literature
lóde	извън	modern
lópez	nipez	lopez
lópó	вдовица	widow
lórì	пристанище	on the head
lóríba	над	subdue
lóti	много	have
lóòótò	да	truly
lóòótọ́	наистина	truly
ló	ló	to
lónà	по пътя	in a way
lórò	утре	become wealthy
lọndọnu	лондон	london
lọ́dọọdún	ежегодно	yearly
lọ́jà	на пазара	in the market
maapu	карта	map
madeira	бейра	madeira
mahatma	махатмата	mahatma
makedonia	македония	macedonia
malabo	пчелен мед	malabo
malay	предполага	malay
malayopolynesian	malayopolynesian	malayo-polynesian
malaysia	малайзия	malaysia
mali	ден	mali
mango	манго	mango
manˈdeːla	mandelala	mandela
marcellus	марцел	marcellus
march	март	march
marku	този път	mark
mars	марс	mars
maryland	мериленд	maryland
maseru	ревност	don't be slave
matheu	матеу	matthew
mathiew	mathiew	mathiew
mathimatiki	математически	mathematics
max	макс	max
maya	не	maya
mbabane	отрицателен	mbabane
means	средства	ona (way)
mediteraneani	средиземно море	mediterranean
mefeefa	основен ремонт	all six
mejidinlogbon	двадесет и осем	twenty eight
mejila	дванадесет	twelve
meksiko	мексико	mexico
melo	колко	some
member	член	ara
mercosur	меркосур	mercosur
merin	четири	four
methodologies	методологии	anaoniruuru
metropoli	метрополи	metropolis
meucci	меуци	meucci
mewar	mewar	mewar
mexico	мексико	mexico
michelle	мишел	michelle
micronesia	микронезия	micronesia
miiràn	разтоварваща	another
mimoy	mimoy	mimoy
mimuwa	вкопчване	import
minnesota	минесота	minnesota
minority	малцинство	awon ara kekere
mohandas	мохандас	mohandas
mokaleladota	компактен	51, (mokanleladota)
mokanlelogbon	тридесет и две	thirty-one
mombasa	момбаса	mombasa
monrovia	монровия	monrovia
morgan	morgan	morgan
morogoro	автомобилизъм	morogoro
mozambique	мозамбик	mozambique
mozilla	mozilla	mozilla
mtn	mtn	mtn
mtwara	изберете отново	mtwara
mughal	сила на звука	mughal
mulẹ̀	установят	establish
munispal	munispal	municipal
muungano	muungano	muungano
májèmú	не против	testament
mère	чертеж	significant
méjèèjì	и двете	the two
mérindíláàdóta	петдесет и пет	forty-six
méte	пет	lip
mérìndínlógún	шестнадесет	sixteen
mérìnlélógójì	четиредесет и четири	44
méta	три	three
métèètà	дърводелец	the three
méwàá	десет	ten
ménu	мислиш ли	verbally contribute; complete phrase= me nu ba
mímọ́	свят	holy
míràn	друг	other
míìrán	друг	other
mííràn	друг	other
mò	знание	know
mókólà	лепило	mokola
móra	лек	with themselves
mó	m	with
múlẹ̀	дръж бързо	select land (farmland)
mẹ́fà	шест	6
mẹ́rkúríù	мишката	mercury
mẹ́ta	три	3
mẹ́talọ́kan	триединство	trinity
namibia	да дойде	namibia
nathaniel	натаниел	nathaniel
nato	нато	nato
nawojulo	озадачаващо	highest-spending
nawó	вземете парите си	point finger
ncnc	ncnc	ncnc
nebraska	небраска	nebraska
nefimu	nephim	nefimu
neptune	нептун	neptune
nevis	невис	nevis
ngbero	планираното	planning
ngubengcuka	ngubengcuka	ngubengcuka
nibe	там	there
nibere	рано	earlier
nigbakan	понякога	at one time
nigbà	тогава	when
nijẹr	найки	niger
nilè	тук	remaining
nisinyi	сега	at present
nitoriidieyi	заради това	because of this
nitoripe	защото	because
nitosi	близо до	nearby
niwaju	напред	in front of
niyato	разграничат	unlike
niye	достатъчно	in number
niyi	ето го	these
nkan	нещо	things
nkàn	рак	something
nnaji	чичо	nnaji
nobel	нобелова	nobel
nombamewa	мултиплициращ	decimal
nombáméjì	първите две	two-number
novo	ново	novo
nri	храна	nri
nse	дизайн	acting
nso	близо до	saying
nsolaboraro	сигурност	nso laboraro
nsowikipedia	obowikipedia	saying
ntoka	точка	indicates
nu	чист	in
nukleotidi	нуклеотид	nucleotides
nukleotidipupo	нуклеотид	cell
numeri	скованост	numbers
nwa	бебе	drill
nàìjíríà	в нигерия	nigeria
náwo	разход	spend money
náà	също	that
nì	планина	is
nìnú	съжалявам	in
nìyí	това е то	this is
ní	имам	on
níbè	там	there
níbè	там	there
nífẹ̀ẹ́	да обичаш	love
nígbàtí	кога	when
nílè	по-долу	on the ground
nílùú	в града	in the town
nílẹ̀	на земята	in the land
nínlá	страхотен	large
nínu	шанс	in
níní	имам	having
nípà	поне	by
nítorípé	защото	because
nítumò	значение	meaningful
nítòsí	близо до	nearby
nítòótó	точно	truly
nítòótọ́	наистина	in truth, truthfully
níwájú	напред	in front
níyanjú	положително	solved
nǹkan	нещо	things
nso	очаквайте скоро	say
oba	обама	king
obairanderan	братовчед	hereditary
obere	малък	started
obínibí	учтивост	inborn
ododo	правдата	righteousness
ofin	законът	law
ogbè	област	a divinity
ogun	война	war
ogunlogo	тълпа	hundreds
ojo	изглежда като	day
ojojumo	ежедневно	daily
ojoru	топлина	wednesday
ojukokoro	сребролюбие	covetousness
ojuoorun	залез	atmosphere
ojuse	отговорност	responsibility
ojùkòsì	утаяване	ojukosi
ojùkòtúu	утаяване	ojukotuu
ojúlùmọ̀	познати	acquaintance
ojútáyé	вискозитет	public
ojúìwé	страница	page
okeere	в чужбина	distant
okhotsk	охотско	okhotsk
oko	поле	farm
okunkun	тъмнина	darkness
okunrin	мъжът	male person
olodiajodojuko	взаимно	facing wall
olohun	собственици	god
olojukanna	веднага	same surface
olokunkun	слушалки	popular
ololugbe	загубеняк	occupants
olopon	надменен	a local game
olora	дебел	fertile
oloselukan	здравейте	one political
oloye	гений	chief
oluda	създател	creator
oludase	производител	separatist
olukoitan	инструктор	the writer
olukowe	автор	writer
olumojuto	алчен	overseer
oluparapo	съчетание	joint
olusoju	охрана	ambassador
oluwakiri	проучване	explorer
olympus	олимп	olympus
