aajo	saçma	hospitality
bharata	geri gel	bharata
bibeli	kutsal kitap	bible
biribiri	ezildi	intense
black	siyah	dudu
bodies	vücutlar	ara
bojú	bir göz at	take care
bole	ağaç gövdesi	ground
bolt	cıvata	bolt
bolívar	bolivar	bolivar
brasil	brasil	brazil
brazzaville	brazzaville	brazzaville
bridgeport	bridgeport	bridgeport
britain	britanya	britain
brítánì	ingiliz	britain
bu	yani	give
buenaventura	buenaventura	buenaventura
bujumbura	genişletilmiş	bujumbura
burúkú	kötülük	bad
by	tarafından	does not translate directly, does not exist
bàbá	baba	father
bákannáà	ayrıca	likewise
bálè	balon	lying on the ground
bárakú	bağımlılık	habitual
báyìí	şimdi	this
bèrẹ̀	ile başlamak	started
béè	aynen böyle	than
bòtswánà	otobus	botswana
búburú	kötü	bad
búrú	cesur ol	wicked
bẹ̀rẹ̀	başlamak	started
bẹ́	kırdı	also
bẹ́ljíọ̀m	beril	belgium
bẹ́ẹ̀ni	evet	yes
bẹ́ẹ̀sìni	evet	that is it
cairo	öfke	cairo
calabar	sakız	calabar
canaria	canaria	canaria
cape	pelerin	cape
casablanca	casablanca	casablanca
caslon	kumarhane	caslon
cathedral	katedral	cathedral (katidral)
catherine	catherine	catherine
cauchy	cauchy	cauchy
cbc	cbc	cbc
chamorro	çamorro dili	chamorro
charles	charles	charles
chaskalson	chaskalson	chaskalson
chebbi	düşünmek	chebbi
cherished	aziz	mu lokunkundun
china	çin	china
cipollone	cipollone	cipollone
clear	açık	danmanran
code	kod	code
coetsee	coetsee	coetese
coloured	renkli	alawo dudu
coming	gelecek	yo jade
compared	karşılaştırıldığında	does not directly translate
computers	bilgisayarlar	komputa, ero ayarabiasa
csto	kgaö	csto
ct	ct	ct
cunha	boğaz	cunha
da	ve	back; but in this form it is unnecessary
dagbasoke	büyümek	developing
dandan	zorunlu	a must
dani	tutma	hand-held
darapo	katılmak	joinedd
daru	yıkmak	scattered
dates	tarih	pada si
delhi	yapma	delhi
denver	denver	denver
des	des	des
describes	açıklar	se apejuwe (apejuwe=description; se prefix makes it a verb)
desmond	desmond	desmond
development	gelişme	idagbasoke
didagba	eşitlik	growing
didasile	kuruluş	established
different	farklı	iyato
din	kızartmak	reduced
dinwoju	yukarı bak	suitable
divoire	divoire	d'ivoire
doju	yüz yüze	face
dojú	yüz yüze	turn face (full phrase is doju ko, to face)
dominic	dominic&#39;i	dominic
doni	doni	this day
dote	dote	rebel
doublehelix	çift sarmal	hiliksi abara meji
doublestrand	doublestrand	double-strand
dover	dover	dova
du	du	hustle
due	nedeniyle	nitori
dun	lezzetli	sound
dàbíi	bunun gibi	like
dàpò	onları değiştir	mix
dá	oluşturulan	intervene
dágbó	ihtiyarlık	forest
dájó	peki	pass judgement
dálóríi	teşekkür ederim	about
dáradára	iyi	well
dásà	bir casa	peculiar way of saying
dáwó	bağışlamak	undertake
dé	geldi	reach
délànà	prensip olarak	delana
dépò	ölçüde	to a position
dì	tabaka	be
dìde	ortaya çıkmak	stand
dìró	sağda	hang on
dìtẹ̀	bir gizli anlaşma	rebel
díè	gergin	few
dóko	iyi	upstanding
dólà	iyi	dollar
dún	ses	sound
dúró	durmak	stand (been in existence)
dọ́gba	eşit	equal
ea	evet	ea
eba	eba	shore
ebi	aile	family
ecomog	ecomog	ecomog
ede	dil	language
efrem	effem	efrem
egba	kesinlikle	cane
egbe	tabanca	group
egberundun	bin yıl	a thousand year
egbo	bir yara	brother
egbé	vah	party
egbò	bir yara	chemicals
egbògi	tıbbi	don't know this
eighteen	onsekiz	ejidinlogun
eka	karmaşık	branch, department, part
ekeji	diğeri	second
eko	eğitim	lagos
elede	domuzlar	speaker
eleyi	bu	this
eleyii	bunun gibi	this
elláda	oluşturma	ellada
eléde	öz	pig
eléré	atlet	performer
elòmírà	biberler	freedom
elòmíràn	bir diğeri	another person
emerging	gelişmekte olan	ibere-pese
emmanuel	emmanuel	emmanuel
enikéni	herkes	whoever
enter	giriş	wole
enì	fil	person
eníbá	ateş	such person
epa	fıstık	groundnut
ernst	ernst	ernst
erofo	tortu	swamp
erékùsù	ada	island
eréonítàn	kısaltması	written play
eseese	diyagram	step by step
esia	geliyor	asia
esteri	esterleştirilen	ester
etisalat	etisalat	etisalat
etymologiae	etymologiae	etymologiae
etíòkun	sahil	beach
euro	euro	euro
euroasia	euroasia	uro-esia
ewe	yaprak	ewe
ewé	yaprak	leaf
ewì	şiir	traditional poem
example	misal	apere
eya	kategori	tribe
eyin	yumurtalar	previous
eyonomba	eyonomba	digit
eléja	balık tutma	fisherman
elòmíràn	başkası	another person
eka	etki	branches
eléyàmèyà	etnik köken	tribalism
enu	ağız	mouth
esin	din	horse
esè	gelir	leg
ewà	davranış	beauty
fagile	iptal edildi	cancel
fail	başarısız	padanu
fan	yelpaze	spread
faramó	bağlı olmak	accept
faranse	fransızca	french
farsi	arti	farsi
felifeli	kadife	fuming
ferde	ferde	verde
fesèmúlè	geçici kaynak	established
fe	aranan	want
fi	kayıt etmek	by
fifihan	gösteren	revealed
fihan	belirtilen	shows, to show
fimú	keskin bir şekilde tanımlanmış	captivate with
finiki	fizik	finiki
finlandi	finlandiya	finland
fitino	deneme	judgement
five	beş	marun
fodio	fodio	fodio
fofinde	yasaklama	prohibited
fohùn	bağırmak	consent
foniimu	film	phoneme
force	güç	agbara
foriko	örneğin	agreed
fourbase	fourbase	onidi-merin
fowobowe	rezervasyon	signed
fowó	para için	sign
fracmv	fracmv	does not translate
francis	francis	francis
fransi	fransızca	france
freetown	freetown	freetown
fuji	kaldırmak	fuji
fulani	korkakça	fulani
fulbe	ful	fulbe
fun	için	for
funra	kendisi	suspect
further	daha ileri	si
fé	fé	like
fé	fé	want
fégbé	unut gitsin	for peers
fífò	uçan	jumping
fífún	vererek	giving
fòye	anlama	rationalise
fẹ́rẹ̀ẹ́	neredeyse	nearly
galatia	bu zaman	galatia
gba	katılıyorum	accept
gbajúgbujà	çok popüler	popular
gbale	popülerlik	flourished
gbaná	fırlatmak	engulf in flame/rage
gbe	taşımak	set up
gbera	devam et	move
gberasoke	hızlandırmak	rising
gbese	borç	debt
gbigbamulo	istismar	adopted
gbigbewo	finansman	examined
gbilè	çıkmak	gaining ground
gbin	ekili	farm
gbogbogbo	genel	general
gbongbo	kök	root
gbàgbọ́	inanmak	believe
gbàgùrà	salladı	gbagura
gbá	parçalamak	received
gbáradì	kalkmak	prepare
gbé	canlı	convey
gbédìí	kurmak	respect
gbékalè	marangoz	establish
gbéni	canlı	lift
gbéyèwò	gözden geçirmek	examine
gbésè	teklif	die
gbìnyànjú	deneyin	endeavour
gbìyànju	çok dene	try
gbódò	zorunlu	must
gbónmisi	yasa	strife
gbúnùn	kokla	hostile
gbọ́dọ̀	zorunlu	must
geesi	ingilizce	english
geneva	cenevre	geneva
genevieve	genevieve	genevieve
georgia	gürcistan	georgia
german	almanca	german
gfaj	gfaj	gfaj
ghana	gana	ghana
gidigidi	çok	significantly
gidí	ev	real
goemai	goemai	goemai
gomina	vali	governor
gorgina	kartal	gorgina
gquadruplex	g-dörtlüsü	g-gigalonomerin
grammy	müzik ve sahne sanatları ödülü	grammy
griiki	yunan	greek
groove	oluk	iho
guanínì	guanni	guanine
guinea	gine	guinea
guineabissau	gine-bissau	guinea bissau
guinébissau	guinébissau	guinea bissau
gun	uzun	stretch
gunle	tabanca	arrive
guusu	güney	south
gv	gv	gv
gèésì	tutkal	english
gèésì	mücevher	english
gégé	gerçekten mi	like
gírámà	dede	grammar
gòkè	yukarı git	climb
gún	delinmiş	properly
gúúsù	güney	south
gẹ̀ẹ́sì	ingilizce	english
habsburg	habsburg	habsburg
haggai	kılavuz	haggai
haiti	haiti	haiti
halomonadaceae	halomonadaceae	halomonadaceae
hard	zor	lile
haughton	haughton	haughton
hausafulani	hausafulani	hausa fulani
hawaii	hawaii	hawaii
heinrich	heinrich	heinrich
hendu	şeker	hendu
henny	henny	henny
heraklion	heraklion	heraklion
hesse	kabul	hesse
him	onu	un, this term is sexless
hindu	hindu	hindu
histoni	histoni	histones
hominidae	hominidae	hominidae
hosea	eski ahitte geçen ikinci derecedeki peygamber	hosea
hp	hp	hp
hugh	hugh	hugh
hun	hun	knit
hungari	açlık	hungary
hv	hv	hv
ibalo	mesele	relationship
ibarepo	bağlantı	friendship
ibeji	ikizler	twins
ibewo	geldi	visit
ibiamusin	barınak	colony
ibile	geleneksel	municipality
ibimo	doğum	birth
ibise	egzersiz yapmak	official
ibiti	yerler	where
ibn	ibn	ibn
ibojì	mezar	burial ground
ibori	duvak	conquest
ibujoko	bank	place of abode
ibuseripadabosi	geri ödeme	eternity
ibuso	kavga etmek	bus stop
ibùdó	kamp	settlement, seat of, area,
ibùjókòó	oturma	settlement
iceland	i̇zlanda	iceland
idagbasoke	gelişme	development
idagbe	ihmal	isolation
idaji	yarım	half
idajo	adalet	judgement
idamita	çizmek	sector
idari	kontroller	control
ideraa	yazmak	comfort
idimule	tutuklamak	establishment
idoma	çizim	idoma
idupe	teşekkür ederim	thanksgiving
idánwò	deneme	examination
ifija	balık tutma	weapon
ifilole	başlatmak	resolution
ifitonileti	bilgi	reporting
ifobaje	bozulma	coronating
ifofinde	kongre	prohibition
ifriqiya	uyarım	ifriqiya
igbeduro	hazırlık	institute
igbegun	zafer	declaration of war
igberiko	banliyö	region
igbesoke	yükselt	upliftment
igbeyawo	düğün	marriage
igbowolori	pahalı	inflation
igbá	tavuk	shell
igbáẹ̀yìn	sonuncu	shell
igitòròmogbè	geniş bant	willow tree
ihan	görünmek	ray
ihinrere	müjde	gospel
ijagun	kavga	war
ijakadi	mücadele etmek	wrestling
ijaya	panik	fear
ije	hareket	eating
ijinnasi	fizik	the wind open
ijosin	ibadet	worship
ijó	dans	dance
ikan	bir	one of
ikandinlogun	onsekiz	nineteen
ikaowo	saygı	finger
ikejidinlogun	onsekiz	eighteen
ikeko	derleme	education
ikerin	dördüncü	fourth
iketa	miras	third
ikoenu	kaydetmek	union
ikojopo	birikim	collection
ikoreokere	hasat	migration
iku	ölüm	death
ikúgbaèyí	şimdi	death-has-this
ikún	dolgu	squirrel or wild rodent
ilagbolojo	tanıtım	latitude
ilana	prosedür	procedure
ilanaoye	stratejiler	knowledge procedure
ilaodo	korumak	cana
ilaorun	gündoğumu	west
ileasofin	yasama	house of law,
ilegiga	ev	higher ground or higher plain
ileife	ihmal	ile-ife
ileigbimo	razı olmak	house of assembly/congress
ileobaluaye	dünya	high chief
ileru	fırın	volcanic
ilopo	çift	times
iluoba	vatandaşlık	king's town
iluorilejoba	küreselleşme	capital city
ilé	ev	house
iléayé	ev	earth
iléisé	ev	workplace
ilélódò	ev	ile-lodo
iléàtèéré	ev	ile-ateere
iléńlá	avlu	ile-nla (area)
ilẹ	zemin	land
ilẹ̀ayé	dünya	the world
iminle	tutuklamak	earthquake
imoero	hafifletme	engineering
imojuto	bakım	protection
imusin	çizmek	colony
imú	burun	nose
imúnisìn	temizlik	slavery
inagberingberi	fıstık ezmesi	electromagnetic force
indeed	aslında	paapa julo
indus	endüstri	indus
inkosi	haklı göstermek	inkosi
integration	bütünleşme	ifowosowopo
inágbéringbérin	on yedi	electromagnet
iní	miras	possession
inúnibíni	zulüm	hatred
ioja	balık	fight
ioniani	muhtaç	ionian
iowa	yeryüzünde	iowa
ipare	karartmak	abolition
ipawo	kullanımları	income
ipele	seviye	stage
ipin	bölüm	share
ipinpa	katılım	arm of, branch of
ipinu	karar	determination
ipo	yer	position
ipá	güç	effort
iraja	şok edici	bargaining
iranlose	yardım	mission
ire	satış	you
irele	tevazu	irele
iringa	sarmak	iringa
irisi	görünüm	appearance
irorun	çok basit	convenient
irò	söylenti	iro
irúnmọlẹ̀	şimşek	apparition
isa	yeter	jesus, isa or yisa is hausa language
isare	hızlanma	track race
isedaniloro	kendinden kuşku duyma	terrorism
iseero	izlemek	engineering
isejoba	yönetim	governance
iseoba	onbeş	civil service
iseoroayeijoun	arkeoloji	archaeology
iseowo	iş	business
isepinpin	dağıtım	division
iso	gelmek	unit
isoponomba	isoponomba	addition of numbers
isun	akış	spring
isesi	teslim	conduct
isè	hizmet	occupation
itali	i̇talyan	italy
itanakole	hikaye	ancient
itelentele	açıkça	coming after
itiraka	mücadele etmek	effort
itobi	övünmek için	size
itokowo	iş	economy
itorawo	liberal	astrology
itu	atmak	solution
itumo	anlamı	meaning
iwadi	araştırma	research
iwasi	etkilemek	behaviour
iwifun	bilgi	report
iwoile	ev	entering
iwosan	iyileştirme	healing
iwulo	kullanışlı	use
iwuwa	uygulama	behaviour
iyan	kıtlık	argument
iyato	fark	difference
iyawo	gelin	wife
iyen	yani	that
iyán	köpüklü	pounded yam
iḷẹ̀	iş	land
iṣẹ́ìwádìí	araştırma	research
jabo	bildiri	give account
jackson	jackson	jackson
jadide	tut	emerge
jagbe	kaybol	shout
jalè	çalınması	steal
jamaica	youtube	jamaica
jamo	çekip gitmek	link
jawaharlal	salıncaklar	jawaharial
jeffrey	jeffrey	jeffrey
jeometri	geometri	geometry
jesu	isa	jesus
jfk	jfk	jfk
jije	olmak	existing as
jijinna	irak	distance
jiròrò	sisli	dialogue
jo	sızıntı	days
jogun	miras	inherit
johann	cehennem	johann
johanu	afedersiniz	john
jojo	çatlak	great extent
jopò	katıl	gathered
jo	john	resemble
juneau	juneau	juneau
jàgídíjàgan	şiddetli	violent
jáde	dışarı gel	out
jé	gel	is
jéésù	isa	jesus
jìnnàa	irak	further
jíje	olmak	eating
jíjuwó	para kazanmak	waving hands
jíjéomoléyìnkírísítì	hayırsever olarak	followers of christ
jùlo	daha fazla	most
jùlo	özellikle	most
jùló	en çok	most
jẹ́mánì	almanca	germany
jọ́	lütfen	together
kadara	varlık	destiny
kagera	böbürlenen	kagera
kakiri	iz	all over
kalinga	cinga	kalinga
kalẹ	kenara koymak	established
kampala	toka	kampala
kan	bir	one
kankan	yok	any
kanlè	kanal	established
karbonumarun	thecentricane	5 carbon
karl	karl	karl
karun	beşinci	fifth
karùún	beşinci	fifth
kebbi	ayarlanabilir	kebbi
kekere	küçük	lower
keko	okur yazar	learn
kept	tuttu	fi pamo
khoisan	kalitesiz	khoisan
ki	öyle de	not
kiakiajulo	en hızlı	rapidly
kiko	getiren	gathering
kikojo	derleme	gathering
kikopomo	sıcaklık	mixed
kikoso	hızlı	colonised
kiko	öğrenme	making
kikuninu	hayal etmek	size
kilhar	koltuk altı	kilhar
kinkinni	küçük şey	small quantity
ko	veya	don't
kodò	altında	bow
koidu	koidu	koidu
kojá	çapraz	pass
kolo	kolo	going
komputa	bilgisayar	computer
kong	kong	kong
kongo	prezervatif	congo
kookan	bu	one
koto	yem	pit
koko	öğrenme	make heap
ko	ko	learn
kori	daha fazla yok	not found
krio	krio	krio
ku	sen	remain
kwara	ele alinan	kwara
kàríbẹ́ánì	bölgede	carribean
kàyéfì	merak etmek	amazement
ká	nın-nin	we
kánfinkése	marifet	prolonged
kánádà	elbette	canada
káyé	dünya	world
kéesì	saçma	keesi
kékéèké	küçük	small
kétu	hazır ol	ketu
kémíkà	aksine	chemical
kéyìn	sonra	come after,
kìnní	ilk	first
kí	selamlamak	not
kíko	ders çalışıyor	written
kíkọ́	öğrenmek	learning
kínu	öpüşmek	greet
kírísìtì	noel	christ
kòjòkú	yağmur	kojoku
kòkó	fare	cocoa
kòmpútà	bilgisayar	computer
kòtò	bir çukur	pit
kòòsí	o değil	coaching
kòòkan	her biri	each
kógo	şan	glorious
kóra	toplamak	participate
kùkú	hepsinden sonra	eventually
kùrání	kuran	quran
kúkú	hepsinden sonra	now
kúkúrú	kısaca	short
kúrò	uzakta	away
kútò	her şey	kuto (place)
kúùkù	aksine	punches; expression meaning 'by force' (ti pa ti kuuku)
kẹrin	dördüncü	4
kẹsàán	derhal	ninth
kẹta	üçüncü	third
kẹ́nyà	ayırma	kenya
kọjá	geçmek	pass through
kọ̀mpútà	bilgisayar	computer
kọ́kọ́	ilk	first
kọ́lọ́mú	sütunlar	breast owner
kọ́ni	eksiklik	teach
laa	çekip gitmek	will
laada	atmak	good fortune
laaka	tersine çevirmek	important
laarin	içinde	between
labalaba	kelebek	butterfly
labee	altında	under
lade	gemiye yüklemek	crowned
laid	koydu	tele
laifi	hata	without
languages	diller	ede
lanka	lanka	lanka
lasile	serbest bırakmak	laid out
latibe	buradan	from there
latigbana	o zamandan beri	from then on
latini	latince	latin
latvia	letonya	latvia
lay	lay	da
le	yapabilmek	can
leboa	lebo	leboa
lekun	yoğunlaştı	open door
leo	aslan burcu	leo
lese	i̇leti	firmly
less	az	okeresi
lewaju	ileriye	front
lewon	hapis cezası	imprisonment
leyi	işte burada	mispelled...should be 'leyin', after
leè	mayıs	can
lilelile	hardcore	tightly
lilemo	kenevir	sticky
lilongwe	lilongwe	lilongwe
lindi	kül suyu	lindi
linear	doğrusal	dogba
links	bağlantılar	eka; this is a new word and does not really exist in yoruba
lodo	yer almak	from
lojowaju	gelecekte	the future
lojukokoro	açgözlü	covetousness
lojúgun	tahrip etti	knee
lokunkun	enerjik	in the dark
loloselu	politik olarak	in politics
lopolopo	çok	so many
loruko	isim	name
louvre	panjurlu pencere	louvre
lovers	aşıklar	awon olufe
low	düşük	diye
lo	devam et	than
luanda	luanda	luanda
luther	luther	luther
lynton	lynton	lynton
làgba	eşit	more important
lààmi	işaret	sign
lààmì	işaretler	significant
lábé	ağırlık	under
láfún	verilmiş	cassava food
láimo	olmadan	unknown
láké	yüksek sesle	in ake
lámọ́di	servet	lamodi
lápá	bölüm	from
lára	canını yakmak	part of
lárúbáwá	doğal	arabic
láì	olmadan	without
láíláí	asla	old
lèe	yapabilmek	can
lèyìn	sonradan	after
lédè	dilde	language
léebá	tesadüfen	catch up with it
lérìnín	kar	erin=laughter; the prefix 'l' is possesive
lérò	neden	thought
léyin	sonradan	after
léyìn	sonra	after
lérú	kölelik	enslave
lílo	istismar	using
lísa	hızlanma	a chieftaincy title
lítésò	sızlatan	literature
lóde	dışarıda	modern
lópez	nipez	lopez
lópó	dul	widow
lórì	liman	on the head
lóríba	bitmiş	subdue
lóti	çok	have
lóòótò	evet	truly
lóòótọ́	aslında	truly
ló	ló	to
lónà	yolda	in a way
lórò	yarın	become wealthy
lọndọnu	londra	london
lọ́dọọdún	yılda	yearly
lọ́jà	piyasada	in the market
maapu	harita	map
madeira	beira	madeira
mahatma	mahatma	mahatma
makedonia	makedonya	macedonia
malabo	bal	malabo
malay	varsayılır	malay
malayopolynesian	malayopolynesian	malayo-polynesian
malaysia	malezya	malaysia
mali	gün	mali
mango	mango	mango
manˈdeːla	mandelala	mandela
marcellus	marcellus	marcellus
march	mart	march
marku	bu zaman	mark
mars	mars	mars
maryland	maryland	maryland
maseru	kıskançlık	don't be slave
matheu	matheu	matthew
mathiew	mathiew	mathiew
mathimatiki	matematiksel	mathematics
max	maksimum	max
maya	hayır	maya
mbabane	olumsuz	mbabane
means	anlamına geliyor	ona (way)
mediteraneani	akdeniz	mediterranean
mefeefa	bakım	all six
mejidinlogbon	yirmi sekiz	twenty eight
mejila	on iki	twelve
meksiko	meksika	mexico
melo	kaç	some
member	üye	ara
mercosur	mercosur	mercosur
merin	dört	four
methodologies	metodolojiler	anaoniruuru
metropoli	metropoli	metropolis
meucci	meucci	meucci
mewar	mewar	mewar
mexico	meksika	mexico
michelle	michelle	michelle
micronesia	mikronezya	micronesia
miiràn	rahatlatma	another
mimoy	mimoy	mimoy
mimuwa	yapışan	import
minnesota	minnesota	minnesota
minority	azınlık	awon ara kekere
mohandas	mohandas	mohandas
mokaleladota	kompakt	51, (mokanleladota)
mokanlelogbon	otuz iki	thirty-one
mombasa	mombasa	mombasa
monrovia	monrovia	monrovia
morgan	morgan	morgan
morogoro	otomobil	morogoro
mozambique	mozambik	mozambique
mozilla	mozilla	mozilla
mtn	mtn	mtn
mtwara	tekrar seç	mtwara
mughal	ses	mughal
mulẹ̀	kurmak	establish
munispal	munispal	municipal
muungano	muungano	muungano
májèmú	aldırma	testament
mère	çizim	significant
méjèèjì	her ikisi de	the two
mérindíláàdóta	elli beş	forty-six
méte	beş	lip
mérìndínlógún	on altı	sixteen
mérìnlélógójì	kırkdört	44
méta	üç	three
métèètà	marangoz	the three
méwàá	on	ten
ménu	sence	verbally contribute; complete phrase= me nu ba
mímọ́	kutsal	holy
míràn	bir diğeri	other
míìrán	bir diğeri	other
mííràn	bir diğeri	other
mò	bilgi	know
mókólà	tutkal	mokola
móra	çare	with themselves
mó	m	with
múlẹ̀	dayan	select land (farmland)
mẹ́fà	altı	6
mẹ́rkúríù	fare	mercury
mẹ́ta	üç	3
mẹ́talọ́kan	üçlü	trinity
namibia	gelmek	namibia
nathaniel	nathaniel	nathaniel
nato	nato	nato
nawojulo	şaşırtıcı	highest-spending
nawó	paranı al	point finger
ncnc	ncnc	ncnc
nebraska	nebraska	nebraska
nefimu	nephim	nefimu
neptune	neptün	neptune
nevis	nevis	nevis
ngbero	planlı	planning
ngubengcuka	ngubengcuka	ngubengcuka
nibe	orada	there
nibere	erken	earlier
nigbakan	ara sıra	at one time
nigbà	sonra	when
nijẹr	nike	niger
nilè	buraya	remaining
nisinyi	şimdi	at present
nitoriidieyi	bu nedenle	because of this
nitoripe	çünkü	because
nitosi	yakında	nearby
niwaju	önde	in front of
niyato	ayırmak	unlike
niye	yeter	in number
niyi	işte burada	these
nkan	şey	things
nkàn	kanser	something
nnaji	amca dayı	nnaji
nobel	nobel	nobel
nombamewa	çoğaltan	decimal
nombáméjì	ilk iki	two-number
novo	novo	novo
nri	gıda	nri
nse	dizayn	acting
nso	yakın	saying
nsolaboraro	güvenlik	nso laboraro
nsowikipedia	obowikipedia	saying
ntoka	nokta	indicates
nu	temiz	in
nukleotidi	nükleotit	nucleotides
nukleotidipupo	nükleotit	cell
numeri	uyuşma	numbers
nwa	bebek	drill
nàìjíríà	nijerya&#39;da	nigeria
náwo	gider	spend money
náà	çok	that
nì	dağ	is
nìnú	afedersiniz	in
nìyí	budur	this is
ní	sahip olmak	on
níbè	orada	there
níbè	orada	there
nífẹ̀ẹ́	sevmek	love
nígbàtí	ne zaman	when
nílè	altında	on the ground
nílùú	şehirde	in the town
nílẹ̀	yerde	in the land
nínlá	harika	large
nínu	şans	in
níní	sahip olmak	having
nípà	en azından	by
