aajo	હાસ્યાસ્પદ	hospitality
emmanuel	ઇમેન્યુઅલ	emmanuel
enikéni	દરેક	whoever
enter	દાખલ કરો	wole
enì	હાથી	person
eníbá	તાવ	such person
epa	મગફળી	groundnut
ernst	અર્નેસ્ટ	ernst
erofo	કાંપ	swamp
erékùsù	ટાપુ	island
eréonítàn	ટૂંકું નામ	written play
eseese	આકૃતિ	step by step
esia	આવી રહ્યું છે	asia
esteri	એસ્ટરિ	ester
etisalat	એટિસાલટ	etisalat
etymologiae	વ્યુત્પત્તિશાસ્ત્ર	etymologiae
etíòkun	કિનારો	beach
euro	યુરો	euro
euroasia	યુરોએશિયા	uro-esia
ewe	પર્ણ	ewe
ewé	પર્ણ	leaf
ewì	કવિતા	traditional poem
example	ઉદાહરણ	apere
eya	વર્ગ	tribe
eyin	ઇંડા	previous
eyonomba	eyonomba	digit
eléja	માછીમારી	fisherman
elòmíràn	અન્ય કોઈ વ્યક્તિ	another person
eka	અસર	branches
eléyàmèyà	વંશીયતા	tribalism
enu	મોં	mouth
esin	ધર્મ	horse
esè	આગળ વધે છે	leg
ewà	આચાર	beauty
fagile	રદ	cancel
fail	નિષ્ફળ	padanu
fan	ચાહક	spread
faramó	વળગી રહેવું	accept
faranse	ફ્રેન્ચ	french
farsi	આરતી	farsi
felifeli	મખમલ	fuming
ferde	ઘાટ	verde
fesèmúlè	કામચલાઉ સ્ત્રોત	established
fe	ઇચ્છતા	want
fi	સાચવો	by
fifihan	દર્શાવે	revealed
fihan	સંકેત	shows, to show
fimú	તીવ્ર વ્યાખ્યાયિત	captivate with
finiki	ભૌતિકશાસ્ત્ર	finiki
finlandi	ફિનલેન્ડ	finland
fitino	અજમાયશ	judgement
five	પાંચ	marun
fodio	fodio	fodio
fofinde	પ્રતિબંધ	prohibited
fohùn	ચીસો પાડવી	consent
foniimu	ફિલ્મ	phoneme
force	બળ	agbara
foriko	દાખ્લા તરીકે	agreed
fourbase	ફોરબેઝ	onidi-merin
fowobowe	બુકિંગ	signed
fowó	પૈસા માટે	sign
fracmv	fracmv	does not translate
francis	ફ્રેન્કિસ	francis
fransi	ફ્રેન્ચ	france
freetown	ફ્રીટાઉન	freetown
fuji	દૂર કરો	fuji
fulani	કાયર	fulani
fulbe	ફુલ	fulbe
fun	માટે	for
funra	પોતે	suspect
further	આગળ	si
fé	fé	like
fé	fé	want
fégbé	તે ભૂલી જાઓ	for peers
fífò	ઉડતી	jumping
fífún	આપવી	giving
fòye	સમજવું	rationalise
fẹ́rẹ̀ẹ́	લગભગ	nearly
galatia	આ સમયે	galatia
gba	સંમત	accept
gbajúgbujà	ખૂબ જ લોકપ્રિય છે	popular
gbale	લોકપ્રિયતા	flourished
gbaná	ગોળીબાર	engulf in flame/rage
gbe	વહન	set up
gbera	આગળ વધો	move
gberasoke	ઝડપ કરવી	rising
gbese	દેવું	debt
gbigbamulo	શોષણ	adopted
gbigbewo	ધિરાણ	examined
gbilè	ફાટવું	gaining ground
gbin	વાવેતર	farm
gbogbogbo	સામાન્ય	general
gbongbo	રુટ	root
gbàgbọ́	માને છે	believe
gbàgùrà	ધ્રુજારી	gbagura
gbá	સ્મેશ	received
gbáradì	ઉભા થાઓ	prepare
gbé	જીવંત	convey
gbédìí	સ્થાપિત કરો	respect
gbékalè	સુથાર	establish
gbéni	જીવંત	lift
gbéyèwò	સમીક્ષા	examine
gbésè	ઓફર	die
gbìnyànjú	પ્રયાસ કરો	endeavour
gbìyànju	સખત પ્રયત્ન કરો	try
gbódò	જ જોઈએ	must
gbónmisi	કાયદો	strife
gbúnùn	તે ગંધ	hostile
gbọ́dọ̀	જ જોઈએ	must
geesi	અંગ્રેજી	english
geneva	જીનીવા	geneva
genevieve	ઉત્પન્ન	genevieve
georgia	જ્યોર્જિયા	georgia
german	જર્મન	german
gfaj	gfaj	gfaj
ghana	ઘાના	ghana
gidigidi	ખૂબ	significantly
gidí	ઘર	real
goemai	ગોમેઇ	goemai
gomina	રાજ્યપાલ	governor
gorgina	ગરૂડ	gorgina
gquadruplex	gquadruplex	g-gigalonomerin
grammy	વ્યાકુળ	grammy
griiki	ગ્રીક	greek
groove	ખાંચો	iho
guanínì	ગ્વાની	guanine
guinea	ગિની	guinea
guineabissau	ગિનાબીસાઉ	guinea bissau
guinébissau	ગિનિબિસાઉ	guinea bissau
gun	લાંબી	stretch
gunle	બંદૂક	arrive
guusu	દક્ષિણ	south
gv	જી.વી.	gv
gèésì	ગુંદર	english
gèésì	મણિ	english
gégé	ખરેખર	like
gírámà	ખેંચાણ	grammar
gòkè	ઉપર જવા	climb
gún	વીંધેલા	properly
gúúsù	દક્ષિણ	south
gẹ̀ẹ́sì	અંગ્રેજી	english
habsburg	હેબ્સબર્ગ	habsburg
haggai	માર્ગદર્શન	haggai
haiti	હૈતી	haiti
halomonadaceae	હlલોમોનાડેસી	halomonadaceae
hard	સખત	lile
haughton	હગટન	haughton
hausafulani	હૌસાફુલની	hausa fulani
hawaii	હવાઈ	hawaii
heinrich	હેનરિક	heinrich
hendu	કેન્ડી	hendu
henny	મરઘી	henny
heraklion	હેરાક્લીઓન	heraklion
hesse	સંમત	hesse
him	તેને	un, this term is sexless
hindu	hindu	hindu
histoni	હિસ્ટોની	histones
hominidae	હોમિનીડે	hominidae
hosea	હોસીયા	hosea
hp	એચપી	hp
hugh	હ્યુ	hugh
hun	હં	knit
hungari	ભૂખમરો	hungary
hv	એચવી	hv
ibalo	પ્રણય	relationship
ibarepo	સંગઠન	friendship
ibeji	જોડિયા	twins
ibewo	આવી છે	visit
ibiamusin	અભયારણ્ય	colony
ibile	પરંપરાગત	municipality
ibimo	જન્મ	birth
ibise	વર્કઆઉટ	official
ibiti	સ્થાનો	where
ibn	ઇબન	ibn
ibojì	કબર	burial ground
ibori	પડદો	conquest
ibujoko	બેંચ	place of abode
ibuseripadabosi	વળતર	eternity
ibuso	લડવા માટે	bus stop
ibùdó	શિબિર	settlement, seat of, area,
ibùjókòó	બેઠક	settlement
iceland	આઇસલેન્ડ	iceland
idagbasoke	વિકાસ	development
idagbe	અવગણના	isolation
idaji	અડધા	half
idajo	ન્યાય	judgement
idamita	દોરો	sector
idari	નિયંત્રણો	control
ideraa	લખવુ	comfort
idimule	ધરપકડ	establishment
idoma	ચિત્ર	idoma
idupe	આભાર	thanksgiving
idánwò	અજમાયશ	examination
ifija	માછીમારી	weapon
ifilole	લોંચ	resolution
ifitonileti	માહિતી	reporting
ifobaje	ભ્રષ્ટાચાર	coronating
ifofinde	કોંગ્રેસ	prohibition
ifriqiya	ઉત્તેજના	ifriqiya
igbeduro	તૈયારી	institute
igbegun	વિજય	declaration of war
igberiko	પરા	region
igbesoke	સુધારો	upliftment
igbeyawo	લગ્ન	marriage
igbowolori	ખર્ચાળ	inflation
igbá	ચિકન	shell
igbáẹ̀yìn	ઍક્દમ છેલ્લુ	shell
igitòròmogbè	બ્રોડબેન્ડ	willow tree
ihan	દ્રશ્યમાન	ray
ihinrere	ગોસ્પેલ	gospel
ijagun	લડવા	war
ijakadi	સંઘર્ષ	wrestling
ijaya	ગભરાટ	fear
ije	ચળવળ	eating
ijinnasi	ભૌતિકશાસ્ત્ર	the wind open
ijosin	પૂજા	worship
ijó	નૃત્ય	dance
ikan	એક	one of
ikandinlogun	અ eighાર	nineteen
ikaowo	આદર	finger
ikejidinlogun	અ eighાર	eighteen
ikeko	સંકલન	education
ikerin	ચોથું	fourth
iketa	વારસામાં	third
ikoenu	સાચવી રાખવું	union
ikojopo	સંચય	collection
ikoreokere	લણણી	migration
iku	મૃત્યુ	death
ikúgbaèyí	હવે	death-has-this
ikún	ભરવું	squirrel or wild rodent
ilagbolojo	પ્રચાર	latitude
ilana	પ્રક્રિયા	procedure
ilanaoye	વ્યૂહરચના	knowledge procedure
ilaodo	રક્ષણ	cana
ilaorun	સૂર્યોદય	west
ileasofin	કાયદાકીય	house of law,
ilegiga	ઘર	higher ground or higher plain
ileife	અવગણના	ile-ife
ileigbimo	સંમતિ	house of assembly/congress
ileobaluaye	વિશ્વ	high chief
ileru	ભઠ્ઠી	volcanic
ilopo	ડબલ	times
iluoba	નાગરિકત્વ	king's town
iluorilejoba	વૈશ્વિકરણ	capital city
ilé	ઘર	house
iléayé	ઘર	earth
iléisé	ઘર	workplace
ilélódò	ઘર	ile-lodo
iléàtèéré	ઘર	ile-ateere
iléńlá	કોર્ટયાર્ડ	ile-nla (area)
ilẹ	જમીન	land
ilẹ̀ayé	પૃથ્વી	the world
iminle	ધરપકડ કરવા માટે	earthquake
imoero	લાઈટનિંગ	engineering
imojuto	કાળજી	protection
imusin	દોરો	colony
imú	નાક	nose
imúnisìn	સ્વચ્છતા	slavery
inagberingberi	મગફળીનું માખણ	electromagnetic force
indeed	ખરેખર	paapa julo
indus	indus	indus
inkosi	વાજબી ઠેરવવા	inkosi
integration	એકીકરણ	ifowosowopo
inágbéringbérin	સત્તર	electromagnet
iní	વારસો	possession
inúnibíni	દમન	hatred
ioja	માછલી	fight
ioniani	જરૂરિયાતમંદ	ionian
iowa	પૃથ્વી પર	iowa
ipare	નિસ્તેજ	abolition
ipawo	ઉપયોગ કરે છે	income
ipele	સ્તર	stage
ipin	પ્રકરણ	share
ipinpa	ભાગીદારી	arm of, branch of
ipinu	નિર્ણય	determination
ipo	સ્થાન	position
ipá	બળ	effort
iraja	આઘાતજનક	bargaining
iranlose	સહાય	mission
ire	વેચાણ	you
irele	નમ્રતા	irele
iringa	સમેટો	iringa
irisi	દેખાવ	appearance
irorun	ઘણું સરળ	convenient
irò	અફવા	iro
irúnmọlẹ̀	વીજળી	apparition
isa	પૂરતૂ	jesus, isa or yisa is hausa language
isare	પ્રવેગ	track race
isedaniloro	આત્મ-શંકા	terrorism
iseero	જુઓ	engineering
isejoba	શાસન	governance
iseoba	પંદર	civil service
iseoroayeijoun	પુરાતત્ત્વવિદ્યા	archaeology
iseowo	બિઝનેસ	business
isepinpin	વિતરણ	division
iso	આવે	unit
isoponomba	આઇસોપોંમ્બા	addition of numbers
isun	પ્રવાહ	spring
isesi	શરણાગતિ	conduct
isè	સેવા	occupation
itali	ઇટાલિયન	italy
itanakole	વાર્તા	ancient
itelentele	સ્પષ્ટ રીતે	coming after
itiraka	સંઘર્ષ	effort
itobi	બડાઈ મારવી	size
itokowo	બિઝનેસ	economy
itorawo	ઉદાર	astrology
itu	ફેંકવું	solution
itumo	અર્થ	meaning
iwadi	સંશોધન	research
iwasi	પ્રભાવિત કરો	behaviour
iwifun	માહિતી	report
iwoile	ઘર	entering
iwosan	રૂઝ	healing
iwulo	ઉપયોગી	use
iwuwa	પ્રેક્ટિસ	behaviour
iyan	દુકાળ	argument
iyato	તફાવત	difference
iyawo	કન્યા	wife
iyen	તે જ	that
iyán	સ્પાર્કલિંગ	pounded yam
iḷẹ̀	કામ	land
iṣẹ́ìwádìí	સંશોધન	research
jabo	અહેવાલ	give account
jackson	જેકસન	jackson
jadide	રાહ જુઓ	emerge
jagbe	ચાલ્યો જા	shout
jalè	ચોરી	steal
jamaica	યુ ટ્યુબ	jamaica
jamo	દૂર જાઓ	link
jawaharlal	સ્વિંગ્સ	jawaharial
jeffrey	જેફ્રે	jeffrey
jeometri	ભૂમિતિ	geometry
jesu	ઈસુ	jesus
jfk	jfk	jfk
jije	હોવા	existing as
jijinna	દૂર	distance
jiròrò	ધુમ્મસવાળું	dialogue
jo	લિક	days
jogun	વારસાગત	inherit
johann	નરક	johann
johanu	માફ કરશો	john
jojo	તિરાડ	great extent
jopò	માં જોડાવા	gathered
jo	જ્હોન	resemble
juneau	જૂનૌ	juneau
jàgídíjàgan	હિંસક	violent
jáde	બહાર આવ	out
jé	આવો	is
jéésù	ઈસુ	jesus
jìnnàa	દૂર	further
jíje	હોવા	eating
jíjuwó	પૈસા બનાવતા	waving hands
jíjéomoléyìnkírísítì	પરોપકાર તરીકે	followers of christ
jùlo	કરતાં વધુ	most
jùlo	ખાસ કરીને	most
jùló	સૌથી વધુ	most
jẹ́mánì	જર્મન	germany
jọ́	કૃપા કરીને	together
kadara	સંપત્તિ	destiny
kagera	શેખી	kagera
kakiri	ટ્રેસ	all over
kalinga	કિંગા	kalinga
kalẹ	કોરે સુયોજિત	established
kampala	હસ્તધૂનન	kampala
kan	એ	one
kankan	કંઈ નહીં	any
kanlè	કાનાલી	established
karbonumarun	સેન્ટ્રેકેન	5 carbon
karl	કાર્લ	karl
karun	પાંચમો	fifth
karùún	પાંચમો	fifth
kebbi	એડજસ્ટેબલ	kebbi
kekere	નાના	lower
keko	સાક્ષર	learn
kept	રાખવું	fi pamo
khoisan	ગૌણ	khoisan
ki	તો કરો	not
kiakiajulo	સહુથી ઝડપી	rapidly
kiko	લાવવું	gathering
kikojo	સંકલન	gathering
kikopomo	હૂંફ	mixed
kikoso	ઝડપી	colonised
kiko	શીખવાની	making
kikuninu	કલ્પના	size
kilhar	બગલ	kilhar
kinkinni	થોડી વસ્તુ	small quantity
ko	અથવા	don't
kodò	નીચે	bow
koidu	koidu	koidu
kojá	ક્રોસ	pass
kolo	કોલો	going
komputa	કમ્પ્યુટર	computer
kong	કાંગ	kong
kongo	કોન્ડોમ	congo
kookan	આ	one
koto	બાઈટ	pit
koko	શીખવાની	make heap
ko	ko	learn
kori	વધુ નહીં	not found
krio	ક્રિઓ	krio
ku	તમે	remain
kwara	સંબોધન	kwara
kàríbẹ́ánì	આ પ્રદેશમાં	carribean
kàyéfì	આશ્ચર્ય	amazement
ká	ની	we
kánfinkése	ચાતુર્ય	prolonged
kánádà	અલબત્ત	canada
káyé	દુનિયા	world
kéesì	હાસ્યાસ્પદ	keesi
kékéèké	નાના	small
kétu	તૈયાર રહેવું	ketu
kémíkà	.લટું	chemical
kéyìn	પછીથી	come after,
kìnní	પ્રથમ	first
kí	નમસ્કાર	not
kíko	અભ્યાસ	written
kíkọ́	શીખવુ	learning
kínu	ચુંબન	greet
kírísìtì	નાતાલ	christ
kòjòkú	વરસાદ	kojoku
kòkó	ઉંદર	cocoa
kòmpútà	કમ્પ્યુટર	computer
kòtò	એક ખાડો	pit
kòòsí	તે નથી	coaching
kòòkan	પ્રત્યેક	each
kógo	ગૌરવ	glorious
kóra	ભેગા	participate
kùkú	અંતમાં	eventually
kùrání	કુરાન	quran
kúkú	અંતમાં	now
kúkúrú	ટૂંકમાં	short
kúrò	દૂર	away
kútò	બધું	kuto (place)
kúùkù	.લટું	punches; expression meaning 'by force' (ti pa ti kuuku)
kẹrin	ચોથું	4
kẹsàán	તરત જ	ninth
kẹta	ત્રીજું	third
kẹ́nyà	અલગ	kenya
kọjá	પસાર	pass through
kọ̀mpútà	કમ્પ્યુટર	computer
kọ́kọ́	પ્રથમ	first
kọ́lọ́mú	કૉલમ	breast owner
kọ́ni	અભાવ	teach
laa	દૂર જાઓ	will
laada	લાત	good fortune
laaka	.લટું	important
laarin	અંદર	between
labalaba	બટરફ્લાય	butterfly
labee	નીચે	under
lade	લાડ	crowned
laid	નાખ્યો	tele
laifi	ખામી	without
languages	ભાષાઓ	ede
lanka	લંકા	lanka
lasile	પ્રકાશન	laid out
latibe	ત્યાંથી	from there
latigbana	ત્યારથી	from then on
latini	લેટિન	latin
latvia	લેટવિયા	latvia
lay	મૂકે છે	da
le	કરી શકો છો	can
leboa	લેબો	leboa
lekun	તીવ્ર	open door
leo	લીઓ	leo
lese	પોસ્ટ	firmly
less	ઓછું	okeresi
lewaju	આગળ	front
lewon	કેદ	imprisonment
leyi	તે અહિયાં છે	mispelled...should be 'leyin', after
leè	મે	can
lilelile	હાર્ડકોર	tightly
lilemo	ગાંજો	sticky
lilongwe	લિલોંગવે	lilongwe
lindi	lye	lindi
linear	રેખીય	dogba
links	લિંક્સ	eka; this is a new word and does not really exist in yoruba
lodo	સ્થાન લેશે	from
lojowaju	ભવિષ્યમાં	the future
lojukokoro	લોભી	covetousness
lojúgun	તેમણે તબાહી કરી	knee
lokunkun	શક્તિશાળી	in the dark
loloselu	રાજકીય રીતે	in politics
lopolopo	ઘણું	so many
loruko	નામ	name
louvre	લૂવર	louvre
lovers	પ્રેમીઓ	awon olufe
low	નીચા	diye
lo	પર જાઓ	than
luanda	લ્યુઆંડા	luanda
