aajo	chwerthinllyd	hospitality
dé	cyrraedd	reach
délànà	mewn egwyddor	delana
dépò	i&#39;r graddau	to a position
dì	cynfas	be
dìde	codi	stand
dìró	ar y dde	hang on
dìtẹ̀	cynllwynio	rebel
díè	amser	few
dóko	da	upstanding
dólà	wel	dollar
dún	sain	sound
dúró	i sefyll	stand (been in existence)
dọ́gba	cyfartal	equal
ea	ie	ea
eba	eba	shore
ebi	teulu	family
ecomog	ecomog	ecomog
ede	iaith	language
efrem	effem	efrem
egba	hollol	cane
egbe	gwn	group
egberundun	mil o flynyddoedd	a thousand year
egbo	clwyf	brother
egbé	gwae	party
egbò	clwyf	chemicals
egbògi	meddygol	don't know this
eighteen	deunaw	ejidinlogun
eka	cymhleth	branch, department, part
ekeji	y llall	second
eko	addysg	lagos
elede	moch	speaker
eleyi	hyn	this
eleyii	fel hyn	this
elláda	creu	ellada
eléde	haniaethol	pig
eléré	athletwr	performer
elòmírà	y gwymon	freedom
elòmíràn	un arall	another person
emerging	yn dod i&#39;r amlwg	ibere-pese
emmanuel	emmanuel	emmanuel
enikéni	pawb	whoever
enter	mynd i mewn	wole
enì	eliffant	person
eníbá	twymyn	such person
epa	cnau daear	groundnut
ernst	ernst	ernst
erofo	gwaddod	swamp
erékùsù	ynys	island
eréonítàn	acronym	written play
eseese	diagram	step by step
esia	yn dod	asia
esteri	esteri	ester
etisalat	etisalat	etisalat
etymologiae	etymologiae	etymologiae
etíòkun	yr arfordir	beach
euro	ewro	euro
euroasia	ewroasia	uro-esia
ewe	deilen	ewe
ewé	deilen	leaf
ewì	barddoniaeth	traditional poem
example	enghraifft	apere
eya	categori	tribe
eyin	wyau	previous
eyonomba	eyonomba	digit
eléja	pysgota	fisherman
elòmíràn	rhywun arall	another person
eka	effaith	branches
eléyàmèyà	ethnigrwydd	tribalism
enu	ceg	mouth
esin	crefydd	horse
esè	elw	leg
ewà	ymddygiad	beauty
fagile	wedi&#39;i ganslo	cancel
fail	methu	padanu
fan	ffan	spread
faramó	glynu wrth	accept
faranse	ffrangeg	french
farsi	arti	farsi
felifeli	melfed	fuming
ferde	ferde	verde
fesèmúlè	ffynhonnell dros dro	established
fe	eisiau	want
fi	arbed	by
fifihan	yn dangos	revealed
fihan	wedi&#39;i nodi	shows, to show
fimú	wedi&#39;i ddiffinio&#39;n sydyn	captivate with
finiki	ffiseg	finiki
finlandi	y ffindir	finland
fitino	treial	judgement
five	pump	marun
fodio	fodio	fodio
fofinde	gwahardd	prohibited
fohùn	gweiddi	consent
foniimu	ffilm	phoneme
force	grym	agbara
foriko	er enghraifft	agreed
fourbase	pedwarbase	onidi-merin
fowobowe	archebu	signed
fowó	am arian	sign
fracmv	fracmv	does not translate
francis	francis	francis
fransi	ffrangeg	france
freetown	freetown	freetown
fuji	tynnu	fuji
fulani	llwfr	fulani
fulbe	ful	fulbe
fun	canys	for
funra	ei hun	suspect
further	ymhellach	si
fé	fé	like
fé	fé	want
fégbé	ei anghofio	for peers
fífò	hedfan	jumping
fífún	rhoi	giving
fòye	deall	rationalise
fẹ́rẹ̀ẹ́	bron	nearly
galatia	y tro hwn	galatia
gba	cytuno	accept
gbajúgbujà	yn boblogaidd iawn	popular
gbale	poblogrwydd	flourished
gbaná	saethu allan	engulf in flame/rage
gbe	cario	set up
gbera	symud ymlaen	move
gberasoke	cyflymu	rising
gbese	dyled	debt
gbigbamulo	ecsbloetio	adopted
gbigbewo	cyllido	examined
gbilè	torri allan	gaining ground
gbin	plannu	farm
gbogbogbo	cyffredinol	general
gbongbo	gwraidd	root
gbàgbọ́	credu	believe
gbàgùrà	ysgydwodd	gbagura
gbá	torri	received
gbáradì	codi	prepare
gbé	byw	convey
gbédìí	sefydlu	respect
gbékalè	saer	establish
gbéni	byw	lift
gbéyèwò	adolygiad	examine
gbésè	cynnig	die
gbìnyànjú	ceisiwch	endeavour
gbìyànju	gweithio&#39;n galed	try
gbódò	rhaid	must
gbónmisi	deddf	strife
gbúnùn	arogli	hostile
gbọ́dọ̀	rhaid	must
geesi	saesneg	english
geneva	genefa	geneva
genevieve	genevieve	genevieve
georgia	georgia	georgia
german	german	german
gfaj	gfaj	gfaj
ghana	ghana	ghana
gidigidi	iawn	significantly
gidí	tŷ	real
goemai	goemai	goemai
gomina	llywodraethwr	governor
gorgina	yr eryr	gorgina
gquadruplex	gquadruplex	g-gigalonomerin
grammy	grammy	grammy
griiki	groeg	greek
groove	rhigol	iho
guanínì	guanni	guanine
guinea	gini	guinea
guineabissau	guineabissau	guinea bissau
guinébissau	guinébissau	guinea bissau
gun	hir	stretch
gunle	gwn	arrive
guusu	de	south
gv	gv	gv
gèésì	glud	english
gèésì	gem	english
gégé	a dweud y gwir	like
gírámà	grampiau	grammar
gòkè	mynd i fyny	climb
gún	tyllu	properly
gúúsù	de	south
gẹ̀ẹ́sì	saesneg	english
habsburg	habsburg	habsburg
haggai	canllaw	haggai
haiti	haiti	haiti
halomonadaceae	halomonadaceae	halomonadaceae
hard	caled	lile
haughton	haughton	haughton
hausafulani	hausafulani	hausa fulani
hawaii	hawaii	hawaii
heinrich	heinrich	heinrich
hendu	candy	hendu
henny	henny	henny
heraklion	heraklion	heraklion
hesse	cytunwyd	hesse
him	fe	un, this term is sexless
hindu	hindu	hindu
histoni	histoni	histones
hominidae	hominidae	hominidae
hosea	hosea	hosea
hp	hp	hp
hugh	hugh	hugh
hun	hun	knit
hungari	llwgu	hungary
hv	hv	hv
ibalo	carwriaeth	relationship
ibarepo	cymdeithas	friendship
ibeji	efeilliaid	twins
ibewo	wedi dod	visit
ibiamusin	cysegr	colony
ibile	traddodiadol	municipality
ibimo	genedigaeth	birth
ibise	ymarfer corff	official
ibiti	lleoedd	where
ibn	ibn	ibn
ibojì	beddrod	burial ground
ibori	gorchudd	conquest
ibujoko	mainc	place of abode
ibuseripadabosi	ad-daliad	eternity
ibuso	i ymladd	bus stop
ibùdó	gwersyll	settlement, seat of, area,
ibùjókòó	seddi	settlement
iceland	gwlad yr iâ	iceland
idagbasoke	datblygu	development
idagbe	esgeulustod	isolation
idaji	hanner	half
idajo	cyfiawnder	judgement
idamita	tynnu	sector
idari	rheolyddion	control
ideraa	i ysgrifennu	comfort
idimule	arestio	establishment
idoma	arlunio	idoma
idupe	diolch	thanksgiving
idánwò	treial	examination
ifija	pysgota	weapon
ifilole	lansio	resolution
ifitonileti	gwybodaeth	reporting
ifobaje	llygredd	coronating
ifofinde	gyngres	prohibition
ifriqiya	ysgogiad	ifriqiya
igbeduro	paratoi	institute
igbegun	buddugoliaeth	declaration of war
igberiko	maestrefol	region
igbesoke	uwchraddio	upliftment
igbeyawo	priodas	marriage
igbowolori	drud	inflation
igbá	cyw iâr	shell
igbáẹ̀yìn	yr un olaf	shell
igitòròmogbè	band eang	willow tree
ihan	i ymddangos	ray
ihinrere	efengyl	gospel
ijagun	ymladd	war
ijakadi	brwydro	wrestling
ijaya	panig	fear
ije	symudiad	eating
ijinnasi	ffiseg	the wind open
ijosin	addoli	worship
ijó	dawnsio	dance
ikan	un	one of
ikandinlogun	deunaw	nineteen
ikaowo	parch	finger
ikejidinlogun	deunaw	eighteen
ikeko	crynhoad	education
ikerin	y pedwerydd	fourth
iketa	i etifeddu	third
ikoenu	i achub	union
ikojopo	cronni	collection
ikoreokere	cynaeafu	migration
iku	marwolaeth	death
ikúgbaèyí	nawr	death-has-this
ikún	llenwi	squirrel or wild rodent
ilagbolojo	cyhoeddusrwydd	latitude
ilana	gweithdrefn	procedure
ilanaoye	strategaethau	knowledge procedure
ilaodo	amddiffyn	cana
ilaorun	codiad haul	west
ileasofin	deddfwriaethol	house of law,
ilegiga	adref	higher ground or higher plain
ileife	esgeulustod	ile-ife
ileigbimo	cydsyniad	house of assembly/congress
ileobaluaye	y byd	high chief
ileru	ffwrnais	volcanic
ilopo	dwbl	times
iluoba	dinasyddiaeth	king's town
iluorilejoba	globaleiddio	capital city
ilé	adref	house
iléayé	adref	earth
iléisé	adref	workplace
ilélódò	y tŷ	ile-lodo
iléàtèéré	adref	ile-ateere
iléńlá	cwrt	ile-nla (area)
ilẹ	ddaear	land
ilẹ̀ayé	y ddaear	the world
iminle	i arestio	earthquake
imoero	ysgafnhau	engineering
imojuto	gofal	protection
imusin	tynnu	colony
imú	trwyn	nose
imúnisìn	hylendid	slavery
inagberingberi	menyn cnau daear	electromagnetic force
indeed	yn wir	paapa julo
indus	indus	indus
inkosi	i gyfiawnhau	inkosi
integration	integreiddio	ifowosowopo
inágbéringbérin	dwy ar bymtheg	electromagnet
iní	etifeddiaeth	possession
inúnibíni	erledigaeth	hatred
ioja	pysgod	fight
ioniani	anghenus	ionian
iowa	ar y ddaear	iowa
ipare	pylu	abolition
ipawo	defnyddiau	income
ipele	lefel	stage
ipin	pennod	share
ipinpa	cyfranogiad	arm of, branch of
ipinu	penderfyniad	determination
ipo	lleoliad	position
ipá	grym	effort
iraja	ysgytiol	bargaining
iranlose	cymorth	mission
ire	gwerthu	you
irele	gostyngeiddrwydd	irele
iringa	lapio i fyny	iringa
irisi	ymddangosiad	appearance
irorun	syml iawn	convenient
irò	si	iro
irúnmọlẹ̀	mellt	apparition
isa	digon	jesus, isa or yisa is hausa language
isare	cyflymiad	track race
isedaniloro	hunan-amheuaeth	terrorism
iseero	gwylio	engineering
isejoba	llywodraethu	governance
iseoba	pymtheg	civil service
iseoroayeijoun	archeoleg	archaeology
iseowo	busnes	business
isepinpin	dosbarthiad	division
iso	i ddod	unit
isoponomba	isoponomba	addition of numbers
isun	llif	spring
isesi	ildio	conduct
isè	gwasanaeth	occupation
itali	eidaleg	italy
itanakole	stori	ancient
itelentele	yn blaen	coming after
itiraka	brwydro	effort
itobi	i brag	size
itokowo	busnes	economy
itorawo	rhyddfrydol	astrology
itu	taflu	solution
itumo	ystyr	meaning
iwadi	ymchwil	research
iwasi	argraff	behaviour
iwifun	gwybodaeth	report
iwoile	adref	entering
iwosan	iachâd	healing
iwulo	yn ddefnyddiol	use
iwuwa	ymarfer	behaviour
iyan	newyn	argument
iyato	y gwahaniaeth	difference
iyawo	briodferch	wife
iyen	hynny yw	that
iyán	pefriog	pounded yam
iḷẹ̀	gwaith	land
iṣẹ́ìwádìí	ymchwil	research
jabo	adroddiad	give account
jackson	jackson	jackson
jadide	dal gafael	emerge
jagbe	mynd ar goll	shout
jalè	lladrad	steal
jamaica	youtube	jamaica
jamo	ewch i ffwrdd	link
jawaharlal	siglenni	jawaharial
jeffrey	jeffrey	jeffrey
jeometri	geometreg	geometry
jesu	jesus	jesus
jfk	jfk	jfk
jije	bod	existing as
jijinna	bell	distance
jiròrò	niwlog	dialogue
jo	gollwng	days
jogun	etifeddwyd	inherit
johann	uffern	johann
johanu	sori	john
jojo	wedi cracio	great extent
jopò	ymuno	gathered
jo	john	resemble
juneau	juneau	juneau
jàgídíjàgan	treisgar	violent
jáde	dod allan	out
jé	dewch	is
jéésù	iesu	jesus
jìnnàa	bell	further
jíje	bod	eating
jíjuwó	gwneud arian	waving hands
jíjéomoléyìnkírísítì	fel dyngarwr	followers of christ
jùlo	yn fwy na	most
jùlo	yn enwedig	most
jùló	y mwyaf	most
jẹ́mánì	almaeneg	germany
jọ́	os gwelwch yn dda	together
kadara	ased	destiny
kagera	ymffrostgar	kagera
kakiri	olrhain	all over
kalinga	cinga	kalinga
kalẹ	rhoi o&#39;r neilltu	established
kampala	clasp	kampala
kan	a	one
kankan	dim	any
kanlè	kanal	established
karbonumarun	thecentricane	5 carbon
karl	karl	karl
karun	pumed	fifth
karùún	y pumed	fifth
kebbi	addasadwy	kebbi
kekere	bach	lower
keko	llythrennog	learn
kept	cadw	fi pamo
khoisan	israddol	khoisan
ki	felly hefyd	not
kiakiajulo	y cyflymaf	rapidly
kiko	dod	gathering
kikojo	crynhoad	gathering
kikopomo	cynhesrwydd	mixed
kikoso	yn gyflym	colonised
kiko	dysgu	making
kikuninu	dychmygwch	size
kilhar	cesail	kilhar
kinkinni	y peth bach	small quantity
ko	neu	don't
kodò	isod	bow
koidu	koidu	koidu
kojá	croes	pass
kolo	kolo	going
komputa	cyfrifiadur	computer
kong	kong	kong
kongo	condom	congo
kookan	hyn	one
koto	abwyd	pit
koko	dysgu	make heap
ko	ko	learn
kori	dim mwy	not found
krio	krio	krio
ku	ti	remain
kwara	rhoi sylw	kwara
kàríbẹ́ánì	yn y rhanbarth	carribean
kàyéfì	rhyfeddod	amazement
ká	o	we
kánfinkése	dyfeisgarwch	prolonged
kánádà	wrth gwrs	canada
káyé	byd	world
kéesì	chwerthinllyd	keesi
kékéèké	bach	small
kétu	bydda&#39;n barod	ketu
kémíkà	i&#39;r gwrthwyneb	chemical
kéyìn	yn ddiweddarach	come after,
kìnní	yn gyntaf	first
kí	cyfarch	not
kíko	astudio	written
kíkọ́	i ddysgu	learning
kínu	cusanu	greet
kírísìtì	nadolig	christ
kòjòkú	glaw	kojoku
kòkó	y llygoden	cocoa
kòmpútà	cyfrifiadur	computer
kòtò	pwll	pit
kòòsí	nid yw	coaching
kòòkan	pob un	each
kógo	gogoniant	glorious
kóra	ymgynnull	participate
kùkú	wedi&#39;r cyfan	eventually
kùrání	y koran	quran
kúkú	wedi&#39;r cyfan	now
kúkúrú	yn gryno	short
kúrò	i ffwrdd	away
kútò	popeth	kuto (place)
kúùkù	i&#39;r gwrthwyneb	punches; expression meaning 'by force' (ti pa ti kuuku)
kẹrin	y pedwerydd	4
kẹsàán	ar unwaith	ninth
kẹta	trydydd	third
kẹ́nyà	gwahanu	kenya
kọjá	pasio	pass through
kọ̀mpútà	cyfrifiadur	computer
kọ́kọ́	yn gyntaf	first
kọ́lọ́mú	colofnau	breast owner
kọ́ni	diffyg	teach
laa	ewch i ffwrdd	will
laada	cic	good fortune
laaka	cefn	important
laarin	o fewn	between
labalaba	glöyn byw	butterfly
labee	oddi tano	under
lade	lade	crowned
laid	gosod	tele
laifi	bai	without
languages	ieithoedd	ede
lanka	lanka	lanka
lasile	rhyddhau	laid out
latibe	oddi yno	from there
latigbana	ers hynny	from then on
latini	lladin	latin
latvia	latvia	latvia
lay	lleyg	da
le	can	can
leboa	lebo	leboa
lekun	dwysáu	open door
leo	leo	leo
lese	post	firmly
less	llai	okeresi
lewaju	ymlaen	front
lewon	carchar	imprisonment
leyi	dyma hi	mispelled...should be 'leyin', after
leè	gall	can
lilelile	craidd caled	tightly
lilemo	canabis	sticky
lilongwe	lilongwe	lilongwe
lindi	lye	lindi
linear	llinol	dogba
links	dolenni	eka; this is a new word and does not really exist in yoruba
lodo	yn digwydd	from
lojowaju	yn y dyfodol	the future
lojukokoro	barus	covetousness
lojúgun	ysbeiliodd	knee
lokunkun	egnïol	in the dark
loloselu	yn wleidyddol	in politics
lopolopo	llawer	so many
loruko	enw	name
louvre	louvre	louvre
lovers	cariadon	awon olufe
low	isel	diye
lo	ewch ymlaen	than
luanda	luanda	luanda
luther	luther	luther
lynton	lynton	lynton
làgba	cyfartal	more important
lààmi	arwydd	sign
lààmì	arwyddion	significant
lábé	pwysau	under
láfún	a roddir	cassava food
láimo	heb	unknown
láké	uchel	in ake
lámọ́di	ffortiwn	lamodi
lápá	rhan	from
lára	brifo	part of
lárúbáwá	y naturiol	arabic
láì	heb	without
láíláí	byth	old
lèe	can	can
lèyìn	wedi hynny	after
lédè	mewn iaith	language
léebá	gyda llaw	catch up with it
lérìnín	yr eira	erin=laughter; the prefix 'l' is possesive
lérò	rheswm	thought
léyin	wedi hynny	after
léyìn	yn ddiweddarach	after
lérú	caethwasiaeth	enslave
lílo	ecsbloetio	using
lísa	cyflymiad	a chieftaincy title
lítésò	pigo	literature
lóde	y tu allan	modern
lópez	nipez	lopez
lópó	gweddw	widow
lórì	harbwr	on the head
lóríba	drosodd	subdue
lóti	lot	have
lóòótò	ie	truly
lóòótọ́	yn wir	truly
ló	ló	to
lónà	ar y ffordd	in a way
lórò	yfory	become wealthy
lọndọnu	llundain	london
lọ́dọọdún	yn flynyddol	yearly
lọ́jà	ar y farchnad	in the market
maapu	map	map
madeira	beira	madeira
mahatma	y mahatma	mahatma
makedonia	macedonia	macedonia
malabo	mêl	malabo
malay	tybiwyd	malay
malayopolynesian	malayopolynesian	malayo-polynesian
malaysia	malaysia	malaysia
mali	dydd	mali
mango	mango	mango
manˈdeːla	manˈdelala	mandela
marcellus	marcellus	marcellus
march	gorymdaith	march
marku	y tro hwn	mark
mars	mars	mars
maryland	maryland	maryland
maseru	cenfigen	don't be slave
matheu	matheu	matthew
mathiew	mathiew	mathiew
mathimatiki	mathemategol	mathematics
max	mwyafswm	max
maya	na	maya
mbabane	negyddol	mbabane
means	yn golygu	ona (way)
mediteraneani	môr y canoldir	mediterranean
mefeefa	ailwampio	all six
mejidinlogbon	dau ddeg wyth	twenty eight
mejila	deuddeg	twelve
meksiko	mecsico	mexico
melo	faint	some
member	aelod	ara
mercosur	mercosur	mercosur
merin	pedwar	four
methodologies	methodolegau	anaoniruuru
metropoli	metropoli	metropolis
meucci	meucci	meucci
mewar	mewar	mewar
mexico	mexico	mexico
michelle	michelle	michelle
micronesia	micronesia	micronesia
miiràn	lleddfu	another
mimoy	mimoy	mimoy
mimuwa	glynu	import
minnesota	minnesota	minnesota
minority	lleiafrif	awon ara kekere
mohandas	mohandas	mohandas
mokaleladota	cryno	51, (mokanleladota)
mokanlelogbon	tridegdau	thirty-one
mombasa	mombasa	mombasa
monrovia	monrovia	monrovia
morgan	morgan	morgan
morogoro	moduro	morogoro
mozambique	mozambique	mozambique
mozilla	mozilla	mozilla
mtn	mtn	mtn
mtwara	dewis eto	mtwara
mughal	cyfrol	mughal
mulẹ̀	sefydlu	establish
munispal	munispal	municipal
muungano	muungano	muungano
májèmú	dim ots	testament
mère	arlunio	significant
méjèèjì	y ddau	the two
mérindíláàdóta	pum deg pump	forty-six
méte	pump	lip
mérìndínlógún	un ar bymtheg	sixteen
mérìnlélógójì	pedwar deg pedwar	44
méta	tri	three
métèètà	saer	the three
méwàá	deg	ten
ménu	ydych chi&#39;n meddwl	verbally contribute; complete phrase= me nu ba
mímọ́	sanctaidd	holy
míràn	un arall	other
míìrán	un arall	other
mííràn	un arall	other
mò	gwybodaeth	know
mókólà	glud	mokola
móra	iachâd	with themselves
mó	m	with
múlẹ̀	dal yn gyflym	select land (farmland)
mẹ́fà	chwech	6
mẹ́rkúríù	y llygoden	mercury
mẹ́ta	tri	3
mẹ́talọ́kan	trinity	trinity
namibia	i ddod	namibia
nathaniel	nathaniel	nathaniel
nato	nato	nato
nawojulo	puzzling	highest-spending
nawó	cael eich arian	point finger
ncnc	ncnc	ncnc
nebraska	nebraska	nebraska
nefimu	neffim	nefimu
neptune	neifion	neptune
nevis	nevis	nevis
ngbero	wedi&#39;i gynllunio	planning
ngubengcuka	ngubengcuka	ngubengcuka
nibe	yno	there
nibere	yn gynnar	earlier
nigbakan	weithiau	at one time
nigbà	yna	when
nijẹr	nike	niger
nilè	yma	remaining
nisinyi	nawr	at present
nitoriidieyi	oherwydd hyn	because of this
nitoripe	achos	because
nitosi	gerllaw	nearby
niwaju	o&#39;n blaenau	in front of
niyato	gwahaniaethu	unlike
niye	digon	in number
niyi	dyma hi	these
nkan	peth	things
