$ tỉ	$ బిలియన్	$ billion
brot	బ్రేక్	this is german not vietnamese
brown	గోధుమ	brown
browne	బ్రౌన్	browne
browning	బ్రౌనింగ్	(proper noun) browning
bruce	bruce	bruce
brunei	బ్రూనై	brunei
bruno	బ్రూనో	bruno, as in the city of san bruno
brusilov	బ్రుసిలోవ్	brusilov
brussels	బ్రస్సెల్స్	brussels, the capital of belgium
btr	btr	btr
bubalis	bubalis	bubalis
budapest	బుడాపెస్ట్	budapest, the capital of hungary
bulgaria	బల్గేరియా	bulgaria
bulletin	బులెటిన్	thong bao
bungary	bungary	bungary
bungo	bungo	bungo
buonaparte	buonaparte	(proper noun) buonaparte, as in casa buonaparte
burke	బర్క్	(proper noun) burke, as in edmund burke
burkina	బుర్కినా	burkina
burma	బర్మా	burma
burundi	బురుండి	burundi
busan	బుసాన్	a korean city
busby	బస్బే	busby
bush	బుష్	bush
bushy	గుబురుగా ఉండే	bushy
buôn	టోకు	commerce
buông	పోనీ	to release, to let loose
buýt	బస్సు	bus
buốt	కీన్	sharp
buồm	ప్రయాణమయ్యారు	sail
buồn	విచారంగా	sad
buồng	గది	chamber
buổi	సెషన్	session
byzantine	బైజాంటైన్	byzantine
bà	అమ్మమ్మ	woman or lady (n.)
bài	పోస్ట్లు	articles
bàn	పట్టిక	table
bàng	డేగ	eagle
bành	పెంగ్	armchair
bào	ప్రణాళిక	compatriot
bàu	bau	bau
bày	ప్రదర్శన	"(term should be ""trưng bày"") to display (v.)"
bác	మామయ్య	doctor
bách	సైప్రస్	"(term should be ""bách khoa"") polytechnic (adj.)"
bái	కల్ట్	to bow (v.)
bám	వేళ్ళాడతాయి	cling
bán	అమ్మకపు	sell
báng	బ్యాంగ్	"(term should be ""phỉ báng"") to defame or slander"
báo	వార్తాపత్రిక	newspaper (n.)
bát	గిన్నె	eight (n.)
báu	ట్రెజర్	valuable
bây	ఇప్పుడు	now
bã	అవశేషాల	"(term should be ""buồn bã"") sad (adj.)"
bãi	గజాల	beach
bão	తుఫాను	storm
bèn	అప్పుడు	then
bé	చిన్న	baby
bén	పదునైన	sharp (adj.)
béo	కొవ్వు	fat
bên	వైపు	side
bênh	అనారోగ్యం	advocate
bì	ప్యాకేజింగ్	foreskin (n.)
bìa	కవర్	cover
bìu	స్క్రోటమ్	sac (n.)
bí	స్క్వాష్	secret
bính	binh	"(term should be ""bính âm"") romanized chinese words (n.)"
bíró	గుమ్మడికాయ	biro
bò	ఆవు	beef
bó	బంచ్	bound (adj.)
bói	అదృష్టం చెప్పడం	to foretell (v.)
bón	ఫలదీకరించే	"entire term should be ""phan bon""; means ""fertilizer"""
bóng	బంతిని	sphere or ball
bóp	స్క్వీజ్	squeeze
bô	తండ్రి	"(term should be ""bôxit"") the mineral bauxite"
bôi	అద్ది	to apply (as in oil)
bông	పత్తి	flower
bù	తయారు చేయండి	compensate
bùa	రక్ష	talisman
bùn	మట్టి	mud
bùng	మంట	"(term should be ""bùng nổ"") to break out (v.)"
bú	suckle	to suck
búa	సుత్తి	a hammer
búi	టఫ్ట్స్	tuft
bún	బియ్యం నూడిల్	noodle
búng	flicked	snap
bút	పెన్	pseudonym
băm	హాష్	hash
băn	కోపము	concerned
băng	మంచు	"(term should be ""băng giá"") freezing (adj.)"
bơ	వెన్న	"(term should be ""bơ vơ"") desolate (adj.)"
bơi	ఈత	swim
bơm	పంప్	pump
bưu	తపాలా	post office
bước	అడుగు	a step (n.)
bướm	సీతాకోకచిలుక	butterfly
bạ	కాంటాక్ట్స్	directory
bạc	వెండి	meager
bạch	వైట్	"(should be ""bạch tuộc"") an octopus"
bại	కోల్పోతారు	defeated
bảng	బోర్డ్	chart
bảo	బావో	protect
bảy	ఏడు	seventh
bấm	పత్రికా	press
bất	నిజమైన	"(term should be ""bất cứ"") any (adj.)"
bấy	ఆ	contemporary
bần	పేద	poor
bầu	ఓటు	vote
bầy	మంద	servant
bẩm	పుట్టుకతో వచ్చిన	congenital
bẩn	మురికి	the
bẩy	ఉచ్చు	"(term should be ""lẩy bẩy"") unsteadily (adv.)"
bẫy	ఉచ్చు	a trap (n.)
bậc	డిగ్రీ	level or class (n.)
bận	బిజీగా	busy
bật	ఆన్ చేయబడింది	outstanding
bắc	ఉత్తర	beijing
bắcnam	ఉత్తరం దక్షిణం	"(term should be ""bắc-nam"") north-south (adj.)"
bắn	షూట్	shoot
bắp	మొక్కజొన్న	venter
bắt	క్యాచ్	cross
bằng	సమాన	by
bẹp	నలిపివేయు	crush
bẻ	విరామం	break
bẽ	అవమానానికి	humiliate
bến	వార్ఫ్	wharf
bếp	ఒక వంటగది	kitchen
bề	ఉపరితల	"(should be ""bề mặt"") a surface"
bền	మ న్ని కై న	enduring (v.)
bể	కొలిమితిత్తి	tank
bệ	పీఠము	base
bện	అల్లిన	braided (adj.)
bệnh	అనారోగ్యం	benh
bỉ	బెల్జియం	disgust
bỉnh	కొంటె	binh
bịch	కొట్టు	ridiculous
bịt	కవర్	cover
bọ	బగ్	insect
bọc	చుట్టు	to cover or enclose (v.)
bọn	వాటిని	a group (n.)
bọng	puffiness	bladder
bọt	నురుగు	foam
bỏ	రద్దు	to leave (v.)
bỏng	బర్న్	hot
bố	తండ్రి	"(term should be ""tuyên bố"") to declare"
bốc	లోడ్	bốc lửa= on fire
bối	గందరగోళం	messy
bốn	నాలుగు	four
bồi	పరిహారం	"(term should be ""cao bồi"") cowboy (n.)"
bổn	విధి	duty
bổng	స్కాలర్షిప్	"with word luong, means ""salary"" or ""wages"""
bỗng	అకస్మాత్తుగా	suddently
bộ	సెట్	part
bộc	boc	"(term should be ""bộc lộ"") to reveal (v.)"
bội	బహుళ	betray
bột	పిండి	powder or flour (n.)
bớ	చుట్టు ముట్టు	arrest
bớt	తక్కువ	less
bờ	అంచు	coast
bời	బం	profuse
bở	ద్వారా	profitable
bởi	ద్వారా	because
bục	పోడియం	platform
bụng	కడుపు	abdomen
bứt	తెలియకుండా	"(term should be ""bứt phá"") power (n.)"
bừa	హింసపై	messy, careless, or topsy-turvy (adj.)
bữa	భోజనం	meal (n.)
bực	విసుగు	bother
ca	మార్పు	praise
ca-lo	ca-lo	a unit of measurement
cabo	cabo	cabo
cacbon	కార్బన్	carbon
cacbonat	కార్బోనేట్	carbonate
cacbua	కార్బైడ్	carbides, carbon ions
caesar	సీజర్	caesar
caffein	కెఫిన్	caffeine
café	కాఫీ	coffee
cai	కాయ్	govern
cairo	కైరో	cairo, the capital of egypt
cal	కాల్	cal, a first name
calculus	కలన	calculus
calvin	కాల్విన్	calvin
cam	నారింజ	commit
cambodia	కంబోడియా	(proper noun) the country of cambodia
cambridge	కేంబ్రిడ్జ్	cambridge
cameo	అతిధి	cameo part
cameron	కామెరాన్	cameron
cameroon	కామెరూన్	cameroon
camille	కామిల్లె	camille
campbell	కాంప్బెల్	campbell
campuchia	కంబోడియా	campuchia
canada	కెనడా	canada
canadian	కెనడియన్	canadian
canal	కాలువ	canal
canary	కానరీ	canary
cancer	కాన్సర్	cancer
canterbury	కాంటర్బరీ	canterbury
canxi	కాల్షియం	calcium
capello	కాపెల్లో	capello
capra	కాప్రా	capra
carat	క్యారెట్ల	carat
carbine	కార్బైన్	carbine
cardcaptor	కార్డ్కాప్టార్	cardcaptor
cardcaptors	cardcaptors	(proper noun) cardcaptors
carey	కారీ	(proper noun) carey, as in singer mariah carey
caribe	caribe	caribbean
caribê	కరేబియన్	caribbean
carl	కార్ల్	carl
carlos	కార్లోస్	carlos
carnaval	ఉత్సవాలను	carnaval
carol	కరోల్	carol
caroline	కారోలిన్	(proper noun) caroline
carpathia	carpathia	carpathia
carter	carter	carter
carxtơ	క్యారెట్ల	karst topography, a geological term (n.)
casa	సిఐ ఎస్‌ఐ	casa
casablanca	కాసాబ్లాంకా	casablanca
caspia	caspia	caspia
cassini	కాసినీ	cassini
cast	తారాగణం	cast
castries	కాస్ట్రీస్	castries
castro	కాస్ట్రో	castro, as in fidel castro
cathay	కథే	cathay
catherine	కాథరిన్	catherine
cau	cau	cau
cbc	cbc	cbc
cbgd	cbgd	educational  officer
cbs	cbs	cbs
ccc	ccc	ccc
ccn	ccn	industrial cluster
cctv	cctv	cctv
cd	cd	cd
cdot	cdot	cdot
cdrom	సీడీ రోమ్	cd-rom
cell	సెల్	cell
celtic	సెల్టిక్	centic
cena	సెనా	(proper noun) cena, as in john cena, the wrestler
centauri	సెంటారీ	centauri
ceres	సెరిస్	ceres
cha	తండ్రి	father
chai	సీసా	bottle
chaillot	చైల్లోట్	a name
chamberlain	చంబెర్లిన్	chamberlain
champa	చంపా	champa
champion	ఛాంపియన్	champion
chamẹ	తల్లిదండ్రులు	parents
chanel	చానెల్	chanel
chanh	నిమ్మకాయ	lemon or lime (n.)
chao	హాయ్	(proper noun) chao, a name
charles	చార్లెస్	charles
charlotte	షార్లెట్	charlotte
charlton	చార్ల్టన్	charlton
charon	కేరోన్	(proper noun) charon
chase	చేజ్	chase
chay	శాఖాహారం	fasting
chdcnd	chdcnd	democratic republic
che	కవర్	cover
chechnya	చెచ్న్యా	chechnya
chen	చెన్	chen
cheo	చియో	"(term should be ""cheo reo"") name of a town"
chi	చి	"(term should be ""chi tiết"") details (n.)"
chia	వాటా	"(term should be ""chia sẻ"") to share"
chiang	చియాంగ్	chiang
chicago	చికాగో	chicago, as in chicago, illinois
chile	చిలీ	(proper noun) the country of chile
chim	పక్షి	bird
china	చైనా	china
ching	చింగ్	ching
chirac	చిరాక్	chirac, as in former french president jacques chirac
chiêm	జ్యోతిషశాస్త్ర	"(term should be ""chiêm thành"") the ancient kingdom of champa in vietnam"
chiên	వేయించిన	fry
chiêng	గాంగ్	gong
chiếc	pc లు	the
chiếm	పరిగణనలోకి	appropriate
chiến	పోరాటం	war, fight
chiết	సారం	literal
chiếu	మత్	show
chiền	గుత్తి	temple
chiều	pm	length
chlamydia	క్లామైడియా	chlamydia
chloride	క్లోరైడ్	chloroauric acid
chnd	chnd	chnd
choi	నాటకం	choi
chomsky	చోమ్స్కీ	chomsky
chong	చోంగ్	chong
chopin	చోపిన్	chopin
chosŏn	chosŏn	(proper noun) choson
choàng	కేప్	coat
choáng	ఆశ్చర్యపోయానని	dizzy
chris	క్రిస్	chris, as in chris hughes
christ	క్రీస్తు	christ
christian	క్రిస్టియన్	christian
christopher	క్రిస్టోఫర్	christopher
chrome	క్రోమ్	chrome, as in google chrome
chrysler	క్రిస్లర్	(proper noun) chrysler, the car company
chu	chu	cycle
chua	సోర్	tomato
chuck	చక్	(proper noun) chuck, as in chuck norris
chui	తుడవడం	underground
chum	అందరికీ	pot
chun	చున్	chun
chung	సాధారణ	general
churchill	చర్చిల్	churchill
chuyên	ప్రత్యేక	professional
chuyến	యాత్ర	trip
chuyền	పాస్	volleyball
chuyển	ముందుకు వెళ్ళిపోవటం	to move
chuyện	కథ	nói chuyện= talk
chuôi	కడుపు నొప్పి	handle
chuông	బెల్	a bell
chuẩn	ప్రామాణిక	standard
chuốc	దూర్చు	incur
chuối	అరటి	banana
chuốt	broaching	refine
chuồng	బోనులో	cage
chuỗi	చైన్	series
chuộc	విమోచనం	redeem
chuộng	మెచ్చిన	favorite
chuột	మౌస్	a mouse (n.)
chà	రబ్	rub
chài	ఫిషింగ్	fish
chàm	ఇండిగో	indigo
chàng	వ్యక్తి	"(term should be ""chàng trai"") a young man (n.)"
chào	హలో	welcome
chày	బేస్బాల్	a pestle (n.)
chánh	చీఫ్	"(term should be ""chánh án"") the head of a tribunal (n.)"
cháo	గంజి	porridge
cháu	మునుమనవళ్లను	a term one uses denoting oneself when addressing an aunt or uncle (n.)
cháy	ఫైర్	fire
châm	బుడతడు	motto
chân	ఫుట్	a leg
châu	యూరోప్	continental
chè	టీ	tea
chèn	చొప్పించు	insert
chém	కట్	to chop
chén	కప్	bowl
chéo	క్రాస్	cross
chép	కాపీ	written
chê	తిట్టు	decry
chênh	తేడా	difference
chì	ప్రధాన	graphite
chìa	కీ	"(term should be ""chìa khoá"") a key (n.)"
chìm	మునిగిపోయింది	to become submerged or sink (v.)
chình	తిమ్మిరి చేప	eel
chí	పేను	especially
chích	స్టింగ్	shoot
chín	తొమ్మిది	ripe
chính	ప్రధాన	main
chít	చిట్	dense
chò	చౌక్	a type of plant, typically of the parashorea genus (n.)
chòi	క్యాబిన్	hut
chòm	పుంజ	constellation
chó	కుక్క	dog
chóc	హా హా	killing (giet choc)
chói	కాంతి	bright
chóng	త్వరగా	"entire term should be ""chong mat""; means ""dizzy"""
chóp	టాప్	the top (n.)
chôm	రాంబుటాన్	rambutan
chôn	బరీ	bury
chông	భర్త	thorn
chùa	మందిరము	pagoda
chùy	జాపత్రి	mace
chú	మామయ్య	uncle (n.)
chúa	దేవుడు	god
chúc	కోరుట	will
chúi	tuu	drop
chúng	వాటిని	they
chút	కొద్దిగా	little
chăm	హార్డ్	champa
chămpa	చంపా	champa
chăng	సరసమైన	would it
chĩa	ఫోర్కులు	point
chơi	నాటకం	play
chơn	అడుగుల	"a more obscure form of the word ""chân""; means ""genuine"" or ""true"""
chư	చు	lower authorities
chưa	ఇంకా లేదు	not yet
chưng	జిల్లా	steamed
chương	అధ్యాయము	medal
chướng	అవరోధ మార్గము	grating
chạ	సంకరమైన	father
chạm	టచ్	touch
chạng	ట్విలైట్	twilight
chạp	కదులుతోంది	slow
chạy	రన్	to run (v.)
chả	రోల్స్	no
chảo	పాన్	pan
chảy	రన్	bleeding
chấm	చుక్క	end
chấp	ఛాలెంజ్	"(term should be ""chấp nhận"") to accept (v.)"
chất	విషయం	quality
chấu	చిటికెడు	"(term should be ""châu chấu"") a grasshopper (n.)"
chần	తెల్లబోవడం	slice
chẩn	నిర్ధారించలేము	"(term should be ""chẩn đoán"") to diagnose (v.)"
chậm	నెమ్మదిగా	slow
chận	బ్లాక్	block
chật	గట్టి	overcrowded
chậu	పాట్	pelvic
chắc	ఖచ్చితంగా	certainly
chằng	నుదురు	ligament
chẵn	కూడా	even
chặn	కనపడకుండా చేయు	prevent
chặng	కాలు	journey
chặt	చోప్	close
chẻ	స్ప్లిట్	strick
chẽ	గట్టి	"(term should be ""chặt chẽ"") tightly or closely (adv.)"
chế	సన్నాహాలు	produce
chếch	మందగింపు	oblique
chết	మరణించాడు	to die (v.)
chệch	తప్పు	deviant
chỉ	కేవలం	just (adv.)
chỉnh	దిద్దుబాటు	adjust
chịt	చెత్త	chằn chịt= complex/tangle
chịu	ఎలుగుబంటి	tolerate
chọc	కుట్టడానికి	to poke
chọi	పోరాట	oppose
chọn	ఎంచుకోండి	to choose
chỏ	మోచేతి	"(term should be ""cùi chỏ"") elbow (n.)"
chốc	క్షణం	single
chối	తిరస్కరించాలని	refuse
chốn	స్థానం	place
chống	వ్యతిరేక	anti-
chốt	గొళ్ళెం	important
chồi	రెమ్మలు	"(term should be ""đâm chồi"") budding"
chồn	నక్క	anxious
chồng	భర్త	husband
chỗ	స్థానం	where
chội	ఒంటి	cramped
chớ	వద్దు	not
chớp	మెరుపు	flashing (adj.)
chờ	వేచి	to wait
chở	మోసుకుపోయే	for
chợ	సంత	market
chợt	అకస్మాత్తుగా	suddenly
chục	డజను	dozen
chụp	ప్రయత్నించు	capture
chủ	మాస్టర్	"(term should be ""chủ yếu"") main or essential (adj.)"
chủng	జాతులు	strain
chứ	కాకుండా	just or only (adv.)
chứa	కలిగి	contain
chức	ఫంక్షన్	function
chừ	లేఖ	hesitate
chừa	వదిలి	leave
chừng	కొన్ని	about or roughly (adv.)
chử	పదం	"(term should be ""chử bích"") the vietnamese name for a chinese island"
chửa	గర్భిణీ	pregnant
chửi	cursing	curse
chữ	పదం	a letter of the alphabet (n.)
chữa	నివారణ	to cure or treat (v.)
chững	లెవలింగ్	to totter (v.)
cia	cia	cia
cincinnati	సిన్సినాటి	cincinnati
cinderella	సిండ్రెల్లా	cinderrella
cip	cip	cip
circus	సర్కస్	circus
cities	నగరాలు	cities
clara	క్లారా	clara
clark	క్లార్క్	clark
claude	క్లాడ్	(proper noun) claude
claudius	క్లాడియస్	(proper noun) claudius
