aajo	belachelijk	hospitality
bernstein	bernstein	bernstein
bharat	bharat	bharat
bharata	terugkomen	bharata
bibeli	bijbel	bible
biribiri	werd verpletterd	intense
black	zwart	dudu
bodies	lichamen	ara
bojú	kijk eens	take care
bole	stam	ground
bolt	bout	bolt
bolívar	bolívar	bolivar
brasil	brazilië	brazil
brazzaville	brazzaville	brazzaville
bridgeport	bridgeport	bridgeport
britain	brittannië	britain
brítánì	brits	britain
bu	dat is	give
buenaventura	buenaventura	buenaventura
bujumbura	uitgebreid	bujumbura
burúkú	onheil	bad
by	door	does not translate directly, does not exist
bàbá	de vader	father
bákannáà	ook	likewise
bálè	ballon	lying on the ground
bárakú	verslaving	habitual
báyìí	nu	this
bèrẹ̀	beginnen met	started
béè	gewoon zo	than
bòtswánà	de bus	botswana
búburú	slecht	bad
búrú	wees moedig	wicked
bẹ̀rẹ̀	starten	started
bẹ́	kapot gegaan	also
bẹ́ljíọ̀m	beryl	belgium
bẹ́ẹ̀ni	ja	yes
bẹ́ẹ̀sìni	ja	that is it
cairo	woede	cairo
calabar	kauwgom	calabar
canaria	canaria	canaria
cape	kaap	cape
casablanca	casablanca	casablanca
caslon	casino	caslon
cathedral	kathedraal	cathedral (katidral)
catherine	catherine	catherine
cauchy	cauchy	cauchy
cbc	cbc	cbc
chamorro	chamorro	chamorro
charles	charles	charles
chaskalson	chaskalson	chaskalson
chebbi	denken	chebbi
cherished	gekoesterd	mu lokunkundun
china	china	china
cipollone	cipollone	cipollone
clear	doorzichtig	danmanran
code	code	code
coetsee	coetsee	coetese
coloured	gekleurd	alawo dudu
coming	komt eraan	yo jade
compared	vergeleken	does not directly translate
computers	computers	komputa, ero ayarabiasa
csto	csto	csto
ct	ct	ct
cunha	keel	cunha
da	en	back; but in this form it is unnecessary
dagbasoke	opgroeien	developing
dandan	verplicht	a must
dani	vasthouden	hand-held
darapo	toetreden	joinedd
daru	vernietigen	scattered
dates	datums	pada si
delhi	niet doen	delhi
denver	denver	denver
des	des	des
describes	beschrijft	se apejuwe (apejuwe=description; se prefix makes it a verb)
desmond	desmond	desmond
development	ontwikkeling	idagbasoke
didagba	gelijkheid	growing
didasile	vestiging	established
different	anders	iyato
din	bak	reduced
dinwoju	opzoeken	suitable
divoire	divoire	d'ivoire
doju	oog in oog	face
dojú	oog in oog	turn face (full phrase is doju ko, to face)
dominic	dominant	dominic
doni	doni	this day
dote	dote	rebel
doublehelix	dubbele helix	hiliksi abara meji
doublestrand	doublestrand	double-strand
dover	dover	dova
du	du	hustle
due	vanwege	nitori
dun	smakelijk	sound
dàbíi	soortgelijk	like
dàpò	vervang ze	mix
dá	gemaakt	intervene
dágbó	oude leeftijd	forest
dájó	oke	pass judgement
dálóríi	dank u	about
dáradára	goed	well
dásà	een casa	peculiar way of saying
dáwó	doneren	undertake
dé	aangekomen	reach
délànà	in principe	delana
dépò	voorzover	to a position
dì	vel	be
dìde	ontstaan	stand
dìró	aan de rechterkant	hang on
dìtẹ̀	samenzweren	rebel
díè	gespannen	few
dóko	goed	upstanding
dólà	goed	dollar
dún	geluid	sound
dúró	staan	stand (been in existence)
dọ́gba	gelijk	equal
ea	ja	ea
eba	eba	shore
ebi	familie	family
ecomog	ecomog	ecomog
ede	taal	language
efrem	effem	efrem
egba	absoluut	cane
egbe	geweer	group
egberundun	duizend jaar	a thousand year
egbo	een wond	brother
egbé	wee	party
egbò	een wond	chemicals
egbògi	medisch	don't know this
eighteen	achttien	ejidinlogun
eka	complex	branch, department, part
ekeji	de andere	second
eko	opleiding	lagos
elede	varkens	speaker
eleyi	dit	this
eleyii	soortgelijk	this
elláda	creatie	ellada
eléde	abstract	pig
eléré	atleet	performer
elòmírà	het zeewier	freedom
elòmíràn	een ander	another person
emerging	opkomend	ibere-pese
emmanuel	emmanuel	emmanuel
enikéni	iedereen	whoever
enter	invoeren	wole
enì	olifant	person
eníbá	koorts	such person
epa	pinda	groundnut
ernst	ernst	ernst
erofo	sediment	swamp
erékùsù	eiland	island
eréonítàn	acroniem	written play
eseese	diagram	step by step
esia	komt	asia
esteri	esteri	ester
etisalat	etisalat	etisalat
etymologiae	etymologiae	etymologiae
etíòkun	de kust	beach
euro	euro	euro
euroasia	euroasia	uro-esia
ewe	blad	ewe
ewé	blad	leaf
ewì	poëzie	traditional poem
example	voorbeeld	apere
eya	categorie	tribe
eyin	eieren	previous
eyonomba	eyonomba	digit
eléja	vissen	fisherman
elòmíràn	iemand anders	another person
eka	effect	branches
eléyàmèyà	etniciteit	tribalism
enu	mond	mouth
esin	religie	horse
esè	opbrengst	leg
ewà	van gedrag	beauty
fagile	geannuleerd	cancel
fail	mislukken	padanu
fan	ventilator	spread
faramó	zich houden aan	accept
faranse	frans	french
farsi	arti	farsi
felifeli	fluweel	fuming
ferde	ferde	verde
fesèmúlè	voorlopige bron	established
fe	gezocht	want
fi	sparen	by
fifihan	weergegeven	revealed
fihan	aangegeven	shows, to show
fimú	scherp gedefinieerd	captivate with
finiki	fysica	finiki
finlandi	finland	finland
fitino	beproeving	judgement
five	vijf	marun
fodio	fodio	fodio
fofinde	verbieden	prohibited
fohùn	roepen	consent
foniimu	film	phoneme
force	dwingen	agbara
foriko	bijvoorbeeld	agreed
fourbase	fourbase	onidi-merin
fowobowe	boeking	signed
fowó	voor geld	sign
fracmv	fracmv	does not translate
francis	francis	francis
fransi	frans	france
freetown	freetown	freetown
fuji	verwijderen	fuji
fulani	laf	fulani
fulbe	vol	fulbe
fun	voor	for
funra	zelf	suspect
further	verder	si
fé	fé	like
fé	fé	want
fégbé	laat maar	for peers
fífò	vliegen	jumping
fífún	geven	giving
fòye	begrijpen	rationalise
fẹ́rẹ̀ẹ́	bijna	nearly
galatia	deze keer	galatia
gba	mee eens	accept
gbajúgbujà	is erg populair	popular
gbale	populariteit	flourished
gbaná	schiet eruit	engulf in flame/rage
gbe	dragen	set up
gbera	ga verder	move
gberasoke	versnellen	rising
gbese	schuld	debt
gbigbamulo	exploitatie	adopted
gbigbewo	financiering	examined
gbilè	uitbreken	gaining ground
gbin	geplant	farm
gbogbogbo	algemeen	general
gbongbo	wortel	root
gbàgbọ́	geloven	believe
gbàgùrà	schudde	gbagura
gbá	verpletteren	received
gbáradì	sta op	prepare
gbé	leven	convey
gbédìí	tot stand brengen	respect
gbékalè	timmerman	establish
gbéni	leven	lift
gbéyèwò	beoordeling	examine
gbésè	aanbod	die
gbìnyànjú	proberen	endeavour
gbìyànju	probeer hard	try
gbódò	moet	must
gbónmisi	wet	strife
gbúnùn	ruik het	hostile
gbọ́dọ̀	moet	must
geesi	engels	english
geneva	genève	geneva
genevieve	genevieve	genevieve
georgia	georgië	georgia
german	duitse	german
gfaj	gfaj	gfaj
ghana	ghana	ghana
gidigidi	heel	significantly
gidí	huis	real
goemai	goemai	goemai
gomina	gouverneur	governor
gorgina	de arend	gorgina
gquadruplex	gquadruplex	g-gigalonomerin
grammy	grammy	grammy
griiki	grieks	greek
groove	groef	iho
guanínì	guanni	guanine
guinea	guinea	guinea
guineabissau	guineabissau	guinea bissau
guinébissau	guinébissau	guinea bissau
gun	lang	stretch
gunle	geweer	arrive
guusu	zuiden	south
gv	gv	gv
gèésì	lijm	english
gèésì	edelsteen	english
gégé	werkelijk	like
gírámà	gramps	grammar
gòkè	omhoog gaan	climb
gún	doorboord	properly
gúúsù	zuiden	south
gẹ̀ẹ́sì	engels	english
habsburg	habsburg	habsburg
haggai	gids	haggai
haiti	haïti	haiti
halomonadaceae	halomonadaceae	halomonadaceae
hard	moeilijk	lile
haughton	haughton	haughton
hausafulani	hausafulani	hausa fulani
hawaii	hawaii	hawaii
heinrich	heinrich	heinrich
hendu	snoep	hendu
henny	henny	henny
heraklion	heraklion	heraklion
hesse	akkoord	hesse
him	hem	un, this term is sexless
hindu	hindu	hindu
histoni	histoni	histones
hominidae	hominidae	hominidae
hosea	hosea	hosea
hp	hp	hp
hugh	hugh	hugh
hun	hun	knit
hungari	verhongering	hungary
hv	hv	hv
ibalo	affaire	relationship
ibarepo	vereniging	friendship
ibeji	tweelingen	twins
ibewo	is gekomen	visit
ibiamusin	heiligdom	colony
ibile	traditioneel	municipality
ibimo	geboorte	birth
ibise	training	official
ibiti	plaatsen	where
ibn	ibn	ibn
ibojì	graf	burial ground
ibori	sluier	conquest
ibujoko	bank	place of abode
ibuseripadabosi	vergoeding	eternity
ibuso	vechten	bus stop
ibùdó	kamp	settlement, seat of, area,
ibùjókòó	zitplaatsen	settlement
iceland	ijsland	iceland
idagbasoke	ontwikkeling	development
idagbe	verwaarlozing	isolation
idaji	voor de helft	half
idajo	gerechtigheid	judgement
idamita	trek	sector
idari	bedieningselementen	control
ideraa	schrijven	comfort
idimule	arresteren	establishment
idoma	tekening	idoma
idupe	dank u	thanksgiving
idánwò	beproeving	examination
ifija	vissen	weapon
ifilole	lancering	resolution
ifitonileti	informatie	reporting
ifobaje	corruptie	coronating
ifofinde	congres	prohibition
ifriqiya	stimulatie	ifriqiya
igbeduro	voorbereiding	institute
igbegun	zege	declaration of war
igberiko	buitenwijk	region
igbesoke	upgrade	upliftment
igbeyawo	bruiloft	marriage
igbowolori	duur	inflation
igbá	kip	shell
igbáẹ̀yìn	de laatste	shell
igitòròmogbè	breedband	willow tree
ihan	verschijnen	ray
ihinrere	evangelie	gospel
ijagun	strijd	war
ijakadi	worstelen	wrestling
ijaya	paniek	fear
ije	beweging	eating
ijinnasi	fysica	the wind open
ijosin	aanbidden	worship
ijó	dansen	dance
ikan	een	one of
ikandinlogun	achttien	nineteen
ikaowo	respect	finger
ikejidinlogun	achttien	eighteen
ikeko	compilatie	education
ikerin	de vierde	fourth
iketa	erven	third
ikoenu	opslaan	union
ikojopo	accumulatie	collection
ikoreokere	oogsten	migration
iku	dood	death
ikúgbaèyí	nu	death-has-this
ikún	vulling	squirrel or wild rodent
ilagbolojo	publiciteit	latitude
ilana	procedure	procedure
ilanaoye	strategieën	knowledge procedure
ilaodo	beschermen	cana
ilaorun	zonsopkomst	west
ileasofin	wetgevend	house of law,
ilegiga	huis	higher ground or higher plain
ileife	verwaarlozing	ile-ife
ileigbimo	toestemming	house of assembly/congress
ileobaluaye	de wereld	high chief
ileru	oven	volcanic
ilopo	dubbele	times
iluoba	burgerschap	king's town
iluorilejoba	globalisering	capital city
ilé	huis	house
iléayé	huis	earth
iléisé	huis	workplace
ilélódò	het huis	ile-lodo
iléàtèéré	huis	ile-ateere
iléńlá	binnenplaats	ile-nla (area)
ilẹ	grond	land
ilẹ̀ayé	de aarde	the world
iminle	arresteren	earthquake
imoero	bliksem	engineering
imojuto	zorg	protection
imusin	trek	colony
imú	neus-	nose
imúnisìn	hygiëne	slavery
inagberingberi	pindakaas	electromagnetic force
indeed	inderdaad	paapa julo
indus	indus	indus
inkosi	te rechtvaardigen	inkosi
integration	integratie	ifowosowopo
inágbéringbérin	zeventien	electromagnet
iní	erfenis	possession
inúnibíni	vervolging	hatred
ioja	vis	fight
ioniani	behoeftig	ionian
iowa	op aarde	iowa
ipare	vervagen	abolition
ipawo	toepassingen	income
ipele	niveau	stage
ipin	hoofdstuk	share
ipinpa	deelname	arm of, branch of
ipinu	besluit	determination
ipo	plaats	position
ipá	dwingen	effort
iraja	schokkend	bargaining
iranlose	bijstand	mission
ire	uitverkoop	you
irele	nederigheid	irele
iringa	afronden	iringa
irisi	verschijning	appearance
irorun	erg makkelijk	convenient
irò	gerucht	iro
irúnmọlẹ̀	bliksem	apparition
isa	genoeg	jesus, isa or yisa is hausa language
isare	versnelling	track race
isedaniloro	twijfel aan jezelf	terrorism
iseero	kijk maar	engineering
isejoba	bestuur	governance
iseoba	vijftien	civil service
iseoroayeijoun	archeologie	archaeology
iseowo	bedrijf	business
isepinpin	distributie	division
iso	komen	unit
isoponomba	isoponomba	addition of numbers
isun	stromen	spring
isesi	overgave	conduct
isè	onderhoud	occupation
itali	italiaans	italy
itanakole	verhaal	ancient
itelentele	duidelijk	coming after
itiraka	worstelen	effort
itobi	opscheppen	size
itokowo	bedrijf	economy
itorawo	liberaal	astrology
itu	gooien	solution
itumo	betekenis	meaning
iwadi	onderzoek	research
iwasi	indruk maken	behaviour
iwifun	informatie	report
iwoile	huis	entering
iwosan	genezing	healing
iwulo	nuttig	use
iwuwa	praktijk	behaviour
iyan	hongersnood	argument
iyato	het verschil	difference
iyawo	bruid	wife
iyen	dat is	that
iyán	sprankelend	pounded yam
iḷẹ̀	werk	land
iṣẹ́ìwádìí	onderzoek	research
jabo	verslag doen van	give account
jackson	jackson	jackson
jadide	hou vol	emerge
jagbe	verdwaald geraken	shout
jalè	diefstal	steal
jamaica	youtube	jamaica
jamo	ga weg	link
jawaharlal	schommels	jawaharial
jeffrey	jeffrey	jeffrey
jeometri	geometrie	geometry
jesu	jezus	jesus
jfk	jfk	jfk
jije	wezen	existing as
jijinna	ver	distance
jiròrò	mistig	dialogue
jo	lek	days
jogun	geërfd	inherit
johann	hel	johann
johanu	sorry	john
jojo	gebarsten	great extent
jopò	kom er bij	gathered
jo	john	resemble
juneau	juneau	juneau
jàgídíjàgan	gewelddadig	violent
jáde	naar buiten komen	out
jé	komen	is
jéésù	jezus	jesus
jìnnàa	ver	further
jíje	wezen	eating
jíjuwó	geld verdienen	waving hands
jíjéomoléyìnkírísítì	als filantroop	followers of christ
jùlo	meer dan	most
jùlo	vooral	most
jùló	het meest	most
jẹ́mánì	duitse	germany
jọ́	alstublieft	together
kadara	bedrijfsmiddel	destiny
kagera	opschepperig	kagera
kakiri	spoor	all over
kalinga	cinga	kalinga
kalẹ	opzij zetten	established
kampala	sluiting	kampala
kan	een	one
kankan	geen	any
kanlè	kanal	established
karbonumarun	thecentricane	5 carbon
karl	karl	karl
karun	vijfde	fifth
karùún	de vijfde	fifth
kebbi	verstelbaar	kebbi
kekere	klein	lower
keko	geletterd	learn
kept	gehouden	fi pamo
khoisan	inferieur	khoisan
ki	zo doen	not
kiakiajulo	de snelste	rapidly
kiko	brengen	gathering
kikojo	compilatie	gathering
kikopomo	warmte	mixed
kikoso	snel	colonised
kiko	aan het leren	making
kikuninu	stel je voor	size
kilhar	oksel	kilhar
kinkinni	het kleine ding	small quantity
ko	of	don't
kodò	hieronder	bow
koidu	koidu	koidu
kojá	kruis	pass
kolo	kolo	going
komputa	computer	computer
kong	kong	kong
kongo	condoom	congo
kookan	dit	one
koto	aas	pit
koko	aan het leren	make heap
ko	ko	learn
kori	niet meer	not found
krio	krio	krio
ku	u	remain
kwara	aangesproken	kwara
kàríbẹ́ánì	in de regio	carribean
kàyéfì	zich afvragen	amazement
ká	van	we
kánfinkése	vindingrijkheid	prolonged
kánádà	natuurlijk	canada
káyé	wereld	world
kéesì	belachelijk	keesi
kékéèké	klein	small
kétu	wees voorbereid	ketu
kémíkà	integendeel	chemical
kéyìn	later	come after,
kìnní	eerste	first
kí	begroeten	not
kíko	aan het studeren	written
kíkọ́	leren	learning
kínu	zoenen	greet
kírísìtì	kerstmis	christ
kòjòkú	regen	kojoku
kòkó	de muis	cocoa
kòmpútà	computer	computer
kòtò	een putje	pit
kòòsí	het is niet	coaching
kòòkan	elke	each
kógo	heerlijkheid	glorious
kóra	verzamelen	participate
kùkú	ten slotte	eventually
kùrání	de koran	quran
kúkú	ten slotte	now
kúkúrú	in een notendop	short
kúrò	weg	away
kútò	alles	kuto (place)
kúùkù	integendeel	punches; expression meaning 'by force' (ti pa ti kuuku)
kẹrin	de vierde	4
kẹsàán	meteen	ninth
kẹta	derde	third
kẹ́nyà	scheiding	kenya
kọjá	slagen voor	pass through
kọ̀mpútà	computer	computer
kọ́kọ́	eerste	first
kọ́lọ́mú	kolommen	breast owner
kọ́ni	gebrek aan	teach
laa	ga weg	will
laada	trap	good fortune
laaka	omgekeerde	important
laarin	binnen	between
labalaba	vlinder	butterfly
labee	onder	under
lade	lade	crowned
laid	gelegd	tele
laifi	fout	without
languages	talen	ede
lanka	lanka	lanka
lasile	vrijlating	laid out
latibe	vanaf daar	from there
latigbana	sindsdien	from then on
latini	latijns	latin
latvia	letland	latvia
lay	leggen	da
le	kan	can
leboa	lebo	leboa
lekun	geïntensiveerd	open door
leo	leo	leo
lese	post	firmly
less	minder	okeresi
lewaju	voorwaarts	front
lewon	gevangenisstraf	imprisonment
leyi	hier is het	mispelled...should be 'leyin', after
leè	mei	can
lilelile	hardcore	tightly
lilemo	hennep	sticky
lilongwe	lilongwe	lilongwe
lindi	loog	lindi
linear	lineair	dogba
links	koppelingen	eka; this is a new word and does not really exist in yoruba
lodo	spelen zich af	from
lojowaju	in de toekomst	the future
lojukokoro	hebzuchtig	covetousness
lojúgun	geteisterd	knee
lokunkun	energiek	in the dark
loloselu	politiek	in politics
lopolopo	veel	so many
loruko	naam	name
louvre	rooster	louvre
lovers	geliefden	awon olufe
low	laag	diye
lo	ga verder	than
luanda	luanda	luanda
luther	luther	luther
lynton	lynton	lynton
làgba	gelijk	more important
lààmi	teken	sign
lààmì	tekens	significant
lábé	gewicht	under
láfún	gegeven	cassava food
láimo	zonder	unknown
láké	luid	in ake
lámọ́di	fortuin	lamodi
lápá	een deel	from
lára	pijn doen	part of
lárúbáwá	het natuurlijke	arabic
láì	zonder	without
láíláí	nooit	old
lèe	kan	can
lèyìn	daarna	after
lédè	in taal	language
léebá	overigens	catch up with it
lérìnín	de sneeuw	erin=laughter; the prefix 'l' is possesive
lérò	reden	thought
léyin	daarna	after
léyìn	later	after
lérú	slavernij	enslave
lílo	exploitatie	using
lísa	versnelling	a chieftaincy title
lítésò	stekend	literature
lóde	buiten	modern
lópez	nipez	lopez
lópó	weduwe	widow
lórì	haven	on the head
lóríba	over-	subdue
lóti	lot	have
lóòótò	ja	truly
lóòótọ́	inderdaad	truly
ló	ló	to
lónà	onderweg	in a way
lórò	morgen	become wealthy
lọndọnu	londen	london
lọ́dọọdún	jaarlijks	yearly
lọ́jà	op de markt	in the market
maapu	kaart	map
madeira	beira	madeira
mahatma	de mahatma	mahatma
makedonia	macedonië	macedonia
malabo	lieve schat	malabo
malay	verondersteld	malay
malayopolynesian	malayopolynesisch	malayo-polynesian
malaysia	maleisië	malaysia
mali	dag	mali
mango	mango	mango
manˈdeːla	manˈdelala	mandela
marcellus	marcellus	marcellus
march	maart	march
marku	deze keer	mark
mars	mars	mars
maryland	maryland	maryland
maseru	jaloezie	don't be slave
matheu	matheu	matthew
mathiew	mathiew	mathiew
mathimatiki	wiskundig	mathematics
max	max	max
maya	nee	maya
mbabane	negatief	mbabane
means	middelen	ona (way)
mediteraneani	mediterraans	mediterranean
mefeefa	revisie	all six
mejidinlogbon	achtentwintig	twenty eight
mejila	twaalf	twelve
meksiko	mexico	mexico
melo	hoeveel	some
member	lid	ara
mercosur	mercosur	mercosur
merin	vier	four
methodologies	methodologieën	anaoniruuru
metropoli	metropoli	metropolis
meucci	meucci	meucci
mewar	mewar	mewar
mexico	mexico	mexico
michelle	michelle	michelle
micronesia	micronesië	micronesia
miiràn	verlichten	another
mimoy	mimoy	mimoy
mimuwa	vastklampen	import
minnesota	minnesota	minnesota
minority	minderheid	awon ara kekere
mohandas	mohandas	mohandas
mokaleladota	compact	51, (mokanleladota)
mokanlelogbon	tweeëndertig	thirty-one
mombasa	mombasa	mombasa
monrovia	monrovia	monrovia
morgan	morgan	morgan
morogoro	autorijden	morogoro
mozambique	mozambique	mozambique
mozilla	mozilla	mozilla
mtn	mtn	mtn
mtwara	kies opnieuw	mtwara
mughal	volume	mughal
mulẹ̀	tot stand brengen	establish
munispal	munispal	municipal
muungano	muungano	muungano
májèmú	vind het niet erg	testament
mère	tekening	significant
méjèèjì	beide	the two
mérindíláàdóta	vijfenvijftig	forty-six
méte	vijf	lip
mérìndínlógún	zestien	sixteen
mérìnlélógójì	vierenveertig	44
méta	drie	three
métèètà	timmerman	the three
méwàá	tien	ten
ménu	denk je	verbally contribute; complete phrase= me nu ba
mímọ́	heilig	holy
míràn	een ander	other
míìrán	een ander	other
mííràn	een ander	other
mò	kennis	know
mókólà	lijm	mokola
móra	genezen	with themselves
mó	m	with
múlẹ̀	hou vast	select land (farmland)
mẹ́fà	zes	6
mẹ́rkúríù	de muis	mercury
mẹ́ta	drie	3
mẹ́talọ́kan	drie-eenheid	trinity
namibia	komen	namibia
nathaniel	nathaniel	nathaniel
nato	nato	nato
nawojulo	raadselachtig	highest-spending
nawó	krijg je geld	point finger
ncnc	ncnc	ncnc
nebraska	nebraska	nebraska
nefimu	nephim	nefimu
neptune	neptunus	neptune
nevis	naevis	nevis
ngbero	gepland	planning
ngubengcuka	ngubengcuka	ngubengcuka
nibe	daar	there
nibere	vroeg	earlier
nigbakan	soms	at one time
nigbà	vervolgens	when
nijẹr	nike	niger
nilè	hier	remaining
nisinyi	nu	at present
nitoriidieyi	door dit	because of this
nitoripe	omdat	because
nitosi	dichtbij	nearby
niwaju	verder	in front of
niyato	onderscheiden	unlike
niye	genoeg	in number
niyi	hier is het	these
nkan	ding	things
nkàn	kanker	something
nnaji	oom	nnaji
nobel	nobel	nobel
nombamewa	vermenigvuldigen	decimal
nombáméjì	de eerste twee	two-number
novo	novo	novo
nri	eten	nri
nse	ontwerp	acting
nso	in de buurt	saying
nsolaboraro	veiligheid	nso laboraro
nsowikipedia	obowikipedia	saying
ntoka	punt	indicates
nu	schoon	in
nukleotidi	nucleotide	nucleotides
nukleotidipupo	nucleotide	cell
numeri	doof gevoel	numbers
nwa	baby	drill
nàìjíríà	in nigeria	nigeria
náwo	kosten	spend money
náà	te	that
nì	berg	is
nìnú	sorry	in
nìyí	dit is het	this is
ní	hebben	on
níbè	daar	there
níbè	daar	there
nífẹ̀ẹ́	houden van	love
nígbàtí	wanneer	when
nílè	hieronder	on the ground
nílùú	in de stad	in the town
nílẹ̀	op de grond	in the land
nínlá	super goed	large
nínu	kans	in
níní	hebben	having
nípà	tenminste	by
nítorípé	omdat	because
nítumò	betekenis	meaningful
nítòsí	dichtbij	nearby
nítòótó	precies	truly
nítòótọ́	inderdaad	in truth, truthfully
níwájú	verder	in front
níyanjú	positief	solved
nǹkan	ding	things
nso	komt binnenkort	say
oba	obama	king
obairanderan	neef	hereditary
obere	klein	started
obínibí	hoffelijkheid	inborn
ododo	gerechtigheid	righteousness
ofin	de wet	law
ogbè	regio	a divinity
ogun	oorlog	war
ogunlogo	menigte	hundreds
