$	dollarni tashkil etadi	american dollar symbol
அடைந்த	yetdi	got
அடைந்தது	yetdi	reach
அடைந்தன	yetdi	is reached
அடைந்து	yetdi	reached
அடைய	erishmoq	attain
அடையாளங்களை	shaxsiyatlar	identities
அடையாளங்கள்	belgilar	identifications
அடையாளத்தை	identifikatsiya	identity
அடையாளமாக	ko&#39;rsatish	symbolic
அடையாளம்	aniqlangan	identity
அடையும்	qo‘yilmoqda	reach
அட்ச	kenglik	latitude
அட்டை	karta	card
அட்லாண்டிக்	atlantika	atlantic ocean
அணி	jamoa	team
அணிக்கு	jamoa	teem
அணிந்து	kiyish	wear
அணியின்	jamoa	group
அணியில்	tarkib	team
அணியும்	kiyilgan	wearing
அணியை	jamoa	team
அணு	yadro	atom
அணுக	kirish	approach
அணுகல்	kirish	access
அணுகு	kirish	approach
அணுகுண்டு	senat	atom bomb
அணுகுமுறை	yondashuv	approaches
அணுகுமுறைகள்	yondashuvlar	approaches
அணுக்கரு	yadro	nuclear
அணுக்கள்	atomlar	atoms
அணுவின்	atom	atom
அணை	to&#39;g&#39;on	dam
அண்ட	galaktikaga oid	near
அண்டங்கள்	galaktikalar	world
அண்டத்தின்	olamning	world
அண்டமானது	olam	the universe
அண்டம்	olam	universe
அண்டவியல்	kosmologiya	day to day
அண்டை	qo&#39;shnilar	neighbour
அண்ட்	va	and
அண்ணன்	birodar	brother
அண்ணல்	bizning sevgilimiz	a great man
அண்ணளவாக	taxminan	a thousand year old
அண்ணா	katta aka	former chief minister of tamilnadu
அண்ணாதுரை	anna duray	annadurai
அண்ணாமலை	annamalay	annamalai a title
அண்மை	so&#39;nggi	very nearly
அண்மைக்	so&#39;nggi faoliyat	recently
அண்மைய	yaqinda	nearest
அதனாலேயே	shunday qilib,	that is why
அதனால்	shunday qilib	because of
அதனுடன்	u bilan	with that
அதனுடைய	uning	its
அதனுள்	o‘zi	including all
அதனை	the	that one
அதனைக்	bu	it
அதனைத்	keyinchalik	that also
அதன்	uning	that
அதன்படி	shunga ko&#39;ra,	in that way
அதன்பின்	undan keyin	after that
அதன்பிறகு	undan keyin	next
அதற்காக	buning uchun	for that
அதற்கான	muvofiq	for that
அதற்கு	ko&#39;proq	the
அதற்குப்	keyin	so
அதவாது	amer	hence
அதாவது	ya&#39;ni	like that
அதி	ko&#39;proq	high
அதிக	ko&#39;proq	high
அதிகப்படியாக	kattalashdi	maximum of
அதிகப்படியான	ortiqcha	over
அதிகமாக	ko&#39;proq	huge
அதிகமாகக்	ko&#39;proq	immense
அதிகமாகப்	ko&#39;proq	in excess of
அதிகமாகவும்	ko&#39;proq	morely
அதிகமாகும்	ko&#39;proq	having more
அதிகமான	ko&#39;proq	more
அதிகம்	ko&#39;proq	excess
அதிகரிக்க	o&#39;sish	increase
அதிகரிக்கச்	ko‘paymoqda	increasing
அதிகரிக்கிறது	ko&#39;taradi	increasing
அதிகரித்த	kattalashdi	increased
அதிகரித்தது	kattalashdi	increased
அதிகரித்தல்	ko‘paymoqda	increase
அதிகரித்து	ko‘paymoqda	increase
அதிகரித்துள்ளது	kattalashdi	increased
அதிகரிப்பதால்	ko‘paymoqda	increase
அதிகரிப்பால்	kattalashdi	increase
அதிகரிப்பு	o&#39;sish	increased
அதிகளவான	ko&#39;proq	increased
அதிகளவில்	borgan sari	in abundance
அதிகளவு	ko&#39;proq	more
அதிகார	vakolat	control
அதிகாரங்களை	vakolatlar	powers
அதிகாரங்கள்	vakolatlar	powers
அதிகாரத்திற்கு	quvvat	for the powers
அதிகாரத்தில்	hokimiyatda	in power
அதிகாரத்தை	quvvat	ruling
அதிகாரபூர்வ	rasmiy	authorized
அதிகாரபூர்வமாக	rasmiy ravishda	official
அதிகாரப்	quvvat	authority
அதிகாரப்பூர்வ	rasmiy	authoritical
அதிகாரப்பூர்வமாக	rasmiy ravishda	orderly
அதிகாரப்பூர்வமான	ruxsat	order
அதிகாரமும்	quvvat	have power
அதிகாரம்	quvvat	authority
அதிகாரி	xodim	official
அதிகாரிகளும்	rasmiy shaxslar	sacrifices and satisfying wishes took places in temples in those days. temples were built under the supervision of the pandian king, ministers and officers. caste wars did not exist in those days. in the 17th century caste wars came into existence. kings, ministers and officers celebrated their birthdays in temples as functions. land was allocated for this. devaram and thiruvayum were recited on those days. arts, music, theatre and folk dance events took place. brick temples, bronze statues and stone figures were installed and ornaments were donated. temples existed as places of storing wealth and material things in addition to serving as places of worship. temple wealth was distributed as loan to common people.  free food was given daily in temples. libraries were built within temples. temple rituals were performed by the village authorities and officers. functions of temples and charities were monitored. punishment was served for errors. stone inscriptions in temples served as historical evidence. renovation of temples involved removing stone inscriptions and reinstalling them.
அதிகாரிகள்	rasmiy shaxslar	officials
அதிகாரியான	xodim	officer of the
அதிசய	ajablanarli	surprise
அதிசயங்கள்	mo&#39;&#39;jizalar	surprises
அதிநுண்ணுயிரி	virusli	protists
அதிபரவளைவு	giperbola	hyperbola
அதிபர்	kansler	owner
அதிமுக	aiadmk	admk
அதிர்ச்சி	shok	shiver
அதிர்வெண்	chastotani	wavelength
அதிலும்	ko&#39;proq	even
அதிலுள்ள	uning	contained therein
அதில்	unda	in that
அதீத	ortiqcha	most
அது	bu	it
அதுவரை	ungacha	yet
அதுவே	bu	that alone
அதே	xuddi shu	same
அதேசமயம்	holbuki	at the same time
அதேபோல	xuddi shunday	likethat
அதேபோல்	xuddi shunday	likewise
அதேவேளை	hozircha	sametime
அதை	bu	that also
அதைக்	bu	it
அதைச்	bu	that
அதைத்	the	that
அதைப்	bu	like wise
அதோடு	bundan tashqari	and also
அத்தகு	dam olish	that
அத்தகைய	shunaqangi	such a
அத்தியாவசிய	muhim	important
அத்துடன்	shu qatorda; shu bilan birga	with that
அத்தோடு	bundan tashqari	and
அந்	lobbi	that
அந்த	bu	the
அந்தச்	the	that one
அந்தணர்	brahmana	priest
அந்தத்	the	that the
அந்தந்த	hurmatli	seperately
அந்தப்	the	those
அந்தமான்	andaman	andhman island
அந்தாதி	biggrin.gif	a grammatical rule
அந்தி	oqshom	evening
அந்து	darchalar	worm
அந்துவஞ்சேரல்	antuvankeral	anthuvancheral
அந்நாட்டின்	mamlakat	that country
அனுபவங்கள்	tajribalar	experiences
அனுபவம்	tajriba	experianse
அனுப்ப	yubormoq	send
அனுப்பப்	joylashtirdi	to send
அனுப்பப்படும்	yuborildi	will be sent
அனுப்பி	yo‘naltirildi	to send
அனுப்பிய	yuborildi	send
அனுப்பும்	transmitter	sends
அனுமதி	ruxsat bering	admission
அனுமதிக்கப்பட்ட	ruxsat berilgan	allowed
அனுமதிக்கின்றன	ruxsat bering	admitted into
அனுமதிக்கிறது	ruxsat beradi	admitted into
அனுமதிக்கும்	ruxsat bering	allows
அனுமதித்தது	ruxsat berilgan	permitted
அனுமன்	hanuman	hanuman
அனேகமாக	ehtimol	almost
அனைத்திந்திய	hammasi	all india
அனைத்திலும்	hammasi	all over
அனைத்து	hammasi	all
அனைத்துக்கும்	hammasi	of all, all
அனைத்துமே	hammasi	all
அனைத்துலக	xalqaro	international
அனைத்தையும்	hammasi	all
அனைவராலும்	burg&#39;u	all
அனைவருக்கும்	hamma	to everyone
அனைவரும்	hammasi	all of us
அனைவரையும்	hammasi	all
அன்	anil	and
அன்ட்	va	and
அன்னை	ona	mother
அன்பின்	hurmatli	in love
அன்பு	sevgi	love
அன்புடன்	hurmat bilan	with love
அன்புள்ள	hurmatli	dear
அன்பே	hurmatli	love
அன்றாட	har kuni	daily
அன்றாடம்	har kuni	daily
அன்றி	nor	rather
அன்றைய	the	during those days
அபாயகரமான	xavfli	risky
அபாயத்தை	xavf	danger
அபாயம்	xavf	danger
அபின்	afyun	abin
அபுல்	abul	abul
அபூர்வ	apurva	unbelive
அபூர்வமாக	kamdan kam	rarely
அப்துல்	abdul	abdul
அப்பகுதி	viloyat	that sections
அப்படி	shunday bo&#39;lsa ham	like that
அப்படியே	buzilmagan	like that
அப்பொருள்	kirishlar	akapporul
அப்பொழுது	va	at that time
அப்போகொனைடீ	appokonaiti	a family of fish
அப்போது	the	that time
அப்போதைய	keyin	for that
அமராவதி	amravati	amaravathy a name in tamil
அமர்ந்த	o&#39;tirgan	sit down
அமர்ந்து	o&#39;tirgan	to sit
அமானுட	paranormal	invisible
அமினோ	amino	amino acid
அமில	kislota	acid
அமிலம்	kislota	acid
அமீரகத்தின்	amirliklar	emirates
அமீரகம்	amirliklar	emirates
அமெரிக்க	biz	american
அமெரிக்கக்	amerikalik	america
அமெரிக்கத்	amerikalik	american
அமெரிக்கன்	amerikalik	american
அமெரிக்கப்	biz	america
அமெரிக்கர்	amerikalik	american
அமெரிக்கர்களின்	amerikaliklarning	americans
அமெரிக்கர்களில்	amerikaliklar	in america
அமெரிக்கர்கள்	amerikaliklar	americans
அமெரிக்கா	qo&#39;shma shtatlar	america
அமெரிக்காவின்	biz	of america
அமெரிக்காவில்	qo&#39;shma shtatlar	in america
அமெரிக்காவுக்கு	qo&#39;shma shtatlar	to america
அமெரிக்காவுடன்	aqsh bilan	with america
அமெரிக்காவும்	biz	america
அமைகின்றது	qabul	is coming
அமைகின்றன	sizlar	formed
அமைகிறது	bu	become
அமைக்க	o&#39;rnatish	set
அமைக்கப்பட்ட	shakllangan	founded
அமைக்கப்பட்டது	o&#39;rnatish	established
அமைக்கப்பட்டன	tushdi	formed
அமைக்கப்பட்டிருக்கும்	o&#39;rnatilgan	is organised
அமைக்கப்பட்டுள்ள	tayyorlandi	having that
அமைக்கப்பட்டுள்ளது	o&#39;rnatish	established
அமைக்கப்பட்டுள்ளன	tuzilmali	up
அமைக்கும்	sets	to make
அமைச்சரவை	vazirlik	cabinet
அமைச்சராக	vazir	minister
அமைச்சர்	vazir	minister
அமைச்சர்கள்	vazirlar	ministers
அமைதி	tinchlik	peace
அமைதிகாக்கும்	tinchlikparvarlik	peace keeping
அமைதிக்கான	tinchlik	peace
அமைதிப்	tinchlik	piece
அமைதியான	jim	peace
அமைத்தனர்	va shakllangan	create
அமைத்தல்	sozlash	setting up
அமைத்து	o&#39;rnatish	set up
அமைத்துக்	o&#39;rnatish	set up
அமைத்துள்ளது	o&#39;rnatish	set
அமைந்த	the	suituated
அமைந்தது	the	set
அமைந்தன	ichida	having that
அமைந்திருக்கிறது	joylashgan	located
அமைந்திருக்கும்	joylashgan	is located
அமைந்திருந்த	joylashgan	that place
அமைந்திருந்தது	edi	containing
அமைந்திருந்தன	joylashgan	located
அமைந்திருப்பதால்	joylashgan	situated at
அமைந்து	joylashgan	present
அமைந்துள்ள	joylashgan	situated
அமைந்துள்ளது	joylashgan	located
அமைந்துள்ளன	joylashgan	located
அமைன்	omin	amion
அமைப்பாக	tashkilot	organisational
அமைப்பாகும்	tuzilishi	organization
அமைப்பானது	tizim	an organization
அமைப்பின்	tashkilot	organization
அமைப்பிலிருந்து	tashkilot tomonidan	from the system
அமைப்பில்	tuzilishi	construction
அமைப்பு	tuzilishi	organisation
அமைப்புகளின்	sozlamalar	shape
அமைப்புகளில்	sozlamalar	organisation
அமைப்புகளும்	sozlamalar	adding
அமைப்புகள்	sozlamalar	organisations
அமைப்பும்	shakllanishi	organisation
அமைப்பை	tartib	organization
அமைப்பைக்	tuzilishi	organisation
அமைப்பையும்	tuzilishi	make up
அமைய	ko&#39;ra	to form
அமையும்	lavozimlar	may be
அமைவது	qanday o&#39;rnatiladi	to organise
அமைவிடம்	manzil	accomodated place
அமைவு	sozlash	location
அமோனியா	ammiak	amonia
அம்சங்களை	xususiyatlari	sheme
அம்சங்களைக்	xususiyatlari	types
அம்சங்களையும்	xususiyatlari	features
அம்சமாக	xususiyat	feature
அம்சம்	xususiyat	set
அம்பு	ok	arrow
அம்பேத்கர்	ambedkar	ambethkar
அம்மனுக்கு	ammonga	hindu godess
அம்மன்	ammon	female god
அம்மா	ona	mother
அம்மானை	ona	a tamil poetry
அம்மையார்	madam	lady
அயனாதிக்க	ionosfera	ionospheric
அயர்லாந்தின்	irlandiya	ireland
அயர்லாந்து	irlandiya	ireland a country name
அயல்	katlamoq	foreign
அயோத்தி	ayodxya	aiyothi
அய்யா	sir	ayya a respectful
அய்யாவழி	ayyavaji	sir way
அய்யாவழியின்	ayyavaji	the way of the grand father
அய்யாவழியில்	ayyavazhida	ayya's path
அரகோனைட்	aragonit	aragonite is a chemical component
அரங்கம்	bolalar maydonchasi	auditorium
அரங்கு	teatr	hall in a building
அரச	toj	goverment
அரசனாக	qirol	to become a king
அரசனின்	king&#39;s	kings
அரசனுக்கு	qirol	for the king
அரசன்	qirol	king
அரசமைப்பு	maqola	legislature
அரசரின்	king&#39;s	king's
அரசர்	qirol	king
அரசர்களின்	shohlardan	kings
அரசர்கள்	shohlar	kings
அரசாங்கங்கள்	hukumatlar	governments
அரசாங்கத்தால்	hukumat tomonidan	for government
அரசாங்கத்தின்	hukumat	in government
அரசாங்கத்தை	hukumat	government
அரசாங்கமும்	hukumat	the goverment
அரசாங்கம்	hukumat	government
அரசாட்சி	hukmronlik	kings rule
அரசால்	davlat tomonidan	government
அரசி	qirolicha	queen
அரசின்	hukumat	of government
அரசியற்	siyosiy	political
அரசியலமைப்பின்	konstitutsiya	politics
அரசியலமைப்பில்	konstitutsiyada	in the constitution
அரசியலமைப்பு	konstitutsiyaviy	political structure
அரசியலமைப்புச்	konstitutsiya	government organisation
அரசியலில்	siyosat	in politics
அரசியலும்	siyosat	politics
அரசியல்சட்ட	konstitutsiyaviy	politics
அரசியல்வாதிகள்	siyosatchilar	politics
அரசில்	davlatda	in government
அரசு	hukumat	goverment
அரசுகளின்	hukumatlar	government's
அரசுகளை	shtatlar	governments of
அரசுகள்	hukumatlar	governments
அரசுக்கு	hukumat	to government
அரசுக்கும்	ware	govenment to
அரசுடன்	davlat bilan	with government
அரசுத்	hukumat	government
அரசும்	hukumat	goverment
அரசுரிமை	suverenitet	government rights
அரசை	davlat	kings
அரசையும்	davlat	goverment
அரண்	qovoq	wall
அரண்மனை	saroy	palace
அரபி	arabcha	arab
அரபு	arab	arabic
அராபிய	arab	arabic
அரிசி	guruch	rice
அரிதாக	kamdan kam	rarely
அரிதான	kamdan kam	rare
அரிது	kamlik	rarely
அரிப்பு	qichishish	itching
அரிய	kamdan kam	rare
அரியணை	taxt	rulling party
அரியணையில்	taxtda	throne of
அரியானா	haryana	haryana
அரிஸ்டாஃபனீஸ்	aristofanlar	aristaphanis
அரிஸ்டாட்டிலின்	aristotel	aristotlian
அரிஸ்டாட்டில்	aristotel	aristatil
அருகாமையில்	yaqinlik	near
அருகிலுள்ள	yaqin-atrofda	near by
அருகில்	yaqinroq	near
அருகே	yaqin	near
அருங்காட்சியகம்	muzey	museum
அருச்சுனன்	arjuna	arjunan
அருஞ்சொற்பொருள்	lug&#39;at	dictionary
அருண்மொழி	arunmoli	arun mozhi a tamil name
அருள்	inoyat	god's wishes
அருள்மிகு	shri	his highness
அருவி	sharsharalar	falls
அரேபிய	arab	arabian
அரேபியா	arabiston	arabia
அரேபியாவின்	arabistondan	in the arabian country
அரை	yarim	half
அர்ஜென்டினா	argentina	argentina
அர்த்தம்	ma&#39;nosi	meaning
அறக்கட்டளை	jamg&#39;arma	organization
அறக்கட்டளையின்	jamg&#39;arma	trust
அறம்	axloq	good things
அறிகுறிகளை	alomatlar	symptoms
அறிகுறிகள்	alomatlar	infection
அறிக்கை	hisobot	report
அறிக்கைகள்	hisobotlar	information
அறிக்கையில்	hisobot	report
அறிஞர்	olim	genius
அறிஞர்கள்	olimlar	pandit
அறிதல்	tanib olish	underfstand
அறிந்த	bilish	known well
அறிந்து	biling	known
அறிந்துகொள்ள	o&#39;rganing	know
அறிமுகப்	kirish	introduce
அறிமுகப்படுத்தி	tanishish	intraduce
அறிமுகப்படுத்தினார்	tanishtirdi	introduced
அறிமுகப்படுத்தியது	tanishtirdi	launched
அறிமுகம்	kirish	introductions
அறிய	o&#39;rganing	know
அறியப்படவில்லை	noma&#39;lum	unknown
அறியப்படாத	noma&#39;lum	not known before
அறியப்படுகின்றது	ma&#39;lum	to be known
அறியப்படுகின்றன	ma&#39;lum	known
அறியப்படுகிறது	ma&#39;lum	came to know
அறியப்படுகிறார்	ma&#39;lum	known
அறியப்படும்	ma&#39;lum	known
அறியப்பட்ட	ma&#39;lum	known
அறியப்பட்டது	ma&#39;lum	founded
அறியப்பட்டுள்ளது	ma&#39;lum	is known as
அறியலாம்	izlang	to make known
அறியவும்	o&#39;rganing	to know about
அறியும்	topish	knowing
அறிவதற்கு	o&#39;rganing	to know
அறிவாற்றல்	dono	intelligence
அறிவிக்கப்பட்ட	xabar berilgan	announced
அறிவிக்கப்பட்டது	e&#39;lon qilindi	informed
அறிவித்த	e&#39;lon qilish	declare
அறிவித்தது	e&#39;lon qilindi	announced
அறிவித்தார்	deklaratsiya qilingan	he announced
அறிவித்து	e&#39;lon qilish	announced
அறிவித்துள்ளது	e&#39;lon qilindi	announced
அறிவின்	haqida bilish	intellectually
அறிவிப்பு	e’lon	announcement
அறிவிப்பை	xabarnoma	announcement
அறிவியற்	ilm	science
அறிவியலாளர்கள்	olimlar	scientist
அறிவியலின்	ilm	science
அறிவியலில்	ilmda	in science
அறிவியலும்	ilm	science
அறிவியல்	ilm	science
அறிவியல்கள்	ilmlar	sciences
அறிவு	bilim	knowledge
அறிவுறுத்தினார்	nasihat qilingan	suggested
அறிவை	bilim	knowledge
அறிவையும்	bilim	knowledge
அறுதியிடல்	tashxis	diagnose
அறுவடை	hosil	harvesting
அறை	xona	room
அற்ற	yo&#39;lsiz	not
அலகின்	qo&#39;rqinchli	unit
அலகு	birlik	is a unit
அலகுகள்	birliklar	units
அலாஸ்கா	alyaska	alaska a state
அலாஸ்காவின்	alyaska	in alaska
அலி	ali	ali
அலுவலக	idora	official
அலுவலகங்கள்	ofislar	office
அலுவலகம்	idora	office
அலெக்சாண்டர்	aleksandr	alexander
அலெக்ஸாண்டரின்	aleksandrning	of alexander
அலெக்ஸாண்டர்	aleksandr	alexander the great
அலை	to&#39;lqin	wave
அலைகளின்	to&#39;lqinlar	waves
அலைகளை	tides	wave
அலைகள்	to&#39;lqinlar	waves
அலைநீளம்	to&#39;lqin uzunligi	wavelength
அல்	al	al
அல்குர்ஆன்	al-quron	alkuran
அல்கைல்	alkil	alkyl
அல்மனக்	almanak	almanac
அல்ல	emas	not that
அல்லது	yoki	or
அல்லர்	yo&#39;q	not
அல்லாத	non	non
அல்லாமல்	undan tashqari	apart from
அல்லாஹ்	olloh	allah
அல்லி	hammasi joyida	ally flower
அளக்க	miqyos	scale
அளக்கும்	o&#39;lchash	measuring
அளந்து	o&#39;lchash	tape
அளவற்ற	cheksiz	limited
அளவான	kamtarin	sized
அளவானது	darajasi	amount
அளவிட	o&#39;lchash	to measure
அளவிடப்படுகிறது	o&#39;lchangan	measured
அளவிடும்	o&#39;lchash	to measure
அளவின்	darajasi	of
அளவியல்	metrologiya	metric
அளவிற்கு	keng	level
அளவிலேயே	cheklangan	like that measure
அளவில்	miqdor	quantity
அளவீடு	o&#39;lchov	measurement
அளவீடுகளில்	o&#39;lchovlar	measurement index
அளவீடுகளை	o&#39;lchovlar	measurements
அளவீடுகள்	o&#39;lchovlar	measurements
அளவீட்டு	o&#39;lchov	measured
அளவு	o&#39;lchash	measurement
அளவுகளில்	o&#39;lchamlari	levels of
அளவுகளை	darajalar	day's mesure
அளவுகள்	o&#39;lchamlari	levels
அளவுகோல்	tarozi	a measurement
அளவுக்கு	ko&#39;proq	limit
அளவே	yuk mashinasi	limit
அளவை	o&#39;lchamini o&#39;zgartirish	limit
அளவைக்	uzunligi	measurement
அளிக்க	taklif	give
அளிக்கப்படுகிறது	qo&#39;llanilgan	given
அளிக்கப்படும்	taklif etiladi	will be given
அளிக்கப்பட்ட	muallif:	given
அளிக்கப்பட்டது	hissa qo&#39;shgan	given
அளிக்கலாம்	taklif	provide
அளிக்கிறது	sovg&#39;alar	given
அளிக்கும்	berib	presenting
அளித்த	the	supplied
அளித்தது	taqdim etilgan	provided
அளித்தல்	ta&#39;minlash	to distribute
அளித்தார்	taqdim etilgan	given
அளித்து	taqdim etilgan	to give
அளிப்பது	ta&#39;minot	providing
அளிப்பு	ta&#39;minot	destroy
அழகான	chiroyli	beautiful
அழகிய	chiroyli	beautiful
அழகு	go&#39;zallik	beautiful
அழகூட்டல்	alakuttal	beautificates
அழற்சி	yallig&#39;lanish	allergy
அழிக்க	yo&#39;q qil	destroy
அழிக்கப்பட்ட	vayron qilingan	destructed
அழிக்கும்	yo&#39;q qilish uchun	to destroy
அழித்தான்	vayron qilingan	erased
அழித்து	vayron qilingan	destroyed
அழிப்பு	vayronagarchilik	destroy
அழியாத	buzilmas	does not disappear
அழியும்	yo&#39;q qilish	to be destroyed
அழிவு	vayronagarchilik	destroy
அழுத்த	stress	pressure
அழுத்தங்கள்	bosimlar	pressure
அழுத்தத்தை	bosim	pressure
அழுத்தம்	bosim	pressure
அழைக்க	qo&#39;ng&#39;iroq	invite
அழைக்கப்	taklif qilingan	called
அழைக்கப்படுகின்றது	ma&#39;lum	was called
அழைக்கப்படுகின்றன	chaqirildi	known
அழைக்கப்படுகின்றனர்	chaqirmoqda	call
அழைக்கப்படுகிறது	ma&#39;lum	is called so
அழைக்கப்படுகிறார்	chaqirmoqda	called by
அழைக்கப்படும்	ma&#39;lum	called by
அழைக்கப்பட்ட	eslatildi	invited
அழைக்கப்பட்டது	taklif qilingan	was called by
அழைக்கப்பட்டன	taklif qilingan	called
அழைக்கப்பட்டார்	taklif qilingan	called
அழைக்கலாம்	qo&#39;ng&#39;iroq	invited
அழைக்கின்றனர்	qo&#39;ng&#39;iroq	call
அழைத்தனர்	chaqirmoqda	invited
அழைத்தார்	taklif qilingan	invited
அழைத்து	qo&#39;ng&#39;iroq	call
அழைத்துச்	oling	invited
அழைப்பர்	qo&#39;ng&#39;iroq	caller
அழைப்பு	qo&#39;ng&#39;iroq	invitation
அவசியமான	asoslar	important
அவசியம்	muhim	impotance
அவதானிக்கலாம்	e&#39;tibor bering	to be started from
அவதார	ilohiy	avatar
அவதாரம்	barkamollik	avadhar
அவனது	uning	his
அவனிடம்	unga	from his
அவனுக்கு	unga	for him
அவனுடைய	uning	his
அவனே	jssv	he is
அவன்	u	he or his
அவரவர்	hamma	every one
அவரால்	u	him
அவரிடம்	unga	to him
அவரின்	u	their
அவருக்கு	uning uchun	to him
அவருக்குப்	uning	after that
அவருடன்	u bilan	with him
அவருடைய	uning	belonging to him
அவரும்	u	he and
அவரே	o&#39;zi	he
அவரை	dukkaklilar	that person
அவரைக்	uni	that person
அவரைச்	uni	for him or by all
அவரைத்	uning	a respect
அவரைப்	uning	his
அவர்	u	he/she
அவர்களால்	agar ular	their
அவர்களிடம்	ularga	their
அவர்களின்	ularning	belonging to them
அவர்களில்	ularning ichida	among them
அவர்களுக்கு	ular	to them
அவர்களுடன்	ular bilan	with them
அவர்களுடைய	ularning	their
அவர்களும்	ular	they also
அவர்களே	ular	themself
அவர்களை	ularni	them
அவர்களைக்	ularni	them
அவர்களைத்	ularni	theirs
அவர்களைப்	ularni	them
அவர்கள்	ular	they are
அவற்றிற்கு	ularni	them
அவற்றிலிருந்து	ulardan	among them
அவற்றில்	the	in their
அவற்றுக்கு	ularga	them (between them)
அவற்றுடன்	ular bilan	including that
அவற்றுள்	qaysi	among them
அவற்றை	ularni	of that
அவற்றைக்	ularni	that also
அவற்றைச்	ularni	them
அவற்றைத்	ularni	those
