aajo	smieklīgi	hospitality
amazonas	amazonas	amazonas
americas	amerikāņi	americas
amerika	amerika	america
amojeoyipada	kabriolets	reform
amosi	mošeja	amos
améríkà	amerikāņu	america
améríkà	amerikāņu	america
an	an	him
anabi	pravietis	prophet
anc	anc	anc
andaman	andman	andaman
angkor	angkor	angkor
anita	anita	anita
anschluss	anschluss	anschluss
apagusu	dienvidi	southern
apaguusuilaorun	dienvidrietumos	south-western
apaguusuiwoorun	dienvidrietumos	part of the south
apailaorun	saullēkts	east side
apaiwoorun	rietumu	eastern side
aparapo	kombinācija	confederation
apeja	zvejnieks	fisherman
apeere	piemēram	example
apis	apis	apis
apòmù	priekšauts	apomu
apẹ̀rè	priekšauts	example
arabu	arābu	arab
aralíle	tropisks	healthy body
arinkankan	šī	nationalist
ariso	aris	oral tradition
ariwaarin	tuvie austrumi	mid-north
ariwaguusu	dienvidrietumu	north-south
arkansas	arkansas	arkansas
aroko	veģetācija	composition
aruleyin	sveiki	carried on the back
arun	slimība	disease
aryan	arjāns	aryan
aráa	brālis	people from
arábíà	alfabēta	arabia
aráròmí	sveiki	araromi
arópò	kukuļošana	substitute
arúgbó	vecums	elderly
arọ	klibs	cripple
asagun	uzvara	intial, first (referring to the 13 colonies)
ascii	uzzināt	ascii
aseeto	norēķins	unfair
aseyori	veiksme	success
asipa	novirze	first to kill
assessment	novērtējums	ayewo
asìko	muļķības	time; ni asiko=when
asèdá	dabiskā	origination
atangbona	atoms	emission
atanna	atoms	emitter
atigba	pieļaujams	from time
atimo	plāns	inland
atinrin	smejoties	thin
atun	attīt atpakaļ	also
atunse	korekcija	revision
australia	austrālija	australia
austriahumgary	austriahumgary	austria-hungary
austronesian	austroniešu	austronesian
austríà	austrālija	austria
avar	avar	avar
awari	atklājums	discovery
awo	šķīvis	of
awonara	emocijas	people of
awoòn	veidne	people
awon	viņiem	they
awuruju	maģisks	shady
awùjo	pieklājīgi	society
awújẹ	skandāls	root
aya	dzejolis	chest
ayeye	mūžība	celebration
ayàfi	tas ir labi	only if
ayò	jā	game
azikiwe	veselais saprāts	azikwe
aṣòkan	indivīds	united
baa	ir	be with
babaláwo	dalītājs	herbalist
bahrain	bahreina	bahrain
balẹ̀	lai viņš būtu	settled
bang	sprādziens	bang
banle	banle	banle
bara	pagājušais gads	themselves
bauxitealumina	boksitealumina	bauxite/aluminum
bayelsa	bayelsa	beyelsa
bayi	tagad	like this
bayìí	tagad	this
bce	prom	bce
beauharnais	beauharnais	beauharnais
beijing	pekina	beijing
belarus	baltkrievija	belarus
belgium	beļģija	belgium
bengal	bengālijas	bengal
bengali	bengāļu valoda	bengal
benin	sols	benin
berber	berberu	berber
berlin	berlīns	berlin
bernstein	bernstein	bernstein
bharat	bharat	bharat
bharata	atgriezies	bharata
bibeli	bībele	bible
biribiri	tika saspiests	intense
black	melns	dudu
bodies	ķermeņi	ara
bojú	paskaties	take care
bole	bole	ground
bolt	skrūve	bolt
bolívar	bolívar	bolivar
brasil	brazīlija	brazil
brazzaville	brazavila	brazzaville
bridgeport	tilta osta	bridgeport
britain	lielbritānija	britain
brítánì	britu	britain
bu	tas ir	give
buenaventura	buenaventura	buenaventura
bujumbura	paplašināts	bujumbura
burúkú	ļaunums	bad
by	autors	does not translate directly, does not exist
bàbá	tēvs	father
bákannáà	arī	likewise
bálè	balons	lying on the ground
bárakú	atkarība	habitual
báyìí	tagad	this
bèrẹ̀	sākt ar	started
béè	tieši tā	than
bòtswánà	autobuss	botswana
búburú	slikti	bad
búrú	esi drosmīgs	wicked
bẹ̀rẹ̀	lai sāktu	started
bẹ́	izlauzās	also
bẹ́ljíọ̀m	berils	belgium
bẹ́ẹ̀ni	jā	yes
bẹ́ẹ̀sìni	jā	that is it
cairo	niknums	cairo
calabar	košļājamā gumija	calabar
canaria	kanāriji	canaria
cape	apmetnis	cape
casablanca	casablanca	casablanca
caslon	kazino	caslon
cathedral	katedrāle	cathedral (katidral)
catherine	katrīna	catherine
cauchy	cauchy	cauchy
cbc	cbc	cbc
chamorro	šamorro	chamorro
charles	charles	charles
chaskalson	časalsons	chaskalson
chebbi	domā	chebbi
cherished	lolots	mu lokunkundun
china	ķīna	china
cipollone	cipollone	cipollone
clear	skaidrs	danmanran
code	kods	code
coetsee	coetsee	coetese
coloured	krāsains	alawo dudu
coming	nāk	yo jade
compared	salīdzināja	does not directly translate
computers	datori	komputa, ero ayarabiasa
csto	csto	csto
ct	ct	ct
cunha	rīkle	cunha
da	un	back; but in this form it is unnecessary
dagbasoke	pieaudz	developing
dandan	obligāts	a must
dani	saimniecība	hand-held
darapo	pievienoties	joinedd
daru	iznīcināt	scattered
dates	datumi	pada si
delhi	ne	delhi
denver	denvera	denver
des	des	des
describes	apraksta	se apejuwe (apejuwe=description; se prefix makes it a verb)
desmond	desmond	desmond
development	attīstību	idagbasoke
didagba	vienlīdzība	growing
didasile	nodibināšana	established
different	savādāk	iyato
din	apcep	reduced
dinwoju	jāmeklē	suitable
divoire	divoire	d'ivoire
doju	seju pret seju	face
dojú	seju pret seju	turn face (full phrase is doju ko, to face)
dominic	valdošais	dominic
doni	doni	this day
dote	dote	rebel
doublehelix	dubulthelix	hiliksi abara meji
doublestrand	doublestrand	double-strand
dover	doveris	dova
du	du	hustle
due	līdz	nitori
dun	garšīgs	sound
dàbíi	kā šis	like
dàpò	nomainiet tos	mix
dá	izveidots	intervene
dágbó	vecums	forest
dájó	labi	pass judgement
dálóríi	paldies	about
dáradára	labi	well
dásà	casa	peculiar way of saying
dáwó	ziedot	undertake
dé	ieradās	reach
délànà	principā	delana
dépò	tādā mērā	to a position
dì	lapa	be
dìde	rodas	stand
dìró	pa labi	hang on
dìtẹ̀	sazvēresties	rebel
díè	saspringts	few
dóko	labi	upstanding
dólà	labi	dollar
dún	skaņu	sound
dúró	stāvēt	stand (been in existence)
dọ́gba	vienāds	equal
ea	jā	ea
eba	eba	shore
ebi	ģimene	family
ecomog	ecomog	ecomog
ede	valoda	language
efrem	effem	efrem
egba	absolūti	cane
egbe	lielgabals	group
egberundun	tūkstoš gadu	a thousand year
egbo	brūce	brother
egbé	bēdas	party
egbò	brūce	chemicals
egbògi	medicīniska	don't know this
eighteen	astoņpadsmit	ejidinlogun
eka	sarežģīts	branch, department, part
ekeji	otrs	second
eko	izglītība	lagos
elede	cūkas	speaker
eleyi	šo	this
eleyii	kā šis	this
elláda	radīšana	ellada
eléde	abstrakts	pig
eléré	sportists	performer
elòmírà	jūraszāles	freedom
elòmíràn	cits	another person
emerging	parādās	ibere-pese
emmanuel	emanuels	emmanuel
enikéni	visi	whoever
enter	ievadiet	wole
enì	zilonis	person
eníbá	drudzis	such person
epa	zemesriekstu	groundnut
ernst	ernst	ernst
erofo	nogulsnes	swamp
erékùsù	sala	island
eréonítàn	akronīms	written play
eseese	diagramma	step by step
esia	nāk	asia
esteri	esteri	ester
etisalat	etisalat	etisalat
etymologiae	etimologijas	etymologiae
etíòkun	krasts	beach
euro	eiro	euro
euroasia	eiroasia	uro-esia
ewe	lapu	ewe
ewé	lapu	leaf
ewì	dzeja	traditional poem
example	piemērs	apere
eya	kategorija	tribe
eyin	olas	previous
eyonomba	eimonoma	digit
eléja	makšķerēšana	fisherman
elòmíràn	kāds cits	another person
eka	efekts	branches
eléyàmèyà	etniskā piederība	tribalism
enu	mute	mouth
esin	reliģija	horse
esè	ieņēmumi	leg
ewà	izturēšanās	beauty
fagile	atcelts	cancel
fail	neizdoties	padanu
fan	ventilatoru	spread
faramó	ievērot	accept
faranse	franču valoda	french
farsi	arti	farsi
felifeli	samts	fuming
ferde	ferde	verde
fesèmúlè	pagaidu avots	established
fe	gribēja	want
fi	ietaupīt	by
fifihan	rāda	revealed
fihan	norādīts	shows, to show
fimú	asi definēts	captivate with
finiki	fizika	finiki
finlandi	somu	finland
fitino	tiesas process	judgement
five	pieci	marun
fodio	fodio	fodio
fofinde	aizliedzot	prohibited
fohùn	kliedz	consent
foniimu	filma	phoneme
force	spēks	agbara
foriko	piemēram	agreed
fourbase	četrbāze	onidi-merin
fowobowe	rezervācija	signed
fowó	par naudu	sign
fracmv	fracmv	does not translate
francis	franks	francis
fransi	franču valoda	france
freetown	brīvpilsēta	freetown
fuji	noņemt	fuji
fulani	gļēvi	fulani
fulbe	pilnīgs	fulbe
fun	priekš	for
funra	pati	suspect
further	tālāk	si
fé	fé	like
fé	fé	want
fégbé	aizmirsti	for peers
fífò	lido	jumping
fífún	dodot	giving
fòye	saprast	rationalise
fẹ́rẹ̀ẹ́	gandrīz	nearly
galatia	šoreiz	galatia
gba	piekrītu	accept
gbajúgbujà	ir ļoti populārs	popular
gbale	popularitāte	flourished
gbaná	izšaut	engulf in flame/rage
gbe	nēsāt	set up
gbera	virzīties tālāk	move
gberasoke	paātrināt	rising
gbese	parāds	debt
gbigbamulo	ekspluatācija	adopted
gbigbewo	finansēšana	examined
gbilè	izlausties	gaining ground
gbin	stādīti	farm
gbogbogbo	vispārējs	general
gbongbo	sakne	root
gbàgbọ́	ticēt	believe
gbàgùrà	satricināja	gbagura
gbá	sagraut	received
gbáradì	piecelties	prepare
gbé	tiešraide	convey
gbédìí	nodibināt	respect
gbékalè	galdnieks	establish
gbéni	tiešraide	lift
gbéyèwò	pārskats	examine
gbésè	piedāvājums	die
gbìnyànjú	mēģiniet	endeavour
gbìyànju	centies	try
gbódò	obligāti	must
gbónmisi	likumu	strife
gbúnùn	saost to	hostile
gbọ́dọ̀	obligāti	must
geesi	angļu	english
geneva	ģenēva	geneva
genevieve	genevieve	genevieve
georgia	gruzija	georgia
german	vācietis	german
gfaj	gfaj	gfaj
ghana	gana	ghana
gidigidi	ļoti	significantly
gidí	māja	real
goemai	goemai	goemai
gomina	gubernators	governor
gorgina	ērglis	gorgina
gquadruplex	gquadruplex	g-gigalonomerin
grammy	grammy	grammy
griiki	grieķu	greek
groove	rieva	iho
guanínì	guanni	guanine
guinea	gvineja	guinea
guineabissau	guineabissau	guinea bissau
guinébissau	guinébissau	guinea bissau
gun	ilgi	stretch
gunle	lielgabals	arrive
guusu	dienvidu virzienā	south
gv	gv	gv
gèésì	līmi	english
gèésì	dārgakmens	english
gégé	tiešām	like
gírámà	gramps	grammar
gòkè	ej augšā	climb
gún	sadursta	properly
gúúsù	dienvidu virzienā	south
gẹ̀ẹ́sì	angļu	english
habsburg	habsburga	habsburg
haggai	vadīt	haggai
haiti	haiti	haiti
halomonadaceae	halomonadaceae	halomonadaceae
hard	grūti	lile
haughton	haughton	haughton
hausafulani	hausafulani	hausa fulani
hawaii	hawaii	hawaii
heinrich	heinrihs	heinrich
hendu	konfektes	hendu
henny	henny	henny
heraklion	heraklions	heraklion
hesse	piekritu	hesse
him	viņu	un, this term is sexless
hindu	hindu	hindu
histoni	histoni	histones
hominidae	hominidae	hominidae
hosea	hosea	hosea
hp	zs	hp
hugh	hjū	hugh
hun	hun	knit
hungari	bads	hungary
hv	hv	hv
ibalo	dēka	relationship
ibarepo	asociācija	friendship
ibeji	dvīņi	twins
ibewo	ir pienācis	visit
ibiamusin	svētnīca	colony
ibile	tradicionāls	municipality
ibimo	dzimšanas	birth
ibise	treniņš	official
ibiti	vietas	where
ibn	ibn	ibn
ibojì	kapenes	burial ground
ibori	plīvurs	conquest
ibujoko	sols	place of abode
ibuseripadabosi	atlīdzība	eternity
ibuso	cīnīties	bus stop
ibùdó	nometne	settlement, seat of, area,
ibùjókòó	sēdvietas	settlement
iceland	islande	iceland
idagbasoke	attīstību	development
idagbe	nolaidība	isolation
idaji	puse	half
idajo	taisnīgums	judgement
idamita	zīmēt	sector
idari	kontrole	control
ideraa	rakstīt	comfort
idimule	arests	establishment
idoma	zīmējums	idoma
idupe	paldies	thanksgiving
idánwò	tiesas process	examination
ifija	makšķerēšana	weapon
ifilole	palaišana	resolution
ifitonileti	informācija	reporting
ifobaje	korupcija	coronating
ifofinde	kongress	prohibition
ifriqiya	stimulēšana	ifriqiya
igbeduro	sagatavošana	institute
igbegun	uzvara	declaration of war
igberiko	piepilsētas	region
igbesoke	jaunināt	upliftment
igbeyawo	kāzas	marriage
igbowolori	dārgi	inflation
igbá	cālis	shell
igbáẹ̀yìn	pēdējais	shell
igitòròmogbè	platjoslas	willow tree
ihan	parādīties	ray
ihinrere	evaņģēlijs	gospel
ijagun	cīņa	war
ijakadi	cīņa	wrestling
ijaya	panika	fear
ije	kustība	eating
ijinnasi	fizika	the wind open
ijosin	pielūgsme	worship
ijó	dejošana	dance
ikan	viens	one of
ikandinlogun	astoņpadsmit	nineteen
ikaowo	cieņu	finger
ikejidinlogun	astoņpadsmit	eighteen
ikeko	kompilācija	education
ikerin	ceturtais	fourth
iketa	mantot	third
ikoenu	saglabāt	union
ikojopo	uzkrāšanās	collection
ikoreokere	ražas novākšana	migration
iku	nāve	death
ikúgbaèyí	tagad	death-has-this
ikún	pildīšana	squirrel or wild rodent
ilagbolojo	publicitāte	latitude
ilana	procedūra	procedure
ilanaoye	stratēģijas	knowledge procedure
ilaodo	aizsargāt	cana
ilaorun	saullēkts	west
ileasofin	likumdošanas	house of law,
ilegiga	mājas	higher ground or higher plain
ileife	nolaidība	ile-ife
ileigbimo	piekrišana	house of assembly/congress
ileobaluaye	pasaule	high chief
ileru	krāsns	volcanic
ilopo	dubultā	times
iluoba	pilsonība	king's town
iluorilejoba	globalizācija	capital city
ilé	mājas	house
iléayé	mājas	earth
iléisé	mājas	workplace
ilélódò	māja	ile-lodo
iléàtèéré	mājas	ile-ateere
iléńlá	pagalms	ile-nla (area)
ilẹ	zemes	land
ilẹ̀ayé	zeme	the world
iminle	arestēt	earthquake
imoero	zibens	engineering
imojuto	aprūpi	protection
imusin	zīmēt	colony
imú	deguns	nose
imúnisìn	higiēna	slavery
inagberingberi	zemesriekstu sviests	electromagnetic force
indeed	patiešām	paapa julo
indus	indus	indus
inkosi	attaisnot	inkosi
integration	integrācija	ifowosowopo
inágbéringbérin	septiņpadsmit	electromagnet
iní	mantojums	possession
inúnibíni	vajāšanas	hatred
ioja	zivis	fight
ioniani	trūkumcietējiem	ionian
iowa	uz zemes	iowa
ipare	izbalināt	abolition
ipawo	izmanto	income
ipele	līmenis	stage
ipin	nodaļa	share
ipinpa	dalība	arm of, branch of
ipinu	lēmumu	determination
ipo	atrašanās vieta	position
ipá	spēks	effort
iraja	šokējoši	bargaining
iranlose	palīdzība	mission
ire	pārdošana	you
irele	pazemība	irele
iringa	satīt	iringa
irisi	izskats	appearance
irorun	ļoti vienkārši	convenient
irò	baumas	iro
irúnmọlẹ̀	zibens	apparition
isa	pietiekami	jesus, isa or yisa is hausa language
isare	paātrinājums	track race
isedaniloro	sevis šaubas	terrorism
iseero	skatīties	engineering
isejoba	valdīšana	governance
iseoba	piecpadsmit	civil service
iseoroayeijoun	arheoloģija	archaeology
iseowo	bizness	business
isepinpin	izplatīšana	division
iso	nākt	unit
isoponomba	izoponomba	addition of numbers
isun	plūsma	spring
isesi	padošanās	conduct
isè	apkalpošana	occupation
itali	itāļu valoda	italy
itanakole	stāsts	ancient
itelentele	skaidri sakot	coming after
itiraka	cīņa	effort
itobi	lielīties	size
itokowo	bizness	economy
itorawo	liberāls	astrology
itu	mest	solution
itumo	nozīme	meaning
iwadi	izpēte	research
iwasi	ieskaidrot	behaviour
iwifun	informācija	report
iwoile	mājas	entering
iwosan	dziedināšana	healing
iwulo	noderīga	use
iwuwa	prakse	behaviour
iyan	bads	argument
iyato	atšķirība	difference
iyawo	līgava	wife
iyen	tas ir	that
iyán	dzirkstošais	pounded yam
iḷẹ̀	darbs	land
iṣẹ́ìwádìí	izpēte	research
jabo	ziņot	give account
jackson	džeksons	jackson
jadide	uzgaidi	emerge
jagbe	pazūdi	shout
jalè	zādzība	steal
jamaica	youtube	jamaica
jamo	ej prom	link
jawaharlal	šūpoles	jawaharial
jeffrey	džefrijs	jeffrey
jeometri	ģeometrija	geometry
jesu	jēzus	jesus
jfk	jfk	jfk
jije	būtne	existing as
jijinna	tālu	distance
jiròrò	miglains	dialogue
jo	noplūde	days
jogun	mantots	inherit
johann	ellē	johann
johanu	žēl	john
jojo	ieplaisājis	great extent
jopò	pievienojies	gathered
jo	džons	resemble
juneau	juneau	juneau
jàgídíjàgan	vardarbīgs	violent
jáde	nāc ārā	out
jé	nāc	is
jéésù	jēzus	jesus
jìnnàa	tālu	further
jíje	būtne	eating
jíjuwó	pelnīt naudu	waving hands
jíjéomoléyìnkírísítì	kā filantrops	followers of christ
jùlo	vairāk par	most
jùlo	īpaši	most
jùló	visvairāk	most
jẹ́mánì	vācu	germany
jọ́	lūdzu	together
kadara	aktīvs	destiny
kagera	lielīgs	kagera
kakiri	izsekot	all over
kalinga	cinga	kalinga
kalẹ	atlikt malā	established
kampala	aizdare	kampala
kan	a	one
kankan	nav	any
kanlè	kanal	established
karbonumarun	thecentricane	5 carbon
karl	karl	karl
karun	piektais	fifth
karùún	piektais	fifth
kebbi	regulējams	kebbi
kekere	mazs	lower
keko	literāts	learn
kept	turēti	fi pamo
khoisan	zemāks	khoisan
ki	tad dari	not
kiakiajulo	ātrākais	rapidly
kiko	atnesot	gathering
kikojo	kompilācija	gathering
kikopomo	siltums	mixed
kikoso	ātri	colonised
kiko	mācīšanās	making
kikuninu	iedomājies	size
kilhar	paduses	kilhar
kinkinni	maza lieta	small quantity
ko	vai	don't
kodò	zemāk	bow
koidu	koidu	koidu
kojá	krustu	pass
kolo	kolo	going
komputa	dators	computer
kong	kong	kong
kongo	prezervatīvs	congo
kookan	šo	one
koto	ēsma	pit
koko	mācīšanās	make heap
ko	ko	learn
kori	vairāk ne	not found
krio	krio	krio
ku	tu	remain
kwara	uzrunāts	kwara
kàríbẹ́ánì	reģionā	carribean
kàyéfì	brīnums	amazement
ká	no	we
kánfinkése	lēns	prolonged
kánádà	protams	canada
káyé	pasaule	world
kéesì	smieklīgi	keesi
kékéèké	mazs	small
kétu	esi gatavs	ketu
kémíkà	tieši pretēji	chemical
kéyìn	vēlāk	come after,
kìnní	vispirms	first
kí	sveikt	not
kíko	studējot	written
kíkọ́	mācīties	learning
kínu	skūpstoties	greet
kírísìtì	ziemassvētki	christ
kòjòkú	lietus	kojoku
kòkó	pele	cocoa
kòmpútà	dators	computer
kòtò	bedre	pit
kòòsí	tas nav	coaching
kòòkan	katrs	each
kógo	slava	glorious
kóra	pulcēties	participate
kùkú	galu galā	eventually
kùrání	korāns	quran
kúkú	galu galā	now
kúkúrú	īsumā	short
kúrò	prom	away
kútò	viss	kuto (place)
kúùkù	gluži pretēji	punches; expression meaning 'by force' (ti pa ti kuuku)
kẹrin	ceturtais	4
kẹsàán	tūlīt pat	ninth
kẹta	trešais	third
kẹ́nyà	atdalīšana	kenya
kọjá	caurlaide	pass through
kọ̀mpútà	dators	computer
kọ́kọ́	vispirms	first
kọ́lọ́mú	kolonnas	breast owner
kọ́ni	trūkums	teach
laa	ej prom	will
laada	sitiens	good fortune
laaka	atpakaļgaitā	important
laarin	ietvaros	between
labalaba	tauriņš	butterfly
labee	zem	under
lade	lāde	crowned
laid	laid	tele
laifi	vaina	without
languages	valodās	ede
lanka	lanka	lanka
lasile	atbrīvot	laid out
latibe	no turienes	from there
latigbana	kopš tā laika	from then on
latini	latīņu	latin
latvia	latvija	latvia
lay	gulēja	da
le	var	can
leboa	lebo	leboa
lekun	pastiprinājās	open door
leo	leo	leo
lese	pastu	firmly
less	mazāk	okeresi
lewaju	uz priekšu	front
lewon	ieslodzījums	imprisonment
leyi	te tas ir	mispelled...should be 'leyin', after
leè	var	can
lilelile	hardcore	tightly
lilemo	kaņepes	sticky
lilongwe	lilongwe	lilongwe
lindi	sārms	lindi
linear	lineārs	dogba
links	saites	eka; this is a new word and does not really exist in yoruba
lodo	norisināties	from
lojowaju	nākotnē	the future
lojukokoro	alkatīgs	covetousness
lojúgun	viņš izpostīja	knee
lokunkun	enerģisks	in the dark
loloselu	politiski	in politics
lopolopo	daudz	so many
loruko	vārds	name
louvre	skaļruņi	louvre
lovers	cienītājiem	awon olufe
low	zems	diye
lo	turpini	than
luanda	luanda	luanda
luther	lutere	luther
lynton	lentons	lynton
làgba	vienāds	more important
lààmi	parakstīt	sign
lààmì	zīmes	significant
lábé	svars	under
láfún	dots	cassava food
láimo	bez	unknown
láké	skaļš	in ake
lámọ́di	laime	lamodi
lápá	daļa	from
lára	ievainot	part of
lárúbáwá	dabiskā	arabic
láì	bez	without
láíláí	nekad	old
lèe	var	can
lèyìn	pēc tam	after
lédè	valodā	language
léebá	starp citu	catch up with it
lérìnín	sniegs	erin=laughter; the prefix 'l' is possesive
lérò	iemesls	thought
léyin	pēc tam	after
léyìn	vēlāk	after
lérú	verdzība	enslave
lílo	ekspluatācija	using
lísa	paātrinājums	a chieftaincy title
lítésò	dzeloņains	literature
lóde	ārpusē	modern
lópez	nipez	lopez
lópó	atraitne	widow
lórì	osta	on the head
lóríba	pāri	subdue
lóti	lote	have
lóòótò	jā	truly
lóòótọ́	patiešām	truly
ló	ló	to
lónà	ceļā	in a way
lórò	rīt	become wealthy
lọndọnu	londona	london
lọ́dọọdún	gadā	yearly
lọ́jà	tirgū	in the market
maapu	karte	map
madeira	beira	madeira
mahatma	mahatma	mahatma
makedonia	maķedonija	macedonia
malabo	medus	malabo
malay	pieņemts	malay
malayopolynesian	malajopolinēzietis	malayo-polynesian
malaysia	malaizija	malaysia
mali	dienā	mali
mango	mango	mango
manˈdeːla	mandelala	mandela
marcellus	marcellus	marcellus
march	gājiens	march
marku	šoreiz	mark
mars	marss	mars
maryland	maryland	maryland
maseru	greizsirdība	don't be slave
matheu	matheu	matthew
mathiew	mathiew	mathiew
mathimatiki	matemātiskā	mathematics
max	maks	max
maya	nē	maya
mbabane	negatīvs	mbabane
means	nozīmē	ona (way)
mediteraneani	vidusjūra	mediterranean
mefeefa	kapitālais remonts	all six
mejidinlogbon	divdesmit astoņi	twenty eight
mejila	divpadsmit	twelve
meksiko	meksika	mexico
melo	cik daudz	some
member	biedrs	ara
mercosur	merkosurs	mercosur
merin	četri	four
methodologies	metodikas	anaoniruuru
metropoli	metropoli	metropolis
meucci	meucci	meucci
mewar	mewar	mewar
mexico	meksika	mexico
michelle	michelle	michelle
micronesia	mikronēzija	micronesia
miiràn	atbrīvot	another
mimoy	mīmija	mimoy
mimuwa	pieķērušies	import
minnesota	minesota	minnesota
minority	mazākums	awon ara kekere
mohandas	mohandas	mohandas
mokaleladota	kompakts	51, (mokanleladota)
mokanlelogbon	trīsdesmit divi	thirty-one
mombasa	mombasa	mombasa
monrovia	monrovija	monrovia
morgan	morgāns	morgan
morogoro	autosports	morogoro
mozambique	mozambika	mozambique
mozilla	mozilla	mozilla
mtn	mtn	mtn
mtwara	izvēlēties vēlreiz	mtwara
mughal	apjoma	mughal
mulẹ̀	nodibināt	establish
munispal	munispal	municipal
muungano	konvertāns	muungano
májèmú	neiebilstu	testament
mère	zīmējums	significant
méjèèjì	gan	the two
mérindíláàdóta	piecdesmit pieci	forty-six
méte	pieci	lip
mérìndínlógún	sešpadsmit	sixteen
mérìnlélógójì	četrdesmit četri	44
méta	trīs	three
métèètà	galdnieks	the three
méwàá	desmit	ten
ménu	vai tu domā	verbally contribute; complete phrase= me nu ba
mímọ́	svēts	holy
míràn	cits	other
míìrán	cits	other
mííràn	cits	other
mò	zināšanas	know
mókólà	līme	mokola
móra	izārstēt	with themselves
mó	m	with
múlẹ̀	turies ātri	select land (farmland)
mẹ́fà	seši	6
mẹ́rkúríù	pele	mercury
mẹ́ta	trīs	3
mẹ́talọ́kan	trīsvienība	trinity
namibia	nākt	namibia
nathaniel	nathaniel	nathaniel
nato	nato	nato
nawojulo	mīklaini	highest-spending
nawó	dabū savu naudu	point finger
ncnc	ncnc	ncnc
nebraska	nebraska	nebraska
nefimu	nefims	nefimu
neptune	neptūns	neptune
nevis	nevis	nevis
ngbero	plānots	planning
ngubengcuka	ngubengcuka	ngubengcuka
nibe	tur	there
nibere	agri	earlier
nigbakan	dažreiz	at one time
nigbà	tad	when
nijẹr	nike	niger
nilè	šeit	remaining
nisinyi	tagad	at present
nitoriidieyi	šī dēļ	because of this
nitoripe	jo	because
nitosi	tuvumā	nearby
niwaju	uz priekšu	in front of
niyato	atšķirt	unlike
niye	pietiekami	in number
niyi	te tas ir	these
nkan	lieta	things
nkàn	vēzis	something
nnaji	tēvocis	nnaji
nobel	nobela	nobel
nombamewa	reizinot	decimal
nombáméjì	pirmie divi	two-number
novo	novo	novo
nri	ēdiens	nri
nse	dizains	acting
nso	tuvu	saying
nsolaboraro	drošība	nso laboraro
nsowikipedia	obowikipedia	saying
ntoka	punkts	indicates
nu	tīrs	in
nukleotidi	nukleotīds	nucleotides
nukleotidipupo	nukleotīds	cell
numeri	nejutīgums	numbers
