$	dollarni tashkil etadi	your
abtirsiinyada	genealogiya	waste time
abtiyaashiis	ajdodlari	abtiyaashiis
abu	narsa	abu
abul	abul	abul
abuu	yaratmoq	abu
abuubakar	yaratuvchisi	abubakar
abuubakari	yaratuvchisi	abuubakari
abuukar	yaratuvchisi	abukar
abuuraa	yaratadi	he creates what he pleases
abuurantay	yaratilgan	then established
abuuray	yaratilgan	he created
abuurey	yaratilgan	mate
abuuro	yaratmoq	create
abuurtay	yaratilgan	has forged it?
abwaan	rassom	artist
abwaanada	shoirlar	abwaanada
abwaanka	manzili	the scholar
abwaankii	rassom	artist
abwaanku	rassom	the artist spoke
abwaannada	shoirlar	abwaannada
abwaano	narsalar	artists
account	hisob	account worth
ad	reklama	you
adaa	siz	you
adaan	bunisi	you
adag	qattiq	hard
adal	adal	adal
adam	inson	adam
adan	yarasa	adan
add	qo&#39;shish	isu
addaa	sizga	addaa
addis	qo&#39;shadi	addis ababa
addoomada	qullar	the servants
addoomadiisa	uning xizmatkorlari	slaves to god
addoomo	qullar	slaves
addoon	xizmatkor	slave
addoonka	xizmatkor	the slave
addoonkii	xizmatkor	servant
addoonkiisa	uning xizmatkori	his servant
addoonku	xizmatkor	confide
adduun	bu dunyo	in this world
adduunka	dunyo	world
adduunkan	bu dunyoda	this world
adduunku	dunyo	world
adduunyada	dunyoning	this world
adduunyadu	dunyoning	get tired
adeeg	xizmat	service
adeega	xizmat	service
adeegayooda	ularning xizmatlari	adeegayooda
adeegsadaa	foydalanadi	attract
adeegsadaan	foydalanish	an equitable manner
adeegsado	ishlatilgan	use
adeegsan	foydalanish	used
adeegsatay	ishlatilgan	adeegsatay
adeegsiga	foydalanish	use
adeegtana	xizmat	adeegtana
adeegyada	xizmatlar	services
adeegyadii	xizmatlar	operational
adeegyadooda	ularning xizmatlari	services
adeegyo	xizmatlar	services
adeer	tog&#39;a	uncle
adeerka	tog&#39;a	the paternal uncle's side
adeerkii	tog&#39;a	his uncle
adeerkiis	amakisi	uncle
adeerkood	amakilari	he worked
adeerradii	amakilar	adeerradii
aden	aden	aden
adhiga	qo&#39;ylar	the sheep and goats
adi	bolmoq	you
adiga	siz	you
adigaa	siz	it is you who
adigoo	siz tomondan	you
adigu	siz	you
adiinoo	siz uchun	adiinoo
adkaaaday	mag&#39;lubiyatga uchradi	adkaaaday
adkaaday	ustunlik qildi	defeated
adkaade	fath qiluvchi	the mighty
adkaysan	chidadi	tolerate
adkeynta	siqish	who spoke on
administartion	ma&#39;muriyat	administartion
adna	adna	and you
adoo	siz tomondan	by
adoomada	qullar	not the servants of
adoon	adolatsiz	shall it be
aduu	silliq	he ... you
aduunka	dunyo	world
aduunyada	dunyo	anywhere
af	aytmoqchi	language
afaf	tillari	languages
afafka	tillari	the languages
afar	to&#39;rtta	four
afaraad	to&#39;rtinchi	fourth
afaraadna	to&#39;rtinchisi	afaraadna
afarta	to&#39;rtta	the four
afartaas	to&#39;rtta	four
afartankii	qirq	afartankii
afartii	to&#39;rtta	the four
afcarabi	misol uchun	afcarabi
afdheer	to&#39;rtta	afdheer
afdhere	singan	afdhere
affaransiis	afrika	the french
afgaanistaan	afg&#39;oniston	afghanistan
afgambi	to&#39;ntarish	supreme revolu-tionary
afgambigii	to&#39;ntarish	afgambigii
afganistan	afg&#39;oniston	afganistan
afgaranwaa	kelishmovchilik	afgaranwaa
afgobaadsi	o&#39;g&#39;irlash	placatory sweet-talk
afgooye	o&#39;g&#39;irlab ketish	afgoye
afgoye	aytmoqchi	town near capital mogadishu
afhayeenka	ma&#39;ruzachi	spokesman
afikada	tili	afikada
afingiriis	inglizcha	afingiriis
afisbaanish	ispan	afisbaanish
afjaray	tugatish	issue was concluded
afjaro	oxiri	end
afka	og&#39;iz	the mouth
afkiisuna	og&#39;zi	lion's mouth!
afmadow	misol uchun	afmadow
afraadwaana	to&#39;rtinchisi	afraadwaana
afrah	afra	afrah
afrax	to&#39;rtinchi	afrah
africa	afrika	africa
african	afrika	african
afrika	afrika	africa
afrikaba	afrikada	afrikaba
afrikada	afrikada	the africa
afrikakadib	afrika	afrikakdib
afroaasiya	afazi	afroaasiya
afsomaliga	somalida	afsomaliga
afsoomaali	somali tili	be translated into somali
afsoomaaliga	ingliz tilida	afsoomaaliga
afsoomaaligu	ingliz tilida	afsoomaaligu
afsoomali	somali tili	afsoomali
afsoomaliga	ingliz tilida	develop somali language, worked on it
aftahan	bu insho	orator
after	keyin	markay
aftigree	aftigri	aftigree
afturki	afturki	turki language
afurayo	ertalab	afurayo
ag	ag	near
aga	boring	around
agaasimaha	direktor	the director
agaasime	direktor	director
agaasimihii	direktor	director, he will welcome
agagaarka	atrofida	near
agagaarkeeda	uning atrofida	around aden
agasimihii	direktor	agasimihii
agoon	yetim	shall it be
agoontii	yetim	agoontii
agoonyar	inqilobiy	agonyar
agoosto	avgust	august
agrario	agrario	agrario
agteeda	uning yonida	near
agtiisa	uning yonida	with
ah	ah	of
aha	yo&#39;q	it is not
ahaa	edi	was
ahaaday	hisoblanadi	it
ahaadee	bo&#39;lsin	so he may be
ahaado	bo&#39;lmoq	be
ahaan	bo&#39;lmoq	as
ahaana	va shunday	with
ahaanba	mutlaqo	of all
ahaanjirtay	edi	ahaanjirtay
ahaanna	va shunday	in addition
ahaanshaha	bo&#39;lish	pleasure
ahaantii	aslini olib qaraganda	in fact
ahaataye	sizga	ahaataye
ahaatee	hali	however,
ahaato	bo&#39;lmoq	be
ahaay	edi	saul
ahaaye	naye	only one
ahaayeen	edi	were
ahada	nomi	ahada
ahan	emas	it is not
ahana	yo&#39;q	is enduring
ahay	menman	i am
ahayd	edi	it was
ahayde	meni	was a woman with a great deal
ahaydkadib	keyinroq edi	ahaydkadip
ahayee	bo&#39;lsin	ahayee
ahayn	emas edi	not
ahba	ha	since
ahcafariga	uzr	ahcafariga
ahe	ahem	tell
aheed	ahed	horeeyay
aheyd	edi	was
aheyn	bo&#39;lmoq	was not
ahi	hisoblanadi	a
ahina	ha	unit
ahlu	ah	the
ahluxaddiiska	tenglamalar	ahluxaddiiska
ahluxaddiisku	buning mohiyati	ahluxaddiisku
ahmed	ahmed	ahmed
ahmiyad	ahamiyati	concern
ahmiyada	ahamiyati	ahmiyada
ahn	ah	ahn
ahna	va	and
ahoo	ahoo	sinner,
ahtiirarka	rasmlar	ahtiirarka
ahwaxay	bu	ahwaxay
ahyad	ahya	which existed before in
ahyd	axid	horror
aid	yordam	aid
air	havo	air
airlines	aviakompaniyalar	airlines
airport	aeroporti	airport
airways	havo yo&#39;llari	airways
ajaanibta	chet elliklar	those smuggled illegally to sudan
ajar	ajar	blessing
ajnabi	begonalar	foreign
ajuuraan	zaryadlash	ujuran
ak	hikoya	ak
akhlaaqda	xulq	the behavior
akhlaaqdii	axloq	akhlaaqdii
akhri	o&#39;qing	read
akhrin	o&#39;qing	read
akhrinducaysiilaah	akhrinducayslaaah	akhrinducaysiilaah
akhrinta	o&#39;qish	reading
akhrisan	o&#39;qing	read
akhriska	o&#39;qish	reading
akhriso	o&#39;qing	read
akhristo	o&#39;qing	reading
akhriyaan	o&#39;qing	read
akhriyay	o&#39;qing	read
akhriyo	o&#39;qing	read
akr	inventarizatsiya qilish	akr
al	al	al
ala	pastga	.
alaabta	mahsulotlar	the stuff
alaabtiisii	uning mollari	alaabtiisii
alaha	haha	alaha
alalbaani	jirkanch	al-albani
alazhar	olam	alazhar
albaabka	eshik	door
albaani	eshik	albani
albaaniya	albaniyada	albaaniya
albakr	albakr	albakr
albania	albaniya	albania
albaqrahaayada	eshik qo&#39;ng&#39;irog&#39;i	albarqrahaayda
alcallaama	bug&#39;doy	alcallaama
aldalanj	aldalanj	aldalanj
alfaatex	alfaatex	alfaatex
alfaatixoo	alfa	alfatixoo
algorithm	algoritm	algorithm
algorithms	algoritmlari	algorithms
alhilaali	qo&#39;lda yasalgan	alhilaali
ali	ali	ali
alif	alif	stripe
alifay	alifbo	invented by
alifka	alifbo	the stripe
align=right	tekislang = o&#39;ng	align=waxay xaq
alislaax	axloqiy	islamic fighting faction/group
alislām	alislom	alislam
aljabarti	algebra	aljabarti
aljazeera	algebra	aljazeera
aljaziira	algebra	aljaziira
aljeeriya	algebra	algeria
all	hammasi	all
alla	qanday	oh allah
allaa	har doim	fellow
allaaba	umuman	allaaba
allaah	xudo	god
allaahu	xudo hohlasa	god
allah	xudo	allah
allaha	xudo hohlasa	mercy
allahaa	xudo	allahaa
allahu	xudo	compassionate
allaylehe	kecha tunda	by
alle	xudo	allah
allee	xiyla	be fair
allena	xudo	allena
allow	ruxsat berish	oh allah shows them
allowing	ruxsat beradi	qoraal ogolaansho
allows	imkon beradi	allows
almadkhali	xayr-ehson	almadkhali
almajid	shogird	almajiid
almunawara	ajralish	al-munawara
alnour	alnour	alnour
alpine	alp	alpine
alqaacida	al-qoida	alqaacida
alshabaab	al-shabob	alshabaab
alshabab	alshabab	alshabab
also	shuningdek	also
alustaad	seni sevaman	alustaad
alwaadici	fuqaro	alwaadici
alxalabi	algebra	alxalabi
alxamraa	payvandlash	alxamraa
am	am	or
ama	yoki	or
amaan	xavfsiz	praise
amaandarada	xavfsizlik	amaandarada
amaani	xavfsiz	amaani
amaanka	xavfsizlik	security
amaanku	xavfsizlik	amaanku
amaanta	maqtov	no wonder
amaba	yoki	or
amagaalooyinka	shaharlar	amagaalooyinka
amar	buyurtma	order
amarada	buyruqlar	orders
amaradiisana	uning amrlari	amaradiisana
amarkiis	uning buyrug&#39;i bilan	amarkiis
amase	yoki	of
ambaradooriyadii	tezyordam	ambaradooriyadii
ameerika	amerika	america
ameerikada	amerikalik	conducted a research that took
america	amerika	america
american	amerikalik	american
amiin	ratsion	amin
amiir	shahzoda	prince
amiirka	shahzoda	the prince
aminsanyihiin	xavfsiz	aminsanyihiin
amir	amir	amir
aml	aml	aml
ammaan	maqtov	glory
ammaanadana	maqtov	ammaanadana
ammaanadii	maqtov	carefully guard what has been entrusted
ammaanadiisa	uning maqtovi	ammaanadiisa
amnesty	amnistiya	amnesty
amniga	xavfsizlik	safety
amoud	amo	amoud
amray	buyurdi	ordered
amxaari	amhar tilida	amxaari
an	an	let me
anaa	biz	i
anaadoolee	bu yoqqa keling	anaadoolee
anad	anad	anad
anagaa	biz	we
anagoo	biz tomondan	we
anagu	biz	we
anan	bu yerda	anan
anbaqaaday	qabul qilingan	he was taken from a place
anbaxaxeen	ular tashqariga chiqishdi	anbaxaxeen
anbieter	anbieter	anbieter
and	va	and
andocootay	andocootay	andocootay
andorra	andorra	andorra
anfac	foydali	usefulness
angola	borma	angola
aniga	meni	i
anigaa	meni	i
anigoo	meni	i
anigu	meni	i am
anna	anna	and i am
annaga	biz	we
anoo	anoo	i
ansaxa	amal qilish muddati	the validity
antenna	antenna	antenna
antiilis	antiilis	amtiilis
any	biz	soo
application	dastur	application
april	aprel	april
aqaan	bilaman	i don't know
aqal	uy	house
aqalgalay	qabul qilingan	he got married
aqalka	uy	the house
aqbalay	qabul qilindi	he accepted
aqlabiyad	ko&#39;pchilik	majority
aqlabiyada	ko&#39;pchilik	aqlabiyada
aqliyad	ko&#39;pchilik	aqliyad
aqoon	bilim	knowledge
aqoone	bilim	world, since he couldn't swim
aqoonsadaan	ularni tan	recognize
aqoonsadayafka	aniqlovchilar	aqoonsadayafka
aqoonsado	taniydi	recognize
aqoonsan	tan olingan	recognized
aqoonsanayn	bilmasdan	recognized internationally
aqoonsatay	tan olingan	aqoonsatay
aqoonsato	taniydi	recognize
aqoonsi	tan olish	recognition
aqoonta	bilim	the knowledge
aqoontiisa	uning ilmi	made
aqoontoodu	ularning bilimlari	aqoontoodu
aqoonyahan	olim	scholar
aqoonyahanad	olimlar	aqoonyahanadq
aqoonyahano	olimlar	professionals
aqrinayaa	o&#39;qing	reading
aqrinayo	o&#39;qish	aqrinayo
aqrineysaa	o&#39;qing	aqrineysaa
aqrinta	o&#39;qish	reading materials
aqriyey	o&#39;qing	booklet or had someone else read it to
aqriyo	o&#39;qish	read
ar	ar	ar
arab	arab	arab
arabsiyo	bir-biri	arabsiyo where
arag	qarang	see
aragnimo	tajriba	state of being experienced
aragtaa	ko&#39;ryapsizmi	do you see
aragtay	ko&#39;rilgan	saw
aragti	nazariya	theory
aragtid	ko&#39;ryapsizmi	see
aragtida	nazariya	the view
aragto	qarang	see
arbaco	chorshanba	wednesday
ardada	talabalar	students
ardaqal	soqolli	ardaqal
arday	talaba	student
ardayda	talabalar	students
ardaydiisii	uning talabalari	ardaydiisii
ardaygii	talaba	the education fee per student per year
ardoqalna	ham	ardoqalna
ardul	ardul	ardul
arduqalwaxa	shovqin	arduqalwaxa
are	bor	ay
areas	joylar	areas
argagaxa	vahima	from terror on
argagixisa	terrorchilar	argagixisa
ari	qarzga olingan	sheep and goats
arif	arif	arif
ariga	echki	the sheep and goats
arima	nashr	arima
arimaha	masalalar	social affairs
arimahaa	bu masalalar	mentioned, being aware of
arimahaas	ushbu muammolar uchun	these issues
arimo	masalalar	issues
arimood	masalalar	ways which
arin	o&#39;rtasi	concept
arinkaas	shu masala uchun	agree
arinta	masala	issue
arintaa	shu masala uchun	infact
arintaas	shu masala uchun	idea
arintaasi	bo&#39;ldi shu	this issue
arintan	bu masala	this issue
arjantiina	mening	arjantiina
arkaa	ko&#39;radi	see
arkaan	qarang	see
arkay	ko&#39;rilgan	saw
arkayninba	ko&#39;rmaydilar	that which you do not see
arkayo	ko&#39;rish	will see you
arkaysaa	ko&#39;ryapsizmi	see
arkeen	ko&#39;rgan	they saw
arkey	eshkak	seen
arki	qarang	see
arko	ko&#39;rilgan	see
arkoon	ko&#39;rmaydilar	arkoon
arlada	er yuzida	other creatures on earth
arligiina	sizning boyligingiz	arligiina
aroor	ertalab	morning
arrimaha	masalalar	affairs
arrimahaas	ushbu muammolar uchun	these
arrimo	masalalar	issues
arrin	materiya	matter
arrinkaa	shu masala uchun	any proof on that issue
arrinkaan	bu masala uchun	this topic
arrinkaas	shu masala uchun	take
arrinkii	masala	had made a poem on
arrinku	masala	was
arrintaa	shu masala uchun	this matter?
arrintaan	bu masalada	this matter
arrintaas	shu masala uchun	matter
arrintan	ushbu sonda	this issue
arrintii	masala	the
arrintu	masala	the matter
arwa	arva	arwa
arwaaq	o&#39;tin	arwaaq
arxan	qo&#39;pol	pity
arxanka	kibr	the compassion
as	sifatida	as
asaasay	asos solingan	he founded
asaaseen	tashkil etilgan	asaaseen
asaasidii	poydevorlar	asaasidii
asad	asad	asad
asaga	uni	he
asagana	xuddi shu paytni o&#39;zida	wounded solider
asagoo	tomonidan	he
asal	kelib chiqishi	original
asalka	kelib chiqishi	, national origin
asalkooda	ularning kelib chiqishi	asalkooda
asalkoodii	ularning kelib chiqishi	asalkoodii
asalkoodu	ularning kelib chiqishi	ethnic somali
asaxaabtu	do&#39;stlar	asaxaabtu
asc	asc	asc
aserbiijaan	tugmani o&#39;ynating	aserbiijaan
asharaaf	xiyonat	respectable persons
ashhadu	kul	ashhadu
ashyaada	narsalar	ashyaada
asiga	meni	speak excerpts
askar	askarlar	soldiers
askari	askar	soldier
askarta	askarlar	the soldiers
askax	askarlar	plant with edible berries
aslam	aslam	aslam
asluubta	intizom	the good behavior
asna	asna	also
assaid	kel	assaid
assembly	yig&#39;ish	assembly
astaamaha	alomatlar	the symptoms of
astaamo	alomatlar	characteristics
astaan	belgisi	mark
astaannta	ramziylik	astaannta
astaanta	belgisi	the mark
asturaa	uzr	a
asxaabtii	do&#39;stlar	broadcasting hereby offer their
asxaabtiisa	uning do&#39;stlari	consult his followers.
at	da	at
atlaantik	atlantika	atlaantik
atom	atom	atom
attaxiyaadka	nazariyalar	attaxiyaadka
audio	audio	audio
august	avgust	august
australia	avstraliya	australia
authentication	autentifikatsiya	authentication
available	mavjud	haddii aanay jirin
avenue	xiyobon	avenue
average	o&#39;rtacha	average
avv	avv	advocate
aw	aw	aw
awal	vayron	formerly
awaxaana	bilasizmi	awaxaana
awdadl	awdadl	awdadl
awdal	avdal	awdal
awdalxiligaasoo	o&#39;sha paytda	awdalxiligaasoo
awdigil	ayol	awdigil
awdigilwuxuu	u buni amalga oshirishi mumkin edi	awdigilwuxuu
aweys	ikki baravar	aweys
awgeed	tufayli	for that reason
awliyada	tionlar	now surely
awmuuse	bajarish	awmuuse
awood	quvvat	power
awooda	qobiliyat	able
awoodaha	vakolatlari	powers
awooday	qodir	he afforded
awoodda	quvvat	the power
awoodeedu	uning kuchi	awoodeedu
awoodii	qobiliyat	ability
awoodoodiiwaxayna	ularning kuchi	awoodoodiiwaxayna
awoow	bobosi	awoow
awoowe	bobosi	grandfather
awoowgiis	bobosi	awoowgiis
awoowgiisii	bobosi	awoowgiisii
awqaafta	teoremasi	awqaafta
awsamaale	misol uchun	high caste
axaaaddiistuba	hadis	axaaaddiistuba
axaaddiista	eksgumatsiya	tradition
axaadiista	hadis	tradition
axad	yakshanba	sunday
axdiga	ahd	the covenant
axdigii	ahd	covenant
axkaamta	aksincha	clergymen living
axmad	ahd	ahmed
axmed	axmed	ahmed
axmedعبدالله	axmed عbdاllh	what ?
ay	ular	is
aya	oyat	them
ayaa	the	those books belongs to sumaya and samira
ayaad	siz	you
ayaamo	kunlar	days
ayaan	men	i
ayaana	va bu shunday	and
ayaanle	yalpiz	"ayanle ""name"""
ayaanu	biz .. qilamiz	we
ayaay	ular	ayaay
ayada	uni	her
ayadoo	bilan	despite
ayaga	ularni	them
ayagoo	ular bilan	they are
ayan	qilmadilar	they
ayay	ular	they
aybakar	maslahat berish	aybakar
aydhiyooliyadda	taqdir	ideology
aydinaan	ted	aydinaan
ayee	voqea	ayee
ayeen	ular	they were doing
ayeey	hayot	they
ayey	yo&#39;l	they
ayeyna	ular	and
ayna	ularning ismlari	and
aynaan	biz qilmaymiz	we
aynaanshe	bu	aynaanshe
aynu	keling	we
ayoo	yarqirash	national park
aysan	qilmadilar	not
aysanna	ham	almost his people are
ayuu	u	he
ayuub	heb	mr. ayoub
ayuun	xursand	much
ayuuna	u bajardi	and he
ayuuu	u	ayuuu
azc	azc	azc
aṣṣūmāl	anmalol	assumal
b	b	b
ba	emas	it was destroyed
baa	hisoblanadi	it
baabal	yo&#39;qoladi	baabal
baabii	qutilmoq	baabii
baabulmandab	avtoulov	baabulmandab
baabuur	mashina	a car
baabuurta	avtomobillar	the trucks
baad	siz	you
baadi	xato	error
baadicadde	xoin	badiadde community.
baadiye	tadqiqotchi	boondocks
baahan	kerak	need
baahday	kerak	he was in need
baahi	kerak	need
baahiayay	ochilgan	baahiayay
baahida	kerak	the need
baahintaasi	eshittirish	baahintaasi
baahna	kerak emas	don't need
baahnaa	kerak	he was hungry
baal	tuk	page
baalakan	qanotlar	baalakan
baallacad	kattalashtirilgan	baallacad
baalle	balet	baalle
baan	bank	i
baanka	bank	the band
baannu	bizda ... bor	we
baanu	uzr	not
baaq	qo&#39;ng&#39;iroq	a statement
baaqa	qo&#39;ng&#39;iroq	the call
baaqan	qolgan	this declaration
baaqayeen	ular chaqirishardi	baaqayeen
baaqaysay	chaqirdi	baaqaysay
baar	qidirmoq	inspect
baardheere	parker	baardheere
baargaal	savdolashish	baargaal
baari	baari	test
baariis	falaj	paris
baaris	tadqiqot	research
baaritaan	tergov	investigation
baarlamaan	parlament	daarlamaan
baarlamaanka	parlament	parliament
baarliin	balon	berlin
baarri	xushmuomalalik	obedient
baaruude	bokira	baaruude
baasifik	plastik	baasifik
baath	bath	baath
baaxad	qamrov	size
baaxada	hajmi	size
baaxadda	hajmi	the width
baaxadiisu	qamrov	baaxadiisu
baay	ko&#39;rfaz	bay
baayacmushtar	tovarlar	business
baayasiid	savdo	baayasiid
baaz	buzmoq	baaz
babaayga	mening otam	babaayga
babac	barakalla	slope
babayga	mening otam	babayga
bacaadka	qum	the sand
bacadle	orqaga	seller
bachelor	bakalavr	got bachelor
bad	yomon	sea
bada	berib	them
badacas	dengiz suvi	badacas
badal	o&#39;zgartirish	changed
badalay	o&#39;zgartirildi	things changed
badaleen	o&#39;zgartirildi	changed from
badalin	o&#39;zgarishsiz	any change is made
badalo	o&#39;zgartirish	change
badan	juda ko&#39;p	many
badana	tez-tez	often
badanaa	odatda	usually
badanaayey	tez-tez edi	badanaayey
badane	ko&#39;p	most
badani	juda ko&#39;p	many
badanina	ularning aksariyati	great
badankood	ularning aksariyati	most of them
badankooda	ularning aksariyati	most
badankoodu	ularning aksariyati	most of them
badanna	ko&#39;p	many
badantahay	juda ko&#39;p	it has a lot
badanyahay	ko&#39;pchilik	very
badanyihiin	juda ko&#39;p	there are many
badashay	o&#39;zgartirildi	that replaced
badaye	ko&#39;pchilik	badaye
badbaaday	saqlandi	he was safe
badbaadayso	saqlansin	badbaadayso
badbaadid	tejash	helps protect
badbaadinta	tejash	protection
badbaadiyey	saqlandi	her protected
badbaadiyo	uni saqlang	save
badda	dengiz	sea
baddacas	baddakalar	red sea
baddii	dengiz	sea
badh	yarmi	half
badhaadhe	yarmigacha	badhaadhe
badhan	tugmasini bosing	button
badhigtay	saqlandi	badhigtay
badhtamaha	o&#39;rtasida	central
badhtamihii	o&#39;rtasida	most of
badiba	asosan	almost every
badiyaa	odatda	barley
badka	dengiz	field
badmareen	suzib ketdi	sailor
badn	yomon	badn
badnaa	juda ko&#39;p	he had a lot
badnayd	mo&#39;l edi	it was too much
badnaydna	mo&#39;l-ko&#39;llikda	camps
badnayn	unchalik emas	more than
badneyn	unchalik emas	less
badno	ko&#39;proq	badno
badood	dengizlar	seas
badwaynta	okean	over
badweynta	okeanning	the ocean
baghdad	alifbo tartibida	baghdad
bah	bah	family
bahabar	bahab	bahabar
bahal	hayvon	beast
bahda	umr yo&#39;ldosh	the noble
bahdil	sharmandali	bahdil
bahdood	muhtoj	bahdood
bahoobayxafladan	ushbu tadbirga xatcho&#39;p qo&#39;ying	bahoobayxafladan
bakaaraha	bakaaro	market
baki	qora	zayla b
bakistaan	pokistonda	pakistan
bakool	bakool	venus
bakoolgalgaduudnugaal	ajablanib	bakoolgalgaduudnugaal
bakr	bakr	bakr
bal	qarang	""""
balaadhan	keng	wide
balaaran	katta	large
balaarintii	kengaytirish	balaarintii
balad	kal	balad
baladhaan	bu chivin	baladhaan
balanqaaday	va&#39;da berishdi	her before him since i promised him
balanqaadyadii	va&#39;dalar	balanqaadyadii
balantii	va&#39;da	balantii
balcad	balon	balcad
baledweyn	katta	baledweyn
balila	arpa	balila
ballaadhaan	kattalashtirilgan	ballaadhaan
ballaadhan	keng	wide
ballaaran	keng	large
ballaariyeen	kattalashtirilgan	extended
ballan	va&#39;da	promise
ballanta	tayinlash	don�t cheat
balqiisa	balkon	queen
balse	lekin	but
bamkii	nasos	bamkii
banaadir	banadir	banadir
banaan	bo&#39;sh	independent
banaanideeda	tashqarida	banaanideeda
banaanka	tashqarida	out
banadir	kamdan-kam uchraydigan	banadir
bandarbayla	komendantlik soati	bandarbayla
bandhigay	taqdim etdi	he presented
bandhigeen	taqdim etdi	have displayed
bandhigo	ta&#39;sir qiladi	present
bandhigtay	taqdim etdi	machination
bangiga	bank	bank
bangigu	bank	a bank
bangladesh	bangladeshlik	bangladesh
bani	inson	human beings
baniaadamka	odamzod	that had affected
banii	banii	children
bank	bank	the bank
banka	bank	the field
banna	aksincha	banna
bannaan	bo&#39;sh joy	plain
bannaanayd	bo&#39;sh	bannaanayd
baqaa	qo&#39;rqib ketdi	to
baqay	qo&#39;rqib ketdi	he was afraid
baqaya	qo&#39;rqadi	fearing
baqdaad	yuk	baghdad
bar	bar	half
bara	o&#39;tgan yili	teach
baraako	muborak	barako
baraalan	qizarib ketdi	baraalan
baraan	o&#39;rgatish	teach
baraarug	xabardorlik	be alert
