$ tỉ	$ અબજ	$ billion
australia	સ્ટ્રેલિયા	(proper noun) australia
austria	riaસ્ટ્રિયા	(proper noun) the country of austria
austrian	ustસ્ટ્રિયન	austrian
avar	અવર	a name
aviation	ઉડ્ડયન	aviation
awad	અજાણવું	awad
award	એવોર્ડ	award
axit	તેજાબ	acid
ayeyarwady	આય્યર્વાદી	ayeyarwady
ayumi	આયુમી	(proper noun) ayumi
ayutthaya	આયુત્થાય	(proper noun) ayutthaya
azerbaijan	અઝરબૈજાન	(proper noun) azerbaijan
aztec	એઝટેક	aztec, as in the aztec people (adj.)
ba	પિતા	three
babylon	બેબીલોન	babylon
bacon	બેકન	bacon
baden	બેડન	baden
baghdad	બગદાદ	(proper noun) baghdad
bago	બેગો	bago
bahamas	બહામાસ	bahamas
bahrain	બાહરીન	bahrain
baháí	બાહ	bahai
balearic	બેલેરીક	balearic
bali	બાલી	bali
balkan	બાલ્કન	(proper adjective) balkan
balkans	બાલ્કન્સ	balkans
ballard	બાલાર્ડ	ballard
bamar	બામર	bamar
ban	પ્રતિબંધ	the
bang	બેંગ	state
banh	દડો	ball
banner	બેનર	banner
bantam	બેન્ટમ	bantam
bantu	તું પ્રતિબંધ	bantu
bao	કોથળો	bao giờ= ever
barack	બરાક	barack
barak	બરાક	barak
barbados	બાર્બાડોઝ	(proper noun) barbados
barbara	બરબારા	barbara
barbary	બાર્બરી	barbary
barca	બાર્કા	barca
barnes	બાર્ન્સ	barnes
barone	બેરોન	barone
baroque	બેરોક	baroque
barquin	બરક્વિન	barquin, as in ramon barquin, the cuban military colonel
barrichello	બેરીશેલો	barrichello
bartholdi	બાર્થોલ્ડિ	bartholdi
baryon	બેરિઓન	baryon
barça	બારોઆ	(proper noun) barca
base	પાયો	base
basel	બેસલ	basel, a city in switzerland
basil	તુલસીનો છોડ	basil
baskervilles	બેસકર્વિલેસ	baskervilles
bass	બાસ	bass
bator	બેટર	bator
battambang	બેટમ્બangંગ	battambang
bauer	bauer	bauer
bay	ઉડાન	"(should be ""tuyến bay"") an airline"
bayern	બેયર્ન	bayern
bazan	બેસાલ્ટ	basalt (n.)
bazơ	પાયાની	base
bb	બીબી	bb
bbc	બીબીસી	bbc
bc	બીસી	bc
bchtư	bchtư	central executive
beat	હરાવ્યું	beat
beatles	બીલ્સ	the beatles
beauty	સુંદરતા	beauty
beckenbauer	બેકનબાઉર	beckenbauer, as in franz beckenbauer
becker	બેકર	(proper noun) becker
beckham	બેકહામ	beckam
bedloe	શયનખંડ	bedloe
beethoven	બીથોવન	beethoven
beethovens	બીથોવેન્સ	beethoven's
beginbmatrix	શિખાઉ માણસ	this is a code
behind	પાછળ	behind
beijing	બેઇજિંગ	beijing
bel	બેલ	bel
bell	ઘંટડી	bell
bella	બેલા	bella
bellatrix	બેલાટ્રિક્સ	bellatrix
benedict	benedict	benedict
benetton	બેનેટટોન	benetton
benfica	બેનફિકા	benfica
benito	બેનિટો	benito
benjamin	બેન્જામિન	(proper noun) benjamin
bennington	બેનિંગ્ટન	bennigton
berber	બાર્બર	berber
bergen	બેર્જેન	(proper noun) bergen
berger	ચાહક	berger
bering	બેરિંગ	(proper noun) bering, as in the bering strait
berkeley	બર્કલે	(proper noun) the city of berkeley, california
berman	બર્મન	a name
bermuda	બર્મુડા	(proper noun) bermuda
bernard	બર્નાર્ડ	bernard
bertrand	બર્ટ્રાન્ડ	bertrand
better	વધુ સારું	better
betty	બેટી	betty
bhutan	ભૂતન	bhutan
bia	બીયર	beer (n.)
biang	બિયાંગ	biang
bic	બી.સી.	bic
bikini	બિકીની	bikini
bill	બિલ	(proper noun) bill, as in former president bill clinton
billy	બિલી	billy
bismarck	બિસ્માર્ક	bismarck, as in otto von bismarck
bitmap	બીટમેપ	bitmap
biên	રેકોર્ડ	bien
biếc	ટીલ	a bluish-green color (adj.)
biếm	બેદરકાર	"(term should be ""biếm họa"") cartoon (n.)"
biến	આઉટ	other
biếng	આળસુ	lose interest in
biếu	શ્રદ્ધાંજલિ આપવી	present
biều	bieu	bieu
biển	સમુદ્ર	ocean
biểuthứcđiềukiện	શરતો જાણો	conditional expression
biện	માફી માંગવી	"(term should be ""biện pháp"") a method (n.)"
biệt	અલગ	"(term should be ""khác biệt"") different or distinct"
bkavpro	bkavpro	bkavpro
blackwell	બ્લેકવેલ	this is a name
blair	બ્લેર	blair
blaise	દોષારોપણ	blaise
blanc	બ્લેન્ક	blanc
blues	બ્લૂઝ	blues
bo	બો	a curl, as in a biceps curl exercise
bob	બોબ	bob
bobby	બોબી	bobby, as in bobby day
boeing	બોઇંગ	boeing
bohemia	બોહેમિયા	bohemia
bolivia	બોલીવિયા	(proper noun) bolivia
boltzmann	બોલ્ટઝમેન	boltzmann
bom	બૉમ્બ	bomb
bonaparte	બોનાપાર્ટ	bonaparte
bong	બોંગ	"(term should be ""bong bóng"") a balloon (n.)"
bonnal	બોનલ	bonnal
bonobo	બોનોબો	bonono
bool	બુલ	bool
boolean	બુલિયન	(proper adjective) boolean, as in boolean algebra
boom	તેજી	boom
boong	તૂતક	a deck (n.)
boongke	બંકર	bunker
bop	બોપ	bop
boris	બોરિસ	boris
borland	બોર્લેન્ડ	(proper noun) borland
borussia	બોરુશિયા	borussia
bose	બોઝ	bose, as in subhas chandra bose
boseeinstein	બોસીનસ્ટેઇન	bose einstein
bosna	બોસ્ના	(proper noun) bosnia
bosnia	બોસ્નીયા	(proper noun) bosnia
botswana	બોત્સ્વાના	botswana
bottom	નીચે	bottom
boulder	બોલ્ડર	boulder
bourbon	બોર્બન	bourbon
boxing	બોક્સીંગ	boxing
brain	મગજ	brain
brandenburg	બ્રાન્ડેનબર્ગ	(proper noun) brandenburg
brandt	બ્રાન્ડ	brandt
braun	બ્રેન	braun
brazil	બ્રાઝિલ	brazil
bremen	બ્રેમેન	bremen, as in the bremen bank
brestlitovsk	brestlitovsk	brest-litovsk
breton	બ્રેટન	(proper noun) breton
bretton	બ્રેટટોન	hoi nghi
brezhnev	બ્રેઝનેવ	brezhnev
brian	બ્રાયન	a name
bridge	પુલ	bridge
britannic	બ્રિટanનિક	(proper noun) britannic
britney	બ્રિટની	britney
brooklyn	બ્રુકલીન	brooklyn
brot	બરડ	this is german not vietnamese
brown	ભુરો	brown
browne	ભૂરા	browne
browning	બ્રાઉનિંગ	(proper noun) browning
bruce	બ્રુસ	bruce
brunei	બ્રુનેઇ	brunei
bruno	બ્રુનો	bruno, as in the city of san bruno
brusilov	બ્રુસિલોવ	brusilov
brussels	બ્રસેલ્સ	brussels, the capital of belgium
btr	બી.ટી.આર.	btr
bubalis	બબાલિસ	bubalis
budapest	બુડાપેસ્ટ	budapest, the capital of hungary
bulgaria	બલ્ગેરિયા	bulgaria
bulletin	બુલેટિન	thong bao
bungary	બુંગરી	bungary
bungo	બુંગો	bungo
buonaparte	બુનાપાર્ટે	(proper noun) buonaparte, as in casa buonaparte
burke	બર્ક	(proper noun) burke, as in edmund burke
burkina	બર્કિના	burkina
burma	બર્મા	burma
burundi	બુરુંડી	burundi
busan	બુસન	a korean city
busby	બસબી	busby
bush	ઝાડવું	bush
bushy	ઝાડવું	bushy
buôn	જથ્થાબંધ	commerce
buông	જવા દો	to release, to let loose
buýt	બસ	bus
buốt	આતુર	sharp
buồm	સફર	sail
buồn	ઉદાસી	sad
buồng	ઓરડો	chamber
buổi	સત્ર	session
byzantine	બાયઝેન્ટાઇન	byzantine
bà	દાદી	woman or lady (n.)
bài	પોસ્ટ્સ	articles
bàn	ટેબલ	table
bàng	ગરુડ	eagle
bành	પેંગ	armchair
bào	પ્લેનિંગ	compatriot
bàu	બાઉ	bau
bày	પ્રસ્તુતિ	"(term should be ""trưng bày"") to display (v.)"
bác	કાકા	doctor
bách	સાયપ્રસ	"(term should be ""bách khoa"") polytechnic (adj.)"
bái	સંપ્રદાય	to bow (v.)
bám	ચોંટી રહેવું	cling
bán	વેચો	sell
báng	બેંગ	"(term should be ""phỉ báng"") to defame or slander"
báo	અખબાર	newspaper (n.)
bát	બાઉલ	eight (n.)
báu	ખજાનો	valuable
bây	હવે	now
bã	અવશેષો	"(term should be ""buồn bã"") sad (adj.)"
bãi	યાર્ડ્સ	beach
bão	તોફાન	storm
bèn	પછી	then
bé	થોડું	baby
bén	તીક્ષ્ણ	sharp (adj.)
béo	ચરબી	fat
bên	બાજુ	side
bênh	બીમાર	advocate
bì	પેકેજિંગ	foreskin (n.)
bìa	કવર	cover
bìu	અંડકોશ	sac (n.)
bí	સ્ક્વોશ	secret
bính	બિન્હ	"(term should be ""bính âm"") romanized chinese words (n.)"
bíró	કોળું	biro
bò	ગાય	beef
bó	જુંડ	bound (adj.)
bói	ભવિષ્ય વાણી	to foretell (v.)
bón	ફળદ્રુપ	"entire term should be ""phan bon""; means ""fertilizer"""
bóng	દડો	sphere or ball
bóp	સ્વીઝ	squeeze
bô	પિતા	"(term should be ""bôxit"") the mineral bauxite"
bôi	ગંધ	to apply (as in oil)
bông	કપાસ	flower
bù	શનગાર	compensate
bùa	તાવીજ	talisman
bùn	કાદવ	mud
bùng	જ્વાળા	"(term should be ""bùng nổ"") to break out (v.)"
bú	suckle	to suck
búa	હથોડી	a hammer
búi	tufts	tuft
bún	ચોખા નૂડલ	noodle
búng	ફ્લિક્ડ	snap
bút	પેન	pseudonym
băm	હેશેડ	hash
băn	ઝગડો	concerned
băng	બરફ	"(term should be ""băng giá"") freezing (adj.)"
bơ	માખણ	"(term should be ""bơ vơ"") desolate (adj.)"
bơi	તરી	swim
bơm	પંપ	pump
bưu	પોસ્ટેજ	post office
bước	પગલું	a step (n.)
bướm	બટરફ્લાય	butterfly
bạ	સંપર્કો	directory
bạc	ચાંદીના	meager
bạch	સફેદ	"(should be ""bạch tuộc"") an octopus"
bại	ગુમાવો	defeated
bảng	પાટીયું	chart
bảo	બાઓ	protect
bảy	સાત	seventh
bấm	દબાવો	press
bất	વાસ્તવિક	"(term should be ""bất cứ"") any (adj.)"
bấy	તે	contemporary
bần	ગરીબ	poor
bầu	મત	vote
bầy	ટોળું	servant
bẩm	જન્મજાત	congenital
bẩn	ગંદા	the
bẩy	છટકું	"(term should be ""lẩy bẩy"") unsteadily (adv.)"
bẫy	છટકું	a trap (n.)
bậc	ડિગ્રી	level or class (n.)
bận	વ્યસ્ત	busy
bật	ચાલુ કરો	outstanding
bắc	ઉત્તર	beijing
bắcnam	ઉત્તર દક્ષિણ	"(term should be ""bắc-nam"") north-south (adj.)"
bắn	શૂટ	shoot
bắp	મકાઈ	venter
bắt	કેચ	cross
bằng	બરાબર	by
bẹp	વાટવું	crush
bẻ	વિરામ	break
bẽ	અપમાન	humiliate
bến	વ્હાર્ફ	wharf
bếp	એક રસોડું	kitchen
bề	સપાટી	"(should be ""bề mặt"") a surface"
bền	ટકાઉ	enduring (v.)
bể	શરણાગતિ	tank
bệ	પેડેસ્ટલ	base
bện	બ્રેઇડેડ	braided (adj.)
bệnh	બીમાર	benh
bỉ	બેલ્જિયમ	disgust
bỉnh	તોફાની	binh
bịch	થમ્પ	ridiculous
bịt	.ંકાયેલ	cover
bọ	ભૂલ	insect
bọc	લપેટી	to cover or enclose (v.)
bọn	તેમને	a group (n.)
bọng	પફનેસ	bladder
bọt	ફીણ	foam
bỏ	રદ કરવું	to leave (v.)
bỏng	બર્ન	hot
bố	પિતા	"(term should be ""tuyên bố"") to declare"
bốc	લોડ કરી રહ્યું છે	bốc lửa= on fire
bối	મૂંઝવણમાં	messy
bốn	ચાર	four
bồi	વળતર	"(term should be ""cao bồi"") cowboy (n.)"
bổn	ફરજ	duty
bổng	શિષ્યવૃત્તિ	"with word luong, means ""salary"" or ""wages"""
bỗng	અચાનક	suddently
bộ	સમૂહ	part
bộc	boc	"(term should be ""bộc lộ"") to reveal (v.)"
bội	બહુવિધ	betray
bột	લોટ	powder or flour (n.)
bớ	રાઉન્ડ અપ	arrest
bớt	ઓછું	less
bờ	ધાર	coast
bời	બમ	profuse
bở	દ્વારા	profitable
bởi	દ્વારા	because
bục	પોડિયમ	platform
bụng	પેટ	abdomen
bứt	અજાણતાં	"(term should be ""bứt phá"") power (n.)"
bừa	દુrowખદાયક	messy, careless, or topsy-turvy (adj.)
bữa	ભોજન	meal (n.)
bực	હતાશ	bother
ca	પાળી	praise
ca-lo	ca-lo	a unit of measurement
cabo	કેબો	cabo
cacbon	કાર્બન	carbon
cacbonat	કાર્બોનેટ	carbonate
cacbua	કાર્બાઇડ	carbides, carbon ions
caesar	સીઝર	caesar
caffein	કેફીન	caffeine
café	કોફી	coffee
cai	કૈ	govern
cairo	કૈરો	cairo, the capital of egypt
cal	કેલ	cal, a first name
calculus	કેલ્ક્યુલસ	calculus
calvin	કેલ્વિન	calvin
cam	નારંગીનો	commit
cambodia	કંબોડિયા	(proper noun) the country of cambodia
cambridge	કેમ્બ્રિજ	cambridge
cameo	કેમિયો	cameo part
cameron	કેમરન	cameron
cameroon	કેમરૂન	cameroon
camille	કમિલ	camille
campbell	કેમ્પબેલ	campbell
campuchia	કંબોડિયા	campuchia
canada	કેનેડા	canada
canadian	કેનેડિયન	canadian
canal	કેનાલ	canal
canary	કેનરી	canary
cancer	કેન્સર	cancer
canterbury	કેન્ટરબરી	canterbury
canxi	કેલ્શિયમ	calcium
capello	કેપેલો	capello
capra	કપરા	capra
carat	કેરેટ	carat
carbine	કાર્બિન	carbine
cardcaptor	કાર્ડકેપ્ટર	cardcaptor
cardcaptors	કાર્ડકેપ્ટર્સ	(proper noun) cardcaptors
carey	કેરી	(proper noun) carey, as in singer mariah carey
caribe	કેરીબ	caribbean
caribê	કેરેબિયન	caribbean
carl	કાર્લ	carl
carlos	કાર્લોસ	carlos
carnaval	કાર્નાવલ	carnaval
carol	કેરોલ	carol
caroline	કેરોલિન	(proper noun) caroline
carpathia	કાર્પેથિયા	carpathia
carter	કાર્ટર	carter
carxtơ	કેરેટ	karst topography, a geological term (n.)
casa	સીએ એસ.એ.	casa
casablanca	કાસાબ્લાન્કા	casablanca
caspia	કેસ્પિયા	caspia
cassini	કેસિની	cassini
cast	કાસ્ટ	cast
castries	કાસ્ટ્રીઝ	castries
castro	કાસ્ટ્રો	castro, as in fidel castro
cathay	કેથે	cathay
catherine	કેથરિન	catherine
cau	કોક	cau
cbc	સીબીસી	cbc
cbgd	સીબીજીડી	educational  officer
cbs	સીબીએસ	cbs
ccc	સીસીસી	ccc
ccn	સીસીએન	industrial cluster
cctv	સીસીટીવી	cctv
cd	સી.ડી.	cd
cdot	cdot	cdot
cdrom	cdrom	cd-rom
cell	કોષ	cell
celtic	સેલ્ટિક	centic
cena	સીના	(proper noun) cena, as in john cena, the wrestler
centauri	સેંટૌરી	centauri
ceres	સેરેસ	ceres
cha	પપ્પા	father
chai	બોટલ	bottle
chaillot	ચેલોટ	a name
chamberlain	ચેમ્બરલેઇન	chamberlain
champa	ચંપા	champa
champion	ચેમ્પિયન	champion
chamẹ	માતા - પિતા	parents
chanel	ચેનલ	chanel
chanh	લીંબુ	lemon or lime (n.)
chao	હાય	(proper noun) chao, a name
charles	ચાર્લ્સ	charles
charlotte	ચાર્લોટ	charlotte
charlton	ચાર્લ્ટન	charlton
charon	ચાર્ન	(proper noun) charon
chase	પીછો	chase
chay	શાકાહારી	fasting
chdcnd	chdcnd	democratic republic
che	કવર	cover
chechnya	chechnya	chechnya
chen	ચેન	chen
cheo	ચી	"(term should be ""cheo reo"") name of a town"
chi	ચી	"(term should be ""chi tiết"") details (n.)"
chia	શેર કરો	"(term should be ""chia sẻ"") to share"
chiang	ચિયાંગ	chiang
chicago	શિકાગો	chicago, as in chicago, illinois
chile	ચીલી	(proper noun) the country of chile
chim	પક્ષી	bird
china	ચાઇના	china
ching	ચિંગ	ching
chirac	ચિરાક	chirac, as in former french president jacques chirac
chiêm	જ્યોતિષીય	"(term should be ""chiêm thành"") the ancient kingdom of champa in vietnam"
chiên	તળેલી	fry
chiêng	ગોંગ	gong
chiếc	પીસી	the
chiếm	માટે હિસાબ	appropriate
chiến	લડવા	war, fight
chiết	અર્ક	literal
chiếu	સાદડી	show
chiền	ટોળું	temple
chiều	બપોરે	length
chlamydia	ક્લેમીડીઆ	chlamydia
chloride	ક્લોરાઇડ	chloroauric acid
chnd	chnd	chnd
choi	રમ	choi
chomsky	ચોમ્સ્કી	chomsky
chong	ચોંગ	chong
chopin	ચોપિન	chopin
chosŏn	chosŏn	(proper noun) choson
choàng	કેપ	coat
choáng	સ્તબ્ધ	dizzy
chris	ક્રિસ	chris, as in chris hughes
christ	નાતાલ	christ
christian	ખ્રિસ્તી	christian
christopher	ક્રિસ્ટોફર	christopher
chrome	ક્રોમ	chrome, as in google chrome
chrysler	ક્રાયસ્લર	(proper noun) chrysler, the car company
chu	ચૂ	cycle
chua	ખાટા	tomato
chuck	ચક	(proper noun) chuck, as in chuck norris
chui	સાફ કરવું	underground
chum	ચૂમ	pot
chun	ચૂન	chun
chung	સામાન્ય	general
churchill	ચર્ચિલ	churchill
chuyên	વિશિષ્ટ	professional
chuyến	સફર	trip
chuyền	પસાર	volleyball
chuyển	આગળ વધ્યું	to move
chuyện	વાર્તા	nói chuyện= talk
chuôi	કુશળ	handle
chuông	ઘંટડી	a bell
chuẩn	ધોરણ	standard
chuốc	થેલી	incur
chuối	કેળા	banana
chuốt	દલાલ	refine
chuồng	પાંજરા	cage
chuỗi	સાંકળ	series
chuộc	રિડીમ કરો	redeem
chuộng	તરફેણમાં	favorite
chuột	માઉસ	a mouse (n.)
chà	ઘસવું	rub
chài	માછીમારી	fish
chàm	ઈન્ડિગો	indigo
chàng	વ્યક્તિ	"(term should be ""chàng trai"") a young man (n.)"
chào	નમસ્તે	welcome
chày	બેઝબ .લ	a pestle (n.)
chánh	મુખ્ય	"(term should be ""chánh án"") the head of a tribunal (n.)"
cháo	પોર્રીજ	porridge
cháu	પૌત્રો	a term one uses denoting oneself when addressing an aunt or uncle (n.)
cháy	અગ્નિ	fire
châm	પ્રિક	motto
chân	પગ	a leg
châu	યુરોપ	continental
chè	ચા	tea
chèn	દાખલ કરો	insert
chém	કાપવું	to chop
chén	કપ	bowl
chéo	ક્રોસ	cross
chép	નકલ કરો	written
chê	ધિક્કાર	decry
chênh	તફાવત	difference
chì	દોરી	graphite
chìa	કી	"(term should be ""chìa khoá"") a key (n.)"
chìm	ડૂબી ગયો	to become submerged or sink (v.)
chình	ઇલ	eel
chí	જૂ	especially
chích	ડંખ	shoot
chín	નવ	ripe
chính	મુખ્ય	main
chít	ચીટ	dense
chò	ગૂંગળાવી	a type of plant, typically of the parashorea genus (n.)
chòi	કેબીન	hut
chòm	નક્ષત્ર	constellation
chó	કૂતરો	dog
chóc	હાહા	killing (giet choc)
chói	ઝગઝગતું	bright
chóng	તરત	"entire term should be ""chong mat""; means ""dizzy"""
chóp	ટોચ	the top (n.)
chôm	રેમ્બુટાન	rambutan
chôn	દફનાવી	bury
chông	પતિ	thorn
chùa	મંદિર	pagoda
chùy	ગદા	mace
chú	કાકા	uncle (n.)
chúa	ભગવાન	god
chúc	ઈચ્છો	will
chúi	તુ	drop
chúng	તેમને	they
chút	થોડૂક જ	little
chăm	સખત	champa
chămpa	ચંપા	champa
chăng	પોસાય	would it
chĩa	કાંટો	point
chơi	રમ	play
chơn	પગ	"a more obscure form of the word ""chân""; means ""genuine"" or ""true"""
chư	ચૂ	lower authorities
chưa	હજી નહિં	not yet
chưng	ડિસ્ટ	steamed
chương	પ્રકરણ	medal
chướng	વિઘ્ન કાર્યપ્રણાલી	grating
chạ	વલણવાળું	father
chạm	સ્પર્શ	touch
chạng	સંધિકાળ	twilight
chạp	અસ્થિર	slow
chạy	ચલાવો	to run (v.)
chả	રોલ્સ	no
chảo	પણ	pan
chảy	ચલાવો	bleeding
chấm	ડોટ	end
chấp	પડકાર	"(term should be ""chấp nhận"") to accept (v.)"
chất	બાબત	quality
chấu	ચપટી	"(term should be ""châu chấu"") a grasshopper (n.)"
chần	નિખારવું	slice
chẩn	નિદાન	"(term should be ""chẩn đoán"") to diagnose (v.)"
chậm	ધીમું	slow
chận	અવરોધિત કરો	block
chật	કડક	overcrowded
chậu	પોટ	pelvic
chắc	ખાતરી કરો	certainly
chằng	કપાળ	ligament
chẵn	પણ	even
chặn	અવરોધિત	prevent
chặng	પગ	journey
chặt	વિનિમય કરવો	close
chẻ	ભાગલા	strick
chẽ	કડક	"(term should be ""chặt chẽ"") tightly or closely (adv.)"
chế	તૈયારીઓ	produce
chếch	સુસ્ત	oblique
chết	મૃત્યુ પામ્યા	to die (v.)
chệch	ખોટું	deviant
chỉ	માત્ર	just (adv.)
chỉnh	કરેક્શન	adjust
chịt	વાહિયાત	chằn chịt= complex/tangle
chịu	રીંછ	tolerate
chọc	ધ્રુજારી	to poke
chọi	લડાઈ	oppose
chọn	પસંદ કરો	to choose
chỏ	કોણી	"(term should be ""cùi chỏ"") elbow (n.)"
chốc	ક્ષણ	single
chối	નામંજૂર	refuse
chốn	સ્થળ	place
chống	વિરોધી	anti-
chốt	કળણ	important
chồi	અંકુરની	"(term should be ""đâm chồi"") budding"
chồn	શિયાળ	anxious
chồng	પતિ	husband
chỗ	સ્થળ	where
chội	છી	cramped
chớ	ના કરો	not
chớp	વીજળી	flashing (adj.)
chờ	રાહ જુઓ	to wait
chở	વહન	for
chợ	બજાર	market
chợt	અચાનક	suddenly
chục	ડઝન	dozen
chụp	શોટ લો	capture
chủ	માસ્ટર	"(term should be ""chủ yếu"") main or essential (adj.)"
chủng	તાણ	strain
chứ	બદલે	just or only (adv.)
chứa	સમાવે છે	contain
chức	કાર્ય	function
chừ	પત્ર	hesitate
chừa	છોડીને	leave
chừng	કેટલાક	about or roughly (adv.)
chử	શબ્દ	"(term should be ""chử bích"") the vietnamese name for a chinese island"
chửa	ગર્ભવતી	pregnant
chửi	શ્રાપ	curse
chữ	શબ્દ	a letter of the alphabet (n.)
chữa	ઇલાજ	to cure or treat (v.)
chững	સ્તરીકરણ	to totter (v.)
cia	સીઆઆઈ	cia
cincinnati	સિનસિનાટી	cincinnati
