$	dollar təşkil edib	a sign of doller
અટકાવી	qarşısı alındı	prevent
અટકાવે	qarşısını alır	prevents
અટકાવ્યા	dayandı	prevented
અટકી	asmaq	stopped
અટલ	dözülməzdir	surname
અઠવાડિયા	həftələr	week
અઠવાડિયાનો	həftənin	of the week
અઠવાડિયામાં	həftə ərzində	in a week
અડધા	yarım	half
અડધી	yarım	half
અડધું	yarım	half
અડીને	bitişik	touch
અડે	dokular	touch
અઢાર	on səkkiz	eighteen
અણનમ	məğlubedilməz	not out
અણી	kənar	in last stage
અણુ	atom	nuclear
અણુઓ	atomlar	atoms
અણુકેન્દ્રીય	atom	nuclear centre
અતઃ	buna görə	therefore
અતિ	ekstremal	more/excess
અતિક્રમણ	qəsb	attack
અતિરિક્ત	əlavə	additional
અતિશય	həddindən artıqdır	very
અત્યંત	həddindən artıqdır	extremely
અત્યાચાર	vəhşiliklər	tyranny
અત્યાર	i̇ndiyə qədər	now
અત્યારના	cari	recently
અત્યારે	hal hazırda	now
અત્રે	burada	now
અથવા	və ya	or
અથવાતો	və ya	or
અથાણું	turşu	pickles
અદભુત	zəhmli	magnificient
અદા	problem	style
અદાલતો	məhkəmələr	courts
અદ્યતન	ətraflı	modern
અદ્રશ્ય	görünməz	invisible
અદ્વિતીય	unikal	unparalleled
અદ્વૈત	advaita	nonduality
અધિક	daha çox	additional
અધિકતર	əsasən	most
અધિકાંશ	ən çox	majority
અધિકાર	düzdür	right
અધિકારી	məmur	officer
અધિકારીઓ	məmurlar	officials
અધિકારીઓની	zabitlərdən	officer's
અધિકારો	hüquqlar	right
અધિકારોનો	hüquqlar	right
અધિકૃત	səlahiyyətlidir	authorised
અધિવેશન	sessiya	session
અધીન	mövzu	depend
અધૂરો	tamamlanmamış	incomplete
અધ્યક્ષ	sədr	head person
અધ્યક્ષપદ	prezidentlik	chairmanship
અધ્યયન	tədqiqat	study
અધ્યાત્મ	mənəviyyat	philosophical
અધ્યાય	fəsil	lessons
અધ્યાયમાં	fəsildə	chapter
અન	və	and
અનંત	sonsuzluq	infinite
અનન્ય	unikal	unique
અનાજ	taxıllar	corn
અનામત	qorunur	reserved
અનિયમિત	düzensiz	irregular
અનિલ	anil	anil
અનિવાર્ય	qaçılmaz	necessary / compulsary
અનિશ્ચિત	qeyri-müəyyən	uncertain
અનિશ્ચિતતા	qeyri-müəyyənlik	uncertainty
અનુકૂળ	rahatdır	convenient / suitable
અનુક્રમણિકા	i̇ndeks	index
અનુક્રમે	müvafiq olaraq	sequentially / respectively
અનુગામી	sonrakı	follower,
અનુપમ	müqayisə edilə bilməz	unique
અનુભવ	təcrübə	experience
અનુભવાયા	keçə	experienced
અનુભવી	təcrübəli	experinced
અનુભવે	hiss edin	experiencing
અનુમાન	tapın	presumption
અનુયાયી	i̇zləyicisi	follower
અનુયાયીઓ	i̇zləyicilər	followers
અનુયાયીઓને	i̇zləyicilər	follower
અનુલક્ષીને	nə olursa olsun	imagining
અનુવાદ	tərcümə	transalation
અનુવાદો	tərcümələr	translations
અનુસરે	i̇zləyir	follwing
અનુસાર	görə	accordingly
અને	və	and
અનેં	və	and
અનેક	bir çoxu	many
અનેરું	və sair	unique
અનૈતિક	əxlaqsız	non-proper
અનોખી	unikal	unique
અન્ન	yemək	food
અન્નક્ષેત્ર	qida sahəsi	free food center
અન્ય	digərləri	other
અન્યત્ર	başqa yerdə	anywhere else
અન્યાય	ədalətsizlik	injustice
અન્યો	digərləri	others
અન્યોએ	digərləri	by others
અપ	yuxarı	up
અપડેટ	yeniləyin	update
અપના	apna	our
અપનાવવા	qəbul etmək	to adopt
અપનાવવામાં	qəbul edilmişdir	to adopt
અપનાવી	qəbul edilmişdir	applied
અપની	sizin	self
અપને	sizə	own [hindi word]
અપભ્રંશ	apabhramsa	derived / diverted
અપમાન	təhqir	insult
અપરિગ્રહ	yoxluq	possession
અપલોડ	yükləmək	to upload
અપવાદ	i̇stisna	exception
અપવાદરુપ	i̇stisna	exception
અપહરણ	qaçırma	kidnap
અપાતી	verilmişdir	given
અપાય	verilmişdir	to give
અપાયું	verilmişdir	given
અપાયો	verilmişdir	presented
અપાવી	verilmişdir	to give
અપાવે	verir	gets
અપાવ્યો	təmin edilmişdir	given
અપીલ	müraciət edin	appeal
અપૂર્ણ	tamamlanmamış	uncomplete
અપૂર્વ	görünməmiş	unbelivable
અપેક્ષા	gözləmək	expectation
અપેક્ષિત	gözlənilir	expectancy
અપ્સરા	səma qızı	heavenly nymph, fairy
અફઘાનિસ્તાન	əfqanıstan	afghanistan
અબજ	milyard	1000000000
અબ્દ	abd	abd
અબ્દુલ	əbdül	abdul
અભયારણ્ય	ziyarətgah	national park
અભાવ	çatışmazlığı	lack of
અભાવે	olmaması	lack of
અભિગમ	yanaşma	concept
અભિનંદન	təbrik edirəm	congratulation
અભિનય	aktyorluq	acting
અભિનેતા	aktyor	actor
અભિનેત્રી	aktrisa	heroin
અભિનેત્રીનો	aktrisanın	of actress
અભિન્ન	i̇nteqral	different
અભિપ્રાય	fikir	opinion
અભિમન્યુ	abhimanyu	abhimanyu
અભિમન્યુના	abhimanyu	abhimanyu's
અભિમન્યુને	abhimanyu	to abhimanyu
અભિમન્યૂ	abhimanyu	abhimanyu
અભિયાન	kampaniya	campaign
અભિવ્યક્ત	i̇fadə etdi	express
અભિવ્યક્તિ	i̇fadə	expression
અભિષેક	məsh	abhishek
અભૂતપૂર્વ	görünməmiş	tremendous
અભ્યાસ	tədqiqat	study
અભ્યાસક્રમ	əlbəttə	syllabus
અભ્યાસમાં	tədqiqatda	in studies
અભ્યાસો	tədqiqatlar	studies
અમદાવાદ	əhmədabad	ahmedabad
અમદાવાદથી	əhmədabaddan	from ahmedabad
અમદાવાદના	əhmədabadın	ahmedabad's
અમદાવાદની	əhmədabadın	ahmedabad's
અમદાવાદને	əhmədabaya	to ahmedabad
અમદાવાદમાં	əhmədabadda	in ahmedabad
અમને	bizim	to us
અમર	ölümsüz	immortal
અમરેલી	amreli	amreli, name of taluka of gujarat
અમલ	i̇cra	follow/acceptance
અમલમાં	həyata keçirilən	in force
અમારા	bizim	ours
અમારી	bizim	our
અમિતાભ	amitabh	film star of bollywood amitabh
અમુક	bəziləri	some
અમુલ	amul	amul
અમૂર્ત	mücərrəd	extraordinary
અમે	biz	we
અમેરિકન	amerika	american
અમેરિકા	amerika	america
અમેરિકાના	amerikanın	america's, of america
અમેરિકાની	amerikanın	america's
અમેરિકાને	amerikaya	to america
અમેરિકાનો	amerikalılar	america's
અમેરિકામાં	amerikada	in america
અમેરિકી	abş	american
અમેરિકીઓ	amerikalılar	american,
અમ્પાયર	ümüd	umpire
અયોગ્ય	yalnış	improper
અયોધ્યા	ayodhya	ayodhya
અરજણજી	arjanji	arjanji
અરજી	tətbiq	application
અરબ	ərəb	arab
અરબસ્તાન	ərəbistan	arabia
અરબી	ərəb	arabi
અરવિંદ	arvind	arvind
અરસામાં	dövrdə	during
અરાજકતા	xaos	chaos
અરુણાચલ	arunaçal	arunachal
અરેબિયા	ərəbistan	arabia
અરેબીક	ərəb	arabic
અર્જુન	arjun	arjun
અર્જુનના	arjuna	arjun's
અર્જુનની	arjuna	arjuna's
અર્જુનને	arjuna	to arjun
અર્જુનનો	arjuna	arjun's
અર્જુને	arjun	arjun
અર્થ	məna	earth
અર્થકવેક	zəlzələ	earthquake
અર્થઘટન	təfsir	interpretation
અર્થતંત્ર	i̇qtisadiyyat	economy
અર્થતંત્રની	i̇qtisadiyyatın	of economy
અર્થતંત્રને	i̇qtisadiyyat	to the economy
અર્થતંત્રમાં	i̇qtisadiyyatda	economically
અર્થમાં	sensiz	by meaning,
અર્થવ્યવસ્થા	i̇qtisadiyyat	economics
અર્થશાસ્ત્ર	i̇qtisadiyyat	economics
અર્થશાસ્ત્રી	i̇qtisadçı	economist
અર્થાત	məhz	meaning
અર્થાત્	məhz	meaning
અર્થે	bir mənada	meaning
અર્થો	mənaları	meanings
અર્ધ	yarım	half
અર્ધા	yarım	half
અર્પણ	təklif	dedication
અર્વાચીન	yenidir	modern
અલ	əl	el
અલંકરણ	bəzək	decoration
અલંકાર	bəzək	ornament
અલંગ	alang	alang
અલગ	fərqlidir	different
અલગઅલગ	fərqli olaraq	separately
અલણમીર	alanmeer	alanmir
અલબત્ત	əlbəttə	certainly
અલાસ્કાના	alyaska	alaska's
અલી	əli	ali
અલૌકિક	fövqəltəbii	magnificient
અલ્પજીવી	qısamüddətlidir	short-lived
અલ્લાહ	allah	allah
અલ્હાબાદ	allahabad	allahabad
અવકાશ	sahə	space
અવકાશના	məkan	expect
અવકાશમાં	məkanda	space
અવકાશયાન	kosmik gəmi	space shuttle
અવકાશસમય	məkan vaxtı	space-time
અવકાશી	məkan	related to space
અવકાશીય	məkan	related to space
અવગણના	yalnayam	unconsideration
અવતાર	avatar	incarnation
અવતારો	avatarlar	incarnation
અવધિ	müddəti	duration
અવધી	dövr	duration
અવર	bizim	hour
અવરોધ	müqavimət	obstacle
અવરોધક	i̇nhibitor	obliterator
અવરોધો	maneələr	obstructions
અવલંબન	asılılıq	dependant
અવલોકન	müşahidə	discription
અવલોકનક્ષમ	müşahidə olunur	visible / observable
અવલોકનો	müşahidələr	observations
અવશેષ	nisbi	remains
અવશેષો	qalıqları	the ruins of an old wersked building
અવશ્ય	əlbəttə	certainly
અવસર	fürsət	occasion
અવસાન	ölüm	death
અવસ્થામાં	dövlətdə	phase
અવાજ	səs	voice
અવાજના	səsdən	of voice
અવાજની	səsdən	voice's
અવાજનો	səsdən	sounds's
અવારનવાર	tez-tez	frequently
અવિરત	fasiləsiz	continuous
અશક્ય	mümkün deyil	impossible
અશોક	aşok	ashok
અશોકના	ashoka&#39;dan	ashoka's
અશ્વત્થામા	ashwatthama	ashwatthama
અશ્વત્થામાએ	ashwatthama	ashwathama
અશ્વિન	ashwin	ashvin
અષાઢ	əşhəd	asadha
અષાઢી	əşadhi	from ashadh
અસંખ્ય	çox sayda	several, many
અસફળ	uğursuz	fail
અસમાનતા	bərabərsizlik	inequality
અસર	effekt	action
અસરકારક	effektivdir	effective
અસરકારકતા	effektivlik	effectiveness
અસરગ્રસ્ત	təsirə məruz qalmışdır	affected
અસરથી	təsiri ilə	by the effect of
અસરના	təsiri	of effect
અસરને	təsirinə	of the effect
અસરનો	təsiri	of effect
અસરો	effektlər	effects
અસરોને	effektlər	effects
અસરોમાં	təsirlərdə	effects,
અસલ	orijinaldır	real
અસહકારની	qeyri-əməkdaşlıq	of the non cooperation
અસહ્ય	dözülməz	unbearable
અસાધારણ	qeyri-adi	unusual
અસામાન્ય	qeyri-adi	unusual
અસ્ત	ast	waning
અસ્તિત્વ	mövcudluq	existence
અસ્તિત્વનો	varlığın	of existance
અસ્તિત્વમાં	mövcüd olmaq	in existance
અસ્ત્ર	mərmi	weapon
અસ્થિર	qeyri-sabit	unstable
અસ્થિરતા	qeyri-sabitlik	instability
અસ્પૃશ્યતા	əlçatmazlıq	"thinking like ""keep away from some category"""
અસ્પૃશ્યતાનિવારણ	əlçatmazlığın qarşısının alınması	removal of the untouchability
અસ્વીકાર	rədd	refusal to accept
અહમદ	əhməd	"name ""ahamad"""
અહિ	burada	here
અહિં	burada	here
અહિંસક	zorakı deyil	non-violent
અહિંસા	qeyri-zorakılıq	non violence
અહિંસાના	qeyri-zorakılıqdan	nonviolence
અહિયાં	burada	here
અહી	burada	hear
અહીં	burada	here
અહીંથી	buradan	from here
અહીંના	burada	from here
અહીંની	burada	from here
અહીંનું	buradan	of here
અહીંયા	burada	here
અહેવાલ	hesabat	report
અહેવાલો	hesabatlar	report
અહેસાસ	reallaşdırma	feel
આ	bu	this
આંકડા	statistika	figures
આંકડાઓ	statistika	figures
આંકડાકીય	statistik	kind of sweet
આંકડો	şəkil	figure / number
આંકવામાં	nömrəli	skale
આંખ	göz	eye
આંખે	çarpıcı	eye
આંખો	gözlər	eyes
આંગણે	həyətdə	yard
આંગળી	barmaq	fingure
આંગળીઓ	barmaqlar	fingers
આંચકા	zərbələr	shocks,
આંતર	i̇nter	inter
આંતરરાષ્ટ્રીય	beynəlxalq	international
આંતરિક	daxili	internal
આંતરીક	daxili	internal
આંદામાન	andaman	andaman
આંદોલન	hərəkat	movement,
આંદોલનકારીઓ	təbliğatçılar	activists
આંદોલનની	hərəkətin	violation
આંધ્ર	andhra	andhra
આંબેડકર	ambedkar	ambedkar
આંશિક	qismən	partial
આંસુ	göz yaşları	tear
આઇ	mən	i
આઇએસબીએન	isbn	isbn
આઇઝેક	i̇shaq	isac
આઇન્સ્ટાઇન	eynşteyn	einstein
આઇન્સ્ટાઇનના	eynşteyn	einstein's
આઇન્સ્ટાઇને	eynşteyn	by einstein
આઇપીસીસી	ipcc	ipcc
આઇરીશ	i̇rland	irish
આઇસ	buz	ice
આઈ	göz	i
આઈડિયા	fikir	idea
આઈન્સ્ટાઈન	eynşteyn	einstein
આઈન્સ્ટાઈનના	eynşteynin	einstein's
આઈન્સ્ટાઈનની	eynşteynin	of einstien
આઈન્સ્ટાઈનને	eynşteynə	to einstein
આઈન્સ્ટાઈને	eynşteyn	by einstein
આઈપીવી	ipv	ipv
આઉટ	çıxdı	out
આઉટડોર	bayır	outdoor
આકરી	kəskin	strong
આકર્ષક	cəlbedicidir	attaraction
આકર્ષણ	cazibə	attraction
આકર્ષિત	cəlb edin	attracted
આકર્ષે	cəlb edir	attraction
આકાર	forma	shape
આકારના	formalı	shaped
આકારની	formalı	shape
આકારમાં	formada	in shape
આકાશ	səma	sky
આકાશમાં	göydə	in sky
આકૃતિ	şəkil	figure
આક્રમક	təcavüzkar	aggressive
આક્રમણ	i̇şğal	attack
આક્રમણથી	təcavüzdən	attack
આક્રમણની	təcavüzdən	of attack
આક્રમણને	i̇şğal	attack
આક્રમણો	i̇şğalçılar	attacks
આક્ષેપ	i̇ddia	alligation
આખરી	sonuncu	last / final
આખરે	nəhayət	at last
આખા	bütöv	entire
આખી	bütöv	whole
આખું	bütöv	entire
આખો	bütöv	full
આગ	atəş	fire
આગમન	gəliş	arrival
આગરા	aqra	agra [some text is in hindi]
આગલા	sonrakı	previous
આગળ	sonrakı	front
આગળના	ön	fore most
આગવી	görkəmli	future
આગામી	sonrakı	next, incoming
આગાહી	proqnoz	estimations
આગેવાન	baş qəhrəman	dominating
આગેવાની	led	take position of
આગેવાનીમાં	tərəfindən idarə olunur	following
આગ્રહ	təkid	force
આગ્રા	aqra	agra, name of city of inda
આઘાત	şok	action
આચરણ	davranış	behaviour
આચાર	davranış	code of conduct
આચાર્ય	müdir	principal
આજ	bu gün	today
આજથી	bu gündən	from today
આજના	bugünkü	today's
આજની	bugünkü	today's
આજનું	bugünkü	today's
આજનો	bugünkü	today
આજી	aji	aji
આજીવન	ömür boyu	lifetime
આજુબાજુ	ətrafında	surrounding
આજુબાજુના	ətrafı	surrounding
આજુબાજુનાં	ətrafı	surrounding
આજુબાજુમાં	hər tərəfdə	in surrounding
આજે	bu gün	today
આજ્ઞા	əmr	order
આઝાદ	azad	independent
આઝાદી	azadlıq	freedom
આઝાદીની	azadlıq	of independence
આટલા	bu qədər	so much
આટલી	bu qədər	so
આટોપી	atopiya	winding
આઠ	səkkiz	this
આઠમી	səkkizinci	eigth
આઠમો	səkkizinci	eighth
આડકતરી	dolayı olaraq	indirectly,
આડા	üfüqi olaraq	obstruct
આડે	aade	other
આણંદ	anand	anand
આણંદમાં	anandda	in anand city
આણે	bu	brings
આણ્યો	gətirdi	brought
આણ્વીક	molekulyar	atomic,
આતંકવાદ	terrorizm	terrorism
આતંકવાદી	terrorçu	terrorist
આતંકવાદીઓ	terroristlər	militants
આત્મકથા	tərcümeyi-hal	autobiography
આત્મકથાઓમાં	avtobioqrafiyalarda	in bio-graphy
આત્મકથામાં	tərcümeyi-halında	in autobiography
આત્મા	ruh	soul
આત્માને	ruha	to soul
આત્યંતિક	ekstremal	severe / highly
આથી	beləliklə	because of this
આદર	hörmət edin	respect
આદરી	adari	began
આદર્શ	i̇deal	ideal
આદર્શો	i̇deallar	ideals
આદાનપ્રદાન	mübadilə	give and take / barter
આદિ	və s.	ancient
આદિને	adine	other,
આદિલ	adil	adil
આદિવાસી	qəbilə	tribal
આદિવાસીઓ	qəbilələr	aboriginal
આદેશ	əmr	order
આધાર	dəstək	support
આધારિત	əsaslıdır	dependent
આધારીત	əsaslıdır	based
આધારે	əsasında	based / base / footing
આધિકારિક	rəsmi	official [hindi word]
આધિપત્ય	üstünlük	domination
આધીન	mövzu	depend
આધુનિક	müasir	mordern
આધૂનિક	müasir	modern
આધ્યાત્મિક	ruhani	religious
આનંદ	zövq alın	joy
આનંદપુર	anandpur	anandpur
આનર્ત	anart	aanart
આના	bu	by this
આનાથી	bundan	by this
આની	bu	it's
આનું	bu	this
આને	buna	this
આનો	bu	this
આપ	sən	you
આપણને	bizim	ours
આપણા	bizim	ours
આપણી	bizimki	our
આપણું	bizimki	ours
આપણે	biz	we
આપણો	bizimki	our
આપતા	verir	used to give
આપતાં	verir	giving
આપતી	verir	giving
આપતું	verir	giving
આપતો	verir	giving
આપનાર	verir	the one who gives
આપનારા	ötürücülər	those who are giving
આપની	hörmətlə	in front of you.
આપને	sizə	to you
આપમેળે	avtomatik olaraq	own
આપલે	mübadilə	give and take
આપવા	vermək	to give
આપવાના	vermək	giving
આપવાની	vermək	to give
આપવાનું	verir	to give
આપવાનો	vermək	to give
આપવામાં	verilmişdir	to give
આપવી	verir	to give
આપવું	vermək	to give
આપશે	verəcəyəm	provide
આપી	verin	to give
આપીને	verərək	by giving, after giving
આપે	verir	gave
આપેલ	verilmişdir	given
આપેલા	verilmişdir	given
આપેલાં	verilmişdir	to give
આપેલી	təmin edilmişdir	given
આપેલું	tooltip	given
આપો	verin	give [indicative]
આપોઆપ	avtomatikdir	by its own
આપ્યા	verir	gave, given
આપ્યાં	verilmişdir	given
આપ્યુ	verdi	given
આપ્યું	verdi	tendered
આપ્યો	verdi	given
આફ્રિકન	afrika	african
આફ્રિકા	afrika	africa
આફ્રિકાના	afrikanın	africa's
આફ્રિકામાં	afrikada	africa
આફ્રિકી	afrika	african
આબુ	əbu	abu
આબોહવા	i̇qlim	atmosphere
આબોહવાને	i̇qlim	climate
આભાર	çox sağ ol	gratitude
આભારી	təşəkkür edirəm	thankful
આમ	beləliklə	this way
આમંત્રણ	dəvət	invitation
આમતો	amato	in general
આમાં	bu	within this
આમાંથી	bunlardan	from this
આયરલેંડ	i̇rlandiya	ireland,
આયરિશ	i̇rland	irish
આયર્ન	dəmir	iron
આયર્લેન્ડ	i̇rlandiya	island
આયર્લેન્ડના	i̇rlandiya	country name
આયર્લેન્ડમાં	i̇rlandiyada	country name
આયાત	i̇dxal	imports
આયુર્વેદ	ayurveda	ayurved
આયુર્વેદના	ayurveda	of ayurveda,
આયુર્વેદિક	ayurveda	aayurvedic
આયુષ્ય	ömür	life
આયોજન	planlaşdırma	planning
આયોજીત	mütəşəkkil	organised
આર	r	r
આરંભ	başlamaq	start
આરંભી	əvvəlcə	started
આરએફસી	rfc	rfc
આરએસશર્મા	rs şarma	r. s. sharma
આરતી	aarti	arti
આરબ	ərəb	arab
આરસ	mərmər	marble
આરસના	mərmər	marble's
આરસની	mərmər	marble's
આરાધના	i̇badət	to pray
આરામ	rahatlayın	rest
આરોગ્ય	sağlamlıq	health
આરોગ્યની	sağlamlıq	health related
આરોપ	i̇ttiham olunur	impose
આરોપો	ödənişlər	allegations
આર્કટિક	arktika	arctic
આર્કાઈવ્સ	arxivlər	arcives
આર્કિટેક્ચર	memarlıq	architecture
આર્કિટૈક્ચર	memarlıq	architecture
આર્ટ	i̇ncəsənət	art
આર્થર	artur	arthur
આર્થિક	i̇qtisadi	economical / financial
આર્ય	arya	arya
આર્યભટીય	aryabhatiya	aryabhatiya
આર્યભટ્ટ	aryabhata	aryabhatta (one of the world's greatest mathematician-astronomer)
આર્યભટ્ટની	aryabhata	aryabhatiya
આર્યભટ્ટે	aryabhata	by aryabhatt
આલ	əl	al
આલેખતી	rəsm	nerrating
આલેખન	rəsm	design
આલ્ફા	alfa	alpha
આલ્ફ્રેડ	alfred	alaphreda
આલ્બર્ટ	albert	albert
આવક	gəlir	income
આવકના	gəlir	of income
આવકાર	xoş gəldiniz	welcome
આવતા	gəlir	come
આવતાં	gəlir	being
આવતી	gəlir	comes
આવતું	gəlir	to be managed
આવતો	gəlir	coming
આવનાર	gələcək	the one who is coming
આવનારા	gələcək	incoming
આવરણ	qapaq	layer
આવરી	qapaq	covered
આવર્ત	dövri	"name of comet ""avart"""
આવવા	gəlmək	to come
આવવાની	gəlmək	of coming
આવવાનું	gəlmək	to come
આવશે	gələcək	come
આવશ્યક	tələb olunur	require
આવા	kimi	such
આવાસ	yerləşdirmə	residence
આવાહન	dəvət	appeal
આવી	gəldi	came
આવીને	gəlir	arrival
આવુ	gəl	such
આવું	bunu et	such
આવૃત્તિ	versiya	edition
આવે	gəlmək	known as
આવેલ	yerləşir	has come
આવેલા	yalan	come
આવેલાં	yalan	situated
આવેલી	yerləşir	situated at
આવેલુ	yerləşir	situated
આવેલું	yerləşir	situated in
આવેલો	yalan danışır	situated at
આવો	gəl	[you] come
આવ્યા	gəldi	to arrive
આવ્યાં	gəldi	came
આવ્યુ	gəldi	come
આવ્યું	gəldi	come
આવ્યો	gəldi	came
આશરે	təxminən	approximatly
આશા	ümid	desire
આશીર્વાદ	nemətlər	blesses
આશ્ચર્ય	sürpriz	surprise
આશ્રમ	əşram	ashram (monstery)
આશ્રમની	əşram	of ashram
આશ્રમમાં	aşramda	in asylum / monastery
આશ્રય	sığınacaq	shelter
આસક્તિ	əlavə	infatuation
આસન	asana	asana
આસપાસ	ətrafında	near and there
આસપાસના	ətrafı	from around
આસપાસનો	ətraflar	surrounding
આસામ	assam	assam
આસ્થા	i̇nam	trust
આસ્વાદ	zövq alın	aasvad / literature / taste
આહવા	əhva	ahava
આહવાન	dəvət	challenge
આહાર	pəhriz	food
ઇ	e	9
ઇ-મેઇલ	elektron poçt	e-mail
ઇંગ્લીશ	i̇ngilis	english
ઇંગ્લેંડ	i̇ngiltərə	england
ઇંગ્લેંડમાં	i̇ngiltərədə	in england
ઇંગ્લેડ	i̇ngiltərə	england
ઇંગ્લેન્ડ	i̇ngiltərə	england
ઇંગ્લેન્ડમાં	i̇ngiltərədə	in england
ઇંડોનેશિયા	i̇ndoneziya	indonesia
ઇંધણ	yanacaq	fuel
ઇચ્છતા	i̇stədi	desireable
ઇચ્છા	arzu	wish
ઇચ્છે	i̇stəyir	wish
ઇજા	yaralanma	injury
ઇજિપ્ત	misir	egypt
ઇઝરાયલ	i̇srail	israel
ઇટાલિયન	i̇talyan	italian
ઇડર	eder	idar
ઇડી	ed	ed
ઇણ્ડિયા	hindistan	india [english in gujarati script]
ઇતિહાસ	tarix	history
ઇતિહાસકાર	tarixçi	historian
ઇતિહાસકારો	tarixçilər	historians
ઇતિહાસના	tarixin	history's
ઇતિહાસની	tarixin	history
ઇતિહાસનો	tarixin	history
ઇતિહાસમાં	tarixdə	in the history
ઇતીહાસ	tarix	history
ઇત્યાદિ	və s.	etc.
ઇન	in	in
ઇનકાર	i̇mtina	deny
ઇનકી	inki	those
ઇનકે	inc	their
ઇનામ	hədiyyə	reward
