$	dollarni tashkil etadi	dollarsign
aanvoerder	kapitan	leader
aanvraag	dastur	application
aanvulling	qo&#39;shimcha	addition
aanwezig	hozirgi	present
aanwezigheid	mavjudligi	presence
aanwijzing	belgilash	instruction
aanwijzingen	maslahatlar	instructions
aanzet	boshlanishi	onset
aanzien	deb hisoblanadi	appearance
aanzienlijk	ahamiyatli	considerably
aanzienlijke	ahamiyatli	significant
aap	maymun	monkey
aard	tabiat	nature
aardappel	kartoshka	potato
aardappelen	kartoshka	potatoes
aardappels	kartoshka	potatoes
aardbeving	zilzila	earthquake
aardbevingen	zilzilalar	earthquake
aarde	tuproq	earth
aardewerk	kulolchilik	pottery
aardgas	tabiiy gaz	natural gas
aardkorst	yer qobig&#39;i	earth's crust
aardolie	neft	crude oil
aardoppervlak	er yuzasi	surface of the earth
aardse	dunyoviy	earthly
aartsbisschop	yepiskop	arch bishop
ab	ab	ab
abba	abba	abba
abbey	abbey	abbey
abc	abc	abc
abdij	abbey	abbey
abortus	abort	abortion
abraham	ibrohim	abraham
absolute	mutlaq	absolute
absoluut	mutlaqo	absolutely
abstract	mavhum	abstract
abstracte	mavhum	abstract
abu	abu	abu
ac	ak	ac
academie	akademiyasi	academy
academisch	akademik	academic
academische	akademik	academic
academy	akademiyasi	academy
accent	urg&#39;u	accent
accepteren	qabul qiling	accept
acdc	akc	acdc
acht	sakkiz	eight
achter	orqasida	behind
achteraf	keyin	in retrospect
achtereenvolgens	ketma-ket	sequentially
achteren	orqasida	back
achtergelaten	tashlab ketilgan	left behind
achtergrond	fon	background
achterkant	orqa qism	backside
achterlijf	qorin	backside
achternaam	familiya	surname
achterpoten	orqa oyoqlari	hind legs
achterschip	qattiq	backship
achterstand	orqaga surish	falling behind
achterste	orqa	back
achteruit	orqaga	backwards
achteruitgang	pasayish	diminishment
achterzijde	orqa	backside
achtste	sakkizinchi	eighth
achttien	o&#39;n sakkizda	eighteen
achttiende	o&#39;n sakkizinchi	eighteenth
act	harakat qilmoq	act
acteren	amal	acting
acteur	aktyor	actor
acteurs	aktyorlar	actors
actie	harakat	action
actief	faol	active
acties	harakatlar	actions
actieve	faol	active
activa	aktivlar	activia
activiteit	faoliyat	activity
activiteiten	faoliyati	activities
actress	aktrisa	actrice
actrice	aktrisa	actrice
actuele	joriy	current
acute	o&#39;tkir	acute
ad	reklama	ad
adam	odam	adam (name)
adams	adams	adams - proper noun - surname
add	qo&#39;shish	add
adders	ilonlar	adders
adel	olijanoblik	aristocracy
adelaar	burgut	eagle
adellijke	olijanob	aristocrate
adem	nafas	breath
ademhaling	nafas olish	breathing
aders	tomirlar	veins
adhd	adhd	adhd
adidas	adidas	adidas
adipocere	adipocere	adipocere
administratie	ma&#39;muriyati	administration
administratieve	ma&#39;muriy	administrative
admiraal	admiral	admiral
adolf	adolf	adolf - proper noun - first name
adriaan	adrian	adriaan
adriatische	adriatik	adriatic (coast)
advies	maslahat	advice
adviseur	maslahatchi	counselor
advocaat	yurist	attorney
ae	ae	ae
af	o&#39;chirilgan	of
afbeelding	rasm	illustration
afbeeldingen	rasmlar	images
afbraak	buzilmoq	demolition
afc	afc	afc
afdeling	bo&#39;lim	department
afdelingen	bo&#39;limlari	departments
affaire	ish	affair
afgebeeld	ko&#39;rsatilgan	shown
afgebroken	buzilgan	broken down
afgegeven	topshirildi	propagated
afgekort	qisqartirilgan	shortened
afgelegen	tanho	remote
afgeleid	chalg&#39;itilgan	derivative
afgeleide	lotin	derivative
afgelopen	o&#39;tgan	finished (2nd sentence), past (in all other cases in the text)
afgenomen	kamaygan	decreased - 2nd and 4th sentence, taken - 5th sentence
afgerond	yumaloq	completed
afgeschaft	bekor qilindi	dispensed
afgesloten	qulflangan	locked
afgesproken	kelishilgan	agreed
afgevaardigden	delegatlar	delegates
afgevoerd	zaryadsizlangan	drain off
afgewezen	pastga qaytdi	refused
afgezet	tushib ketdi	turned of
afgezien	alohida	apart from
afghanistan	afg&#39;oniston	afghanistan
afhankelijk	qaram	dependent
afhankelijkheid	qaramlik	dependence
afkeer	nafrat	disgust
afkomst	kelib chiqishi	background
afkomstig	kelib chiqishi	originating
afkorting	qisqartirish	abbreviation
afleggen	bekor qilish	in this context it means: to travel
aflevering	etkazib berish	delivery
afleveringen	epizodlar	episodes
afloop	tugatish	outcome
afmetingen	o&#39;lchamlari	measures
afname	pasayishi	reduction
afneemt	kamayadi	decreases
afnemen	pasayishi	decline
africa	afrika	africa
afrika	afrika	africa
afrikaans	afrika	african
afrikaanse	afrika	african
afschaffing	bekor qilish	abolition
afscheid	xayr	farewell
afscheiding	sekretsiya	separation
afsluiting	yopilish	closure
afspraak	tayinlash	appointment
afspraken	shartnomalar	appointments
afstammelingen	avlodlari	descendants
afstamming	kelib chiqishi	origin
afstand	masofa	distance
afstanden	masofalar	distances
aftreden	pastga tushmoq	stepped down
aftrek	chegirma	deduction
afval	chiqindilar	waste
afvalstoffen	chiqindilar	waste products
afvoer	quritib oling	drain
afweersysteem	mudofaa tizimi	immune
afwezig	yo&#39;q	absent
afwezigheid	yo&#39;qligi	absence
afwijkend	divergent	different
afwijkende	og&#39;ish	different
afwijking	og&#39;ish	deviation
afwijkingen	og&#39;ishlar	deviation
afwijkt	og&#39;adi	differ
afwijzing	rad qilish	rejection
afwisselend	navbat bilan	alternately
afzetten	tushirish	depositing - 3rd sentence, push off - 4th sentence, moving away - 7th and 8th sentence.
afzonderlijk	alohida-alohida	separately
afzonderlijke	alohida	individual
agaat	agat	agate
again	yana	again
against	qarshi	against
agenda	kun tartibi	agenda
agent	agent	agent
agglomeratie	aglomeratsiya	agglomeration
agnetha	agneta	agnetha
agnost	agnostik	agnost
agrarische	qishloq xo&#39;jaligi	agricultural
agressie	tajovuz	aggression
agressief	tajovuzkor	aggressive
agressieve	tajovuzkor	aggressive
ah	oh	ah
aids	oits	aids
air	havo	air
airbus	samolyot	airbus
aires	havolar	aires
airlines	aviakompaniyalar	airlines
airlinesvlucht	aviakompaniyalarning parvozi	airlines flight
airport	aeroporti	airport
airways	havo yo&#39;llari	airways
ajax	ajax	ajax
aka	aka	aka
akkoord	kelishuv	agreement
akoestische	akustik	acoustic
akon	akon	akon
al	allaqachon	already
alan	alan	alan
alarmschijf	budilnik diski	emergency disk
alaska	alyaska	alaska
albanezen	albanlar	albanians
albanië	albaniya	albania
albert	albert	albert
alberto	alberto	aleberto
alberts	alberts	alberts
album	albom	album
albums	albomlar	albums
alcohol	alkogol	alcohol
alcoholgebruik	spirtli ichimliklarni iste&#39;mol qilish	alcohol use
alcoholische	alkogolli	alcoholic
alcoholisme	alkogolizm	alcoholism
alcoholisten	alkogolizm	alcoholics
aldaar	mana	there
aldus	shunday qilib	according to
alejandro	alejandro	alejandro
aleksandr	aleksandr	aleksandr
alex	aleks	alex
alexander	aleksandr	alexander
alexandrië	iskandariya	alexandria
alfabet	alifbo	alphabet
alfabetische	alifbo tartibida	alfabetic
alfred	alfred	alfred
algehele	umuman	overall
algemeen	umuman	in general
algemene	umumiy	general salamence
algerije	jazoir	algeria
algoritmen	algoritmlari	algorithms
alhoewel	garchi	albeit
ali	ali	ali
alias	taxalluslar	alias
alice	alice	alice
align=center	tekislang = markaz	center
align=left	tekislang = chap	align = left
alignbars	tekislang	alignbars
alignleft	tekislang	align left
alkmaar	alkmaar	alkmaar
all	hammasi	all
alle	hammasi	all
allebei	ikkalasi ham	both
alledaagse	har kuni	everyday
alleen	faqat	only
allemaal	ularning hammasi	all
allen	hammasi	all
aller	hammasidan	ever
allereerst	birinchidan	firstly
allereerste	juda birinchi	very first
allerlei	har xil	all kinds of
alles	hamma narsa	everything
alliance	ittifoq	alliance
alliantie	ittifoq	alliance
allochtonen	muhojirlar	immigrants
almere	almere	almere
alois	alois	alois
alpen	alp tog&#39;lari	alps
als	sifatida	as
alsmede	shuningdek	and
alsnog	hali	still
alsof	go&#39;yo	as if
alsook	shuningdek	also
altaar	qurbongoh	altar
alternatief	muqobil	alternative
alternatieve	muqobil	alternative
althans	kamida	at least
altijd	har doim	always
aluminium	alyuminiy	aluminium
alva	alva	alva
alvleesklier	oshqozon osti bezi	pancreas
alvorens	oldin	before
alweer	yana	again
alzheimer	altsgeymer	alzheimer's
am	am	am
amazone	amazon	amazon
ambassade	elchixona	ambassade
ambassadeur	elchi	ambassador
amber	kehribar	amber
ambt	idora	office
ambtenaren	amaldorlar	officials
america	amerika	america
american	amerikalik	american
amerika	amerika	america
amerikaan	amerikalik	american
amerikaans	amerikalik	american
amerikaanse	amerikalik	american
amerikanen	amerikaliklar	americans
amersfoort	amersfoort	amersfoort
amfibieën	amfibiyalar	amphibians
aminozuren	aminokislotalar	amino acid
amstel	amstel	amstel (river)
amsterdam	amsterdam	amsterdam
amsterdammers	amsterdammers	amsterdam
amsterdamse	amsterdam	amsterdam
anakin	anakin	anakin
anale	anal	anal
analyse	tahlil	analysis
anatolië	anatoliya	anatolia
anatomie	anatomiya	anatomy
and	va	en
ander	boshqa	other
andere	boshqalar	other
anderen	boshqalar	others
anderhalf	bir yarim	one and a half
anders	boshqacha	different from
andersom	teskari	the other way around
anderzijds	boshqa tarafdan	on the other hand
andes	andes	andes
andorra	andorra	andorra
andrea	andrea	andrea
andreas	andreas	andreas
andrew	andrew	andrew
andrews	andrews	andrews
andré	andré	andre
andy	andy	andy (proper noun, first name)
anemie	anemiya	animia
angela	angela	angela
angeles	farishtalar	angeles
angels	farishtalar	angels
anglicaanse	angliyalik	anglican
angst	qo&#39;rquv	fear
anime	anime	anime
aniston	aniston	aniston (name)
anjou	anjou	anjou
ann	ann	ann
anna	anna	anna - proper noun - first name
anne	anne	anne
annexatie	ilova	annexation
anno	anno	anno
anoniem	anonim	anonymous
another	boshqa	another
antarctica	antarktida	antarctica
antenne	antenna	antenna
antennes	antennalar	antennas
anthony	kuydirgi	anthony
antibiotica	antibiotiklar	antibiotics
antidepressiva	antidepressantlar	antidepressive
antieke	qadimiy	antique
antillen	antil orollari	antilles
antilliaanse	antilya	antillian
antisemitisme	antisemitizm	antisemitism
antistoffen	antikorlar	antibodies
antoine	antuan	antoine (anton)
anton	anton	anton
antoni	antoni	antoni
antonio	antonio	antonio
antonius	antoniy	antonius
antropologie	antropologiya	anthropology
antwerpen	antverpen	antwerpen
antwerpse	antverpen	antwerp
antwoord	javob bering	answer
antwoordde	javob berdi	replied
antwoorden	javoblar	answers
anubis	anubis	anubis
anus	anus	anus
apart	alohida	separate -1st and 2nd sentence, individual - 4th sentence.
aparte	alohida	separate
apen	maymunlar	apes
aphrodite	afrodita	aphrodite
apollo	apollon	apollo
apostelen	havoriylar	apostles
apostolische	havoriylarga oid	apostolic
apothecium	apotetsiy	apothecia
apparaat	qurilma	machine
apparaten	qurilmalar	devices
apparatuur	uskunalar	equipment
appartement	kvartira	apartment
appel	olma	apple
apple	olma	apple
april	aprel	april
aquino	akvino	aquino
arabieren	arablar	arabics
arabisch	arabcha	arabic
arabische	arab	arabic
aragon	aragon	aragon
arbeid	mehnat	work
arbeiders	ishchilar	workers
arbeiderspartij	mehnat partiyasi	labour party
arc	boshq	arc
archeologisch	arxeologik	archeologic
archeologische	arxeologik	archaeological
archief	arxiv	archive
archieven	arxivlari	archieves
archipel	arxipelagi	archipelago
architect	me&#39;mor	architect
architecten	me&#39;morlar	architects
architectuur	arxitektura	architecture
ardennen	katta	ardennes
are	bor	are
area	maydoni	area
arena	maydon	arena
argentijnse	argentinalik	argentine
argentinië	argentina	argentina
argument	dalil	argument
argumenten	dalillar	arguments
ari	ari	ari
aristocratie	aristokratiya	aristocracy
aristoteles	aristotel	aristotle
arizona	arizona	arizona
arm	qo&#39;l	poor
arme	bechora	poor
armeense	armenian	armenian
armen	qo&#39;llar	poor
armenië	armaniston	armenia
armeniërs	armanlar	arms irish
armoede	qashshoqlik	poverty
armstrong	armstrong	armstrong
army	armiya	army
arnhem	arnhem	arnhem
arnold	arnold	arnold
around	atrofida	around
arriveerde	keldi	arrived
arrondissement	sarosima	district
arsenal	arsenal	arsenal - proper noun
art	san&#39;at	art
arthur	artur	arthur
artiest	rassom	performer
artiesten	rassomlar	artists
artikel	maqola	article
artikelen	maqolalar	articles
artillerie	artilleriya	artillery
artistiek	badiiy	artistic
artistieke	badiiy	artistic
artrose	artroz	arthrosis
arts	shifokor	doctor
artsen	shifokorlar	doctors
aruba	aruba	aruba
as	kul	axle
aspect	tomoni	aspect
aspecten	jihatlari	aspects
asperger	sarsabil	asperger
assemblée	yig&#39;ish	assembly
assen	vallar	axles
assistent	yordamchi	assistant
associatie	uyushma	association
association	uyushma	association
asterix	yulduzcha	asterix
astronoom	astronom	astronomer
at	yedi	at
atelier	ustaxona	workshop
athene	afina	athens
atheïsme	ateizm	atheism
atheïst	ateist	atheist
atheïsten	ateistlar	atheist
atlantis	atlantika	atlanta
atlantische	atlantika	atlantic
atmosfeer	atmosfera	atmosphere
atomen	atomlari	atoms
atptoernooi	turniri	atp tournament
attractie	diqqatga sazovor joy	attraction
attracties	diqqatga sazovor joylar	attractions
auditie	tinglash	audition
august	avgust	august
augustinus	avgustin	augustinus
augustus	avgust	august
auschwitz	auschwitz	auschwitz
australian	avstraliyalik	australian
australische	avstraliyalik	australian
australië	avstraliya	australia
auteur	muallif	author
auteurs	mualliflar	autors
auteursrecht	mualliflik huquqi	copyright
authentieke	haqiqiy	authentic
authority	hokimiyat	autority
autisme	autizm	autism
autistische	otistik	autistic
auto	mashina	car
autochtone	mahalliy	autochthon
automatisch	avtomatik ravishda	automatic
autonome	avtonom	autonomous
autonomie	avtonomiya	autonomy
autoritaire	avtoritar	autoritary
autoriteit	hokimiyat	authority
autoriteiten	hokimiyat	authorities
autos	avtomobillar	cars
autosnelweg	avtomagistral	highway
autosnelwegen	avtomobil yo&#39;llari	highways
avenue	xiyobon	avenue
avond	oqshom	evening
avondmaal	kechki ovqat	evening meal
avonds	oqshom	evening
avonturen	sarguzashtlari	adventures
award	mukofot	award
awards	mukofotlar	awards
away	uzoqda	away
az	az	az
azerbeidzjan	ozarbayjon	azerbaijan
aziatische	osiyo	asian
azië	osiyo	asia
azoren	azores	azores
azteken	aztec	aztecs
b	b	b
ba	ba	ba
baai	ko&#39;rfaz	bay
baan	ish	track
baarmoeder	bachadon	uterus
baarn	qashshoq	baarn
baas	boshliq	boss
baby	chaqaloq	baby
babys	chaqaloqlar	babies
bach	bach	bach
bachelor	bakalavr	bachelor
bachs	bachalar	bach's
back	orqaga	back
bacterie	bakteriyalar	bacteria
bacteriële	bakterial	bacterial
bacteriën	bakteriyalar	bacterias
bad	vanna	bad
baker	novvoy	baker
bakermat	beshik	cradle
baksteen	g&#39;isht	brickwork
bal	to&#39;p	ball
balans	muvozanat	balance
bali	bali	bali
balkan	bolqon	balkans
balkenende	tirishish	balkenende
ball	to&#39;p	ball
ballet	balet	ballet
ballingschap	surgun	exile
ballon	balon	balloon
baltische	boltiqbo&#39;yi	baltic
ban	taqiq	ban
banaan	banan	banana
bananen	banan	bananas
band	tarmoqli	tie
banden	shinalar	bands
bandleden	guruh a&#39;zolari	bandmembers
bands	bantlar	bands
banen	ish o&#39;rinlari	strokes
bang	xavotirli	scared
bangladesh	bangladeshlik	bangladesh
bank	bank	bank
bankbiljetten	banknotalar	bank notes
banken	banklar	banks
bankwezen	bank	banking
baptisme	suvga cho&#39;mish	baptist faith
bar	bar	bar
barack	barak	barack
barbara	barbar	barbara
barcelona	barselona	barcelona
barok	barok	baroque
baron	baron	baron
barrett	barret	barret
barry	barry	barry
bart	bar	bart (proper noun, first name)
barwikipedias	barvikipediya	barwikipedias
bas	bas	bas
basale	bazal	basal
base	tayanch	base
basgitaar	bas gitara	bass guitar
basiliek	bazilik	basilica
basis	tayanch	ground
basisschool	boshlang&#39;ich maktab	primary school
basket	savat	basket
basketbal	basketbol	basketball
bassie	bassie	this is a name
bassist	bas pleyeri	bassist
basten	po&#39;stloq	bark
bataafse	batavian	batavian
battle	jang	battle
bauxiet	boksit	bauxite (ore)
bay	ko&#39;rfaz	bay
bazel	bazel	bazel
bbc	bbc	bbc
bbp	yaim	gdp
be	bo&#39;lmoq	be
beach	plyaj	beach
beagle	beagle	beagle
beat	urmoq	beat
beatles	beatles	beatles
beatrix	bitrix	beatrix
beaufort	beaufort	beaufort
beautiful	chiroyli	beautiful
bebop	bibop	bepop
bebouwing	binolar	buildings
bed	to&#39;shak	bed
bedacht	tushundim	devised
bedekken	qopqoq	cover
bedekt	qoplangan	covered
bedenken	o&#39;ylab ko&#39;ring	think of
bedenker	yaratuvchisi	creator
bediend	boshqariladi	operated
bedoeld	mo&#39;ljallangan	to intend
bedoeling	niyat	intention
bedraagt	miqdor	amounts
bedrag	miqdori	amount
bedragen	miqdor	amounts
bedreigd	tahdid qildi	threatened
bedreigde	tahdid qildi	endangered
bedreiging	tahdid	threat
bedreigingen	tahdidlar	threats
bedreven	usta	proficient
bedrijf	kompaniyasi	company
bedrijfsleven	biznes	businesslife
bedrijven	korxonalar	companies
bedroeg	sumni tashkil etdi	was
beek	irmoq	beek
beeld	haykal	picture
beelden	rasmlar	images
beeldende	ingl	visual
beeldhouwer	haykaltarosh	sculptur
beeldhouwkunst	haykal	masonry
beeldhouwwerken	haykallar	sculpltures
been	oyoq	leg
beer	ayiq	beer
beet	tishlamoq	bite
beethoven	betovod	beethoven
beetje	bit	sort of
befaamde	mashhur	famous
begaan	qilmoq	commit
begeleid	hidoyat	accompanied
begijnhof	yolg&#39;on	beguinage
begin	boshlash	beginning
beginjaren	dastlabki yillar	beginning years
beginnen	boshlamoq	begin
beginnende	ajam	beginning
beginperiode	boshlang&#39;ich davri	beginning of period
beginselen	tamoyillari	principles
begint	boshlanadi	begins
begon	boshlangan	began
begonnen	boshlandi	started
begraafplaats	qabriston	cemetary
begrafenis	dafn marosimi	funeral
begraven	ko&#39;mmoq	bury
begrensd	cheklangan	limited
begrepen	tushundi	understood
begrijpen	tushunmoq	understand
begrip	tushunish	term
begrippen	tushunchalar	standards
begroeiing	oshib ketish	flora
begroting	byudjet	budget
behaald	erishildi	obtained
behaalde	erishildi	obtained
behalen	erishish	reached
behalve	tashqari	except
behandeld	muomala qilingan	treated
behandelde	muomala qilingan	treated
behandelen	davolash uchun	treat
behandeling	terapiya	treatment
behandelingen	muolajalar	treatments
behandelt	davolaydi	treats
beharing	soch	hair
beheer	boshqarish	management
beheersen	o&#39;zlashtirmoq	control
beheerst	boshqariladi	dominated
beheerste	boshqariladi	controlled
behield	saqlanib qoldi	retained
behoefte	kerak	need
behoeften	ehtiyojlar	needs
behoeve	maqsadda	for
behoorde	tegishli edi	belonged
behoorden	tegishli edi	belonged
behoorlijk	odilona	reasonably
behoort	tegishli	is
behoren	tegishli	belong
behorende	tegishli	belonging
behoud	saqlash	perservation
behouden	saqlamoq	preserve
behulp	foydalanish	using
beide	ikkalasi ham	both
beiden	ikkalasi ham	reached
beieren	bavariya	bavaria
beierse	bavariya	biers
bek	tumshug&#39;i	mouth
bekeerde	aylantirildi	converted
bekeken	ko&#39;rilgan	seen
bekend	ma&#39;lum	known
bekende	ma&#39;lum	famous
bekendgemaakt	e&#39;lon qildi	published
bekendheid	shon-sharaf	fame, famous
bekendst	eng taniqli	best known
bekendste	eng taniqli	known
beker	kubok	cup
bekeren	aylantirmoq	to convert
bekering	tavba qilish	conversion
bekijken	qarang	to look at
bekken	tos suyagi	pelvis
bekritiseerd	tanqid qildi	criticized
bel	qo&#39;ng&#39;iroq	bell
belandde	tugadi	ended up
belang	qiziqish	importance
belangen	manfaatlar	interests
belangrijk	muhim	important
belangrijke	muhim	important
belangrijker	muhimroq	more important
belangrijkste	asosiy	most important
belangstelling	qiziqish	interest
belast	zaryadlash	charge - 2nd and 4th sentence, loaded - 6th sentence
belasting	soliq	burden
belastingen	soliqlar	taxes
beleefde	muloyim	went through
beleg	tepa	siege
belegering	qamal	siege
beleid	siyosati	policy
beleven	tajriba	to see
beleving	tajriba	perception
belgae	belgi	belgae
belgen	belgiyaliklar	belgians
belgisch	belgiyalik	belgium
belgische	belgiyalik	belgian
belgië	belgiya	belgium
bell	qo&#39;ng&#39;iroq	bell
bella	bella	bella
bellamy	qo&#39;ng&#39;iroq	bellamy
bellen	tering	bubbles
belofte	va&#39;da	promise
beloofd	va&#39;da berishdi	promised
beloofde	va&#39;da berishdi	promised
beloop	kursi	course
bemachtigen	uni olish	obtain
bemanning	ekipaj	crew
bemanningsleden	ekipaj a&#39;zolari	crew members
bemoeilijkt	murakkab	bemoeiliijkt
ben	am	ben
benaderd	yaqinlashdi	approach
benadering	yondashuv	approach
benadrukt	ta&#39;kidlaydi	emphasizes
benaming	nomi	name
benamingen	belgilar	designations
beneden	pastga	down
benedictus	oqlangan	benedictus (proper noun - first name)
benelux	benilüks	benelux (proper noun)
benen	oyoqlari	legs
benjamin	benjamin	benjamin
bennington	bennington	bennington
benny	benny	benny
benodigde	talab qilinadi	required
benoemd	tayinlangan	famous
benoemde	tayinlangan	named
benoemen	tayinlash	appoint
benoeming	nominatsiya	nomination
bent	bor	are
benzine	benzin	petrol
beoefend	amalda	exerted
beoogde	mo&#39;ljallangan	intended
beoordeeld	baholandi	judged
beoordeling	sharh	judgement
bepaald	aniqlangan	certain
bepaalde	alohida	defined
bepaalt	belgilaydi	determines
bepalen	aniqlang	to determine
bepalend	aniqlovchi	determining / guiding
bepaling	qat&#39;iyat	condition / rule (in this context)
beperken	chegarasi	restrain
beperking	cheklash	limitation
beperkingen	cheklovlar	limitations
beperkte	cheklangan	limited
bereid	tayyorlandi	willing
bereiden	tayyorla	prepare
bereik	oralig&#39;i	reach
bereikbaar	kirish mumkin	accessible
bereiken	erishmoq	reach
bereikt	ga yetdi	to attain or to reach
bereikte	ga yetdi	reached
bereikten	ga yetdi	reached
berekend	hisoblab chiqilgan	calculated
berekenen	hisoblash	calculate
berekening	hisoblash	calculation
berekeningen	hisob-kitoblar	calculations
berg	tog	mountain
bergachtig	tog&#39;li	mountainous
bergen	tog&#39;lar	mountains
bergketen	tog&#39; tizmasi	mountain chain
bergketens	tog &#39;tizmalari	mountain ranges
bericht	xabari	message
berichten	xabarlar	messages
berlijn	berlin	berlin
berlijnse	berlin	berliner
berlin	berlin	berlijn
berliner	berliner	berliner
bern	bern	bern
bernard	bernard	bernard
bernhard	bernhard	bernhard
bernini	bernini	bernini
beroemd	mashhur	famous
beroemde	mashhur	famous
beroemdheden	mashhurlar	celebrities
beroemdste	eng mashhur	most famous
beroep	kasb	profession
beroepen	kasblar	professions
beroepsonderwijs	kasb-hunar ta&#39;limi	vocational education
berry	berry	berry
bert	bert	bert
berucht	shafqatsiz	notorius
beruchte	shafqatsiz	infamous
berust	dam oladi	based
beschadigd	shikastlangan	damaged
beschadigen	zarar etkazish uchun	damage
beschadiging	zarar	damage
beschaving	tsivilizatsiya	civilization
beschavingen	tsivilizatsiyalar	civilizations
bescheiden	kamtarin	modest
beschermd	himoyalangan	protected
beschermde	himoyalangan	protected
beschermen	himoya qilmoq	protect
beschermheilige	homiy avliyo	archangel
bescherming	himoya qilish	protection
beschermt	himoya qiladi	protects
beschikbaar	mavjud	available
beschikbare	mavjud	available
beschikken	tashlamoq	to own / be able to use
beschikking	qaror	available
beschikt	xususiyatlari	posesses
beschikte	qaror qildi	have at their disposal
beschouwd	deb hisoblanadi	seen as
beschouwde	deb hisoblanadi	considered
beschouwden	deb hisoblanadi	considered
beschouwen	o&#39;ylab ko&#39;ring	see
beschouwing	ko&#39;rib chiqish	consideration
beschouwt	deb hisoblaydi	considers
beschreef	tasvirlangan	described
beschreven	tasvirlangan	described
beschrijft	tasvirlaydi	describes
beschrijven	tasvirlab bering	to describe
beschrijving	tavsifi	description
beschrijvingen	tavsiflar	descriptions
beschuldigd	ayblanmoqda	accused
beslaat	panellari	gets covered
beslag	urmoq	batter
beslissen	qaror qilmoq	to decide
beslissende	hal qiluvchi	decisive
beslissing	qaror	decision
beslissingen	qarorlar	decisions
beslist	qaror qiladi	decision
besloot	qaror qildi	decided
besloten	xususiy	decided
besluit	qaror	decision
besluiten	qaror qilmoq	to decide
besluitvorming	qaror	decision-making
besmet	kasallangan	infected
besmette	kasallangan	contaminated
besmettelijk	yuqumli	contagious
besmetting	ifloslanish	infection
besprekingen	munozaralar	discussions
besproken	muhokama qilindi	discussed
best	eng yaxshi	optimal
bestaan	mavjud bo&#39;lishi	remained - 2nd sentence, exist - 4th and 6th sentence
bestaande	mavjud	consist
bestaansmiddelen	tirikchilik	raw goods
bestaat	mavjud	consists
bestand	fayl	agreement
