$	dollar təşkil edib	american dollar symbol
அடைந்து	çatdı	reached
அடைய	çatmaq	attain
அடையாளங்களை	şəxsiyyətlər	identities
அடையாளங்கள்	i̇şarələr	identifications
அடையாளத்தை	şəxsiyyət	identity
அடையாளமாக	göstəriş	symbolic
அடையாளம்	müəyyən edilmişdir	identity
அடையும்	çatmaq	reach
அட்ச	enlem	latitude
அட்டை	kart	card
அட்லாண்டிக்	atlantik	atlantic ocean
அணி	komanda	team
அணிக்கு	komanda	teem
அணிந்து	qalıcı	wear
அணியின்	komanda	group
அணியில்	heyet	team
அணியும்	aşınmış	wearing
அணியை	komanda	team
அணு	nüvə	atom
அணுக	giriş	approach
அணுகல்	giriş	access
அணுகு	giriş	approach
அணுகுண்டு	senat	atom bomb
அணுகுமுறை	yanaşma	approaches
அணுகுமுறைகள்	yanaşmalar	approaches
அணுக்கரு	nüvə	nuclear
அணுக்கள்	atomlar	atoms
அணுவின்	atom	atom
அணை	baraj	dam
அண்ட	qalaktik	near
அண்டங்கள்	qalaktikalar	world
அண்டத்தின்	kainatın	world
அண்டமானது	kainat	the universe
அண்டம்	kainat	universe
அண்டவியல்	kosmologiya	day to day
அண்டை	qonşular	neighbour
அண்ட்	və	and
அண்ணன்	qardaş	brother
அண்ணல்	sevgilimiz	a great man
அண்ணளவாக	təxminən	a thousand year old
அண்ணா	böyük qardaş	former chief minister of tamilnadu
அண்ணாதுரை	anna durai	annadurai
அண்ணாமலை	annamalai	annamalai a title
அண்மை	ən son	very nearly
அண்மைக்	son fəaliyyət	recently
அண்மைய	son	nearest
அதனாலேயே	nəticə etibarilə	that is why
அதனால்	belə ki	because of
அதனுடன்	bununla	with that
அதனுடைய	onun	its
அதனுள்	özü	including all
அதனை	the	that one
அதனைக்	o	it
அதனைத்	sonradan	that also
அதன்	onun	that
அதன்படி	buna əsasən	in that way
அதன்பின்	ondan sonra	after that
அதன்பிறகு	ondan sonra	next
அதற்காக	onun üçün	for that
அதற்கான	uyğun	for that
அதற்கு	daha çox	the
அதற்குப்	sonra	so
அதவாது	amer	hence
அதாவது	yəni	like that
அதி	daha çox	high
அதிக	daha çox	high
அதிகப்படியாக	artıb	maximum of
அதிகப்படியான	həddindən artıqdır	over
அதிகமாக	daha çox	huge
அதிகமாகக்	daha çox	immense
அதிகமாகப்	daha çox	in excess of
அதிகமாகவும்	daha çox	morely
அதிகமாகும்	daha çox	having more
அதிகமான	daha çox	more
அதிகம்	daha çox	excess
அதிகரிக்க	artırmaq	increase
அதிகரிக்கச்	artır	increasing
அதிகரிக்கிறது	artır	increasing
அதிகரித்த	artıb	increased
அதிகரித்தது	artıb	increased
அதிகரித்தல்	artır	increase
அதிகரித்து	artır	increase
அதிகரித்துள்ளது	artıb	increased
அதிகரிப்பதால்	artır	increase
அதிகரிப்பால்	artıb	increase
அதிகரிப்பு	artırmaq	increased
அதிகளவான	daha çox	increased
அதிகளவில்	getdikcə	in abundance
அதிகளவு	daha çox	more
அதிகார	hakimiyyət	control
அதிகாரங்களை	səlahiyyətlər	powers
அதிகாரங்கள்	səlahiyyətlər	powers
அதிகாரத்திற்கு	güc	for the powers
அதிகாரத்தில்	hakimiyyətdədir	in power
அதிகாரத்தை	güc	ruling
அதிகாரபூர்வ	rəsmi	authorized
அதிகாரபூர்வமாக	rəsmi olaraq	official
அதிகாரப்	güc	authority
அதிகாரப்பூர்வ	rəsmi	authoritical
அதிகாரப்பூர்வமாக	rəsmi olaraq	orderly
அதிகாரப்பூர்வமான	səlahiyyət	order
அதிகாரமும்	güc	have power
அதிகாரம்	güc	authority
அதிகாரி	məmur	official
அதிகாரிகளும்	rəsmilər	sacrifices and satisfying wishes took places in temples in those days. temples were built under the supervision of the pandian king, ministers and officers. caste wars did not exist in those days. in the 17th century caste wars came into existence. kings, ministers and officers celebrated their birthdays in temples as functions. land was allocated for this. devaram and thiruvayum were recited on those days. arts, music, theatre and folk dance events took place. brick temples, bronze statues and stone figures were installed and ornaments were donated. temples existed as places of storing wealth and material things in addition to serving as places of worship. temple wealth was distributed as loan to common people.  free food was given daily in temples. libraries were built within temples. temple rituals were performed by the village authorities and officers. functions of temples and charities were monitored. punishment was served for errors. stone inscriptions in temples served as historical evidence. renovation of temples involved removing stone inscriptions and reinstalling them.
அதிகாரிகள்	rəsmilər	officials
அதிகாரியான	məmur	officer of the
அதிசய	təəccüblü	surprise
அதிசயங்கள்	möcüzələr	surprises
அதிநுண்ணுயிரி	viral	protists
அதிபரவளைவு	hiperbola	hyperbola
அதிபர்	kansler	owner
அதிமுக	aiadmk	admk
அதிர்ச்சி	şok	shiver
அதிர்வெண்	tezlik	wavelength
அதிலும்	daha çox	even
அதிலுள்ள	onun	contained therein
அதில்	içində	in that
அதீத	üstəlik	most
அது	o	it
அதுவரை	o vaxta qədər,	yet
அதுவே	bu	that alone
அதே	eyni	same
அதேசமயம்	halbuki	at the same time
அதேபோல	oxşar	likethat
அதேபோல்	eyni şəkildə	likewise
அதேவேளை	hələ	sametime
அதை	o	that also
அதைக்	o	it
அதைச்	o	that
அதைத்	the	that
அதைப்	o	like wise
அதோடு	üstəlik	and also
அத்தகு	i̇stirahət	that
அத்தகைய	belə bir	such a
அத்தியாவசிய	əsas	important
அத்துடன்	eləcə də	with that
அத்தோடு	üstəlik	and
அந்	lobbi	that
அந்த	bu	the
அந்தச்	the	that one
அந்தணர்	brahmana	priest
அந்தத்	the	that the
அந்தந்த	əlaqədar	seperately
அந்தப்	the	those
அந்தமான்	andaman	andhman island
அந்தாதி	biggrin.gif	a grammatical rule
அந்தி	toran	evening
அந்து	dərələr	worm
அந்துவஞ்சேரல்	antuvanceral	anthuvancheral
அந்நாட்டின்	ölkə	that country
அனுபவங்கள்	təcrübələr	experiences
அனுபவம்	təcrübə	experianse
அனுப்ப	göndərmək	send
அனுப்பப்	göndərilib	to send
அனுப்பப்படும்	göndərilib	will be sent
அனுப்பி	göndərilib	to send
அனுப்பிய	göndərilib	send
அனுப்பும்	transmitter	sends
அனுமதி	i̇cazə verin	admission
அனுமதிக்கப்பட்ட	i̇cazəli	allowed
அனுமதிக்கின்றன	i̇cazə verin	admitted into
அனுமதிக்கிறது	i̇mkan verir	admitted into
அனுமதிக்கும்	i̇cazə verin	allows
அனுமதித்தது	i̇cazəli	permitted
அனுமன்	hanuman	hanuman
அனேகமாக	yəqin ki	almost
அனைத்திந்திய	hamısı	all india
அனைத்திலும்	hamısı	all over
அனைத்து	hamısı	all
அனைத்துக்கும்	hamısı	of all, all
அனைத்துமே	hamısı	all
அனைத்துலக	beynəlxalq	international
அனைத்தையும்	hamısı	all
அனைவராலும்	buruq	all
அனைவருக்கும்	hər kəs	to everyone
அனைவரும்	hamısı	all of us
அனைவரையும்	hamısı	all
அன்	anil	and
அன்ட்	və	and
அன்னை	ana	mother
அன்பின்	əziz	in love
அன்பு	sevgi	love
அன்புடன்	hörmətlə	with love
அன்புள்ள	əziz	dear
அன்பே	əziz	love
அன்றாட	gündəlik	daily
அன்றாடம்	gündəlik	daily
அன்றி	nə də	rather
அன்றைய	the	during those days
அபாயகரமான	təhlükəli	risky
அபாயத்தை	risk	danger
அபாயம்	təhlükə	danger
அபின்	tiryək	abin
அபுல்	əbül	abul
அபூர்வ	apurva	unbelive
அபூர்வமாக	nadir hallarda	rarely
அப்துல்	əbdül	abdul
அப்பகுதி	bölgə	that sections
அப்படி	hələ də	like that
அப்படியே	bütöv	like that
அப்பொருள்	girişlər	akapporul
அப்பொழுது	və	at that time
அப்போகொனைடீ	appokonaiti	a family of fish
அப்போது	the	that time
அப்போதைய	sonra	for that
அமராவதி	amravati	amaravathy a name in tamil
அமர்ந்த	oturub	sit down
அமர்ந்து	oturub	to sit
அமானுட	paranormal	invisible
அமினோ	amino	amino acid
அமில	turşu	acid
அமிலம்	turşu	acid
அமீரகத்தின்	əmirliklər	emirates
அமீரகம்	əmirliklər	emirates
அமெரிக்க	abş	american
அமெரிக்கக்	amerika	america
அமெரிக்கத்	amerika	american
அமெரிக்கன்	amerika	american
அமெரிக்கப்	abş	america
அமெரிக்கர்	amerika	american
அமெரிக்கர்களின்	amerikalıların	americans
அமெரிக்கர்களில்	amerikalılar	in america
அமெரிக்கர்கள்	amerikalılar	americans
அமெரிக்கா	amerika birləşmiş ştatları	america
அமெரிக்காவின்	abş	of america
அமெரிக்காவில்	amerika birləşmiş ştatları	in america
அமெரிக்காவுக்கு	amerika birləşmiş ştatları	to america
அமெரிக்காவுடன்	abş ilə	with america
அமெரிக்காவும்	abş	america
அமைகின்றது	qəbul	is coming
அமைகின்றன	edirsiniz	formed
அமைகிறது	edir	become
அமைக்க	set	set
அமைக்கப்பட்ட	formalaşdı	founded
அமைக்கப்பட்டது	set	established
அமைக்கப்பட்டன	qalan	formed
அமைக்கப்பட்டிருக்கும்	qurulub	is organised
அமைக்கப்பட்டுள்ள	tutuldu	having that
அமைக்கப்பட்டுள்ளது	set	established
அமைக்கப்பட்டுள்ளன	strukturlaşdırılmışdır	up
அமைக்கும்	dəstlər	to make
அமைச்சரவை	nazirlik	cabinet
அமைச்சராக	nazir	minister
அமைச்சர்	nazir	minister
அமைச்சர்கள்	nazirlər	ministers
அமைதி	barış	peace
அமைதிகாக்கும்	sülhməramlı	peace keeping
அமைதிக்கான	barış	peace
அமைதிப்	barış	piece
அமைதியான	sakit	peace
அமைத்தனர்	və formalaşdı	create
அமைத்தல்	quraşdırma	setting up
அமைத்து	set	set up
அமைத்துக்	set	set up
அமைத்துள்ளது	set	set
அமைந்த	the	suituated
அமைந்தது	the	set
அமைந்தன	i̇çərisində	having that
அமைந்திருக்கிறது	yerləşir	located
அமைந்திருக்கும்	yerləşir	is located
அமைந்திருந்த	yerləşir	that place
அமைந்திருந்தது	oldu	containing
அமைந்திருந்தன	yerləşir	located
அமைந்திருப்பதால்	yerləşir	situated at
அமைந்து	yerləşir	present
அமைந்துள்ள	yerləşir	situated
அமைந்துள்ளது	yerləşir	located
அமைந்துள்ளன	yerləşir	located
அமைன்	amin	amion
அமைப்பாக	təşkilat	organisational
அமைப்பாகும்	quruluşu	organization
அமைப்பானது	sistem	an organization
அமைப்பின்	təşkilat	organization
அமைப்பிலிருந்து	təşkilatdan	from the system
அமைப்பில்	quruluşu	construction
அமைப்பு	quruluşu	organisation
அமைப்புகளின்	parametrlər	shape
அமைப்புகளில்	parametrlər	organisation
அமைப்புகளும்	parametrlər	adding
அமைப்புகள்	parametrlər	organisations
அமைப்பும்	formalaşma	organisation
அமைப்பை	layihə	organization
அமைப்பைக்	quruluşu	organisation
அமைப்பையும்	quruluşu	make up
அமைய	görə	to form
அமையும்	vəzifələr	may be
அமைவது	necə qurulacaq	to organise
அமைவிடம்	yer	accomodated place
அமைவு	qurmaq	location
அமோனியா	ammonyak	amonia
அம்சங்களை	xüsusiyyətləri	sheme
அம்சங்களைக்	xüsusiyyətləri	types
அம்சங்களையும்	xüsusiyyətləri	features
அம்சமாக	xüsusiyyət	feature
அம்சம்	xüsusiyyət	set
அம்பு	ok	arrow
அம்பேத்கர்	ambedkar	ambethkar
அம்மனுக்கு	ammana	hindu godess
அம்மன்	əmman	female god
அம்மா	ana	mother
அம்மானை	ana	a tamil poetry
அம்மையார்	madam	lady
அயனாதிக்க	i̇onosfer	ionospheric
அயர்லாந்தின்	i̇rlandiya	ireland
அயர்லாந்து	i̇rlandiya	ireland a country name
அயல்	qatlanın	foreign
அயோத்தி	ayodhya	aiyothi
அய்யா	ser	ayya a respectful
அய்யாவழி	ayyavazhi	sir way
அய்யாவழியின்	ayyavazhinin	the way of the grand father
அய்யாவழியில்	ayyavazhidə	ayya's path
அரகோனைட்	aragonit	aragonite is a chemical component
அரங்கம்	uşaq meydançası	auditorium
அரங்கு	teatr	hall in a building
அரச	tac	goverment
அரசனாக	kral	to become a king
அரசனின்	kralın	kings
அரசனுக்கு	kral	for the king
அரசன்	kral	king
அரசமைப்பு	məqalə	legislature
அரசரின்	kralın	king's
அரசர்	kral	king
அரசர்களின்	padşahların	kings
அரசர்கள்	krallar	kings
அரசாங்கங்கள்	hökumətlər	governments
அரசாங்கத்தால்	hökümət tərəfindən	for government
அரசாங்கத்தின்	hökumət	in government
அரசாங்கத்தை	hökumət	government
அரசாங்கமும்	hökümət	the goverment
அரசாங்கம்	hökümət	government
அரசாட்சி	hökmranlıq edin	kings rule
அரசால்	dövlət tərəfindən	government
அரசி	kraliça	queen
அரசின்	hökumət	of government
அரசியற்	siyasi	political
அரசியலமைப்பின்	konstitusiya	politics
அரசியலமைப்பில்	konstitusiyada	in the constitution
அரசியலமைப்பு	konstitusiya	political structure
அரசியலமைப்புச்	konstitusiya	government organisation
அரசியலில்	siyasət	in politics
அரசியலும்	siyasət	politics
அரசியல்சட்ட	konstitusiya	politics
அரசியல்வாதிகள்	siyasətçilər	politics
அரசில்	vəziyyətdədir	in government
அரசு	hökumət	goverment
அரசுகளின்	hökumətlər	government's
அரசுகளை	dövlətlər	governments of
அரசுகள்	hökumətlər	governments
அரசுக்கு	hökümət	to government
அரசுக்கும்	ware	govenment to
அரசுடன்	dövlətlə	with government
அரசுத்	hökumət	government
அரசும்	hökumət	goverment
அரசுரிமை	suverenlik	government rights
அரசை	dövlət	kings
அரசையும்	dövlət	goverment
அரண்	bulvar	wall
அரண்மனை	saray	palace
அரபி	ərəb	arab
அரபு	ərəb	arabic
அராபிய	ərəb	arabic
அரிசி	düyü	rice
அரிதாக	nadir hallarda	rarely
அரிதான	nadir	rare
அரிது	nadirlik	rarely
அரிப்பு	qaşınma	itching
அரிய	nadir	rare
அரியணை	taxt	rulling party
அரியணையில்	taxtda	throne of
அரியானா	haryana	haryana
அரிஸ்டாஃபனீஸ்	aristofanlar	aristaphanis
அரிஸ்டாட்டிலின்	aristotel	aristotlian
அரிஸ்டாட்டில்	aristotel	aristatil
அருகாமையில்	yaxınlıq	near
அருகிலுள்ள	yaxınlıqda	near by
அருகில்	ən yaxın	near
அருகே	yaxındır	near
அருங்காட்சியகம்	muzey	museum
அருச்சுனன்	arjuna	arjunan
அருஞ்சொற்பொருள்	lüğət	dictionary
அருண்மொழி	arunmoli	arun mozhi a tamil name
அருள்	lütf	god's wishes
அருள்மிகு	şri	his highness
அருவி	şəlalələr	falls
அரேபிய	ərəb	arabian
அரேபியா	ərəbistan	arabia
அரேபியாவின்	ərəbistanın	in the arabian country
அரை	yarım	half
அர்ஜென்டினா	argentina	argentina
அர்த்தம்	məna	meaning
அறக்கட்டளை	vəqf	organization
அறக்கட்டளையின்	vəqf	trust
அறம்	əxlaq	good things
அறிகுறிகளை	simptomlar	symptoms
அறிகுறிகள்	simptomlar	infection
அறிக்கை	hesabat	report
அறிக்கைகள்	hesabatlar	information
அறிக்கையில்	hesabat	report
அறிஞர்	alim	genius
அறிஞர்கள்	alimlər	pandit
அறிதல்	tanıma	underfstand
அறிந்த	bilən	known well
அறிந்து	bilin	known
அறிந்துகொள்ள	öyrən	know
அறிமுகப்	giriş	introduce
அறிமுகப்படுத்தி	təqdim edir	intraduce
அறிமுகப்படுத்தினார்	təqdim etdi	introduced
அறிமுகப்படுத்தியது	təqdim etdi	launched
அறிமுகம்	giriş	introductions
அறிய	öyrən	know
அறியப்படவில்லை	naməlum	unknown
அறியப்படாத	naməlum	not known before
அறியப்படுகின்றது	məlumdur	to be known
அறியப்படுகின்றன	məlumdur	known
அறியப்படுகிறது	məlumdur	came to know
அறியப்படுகிறார்	məlumdur	known
அறியப்படும்	məlumdur	known
அறியப்பட்ட	məlumdur	known
அறியப்பட்டது	məlumdur	founded
அறியப்பட்டுள்ளது	məlumdur	is known as
அறியலாம்	araşdırın	to make known
அறியவும்	öyrən	to know about
அறியும்	tapmaq	knowing
அறிவதற்கு	öyrən	to know
அறிவாற்றல்	hazırcavab	intelligence
அறிவிக்கப்பட்ட	xəbərdar	announced
அறிவிக்கப்பட்டது	elan olundu	informed
அறிவித்த	elan edir	declare
அறிவித்தது	elan olundu	announced
அறிவித்தார்	bəyan olundu	he announced
அறிவித்து	elan edir	announced
அறிவித்துள்ளது	elan olundu	announced
அறிவின்	bilik	intellectually
அறிவிப்பு	elan	announcement
அறிவிப்பை	bildiriş	announcement
அறிவியற்	elm	science
அறிவியலாளர்கள்	elm adamları	scientist
அறிவியலின்	elm	science
அறிவியலில்	elmdə	in science
அறிவியலும்	elm	science
அறிவியல்	elm	science
அறிவியல்கள்	elmlər	sciences
அறிவு	bilik	knowledge
அறிவுறுத்தினார்	nəsihət	suggested
அறிவை	bilik	knowledge
அறிவையும்	bilik	knowledge
அறுதியிடல்	diaqnoz	diagnose
அறுவடை	məhsul	harvesting
அறை	otaq	room
அற்ற	yolsuz	not
அலகின்	yuxarı	unit
அலகு	vahid	is a unit
அலகுகள்	bölmələr	units
அலாஸ்கா	alyaska	alaska a state
அலாஸ்காவின்	alyaska	in alaska
அலி	əli	ali
அலுவலக	ofis	official
அலுவலகங்கள்	ofislər	office
அலுவலகம்	ofis	office
அலெக்சாண்டர்	i̇skəndər	alexander
அலெக்ஸாண்டரின்	i̇skəndərin	of alexander
அலெக்ஸாண்டர்	i̇skəndər	alexander the great
அலை	dalğa	wave
அலைகளின்	dalğaları	waves
அலைகளை	tides	wave
அலைகள்	dalğalar	waves
அலைநீளம்	dalğa uzunluğu	wavelength
அல்	əl	al
அல்குர்ஆன்	əl quran	alkuran
அல்கைல்	alkil	alkyl
அல்மனக்	almanac	almanac
அல்ல	deyil	not that
அல்லது	və ya	or
அல்லர்	nə də	not
அல்லாத	qeyri	non
அல்லாமல்	bundan başqa	apart from
அல்லாஹ்	allah	allah
அல்லி	əlbətdə	ally flower
அளக்க	ölçəkləmə	scale
அளக்கும்	ölçmə	measuring
அளந்து	ölç	tape
அளவற்ற	limitsizdir	limited
அளவான	təvazökar	sized
அளவானது	dərəcəsi	amount
அளவிட	ölç	to measure
அளவிடப்படுகிறது	ölçülür	measured
அளவிடும்	ölçmə	to measure
அளவின்	səviyyə	of
அளவியல்	metrologiya	metric
அளவிற்கு	genişdir	level
அளவிலேயே	məhduddur	like that measure
அளவில்	məbləğlər	quantity
அளவீடு	ölçmə	measurement
அளவீடுகளில்	ölçmələr	measurement index
அளவீடுகளை	ölçmələr	measurements
அளவீடுகள்	ölçmələr	measurements
அளவீட்டு	ölçmə	measured
அளவு	ölçü	measurement
அளவுகளில்	ölçülər	levels of
அளவுகளை	səviyyə	day's mesure
அளவுகள்	ölçülər	levels
அளவுகோல்	ölçək	a measurement
அளவுக்கு	daha çox	limit
அளவே	yük maşını	limit
அளவை	boyutlandır	limit
அளவைக்	uzunluq	measurement
அளிக்க	təklif	give
அளிக்கப்படுகிறது	təkli̇f edi̇r	given
அளிக்கப்படும்	təqdim olunur	will be given
அளிக்கப்பட்ட	tərəfindən	given
அளிக்கப்பட்டது	töhfə verilib	given
அளிக்கலாம்	təklif	provide
அளிக்கிறது	təqdim edir	given
அளிக்கும்	verən	presenting
அளித்த	the	supplied
அளித்தது	təmin edilmişdir	provided
அளித்தல்	təmin edir	to distribute
அளித்தார்	təmin edilmişdir	given
அளித்து	təmin edilmişdir	to give
அளிப்பது	təchizat	providing
அளிப்பு	təchizat	destroy
அழகான	gözəldir	beautiful
அழகிய	gözəldir	beautiful
அழகு	gözəllik	beautiful
அழகூட்டல்	alakuttal	beautificates
அழற்சி	i̇ltihab	allergy
அழிக்க	məhv edin	destroy
அழிக்கப்பட்ட	məhv edildi	destructed
அழிக்கும்	məhv	to destroy
அழித்தான்	məhv edildi	erased
அழித்து	məhv edildi	destroyed
அழிப்பு	məhv	destroy
அழியாத	sarsılmaz	does not disappear
அழியும்	çıxış	to be destroyed
அழிவு	məhv	destroy
அழுத்த	stress	pressure
அழுத்தங்கள்	təzyiqlər	pressure
அழுத்தத்தை	təzyiq	pressure
அழுத்தம்	təzyiq	pressure
அழைக்க	zəng et	invite
அழைக்கப்	dəvət	called
அழைக்கப்படுகின்றது	məlumdur	was called
அழைக்கப்படுகின்றன	çağırıldı	known
அழைக்கப்படுகின்றனர்	çağırır	call
அழைக்கப்படுகிறது	məlumdur	is called so
அழைக்கப்படுகிறார்	çağırır	called by
அழைக்கப்படும்	məlumdur	called by
அழைக்கப்பட்ட	xatırlatdı	invited
அழைக்கப்பட்டது	dəvət	was called by
அழைக்கப்பட்டன	dəvət	called
அழைக்கப்பட்டார்	dəvət	called
அழைக்கலாம்	zəng et	invited
அழைக்கின்றனர்	zəng et	call
அழைத்தனர்	çağırır	invited
அழைத்தார்	dəvət	invited
அழைத்து	zəng et	call
அழைத்துச்	alın	invited
அழைப்பர்	zəng et	caller
அழைப்பு	zəng et	invitation
அவசியமான	əsaslar	important
அவசியம்	əsas	impotance
அவதானிக்கலாம்	xəbərdarlıq	to be started from
அவதார	i̇lahi	avatar
அவதாரம்	i̇nkarnasiya	avadhar
அவனது	onun	his
அவனிடம்	ona	from his
அவனுக்கு	ona	for him
அவனுடைய	onun	his
அவனே	üst	he is
அவன்	o	he or his
அவரவர்	hər kəs	every one
அவரால்	o	him
அவரிடம்	ona	to him
அவரின்	o	their
அவருக்கு	onun üçün	to him
அவருக்குப்	onun	after that
அவருடன்	onunla	with him
அவருடைய	onun	belonging to him
அவரும்	o	he and
அவரே	özü	he
அவரை	fasulye	that person
அவரைக்	ona	that person
அவரைச்	ona	for him or by all
அவரைத்	onun	a respect
அவரைப்	onun	his
அவர்	o	he/she
அவர்களால்	əgər onlar	their
அவர்களிடம்	onlara	their
அவர்களின்	onların	belonging to them
அவர்களில்	onların içində	among them
அவர்களுக்கு	onlar	to them
அவர்களுடன்	onlarla	with them
அவர்களுடைய	onların	their
அவர்களும்	onlar	they also
அவர்களே	onlar	themself
அவர்களை	onları	them
அவர்களைக்	onları	them
அவர்களைத்	onları	theirs
அவர்களைப்	onları	them
அவர்கள்	onlar	they are
அவற்றிற்கு	onları	them
அவற்றிலிருந்து	onlardan	among them
அவற்றில்	the	in their
அவற்றுக்கு	onların	them (between them)
அவற்றுடன்	onlarla	including that
அவற்றுள்	hansı	among them
அவற்றை	onları	of that
அவற்றைக்	onları	that also
அவற்றைச்	onları	them
அவற்றைத்	onları	those
அவற்றைப்	onları	by that
அவளது	onun	on her
அவளை	onun	that girl or woman
அவள்	o	she
அவுட்லுக்	outlook	outlook
அவுஸ்திரேலியா	avstraliya	australia
அவை	onlar	they
அவைகளாவன	kanallar	that is
அவைகளின்	onların	having that
அவைகளில்	onlarda	in that
அவைகளுக்கு	onlar	them
அவைகளை	onları	that also
அவைகள்	onlar	they are
அவையாவன	bunlara daxildir	everything
அவையின்	ev	house
அவையில்	hansı ki	in that
அவ்வப்போது	mütəmadi olaraq	regularly
அவ்வளவு	daha çox	not much
அவ்வாறு	belə ki	like that
அவ்வாறே	oxşar	like that
ஆ	i̇nək	aa
ஆஃப்	off	of
ஆக	olun	so
ஆகத்து	avqust	aakathu
ஆகவும்	ən çox	than
ஆகவே	buna görə	so
ஆகஸ்டு	avqust	august
ஆகஸ்ட்	avqust	august
ஆகிய	və	including that
ஆகியன	the	are all
ஆகியனவற்றை	o cümlədən	including that all
ஆகியனவாகும்	daxil edin	all those
ஆகியனவும்	daxildir	including
ஆகியவற்றால்	tərəfindən	by
ஆகியவற்றின்	of	belong to
ஆகியவற்றிற்கு	the	including all
ஆகியவற்றில்	çuğundur	including that
ஆகியவற்றுக்கு	üçün	for that
ஆகியவற்றுடன்	i̇lə	together
ஆகியவற்றை	the	all
ஆகியவற்றைக்	konsentrat	and
