$ tỉ	$ miliardo	$ billion
bùng	boom	"(term should be ""bùng nổ"") to break out (v.)"
bú	succhiare	to suck
búa	martello	a hammer
búi	ciuffo	tuft
bún	tagliatelle	noodle
búng	flicking	snap
bút	penna	pseudonym
băm	hash	hash
băn	chiesti	concerned
băng	ghiaccio	"(term should be ""băng giá"") freezing (adj.)"
bơ	burro	"(term should be ""bơ vơ"") desolate (adj.)"
bơi	nuotata	swim
bơm	pompa	pump
bưu	postale	post office
bước	passaggi	a step (n.)
bướm	farfalla	butterfly
bạ	elenco	directory
bạc	argento	meager
bạch	bianco	"(should be ""bạch tuộc"") an octopus"
bại	paralisi	defeated
bảng	tavolo	chart
bảo	sicurezza	protect
bảy	sette	seventh
bấm	stampa	press
bất	vero	"(term should be ""bất cứ"") any (adj.)"
bấy	poi	contemporary
bần	ospizio	poor
bầu	eletto	vote
bầy	mandria	servant
bẩm	congenito	congenital
bẩn	sporco	the
bẩy	trappola	"(term should be ""lẩy bẩy"") unsteadily (adv.)"
bẫy	trappola	a trap (n.)
bậc	laurea	level or class (n.)
bận	impegnato	busy
bật	acceso	outstanding
bắc	nord	beijing
bắcnam	bacnam	"(term should be ""bắc-nam"") north-south (adj.)"
bắn	shoot	shoot
bắp	mais	venter
bắt	catturare	cross
bằng	uguale	by
bẹp	schiacciata	crush
bẻ	freno	break
bẽ	umiliata	humiliate
bến	ancoraggi	wharf
bếp	fornello	kitchen
bề	superficie	"(should be ""bề mặt"") a surface"
bền	durata	enduring (v.)
bể	accessibile	tank
bệ	predella	base
bện	intrecciato	braided (adj.)
bệnh	malato	benh
bỉ	belgio	disgust
bỉnh	binh	binh
bịch	borse	ridiculous
bịt	sigillante	cover
bọ	insetto	insect
bọc	avvolgere	to cover or enclose (v.)
bọn	noi	a group (n.)
bọng	gonfiore	bladder
bọt	schiuma	foam
bỏ	rinunciare	to leave (v.)
bỏng	bruciare	hot
bố	papà	"(term should be ""tuyên bố"") to declare"
bốc	caricamento	bốc lửa= on fire
bối	dato	messy
bốn	quattro	four
bồi	compensazione	"(term should be ""cao bồi"") cowboy (n.)"
bổn	responsabilità	duty
bổng	fischietti	"with word luong, means ""salary"" or ""wages"""
bỗng	improvvisamente	suddently
bộ	reparto	part
bộc	slancio	"(term should be ""bộc lộ"") to reveal (v.)"
bội	multiplo	betray
bột	farina	powder or flour (n.)
bớ	arrotondare	arrest
bớt	taglio	less
bờ	bordo	coast
bời	boi	profuse
bở	friabile	profitable
bởi	da	because
bục	podio	platform
bụng	pancia	abdomen
bứt	penna	"(term should be ""bứt phá"") power (n.)"
bừa	erpice	messy, careless, or topsy-turvy (adj.)
bữa	accessibile	meal (n.)
bực	sconvolto	bother
ca	canto	praise
ca-lo	calorie	a unit of measurement
cabo	cabo	cabo
cacbon	carbonio	carbon
cacbonat	carbonato	carbonate
cacbua	carburi	carbides, carbon ions
caesar	cesare	caesar
caffein	caffeina	caffeine
café	caffetteria	coffee
cai	ritiro	govern
cairo	cairo	cairo, the capital of egypt
cal	cal	cal, a first name
calculus	calcolo	calculus
calvin	calvin	calvin
cam	arance	commit
cambodia	cambogia	(proper noun) the country of cambodia
cambridge	cambridge	cambridge
cameo	cammeo	cameo part
cameron	cameron	cameron
cameroon	camerun	cameroon
camille	camille	camille
campbell	campbell	campbell
campuchia	campuchia	campuchia
canada	canada	canada
canadian	canadese	canadian
canal	canale	canal
canary	canarino	canary
cancer	cancro	cancer
canterbury	canterbury	canterbury
canxi	calcio	calcium
capello	capello	capello
capra	capra	capra
carat	carato	carat
carbine	carabina	carbine
cardcaptor	card captor	cardcaptor
cardcaptors	cardcaptors	(proper noun) cardcaptors
carey	carey	(proper noun) carey, as in singer mariah carey
caribe	caribe	caribbean
caribê	caraibi	caribbean
carl	carl	carl
carlos	carlos	carlos
carnaval	carnaval	carnaval
carol	carola	carol
caroline	caroline	(proper noun) caroline
carpathia	carpathia	carpathia
carter	carrettiere	carter
carxtơ	karst	karst topography, a geological term (n.)
casa	casa	casa
casablanca	casablanca	casablanca
caspia	caspian	caspia
cassini	cassini	cassini
cast	getto	cast
castries	castries	castries
castro	castro	castro, as in fidel castro
cathay	cathay	cathay
catherine	catherine	catherine
cau	cau	cau
cbc	cbc	cbc
cbgd	docente	educational  officer
cbs	cbs	cbs
ccc	ccc	ccc
ccn	ccn	industrial cluster
cctv	cctv	cctv
cd	cd	cd
cdot	cdot	cdot
cdrom	cdrom	cd-rom
cell	cella	cell
celtic	celtico	centic
cena	cena	(proper noun) cena, as in john cena, the wrestler
centauri	centauri	centauri
ceres	ceres	ceres
cha	padre	father
chai	bottiglia	bottle
chaillot	chaillot	a name
chamberlain	ciambellano	chamberlain
champa	champa	champa
champion	campione	champion
chamẹ	chame	parents
chanel	chanel	chanel
chanh	limone	lemon or lime (n.)
chao	chao	(proper noun) chao, a name
charles	charles	charles
charlotte	carlotta	charlotte
charlton	charlton	charlton
charon	caronte	(proper noun) charon
chase	caccia	chase
chay	vegetariano	fasting
chdcnd	nord	democratic republic
che	copertura	cover
chechnya	cecenia	chechnya
chen	chen	chen
cheo	carassio	"(term should be ""cheo reo"") name of a town"
chi	spesa	"(term should be ""chi tiết"") details (n.)"
chia	dividere	"(term should be ""chia sẻ"") to share"
chiang	chiang	chiang
chicago	chicago	chicago, as in chicago, illinois
chile	chile	(proper noun) the country of chile
chim	l&#39;uccello	bird
china	porcellana	china
ching	ching	ching
chirac	chirac	chirac, as in former french president jacques chirac
chiêm	sognare	"(term should be ""chiêm thành"") the ancient kingdom of champa in vietnam"
chiên	fritto	fry
chiêng	gong	gong
chiếc	il	the
chiếm	occupato	appropriate
chiến	lotta	war, fight
chiết	estrazione	literal
chiếu	tappetino	show
chiền	templi	temple
chiều	sera	length
chlamydia	clamidia	chlamydia
chloride	cloruro	chloroauric acid
chnd	pdr	chnd
choi	choi	choi
chomsky	chomsky	chomsky
chong	chong	chong
chopin	chopin	chopin
chosŏn	bandiera di trinidad	(proper noun) choson
choàng	ovattare	coat
choáng	stordire	dizzy
chris	chris	chris, as in chris hughes
christ	cristo	christ
christian	cristiano	christian
christopher	christopher	christopher
chrome	cromo	chrome, as in google chrome
chrysler	chrysler	(proper noun) chrysler, the car company
chu	ciclo	cycle
chua	acida	tomato
chuck	mandrino	(proper noun) chuck, as in chuck norris
chui	chui	underground
chum	compagno	pot
chun	chun	chun
chung	comune	general
churchill	churchill	churchill
chuyên	specializzato	professional
chuyến	viaggio	trip
chuyền	pallavolo	volleyball
chuyển	in avanti	to move
chuyện	questione	nói chuyện= talk
chuôi	gripe	handle
chuông	campana	a bell
chuẩn	standard	standard
chuốc	chiede	incur
chuối	banane	banana
chuốt	brocciatura	refine
chuồng	gabbia	cage
chuỗi	catena	series
chuộc	atone	redeem
chuộng	popolare	favorite
chuột	mouse	a mouse (n.)
chà	strofinare	rub
chài	pesca	fish
chàm	indaco	indigo
chàng	tipo	"(term should be ""chàng trai"") a young man (n.)"
chào	ciao	welcome
chày	baseball	a pestle (n.)
chánh	capo	"(term should be ""chánh án"") the head of a tribunal (n.)"
cháo	porridge	porridge
cháu	nipoti	a term one uses denoting oneself when addressing an aunt or uncle (n.)
cháy	fuoco	fire
châm	cazzo	motto
chân	gamba	a leg
châu	continentale	continental
chè	tè	tea
chèn	inserto	insert
chém	taglio	to chop
chén	tazza	bowl
chéo	croce	cross
chép	copia	written
chê	accidenti	decry
chênh	differenza	difference
chì	piombo	graphite
chìa	chiave	"(term should be ""chìa khoá"") a key (n.)"
chìm	sommergibile	to become submerged or sink (v.)
chình	anguilla	eel
chí	uscite	especially
chích	cazzo	shoot
chín	nove	ripe
chính	primario	main
chít	chit	dense
chò	cho	a type of plant, typically of the parashorea genus (n.)
chòi	cabina	hut
chòm	costellazione	constellation
chó	cane	dog
chóc	choc	killing (giet choc)
chói	vivido	bright
chóng	rapidamente	"entire term should be ""chong mat""; means ""dizzy"""
chóp	top	the top (n.)
chôm	chom	rambutan
chôn	seppellire	bury
chông	marito	thorn
chùa	tempio	pagoda
chùy	pannocchie	mace
chú	zio	uncle (n.)
chúa	dio	god
chúc	desiderare	will
chúi	immersione	drop
chúng	essi	they
chút	un pochino	little
chăm	abbi cura di te	champa
chămpa	champa	champa
chăng	a prezzi accessibili	would it
chĩa	appuntito	point
chơi	gioco	play
chơn	chon	"a more obscure form of the word ""chân""; means ""genuine"" or ""true"""
chư	vassallo	lower authorities
chưa	non ancora	not yet
chưng	distillazione	steamed
chương	spettacolo	medal
chướng	percorso ad ostacoli	grating
chạ	promiscuità	father
chạm	tocco	touch
chạng	chang	twilight
chạp	lento	slow
chạy	corsa	to run (v.)
chả	rotoli	no
chảo	padella	pan
chảy	fusione	bleeding
chấm	puntino	end
chấp	accettazione	"(term should be ""chấp nhận"") to accept (v.)"
chất	questione	quality
chấu	perno	"(term should be ""châu chấu"") a grasshopper (n.)"
chần	sbiancato	slice
chẩn	diagnostico	"(term should be ""chẩn đoán"") to diagnose (v.)"
chậm	lento	slow
chận	bloccato	block
chật	stretto	overcrowded
chậu	pentola	pelvic
chắc	sicuro	certainly
chằng	lashes	ligament
chẵn	parità	even
chặn	blocco	prevent
chặng	gamba	journey
chặt	chop	close
chẻ	scissione	strick
chẽ	vicino	"(term should be ""chặt chẽ"") tightly or closely (adv.)"
chế	lavorazione	produce
chếch	girare	oblique
chết	morto	to die (v.)
chệch	deviate	deviant
chỉ	spettacolo	just (adv.)
chỉnh	correzione	adjust
chịt	interlacciato	chằn chịt= complex/tangle
chịu	orso	tolerate
chọc	teased	to poke
chọi	combattente	oppose
chọn	scegliere	to choose
chỏ	gomito	"(term should be ""cùi chỏ"") elbow (n.)"
chốc	momento	single
chối	negare	refuse
chốn	posto	place
chống	lotta	anti-
chốt	chiavistello	important
chồi	germogli	"(term should be ""đâm chồi"") budding"
chồn	volpe	anxious
chồng	marito	husband
chỗ	sede	where
chội	yum-yum	cramped
chớ	non farlo	not
chớp	illuminazione	flashing (adj.)
chờ	await	to wait
chở	carry	for
chợ	mercato	market
chợt	improvvisamente	suddenly
chục	dozzina	dozen
chụp	tiro	capture
chủ	maestro	"(term should be ""chủ yếu"") main or essential (adj.)"
chủng	tensione	strain
chứ	piuttosto	just or only (adv.)
chứa	contenere	contain
chức	funzionari	function
chừ	intonazione	hesitate
chừa	congedo	leave
chừng	un po &#39;	about or roughly (adv.)
chử	chu	"(term should be ""chử bích"") the vietnamese name for a chinese island"
chửa	gravidanza	pregnant
chửi	verbalmente	curse
chữ	parola	a letter of the alphabet (n.)
chữa	cura	to cure or treat (v.)
chững	livellato	to totter (v.)
cia	cia	cia
cincinnati	cincinnati	cincinnati
cinderella	cenerentola	cinderrella
cip	cip	cip
circus	circo	circus
cities	città	cities
clara	clara	clara
clark	clark	clark
claude	claude	(proper noun) claude
claudius	claudius	(proper noun) claudius
clinton	clinton	clinton, as in former president bill clinton
clip	clip	clip
clips	clip	clips
clo	cloro	chlorine
clow	clow	clow
clyde	clyde	(proper noun) clyde, as in bonnie and clyde
cmc	cmc	cmc
cmt	cmt	cmt
cn	cn	christian era
cnet	cnet	cnet
cntb	capitalismo	capitalism
cntt	cntt	it
cnxh	cnxh	social republic
co	co	spasm
coburn	coburn	coburn
cocoa	cacao	cocoa
coen	coen	coen
coffea	coffea	coffee
cohen	cohen	cohen
coi	considerato	to regard
coleen	coleen	coleen
coleman	coleman	coleman
coli	coli	coli
colin	colin	(proper noun) colin, as in colin powell
colleen	colleen	colleen
college	collegio	college
collins	collins	(proper noun) collins
collège	collège	college (n.)
colombia	colombia	colombia
colombo	colombo	(proper noun) colombo
colorado	colorado	(proper noun) colorado, as in the state
columbus	colombo	columbus
comic	comico	comic
common	comune	common
concacaf	concacaf	concacaf
concerto	concerti	concerto
concorde	concorde	concorde
condom	preservativo	condom
cong	curvo	curved or bent
congo	congo	congo
congress	congresso	congress, as in library of congress
connecticut	connecticut	connecticut
conrad	conrad	corrad
conservation	conservazione	conservation
constantine	costantino	constantine
contemporary	contemporaneo	contemporary
cooper	bottaio	(proper noun) cooper
copenhagen	copenhagen	copenhagen
copernic	copernico	corpernic
copperfield	copperfield	(proper noun) copperfield, as in magician david copperfield
coppola	coppola	coppola
copy	copia	copy
cordyceps	cordyceps	cordyceps
core	nucleo	core
cornell	cornell	cornell
cosin	coseno	cosine
costa	costa	costa
cotang	cotangente	cotangent
cpt	cpt	cpt
craig	craig	(proper noun) craig
crazy	pazzo	crazy
crespo	crespo	(proper noun) crespo
crest	cresta	crest
crew	equipaggio	crew
crimson	cremisi	crimson
crisis	crisi	crisis
cristiano	cristiano	cristiano, as in portuguese soccer player cristiano ronaldo
croatia	croazia	croatia
cross	croce	cross
crs	crs	crs
cruz	cruz	cruz
cruzeiro	cruzeiro	cruzeiro
crystal	cristalli	crystal
ctc	ctc	ctc
cua	granchio	crab (n.)
cullen	cullen	a name
cung	fornitura	circle
cunningham	cunningham	cunningham; proper name
cup	tazza	cup
cuả	di	of, from, belonging to
cuốc	raccogliere	hoe
cuối	finale	last or final (adj.)
cuốn	rotolo	book
cuống	peduncolo	throat
cuồng	estatico	crazy (adj.)
cuộc	il	the
cyanide	cianuro	cyanide
cyber	informatica	cyber
cyril	cyril	(proper noun) cyril
cyrus	cyrus	cyrus
cyworld	cyworld	cyword
cà	caffè	ca
cài	installare	install
càn	incursione	raid
càng	di più	cang
cành	spuntone	branch
cào	artiglio	scratch
cày	aratura	plow
các	il	all (adv.)
cách	il modo	the
cái	il	"(term should be ""con cái"") children (n.)"
cán	rotolamento	"(should be ""cán bộ"") an officer, especially in a communist regime"
cánh	ala	wing
cáo	volpe	report
cáopx|bình	cáopx | media	not a word
cáp	cavo	cable (n.)
cáy	violinista	fiddler
câm	muto	mute (adj.)
cân	bilancia	weight
câu	v	saying
cãi	discutere	argue
cò	cicogna	stork
còn	ancora	to have left (v.)
có	avere	have
cói	seagrass	machine
cót	bamboomat	cot
cô	zia	girl
côi	orfano di padre	orphaned
côn	insetto	a stick (n.)
công	il	worker
côngtenơ	contenitore	container
cõi	regni	entire area
cõng	a cavalluccio	piggyback
cù	operosità	cu
cùi	lebbroso	leprosy
cùng	e	together
cú	colpo	old
cúi	arco	to bow (v.)
cúm	influenza	cum
cúng	offerte	worship
cúp	tazza	cup (n.)
cút	uscire	to kick someone out (v.)
căm	collegato	detest (cam thu)
căn	appartamenti	"(term should be ""căn bệnh"") cause of a disease (n.)"
căng	strained	tense
cũ	vecchio	old
cũi	culla	kennel
cũng	pure	also
cơm	riso	rice
cư	residenziale	resident
cưa	segare	saw
cưng	tesoro	also
cước	oneri	megaman
cưới	matrimonio	marry
cướp	rapinare	to rob (v.)
cười	risata	smile
cường	intensità	strengthen
cưỡi	equitazione	ride
cưỡng	costretto	force some body to do some thing. cưỡng dâm=rape
cạc	carta	card (n.)
cạn	asciutto	shallow
cạnh	bordo	"(term should be ""khía cạnh"") an angle"
cạo	strippers	shave
cạp	pantacollant	scorpion
cả	entrambi	both
cải	miglioramenti	reform
cảm	freddo	pleasure
cản	autorizzazione	prevent
cảng	porti	port
cảnh	scena	situation
cảo	estrattore	posthumous
cấm	proibito	ban
cấn	cuore	dramatic
cấp	grado	level or rank (n.)
cất	costruzione	"(term should be ""cất giữ"") to keep safe or store"
cầm	hold	to hold (v.)
cần	necessario	need
cầu	ponte	request
cầy	zibetto	farmed
cẩn	stai attento	carefully
cẩu	gru	"(term should be ""hải cẩu"") a seal (n.)"
cận	accesso	close
cập	aggiornare	mention
cậu	suo	a young man (n.)
cậy	affidabile	reliable
cắm	collegare	to plant (v.)
cắn	morso	to bite
cắp	furto	steal
cắt	taglio	cut
cằm	mento	chin
cằn	can	exhausted (adj.)
cặp	coppia	couple
cọ	palma	rub
cọc	deposito	pile
cọp	tigre	tiger
cỏ	erba	plant
cố	provare	"(term should be ""cố gắng"") to try one's best (v.)"
cốc	vetro	cereal
cối	malte	mortar
cốm	com	grilled rice
cống	drain	dedicate
cồn	alcool	i
cồng	gong	gong
cổng	il cancello	gate
cỗ	ponte	engine
cỗi	sterile	barren
