$ tỉ	$ พันล้าน	$ billion
brussels	บรัสเซลส์	brussels, the capital of belgium
btr	btr	btr
bubalis	bubalis	bubalis
budapest	บูดาเปสต์	budapest, the capital of hungary
bulgaria	บัลแกเรีย	bulgaria
bulletin	แถลงการณ์	thong bao
bungary	บัลแกเรีย	bungary
bungo	bungo	bungo
buonaparte	buonaparte	(proper noun) buonaparte, as in casa buonaparte
burke	เบิร์ค	(proper noun) burke, as in edmund burke
burkina	บูร์กินา	burkina
burma	พม่า	burma
burundi	บุรุนดี	burundi
busan	ปูซาน	a korean city
busby	หมวกทหารทรงกลมสูง	busby
bush	พุ่มไม้	bush
bushy	เป็นพวง	bushy
buôn	การค้ามนุษย์	commerce
buông	ไปกันเถอะ	to release, to let loose
buýt	รถบัส	bus
buốt	กระตือรือร้น	sharp
buồm	แล่นเรือ	sail
buồn	เสียใจ	sad
buồng	ตู้	chamber
buổi	วัน	session
byzantine	ไบเซนไทน์	byzantine
bà	เขา	woman or lady (n.)
bài	โพสต์	articles
bàn	ตาราง	table
bàng	นกอินทรีย์	eagle
bành	แพ็ค	armchair
bào	เซลล์	compatriot
bàu	bau	bau
bày	ของขวัญ	"(term should be ""trưng bày"") to display (v.)"
bác	ลุง	doctor
bách	ต้นไซเปรซ	"(term should be ""bách khoa"") polytechnic (adj.)"
bái	ศาสนา	to bow (v.)
bám	ยึด	cling
bán	ขาย	sell
báng	โรคซาง	"(term should be ""phỉ báng"") to defame or slander"
báo	หนังสือพิมพ์	newspaper (n.)
bát	ขัน	eight (n.)
báu	สมบัติ	valuable
bây	ตอนนี้	now
bã	กาก	"(term should be ""buồn bã"") sad (adj.)"
bãi	สวนสาธารณะ	beach
bão	พายุ	storm
bèn	แล้วก็	then
bé	เล็ก	baby
bén	คม	sharp (adj.)
béo	ไขมัน	fat
bên	ด้าน	side
bênh	ได้รับการปกป้อง	advocate
bì	การบรรจุ	foreskin (n.)
bìa	ปก	cover
bìu	ถุงอัณฑะ	sac (n.)
bí	ฟักทอง	secret
bính	พินอิน	"(term should be ""bính âm"") romanized chinese words (n.)"
bíró	biro	biro
bò	วัว	beef
bó	กลุ่ม	bound (adj.)
bói	ทำนายดวงชะตา	to foretell (v.)
bón	ปุ๋ย	"entire term should be ""phan bon""; means ""fertilizer"""
bóng	ลูกบอล	sphere or ball
bóp	บีบ	squeeze
bô	ไม่เต็มเต็ง	"(term should be ""bôxit"") the mineral bauxite"
bôi	ฟอง	to apply (as in oil)
bông	ฝ้าย	flower
bù	ทำขึ้น	compensate
bùa	เครื่องราง	talisman
bùn	โคลน	mud
bùng	ความเจริญ	"(term should be ""bùng nổ"") to break out (v.)"
bú	ดูด	to suck
búa	ค้อน	a hammer
búi	กระจุก	tuft
bún	ก๋วยเตี๋ยว	noodle
búng	สะบัด	snap
bút	ปากกา	pseudonym
băm	กัญชา	hash
băn	สงสัย	concerned
băng	น้ำแข็ง	"(term should be ""băng giá"") freezing (adj.)"
bơ	เนย	"(term should be ""bơ vơ"") desolate (adj.)"
bơi	การว่ายน้ำ	swim
bơm	เครื่องสูบน้ำ	pump
bưu	ไปรษณีย์	post office
bước	ขั้นตอน	a step (n.)
bướm	ผีเสื้อ	butterfly
bạ	ไดเรกทอรี	directory
bạc	เงิน	meager
bạch	ขาว	"(should be ""bạch tuộc"") an octopus"
bại	อัมพาต	defeated
bảng	ตาราง	chart
bảo	ความปลอดภัย	protect
bảy	เจ็ด	seventh
bấm	กด	press
bất	จริง	"(term should be ""bất cứ"") any (adj.)"
bấy	แล้วก็	contemporary
bần	บ้านพักรับรองพระธุดงค์	poor
bầu	ได้รับการเลือกตั้ง	vote
bầy	ฝูงสัตว์	servant
bẩm	แต่กำเนิด	congenital
bẩn	สกปรก	the
bẩy	กับดัก	"(term should be ""lẩy bẩy"") unsteadily (adv.)"
bẫy	กับดัก	a trap (n.)
bậc	ปริญญา	level or class (n.)
bận	หมั้น	busy
bật	เปิดใช้	outstanding
bắc	ทางทิศเหนือ	beijing
bắcnam	bacnam	"(term should be ""bắc-nam"") north-south (adj.)"
bắn	ยิง	shoot
bắp	ข้าวโพด	venter
bắt	เพื่อจับ	cross
bằng	เท่ากัน	by
bẹp	แบน	crush
bẻ	เบรก	break
bẽ	ละอายใจ	humiliate
bến	ท่าเทียบเรือ	wharf
bếp	เตา	kitchen
bề	พื้นผิว	"(should be ""bề mặt"") a surface"
bền	ที่ยั่งยืน	enduring (v.)
bể	ที่สามารถเข้าถึงได้	tank
bệ	เวที	base
bện	ถัก	braided (adj.)
bệnh	ป่วย	benh
bỉ	เบลเยียม	disgust
bỉnh	binh	binh
bịch	ถุง	ridiculous
bịt	วัตถุอุดกันรั่ว	cover
bọ	แมลง	insect
bọc	ห่อ	to cover or enclose (v.)
bọn	เรา	a group (n.)
bọng	อาการบวม	bladder
bọt	โฟม	foam
bỏ	ยอมแพ้	to leave (v.)
bỏng	เผา	hot
bố	พ่อ	"(term should be ""tuyên bố"") to declare"
bốc	โหลด	bốc lửa= on fire
bối	รับ	messy
bốn	สี่	four
bồi	ค่าตอบแทน	"(term should be ""cao bồi"") cowboy (n.)"
bổn	ความรับผิดชอบ	duty
bổng	นกหวีด	"with word luong, means ""salary"" or ""wages"""
bỗng	ทันใดนั้น	suddently
bộ	แผนก	part
bộc	การขึ้น	"(term should be ""bộc lộ"") to reveal (v.)"
bội	หลายอย่าง	betray
bột	แป้ง	powder or flour (n.)
bớ	ปัดขึ้น	arrest
bớt	ตัด	less
bờ	ขอบ	coast
bời	บีโอไอ	profuse
bở	เปราะ	profitable
bởi	โดย	because
bục	แท่น	platform
bụng	ท้อง	abdomen
bứt	ปากกา	"(term should be ""bứt phá"") power (n.)"
bừa	คราด	messy, careless, or topsy-turvy (adj.)
bữa	ที่สามารถเข้าถึงได้	meal (n.)
bực	อารมณ์เสีย	bother
ca	สวดมนต์	praise
ca-lo	แคลอรี่	a unit of measurement
cabo	cabo	cabo
cacbon	คาร์บอน	carbon
cacbonat	คาร์บอเนต	carbonate
cacbua	คาร์ไบด์	carbides, carbon ions
caesar	ซีซาร์	caesar
caffein	คาเฟอีน	caffeine
café	คาเฟ่	coffee
cai	การถอนตัว	govern
cairo	ไคโร	cairo, the capital of egypt
cal	ตกลูก	cal, a first name
calculus	แคลคูลัส	calculus
calvin	คาลวิน	calvin
cam	ส้ม	commit
cambodia	ประเทศกัมพูชา	(proper noun) the country of cambodia
cambridge	เคมบริดจ์	cambridge
cameo	จี้	cameo part
cameron	คาเมรอน	cameron
cameroon	แคเมอรูน	cameroon
camille	คามิลล์	camille
campbell	แคมป์เบล	campbell
campuchia	campuchia	campuchia
canada	แคนาดา	canada
canadian	ชาวแคนาดา	canadian
canal	คลอง	canal
canary	นกขมิ้น	canary
cancer	โรคมะเร็ง	cancer
canterbury	แคนเทอร์	canterbury
canxi	แคลเซียม	calcium
capello	คาเปลโล่	capello
capra	capra	capra
carat	กะรัต	carat
carbine	ปืนสั้น	carbine
cardcaptor	cardcaptor	cardcaptor
cardcaptors	cardcaptors	(proper noun) cardcaptors
carey	แครี่	(proper noun) carey, as in singer mariah carey
caribe	caribe	caribbean
caribê	แคริบเบียน	caribbean
carl	คาร์ล	carl
carlos	คาร์ลอ	carlos
carnaval	คาร์นิวัล	carnaval
carol	เพลงสดุดี	carol
caroline	แคโรไลน์	(proper noun) caroline
carpathia	คาร์พาเธี	carpathia
carter	คนขับรถส่งของ	carter
carxtơ	karst	karst topography, a geological term (n.)
casa	casa	casa
casablanca	คาซาบลังกา	casablanca
caspia	แคสเปี้ย	caspia
cassini	แคสสินี	cassini
cast	หล่อ	cast
castries	แคสตรีส์	castries
castro	คาสโตร	castro, as in fidel castro
cathay	ประเทศจีน	cathay
catherine	แคทเธอรี	catherine
cau	cau	cau
cbc	cbc	cbc
cbgd	วิทยากร	educational  officer
cbs	ซีบีเอส	cbs
ccc	ccc	ccc
ccn	ccn	industrial cluster
cctv	กล้องวงจรปิด	cctv
cd	ซีดี	cd
cdot	cdot	cdot
cdrom	cdrom	cd-rom
cell	เซลล์	cell
celtic	เซลติก	centic
cena	cena	(proper noun) cena, as in john cena, the wrestler
centauri	เซ็นทอรี	centauri
ceres	เซเรส	ceres
cha	พ่อ	father
chai	ขวด	bottle
chaillot	chaillot	a name
chamberlain	จางวาง	chamberlain
champa	จำปา	champa
champion	แชมป์	champion
chamẹ	chame	parents
chanel	ชาแนล	chanel
chanh	มะนาว	lemon or lime (n.)
chao	เจ้าพระยา	(proper noun) chao, a name
charles	ชาร์ลส์	charles
charlotte	ชาร์ลอ	charlotte
charlton	ชาร์ลตัน	charlton
charon	charon	(proper noun) charon
chase	การไล่ล่า	chase
chay	มังสวิรัติ	fasting
chdcnd	ทางทิศเหนือ	democratic republic
che	ปก	cover
chechnya	เชชเนีย	chechnya
chen	chen	chen
cheo	crucian	"(term should be ""cheo reo"") name of a town"
chi	รายจ่าย	"(term should be ""chi tiết"") details (n.)"
chia	หาร	"(term should be ""chia sẻ"") to share"
chiang	เชียงใหม่	chiang
chicago	เมืองชิคาโก	chicago, as in chicago, illinois
chile	ชิลี	(proper noun) the country of chile
chim	นก	bird
china	ประเทศจีน	china
ching	ชิง	ching
chirac	ชีรัก	chirac, as in former french president jacques chirac
chiêm	ฝัน	"(term should be ""chiêm thành"") the ancient kingdom of champa in vietnam"
chiên	ทอด	fry
chiêng	ฆ้อง	gong
chiếc		the
chiếm	ที่ถูกครอบครอง	appropriate
chiến	สู้	war, fight
chiết	การสกัด	literal
chiếu	เสื่อ	show
chiền	วัด	temple
chiều	ตอนเย็น	length
chlamydia	หนองในเทียม	chlamydia
chloride	คลอไรด์	chloroauric acid
chnd	สาธารณรัฐประชาธิปไตยประชาชนลาว	chnd
choi	choi	choi
chomsky	ชัม	chomsky
chong	ปากช่อง	chong
chopin	โชแปง	chopin
chosŏn	ธงประจำชาติตรินิแดด	(proper noun) choson
choàng	เผา	coat
choáng	งัน	dizzy
chris	คริส	chris, as in chris hughes
christ	คริสต์	christ
christian	คริสเตียน	christian
christopher	ริสโตเฟอร์	christopher
chrome	โครเมียม	chrome, as in google chrome
chrysler	ไครสเลอร์	(proper noun) chrysler, the car company
chu	วงจร	cycle
chua	เปรี้ยว	tomato
chuck	เชย	(proper noun) chuck, as in chuck norris
chui	chui	underground
chum	เพื่อนสนิท	pot
chun	ชุน	chun
chung	ร่วมกัน	general
churchill	เชอร์ชิล	churchill
chuyên	เฉพาะ	professional
chuyến	การเดินทาง	trip
chuyền	วอลเลย์บอล	volleyball
chuyển	ข้างหน้า	to move
chuyện	เรื่อง	nói chuyện= talk
chuôi	จับ	handle
chuông	ระฆัง	a bell
chuẩn	มาตรฐาน	standard
chuốc	ถาม	incur
chuối	กล้วย	banana
chuốt	การเจาะ	refine
chuồng	กรง	cage
chuỗi	โซ่	series
chuộc	ชดเชย	redeem
chuộng	เป็นที่นิยม	favorite
chuột	เม้าส์	a mouse (n.)
chà	ถู	rub
chài	ประมง	fish
chàm	คราม	indigo
chàng	คนที่แต่งตัวประหลาด	"(term should be ""chàng trai"") a young man (n.)"
chào	สวัสดี	welcome
chày	กีฬาเบสบอล	a pestle (n.)
chánh	หัวหน้า	"(term should be ""chánh án"") the head of a tribunal (n.)"
cháo	ม้วย	porridge
cháu	ลูกหลาน	a term one uses denoting oneself when addressing an aunt or uncle (n.)
cháy	ไฟไหม้	fire
châm	ทิ่ม	motto
chân	ขา	a leg
châu	คอนติเนน	continental
chè	ชา	tea
chèn	แทรก	insert
chém	ตัด	to chop
chén	ถ้วย	bowl
chéo	ข้าม	cross
chép	สำเนา	written
chê	แช่ง	decry
chênh	ข้อแตกต่าง	difference
chì	ตะกั่ว	graphite
chìa	สำคัญ	"(term should be ""chìa khoá"") a key (n.)"
chìm	จุ่ม	to become submerged or sink (v.)
chình	ปลาไหล	eel
chí	ข่าว	especially
chích	ทิ่ม	shoot
chín	เก้า	ripe
chính	ประถม	main
chít	โพย	dense
chò	cho	a type of plant, typically of the parashorea genus (n.)
chòi	กระท่อม	hut
chòm	นักษัตร	constellation
chó	สุนัข	dog
chóc	choc	killing (giet choc)
chói	สดใส	bright
chóng	อย่างรวดเร็ว	"entire term should be ""chong mat""; means ""dizzy"""
chóp	ด้านบน	the top (n.)
chôm	chom	rambutan
chôn	ฝังศพ	bury
chông	สามี	thorn
chùa	วัด	pagoda
chùy	ช่อดอก	mace
chú	ลุง	uncle (n.)
chúa	พระเจ้า	god
chúc	เพื่อหวังว่า	will
chúi	ดำน้ำ	drop
chúng	พวกเขา	they
chút	นิดหน่อย	little
chăm	ดูแลตัวเองด้วย	champa
chămpa	จำปา	champa
chăng	ราคาไม่แพง	would it
chĩa	แหลม	point
chơi	เล่น	play
chơn	chon	"a more obscure form of the word ""chân""; means ""genuine"" or ""true"""
chư	ข้าราชบริพาร	lower authorities
chưa	ยัง	not yet
chưng	การกลั่น	steamed
chương	แสดง	medal
chướng	หลักสูตรอุปสรรค	grating
chạ	ความสำส่อน	father
chạm	สัมผัส	touch
chạng	ช้าง	twilight
chạp	อืด	slow
chạy	วิ่ง	to run (v.)
chả	ม้วน	no
chảo	กระทะ	pan
chảy	ร้องไห้	bleeding
chấm	จุด	end
chấp	การยอมรับ	"(term should be ""chấp nhận"") to accept (v.)"
chất	เรื่อง	quality
chấu	หมุด	"(term should be ""châu chấu"") a grasshopper (n.)"
chần	ลวก	slice
chẩn	การวินิจฉัย	"(term should be ""chẩn đoán"") to diagnose (v.)"
chậm	ช้า	slow
chận	อุดตัน	block
chật	แน่น	overcrowded
chậu	หม้อ	pelvic
chắc	แน่ใจ	certainly
chằng	ขนตา	ligament
chẵn	ความเท่าเทียมกัน	even
chặn	การปิดกั้น	prevent
chặng	ขา	journey
chặt	สับ	close
chẻ	แยก	strick
chẽ	ใกล้	"(term should be ""chặt chẽ"") tightly or closely (adv.)"
chế	การประมวลผล	produce
chếch	เปิด	oblique
chết	ตาย	to die (v.)
chệch	เบี่ยงเบน	deviant
chỉ	แสดง	just (adv.)
chỉnh	การแก้ไข	adjust
chịt	interlaced	chằn chịt= complex/tangle
chịu	หมี	tolerate
chọc	แกล้ง	to poke
chọi	ศึก	oppose
chọn	เลือก	to choose
chỏ	ข้อศอก	"(term should be ""cùi chỏ"") elbow (n.)"
chốc	ขณะ	single
chối	ปฏิเสธ	refuse
chốn	สถานที่	place
chống	สู้	anti-
chốt	สลัก	important
chồi	หน่อ	"(term should be ""đâm chồi"") budding"
chồn	จิ้งจอก	anxious
chồng	สามี	husband
chỗ	ที่นั่ง	where
chội	yum-yum	cramped
chớ	ทำไม่ได้	not
chớp	แสง	flashing (adj.)
chờ	รอคอย	to wait
chở	การพกพา	for
chợ	ตลาด	market
chợt	ทันใดนั้น	suddenly
chục	โหล	dozen
chụp	การยิง	capture
chủ	เจ้านาย	"(term should be ""chủ yếu"") main or essential (adj.)"
chủng	ความเครียด	strain
chứ	ค่อนข้าง	just or only (adv.)
chứa	บรรจุ	contain
chức	เจ้าหน้าที่	function
chừ	ขว้าง	hesitate
chừa	ลา	leave
chừng	บางส่วน	about or roughly (adv.)
chử	บุญชู	"(term should be ""chử bích"") the vietnamese name for a chinese island"
chửa	การตั้งครรภ์	pregnant
chửi	ด้วยวาจา	curse
chữ	คำ	a letter of the alphabet (n.)
chữa	รักษา	to cure or treat (v.)
chững	ระดับ	to totter (v.)
cia	ซีไอเอ	cia
cincinnati	ซินซิน	cincinnati
cinderella	ลูกเมียน้อย	cinderrella
cip	cip	cip
circus	ละครสัตว์	circus
cities	เมือง	cities
clara	คลารา	clara
clark	คลาร์ก	clark
claude	claude	(proper noun) claude
claudius	คาร์ดินัล	(proper noun) claudius
clinton	คลินตัน	clinton, as in former president bill clinton
clip	คลิป	clip
clips	คลิป	clips
clo	คลอรีน	chlorine
clow	โคลว์	clow
clyde	ไคลด์	(proper noun) clyde, as in bonnie and clyde
cmc	cmc	cmc
cmt	cmt	cmt
cn	cn	christian era
cnet	cnet	cnet
cntb	ระบบทุนนิยม	capitalism
cntt	cntt	it
cnxh	cnxh	social republic
