$ tỉ	milliarden dollar	$ billion
bù	schminken	compensate
bùa	amulett	talisman
bùn	schlamm	mud
bùng	fackel	"(term should be ""bùng nổ"") to break out (v.)"
bú	saugen	to suck
búa	hammer	a hammer
búi	büschel	tuft
bún	brötchen	noodle
búng	schnippte	snap
bút	stift	pseudonym
băm	gehasht	hash
băn	bund	concerned
băng	eis	"(term should be ""băng giá"") freezing (adj.)"
bơ	butter	"(term should be ""bơ vơ"") desolate (adj.)"
bơi	schwimmen	swim
bơm	pumpe	pump
bưu	porto	post office
bước	schritt	a step (n.)
bướm	schmetterling	butterfly
bạ	kontakte	directory
bạc	silber	meager
bạch	transparent	"(should be ""bạch tuộc"") an octopus"
bại	fehlgeschlagen	defeated
bảng	tabellen	chart
bảo	bao	protect
bảy	sieben	seventh
bấm	drücken sie	press
bất	echt	"(term should be ""bất cứ"") any (adj.)"
bấy	das	contemporary
bần	arm	poor
bầu	abstimmen	vote
bầy	herde	servant
bẩm	angeboren	congenital
bẩn	schmutzig	the
bẩy	falle	"(term should be ""lẩy bẩy"") unsteadily (adv.)"
bẫy	falle	a trap (n.)
bậc	abschluss	level or class (n.)
bận	beschäftigt	busy
bật	eingeschaltet	outstanding
bắc	norden	beijing
bắcnam	northnam	"(term should be ""bắc-nam"") north-south (adj.)"
bắn	schießen	shoot
bắp	mais	venter
bắt	zu fangen	cross
bằng	gleich	by
bẹp	zerquetschen	crush
bẻ	pause	break
bẽ	demütigung	humiliate
bến	dock	wharf
bếp	küche	kitchen
bề	oberfläche	"(should be ""bề mặt"") a surface"
bền	langlebig	enduring (v.)
bể	kaputt	tank
bệ	sockel	base
bện	geflochten	braided (adj.)
bệnh	krank	benh
bỉ	belgien	disgust
bỉnh	ungezogen	binh
bịch	schlag	ridiculous
bịt	abgedeckt	cover
bọ	fehler	insect
bọc	wickeln	to cover or enclose (v.)
bọn	sie	a group (n.)
bọng	schwellungen	bladder
bọt	schaum	foam
bỏ	gib auf	to leave (v.)
bỏng	brennt	hot
bố	vater	"(term should be ""tuyên bố"") to declare"
bốc	laden	bốc lửa= on fire
bối	verwirrt	messy
bốn	vier	four
bồi	entschädigung	"(term should be ""cao bồi"") cowboy (n.)"
bổn	pflicht	duty
bổng	stipendium	"with word luong, means ""salary"" or ""wages"""
bỗng	plötzlich	suddently
bộ	einstellen	part
bộc	boc	"(term should be ""bộc lộ"") to reveal (v.)"
bội	vielfache	betray
bột	teig	powder or flour (n.)
bớ	aufrunden	arrest
bớt	weniger	less
bờ	ufer	coast
bời	penner	profuse
bở	von	profitable
bởi	von	because
bục	podium	platform
bụng	bauch	abdomen
bứt	unwissentlich	"(term should be ""bứt phá"") power (n.)"
bừa	erschütternd	messy, careless, or topsy-turvy (adj.)
bữa	mahlzeit	meal (n.)
bực	frustriert	bother
ca	ca.	praise
ca-lo	ca-lo	a unit of measurement
cabo	cabo	cabo
cacbon	kohlenstoff	carbon
cacbonat	carbonat	carbonate
cacbua	hartmetall	carbides, carbon ions
caesar	caesar	caesar
caffein	koffein	caffeine
café	kaffee	coffee
cai	cai	govern
cairo	kairo	cairo, the capital of egypt
cal	cal	cal, a first name
calculus	kalkül	calculus
calvin	calvin	calvin
cam	orange	commit
cambodia	kambodscha	(proper noun) the country of cambodia
cambridge	cambridge	cambridge
cameo	cameo	cameo part
cameron	cameron	cameron
cameroon	kamerun	cameroon
camille	camille	camille
campbell	campbell	campbell
campuchia	kambodscha	campuchia
canada	kanada	canada
canadian	kanadisch	canadian
canal	kanal	canal
canary	kanarienvogel	canary
cancer	krebs	cancer
canterbury	canterbury	canterbury
canxi	kalzium	calcium
capello	capello	capello
capra	capra	capra
carat	karat	carat
carbine	karabiner	carbine
cardcaptor	kartenfänger	cardcaptor
cardcaptors	kartenfänger	(proper noun) cardcaptors
carey	vorsichtig	(proper noun) carey, as in singer mariah carey
caribe	karibik	caribbean
caribê	karibik	caribbean
carl	carl	carl
carlos	carlos	carlos
carnaval	karneval	carnaval
carol	weihnachtslied	carol
caroline	caroline	(proper noun) caroline
carpathia	karpaten	carpathia
carter	carter	carter
carxtơ	karat	karst topography, a geological term (n.)
casa	casa	casa
casablanca	casablanca	casablanca
caspia	caspia	caspia
cassini	cassini	cassini
cast	besetzung	cast
castries	gebäck	castries
castro	castro	castro, as in fidel castro
cathay	cathay	cathay
catherine	catherine	catherine
cau	cau	cau
cbc	cbc	cbc
cbgd	cbgd	educational  officer
cbs	cbs	cbs
ccc	ccc	ccc
ccn	ccn	industrial cluster
cctv	cctv	cctv
cd	cd	cd
cdot	cdot	cdot
cdrom	cdrom	cd-rom
cell	zelle	cell
celtic	keltisch	centic
cena	cena	(proper noun) cena, as in john cena, the wrestler
centauri	centauri	centauri
ceres	ceres	ceres
cha	vater	father
chai	flasche	bottle
chaillot	chaillot	a name
chamberlain	kammerherr	chamberlain
champa	champa	champa
champion	meister	champion
chamẹ	bad	parents
chanel	chanel	chanel
chanh	zitrone	lemon or lime (n.)
chao	hallo	(proper noun) chao, a name
charles	charles	charles
charlotte	charlotte	charlotte
charlton	charlton	charlton
charon	charon	(proper noun) charon
chase	jagd	chase
chay	vegetarier	fasting
chdcnd	chdcnd	democratic republic
che	abdeckung	cover
chechnya	chechnya	chechnya
chen	chen	chen
cheo	cheo	"(term should be ""cheo reo"") name of a town"
chi	chi	"(term should be ""chi tiết"") details (n.)"
chia	geteilt	"(term should be ""chia sẻ"") to share"
chiang	chiang	chiang
chicago	chicago	chicago, as in chicago, illinois
chile	chile	(proper noun) the country of chile
chim	der vogel	bird
china	china	china
ching	ching	ching
chirac	chirac	chirac, as in former french president jacques chirac
chiêm	astrologisch	"(term should be ""chiêm thành"") the ancient kingdom of champa in vietnam"
chiên	gebraten	fry
chiêng	gong	gong
chiếc	stk	the
chiếm	besetzt	appropriate
chiến	kämpfen	war, fight
chiết	extrahieren	literal
chiếu	projektion	show
chiền	haufen	temple
chiều	uhr	length
chlamydia	chlamydien	chlamydia
chloride	chlorid	chloroauric acid
chnd	chnd	chnd
choi	spielen	choi
chomsky	chomsky	chomsky
chong	chong	chong
chopin	chopin	chopin
chosŏn	chosŏn	(proper noun) choson
choàng	umhang	coat
choáng	fassungslos	dizzy
chris	chris	chris, as in chris hughes
christ	christus	christ
christian	christian	christian
christopher	christopher	christopher
chrome	chrom	chrome, as in google chrome
chrysler	chrysler	(proper noun) chrysler, the car company
chu	chu	cycle
chua	sauer	tomato
chuck	chuck	(proper noun) chuck, as in chuck norris
chui	unterirdisch	underground
chum	kumpel	pot
chun	chun	chun
chung	allgemein	general
churchill	churchill	churchill
chuyên	spezialisiert	professional
chuyến	reise	trip
chuyền	passieren	volleyball
chuyển	übertragen	to move
chuyện	geschichte	nói chuyện= talk
chuôi	meckern	handle
chuông	glocke	a bell
chuẩn	standard	standard
chuốc	poke	incur
chuối	bananen	banana
chuốt	räumen	refine
chuồng	scheune	cage
chuỗi	zeichenfolge	series
chuộc	einlösen	redeem
chuộng	bevorzugt	favorite
chuột	maus	a mouse (n.)
chà	reiben	rub
chài	angeln	fish
chàm	indigo	indigo
chàng	mann	"(term should be ""chàng trai"") a young man (n.)"
chào	hallo	welcome
chày	baseball	a pestle (n.)
chánh	chef	"(term should be ""chánh án"") the head of a tribunal (n.)"
cháo	brei	porridge
cháu	enkelkinder	a term one uses denoting oneself when addressing an aunt or uncle (n.)
cháy	brennen	fire
châm	stechen	motto
chân	füße	a leg
châu	europa	continental
chè	tee	tea
chèn	einfügen	insert
chém	schrägstrich	to chop
chén	tasse	bowl
chéo	kreuz	cross
chép	kopie	written
chê	verdammt	decry
chênh	unterschied	difference
chì	führen	graphite
chìa	schlüssel	"(term should be ""chìa khoá"") a key (n.)"
chìm	sinken	to become submerged or sink (v.)
chình	aal	eel
chí	läuse	especially
chích	injektion	shoot
chín	neun	ripe
chính	haupt	main
chít	scheiße	dense
chò	ersticken	a type of plant, typically of the parashorea genus (n.)
chòi	hütte	hut
chòm	konstellation	constellation
chó	hunde	dog
chóc	haha	killing (giet choc)
chói	blendung	bright
chóng	schnell	"entire term should be ""chong mat""; means ""dizzy"""
chóp	tipp	the top (n.)
chôm	rambutan	rambutan
chôn	begraben	bury
chông	ehemann	thorn
chùa	pagode	pagoda
chùy	streitkolben	mace
chú	onkel	uncle (n.)
chúa	gott	god
chúc	zu wünschen	will
chúi	tuu	drop
chúng	sie	they
chút	ein bisschen	little
chăm	pass auf dich auf	champa
chămpa	champa	champa
chăng	erschwinglich	would it
chĩa	gabeln	point
chơi	spielen	play
chơn	füße	"a more obscure form of the word ""chân""; means ""genuine"" or ""true"""
chư	chu	lower authorities
chưa	noch nicht	not yet
chưng	dist	steamed
chương	kapitel	medal
chướng	hindernisparcours	grating
chạ	promiskuitiv	father
chạm	berühren	touch
chạng	dämmerung	twilight
chạp	wackelig	slow
chạy	laufen	to run (v.)
chả	brötchen	no
chảo	pfanne	pan
chảy	fließend	bleeding
chấm	punkt	end
chấp	hypothek	"(term should be ""chấp nhận"") to accept (v.)"
chất	substanz	quality
chấu	prise	"(term should be ""châu chấu"") a grasshopper (n.)"
chần	blanchieren	slice
chẩn	diagnostizieren	"(term should be ""chẩn đoán"") to diagnose (v.)"
chậm	langsam	slow
chận	block	block
chật	eng	overcrowded
chậu	töpfe	pelvic
chắc	sicher	certainly
chằng	stirn	ligament
chẵn	sogar	even
chặn	block	prevent
chặng	bein	journey
chặt	eng	close
chẻ	teilen	strick
chẽ	eng	"(term should be ""chặt chẽ"") tightly or closely (adv.)"
chế	vorbereitungen	produce
chếch	schlaff	oblique
chết	sterben	to die (v.)
chệch	falsch	deviant
chỉ	nur	just (adv.)
chỉnh	korrektur	adjust
chịt	mist	chằn chịt= complex/tangle
chịu	bär	tolerate
chọc	stupsen	to poke
chọi	kämpfen	oppose
chọn	wähle	to choose
chỏ	ellbogen	"(term should be ""cùi chỏ"") elbow (n.)"
chốc	moment	single
chối	leugnen	refuse
chốn	ort	place
chống	anti	anti-
chốt	riegel	important
chồi	schießt	"(term should be ""đâm chồi"") budding"
chồn	wiesel	anxious
chồng	ehemann	husband
chỗ	ort	where
chội	scheiße	cramped
chớ	nicht	not
chớp	blitz	flashing (adj.)
chờ	warte	to wait
chở	tragen	for
chợ	markt	market
chợt	plötzlich	suddenly
chục	dutzend	dozen
chụp	schießen	capture
chủ	besitzer	"(term should be ""chủ yếu"") main or essential (adj.)"
chủng	stämme	strain
chứ	eher	just or only (adv.)
chứa	enthält	contain
chức	funktion	function
chừ	warte	hesitate
chừa	verlassen	leave
chừng	ca.	about or roughly (adv.)
chử	wort	"(term should be ""chử bích"") the vietnamese name for a chinese island"
chửa	schwanger	pregnant
chửi	fluchen	curse
chữ	wort	a letter of the alphabet (n.)
chữa	heilen	to cure or treat (v.)
chững	nivellierung	to totter (v.)
cia	cia	cia
cincinnati	cincinnati	cincinnati
cinderella	aschenputtel	cinderrella
cip	cip	cip
circus	zirkus	circus
cities	städte	cities
clara	clara	clara
clark	clark	clark
claude	claude	(proper noun) claude
claudius	claudius	(proper noun) claudius
clinton	clinton	clinton, as in former president bill clinton
clip	clip	clip
clips	clips	clips
clo	chlor	chlorine
clow	clow	clow
clyde	clyde	(proper noun) clyde, as in bonnie and clyde
cmc	cmc	cmc
cmt	cmt	cmt
cn	cn	christian era
cnet	cnet	cnet
cntb	cntb	capitalism
cntt	cntt	it
cnxh	cnxh	social republic
co	co	spasm
coburn	coburn	coburn
cocoa	kakao	cocoa
coen	coen	coen
coffea	coffea	coffee
cohen	cohen	cohen
coi	berücksichtigt	to regard
coleen	coleen	coleen
coleman	coleman	coleman
coli	coli	coli
colin	colin	(proper noun) colin, as in colin powell
colleen	colleen	colleen
college	college	college
collins	collins	(proper noun) collins
collège	collège	college (n.)
colombia	kolumbien	colombia
colombo	colombo	(proper noun) colombo
colorado	colorado	(proper noun) colorado, as in the state
columbus	columbus	columbus
comic	comic	comic
common	gemeinsam	common
concacaf	concacaf	concacaf
concerto	konzert	concerto
concorde	concorde	concorde
condom	kondom	condom
cong	gebogen	curved or bent
congo	kongo	congo
congress	kongress	congress, as in library of congress
connecticut	connecticut	connecticut
conrad	conrad	corrad
conservation	erhaltung	conservation
constantine	konstantin	constantine
contemporary	zeitgenössisch	contemporary
cooper	cooper	(proper noun) cooper
copenhagen	kopenhagen	copenhagen
copernic	kopernisch	corpernic
copperfield	kupferfeld	(proper noun) copperfield, as in magician david copperfield
coppola	coppola	coppola
copy	kopie	copy
cordyceps	cordyceps	cordyceps
core	kern	core
cornell	cornell	cornell
cosin	cosin	cosine
costa	costa	costa
cotang	cotang	cotangent
cpt	cpt	cpt
craig	craig	(proper noun) craig
crazy	verrückt	crazy
crespo	crespo	(proper noun) crespo
crest	wappen	crest
crew	besatzung	crew
crimson	purpur	crimson
crisis	krise	crisis
cristiano	cristiano	cristiano, as in portuguese soccer player cristiano ronaldo
croatia	kroatien	croatia
cross	kreuz	cross
crs	crs	crs
cruz	cruz	cruz
cruzeiro	cruzeiro	cruzeiro
crystal	kristall	crystal
ctc	ctc	ctc
cua	krabbe	crab (n.)
cullen	cullen	a name
cung	bogen	circle
cunningham	cunningham	cunningham; proper name
cup	tasse	cup
cuả	von	of, from, belonging to
cuốc	hacken	hoe
cuối	zuletzt	last or final (adj.)
cuốn	buch	book
cuống	stiel	throat
cuồng	verrückt	crazy (adj.)
cuộc	kämpfen	the
cyanide	cyanid	cyanide
cyber	cyber	cyber
cyril	cyril	(proper noun) cyril
cyrus	cyrus	cyrus
cyworld	cyworld	cyword
cà	kaffee	ca
cài	installieren	install
càn	brauchen	raid
càng	desto mehr	cang
cành	zweig	branch
cào	kratzer	scratch
cày	pflügen	plow
các	die	all (adv.)
cách	der weg	the
cái	die	"(term should be ""con cái"") children (n.)"
cán	gerollt	"(should be ""cán bộ"") an officer, especially in a communist regime"
cánh	flügel	wing
cáo	fuchs	report
cáopx|bình	cáopx | durchschnitt	not a word
cáp	kabel	cable (n.)
cáy	geiger	fiddler
câm	dumm	mute (adj.)
cân	skala	weight
câu	satz	saying
cãi	argumentieren	argue
cò	auslösen	stork
còn	links	to have left (v.)
có	ja	have
cói	segge	machine
cót	kinderbett	cot
cô	sie	girl
côi	verwaist	orphaned
côn	verjüngung	a stick (n.)
công	arbeit	worker
côngtenơ	behälter	container
cõi	bereiche	entire area
cõng	huckepack	piggyback
cù	kitzeln	cu
cùi	aussätzige	leprosy
cùng	zusammen	together
cú	eule	old
cúi	bogen	to bow (v.)
cúm	grippe	cum
cúng	gemütlich	worship
cúp	ausfall	cup (n.)
cút	raus	to kick someone out (v.)
căm	eingesteckt	detest (cam thu)
căn	radikal	"(term should be ""căn bệnh"") cause of a disease (n.)"
căng	dehnen	tense
cũ	alt	old
cũi	krippe	kennel
cũng	auch	also
cơm	reis	rice
cư	bevölkern	resident
cưa	sah	saw
cưng	liebling	also
cước	fracht	megaman
cưới	verheiratet	marry
cướp	rob	to rob (v.)
cười	lache	smile
cường	intensiv	strengthen
cưỡi	reiten	ride
cưỡng	gezwungen	force some body to do some thing. cưỡng dâm=rape
cạc	karte	card (n.)
cạn	flach	shallow
cạnh	kante	"(term should be ""khía cạnh"") an angle"
cạo	rasieren	shave
cạp	skorpion	scorpion
cả	beides	both
cải	senf	reform
cảm	kalt	pleasure
cản	geplagt	prevent
cảng	hafen	port
cảnh	szene	situation
cảo	abzieher	posthumous
cấm	verboten	ban
cấn	brauchen	dramatic
cấp	gewähren	level or rank (n.)
cất	destilliert	"(term should be ""cất giữ"") to keep safe or store"
cầm	halten	to hold (v.)
cần	brauchen	need
cầu	brücke	request
cầy	zibet	farmed
cẩn	sei vorsichtig	carefully
cẩu	kran	"(term should be ""hải cẩu"") a seal (n.)"
cận	ansatz	close
cập	zähler	mention
cậu	ihn	a young man (n.)
cậy	abhängen	reliable
cắm	einstecken	to plant (v.)
cắn	beißen	to bite
cắp	stehlen	steal
cắt	schneiden	cut
cằm	kinn	chin
cằn	mürrisch	exhausted (adj.)
cặp	paar	couple
cọ	handfläche	rub
cọc	haufen	pile
