aajo	smešno	hospitality
alátise	umjetnik	alatise
aláyèwò	inspektore	expert
aláísàn	bolestan	the sick
alúwo	bum	traditional cults
alọ́po	novčanik	tied
amazonas	amazonas	amazonas
americas	americas	americas
amerika	amerika	america
amojeoyipada	kabriolet	reform
amosi	džamija	amos
améríkà	američko	america
améríkà	američko	america
an	an	him
anabi	prorok	prophet
anc	anc	anc
andaman	andman	andaman
angkor	angkor	angkor
anita	anita	anita
anschluss	anschluss	anschluss
apagusu	jug	southern
apaguusuilaorun	jugozapad	south-western
apaguusuiwoorun	jugozapad	part of the south
apailaorun	izlazak sunca	east side
apaiwoorun	zapadni	eastern side
aparapo	kombinacija	confederation
apeja	ribar	fisherman
apeere	na primjer	example
apis	apis	apis
apòmù	pregača	apomu
apẹ̀rè	pregača	example
arabu	arapski	arab
aralíle	tropska	healthy body
arinkankan	ovaj	nationalist
ariso	nastaju	oral tradition
ariwaarin	bliski istok	mid-north
ariwaguusu	jugozapadni	north-south
arkansas	arkanzas	arkansas
aroko	vegetacija	composition
aruleyin	zdravo	carried on the back
arun	bolest	disease
aryan	arijac	aryan
aráa	brate	people from
arábíà	abecedno	arabia
aráròmí	zdravo	araromi
arópò	podmićivanje	substitute
arúgbó	starost	elderly
arọ	hrom	cripple
asagun	pobjeda	intial, first (referring to the 13 colonies)
ascii	saznati	ascii
aseeto	naselje	unfair
aseyori	uspeh	success
asipa	odstupanje	first to kill
assessment	procjena	ayewo
asìko	gluposti	time; ni asiko=when
asèdá	prirodni	origination
atangbona	atom	emission
atanna	atom	emitter
atigba	dopušteno	from time
atimo	plan	inland
atinrin	smeje se	thin
atun	unatrag	also
atunse	korekcija	revision
australia	australia	australia
austriahumgary	austriahumgary	austria-hungary
austronesian	austronezijski	austronesian
austríà	australia	austria
avar	avar	avar
awari	otkriće	discovery
awo	tanjur	of
awonara	emocija	people of
awoòn	predložak	people
awon	njih	they
awuruju	magično	shady
awùjo	ljubaznost	society
awújẹ	skandal	root
aya	stih	chest
ayeye	vječnost	celebration
ayàfi	to je u redu	only if
ayò	ay	game
azikiwe	zdrav razum	azikwe
aṣòkan	pojedinac	united
baa	je	be with
babaláwo	vračar	herbalist
bahrain	bahrein	bahrain
balẹ̀	neka bude	settled
bang	prasak	bang
banle	banle	banle
bara	prošle godine	themselves
bauxitealumina	boksitealumina	bauxite/aluminum
bayelsa	bayelsa	beyelsa
bayi	sad	like this
bayìí	sad	this
bce	daleko	bce
beauharnais	beauharnais	beauharnais
beijing	peking	beijing
belarus	bjeloruski	belarus
belgium	belgija	belgium
bengal	bengal	bengal
bengali	bengali	bengal
benin	klupa	benin
berber	berber	berber
berlin	berlin	berlin
bernstein	bernstein	bernstein
bharat	bharat	bharat
bharata	vrati se	bharata
bibeli	biblija	bible
biribiri	bila zgnječena	intense
black	crna	dudu
bodies	tela	ara
bojú	pogledaj	take care
bole	bole	ground
bolt	vijak	bolt
bolívar	bolívar	bolivar
brasil	brasil	brazil
brazzaville	brazzaville	brazzaville
bridgeport	most	bridgeport
britain	britanija	britain
brítánì	britanski	britain
bu	to je	give
buenaventura	buenaventura	buenaventura
bujumbura	proširen	bujumbura
burúkú	zlo	bad
by	od	does not translate directly, does not exist
bàbá	otac	father
bákannáà	takođe	likewise
bálè	balon	lying on the ground
bárakú	zavisnost	habitual
báyìí	sad	this
bèrẹ̀	početi sa	started
béè	samo tako	than
bòtswánà	autobus	botswana
búburú	loše	bad
búrú	budi hrabar	wicked
bẹ̀rẹ̀	da započnemo	started
bẹ́	razbio	also
bẹ́ljíọ̀m	beril	belgium
bẹ́ẹ̀ni	da	yes
bẹ́ẹ̀sìni	da	that is it
cairo	bijes	cairo
calabar	žvakaća guma	calabar
canaria	kanarija	canaria
cape	ogrtač	cape
casablanca	casablanca	casablanca
caslon	casino	caslon
cathedral	katedrala	cathedral (katidral)
catherine	katarina	catherine
cauchy	kašasti	cauchy
cbc	cbc	cbc
chamorro	chamorro	chamorro
charles	charles	charles
chaskalson	chaskalson	chaskalson
chebbi	misli	chebbi
cherished	njegovan	mu lokunkundun
china	kina	china
cipollone	cipollone	cipollone
clear	jasno	danmanran
code	kod	code
coetsee	coetsee	coetese
coloured	obojeno	alawo dudu
coming	dolazi	yo jade
compared	upoređen	does not directly translate
computers	računari	komputa, ero ayarabiasa
csto	csto	csto
ct	ct	ct
cunha	grlo	cunha
da	i	back; but in this form it is unnecessary
dagbasoke	odrasti	developing
dandan	obavezno	a must
dani	držanje	hand-held
darapo	pridruži se	joinedd
daru	uništiti	scattered
dates	datumi	pada si
delhi	nemoj	delhi
denver	denver	denver
des	des	des
describes	opisuje	se apejuwe (apejuwe=description; se prefix makes it a verb)
desmond	desmond	desmond
development	razvoj	idagbasoke
didagba	jednakost	growing
didasile	osnivanje	established
different	različito	iyato
din	pržiti	reduced
dinwoju	pogledaj gore	suitable
divoire	divoire	d'ivoire
doju	licem u lice	face
dojú	licem u lice	turn face (full phrase is doju ko, to face)
dominic	dominik	dominic
doni	doni	this day
dote	dote	rebel
doublehelix	doublehelix	hiliksi abara meji
doublestrand	doublestrand	double-strand
dover	dover	dova
du	du	hustle
due	zahvaljujući	nitori
dun	ukusno	sound
dàbíi	volim ovo	like
dàpò	zamijeni ih	mix
dá	kreirao	intervene
dágbó	starost	forest
dájó	dobro	pass judgement
dálóríi	hvala ti	about
dáradára	dobro	well
dásà	a casa	peculiar way of saying
dáwó	donirati	undertake
dé	stigli	reach
délànà	u principu	delana
dépò	do te mere	to a position
dì	list	be
dìde	nastaju	stand
dìró	desno	hang on
dìtẹ̀	zavjera	rebel
díè	napeto	few
dóko	dobro	upstanding
dólà	dobro	dollar
dún	zvuk	sound
dúró	stajati	stand (been in existence)
dọ́gba	jednak	equal
ea	da	ea
eba	eba	shore
ebi	porodica	family
ecomog	ecomog	ecomog
ede	jezik	language
efrem	effem	efrem
egba	apsolutno	cane
egbe	pištolj	group
egberundun	hiljadu godina	a thousand year
egbo	rana	brother
egbé	jao	party
egbò	rana	chemicals
egbògi	medicinski	don't know this
eighteen	osamnaest	ejidinlogun
eka	kompleks	branch, department, part
ekeji	drugi	second
eko	obrazovanja	lagos
elede	svinje	speaker
eleyi	ovo	this
eleyii	volim ovo	this
elláda	kreacija	ellada
eléde	apstraktno	pig
eléré	sportista	performer
elòmírà	morske alge	freedom
elòmíràn	drugi	another person
emerging	u nastajanju	ibere-pese
emmanuel	emmanuel	emmanuel
enikéni	svi	whoever
enter	uđi	wole
enì	slon	person
eníbá	vrućica	such person
epa	kikiriki	groundnut
ernst	ernst	ernst
erofo	sediment	swamp
erékùsù	ostrvo	island
eréonítàn	kratica	written play
eseese	dijagram	step by step
esia	dolazi	asia
esteri	esteri	ester
etisalat	etisalat	etisalat
etymologiae	etimologije	etymologiae
etíòkun	obala	beach
euro	evro	euro
euroasia	euroazija	uro-esia
ewe	list	ewe
ewé	list	leaf
ewì	poezija	traditional poem
example	primjer	apere
eya	kategoriju	tribe
eyin	jaja	previous
eyonomba	eyonomba	digit
eléja	ribolov	fisherman
elòmíràn	neko drugi	another person
eka	efekat	branches
eléyàmèyà	nacionalnost	tribalism
enu	usta	mouth
esin	religija	horse
esè	prihodi	leg
ewà	ponašanja	beauty
fagile	otkazano	cancel
fail	neuspjeh	padanu
fan	ventilator	spread
faramó	pridržavaju	accept
faranse	francuski	french
farsi	arti	farsi
felifeli	baršun	fuming
ferde	ferde	verde
fesèmúlè	privremeni izvor	established
fe	želio	want
fi	uštedjeti	by
fifihan	pokazujući	revealed
fihan	naznačeno	shows, to show
fimú	oštro definirano	captivate with
finiki	fizika	finiki
finlandi	finska	finland
fitino	suđenje	judgement
five	pet	marun
fodio	fodio	fodio
fofinde	zabrana	prohibited
fohùn	viknite	consent
foniimu	film	phoneme
force	silu	agbara
foriko	na primjer	agreed
fourbase	četveronožni	onidi-merin
fowobowe	rezervacija	signed
fowó	za novac	sign
fracmv	fracmv	does not translate
francis	francis	francis
fransi	francuski	france
freetown	slobodno mjesto	freetown
fuji	ukloniti	fuji
fulani	kukavički	fulani
fulbe	ful	fulbe
fun	za	for
funra	sama sebe	suspect
further	dalje	si
fé	fé	like
fé	fé	want
fégbé	zaboravi	for peers
fífò	leti	jumping
fífún	davanje	giving
fòye	razumiju	rationalise
fẹ́rẹ̀ẹ́	skoro	nearly
galatia	ovaj put	galatia
gba	slažete se	accept
gbajúgbujà	je veoma popularna	popular
gbale	popularnost	flourished
gbaná	pucati	engulf in flame/rage
gbe	nositi	set up
gbera	pomakni se	move
gberasoke	ubrzati	rising
gbese	dug	debt
gbigbamulo	eksploataciju	adopted
gbigbewo	finansiranje	examined
gbilè	izbiti	gaining ground
gbin	posađeno	farm
gbogbogbo	opšte	general
gbongbo	root	root
gbàgbọ́	vjerujte	believe
gbàgùrà	zatresao	gbagura
gbá	razbiti	received
gbáradì	ustani	prepare
gbé	uživo	convey
gbédìí	uspostaviti	respect
gbékalè	stolar	establish
gbéni	uživo	lift
gbéyèwò	pregled	examine
gbésè	ponuda	die
gbìnyànjú	probaj	endeavour
gbìyànju	potrudi se	try
gbódò	mora	must
gbónmisi	zakon	strife
gbúnùn	pomirišem	hostile
gbọ́dọ̀	mora	must
geesi	engleski	english
geneva	geneva	geneva
genevieve	genevieve	genevieve
georgia	georgia	georgia
german	njemački	german
gfaj	gfaj	gfaj
ghana	gana	ghana
gidigidi	vrlo	significantly
gidí	kuca	real
goemai	goemai	goemai
gomina	guvernera	governor
gorgina	orao	gorgina
gquadruplex	gquadruplex	g-gigalonomerin
grammy	grammy	grammy
griiki	grčki	greek
groove	utor	iho
guanínì	guanni	guanine
guinea	gvineja	guinea
guineabissau	guineabissau	guinea bissau
guinébissau	guinébissau	guinea bissau
gun	dugo	stretch
gunle	pištolj	arrive
guusu	južno	south
gv	gv	gv
gèésì	ljepilo	english
gèésì	dragulj	english
gégé	stvarno	like
gírámà	hvataljke	grammar
gòkè	ići gore	climb
gún	probijen	properly
gúúsù	južno	south
gẹ̀ẹ́sì	engleski	english
habsburg	habsburg	habsburg
haggai	vodič	haggai
haiti	haiti	haiti
halomonadaceae	halomonadaceae	halomonadaceae
hard	teško	lile
haughton	haughton	haughton
hausafulani	hausafulani	hausa fulani
hawaii	havaji	hawaii
heinrich	heinrich	heinrich
hendu	slatkiš	hendu
henny	henny	henny
heraklion	heraklion	heraklion
hesse	dogovorili	hesse
him	njega	un, this term is sexless
hindu	hindu	hindu
histoni	histoni	histones
hominidae	hominidae	hominidae
hosea	crijevo	hosea
hp	hp	hp
hugh	hugh	hugh
hun	hun	knit
hungari	gladovanje	hungary
hv	hv	hv
ibalo	afera	relationship
ibarepo	udruženje	friendship
ibeji	blizanci	twins
ibewo	došlo	visit
ibiamusin	svetište	colony
ibile	tradicionalno	municipality
ibimo	rođenje	birth
ibise	vježbati	official
ibiti	mjesta	where
ibn	ibn	ibn
ibojì	grobnica	burial ground
ibori	veo	conquest
ibujoko	klupa	place of abode
ibuseripadabosi	nadoknadu	eternity
ibuso	boriti se	bus stop
ibùdó	kamp	settlement, seat of, area,
ibùjókòó	sjedenje	settlement
iceland	island	iceland
idagbasoke	razvoj	development
idagbe	zanemarivanje	isolation
idaji	polovina	half
idajo	pravda	judgement
idamita	izvući	sector
idari	kontrola	control
ideraa	pisati	comfort
idimule	hapšenje	establishment
idoma	crtanje	idoma
idupe	hvala ti	thanksgiving
idánwò	suđenje	examination
ifija	ribolov	weapon
ifilole	lansiranje	resolution
ifitonileti	informacija	reporting
ifobaje	korupcija	coronating
ifofinde	kongres	prohibition
ifriqiya	stimulacija	ifriqiya
igbeduro	priprema	institute
igbegun	pobjeda	declaration of war
igberiko	prigradski	region
igbesoke	nadogradnja	upliftment
igbeyawo	vjenčanje	marriage
igbowolori	skupo	inflation
igbá	piletina	shell
igbáẹ̀yìn	posljednji	shell
igitòròmogbè	širokopojasni	willow tree
ihan	da se pojavi	ray
ihinrere	evanđelje	gospel
ijagun	borba	war
ijakadi	borba	wrestling
ijaya	panika	fear
ije	pokreta	eating
ijinnasi	fizika	the wind open
ijosin	štovanje	worship
ijó	plesanja	dance
ikan	jedan	one of
ikandinlogun	osamnaest	nineteen
ikaowo	poštovanje	finger
ikejidinlogun	osamnaest	eighteen
ikeko	kompilacija	education
ikerin	četvrti	fourth
iketa	naslijediti	third
ikoenu	uštedjeti	union
ikojopo	nagomilavanje	collection
ikoreokere	žetva	migration
iku	smrt	death
ikúgbaèyí	sad	death-has-this
ikún	punjenje	squirrel or wild rodent
ilagbolojo	publicitet	latitude
ilana	postupak	procedure
ilanaoye	strategije	knowledge procedure
ilaodo	zaštititi	cana
ilaorun	izlazak sunca	west
ileasofin	zakonodavni	house of law,
ilegiga	dom	higher ground or higher plain
ileife	zanemarivanje	ile-ife
ileigbimo	pristanak	house of assembly/congress
ileobaluaye	svijet	high chief
ileru	peć	volcanic
ilopo	dvostruko	times
iluoba	državljanstvo	king's town
iluorilejoba	globalizacija	capital city
ilé	dom	house
iléayé	dom	earth
iléisé	dom	workplace
ilélódò	kuća	ile-lodo
iléàtèéré	dom	ile-ateere
iléńlá	dvorište	ile-nla (area)
ilẹ	zemlju	land
ilẹ̀ayé	zemlja	the world
iminle	da uhapse	earthquake
imoero	osvjetljavanje	engineering
imojuto	briga	protection
imusin	izvući	colony
imú	nosa	nose
imúnisìn	higijena	slavery
inagberingberi	kikiriki	electromagnetic force
indeed	zaista	paapa julo
indus	indus	indus
inkosi	opravdati	inkosi
integration	integracija	ifowosowopo
inágbéringbérin	sedamnaest	electromagnet
iní	nasljedstvo	possession
inúnibíni	progon	hatred
ioja	riba	fight
ioniani	u potrebi	ionian
iowa	na zemlji	iowa
ipare	bledi	abolition
ipawo	koristi	income
ipele	nivoa	stage
ipin	poglavlje	share
ipinpa	učešće	arm of, branch of
ipinu	odluku	determination
ipo	lokaciju	position
ipá	silu	effort
iraja	šokantno	bargaining
iranlose	pomoć	mission
ire	rasprodaja	you
irele	poniznost	irele
iringa	zamotati	iringa
irisi	izgled	appearance
irorun	veoma jednostavno	convenient
irò	glasina	iro
irúnmọlẹ̀	munje	apparition
isa	dosta	jesus, isa or yisa is hausa language
isare	ubrzanje	track race
isedaniloro	sumnja u sebe	terrorism
iseero	pazi	engineering
isejoba	upravljanje	governance
iseoba	petnaest	civil service
iseoroayeijoun	arheologija	archaeology
iseowo	posao	business
isepinpin	distribucija	division
iso	doći	unit
isoponomba	isoponomba	addition of numbers
isun	protoka	spring
isesi	predati	conduct
isè	usluga	occupation
itali	italijanski	italy
itanakole	priča	ancient
itelentele	jasno	coming after
itiraka	borba	effort
itobi	hvaliti se	size
itokowo	posao	economy
itorawo	liberalni	astrology
itu	baciti	solution
itumo	značenje	meaning
iwadi	istraživanja	research
iwasi	impresionirati	behaviour
iwifun	informacija	report
iwoile	dom	entering
iwosan	izlječenje	healing
iwulo	korisno	use
iwuwa	vežba	behaviour
iyan	glad	argument
iyato	razlika	difference
iyawo	mladenka	wife
iyen	to je	that
iyán	blistav	pounded yam
iḷẹ̀	posla	land
iṣẹ́ìwádìí	istraživanje	research
jabo	izveštaj	give account
jackson	jackson	jackson
jadide	čekaj	emerge
jagbe	izgubiti se	shout
jalè	krađa	steal
jamaica	youtube	jamaica
jamo	odlazi	link
jawaharlal	ljuljačke	jawaharial
jeffrey	jeffrey	jeffrey
jeometri	geometrija	geometry
jesu	jezus	jesus
jfk	jfk	jfk
jije	biće	existing as
jijinna	daleko	distance
jiròrò	maglovito	dialogue
jo	curenje	days
jogun	naslijeđen	inherit
johann	dodjavola	johann
johanu	izvini	john
jojo	napukao	great extent
jopò	pridruži se	gathered
jo	john	resemble
juneau	juneau	juneau
jàgídíjàgan	nasilan	violent
jáde	izađi	out
jé	dođi	is
jéésù	isuse	jesus
jìnnàa	daleko	further
jíje	biće	eating
jíjuwó	zarađivati novac	waving hands
jíjéomoléyìnkírísítì	kao filantrop	followers of christ
jùlo	više nego	most
jùlo	posebno	most
jùló	najviše	most
jẹ́mánì	njemački	germany
jọ́	molim te	together
kadara	imovina	destiny
kagera	hvalisav	kagera
kakiri	trag	all over
kalinga	cinga	kalinga
kalẹ	izdvojiti	established
kampala	kopča	kampala
kan	a	one
kankan	nijedan	any
kanlè	kanal	established
karbonumarun	tecentrica	5 carbon
karl	karl	karl
karun	peto	fifth
karùún	peti	fifth
kebbi	podesivi	kebbi
kekere	mala	lower
keko	pismen	learn
kept	zadržan	fi pamo
khoisan	inferiorni	khoisan
ki	isto tako	not
kiakiajulo	najbrzi	rapidly
kiko	donošenje	gathering
kikojo	kompilacija	gathering
kikopomo	toplina	mixed
kikoso	brzo	colonised
kiko	učenja	making
kikuninu	zamisli	size
kilhar	pazuha	kilhar
kinkinni	sitnica	small quantity
ko	ili	don't
kodò	ispod	bow
koidu	koidu	koidu
kojá	križ	pass
kolo	kolo	going
komputa	kompjuter	computer
kong	kong	kong
kongo	kondom	congo
kookan	ovo	one
koto	mamac	pit
koko	učenja	make heap
ko	ko	learn
kori	dosta	not found
krio	krio	krio
ku	ti	remain
kwara	adresirano	kwara
kàríbẹ́ánì	u regionu	carribean
kàyéfì	čudo	amazement
ká	od	we
kánfinkése	domišljatost	prolonged
kánádà	naravno	canada
káyé	svetu	world
kéesì	smešno	keesi
kékéèké	mala	small
kétu	budi spreman	ketu
kémíkà	suprotno	chemical
kéyìn	kasnije	come after,
kìnní	prvo	first
kí	pozdraviti	not
kíko	studiranje	written
kíkọ́	učiti	learning
kínu	ljubljenje	greet
kírísìtì	božić	christ
kòjòkú	kiša	kojoku
kòkó	miš	cocoa
kòmpútà	kompjuter	computer
kòtò	jama	pit
kòòsí	nije	coaching
kòòkan	svaki	each
kógo	slava	glorious
kóra	okupiti	participate
kùkú	nakon svega	eventually
kùrání	koran	quran
kúkú	nakon svega	now
kúkúrú	ukratko	short
kúrò	daleko	away
kútò	sve	kuto (place)
kúùkù	naprotiv	punches; expression meaning 'by force' (ti pa ti kuuku)
kẹrin	četvrti	4
kẹsàán	odmah	ninth
kẹta	treća	third
kẹ́nyà	razdvajanje	kenya
kọjá	proći	pass through
kọ̀mpútà	kompjuter	computer
kọ́kọ́	prvo	first
kọ́lọ́mú	stubova	breast owner
kọ́ni	nedostatak	teach
laa	odlazi	will
laada	udarac	good fortune
laaka	preokrenuti	important
laarin	unutar	between
labalaba	leptir	butterfly
labee	ispod	under
lade	lade	crowned
laid	položen	tele
laifi	greška	without
languages	jezicima	ede
lanka	lanka	lanka
lasile	pustiti	laid out
latibe	odatle	from there
latigbana	od tada	from then on
latini	latinica	latin
latvia	latvia	latvia
lay	ležati	da
le	može	can
leboa	lebo	leboa
lekun	pojačano	open door
leo	leo	leo
lese	pošta	firmly
less	manje	okeresi
lewaju	dalje	front
lewon	zatvorsku kaznu	imprisonment
leyi	evo ga	mispelled...should be 'leyin', after
leè	svibanj	can
lilelile	hardcore	tightly
lilemo	konoplja	sticky
lilongwe	lilongwe	lilongwe
lindi	luž	lindi
linear	linearni	dogba
links	linkovi	eka; this is a new word and does not really exist in yoruba
lodo	zauzmi mjesto	from
lojowaju	u budućnosti	the future
lojukokoro	pohlepan	covetousness
lojúgun	očarao je	knee
lokunkun	energičan	in the dark
loloselu	politički	in politics
lopolopo	mnogo	so many
loruko	ime	name
louvre	louvre	louvre
lovers	ljubavnici	awon olufe
low	niska	diye
lo	nastavi	than
luanda	luanda	luanda
luther	luther	luther
lynton	lynton	lynton
làgba	jednak	more important
lààmi	znak	sign
lààmì	znakovi	significant
lábé	težina	under
láfún	dato	cassava food
láimo	bez	unknown
láké	glasno	in ake
lámọ́di	bogatstvo	lamodi
lápá	deo	from
lára	boli	part of
lárúbáwá	prirodni	arabic
láì	bez	without
láíláí	nikad	old
lèe	može	can
lèyìn	poslije	after
lédè	na jeziku	language
léebá	slučajno	catch up with it
lérìnín	snijeg	erin=laughter; the prefix 'l' is possesive
lérò	razlog	thought
léyin	poslije	after
léyìn	kasnije	after
lérú	ropstvo	enslave
lílo	eksploataciju	using
lísa	ubrzanje	a chieftaincy title
lítésò	ubod	literature
lóde	napolju	modern
lópez	nipez	lopez
lópó	udovica	widow
lórì	luka	on the head
lóríba	preko	subdue
lóti	lot	have
lóòótò	da	truly
lóòótọ́	zaista	truly
ló	ló	to
lónà	na putu	in a way
lórò	sutra	become wealthy
lọndọnu	london	london
lọ́dọọdún	godišnje	yearly
lọ́jà	na tržištu	in the market
maapu	karta	map
madeira	beira	madeira
mahatma	mahatma	mahatma
makedonia	makedonija	macedonia
malabo	dušo	malabo
malay	pretpostaviti	malay
malayopolynesian	malayopolinezijanac	malayo-polynesian
malaysia	malezija	malaysia
mali	dan	mali
mango	mango	mango
manˈdeːla	manˈdelala	mandela
marcellus	marcellus	marcellus
march	marš	march
marku	ovaj put	mark
mars	mars	mars
maryland	maryland	maryland
maseru	ljubomora	don't be slave
matheu	matheu	matthew
mathiew	mathiew	mathiew
mathimatiki	matematičkog	mathematics
max	max	max
maya	ne	maya
mbabane	negativno	mbabane
means	znači	ona (way)
mediteraneani	mediteranski	mediterranean
mefeefa	remont	all six
mejidinlogbon	dvadeset osam	twenty eight
mejila	dvanaest	twelve
meksiko	meksiko	mexico
melo	koliko	some
member	član	ara
mercosur	mercosur	mercosur
merin	četiri	four
methodologies	metodologije	anaoniruuru
metropoli	metropoli	metropolis
meucci	meucci	meucci
mewar	mewar	mewar
mexico	meksiko	mexico
michelle	michelle	michelle
micronesia	mikronezija	micronesia
miiràn	ublažiti	another
mimoy	mimoy	mimoy
mimuwa	mrvica	import
minnesota	minesota	minnesota
minority	manjina	awon ara kekere
mohandas	mohandas	mohandas
mokaleladota	kompaktan	51, (mokanleladota)
mokanlelogbon	trideset dva	thirty-one
mombasa	mombasa	mombasa
monrovia	monrovia	monrovia
morgan	morgan	morgan
morogoro	motoriziranje	morogoro
mozambique	mozambique	mozambique
mozilla	mozilla	mozilla
mtn	mtn	mtn
mtwara	odaberite ponovo	mtwara
mughal	zapremina	mughal
mulẹ̀	uspostaviti	establish
munispal	munispal	municipal
muungano	muungano	muungano
májèmú	ne smeta	testament
mère	crtanje	significant
méjèèjì	oboje	the two
mérindíláàdóta	pedeset pet	forty-six
méte	pet	lip
mérìndínlógún	šesnaest	sixteen
mérìnlélógójì	44	44
méta	tri	three
métèètà	stolar	the three
méwàá	deset	ten
ménu	da li misliš	verbally contribute; complete phrase= me nu ba
mímọ́	sveti	holy
míràn	drugi	other
míìrán	drugi	other
mííràn	drugi	other
mò	znanje	know
mókólà	ljepilo	mokola
móra	lek	with themselves
mó	m	with
múlẹ̀	drži se brzo	select land (farmland)
mẹ́fà	šest	6
mẹ́rkúríù	miš	mercury
mẹ́ta	tri	3
mẹ́talọ́kan	trojstvo	trinity
namibia	doći	namibia
nathaniel	nathaniel	nathaniel
nato	nato	nato
nawojulo	zagonetan	highest-spending
nawó	uzmi svoj novac	point finger
ncnc	ncnc	ncnc
nebraska	nebraska	nebraska
nefimu	nephim	nefimu
neptune	neptun	neptune
nevis	nevis	nevis
ngbero	planirano	planning
ngubengcuka	ngubengcuka	ngubengcuka
nibe	tamo	there
nibere	rano	earlier
nigbakan	ponekad	at one time
nigbà	onda	when
nijẹr	nike	niger
nilè	ovdje	remaining
nisinyi	sad	at present
nitoriidieyi	zbog ovoga	because of this
nitoripe	jer	because
nitosi	u blizini	nearby
niwaju	ispred	in front of
niyato	razlikovati	unlike
niye	dosta	in number
niyi	evo ga	these
nkan	stvar	things
nkàn	rak	something
nnaji	stric	nnaji
nobel	nobel	nobel
nombamewa	množenje	decimal
nombáméjì	prve dve	two-number
novo	novo	novo
nri	hrana	nri
nse	dizajn	acting
nso	u blizini	saying
nsolaboraro	sigurnost	nso laboraro
nsowikipedia	obowikipedia	saying
ntoka	poentu	indicates
nu	čist	in
nukleotidi	nukleotid	nucleotides
nukleotidipupo	nukleotid	cell
numeri	ukočenost	numbers
nwa	dušo	drill
nàìjíríà	u nigeriji	nigeria
náwo	trošak	spend money
náà	također	that
nì	planina	is
nìnú	izvini	in
nìyí	to je to	this is
ní	imati	on
níbè	tamo	there
níbè	tamo	there
nífẹ̀ẹ́	voljeti	love
nígbàtí	kada	when
nílè	ispod	on the ground
nílùú	u gradu	in the town
nílẹ̀	na zemlji	in the land
nínlá	odlicno	large
nínu	šansa	in
níní	imati	having
nípà	najmanje	by
nítorípé	jer	because
nítumò	značenje	meaningful
nítòsí	u blizini	nearby
nítòótó	upravo	truly
nítòótọ́	zaista	in truth, truthfully
níwájú	ispred	in front
níyanjú	pozitivno	solved
nǹkan	stvar	things
nso	uskoro dolazi	say
oba	obama	king
obairanderan	rođaka	hereditary
obere	mala	started
obínibí	ljubaznost	inborn
ododo	pravednost	righteousness
ofin	zakon	law
ogbè	region	a divinity
ogun	rata	war
ogunlogo	gužva	hundreds
ojo	izgleda kao	day
ojojumo	dnevno	daily
ojoru	toplina	wednesday
ojukokoro	pohlepa	covetousness
ojuoorun	zalazak sunca	atmosphere
ojuse	odgovornost	responsibility
ojùkòsì	padavine	ojukosi
ojùkòtúu	padavine	ojukotuu
