$	usd	dollars
александров	aleksandrova	alexandrov
александър	aleksandrs	alexander
алексей	aleksejs	alexei
алексий	aleksijs	alexy
алел	alēle	allele
алеманда	alemanda	alemanda
алжир	alžīrija	algeria
али	bet	ali
алкохол	alkohols	alcohol
аллах	allāhs	allah
алпийски	kalnu	alpine
алпите	alpi	alps
алтаир	altāris	altair
алтерация	pārveidošana	aletro
алтернативни	alternatīva	alternative
алуминий	alumīnijs	aluminium
алфа	alfa	alpha
алфред	alfrēds	alfred
алън	alan	allen
аляска	aļaska	alaska
амадеус	amadeus	amadeus
амазонка	amazons	amazon
амбивалентност	ambivalence	ambivalence
америка	amerika	america
американска	amerikāņu	american
американската	amerikānis	american
американски	amerikāņu	american
американските	amerikāņu	american
американския	amerikānis	american
американският	amerikānis	american
американското	amerikānis	american
американците	amerikāņi	americans
аминокиселини	aminoskābes	amino acids
аминокиселините	aminoskābes	amino acids
амоняк	amonjaks	ammonia
амплитуда	amplitūda	amplitude
амстердам	amsterdama	amsterdam
амфора	amfora	amphora
ан	an	an
ана	ana	anna
анаконда	anakonda	anacond
анален	anālais	anal
анализ	analīze	analysis
анализи	analīzes	analysis
ананке	ananke	ananke
анастилоза	anastiloze	anastylosis
анатомия	anatomija	anatomy
анатомията	anatomija	anatomy
ангажира	iesaista	committed
ангел	eņģelis	angel
ангелите	eņģeļi	angels
ангелов	eņģeļi	angelov
англ	angļu	engl.
английска	angļu	english
английската	angļu	the english
английски	angļu	english
английските	angļu	еnglish
английския	angļu	english
английският	angļu	english
английското	angļu	english
англичаните	angļu	the englishman
англия	anglija	england
ангола	angola	angola
андерсън	andersons	anderson
анджелис	eņģelis	angeles
анди	andy	andy
андите	andi	andes
андора	andora	andorra
андреев	andreev	andreev
андрей	андрей	andrei (name)
андромеда	andromeda	andromeda
анелия	anēlija	aneliya
анкара	ankara	ankara
анна	anna	anna
аномалии	anomālijas	abnormalities
аномалия	anomālija	anomaly
анри	henrijs	henry
ансамбъл	ansamblis	ansamble
антантата	entente	entente
антарктида	antarktīda	antarctica
антарктика	antarktīda	antarctic
антверпен	antverpene	antwerp
антициклон	anticiklons	antyciclone
античната	senie	ancient
антични	antīkās	antique
античните	senie	antique
античния	senie	antique
античност	senatne	antiquity
античността	senatne	ancient
антон	antons	anton
антоний	entonijs	anthony
антоними	antonīmus	antonyms
антонимите	antonīmus	antonyms
антонио	antonio	antonio
антъни	entonijs	anthony
анубис	anubis	anubis
анус	tūpļa	anus
ануса	tūpļa	anus
анусът	tūpļa	anus
анхиало	anhialo	anhialo
аорта	aorta	the aorta
аортата	aorta	aorta
апарат	aparāti	apparatus
апарата	aparāts	apparatus
апарати	ierīces	apparatus
апатит	apatīts	apatite
аполо	atvainojies	apollo
аполон	apollo	apollo
аполония	apolonija	apollo
апостол	apustulis	apostle
апостола	apustulis	apostle
април	aprīlī	april
априлов	aprīlī	aprilov
априлското	aprīlī	the april
ар	ar	hectare
араби	arābu	arabs
арабите	arābi	arabs
арабия	arābija	arabia
арабска	arābu valodā	arab
арабската	arābu	arabic
арабски	arābu valodā	arabian
арабските	arābu	arab
арабския	arābu valodā	arab
арарат	ararāts	"""ararat"" is name of an summit"
арбалет	arbalets	crossbow
арбалета	arbalets	crossbow
арбалети	arbales	crossbows
арбалетите	arbales	the crossbows
арда	arda	arda
арена	arēnā	arena
арес	āri	ares
арестуван	arestēts	detained
аржентина	argentīna	argentina
аристократи	aristokrāti	aristocrats
аристокрация	aristokrātija	aristocracy
аристокрацията	aristokrātija	the aristocracy
аристотел	aristotelis	aristotle
аристофан	arisofāni	aristophane
арка	arka	arch
арки	arkas	arches
армейците	armija	reds
армения	armēnija	armenia
арменската	armēņu	armenian
арменци	armēņi	armenians
армии	armija	armies
армиите	armijas	armies
армия	armija	army
армията	armija	the army
арно	arno	arno (river)
арсенал	arsenāls	arsenal
артемизия	artemisia	arthemisia
артерии	artērijas	arteries
артериите	artērijas	arteries
артерия	artērija	artery
артилерия	artilērija	artillery
артър	artūrs	arthur
арх	arka	architect
архангел	erceņģelis	archangel
археологически	arheoloģiski	archaeological
археологическите	arheoloģisko	archaeological
археолозите	arheologi	the archaeologists
архиепископ	arhibīskaps	archbishop
архим	arhims	arhim
архимед	arhimēdi	archimedes
архипелаг	arhipelāgs	archipelago
архипелага	arhipelāgs	archipelago
архитект	arhitekts	architect
архитектура	arhitektūra	architecture
архитектурата	arhitektūra	architecture
архитектурен	arhitektūras	architectural
архитектурни	arhitektūras	architectural
ас	kā	as
асен	asens	asen
асеневци	asenevtsi	assens
асеновград	asenovgrad	asenovgrad
асирия	asīrija	assyria
асонанс	asonanse	assonance
асоциация	asociācija	association
асоциацията	asociācija	asocciation
аспарух	asparuh	asparuh
аспарухов	asparuhovs	asparuhov
аспект	aspekts	aspect
аспекти	aspektiem	aspects
астероиди	asteroīdi	asteroids
астра	asters	astra
астроном	astronoms	astronom
астрономи	astronomi	astronomers
астрономите	astronomi	astronomers
астрономически	astronomiski	astronomical
атака	uzbrukums	attack
атаката	uzbrukums	attack
атаки	uzbrukumiem	attacks
атакува	uzbrukumiem	attacks
атанас	atanas	atanas
атанасов	atanasovs	atanasov
атила	attila	attila
атина	atēnas	athens
атлантически	atlantijas okeāns	atlantic
атлантическия	atlantijas okeāns	atlantic
атлантическият	atlantijas okeāns	atlantic
атлетика	vieglatlētika	athletics
атмосфера	atmosfēra	atmosphere
атмосферата	atmosfēra	atmosphere
атол	atols	athol
атом	atoms	atom
атома	atoms	atom
атомен	atomu	atomic
атоми	atomi	atoms
атомите	atomi	the atoms
атомна	atomu	nuclear
атомната	atomu	nuclear
атомни	atomu	nuclear
атомните	atomu	the nuclear
атомно	atomu	nuclear
атон	atons	aton
ауди	audi	audi
аушвиц	auschwitz	auschwitz
афганистан	afganistāna	afghanistan
африка	āfrika	africa
африканската	afrikāņi	the african
африкански	afrikāņu	african
африканските	afrikāņu	african
афродита	afrodīts	aphrodite
ахат	ahāts	ahat
ахейци	achaeans	achaean
ахил	ahillejs	ahil
ахмед	ahmeds	ahmed
ашурбанипал	ašburipāla	ashurpanibal
аякс	ajax	ajax
б	b	b
баал	baal	baal
баба	vecmāmiņa	grandma
бавно	lēnām	slowly
база	bāze	base
базата	bāze	base
бази	bāzes	bases
базилика	bazilika	basilica
базиликата	bazilika	basilica
базира	balstīta	bases
базирана	balstīta	based
базирани	balstīta	based
бай	sveiks	uncle
байкал	baikāls	baikal
бактериалната	baktēriju	bacterial
бактерии	baktērijas	bacteria
бактериите	baktērijas	bacteries
бактрия	baktērijas	bactriа
баланс	līdzsvars	balance
баланса	līdzsvars	balance
балдуин	plikvīns	baldwin
балзак	balzaks	balzac
бали	bali	bales
балкан	balkāni	mountain
балкана	balkāni	the balkan
балканите	balkāni	the balkan
балканска	balkāni	balkan
балканската	balkānu	balcan
балкански	balkāni	balkan
балканските	balkāni	balkan
балканския	balkānu	balkan
балсас	balsa	balsal
балтийско	baltija	baltic
балчик	balčiks	balchik
бан	aizliegums	ban
банани	banāni	bananas
бангладеш	bangladeša	bangladesh
бани	vannas	baths
банка	banka	bank
банки	bankas	banks
банкноти	banknotes	banknotes
банско	bansko	bansko
баня	vannas istaba	badroom
бар	bārs	bar (city)
бараж	aizsprosts	brrage
барок	baroka	baroque
барока	baroka	baroque
барометър	barometrs	barometer
барселона	barcelona	baercelona
бас	bass	bass
басейн	baseins	basin
басейна	baseins	basin
басейни	peldbaseini	pools
баскетбол	basketbols	basketball
батак	batak	batak
батенберг	battenbergs	battenberg
батерии	baterijas	batteries
батерия	akumulators	battery
батискаф	pirts kafija	bathyscaphe
батиста	batista	battista
бах	bahs	bach
башибозуците	bashibozouks	turks
баща	tēvs	father
бащата	tēvs	father
бвп	ikp	gdp
бг	bg	bg
бе	būt	was
бедна	nabadzīgs	poor
бедни	nabadzīgs	poor
бедните	nabags	poor
бедствия	katastrofas	disasters
бежанци	bēgļi	refugees
без	bez	without
безгръбначни	bezmugurkaulnieki	spineless
безплатни	bez maksas	free
безплатно	par brīvu	free
безработица	bezdarbs	unemployement
безработицата	bezdarbs	unemployment
безспорно	neapstrīdami	undoubtedly
бей	līcis	bej
бела	balts	bela
беларус	baltkrievu	belarus
беласица	беласица	belasitsa
белгийски	beļģi	belgian
белгия	beļģija	belgium
белград	belgrada	belgrade
белег	atzīmēt	scar
бележи	atzīmes	marks
бележка	piezīme	note
бележки	piezīmes	notes
белези	rētas	signs
бели	balts	white
белини	balinātājs	belini (name)
белите	balts	white
белия	balts	white
белоградчик	belogradchik	belogradchik
белоградчишките	belogradčik	belogradchik
белодробния	plaušu	lung's
беломорска	egejas jūra	aegean
белтък	olbaltumvielas	protein
белтъци	olbaltumvielas	protein
белтъците	olbaltumvielas	whites
бен	ben	ben
бенковски	benkovski	benkovski
бербатов	berbatovs	berbatov
берлин	berlīne	berlin
берлинската	berlīne	berlin
берлинския	berlīne	berlin
берое	beroe	beroe
берон	beron	beron
бесарабия	besarābija	bessarabia
бета	beta	beta
бетховен	bēthovens	beethoven
беше	tas bija	was
бзнс	bzns	agrarian
би	gribētu	will
библиография	bibliogrāfija	bibliography
библиотека	bibliotēka	library
библиотеката	bibliotēka	library
библиотеки	bibliotēkas	libraries
библията	bībele	the bible
бива	tas notiek	is
биват	ir	are
бивш	ex	former
бивша	bijušais	former
бившата	bijušais	former
бивши	ex	former
бившите	bijušais	former
бившия	bijušais	former
бившият	bijušais	former
бидейки	būtne	being
бие	sitieni	beat
бизнес	bizness	business
бизнеса	bizness	the business
бийтълс	bītli	the beatles
бил	bija	was
била	bija	was
билбо	bilbo	bilbo
били	viņi bija	were
билки	garšaugi	herbs
билла	rēķins	billa
било	arī	was
биогеография	bioģeogrāfija	biogeography
биография	biogrāfija	biography
биологична	bioloģiskā	biological
биологични	bioloģiskā	biological
биологично	bioloģiski	biological
биология	bioloģija	biology
бирма	birma	burma
бисмарк	bismarks	bismarck
бистрица	bistrica	bistrica
бит	mazliet	beaten
бита	biti	style of living
битие	būtne	being
битка	cīņa	battle
битката	kauja	battle
битки	cīņas	battles
битките	cīņas	battles
битови	mājsaimniecība	household
битоля	bitola	bitola
биха	gribētu	would
бият	pārspēt	tolls
бкп	bkp	bulgarian communist party
блага	preces	blaga
благодарение	paldies	thanks
благоевград	blagoevgrada	blagoevgrad
благоприятни	labvēlīgs	favorable
благородни	cēls	precious
блата	purvi	swamp
блатия	purvs	loosestrife
блекмор	melnais vairāk	blackmoor
близка	tuvu	close
близката	tuvu	close
близки	tuvu	close
близките	radinieki	close
близкия	tuvu	middle
близко	tuvu	close
близкото	tuvu	close
близнаци	dvīņi	twins
близо	tuvu	close
близост	tuvums	proximity
близостта	tuvums	closeness
близък	tuvu	close
блог	emuārs	blog
блок	bloķēt	bloc
блокада	blokāde	blockade
блокадата	blokāde	blockade
блокове	bloki	blocks
блян	sapnis	henbane
блясък	spožums	shine
боб	pupiņas	bob
боби	pupiņas	bobi
бог	dievs	god
бога	dievs	god
богат	bagāts	rich
богата	bagāts	rich
богатата	bagātie	rich
богати	bagāts	rich
богатите	bagātie	the rich
богато	bagātīgi	richly
богатства	bagātība	treasures
богатство	bagātība	treasure
богатството	bagātība	wealth
богдан	bogdan	bogdan
богиня	dieviete	goddess
богинята	dieviete	goddess
богове	dievi	gods
боговете	dievi	gods
богомилите	bogomils	bogomils
богородица	jaunava	mary
богородично	jaunava	mary
богословие	teoloģija	theology
богословски	teoloģiski	theological
боеве	cīņas	fightings
боевете	cīņas	the fights
божества	dievības	deities
божествена	dievišķais	divine
божествената	dievišķais	divine
божество	dievība	deity
божи	no dieva	god
божидар	božidars	bozidar
божие	no dieva	god
божието	no dieva	god
божилов	божилов	bojilov (name)
божия	no dieva	god
божков	elki	bozhkov
божур	peonija	poeny
бозайници	zīdītāji	mammals
бозайниците	zīdītāji	mammals
бои	krāsas	paints
бой	cīņa	battle
бойко	gudri	boyko
бойни	cīnīties	martial
бойните	cīnīties	martial
бойното	cīnīties	battle
болен	slims	ill
болест	slimība	disease
болести	slimības	diseases
болестите	slimības	diseases
болестта	slimība	the disease
боливия	bolīvija	bolivia
болка	sāpes	grief
болки	sāpes	aches
болни	slims	ill
болните	slimie	the sick
болница	slimnīca	hospital
болницата	slimnīca	hospital
болния	pacients	the sick
болният	pacients	patients,ill
болшевишката	boļševiki	bolshevik
бомба	bumba	bomb
бонапарт	bonaparte	bonaparte
бор	bor	pine
борба	cīņa	fight
борбата	cīņa	fight
борби	cīņas	fights
борда	dēlis	bord
бори	cīnās	fights
борис	boriss	boris
борислав	borislavs	borislav
борисов	borisovs	borisov
борса	birža	exchange
борят	cīņa	fighting
босна	bosnija	bosnia
босфора	bosforu	bosphorus
ботев	botevs	botev
ботевград	botevgrada	botevgrad
бохемия	bohēmija	bohemia
боя	krāsot	paint
боян	боян	bojan
боянската	bojāna	boyans
бпц	бпц	bulgarian orthodox church
бр	nē	edition
брад	breds	brad
бразда	vaga	groove
бразилия	brazīlija	brazil
бразилската	brazīlijas	brazilian
бразилското	brazīlijas	brazilian
брак	laulība	marriage
брака	laulība	merriage
бракове	laulības	marriages
брат	brālis	brother
братовчед	brālēns	cousin
братство	brālība	brotherhood
братя	brāļi	brothers
братята	brāļi	brothers
браузъри	pārlūkprogrammas	browsers
браун	brūns	brown
брега	piekrastē	shore
брегова	piekrastes	coastline
бреговата	piekrastes	coast
брегове	krastos	shores
бреговете	krastos	shores
бременност	grūtniecība	pregnancy
бри	brie	bree
бригада	brigāde	brigade
британия	lielbritānija	britain
британска	britu	british
британската	briti	british
британски	britu	british
британските	briti	british
британския	briti	british
британското	briti	british
британците	briti	british
брой	numuru	number
бронз	bronzas	bronze
бронзовата	bronza	bronze
бронзови	bronzas	bronze
брошови	piespraudes	bedstraws
броя	skaita	number
броят	numurs	number
брук	strauts	brook
брус	staru	bruce
брут	bruto	gross
брутният	bruto	the gross
брцк	брцк	brck
брюксел	brisele	brussels
бряг	pludmale	shore
бряга	piekrastē	banks
бсп	bsp	bsp (bulgarian socialist party)
бтс	bts	bulgarian tourist union
буда	buda	buddha
будапеща	budapešta	budapest
будизма	budisms	budism
будизмът	budisms	buddhism
будизъм	budisms	buddhism
буенос	buenosai	buenos
буква	vēstule	letter
буквално	burtiski	literally
буквата	vēstule	the letter
букви	vēstules	letters
буквите	burti	letters
буколики	bukolika	bucolica
букурещ	bukareste	bucharest
бул	bul	boulevard
булеварди	bulvāros	boulevards
бунт	sacelšanās	rising
бунта	sacelšanās	rebellion
бунтове	nemieri	riots
бургас	burgas	burgas
бургаски	burgasa	bulgarian
бургаско	burgasa	burgasko
бурдж	burj	burj
буржоазия	buržuāzija	bourgeoisie
бури	vētra	storms
буря	vētra	storm
буталото	virzulis	ratio
бутилка	pudele	bottle
буш	krūms	bush
бъбреците	nieres	kidneys
бъдат	būt	be
бъде	būt	be
бъдещата	nākotne	future
бъдеще	nākotne	future
бъдещето	nākotne	future
бъдещи	nākotne	future
бъдещите	nākotne	future
бъдещия	nākotne	future
бъдещо	nākotne	future
българи	bulgāri	bulgarians
българин	bulgāru	bulgarian
българите	bulgāri	bulgarians
българска	bulgāru	bulgarian
българската	bulgāru	bulgarian
български	bulgāru	bulgarian
българските	bulgārijas	bulgarian
българския	bulgāru	bulgarian
българският	bulgāru	bulgarian
българско	bulgāru	bulgarian
българското	bulgāru	bulgarian
бърдо	kalns	hill
бърз	ātri	fast
бърза	ātri	fast
бързи	ātri	busey
бързо	ātri	fast
бързото	ātri	rapid
бъртън	burtons	burton
бюджет	budžets	budget
бюджета	budžets	the budget
бюро	rakstāmgalds	bureau
бяга	skrien	run
бягат	skrien prom	flee
бягство	aizbēgt	escape
бягството	aizbēgt	escape
бял	balts	white
бяла	balts	white
бялата	balts	white
бяло	balts	white
бялото	balts	white
бях	es biju	was
в	iekšā	in
ва	un	st
вавилон	babilona	babylon
вагината	maksts	the vagina
ваджраяна	vajrayana	vajrayana
важен	svarīgs	important
важи	derīgs	true
важна	svarīgs	important
важни	svarīgs	important
важните	svarīgs	damp
важно	svarīgs	important
важност	svarīgums	importance
важността	nozīmīgums	importance
вазов	vāzes	vazov
ваксина	vakcīna	vaccine
вал	vārpsta	shaft
валежи	nokrišņi	rainfall
валежите	līst	rainfall
валенсия	valencia	valencia
валентин	izredzētais	valentin
валери	valeri	valeri
вали	līst	rain
валкирии	valkyries	valkirias
валута	valūta	currency
валутен	valūta	monetary
вампир	vampīrs	vampire
вампири	vampīri	vampires
вампирите	vampīri	vampires
ван	van	von
ванга	vanga	vanga
вапцаров	вапцаров	vapcarov
варварски	barbariski	barbarian
вардар	vardar	river vardar
вардарска	vardars	vardar
вариант	opcija	version
варианти	iespējas	variants
вариации	variācijas	variations
вариолата	bakas	smallpox
варира	mainās	varies
варират	mainīties	range
варна	varna	varna
варненска	varna	varna
варненско	varna	varna
варовик	kaļķakmens	limestone
варовици	kaļķakmens	limestone
вароша	вароша	verosh
варшава	varšava	warsaw
вас	tu	you
васил	baziliks	vasil
василев	василев	vassilev
василевс	василевс	vasilevs
василевса	василевса	basileos
василий	baziliks	basil
ватикана	vatikāna	vatican
ваше	tavs	yours
вашингтон	mazgāšanās	washington
ввс	gaisa spēki	bbc
вдига	pacēlāji	lift
вдигане	celšana	lift
вдъхновение	iedvesma	inspiration
вдясно	pa labi	right
вега	vega	vega
веднага	tūlīt	immediately
веднъж	vienreiz	once
везер	laikapstākļi	weser
везувий	vezuvs	vesuvius
век	gadsimtā	century
века	gadsimtā	centuries
векове	gadsimtos	ages
вековете	gadsimtos	centuries
велбъжд	velbuzhd	velbujd
велик	lieliski	great
велика	lieliski	great
великата	lielais	great
великден	lieldienas	easter
велики	lieliski	great
великите	lielais	great
великия	lielais	great
великият	lielais	great
велико	lieliski	veliko
великобритания	lielbritānija	united kingdom
великолепни	lielisks	great
великото	lielais	grand
велинград	velingrada	velingrad
величина	lielums	value, size
величков	greats	velichkov
вена	vēnu	vein
венера	venera	venus
венец	vainags	wreath
венеция	venēcija	venice
венецуела	venecuēla	venezuela
вени	vēnas	veins
вените	vēnas	veins
верига	ķēde	chain
веригата	ķēde	chain
вериги	ķēdes	chains
веригите	ķēdes	chains
вермахта	vermahta	wehrmacht
вероизповедание	reliģija	cult
вероизповедания	reliģija	denominations
верона	verona	verona
вероятно	droši vien	probably
вероятност	varbūtība	likely
вероятността	varbūtība	likely
версии	versija	versions
версия	versija	version
вертикални	vertikāli	vertical
веселин	jautrs	veselin
веспасиан	vespasiāns	vespasian (name)
вестник	avīze	newspaper
вестници	avīzes	newspapers
вестниците	avīzes	newspapers
ветрове	vēji	winds
ветровете	vēji	winds
вече	jau	already
вечен	mūžīgs	eternal
вечер	vakarā	evening
вечерта	vakarā	in the evening
вечеря	vakariņas	dinner
вещества	vielas	substances
веществата	vielas	substances
вещество	viela	substance
веществото	viela	substance
вж	redzēt	see
взаимно	savstarpēji	mutually
взаимодейства	mijiedarbība	interact
взаимодействие	mijiedarbība	interaction
взаимодействието	mijiedarbība	interaction
взаимодействия	mijiedarbība	interactions
взаимоотношения	attiecības	relationships
взел	paņēma	taken
взема	ņem	take off
вземат	ņemt	into
вземе	ņemt	take
взета	ņemts	taken
взети	ņemts	taken
взето	ņemts	taken
взима	ņem	take
взимат	ņemt	take
ви	tu	you
виа	caur	via
вид	laipns	type
вида	sugas	type
видео	video	video
види	redzēt	see
видим	mēs redzam	visible
видима	redzams	visible
видими	redzams	visible
видимо	redzams	apparently
видин	vidin	vidin
видински	vidins	vidin
видинското	vidinas reģions	vidin
видни	ievērojams	prominent
видове	veida	species
видовете	sugas	tipes
видът	sugas	type
видял	ieraudzīja	seen
видят	redzēt	see
виена	vīne	viena
виетнам	vjetnama	viertnam
виетнамската	vjetnamiešu	vietnam
виж	redzēt	look
вижда	redz	sees
виждайки	redzot	seeing
виждат	viņi redz	see
вижте	skaties	see
византийска	bizantietis	byzantine
византийската	bizantiešu	bizantinum
византийски	bizantietis	byzantine
византийските	bizantiešu	byzantine
византийския	bizantiešu	byzantine
византийският	bizantiešu	the byzantine
византийско	bizantietis	byzantine
византийското	bizantiešu	byzantine
византийци	bizantieši	byzantines
византийците	bizantieši	byzantines
византия	bizantietis	bysanthia
виктор	viktors	victor
виктория	viktorija	victoria (name)
вила	villa	vila
вилхелм	vilhelms	wilhelm
вина	vaina	fault
винаги	vienmēr	always
вината	vaina	guilt
вино	vīns	vine
виното	vīns	the wine
винсент	vincents	vincent
винчи	vinča	vinci
вироид	viroīds	viroid
виртуална	virtuāls	virtual
вирус	vīruss	virus
вируса	vīruss	virus
вируси	vīrusi	viruses
вирусите	vīrusi	viruses
вирусът	vīruss	virus
висок	augstu	high
висока	augstu	high
високата	augstu	high
високи	augstu	high
високите	augstu	high
високо	augstu	high
високото	augstu	high
височина	augums	height
височината	augstums	height
висш	augstāk	high
висша	augstāk	higher, premier
висше	augstu	higher
висши	augstāk	higher
висшите	augstāk	high rank
вит	vit	vit
витамин	vitamīns	vitamine
витамини	vitamīni	vitamines
витлеем	витлеем	vitleem
витоша	витоша	vitosha
вихрен	viesulis	vihren
вишну	ķirsis	vishnu
вк	ieskaitot	newspaper
вкарва	partitūras	gives
вкл	ieskaitot	included
включва	ietilpst	includes
включване	ieslēdz	inclusion
включват	iekļaut	include
включващ	ieskaitot	containing
включваща	ieskaitot	including
включващи	ieskaitot	include
включен	iekļauts	included
включена	iekļauts	included
включени	iekļauts	included
включително	ieskaitot	including
вкус	garša	taste
вкуса	garša	taste
влага	mitrums	moisture
влагалището	maksts	the vagina
владее	pieder	rules
владение	īpašumā	possession
владения	īpašumā	possessions
владетел	valdnieks	ruler
владетели	valdnieki	rulers
владетелите	valdnieki	rulers
владетеля	valdnieks	ruler
владетелят	valdnieks	ruler
владеят	noteikums	command
владимир	vladimirs	vladimir
владислав	vladislavs	vladislav
владичество	noteikums	rule
влажен	mitrs	wet
влажна	slapjš	wet
влажност	mitrums	humidity
влак	vilciens	train
влакна	šķiedras	fibres
власт	spēks	power
властелинът	kungs	lord
власти	varas iestādes	authorities
властите	varas iestādes	authorities
властта	spēks	authority
влезе	ievadīts	enter
влечуги	rāpuļi	reptiles
влечугите	rāpuļi	reptiles
влива	infūzija	flows
вливат	uzliet	flow
влиза	ieiet	enters
влизане	ieraksts	entry
влизането	ieraksts	enforcement
влизат	ievadiet	enter
влияе	ietekmē	affect
влияние	ietekmēt	influence
влиянието	ietekme	influence
влияния	ietekmes	influences
влияят	ietekmēt	affect
влошава	pasliktinās	worsen
влюбва	iemīlas	falls
вместо	tā vietā	instead
вмро	nomira	imro
внася	imports	submit
внасят	atnest	import
внезапно	pēkšņi	suddenly
внимание	uzmanību	attention
вниманието	uzmanību	the attention
внимателно	uzmanīgi	carefully
внос	importēt	import
во	iekšā	in
вода	ūdens	water
водата	ūdens	water
водач	vadīt	leader
водачи	vadītāji	leaders
водачите	autovadītājiem	leaders
воден	ūdens	water
водена	vadīja	leaded
водени	vadīts	water
водещ	vadošais	leading
водеща	vadošais	leading
водещи	vadošais	leading
водещите	vadošais	leading
води	ūdens	water
водите	ūdens	the waters
водна	ūdens	water
водната	ūdens	water
водни	ūdens	water
водните	ūdens	water
водопад	ūdenskritums	waterfall
водопада	ūdenskritums	waterfall
водопади	ūdenskritumi	waterfalls
водопадът	ūdenskritums	waterfall
водорасли	jūraszāles	algae
водород	ūdeņradis	hydrogen
водорода	ūdeņradis	hydrogen
водят	svinu	link
военачалник	militārais vadītājs	captain
военен	militārā	military
военна	militārā	military
военната	karaspēks	military
военни	militārā	military
военните	karaspēks	millitary
военния	karaspēks	military
военно	militāri	military
военновъздушни	gaisa spēki	military air
военноморски	jūras	marine
военното	karaspēks	military
вожд	vadītājs	chief
воин	kareivis	soldier
воини	karotāji	soldiers
войвода	vojevodā	chieftain
войводата	hercogs	chieftain
войводство	vojevodiste	voivodeship
война	karš	war
войната	karš	the war
войни	kari	wars
войник	kareivis	soldier
войните	kari	wars
войници	kareivji	soldiers
войниците	kareivji	soldiers
войска	armija	army
войската	armija	the army
войски	karaspēks	armies
войските	karaspēks	the troops
волга	volga	volga
волейбол	volejbols	volleyball
волен	bez maksas	gusty
волжка	volga	volga
волфганг	vilkāns	wolfgang
воля	būs	will
волята	griba	will
вояджър	voyager	voyager
впечатление	iespaids	impression
впоследствие	rezultātā	subsequently
враг	ienaidnieks	enemy
врагове	ienaidnieki	foes
врата	durvis	door
вратар	vārtsargs	goalkeeper
вратата	durvis	door
врати	durvis	doors
вратите	durvis	doors
враца	vraca	vratsa
врачанска	vratsa	vrachan
врачански	vratsa	from vratsa
вредни	kaitīgs	harmful
време	laiks	time
времена	reizes	tenses
временен	īslaicīgs	temporary
временна	īslaicīgs	temporary
временни	īslaicīgs	temporary
