aajo	হাস্যকর	hospitality
alákọ̀bẹ̀rẹ̀	দীক্ষক	primary education
alápapò	প্রতিস্থাপন	general
alátise	শিল্পী	alatise
aláyèwò	পরিদর্শক	expert
aláísàn	অসুস্থ	the sick
alúwo	গম্ভীর গর্জন	traditional cults
alọ́po	মানিব্যাগ	tied
amazonas	amazonas	amazonas
americas	আমেরিকাস	americas
amerika	আমেরিকা	america
amojeoyipada	পরিবর্তনযোগ্য	reform
amosi	মসজিদ	amos
améríkà	মার্কিন	america
améríkà	মার্কিন	america
an	একটি	him
anabi	নবী	prophet
anc	এএনসি	anc
andaman	andman	andaman
angkor	আংকর	angkor
anita	অনিতা	anita
anschluss	anschluss	anschluss
apagusu	দক্ষিণ	southern
apaguusuilaorun	নৈর্ঋত	south-western
apaguusuiwoorun	নৈর্ঋত	part of the south
apailaorun	সূর্যোদয়	east side
apaiwoorun	পশ্চিম	eastern side
aparapo	সমাহার	confederation
apeja	জেলে	fisherman
apeere	উদাহরণ স্বরূপ	example
apis	api গুলি	apis
apòmù	পরিচ্চদ-রক্ষক বহিরাবরণ	apomu
apẹ̀rè	পরিচ্চদ-রক্ষক বহিরাবরণ	example
arabu	আরব	arab
aralíle	গ্রীষ্মপ্রধান	healthy body
arinkankan	এইটা	nationalist
ariso	এআরআইএস	oral tradition
ariwaarin	মধ্যপ্রাচ্য	mid-north
ariwaguusu	দক্ষিণ-পশ্চিম	north-south
arkansas	আরকানসাস	arkansas
aroko	গাছপালা	composition
aruleyin	হ্যালো	carried on the back
arun	রোগ	disease
aryan	আরিয়ান	aryan
aráa	ভাই	people from
arábíà	বর্ণানুক্রমিক	arabia
aráròmí	হ্যালো	araromi
arópò	উত্কোচ গ্রহণ	substitute
arúgbó	বার্ধক্য	elderly
arọ	পঙ্গু	cripple
asagun	বিজয়	intial, first (referring to the 13 colonies)
ascii	খুঁজে বের কর	ascii
aseeto	বন্দোবস্ত	unfair
aseyori	সাফল্য	success
asipa	চ্যুতি	first to kill
assessment	মূল্যায়ন	ayewo
asìko	আজেবাজে কথা	time; ni asiko=when
asèdá	প্রাকৃতিক	origination
atangbona	পরমাণু	emission
atanna	পরমাণু	emitter
atigba	গ্রাহ্য	from time
atimo	পরিকল্পনা	inland
atinrin	হাস্যময়	thin
atun	আবার গুটিয়ে নেওয়া	also
atunse	সংশোধন	revision
australia	অস্ট্রেলিয়া	australia
austriahumgary	austriahumgary	austria-hungary
austronesian	অস্ট্রোনেশীয়	austronesian
austríà	অস্ট্রেলিয়া	austria
avar	avar	avar
awari	আবিষ্কার	discovery
awo	প্লেট	of
awonara	আবেগ	people of
awoòn	টেমপ্লেট	people
awon	তাহাদিগকে	they
awuruju	ঐন্দ্রজালিক	shady
awùjo	শ্লীলতা	society
awújẹ	কলঙ্ক	root
aya	শ্লোক	chest
ayeye	অনন্তকাল	celebration
ayàfi	এটা উত্তম	only if
ayò	চিরদিনের জন্য	game
azikiwe	সাধারণ বোধ	azikwe
aṣòkan	স্বতন্ত্র	united
baa	হয়	be with
babaláwo	ডিভাইনার	herbalist
bahrain	বাহরাইন	bahrain
balẹ̀	তাকে তার মত থাকতে দিন	settled
bang	ঠুং	bang
banle	banle	banle
bara	গত বছর	themselves
bauxitealumina	bauxitealumina	bauxite/aluminum
bayelsa	bayelsa	beyelsa
bayi	এখন	like this
bayìí	এখন	this
bce	দূরে	bce
beauharnais	beauharnais	beauharnais
beijing	বেইজিং	beijing
belarus	বেলারুশ	belarus
belgium	বেলজিয়াম	belgium
bengal	বঙ্গ	bengal
bengali	বাংলা	bengal
benin	এজলাস	benin
berber	বর্বরজাতিসংক্রান্ত	berber
berlin	বার্লিন	berlin
bernstein	বার্নস্টেন	bernstein
bharat	ভারত	bharat
bharata	ফিরে এসো	bharata
bibeli	বাইবেল	bible
biribiri	চূর্ণ করা হয়েছিল	intense
black	কালো	dudu
bodies	লাশ	ara
bojú	দেখা যাক	take care
bole	গাছের গুঁড়ি	ground
bolt	বল্টু	bolt
bolívar	বলিভারের	bolivar
brasil	ব্রাজিল	brazil
brazzaville	ব্রাজাভিল	brazzaville
bridgeport	bridgeport	bridgeport
britain	ব্রিটেন	britain
brítánì	ব্রিটিশ	britain
bu	এটাই	give
buenaventura	buenaventura	buenaventura
bujumbura	সম্প্রসারিত	bujumbura
burúkú	মন্দ	bad
by	দ্বারা	does not translate directly, does not exist
bàbá	বাবা	father
bákannáà	যেমন	likewise
bálè	বেলুন	lying on the ground
bárakú	অনুরতি	habitual
báyìí	এখন	this
bèrẹ̀	দিয়ে শুরু করতে	started
béè	এটার মতই	than
bòtswánà	বাস	botswana
búburú	খারাপ	bad
búrú	সাহসী হও	wicked
bẹ̀rẹ̀	শুরু করতে	started
bẹ́	ভেঙে	also
bẹ́ljíọ̀m	পান্না	belgium
bẹ́ẹ̀ni	হ্যাঁ	yes
bẹ́ẹ̀sìni	হ্যাঁ	that is it
cairo	ক্রোধ	cairo
calabar	চুইংগাম	calabar
canaria	canaria	canaria
cape	অন্তরীপ	cape
casablanca	কাসাব্লাংকা	casablanca
caslon	নাচঘর	caslon
cathedral	ক্যাথেড্রাল	cathedral (katidral)
catherine	ক্যাথরিন	catherine
cauchy	কোশি	cauchy
cbc	সিবিসি	cbc
chamorro	চামেরো	chamorro
charles	চার্লস	charles
chaskalson	chaskalson	chaskalson
chebbi	মনে	chebbi
cherished	লালিত	mu lokunkundun
china	চীন	china
cipollone	cipollone	cipollone
clear	স্পষ্ট	danmanran
code	কোড	code
coetsee	coetsee	coetese
coloured	রঙ্গিন	alawo dudu
coming	আসছে	yo jade
compared	তুলনা	does not directly translate
computers	কম্পিউটার	komputa, ero ayarabiasa
csto	csto	csto
ct	ct	ct
cunha	গলা	cunha
da	এবং	back; but in this form it is unnecessary
dagbasoke	বড় হওয়া	developing
dandan	বাধ্যতামূলক	a must
dani	অধিষ্ঠিত	hand-held
darapo	যোগদানের	joinedd
daru	ধ্বংস	scattered
dates	তারিখ	pada si
delhi	করো না	delhi
denver	denver	denver
des	দেস	des
describes	বর্ণনা	se apejuwe (apejuwe=description; se prefix makes it a verb)
desmond	ডেসমন্ড	desmond
development	উন্নয়ন	idagbasoke
didagba	সমতা	growing
didasile	সংস্থা	established
different	বিভিন্ন	iyato
din	ভাজা	reduced
dinwoju	খুঁজে দেখো	suitable
divoire	divoire	d'ivoire
doju	মুখোমুখি	face
dojú	মুখোমুখি	turn face (full phrase is doju ko, to face)
dominic	ডমিনিক	dominic
doni	doni	this day
dote	ভালাবাসায় অন্ধ হত্তয়া	rebel
doublehelix	ডাবল হেলিস্ক	hiliksi abara meji
doublestrand	doublestrand	double-strand
dover	ডোভের	dova
du	ডু	hustle
due	কারণে	nitori
dun	সুস্বাদু	sound
dàbíi	এটার মত	like
dàpò	তাদের পাল্টে দাও	mix
dá	নির্মিত	intervene
dágbó	বার্ধক্য	forest
dájó	ঠিক আছে	pass judgement
dálóríi	ধন্যবাদ	about
dáradára	আমরা হব	well
dásà	একটি কাসা	peculiar way of saying
dáwó	দান করা	undertake
dé	আগত	reach
délànà	নীতিগতভাবে	delana
dépò	কিছুদূর	to a position
dì	চাদর	be
dìde	উঠা	stand
dìró	ডানদিকে	hang on
dìtẹ̀	চক্রান্ত	rebel
díè	ক্রিয়ার কাল	few
dóko	ভাল	upstanding
dólà	আমরা হব	dollar
dún	শব্দ	sound
dúró	দাঁড়ানো	stand (been in existence)
dọ́gba	সমান	equal
ea	হ্যাঁ	ea
eba	eba	shore
ebi	পরিবার	family
ecomog	ecomog	ecomog
ede	ভাষা	language
efrem	effem	efrem
egba	একেবারে	cane
egbe	বন্দুক	group
egberundun	হাজার বছর	a thousand year
egbo	একটি ক্ষত	brother
egbé	দুর্ভাগ্য	party
egbò	একটি ক্ষত	chemicals
egbògi	চিকিৎসা	don't know this
eighteen	আঠার	ejidinlogun
eka	জটিল	branch, department, part
ekeji	অন্যটি	second
eko	শিক্ষা	lagos
elede	শূকর	speaker
eleyi	এই	this
eleyii	এটার মত	this
elláda	সৃষ্টি	ellada
eléde	বিমূর্ত	pig
eléré	ক্রীড়াবিদ	performer
elòmírà	সামুদ্রিক	freedom
elòmíràn	অন্য	another person
emerging	উদীয়মান	ibere-pese
emmanuel	এমানুয়েল	emmanuel
enikéni	সবাই	whoever
enter	প্রবেশ করান	wole
enì	হাতি	person
eníbá	জ্বর	such person
epa	চিনাবাদাম	groundnut
ernst	আর্নেস্ট	ernst
erofo	পলল	swamp
erékùsù	দ্বীপ	island
eréonítàn	অন্য শব্দের আদ্যক্ষর দ্বারা গঠিত শব্দ	written play
eseese	নকশা	step by step
esia	আসছে	asia
esteri	esteri	ester
etisalat	etisalat	etisalat
etymologiae	etymologiae	etymologiae
etíòkun	উপকূলটি	beach
euro	ইউরো	euro
euroasia	euroasia	uro-esia
ewe	গাছের পাতা	ewe
ewé	গাছের পাতা	leaf
ewì	কবিতা	traditional poem
example	উদাহরণ	apere
eya	বিভাগ	tribe
eyin	ডিম	previous
eyonomba	eyonomba	digit
eléja	মাছ ধরা	fisherman
elòmíràn	অন্য কেউ	another person
eka	প্রভাব	branches
eléyàmèyà	জাতিভুক্ত	tribalism
enu	মুখ	mouth
esin	ধর্ম	horse
esè	আয়	leg
ewà	আচরণের	beauty
fagile	বাতিল করা হয়েছে	cancel
fail	fail	padanu
fan	পাখা	spread
faramó	মেনে চলা	accept
faranse	ফরাসি	french
farsi	arti	farsi
felifeli	মখমল	fuming
ferde	ferde	verde
fesèmúlè	অস্থায়ী উত্স	established
fe	চেয়েছিলেন	want
fi	সংরক্ষণ	by
fifihan	দেখাচ্ছে	revealed
fihan	জ্ঞাপিত	shows, to show
fimú	রুঢ়ভাবে সংজ্ঞায়িত	captivate with
finiki	পদার্থবিদ্যা	finiki
finlandi	ফিনল্যাণ্ড	finland
fitino	পরীক্ষা	judgement
five	পাঁচ	marun
fodio	fodio	fodio
fofinde	নিষিদ্ধ	prohibited
fohùn	চিত্কার	consent
foniimu	চলচ্চিত্র	phoneme
force	বল	agbara
foriko	উদাহরণ স্বরূপ	agreed
fourbase	fourbase	onidi-merin
fowobowe	সংরক্ষণ	signed
fowó	টাকার জন্য	sign
fracmv	fracmv	does not translate
francis	ফ্রান্সিস	francis
fransi	ফরাসি	france
freetown	ফ্রিটাউন	freetown
fuji	অপসারণ	fuji
fulani	অবীর	fulani
fulbe	পরিমাণ	fulbe
fun	জন্য	for
funra	নিজেই	suspect
further	অধিকতর	si
fé	fé	like
fé	fé	want
fégbé	ভুলে যান	for peers
fífò	উড়ন্ত	jumping
fífún	দান	giving
fòye	বোঝা	rationalise
fẹ́rẹ̀ẹ́	প্রায়	nearly
galatia	এইবার	galatia
gba	একমত	accept
gbajúgbujà	খুব জনপ্রিয়	popular
gbale	জনপ্রিয়তা	flourished
gbaná	গুলি করা	engulf in flame/rage
gbe	বহন	set up
gbera	চলো এগোই	move
gberasoke	গতি বাড়ান	rising
gbese	ঋণ	debt
gbigbamulo	শোষণ	adopted
gbigbewo	অর্থায়ন	examined
gbilè	ভাঙ্গা	gaining ground
gbin	নিখাত	farm
gbogbogbo	সাধারণ	general
gbongbo	মূল	root
gbàgbọ́	বিশ্বাস করা	believe
gbàgùrà	shook	gbagura
gbá	সম্পূর্ণ ধ্বংস	received
gbáradì	উঠে পড়	prepare
gbé	লাইভ দেখান	convey
gbédìí	স্থাপন করা	respect
gbékalè	কাঠমিস্ত্রি	establish
gbéni	লাইভ দেখান	lift
gbéyèwò	পুনঃমূল্যায়ন	examine
gbésè	প্রদান	die
gbìnyànjú	চেষ্টা	endeavour
gbìyànju	আরো কঠোরভাবে চেষ্টা করো	try
gbódò	অবশ্যই	must
gbónmisi	আইন	strife
gbúnùn	এটা শুঁক	hostile
gbọ́dọ̀	অবশ্যই	must
geesi	ইংরেজি	english
geneva	জেনেভা	geneva
genevieve	genevieve	genevieve
georgia	জর্জিয়া	georgia
german	জার্মান	german
gfaj	gfaj	gfaj
ghana	ঘানা	ghana
gidigidi	খুব	significantly
gidí	গৃহ	real
goemai	goemai	goemai
gomina	রাজ্যপাল	governor
gorgina	.গল	gorgina
gquadruplex	gquadruplex	g-gigalonomerin
grammy	গ্র্যামি	grammy
griiki	গ্রিক	greek
groove	খাঁজ	iho
guanínì	guanni	guanine
guinea	গিনি	guinea
guineabissau	guineabissau	guinea bissau
guinébissau	guinébissau	guinea bissau
gun	দীর্ঘ	stretch
gunle	বন্দুক	arrive
guusu	দক্ষিণ	south
gv	গ্লোবাল ভয়েসেস	gv
gèésì	আঠা	english
gèésì	মণি	english
gégé	সত্যিই	like
gírámà	gramps	grammar
gòkè	আরোহণ করা	climb
gún	অনুপ্রবিষ্ট	properly
gúúsù	দক্ষিণ	south
gẹ̀ẹ́sì	ইংরেজি	english
habsburg	habsburg	habsburg
haggai	নির্দেশিকা	haggai
haiti	হাইতি	haiti
halomonadaceae	halomonadaceae	halomonadaceae
hard	কঠিন	lile
haughton	haughton	haughton
hausafulani	hausafulani	hausa fulani
hawaii	হাওয়াই	hawaii
heinrich	হাইনরিখ	heinrich
hendu	মিছরি	hendu
henny	henny	henny
heraklion	heraklion	heraklion
hesse	একমত	hesse
him	তাকে	un, this term is sexless
hindu	hindu	hindu
histoni	histoni	histones
hominidae	hominidae	hominidae
hosea	হোসেয়া	hosea
hp	এইচপি	hp
hugh	হিউ	hugh
hun	হুন	knit
hungari	অনাহার	hungary
hv	hv	hv
ibalo	ব্যাপার	relationship
ibarepo	সংঘ	friendship
ibeji	যুগল	twins
ibewo	এসেছে	visit
ibiamusin	আশ্রয়স্থল	colony
ibile	ঐতিহ্যগত	municipality
ibimo	জন্ম	birth
ibise	workout আপনি	official
ibiti	জায়গা	where
ibn	ইবনে	ibn
ibojì	সমাধি	burial ground
ibori	ঘোমটা	conquest
ibujoko	এজলাস	place of abode
ibuseripadabosi	পরিশোধ	eternity
ibuso	লড়াই করা	bus stop
ibùdó	শিবির	settlement, seat of, area,
ibùjókòó	আসনবিন্যাস	settlement
iceland	আইস্ল্যাণ্ড	iceland
idagbasoke	উন্নয়ন	development
idagbe	অবহেলা	isolation
idaji	অর্ধেক	half
idajo	বিচার	judgement
idamita	আঁকা	sector
idari	নিয়ন্ত্রণগুলি	control
ideraa	লিখতে	comfort
idimule	গ্রেফতার	establishment
idoma	অঙ্কন	idoma
idupe	ধন্যবাদ	thanksgiving
idánwò	পরীক্ষা	examination
ifija	মাছ ধরা	weapon
ifilole	শুরু করা	resolution
ifitonileti	তথ্য	reporting
ifobaje	দুর্নীতি	coronating
ifofinde	কংগ্রেস	prohibition
ifriqiya	উত্তেজন	ifriqiya
igbeduro	প্রস্তুতি	institute
igbegun	বিজয়	declaration of war
igberiko	শহরতলিসুলভ	region
igbesoke	আপগ্রেড	upliftment
igbeyawo	বিবাহ	marriage
igbowolori	ব্যয়বহুল	inflation
igbá	মুরগির মাংস	shell
igbáẹ̀yìn	শেষটা	shell
igitòròmogbè	ব্রডব্যান্ড	willow tree
ihan	প্রদর্শিত	ray
ihinrere	গসপেল	gospel
ijagun	যুদ্ধ	war
ijakadi	সংগ্রাম	wrestling
ijaya	আতঙ্ক	fear
ije	আন্দোলন	eating
ijinnasi	পদার্থবিদ্যা	the wind open
ijosin	পূজা	worship
ijó	নাট্য	dance
ikan	এক	one of
ikandinlogun	আঠার	nineteen
ikaowo	সম্মান	finger
ikejidinlogun	আঠার	eighteen
ikeko	সংকলন	education
ikerin	চতুর্থ	fourth
iketa	উত্তরাধিকারী	third
ikoenu	বাঁচাতে	union
ikojopo	আহরণ	collection
ikoreokere	ফসল ফলানোর	migration
iku	মরণ	death
ikúgbaèyí	এখন	death-has-this
ikún	ভর্তি	squirrel or wild rodent
ilagbolojo	প্রচার	latitude
ilana	কার্যপ্রণালী	procedure
ilanaoye	কৌশল	knowledge procedure
ilaodo	রক্ষা করা	cana
ilaorun	সূর্যোদয়	west
ileasofin	বিধানিক	house of law,
ilegiga	বাড়ি	higher ground or higher plain
ileife	অবহেলা	ile-ife
ileigbimo	সম্মতি	house of assembly/congress
ileobaluaye	বিশ্ব	high chief
ileru	অগ্নিকুণ্ড	volcanic
ilopo	ডবল	times
iluoba	নাগরিক অধিকার	king's town
iluorilejoba	বিশ্বায়নের	capital city
ilé	বাড়ি	house
iléayé	বাড়ি	earth
iléisé	বাড়ি	workplace
ilélódò	ঘর	ile-lodo
iléàtèéré	বাড়ি	ile-ateere
iléńlá	চত্বর	ile-nla (area)
ilẹ	স্থল	land
ilẹ̀ayé	পৃথিবী	the world
iminle	গ্রেফতার করতে	earthquake
imoero	লঘুকরণ	engineering
imojuto	যত্ন	protection
imusin	আঁকা	colony
imú	নাক	nose
imúnisìn	স্বাস্থ্যবিধি	slavery
inagberingberi	বাদামের মাখন	electromagnetic force
indeed	প্রকৃতপক্ষে	paapa julo
indus	সিন্ধু	indus
inkosi	ন্যায্যতা	inkosi
integration	মিশ্রণ	ifowosowopo
inágbéringbérin	সতের	electromagnet
iní	উত্তরাধিকার	possession
inúnibíni	নিপীড়ন	hatred
ioja	মাছ	fight
ioniani	অতি দরিদ্র	ionian
iowa	পৃথিবীতে	iowa
ipare	বিলীন করা	abolition
ipawo	ব্যবহারসমূহ	income
ipele	উচ্চতা	stage
ipin	অধ্যায়	share
ipinpa	অংশগ্রহণ	arm of, branch of
ipinu	রায়	determination
ipo	অবস্থান	position
ipá	বল	effort
iraja	জঘন্য	bargaining
iranlose	সহায়তা	mission
ire	বিক্রয়	you
irele	নম্রতা	irele
iringa	শেষ করি	iringa
irisi	চেহারা	appearance
irorun	খুব সহজ	convenient
irò	গুজব	iro
irúnmọlẹ̀	বজ্র	apparition
isa	যথেষ্ট	jesus, isa or yisa is hausa language
isare	ত্বরণ	track race
isedaniloro	স্ব-সন্দেহ	terrorism
iseero	ঘড়ি	engineering
isejoba	শাসন	governance
iseoba	পনের	civil service
iseoroayeijoun	পুরাতত্ত্ব	archaeology
iseowo	ব্যবসায়	business
isepinpin	বিতরণ	division
iso	আসা	unit
isoponomba	isoponomba	addition of numbers
isun	প্রবাহ	spring
isesi	আত্মসমর্পণ	conduct
isè	সেবা	occupation
itali	ইতালীয়	italy
itanakole	গল্প	ancient
itelentele	স্পষ্টভাবে	coming after
itiraka	সংগ্রাম	effort
itobi	বড়াই করা	size
itokowo	ব্যবসায়	economy
itorawo	উদার	astrology
itu	নিক্ষেপ করা	solution
itumo	অর্থ	meaning
iwadi	গবেষণা	research
iwasi	ইমপ্রেস	behaviour
iwifun	তথ্য	report
iwoile	বাড়ি	entering
iwosan	আরোগ্য	healing
iwulo	দরকারী	use
iwuwa	অনুশীলন করা	behaviour
iyan	দুর্ভিক্ষ	argument
iyato	পার্থক্য	difference
iyawo	নববধূ	wife
iyen	এটাই	that
iyán	ঝিলিমিলি	pounded yam
iḷẹ̀	কাজ	land
iṣẹ́ìwádìí	গবেষণা	research
jabo	প্রতিবেদন	give account
jackson	জ্যাকসন	jackson
jadide	অপেক্ষা কর	emerge
jagbe	হারিয়ে যেতে	shout
jalè	চুরি	steal
jamaica	ইউটিউব	jamaica
jamo	চলে যাও	link
jawaharlal	সোমালিয়ার দিকে নিচ্ছে	jawaharial
jeffrey	জেফ্রি	jeffrey
jeometri	জ্যামিতি	geometry
jesu	যীশু	jesus
jfk	jfk	jfk
jije	হচ্ছে	existing as
jijinna	এ পর্যন্ত	distance
jiròrò	কুয়াশাচ্ছন্ন	dialogue
jo	ফুটো	days
jogun	উত্তরাধিকারসূত্রে	inherit
johann	জাহান্নাম	johann
johanu	দুঃখিত	john
jojo	কর্কশ	great extent
jopò	যোগ দিতে	gathered
jo	জন	resemble
juneau	জূনো	juneau
jàgídíjàgan	হিংসাত্মক	violent
jáde	বাহিরে আস	out
jé	আসা	is
jéésù	যীশু	jesus
jìnnàa	এ পর্যন্ত	further
jíje	হচ্ছে	eating
jíjuwó	টাকা কামানো	waving hands
jíjéomoléyìnkírísítì	একজন পরোপকারী হিসাবে	followers of christ
jùlo	অধিক	most
jùlo	বিশেষত	most
jùló	বেশিরভাগ	most
jẹ́mánì	জার্মান	germany
jọ́	অনুগ্রহ	together
kadara	সম্পদ	destiny
kagera	দাম্ভিক	kagera
kakiri	চিহ্ন	all over
kalinga	cinga	kalinga
kalẹ	আলাদা করা	established
kampala	আলিঙ্গন	kampala
kan	একটি	one
kankan	না	any
kanlè	kanal	established
karbonumarun	thecentricane	5 carbon
karl	কার্ল	karl
karun	পঞ্চম	fifth
karùún	পঞ্চম	fifth
kebbi	নিয়মিত	kebbi
kekere	ছোট	lower
keko	সাক্ষর	learn
kept	রাখা	fi pamo
khoisan	নিকৃষ্ট	khoisan
ki	তাই	not
kiakiajulo	দ্রুততর	rapidly
kiko	আনয়ন	gathering
kikojo	সংকলন	gathering
kikopomo	উত্তাপ	mixed
kikoso	দ্রুত	colonised
kiko	শিক্ষা	making
kikuninu	কল্পনা করা	size
kilhar	বগল	kilhar
kinkinni	ছোট জিনিস	small quantity
ko	অথবা	don't
kodò	নিচে	bow
koidu	koidu	koidu
kojá	ক্রস	pass
kolo	kolo	going
komputa	কম্পিউটার	computer
kong	কং	kong
kongo	কনডম	congo
kookan	এই	one
koto	টোপ	pit
koko	শিক্ষা	make heap
ko	ko	learn
kori	আর না	not found
krio	krio	krio
ku	আপনি	remain
kwara	উদ্দেশ্য	kwara
kàríbẹ́ánì	এ অঞ্চলের	carribean
kàyéfì	আশ্চর্যের কিছু নেই	amazement
ká	এর	we
kánfinkése	অকপটতা	prolonged
kánádà	অবশ্যই	canada
káyé	বিশ্ব	world
kéesì	হাস্যকর	keesi
kékéèké	ছোট	small
kétu	প্রস্তুত হও	ketu
kémíkà	বিপরীত	chemical
kéyìn	পরে	come after,
kìnní	প্রথম	first
kí	অভিবাদন	not
kíko	অধ্যয়নরত	written
kíkọ́	শিখতে	learning
kínu	সস্নেহ	greet
kírísìtì	বড়দিনের পর্ব	christ
kòjòkú	বৃষ্টি	kojoku
kòkó	ইঁদুরটি	cocoa
kòmpútà	কম্পিউটার	computer
kòtò	একটি গর্ত	pit
kòòsí	এইটা না	coaching
kòòkan	প্রত্যেকটি	each
kógo	গরিমা	glorious
kóra	সংগ্রহ করা	participate
kùkú	সর্বোপরি	eventually
kùrání	কোরান	quran
kúkú	সর্বোপরি	now
kúkúrú	সংক্ষেপে	short
kúrò	দূরে	away
kútò	সব	kuto (place)
kúùkù	বিপরীতে	punches; expression meaning 'by force' (ti pa ti kuuku)
kẹrin	চতুর্থ	4
kẹsàán	এখনই	ninth
kẹta	তৃতীয়	third
kẹ́nyà	বিচ্ছেদ	kenya
kọjá	পাস	pass through
kọ̀mpútà	কম্পিউটার	computer
kọ́kọ́	প্রথম	first
kọ́lọ́mú	কলাম	breast owner
kọ́ni	অভাব	teach
laa	চলে যাও	will
laada	পদাঘাত	good fortune
laaka	বিপরীত	important
laarin	মধ্যে	between
labalaba	প্রজাপতি	butterfly
labee	নিম্নদেশে	under
lade	পোরা	crowned
laid	পাড়া	tele
laifi	দোষ	without
languages	ভাষায়	ede
lanka	শ্রীলঙ্কা	lanka
lasile	মুক্তি	laid out
latibe	সেখান থেকে	from there
latigbana	তখন থেকে	from then on
latini	ল্যাটিন	latin
latvia	ল্যাট্ভিআ	latvia
lay	লে	da
le	করতে পারা	can
leboa	লেবো	leboa
lekun	তীব্র	open door
leo	সিংহরাশি	leo
lese	পোস্ট	firmly
less	কম	okeresi
lewaju	অগ্রগামী	front
lewon	কারাবাস	imprisonment
leyi	এটা এখানে	mispelled...should be 'leyin', after
leè	may	can
lilelile	হার্ডকোর	tightly
lilemo	ভাং	sticky
lilongwe	lilongwe	lilongwe
lindi	একরকমের ক্ষারজাতীয় বস্তু	lindi
linear	রৈখিক	dogba
links	লিংক	eka; this is a new word and does not really exist in yoruba
lodo	সংঘটিত	from
lojowaju	ভবিষ্যতে	the future
lojukokoro	লোভী	covetousness
lojúgun	সে ধ্বংস হয়ে গেছে	knee
lokunkun	অনলস	in the dark
loloselu	রাজনৈতিকভাবে	in politics
lopolopo	অনেক	so many
loruko	নাম	name
louvre	louvre	louvre
lovers	প্রেমীদের	awon olufe
low	কম	diye
lo	যাও	than
luanda	লুয়ান্ডা	luanda
luther	লুথার	luther
lynton	lynton	lynton
làgba	সমান	more important
lààmi	চিহ্ন	sign
lààmì	লক্ষণ	significant
