$ tỉ	billion பில்லியன்	$ billion
brestlitovsk	brestlitovsk	brest-litovsk
breton	பிரெட்டன்	(proper noun) breton
bretton	பிரெட்டன்	hoi nghi
brezhnev	brezhnev	brezhnev
brian	பிரையன்	a name
bridge	பாலம்	bridge
britannic	பிரிட்டானிக்	(proper noun) britannic
britney	பிரிட்னி	britney
brooklyn	ப்ரூக்ளின்	brooklyn
brot	brot	this is german not vietnamese
brown	பழுப்பு	brown
browne	பிரவுன்	browne
browning	பிரவுனிங்	(proper noun) browning
bruce	காயங்கள்	bruce
brunei	புருனே	brunei
bruno	புருனோ	bruno, as in the city of san bruno
brusilov	புருசிலோவ்	brusilov
brussels	பிரஸ்ஸல்ஸ்	brussels, the capital of belgium
btr	btr	btr
bubalis	புபலிஸ்	bubalis
budapest	புடாபெஸ்ட்	budapest, the capital of hungary
bulgaria	பல்கேரியா	bulgaria
bulletin	புல்லட்டின்	thong bao
bungary	பங்களரி	bungary
bungo	bungo	bungo
buonaparte	buonaparte	(proper noun) buonaparte, as in casa buonaparte
burke	பர்க்	(proper noun) burke, as in edmund burke
burkina	புர்கினா	burkina
burma	பர்மா	burma
burundi	புருண்டி	burundi
busan	புசன்	a korean city
busby	பஸ்பி	busby
bush	புஷ்	bush
bushy	புதர்	bushy
buôn	மொத்த	commerce
buông	விட்டுவிடு	to release, to let loose
buýt	பேருந்து	bus
buốt	முனைப்புடன்	sharp
buồm	பயணம்	sail
buồn	சோகம்	sad
buồng	அறை	chamber
buổi	அமர்வு	session
byzantine	பைசாண்டின்	byzantine
bà	பாட்டி	woman or lady (n.)
bài	இடுகைகள்	articles
bàn	மேசை	table
bàng	கழுகு	eagle
bành	பெங்	armchair
bào	திட்டமிடல்	compatriot
bàu	பாவ்	bau
bày	விளக்கக்காட்சி	"(term should be ""trưng bày"") to display (v.)"
bác	மாமா	doctor
bách	சைப்ரஸ்	"(term should be ""bách khoa"") polytechnic (adj.)"
bái	வழிபாட்டு	to bow (v.)
bám	ஒட்டிக்கொள்க	cling
bán	விற்க	sell
báng	இடி	"(term should be ""phỉ báng"") to defame or slander"
báo	செய்தித்தாள்	newspaper (n.)
bát	கிண்ணம்	eight (n.)
báu	புதையல்	valuable
bây	இப்போது	now
bã	எச்சம்	"(term should be ""buồn bã"") sad (adj.)"
bãi	கெஜம்	beach
bão	புயல்	storm
bèn	பிறகு	then
bé	கொஞ்சம்	baby
bén	கூர்மையான	sharp (adj.)
béo	கொழுப்பு	fat
bên	பக்க	side
bênh	நோய்வாய்ப்பட்டது	advocate
bì	பேக்கேஜிங்	foreskin (n.)
bìa	கவர்	cover
bìu	ஸ்க்ரோட்டம்	sac (n.)
bí	ஸ்குவாஷ்	secret
bính	பின்	"(term should be ""bính âm"") romanized chinese words (n.)"
bíró	பூசணி	biro
bò	மாடு	beef
bó	கொத்து	bound (adj.)
bói	குறி சொல்லும்	to foretell (v.)
bón	உரமிடு	"entire term should be ""phan bon""; means ""fertilizer"""
bóng	பந்து	sphere or ball
bóp	கசக்கி	squeeze
bô	அப்பா	"(term should be ""bôxit"") the mineral bauxite"
bôi	ஸ்மியர்	to apply (as in oil)
bông	பருத்தி	flower
bù	ஒப்பனை	compensate
bùa	தாயத்து	talisman
bùn	சேறு	mud
bùng	விரிவடைய	"(term should be ""bùng nổ"") to break out (v.)"
bú	suckle	to suck
búa	சுத்தி	a hammer
búi	டஃப்ட்ஸ்	tuft
bún	அரிசி நூடுல்	noodle
búng	flicked	snap
bút	பேனா	pseudonym
băm	ஹேஷ்	hash
băn	fret	concerned
băng	பனி	"(term should be ""băng giá"") freezing (adj.)"
bơ	வெண்ணெய்	"(term should be ""bơ vơ"") desolate (adj.)"
bơi	நீந்த	swim
bơm	பம்ப்	pump
bưu	தபால்துறை	post office
bước	படி	a step (n.)
bướm	பட்டாம்பூச்சி	butterfly
bạ	தொடர்புகள்	directory
bạc	வெள்ளி	meager
bạch	வெள்ளை	"(should be ""bạch tuộc"") an octopus"
bại	இழக்க	defeated
bảng	பலகை	chart
bảo	பாவோ	protect
bảy	ஏழு	seventh
bấm	அச்சகம்	press
bất	உண்மையானது	"(term should be ""bất cứ"") any (adj.)"
bấy	அந்த	contemporary
bần	ஏழை	poor
bầu	வாக்களியுங்கள்	vote
bầy	கூட்டம்	servant
bẩm	பிறவி	congenital
bẩn	அழுக்கு	the
bẩy	பொறி	"(term should be ""lẩy bẩy"") unsteadily (adv.)"
bẫy	பொறி	a trap (n.)
bậc	பட்டம்	level or class (n.)
bận	பரபரப்பு	busy
bật	இயக்கப்பட்டது	outstanding
bắc	வடக்கு	beijing
bắcnam	வடக்கு தெற்கு	"(term should be ""bắc-nam"") north-south (adj.)"
bắn	சுடு	shoot
bắp	சோளம்	venter
bắt	பிடி	cross
bằng	சமம்	by
bẹp	நசுக்க	crush
bẻ	உடைக்க	break
bẽ	அவமானம்	humiliate
bến	வார்ஃப்	wharf
bếp	சமையல் அறை	kitchen
bề	மேற்பரப்பு	"(should be ""bề mặt"") a surface"
bền	நீடித்த	enduring (v.)
bể	மணிகள்	tank
bệ	பீடம்	base
bện	சடை	braided (adj.)
bệnh	நோய்வாய்ப்பட்டது	benh
bỉ	பெல்ஜியம்	disgust
bỉnh	குறும்பு	binh
bịch	தம்ப்	ridiculous
bịt	மூடப்பட்ட	cover
bọ	பிழை	insect
bọc	மடக்கு	to cover or enclose (v.)
bọn	அவர்களுக்கு	a group (n.)
bọng	வீக்கம்	bladder
bọt	நுரை	foam
bỏ	திரும்பப் பெறு	to leave (v.)
bỏng	எரிக்க	hot
bố	அப்பா	"(term should be ""tuyên bố"") to declare"
bốc	ஏற்றுகிறது	bốc lửa= on fire
bối	குழப்பமான	messy
bốn	நான்கு	four
bồi	இழப்பீடு	"(term should be ""cao bồi"") cowboy (n.)"
bổn	கடமை	duty
bổng	உதவித்தொகை	"with word luong, means ""salary"" or ""wages"""
bỗng	திடீரென்று	suddently
bộ	தொகுப்பு	part
bộc	boc	"(term should be ""bộc lộ"") to reveal (v.)"
bội	பல	betray
bột	மாவு	powder or flour (n.)
bớ	சுற்று	arrest
bớt	குறைவாக	less
bờ	விளிம்பு	coast
bời	பம்	profuse
bở	வழங்கியவர்	profitable
bởi	வழங்கியவர்	because
bục	மேடை	platform
bụng	வயிறு	abdomen
bứt	தெரியாமல்	"(term should be ""bứt phá"") power (n.)"
bừa	துன்புறுத்துகிறது	messy, careless, or topsy-turvy (adj.)
bữa	உணவு	meal (n.)
bực	விரக்தியடைந்த	bother
ca	மாற்றம்	praise
ca-lo	ca-lo	a unit of measurement
cabo	cabo	cabo
cacbon	கார்பன்	carbon
cacbonat	கார்பனேட்	carbonate
cacbua	கார்பைடு	carbides, carbon ions
caesar	சீசர்	caesar
caffein	காஃபின்	caffeine
café	கொட்டைவடி நீர்	coffee
cai	காய்	govern
cairo	கெய்ரோ	cairo, the capital of egypt
cal	கலோரி	cal, a first name
calculus	கால்குலஸ்	calculus
calvin	கால்வின்	calvin
cam	ஆரஞ்சு	commit
cambodia	கம்போடியா	(proper noun) the country of cambodia
cambridge	கேம்பிரிட்ஜ்	cambridge
cameo	கேமியோ	cameo part
cameron	கேமரூன்	cameron
cameroon	கேமரூன்	cameroon
camille	காமில்	camille
campbell	கேம்ப்பெல்	campbell
campuchia	கம்போடியா	campuchia
canada	கனடா	canada
canadian	கனடியன்	canadian
canal	கால்வாய்	canal
canary	கேனரி	canary
cancer	புற்றுநோய்	cancer
canterbury	கேன்டர்பரி	canterbury
canxi	கால்சியம்	calcium
capello	capello	capello
capra	காப்ரா	capra
carat	காரட்	carat
carbine	கார்பைன்	carbine
cardcaptor	அட்டை அட்டை	cardcaptor
cardcaptors	அட்டை அட்டைகள்	(proper noun) cardcaptors
carey	கேரி	(proper noun) carey, as in singer mariah carey
caribe	கரிபே	caribbean
caribê	கரீபியன்	caribbean
carl	கார்ல்	carl
carlos	கார்லோஸ்	carlos
carnaval	கார்னவல்	carnaval
carol	கரோல்	carol
caroline	கரோலின்	(proper noun) caroline
carpathia	கார்பதியா	carpathia
carter	கார்ட்டர்	carter
carxtơ	காரட்	karst topography, a geological term (n.)
casa	சி.ஏ. எஸ்.ஏ.	casa
casablanca	casablanca	casablanca
caspia	காஸ்பியா	caspia
cassini	காசினி	cassini
cast	நடிகர்கள்	cast
castries	காஸ்ட்ரீஸ்	castries
castro	காஸ்ட்ரோ	castro, as in fidel castro
cathay	கேத்தே	cathay
catherine	கேத்தரின்	catherine
cau	cau	cau
cbc	cbc	cbc
cbgd	cbgd	educational  officer
cbs	cbs	cbs
ccc	சி.சி.சி.	ccc
ccn	ccn	industrial cluster
cctv	மறைகாணி	cctv
cd	குறுவட்டு	cd
cdot	cdot	cdot
cdrom	சிடிரோம்	cd-rom
cell	செல்	cell
celtic	செல்டிக்	centic
cena	ஜான்	(proper noun) cena, as in john cena, the wrestler
centauri	செண்ட au ரி	centauri
ceres	ceres	ceres
cha	அப்பா	father
chai	பாட்டில்	bottle
chaillot	chaillot	a name
chamberlain	சேம்பர்லைன்	chamberlain
champa	சம்பா	champa
champion	சாம்பியன்	champion
chamẹ	பெற்றோர்	parents
chanel	சேனல்	chanel
chanh	எலுமிச்சை	lemon or lime (n.)
chao	வணக்கம்	(proper noun) chao, a name
charles	சார்லஸ்	charles
charlotte	சார்லோட்	charlotte
charlton	சார்ல்டன்	charlton
charon	charon	(proper noun) charon
chase	துரத்து	chase
chay	சைவம்	fasting
chdcnd	chdcnd	democratic republic
che	கவர்	cover
chechnya	chechnya	chechnya
chen	சென்	chen
cheo	cheo	"(term should be ""cheo reo"") name of a town"
chi	சி	"(term should be ""chi tiết"") details (n.)"
chia	பகிர்	"(term should be ""chia sẻ"") to share"
chiang	சியாங்	chiang
chicago	சிகாகோ	chicago, as in chicago, illinois
chile	சிலி	(proper noun) the country of chile
chim	பறவை	bird
china	சீனா	china
ching	சிங்	ching
chirac	சிராக்	chirac, as in former french president jacques chirac
chiêm	ஜோதிடம்	"(term should be ""chiêm thành"") the ancient kingdom of champa in vietnam"
chiên	வறுத்த	fry
chiêng	காங்	gong
chiếc	பிசிக்கள்	the
chiếm	கணக்கியல்	appropriate
chiến	சண்டை	war, fight
chiết	பிரித்தெடுத்தல்	literal
chiếu	பாய்	show
chiền	கொத்து	temple
chiều	மாலை	length
chlamydia	கிளமிடியா	chlamydia
chloride	குளோரைடு	chloroauric acid
chnd	chnd	chnd
choi	விளையாடு	choi
chomsky	chomsky	chomsky
chong	சோங்	chong
chopin	சோபின்	chopin
chosŏn	chosŏn	(proper noun) choson
choàng	கேப்	coat
choáng	திகைத்துப்போனது	dizzy
chris	கிறிஸ்	chris, as in chris hughes
christ	கிறிஸ்து	christ
christian	கிறிஸ்துவர்	christian
christopher	கிறிஸ்டோபர்	christopher
chrome	குரோம்	chrome, as in google chrome
chrysler	கிறைஸ்லர்	(proper noun) chrysler, the car company
chu	சூ	cycle
chua	புளிப்பான	tomato
chuck	சக்	(proper noun) chuck, as in chuck norris
chui	துடைக்க	underground
chum	சம்	pot
chun	சுன்	chun
chung	பொது	general
churchill	சர்ச்சில்	churchill
chuyên	சிறப்பு	professional
chuyến	பயணம்	trip
chuyền	பாஸ்	volleyball
chuyển	போய் விட்டது	to move
chuyện	கதை	nói chuyện= talk
chuôi	வலுப்பிடி	handle
chuông	மணி	a bell
chuẩn	தரநிலை	standard
chuốc	குத்து	incur
chuối	வாழை	banana
chuốt	புரோச்சிங்	refine
chuồng	கூண்டு	cage
chuỗi	சங்கிலி	series
chuộc	மீட்டு	redeem
chuộng	சாதகமானது	favorite
chuột	சுட்டி	a mouse (n.)
chà	தேய்க்கவும்	rub
chài	மீன்பிடித்தல்	fish
chàm	இண்டிகோ	indigo
chàng	பையன்	"(term should be ""chàng trai"") a young man (n.)"
chào	வணக்கம்	welcome
chày	பேஸ்பால்	a pestle (n.)
chánh	தலைமை	"(term should be ""chánh án"") the head of a tribunal (n.)"
cháo	கஞ்சி	porridge
cháu	பேரக்குழந்தைகள்	a term one uses denoting oneself when addressing an aunt or uncle (n.)
cháy	தீ	fire
châm	முள்	motto
chân	கால்	a leg
châu	ஐரோப்பா	continental
chè	தேநீர்	tea
chèn	செருக	insert
chém	வெட்டு	to chop
chén	கோப்பை	bowl
chéo	குறுக்கு	cross
chép	நகலெடுக்கவும்	written
chê	அடடா	decry
chênh	வித்தியாசம்	difference
chì	வழி நடத்து	graphite
chìa	விசை	"(term should be ""chìa khoá"") a key (n.)"
chìm	மூழ்கடித்தது	to become submerged or sink (v.)
chình	ஈல்	eel
chí	பேன்	especially
chích	கொடுக்கு	shoot
chín	ஒன்பது	ripe
chính	பிரதான	main
chít	சிட்	dense
chò	மூச்சு	a type of plant, typically of the parashorea genus (n.)
chòi	கேபின்	hut
chòm	விண்மீன்	constellation
chó	நாய்	dog
chóc	haha	killing (giet choc)
chói	கண்ணை கூசும்	bright
chóng	விரைவாக	"entire term should be ""chong mat""; means ""dizzy"""
chóp	மேல்	the top (n.)
chôm	ரம்புட்டன்	rambutan
chôn	அடக்கம்	bury
chông	கணவர்	thorn
chùa	கோயில்	pagoda
chùy	mace	mace
chú	மாமா	uncle (n.)
chúa	இறைவன்	god
chúc	வாழ்த்த	will
chúi	tuu	drop
chúng	அவர்களுக்கு	they
chút	சிறிதளவு	little
chăm	கடினமானது	champa
chămpa	சம்பா	champa
chăng	மலிவு	would it
chĩa	முட்கரண்டி	point
chơi	விளையாடு	play
chơn	அடி	"a more obscure form of the word ""chân""; means ""genuine"" or ""true"""
chư	சூ	lower authorities
chưa	இதுவரை இல்லை	not yet
chưng	dist	steamed
chương	அத்தியாயம்	medal
chướng	தடையாக நிச்சயமாக	grating
chạ	வருங்கால	father
chạm	தொடு	touch
chạng	அந்தி	twilight
chạp	நடுங்கும்	slow
chạy	ஓடு	to run (v.)
chả	சுருள்கள்	no
chảo	பான்	pan
chảy	ஓடு	bleeding
chấm	புள்ளி	end
chấp	சவால்	"(term should be ""chấp nhận"") to accept (v.)"
chất	விஷயம்	quality
chấu	கிள்ளுதல்	"(term should be ""châu chấu"") a grasshopper (n.)"
chần	பிளான்ச்சிங்	slice
chẩn	கண்டறிய	"(term should be ""chẩn đoán"") to diagnose (v.)"
chậm	மெதுவாக	slow
chận	தொகுதி	block
chật	இறுக்கம்	overcrowded
chậu	பானை	pelvic
chắc	நிச்சயம்	certainly
chằng	புருவம்	ligament
chẵn	கூட	even
chặn	வெளியே தடுக்க	prevent
chặng	கால்	journey
chặt	நறுக்கு	close
chẻ	பிளவு	strick
chẽ	இறுக்கம்	"(term should be ""chặt chẽ"") tightly or closely (adv.)"
chế	ஏற்பாடுகள்	produce
chếch	மந்தமான	oblique
chết	இறந்தார்	to die (v.)
chệch	தவறு	deviant
chỉ	வெறும்	just (adv.)
chỉnh	திருத்தம்	adjust
chịt	தனம்	chằn chịt= complex/tangle
chịu	தாங்க	tolerate
chọc	குத்த	to poke
chọi	சண்டை	oppose
chọn	தேர்வு செய்யவும்	to choose
chỏ	முழங்கை	"(term should be ""cùi chỏ"") elbow (n.)"
chốc	கணம்	single
chối	மறுக்க	refuse
chốn	இடம்	place
chống	எதிர்ப்பு	anti-
chốt	தாழ்ப்பாளை	important
chồi	தளிர்கள்	"(term should be ""đâm chồi"") budding"
chồn	நரி	anxious
chồng	கணவர்	husband
chỗ	இடம்	where
chội	மலம்	cramped
chớ	வேண்டாம்	not
chớp	மின்னல்	flashing (adj.)
chờ	காத்திரு	to wait
chở	சுமந்து	for
chợ	சந்தை	market
chợt	திடீரென்று	suddenly
chục	டஜன்	dozen
chụp	படமெடு	capture
chủ	குரு	"(term should be ""chủ yếu"") main or essential (adj.)"
chủng	விகாரங்கள்	strain
chứ	மாறாக	just or only (adv.)
chứa	கொண்டிருக்கும்	contain
chức	செயல்பாடு	function
chừ	கடிதம்	hesitate
chừa	வெளியேறுதல்	leave
chừng	சில	about or roughly (adv.)
chử	சொல்	"(term should be ""chử bích"") the vietnamese name for a chinese island"
chửa	கர்ப்பிணி	pregnant
chửi	சபித்தல்	curse
chữ	சொல்	a letter of the alphabet (n.)
chữa	குணப்படுத்த	to cure or treat (v.)
chững	சமன் செய்தல்	to totter (v.)
cia	சியா	cia
