$	dollarni tashkil etadi	a sign of doller
અટકાવી	oldini oldi	prevent
અટકાવે	oldini oladi	prevents
અટકાવ્યા	to‘xtadi	prevented
અટકી	osilmoqda	stopped
અટલ	muvaffaqiyatsiz	surname
અઠવાડિયા	hafta	week
અઠવાડિયાનો	hafta	of the week
અઠવાડિયામાં	bir hafta ichida	in a week
અડધા	yarim	half
અડધી	yarim	half
અડધું	yarim	half
અડીને	qo&#39;shni	touch
અડે	tushlar	touch
અઢાર	o&#39;n sakkizda	eighteen
અણનમ	yengilmas	not out
અણી	yon	in last stage
અણુ	atom	nuclear
અણુઓ	atomlar	atoms
અણુકેન્દ્રીય	atomga oid	nuclear centre
અતઃ	shuning uchun	therefore
અતિ	ati	more/excess
અતિક્રમણ	bosqinchilik	attack
અતિરિક્ત	qo&#39;shimcha	additional
અતિશય	ortiqcha	very
અત્યંત	juda ham	extremely
અત્યાચાર	vahshiyliklar	tyranny
અત્યાર	haligacha	now
અત્યારના	hozirgi	recently
અત્યારે	hoziroq	now
અત્રે	bu yerda	now
અથવા	yoki	or
અથવાતો	yoki	or
અથાણું	tuzlangan	pickles
અદભુત	ajoyib	magnificient
અદા	nashr	style
અદાલતો	sudlar	courts
અદ્યતન	ilg&#39;or	modern
અદ્રશ્ય	ko&#39;rinmas	invisible
અદ્વિતીય	noyob	unparalleled
અદ્વૈત	advaita	nonduality
અધિક	ko&#39;proq	additional
અધિકતર	ko&#39;pincha	most
અધિકાંશ	ko&#39;pchilik	majority
અધિકાર	to&#39;g&#39;ri	right
અધિકારી	xodim	officer
અધિકારીઓ	ofitserlar	officials
અધિકારીઓની	ofitserlarning	officer's
અધિકારો	huquqlar	right
અધિકારોનો	huquqlar to&#39;g&#39;risida	right
અધિકૃત	vakolatli	authorised
અધિવેશન	seans	session
અધીન	mavzu	depend
અધૂરો	tugallanmagan	incomplete
અધ્યક્ષ	raisi	head person
અધ્યક્ષપદ	prezidentlik	chairmanship
અધ્યયન	o&#39;qish	study
અધ્યાત્મ	ma&#39;naviyat	philosophical
અધ્યાય	bo&#39;lim	lessons
અધ્યાયમાં	bo&#39;limda	chapter
અન	va	and
અનંત	cheksizlik	infinite
અનન્ય	noyob	unique
અનાજ	don mahsulotlari	corn
અનામત	rezervlangan	reserved
અનિયમિત	tartibsizlik	irregular
અનિલ	anil	anil
અનિવાર્ય	muqarrar	necessary / compulsary
અનિશ્ચિત	noma&#39;lum	uncertain
અનિશ્ચિતતા	noaniqlik	uncertainty
અનુકૂળ	qulay	convenient / suitable
અનુક્રમણિકા	indeks	index
અનુક્રમે	mos ravishda	sequentially / respectively
અનુગામી	keyingi	follower,
અનુપમ	taqqoslanmaydigan	unique
અનુભવ	tajriba	experience
અનુભવાયા	kiyim	experienced
અનુભવી	tajribali	experinced
અનુભવે	feel	experiencing
અનુમાન	tasavvur qiling	presumption
અનુયાયી	izdosh	follower
અનુયાયીઓ	izdoshlar	followers
અનુયાયીઓને	izdoshlar	follower
અનુલક્ષીને	qanday bo&#39;lmasin	imagining
અનુવાદ	tarjima	transalation
અનુવાદો	tarjimalar	translations
અનુસરે	izdoshlar	follwing
અનુસાર	ga ko&#39;ra	accordingly
અને	va	and
અનેં	va	and
અનેક	ko&#39;pchilik	many
અનેરું	va hokazo	unique
અનૈતિક	axloqsiz	non-proper
અનોખી	noyob	unique
અન્ન	ovqat	food
અન્નક્ષેત્ર	oziq-ovqat maydoni	free food center
અન્ય	boshqalar	other
અન્યત્ર	boshqa joyda	anywhere else
અન્યાય	adolatsizlik	injustice
અન્યો	boshqalar	others
અન્યોએ	boshqalar	by others
અપ	yuqoriga	up
અપડેટ	yangilash	update
અપના	apna	our
અપનાવવા	qabul qilish	to adopt
અપનાવવામાં	qabul qilingan	to adopt
અપનાવી	qabul qilingan	applied
અપની	sizniki	self
અપને	sizga	own [hindi word]
અપભ્રંશ	apabramsa	derived / diverted
અપમાન	haqorat	insult
અપરિગ્રહ	yo&#39;qligi	possession
અપલોડ	yuklash	to upload
અપવાદ	istisno	exception
અપવાદરુપ	istisno	exception
અપહરણ	o&#39;g&#39;irlash	kidnap
અપાતી	berilgan	given
અપાય	berilgan	to give
અપાયું	berilgan	given
અપાયો	berilgan	presented
અપાવી	berilgan	to give
અપાવે	beradi	gets
અપાવ્યો	taqdim etilgan	given
અપીલ	shikoyat qilish	appeal
અપૂર્ણ	tugallanmagan	uncomplete
અપૂર્વ	misli ko&#39;rilmagan	unbelivable
અપેક્ષા	kutish	expectation
અપેક્ષિત	kutilmoqda	expectancy
અપ્સરા	samoviy qiz	heavenly nymph, fairy
અફઘાનિસ્તાન	afg&#39;oniston	afghanistan
અબજ	milliard	1000000000
અબ્દ	abd	abd
અબ્દુલ	abdul	abdul
અભયારણ્ય	ziyoratgoh	national park
અભાવ	yo&#39;qligi	lack of
અભાવે	kamomad	lack of
અભિગમ	yondashuv	concept
અભિનંદન	tabriklaymiz	congratulation
અભિનય	aktyorlik	acting
અભિનેતા	aktyor	actor
અભિનેત્રી	aktrisa	heroin
અભિનેત્રીનો	aktrisadan	of actress
અભિન્ન	integral	different
અભિપ્રાય	fikr	opinion
અભિમન્યુ	abximanyu	abhimanyu
અભિમન્યુના	abximanyu	abhimanyu's
અભિમન્યુને	abximanyu	to abhimanyu
અભિમન્યૂ	abximanyu	abhimanyu
અભિયાન	kampaniya	campaign
અભિવ્યક્ત	ifoda etilgan	express
અભિવ્યક્તિ	ifoda	expression
અભિષેક	moylash	abhishek
અભૂતપૂર્વ	misli ko&#39;rilmagan	tremendous
અભ્યાસ	o&#39;qish	study
અભ્યાસક્રમ	kurs	syllabus
અભ્યાસમાં	ishda	in studies
અભ્યાસો	tadqiqotlar	studies
અમદાવાદ	ahmadobod	ahmedabad
અમદાવાદથી	ahmadoboddan	from ahmedabad
અમદાવાદના	ahmadobod	ahmedabad's
અમદાવાદની	ahmadobod	ahmedabad's
અમદાવાદને	ahmadobodga	to ahmedabad
અમદાવાદમાં	ahmadobodda	in ahmedabad
અમને	biz	to us
અમર	o&#39;lmas	immortal
અમરેલી	amreli	amreli, name of taluka of gujarat
અમલ	bajarish	follow/acceptance
અમલમાં	amalga oshirildi	in force
અમારા	bizning	ours
અમારી	bizning	our
અમિતાભ	amitabx	film star of bollywood amitabh
અમુક	biroz	some
અમુલ	amul	amul
અમૂર્ત	xulosa	extraordinary
અમે	biz	we
અમેરિકન	amerikalik	american
અમેરિકા	amerika	america
અમેરિકાના	amerika	america's, of america
અમેરિકાની	amerika	america's
અમેરિકાને	amerikaga	to america
અમેરિકાનો	amerikaliklar	america's
અમેરિકામાં	amerikada	in america
અમેરિકી	biz	american
અમેરિકીઓ	amerikaliklar	american,
અમ્પાયર	umid	umpire
અયોગ્ય	nomaqbul	improper
અયોધ્યા	ayodxya	ayodhya
અરજણજી	arjanji	arjanji
અરજી	ilova	application
અરબ	arab	arab
અરબસ્તાન	arabiston	arabia
અરબી	arabcha	arabi
અરવિંદ	arvind	arvind
અરસામાં	davrda	during
અરાજકતા	xaos	chaos
અરુણાચલ	arunachal	arunachal
અરેબિયા	arabiston	arabia
અરેબીક	arabcha	arabic
અર્જુન	arjun	arjun
અર્જુનના	arjuna	arjun's
અર્જુનની	arjuna	arjuna's
અર્જુનને	arjunaga	to arjun
અર્જુનનો	arjuna	arjun's
અર્જુને	arjun	arjun
અર્થ	ma&#39;nosi	earth
અર્થકવેક	zilzila	earthquake
અર્થઘટન	tushuntirish	interpretation
અર્થતંત્ર	iqtisodiyot	economy
અર્થતંત્રની	iqtisodiyot	of economy
અર્થતંત્રને	iqtisodiyot	to the economy
અર્થતંત્રમાં	iqtisodiyotda	economically
અર્થમાં	sensiz	by meaning,
અર્થવ્યવસ્થા	iqtisodiyot	economics
અર્થશાસ્ત્ર	iqtisodiyot	economics
અર્થશાસ્ત્રી	iqtisodchi	economist
અર્થાત	aynan	meaning
અર્થાત્	aynan	meaning
અર્થે	bir ma&#39;noda	meaning
અર્થો	ma&#39;nolari	meanings
અર્ધ	yarim	half
અર્ધા	yarim	half
અર્પણ	taklif qilish	dedication
અર્વાચીન	yangiroq	modern
અલ	al	el
અલંકરણ	zeb-ziynat	decoration
અલંકાર	zeb-ziynat	ornament
અલંગ	alang	alang
અલગ	turli xil	different
અલગઅલગ	turli xil	separately
અલણમીર	alanmeer	alanmir
અલબત્ત	albatta	certainly
અલાસ્કાના	alyaska	alaska's
અલી	ali	ali
અલૌકિક	g&#39;ayritabiiy	magnificient
અલ્પજીવી	qisqa umr	short-lived
અલ્લાહ	olloh	allah
અલ્હાબાદ	allohobod	allahabad
અવકાશ	qo&#39;llash sohasi	space
અવકાશના	bo&#39;sh joy	expect
અવકાશમાં	kosmosda	space
અવકાશયાન	kosmik kemalar	space shuttle
અવકાશસમય	bo‘sh vaqt	space-time
અવકાશી	mekansal	related to space
અવકાશીય	mekansal	related to space
અવગણના	e’tibor bermaslik	unconsideration
અવતાર	avatar	incarnation
અવતારો	avatarlar	incarnation
અવધિ	davomiyligi	duration
અવધી	davr	duration
અવર	bizning	hour
અવરોધ	qarshilik	obstacle
અવરોધક	inhibitor	obliterator
અવરોધો	to&#39;siqlar	obstructions
અવલંબન	bog&#39;lanish	dependant
અવલોકન	kuzatuv	discription
અવલોકનક્ષમ	kuzatilishi mumkin	visible / observable
અવલોકનો	kuzatuvlar	observations
અવશેષ	relic	remains
અવશેષો	qolganlari	the ruins of an old wersked building
અવશ્ય	albatta	certainly
અવસર	imkoniyat	occasion
અવસાન	o&#39;lim	death
અવસ્થામાં	shtatda	phase
અવાજ	ovoz	voice
અવાજના	ovoz	of voice
અવાજની	ovoz	voice's
અવાજનો	ovoz	sounds's
અવારનવાર	ko&#39;pincha	frequently
અવિરત	uzluksiz	continuous
અશક્ય	mumkin emas	impossible
અશોક	ashok	ashok
અશોકના	ashokaning	ashoka's
અશ્વત્થામા	ashvattama	ashwatthama
અશ્વત્થામાએ	ashvattama	ashwathama
અશ્વિન	eshvin	ashvin
અષાઢ	ashadx	asadha
અષાઢી	ashadhi	from ashadh
અસંખ્ય	juda ko&#39;p	several, many
અસફળ	amalga oshmadi	fail
અસમાનતા	tengsizlik	inequality
અસર	effekt	action
અસરકારક	samarali	effective
અસરકારકતા	samaradorlik	effectiveness
અસરગ્રસ્ત	ta&#39;sir qilingan	affected
અસરથી	effekt bilan	by the effect of
અસરના	ta&#39;sir	of effect
અસરને	effektga	of the effect
અસરનો	ta&#39;sir	of effect
અસરો	effektlar	effects
અસરોને	effektlar	effects
અસરોમાં	effektlarda	effects,
અસલ	asl	real
અસહકારની	hamkor bo&#39;lmaganlik to&#39;g&#39;risida	of the non cooperation
અસહ્ય	kuchsiz	unbearable
અસાધારણ	favqulodda	unusual
અસામાન્ય	g&#39;ayrioddiy	unusual
અસ્ત	ast	waning
અસ્તિત્વ	mavjudlik	existence
અસ્તિત્વનો	borliq	of existance
અસ્તિત્વમાં	mavjud	in existance
અસ્ત્ર	projektor	weapon
અસ્થિર	barqaror	unstable
અસ્થિરતા	beqarorlik	instability
અસ્પૃશ્યતા	tegmaslik	"thinking like ""keep away from some category"""
અસ્પૃશ્યતાનિવારણ	tegmaslikning oldini olish	removal of the untouchability
અસ્વીકાર	rad qilish	refusal to accept
અહમદ	ahmad	"name ""ahamad"""
અહિ	bu yerda	here
અહિં	bu yerda	here
અહિંસક	zo&#39;ravonliksiz	non-violent
અહિંસા	zo&#39;ravonliksiz	non violence
અહિંસાના	zo&#39;ravonliksiz	nonviolence
અહિયાં	bu yerda	here
અહી	bu yerda	hear
અહીં	bu yerda	here
અહીંથી	shu yerdan	from here
અહીંના	bu yerda	from here
અહીંની	bu yerda	from here
અહીંનું	bu erda	of here
અહીંયા	bu yerda	here
અહેવાલ	hisobot	report
અહેવાલો	hisobotlar	report
અહેસાસ	amalga oshirish	feel
આ	bu	this
આંકડા	statistika	figures
આંકડાઓ	statistika	figures
આંકડાકીય	statistik	kind of sweet
આંકડો	shakl	figure / number
આંકવામાં	raqamlangan	skale
આંખ	ko&#39;z	eye
આંખે	ajoyib	eye
આંખો	ko&#39;zlar	eyes
આંગણે	hovlida	yard
આંગળી	barmoq	fingure
આંગળીઓ	barmoqlar	fingers
આંચકા	shoklar	shocks,
આંતર	inter	inter
આંતરરાષ્ટ્રીય	xalqaro	international
આંતરિક	ichki	internal
આંતરીક	ichki makon	internal
આંદામાન	andaman	andaman
આંદોલન	harakat	movement,
આંદોલનકારીઓ	targ&#39;ibotchilar	activists
આંદોલનની	harakat to&#39;g&#39;risida	violation
આંધ્ર	andxra	andhra
આંબેડકર	ambedkar	ambedkar
આંશિક	qisman	partial
આંસુ	ko&#39;z yoshlar	tear
આઇ	men	i
આઇએસબીએન	isbn	isbn
આઇઝેક	ishoq	isac
આઇન્સ્ટાઇન	eynshteyn	einstein
આઇન્સ્ટાઇનના	eynshteyn	einstein's
આઇન્સ્ટાઇને	eynshteyn	by einstein
આઇપીસીસી	ipcc	ipcc
આઇરીશ	irlandiya	irish
આઇસ	muz	ice
આઈ	ko&#39;z	i
આઈડિયા	fikr	idea
આઈન્સ્ટાઈન	eynshteyn	einstein
આઈન્સ્ટાઈનના	eynshteyndan	einstein's
આઈન્સ્ટાઈનની	eynshteynning	of einstien
આઈન્સ્ટાઈનને	eynshteynga	to einstein
આઈન્સ્ટાઈને	eynshteyn	by einstein
આઈપીવી	ipv	ipv
આઉટ	chiqdi	out
આઉટડોર	tashqi makon	outdoor
આકરી	shiddatli	strong
આકર્ષક	jozibali	attaraction
આકર્ષણ	jalb qilish	attraction
આકર્ષિત	jalb qilish	attracted
આકર્ષે	diqqatga sazovor joylar	attraction
આકાર	shakl	shape
આકારના	shakllangan	shaped
આકારની	shakllangan	shape
આકારમાં	shaklda	in shape
આકાશ	osmon	sky
આકાશમાં	osmonda	in sky
આકૃતિ	shakl	figure
આક્રમક	agressiv	aggressive
આક્રમણ	bosqinchilik	attack
આક્રમણથી	agressiyadan	attack
આક્રમણની	bosqinchilik	of attack
આક્રમણને	bosqinchilik	attack
આક્રમણો	bosqinchilar	attacks
આક્ષેપ	da&#39;vo	alligation
આખરી	oxirgisi	last / final
આખરે	oxir-oqibat	at last
આખા	butun	entire
આખી	butun	whole
આખું	butun	entire
આખો	butun	full
આગ	yong&#39;in	fire
આગમન	kelish	arrival
આગરા	agra	agra [some text is in hindi]
આગલા	keyingi	previous
આગળ	keyingi	front
આગળના	old tomondan	fore most
આગવી	taniqli	future
આગામી	keyingi	next, incoming
આગાહી	prognoz	estimations
આગેવાન	bosh qahramon	dominating
આગેવાની	led	take position of
આગેવાનીમાં	tomonidan boshqarilgan	following
આગ્રહ	tirishqoqlik	force
આગ્રા	agra	agra, name of city of inda
આઘાત	shok	action
આચરણ	o&#39;tkazish	behaviour
આચાર	o&#39;tkazish	code of conduct
આચાર્ય	asosiy	principal
આજ	bugun	today
આજથી	bugundan boshlab	from today
આજના	bugungi kun	today's
આજની	bugungi kun	today's
આજનું	bugungi kun	today's
આજનો	bugungi kun	today
આજી	aji	aji
આજીવન	hayot paytida	lifetime
આજુબાજુ	atrofda	surrounding
આજુબાજુના	atrofda	surrounding
આજુબાજુનાં	atrofda	surrounding
આજુબાજુમાં	butun atrofda	in surrounding
આજે	bugun	today
આજ્ઞા	buyruq	order
આઝાદ	azad	independent
આઝાદી	erkinlik	freedom
આઝાદીની	ozodlik	of independence
આટલા	juda ko&#39;p	so much
આટલી	juda ko&#39;p	so
આટોપી	atopiya	winding
આઠ	sakkizta	this
આઠમી	sakkizinchi	eigth
આઠમો	sakkizinchi	eighth
આડકતરી	bilvosita	indirectly,
આડા	gorizontal ravishda	obstruct
આડે	aade	other
આણંદ	anand	anand
આણંદમાં	anandda	in anand city
આણે	bu	brings
આણ્યો	keltirdi	brought
આણ્વીક	molekulyar	atomic,
આતંકવાદ	terrorizm	terrorism
આતંકવાદી	terrorist	terrorist
આતંકવાદીઓ	terroristlar	militants
આત્મકથા	avtobiografiya	autobiography
આત્મકથાઓમાં	avtobiografiyalarda	in bio-graphy
આત્મકથામાં	avtobiografiyada	in autobiography
આત્મા	jon	soul
આત્માને	jonga	to soul
આત્યંતિક	ekstremal	severe / highly
આથી	demak	because of this
આદર	hurmat	respect
આદરી	adari	began
આદર્શ	ideal	ideal
આદર્શો	ideallar	ideals
આદાનપ્રદાન	birja	give and take / barter
આદિ	va boshqalar.	ancient
આદિને	adine	other,
આદિલ	odil	adil
આદિવાસી	qabila	tribal
આદિવાસીઓ	qabilalar	aboriginal
આદેશ	buyruq	order
આધાર	qo&#39;llab-quvvatlash	support
આધારિત	asoslangan	dependent
આધારીત	asoslangan	based
આધારે	asosida	based / base / footing
આધિકારિક	rasmiy	official [hindi word]
આધિપત્ય	hukmronlik	domination
આધીન	mavzu	depend
આધુનિક	zamonaviy	mordern
આધૂનિક	zamonaviy	modern
આધ્યાત્મિક	ma&#39;naviy	religious
આનંદ	rohatlaning	joy
આનંદપુર	anandpur	anandpur
આનર્ત	anart	aanart
આના	bu haqida	by this
આનાથી	bundan	by this
આની	bu haqida	it's
આનું	bu haqida	this
આને	bunga	this
આનો	bu haqida	this
આપ	siz	you
આપણને	biz	ours
આપણા	bizning	ours
આપણી	bizniki	our
આપણું	bizniki	ours
આપણે	biz	we
આપણો	bizniki	our
આપતા	berib	used to give
આપતાં	berib	giving
આપતી	berib	giving
આપતું	berib	giving
આપતો	berib	giving
આપનાર	beradi	the one who gives
આપનારા	gersenler	those who are giving
આપની	hurmat bilan	in front of you.
આપને	sizga	to you
આપમેળે	avtomatik ravishda	own
આપલે	birja	give and take
આપવા	bermoq	to give
આપવાના	bermoq	giving
આપવાની	bermoq	to give
આપવાનું	berib	to give
આપવાનો	bermoq	to give
આપવામાં	berilgan	to give
આપવી	berib	to give
આપવું	bermoq	to give
આપશે	beradi	provide
આપી	bering	to give
આપીને	berish orqali	by giving, after giving
આપે	beradi	gave
આપેલ	berilgan	given
આપેલા	berilgan	given
આપેલાં	berilgan	to give
આપેલી	taqdim etilgan	given
આપેલું	asboblar uchun ko&#39;rsatma	given
આપો	bering	give [indicative]
આપોઆપ	avtomatik	by its own
આપ્યા	berib	gave, given
આપ્યાં	berilgan	given
આપ્યુ	berdi	given
આપ્યું	berdi	tendered
આપ્યો	berdi	given
આફ્રિકન	afrika	african
આફ્રિકા	afrika	africa
આફ્રિકાના	afrika	africa's
આફ્રિકામાં	afrikada	africa
આફ્રિકી	afrika	african
આબુ	abu	abu
આબોહવા	iqlimi	atmosphere
આબોહવાને	iqlimi	climate
આભાર	rahmat	gratitude
આભારી	rahmat	thankful
આમ	shunday qilib	this way
આમંત્રણ	taklif	invitation
આમતો	amato	in general
આમાં	bunda	within this
આમાંથી	ulardan	from this
આયરલેંડ	irlandiya	ireland,
આયરિશ	irlandiya	irish
આયર્ન	temir	iron
આયર્લેન્ડ	irlandiya	island
આયર્લેન્ડના	irlandiya	country name
આયર્લેન્ડમાં	irlandiyada	country name
આયાત	import	imports
આયુર્વેદ	ayurveda	ayurved
આયુર્વેદના	ayurveda	of ayurveda,
આયુર્વેદિક	ayurveda	aayurvedic
આયુષ્ય	hayot davomiyligi	life
આયોજન	rejalashtirish	planning
આયોજીત	uyushgan	organised
આર	r	r
આરંભ	ishni boshlash	start
આરંભી	dastlab	started
આરએફસી	rfc	rfc
આરએસશર્મા	rs sharma	r. s. sharma
આરતી	aarti	arti
આરબ	arab	arab
આરસ	marmar	marble
આરસના	marmar	marble's
આરસની	marmar	marble's
આરાધના	ibodat	to pray
આરામ	rohatlaning	rest
આરોગ્ય	sog&#39;liqni saqlash	health
આરોગ્યની	sog&#39;liqni saqlash	health related
આરોપ	ayblangan	impose
આરોપો	narxlar	allegations
આર્કટિક	arktika	arctic
આર્કાઈવ્સ	arxivlar	arcives
આર્કિટેક્ચર	arxitektura	architecture
આર્કિટૈક્ચર	arxitektura	architecture
આર્ટ	san&#39;at	art
આર્થર	artur	arthur
આર્થિક	iqtisodiy	economical / financial
આર્ય	arya	arya
આર્યભટીય	aryabhatiya	aryabhatiya
આર્યભટ્ટ	aryabxata	aryabhatta (one of the world's greatest mathematician-astronomer)
આર્યભટ્ટની	aryabxata	aryabhatiya
આર્યભટ્ટે	aryabhatta	by aryabhatt
આલ	al	al
આલેખતી	chizish	nerrating
આલેખન	chizish	design
આલ્ફા	alfa	alpha
આલ્ફ્રેડ	alfred	alaphreda
આલ્બર્ટ	albert	albert
આવક	daromadlar	income
આવકના	daromadlar	of income
આવકાર	xush kelibsiz	welcome
આવતા	kelmoqda	come
આવતાં	kelmoqda	being
આવતી	kelmoqda	comes
આવતું	kelmoqda	to be managed
આવતો	kelmoqda	coming
આવનાર	kelgusi	the one who is coming
આવનારા	kelgusi	incoming
આવરણ	qopqoq	layer
આવરી	qopqoq	covered
આવર્ત	davriy	"name of comet ""avart"""
આવવા	kelmoq	to come
આવવાની	kelmoq	of coming
આવવાનું	kelmoq	to come
આવશે	keladi	come
આવશ્યક	kerakli	require
આવા	kabi	such
આવાસ	turar joy	residence
આવાહન	taklif	appeal
આવી	keldi	came
આવીને	kelmoqda	arrival
આવુ	kel	such
આવું	shunday qiling	such
આવૃત્તિ	versiya	edition
આવે	kelmoq	known as
આવેલ	joylashgan	has come
આવેલા	yolg&#39;on	come
આવેલાં	yolg&#39;on gapirish	situated
આવેલી	joylashgan	situated at
આવેલુ	joylashgan	situated
આવેલું	joylashgan	situated in
આવેલો	yolg&#39;on	situated at
આવો	kel	[you] come
આવ્યા	keldi	to arrive
આવ્યાં	keldi	came
આવ્યુ	keldi	come
આવ્યું	keldi	come
આવ્યો	keldi	came
આશરે	taxminan	approximatly
આશા	umid	desire
આશીર્વાદ	barakalar	blesses
આશ્ચર્ય	ajablanish	surprise
આશ્રમ	ashram	ashram (monstery)
આશ્રમની	ashram	of ashram
આશ્રમમાં	ashramda	in asylum / monastery
આશ્રય	boshpana	shelter
આસક્તિ	ilova	infatuation
આસન	asana	asana
આસપાસ	atrofda	near and there
આસપાસના	atrofda	from around
આસપાસનો	atrofdagi narsalar	surrounding
આસામ	assam	assam
આસ્થા	imon	trust
આસ્વાદ	rohatlaning	aasvad / literature / taste
આહવા	ahva	ahava
આહવાન	taklif	challenge
આહાર	xun	food
ઇ	e	9
ઇ-મેઇલ	elektron pochta	e-mail
ઇંગ્લીશ	inglizcha	english
ઇંગ્લેંડ	angliya	england
ઇંગ્લેંડમાં	angliyada	in england
ઇંગ્લેડ	angliya	england
ઇંગ્લેન્ડ	angliya	england
ઇંગ્લેન્ડમાં	angliyada	in england
ઇંડોનેશિયા	indoneziya	indonesia
ઇંધણ	yoqilg&#39;i	fuel
ઇચ્છતા	istagan	desireable
ઇચ્છા	istak	wish
ઇચ્છે	istaydi	wish
ઇજા	shikastlanish	injury
ઇજિપ્ત	misr	egypt
ઇઝરાયલ	isroil	israel
ઇટાલિયન	italyancha	italian
ઇડર	eder	idar
ઇડી	ed	ed
ઇણ્ડિયા	hindiston	india [english in gujarati script]
ઇતિહાસ	tarix	history
ઇતિહાસકાર	tarixchi	historian
ઇતિહાસકારો	tarixchilar	historians
ઇતિહાસના	tarix tarixi	history's
ઇતિહાસની	tarix tarixi	history
ઇતિહાસનો	tarix tarixi	history
